Vol.60 “供港食品”背后的门道
[00:05:12] 12345的五丰收的丰后来呢这个五丰行归入了香港华润大家都知道华润是一个由外贸部来管理的一个对外的贸易窗口那五丰行经销的这些鲜活的商品啊主要就是从湖南湖北河南江西浙江这几个农业大省运到香港的大家想一想啊那是1950年代我们要把这些鲜活的商品搞到香港去光是听一听就觉得是一个很艰难的过程
[00:05:40] 对这个其实就是供港菜早期最大的一个问题当时最先进的一个大体量的交通工具大家想想也基本就是火车和龙船了那这两个交通工具你运一些机械设备啊包括是一些原材料比如是煤炭什么的肯定没问题但是你要运活物的话其实是蛮困难的我找到了一段湖南粮油集团原储运部经理黄子强的一个回忆的内容
[00:06:05] 他提到一个细节就是当时湖南湖北供应港澳的生鲜货物主要就是靠铁路的棚车高边车厂棚车来运输的这些名字你听不懂没关系总之他这些车厢啊都是厂棚的或者就是简单的盖一块棚布那这些车厢呢他本来都是运输一些普通货物的他的管理标准也是按照运送普通货物来的
[00:06:26] 比如说它的列车时速就很慢那一批猪从上海运到深圳要花九天九夜导致的结果呢就是路上会产生非常多的非战斗性减员非战斗性减员这个是指猪咱们这些猪找谁说理去对啊当时有一个公开的数据统计就是说在这种运输方式下面活猪的死亡率大约是10%到13%即使是活下来的基本上也要在路上钓个10公斤肉那活鱼的死亡率就更高了
[00:06:55] 达到了40%到70%河南甚至有一次全军覆没的案例那这个运输的损耗听上去真的是非常的大当时我们有没有考虑过别的交通工具比如说轮船这种确实也尝试过但是结果也好不到哪里去有一个例子就是在1959年当时广东湛江有一艘叫南海163轮的轮船载着150头活牛开往香港其实湛江到香港这段距离也不是很长
[00:07:23] 结果在海上呢他就遇到了风浪海水打进来再加上天气很冷结果到了香港之后只有五头牛活了下来太惨了更惨了应该说但尽管如此啊就是靠着这种损耗率很高甚至有些危险的运输方式内地在1950年代还是保证了香港70%的活猪供应以及50%到70%的蔬菜供应但是这个运输损耗的问题你总会要解决啊到了1960年的时候
[00:07:50] 负责攻港这个事务的华润就提出了要一次性解决这个老问题把这条贸易线能够稳定下来尤其是要在运输的方式上面下个功夫那么这样就又回到了我们前面提到的那班列车就是1962年3月20号这辆试行的攻港专列6214它载着20节车皮的湖北猪离开了武汉当时从武汉到深圳呢6214只花了52个小时
[00:08:16] 咱们现在看这个时间觉得很漫长啊但是在当时的确是属于蛮快的了这个铁道部还为他打通了一切的中间环节列车在沿途除了加水加冰加饲料以外根本就不停我们当时还配了一个跟车照料的饲养员所以一直到进入香港所有的猪都很健康很活泼
[00:08:36] 所以这个运输性的改善最终还是靠行政部门的协调把这个共港的专列的档次提高了然后再加上投入了额外的资源毕竟你还要配饲养员和饲料对吧这还是蛮花人力物力的
[00:08:50] 对那所以呢其实直到现在香港都倾向于从内地进口活的猪牛羊然后到他们本地去屠宰而不是直接买冷冻的肉品前段时间这个香港的疫情严重屠宰房都很缺人手我听说当时还邀请了一些我们内地的屠猪能手去香港支援
[00:09:09] 话说回来就621一次这个列车的这批健康活泼的猪送到香港的时间也卡得非常好它正好赶上了批发市场的一个早市然后就直接卖空了有个说法是引爆了香港生猪市场那这次试水是大获成功所以这套运输方案呢很快也被铁道部和外贸部确定下来用到了另外两趟列车上一趟是从上海出发的753次
[00:09:35] 另一趟呢是从郑州出发的755次然后前面最早从武汉出发这个621次呢之后又改名为751始发地也变成了武汉和长沙轮流发车那么现在有三班的这个共港食品的专列分别是751 753和755他们每天满载着鲜活的商品成为了共港历史上最重要的这个三趟快车这三趟快车到底有多重要呢我们可以再举几个例子
[00:10:02] 首先第一个例子铁道部在1964年宣布三趟快车是货车之首那么除特快列车之外所有的客货车都要为它让道1994年这个753途经的浙干线其实当时曾经发生过严重的事故修复了六天但在这个修复的六天期间即便所有的火车都停驶753号还是正常通行的第二个例子我们来说说看这个规模
[00:10:28] 就从1962年开通直到2008年整个这个46年之间三趟快车共开行了4万多列仅仅是供应的活猪和活牛就达到1亿多头家禽有10亿多只之后到每个香港人头上呢就是有10多头猪牛和100多只鸡呀最后一个例子时间会近一些啊就是三趟快车最辉煌的年代差不多是1980到1990年代之间
[00:10:54] 当时这三趟车内地的终点站当时是设在这个深圳北站每天在深圳北站接这个三趟快车差不多要接收500多车厢的供港的货物这些货物能把深圳北站内的50多条轨道全部塞满50多条轨道的话其实这个站本身已经很大了结果这个货物的量还是更大那我们前面讲到的其实是制度把这个路线给打通了
[00:11:18] 但是好像还有一个问题啊就是这套体系似乎都是围绕货的高效流通来建立的你这个食品要鲜甚至要活但是呢就不太关注随车的这些保证鲜活的人毕竟你照料这么多活物其实也是一种蛮难想象的体验
[00:11:35] 确实三趟快车这个制度下面要说最受罪的应该就是这些押运员了他们管理动物在一路上要和这些猪牛羊同吃同住几十个小时扇风喂食给他们喂药同时还要这个清理粪便其实很多老的押运员的身上可能都已经有一些独特的气味在公交车上可能都会被嫌弃管理蔬菜的会稍微好一些
[00:12:00] 但我们也知道有些蔬菜它为了保鲜是需要带兵运输的那么长期押运这一类带兵运输的蔬菜的押运员也很容易得老寒腿总之呢在三趟快车这种独特的供应和运输体系之下香港人民每天要吃的猪肉啊鸡腿和菜心才能够得到完整的保证直到2009年猪三角的这个高速路网已经非常发达的情况下用火车送货的这种方式才终于成为历史
[00:12:29] 刚才我们讲了这个内地是如何重视工港食品这条运输线的那么对于香港来说内地供港的肉和菜到底有多重要肖老师你这边有没有能够告诉我们一个比较具体的比例让我们的听众有一个大致的概念这个比例的话其实非常高啊我们来看一组比较近的一个数据2017年的时候香港省技术发过一个报告里面就提到内地当时为香港供应了市面上100%的活牛
[00:12:57] 活羊活猪和活鸡苗86%的蔬菜是来自内地的还有60%的带壳蛋当然啊水果的比例相应来说就没有那么高了大概是13%毕竟东南亚对香港的这个水果市场应该是贡献更加大的那是不是可以这么说如果没有内地供应香港菜市场里面可能就不存在热气的羊肉大排档的潮汕牛肉打边炉可能也吃不到了
[00:13:21] 可以这么说啊毕竟香港是一个消费和贸易为主的大都市嘛它肯定是需要腹地的这些兄弟省份的农产品来做供应的支援的那自从内地的供给变得平稳有序而且量越来越大之后呢还产生了一个附带的效应就是香港本地原有的农业和牧业还有渔业都开始萎缩了虽然在新界的郊区目前还是有不少品质很高的小型农场
[00:13:47] 但是对于700万人口的这个大城市来说这一点点的供应几乎是不可能实现自己自足的主要还是供应一些精品的产品那绝大多数还是非常依赖内地的输入那我们内地供应到香港的这些肉 芹 蛋和蔬菜还是我们前面讲到的那几个农业大省送过去的吗好问题啊就我们前面讲五六十年代的时候报过几个省的名字啊但其实现在来说已经发生了蛮大的变化了就以蔬菜为例
[00:14:15] 目前全国是有将近1200个贡港澳蔬菜种植基地它是分布在全国各地了但是相对集中呢是在云南宁夏江西和海南这几个省份和前面我们提到的河南河北啊湖南湖北啊这些都不太一样了主要是看中这些地方当地的日照比较充分昼夜温差比较大对于培育蔬菜来说呢是个很好的基础条件
[00:14:39] 你像云南据说是提供了香港市场上三分之一的蔬菜而宁夏有可能更加有名一些啊像宁夏菜心宁夏芥兰都是香港人非常熟悉的这个蔬菜的关键词我们自己也蛮喜欢买这个宁夏菜心的确实是又甜又嫩还很有菜的味道再举个江西的例子啊它不仅是大量为香港供应绿叶菜而且还半垄断了香港市场的另一个必需品就是食用盐
[00:15:03] 2021年的前七个月江西为香港供应了超过一万两千吨的食盐占到整个香港市场份额的六成以上这一个港口城市香港竟然连食盐也不能自己自足吗我没有想到这个奇怪的知识又增加了给香港供应食盐居然还是靠一个内陆省份那毕竟香港这个寸土寸金吧海边的这些海岸线拿来用来晒盐吧不可能吧好的吧说完了这个蔬菜再说说肉和芹其实也蛮有意思的
[00:15:32] 在很长一段时间啊香港市场上最主流的猪肉其实都是来自上海的是上海猪这个估计你也没想到那前面不是提到三趟快车里面有一趟从上海始发吗他当时很壮的一部分运输任务就是把上海的活猪运到香港那共港这些上海猪啊
[00:15:49] 还是一种专门的特别杂交品种,叫做肚肠上。肚就是那个姓氏的肚,肠就是长短的肠,上是上海的上。这三个字分别是代表一种这个猪的品种,它们杂交在一起,还蛮有意思的,这里大家可以自己去搜搜看。那这种猪的这个品种呢,体重超过50公斤之后,生长就比较慢了,但是皮下脂肪非常厚,所以就最适合来做什么呢?港式烧肉。
[00:16:16] 行了打住吧越说越饿了这个被封在家里四十几天我吃我妈给我的这个腊肠已经很长时间没有吃过新鲜猪肉那我们就不说了当然啊
[00:16:27] 当然就最近几年来上海一直在严格的控制养猪场的数量所以香港市场的猪肉目前已经是由河南广东和广西三地来负责供应的我看过一个报道是关于香港的媒体团他们去参观一个河南的贡港的养猪场
[00:16:46] 这个养猪场的厂长当时就说共港的猪要保证体重在90公斤到110公斤之间瘦肉率和皮下脂肪的厚度都有要求其中最上品的猪可以做到在它的背上放一杯水那么放好之后这个猪走路但是水不会洒出来我还看到过另一个就是这个感觉像投文字笛对对对这个广西的另外一个广西的共港的猪场它的副总经理说的是什么呢就说这些共港猪的选拔还要看颜值
[00:17:15] 就是说只有面不清秀体型健硕肚懒上收上有腰线唯有凹槽的这种猪才能被乡众送到香港去而且这个供港鸡的临选标准也差不多我们内地居民在市场上买的普通鸡一般的饲养时间是45天但是供港鸡就不一样了它的饲养时间至少要90天甚至可以养到150天再卖那这个养殖期间
[00:17:41] 这个机还必须要保持身材体重必须要控制在1.2公斤到1.5公斤之间这刚刚听下来很难说这个到底是在选猪选鸡还是在选美了这么精挑细选感觉这个成本完全压不住
[00:17:55] 对 其实很多这类要供港的生鲜类的产品普遍就面临两重成本压力第一重就是种植和养殖的点一般都得是大型的基地而且在选址阶段就要避开各种各样的污染源还要经过内地和香港检测部门三次的严格检测拿到这个供港的资质之后
[00:18:15] 每隔三个月还要按照两地的标准去抽检土壤抽检空气抽检水源一旦不合格就会被重罚相当于起步的门槛就很高另一种压力呢就是我们前面提到的对于这个产品各种细枝末节的要求肯定会导致成本的上升吧比如我们前面提到的河南的猪场里面冬天是要有集中供暖的夏天呢又要水帘来帮这个猪降温为了进一步提高繁殖率和种猪的这个质量
[00:18:44] 种猪每天可以吃两个鸡蛋不入期的母猪每天能够喝到鱼汤这些显然都是成本啊蔬菜也是类似的就有一位华南农业大学的教授就测算过供港蔬菜的生产成本比内地常规的种植方式会高出三成说到这些各种检测的压力啊香港与内地的标准有很多不一致的地方有些呢它比日本的同类的标准还要更严格
[00:19:09] 以这个西兰花为例日本对于某一种农药的残留含量限制要求是5ppm5ppm是一个残留量的单位香港的要求就会更高是0.5ppm
[00:19:23] 到了2004年不是当时有这个禽流感的影响商务部还举行过一个共港生猪紧急会议在这个会上也提到了内外消猪要分开饲养这个是真的内外有别了当然当然由于这些各种小心的控制与管理咱们内地的共港农产品在过去60年里面保持了99.999%也就是五个九的超高安全率
[00:19:48] 而这些成本和品质的差异最终呢它也会部分的反映在定价上是的因为香港市民的人均收入要高一些嘛可能一般家庭面对这样的食品价格也不会有太大的压力而当这类共港的产品流回到内地市场来销售之后呢它就变成了一个高价小众的高端食品了
[00:20:08] 的确我们这种不住在香港的居民之所以现在对共港菜有概念就是因为内地的一部分渠道尤其是现在的精品超市或者是说像河马丁东买菜这样的电商平台其实已经很容易买到共港产品了那这个背后呢其实就涉及到一个概念就是共港食品的一个数量的配额这个配额主要是针对猪牛羊鸡这些活畜活禽的
[00:20:35] 目前呢商务部会参考香港近几年的市场需求代理机构的销量以及各种各样的市场因素的变化每年决定一次供港澳的这些活处活情的总量数字比如说2021年他就确定下来当年只能给香港供应85万头活大猪21250头活牛以及228.8万只活鸡
[00:21:01] 你看这个数字定的非常的细啊就没有特殊情况的话是不能超过这个上限的那每年确定好的配额呢会在各类的有共港资质的企业之间来分配行业里面的一个龙头企业一般就会比较沾光这也定的太细了居然还有小数点就是啊所以说这个配额一旦总体上定好了那么我们每年真的消亡香港的食品的总量就差不多是这些
[00:21:25] 没错但是呢我们就前面提到过现在共港的这些蔬菜基地这数量就很大了然后他们这些基地的规模本身也非常的大都是那种现代化的养殖基地产能是很强的结果如果你只能卖到香港的话其实这个数量就有限了那么多出来的部分呢就要另找出路
[00:21:44] 所以在2016年的共港生鲜招标发布会上商务部下属的国际品牌中心就提出来要在足额保障香港市场的前提下将总价值200亿元的共港生鲜产品投放到内地市场来那第一批覆盖的是北上广深以及长三角珠三角的部分区域的居民这个覆盖范围显然是比较有讲究的
[00:22:07] 不过呢这个投放的试点似乎没有落实的很好至少吧他没有成为上海消费者去买这个杠杆蔬菜的主流以至于在2019年的上海新春农产品大连展上广东省带来了1200斤杠杆的菜心芥兰和豆苗这些东西还是在大半天的时间里就被叔叔阿姨们用蛇皮袋和手推车抢购一空了
[00:22:31] 那大家就还会问这些供港的蔬菜究竟是展会上的一次性促销呢还是以后能长期供应说明这个试点投放的知名度还不够高啊很多人都不太了解不过它确实是值得推广的好东西我说说我自己啊我对这个供港我真的是文盲了我也是在这个现在的这个生鲜平台上第一次看到供港我记得我们几个月前有一次讨论这个选题我当时是真心以为供港是一个港
[00:22:57] 就这个基地叫港就是这个基地叫供港有点类似于崇明蔬菜的意思OK真的所以这个知名度确实是值得推广说回刚才那个展销会其实当时展销会上这家供应商也表示了他们在广东宁夏的种植基地超过了1万亩其中有40%是供港的那么剩下的60%其实都是为供应内地市场留着的而且对于这个
[00:23:21] 供应商来说如果你在同一个基地里面搞两套标准其实并不划算它反而是增加成本的那原本全都是供港的这些生鲜和蔬菜开始供应内地之后呢就会出现一些新的现象像2011年的时候在珠三角就出现过供应商把挑剩下的供港蔬菜重新包装然后再卖回到内地的精品超市和菜市场的例子
[00:23:46] 当时大家争议的焦点就是你这些菜是供应商挑剩下的照道理来说是达不到供港标准的菜却在外包装上面和架签上面写上了供港两个字这个是不是涉及到了欺骗消费者的问题那本质上其实我觉得这是因为市场上很在意的是供港的品牌化的问题
[00:24:04] 为了避免上面肖明杰刚才提到的这几种可能会出现的争议这种不清不楚的情况理论上最好的方法是把杠杆变成一个注册商标就是让它更有标准可循在乳品行业还真的就有公司做到了这一点持有这个商标的是一家叫晨光乳业的深圳的公司它曾经被国务院发展研究中心评为全国最大鲜奶出口企业建厂以来累计向香港出口了超过30万吨鲜奶
[00:24:32] 作为鲜奶的话这个量是非常厉害了真的是一个真杠杆企业了这家公司在2014年注册成功了两个商标一个是奶类一个是饮料类都是杠杆的2017年那么他就拿着这两个已经获得通过的这个注册商标去指责另一家杠杆企业温氏乳业
[00:24:51] 也就是说现在在奶类和饮料类的产品里边还确实只有晨光乳液这一家公司可以说自己是共港别的都不行看起来是这样
[00:25:16] 但是在整个食品领域像陈光这样敢于申请并且成功捍卫了共港这个商标的只有他一家
[00:25:22] 那么消费者和商家现在讨论杠杆这个概念更多还是从产品的品质层面但自己也很难实际掌握品质对应的标准的全貌只是模模糊糊有个概念那么真正的杠杆本身需要企业有资质产品经过检测是一个更严格的概念如果商家也随随便便就这样用确实是会惹麻烦我还专门去丁东买菜商看了一下就他有一个专区名字就叫杠杆有机菜
[00:25:51] 其中供港菜的详情页里面就会写清楚供应商的供港资质备案号和有效期消费者呢可以自己在海关总署的网站上来确认资质这算是做的比较规范的了对其实就是像河马叮咚这些线上平台总体都还比较注意这种用词的区别
[00:26:10] 当然这些平台上他们的消费者更年轻对品质的要求更高对价格呢也相对的更不敏感所以共港有机这些小众的概念在这里的认可度也会更高我们有一个数据就是2021年叮咚买菜平台上有机和共港菜的销量增速高达121%这个业绩已经很不错了
[00:26:33] 好简单回顾一下本期节目呢我们讨论了一个现在绝大多数上海消费者都求而不得的一个食品概念是杠杆首先这个制度它竟然是从1960年代早期就利用铁路系统给建立起来了这期间运输了大量的活物是一个很难想象的运转了很多年的这样一个运输系统
[00:26:54] 其次,稳定的供给体系加上严格的两地的品质的把控,让香港人的菜市场的体验变得很丰富,很安全,也让内地多个省份的生产基地培育出了很高品质的肉、芹、蛋、奶以及蔬菜。
[00:27:10] 最后呢受出口配额和基地产能过剩的双重影响现在有很多共港资质的企业也在纷纷的拓展内地市场内地的消费者对于共港这个词的理解目前可能还在起步阶段这需要各个方面各个环节在商品的品质产品的资质和消费者教育上面去尽可能的跟上葛老师总结的非常好然后我再补充一点点作为本期节目的一个结尾
[00:27:36] 我们在查资料的过程当中发现有一篇评论里面看到过这样的一个说法我简单的念一下中国现在的食品是分级的金字塔顶端的叫做特供然后是重要活动比如两会奥运期间的定点采购以及供港食品再然后呢是绿色食品和有机食品最底端的菜才是普通的食品
[00:27:59] 我没有办法证实这篇评论里面所说的几个食品的等级和对应的说法是否在体系内是真实存在的不过我相信有一些消费者心里边肯定也有类似的一个观念这也可能是供港这个概念深受欢迎或者说是逐渐有一种品牌化的这种概念的一个背后的深层原因了
[00:28:17] 其实与其去在意这种等级
[00:28:48] 感谢收听这一期的商业就是这样你可以在苹果播客小宇宙喜马拉雅网易云音乐QQ音乐荔枝等平台收听我们的节目微信公众号第一财经eMagazine也会推送每期节目的内容如果喜欢我们欢迎你在苹果播客给我们五星好评并期待你在各个平台与我们交流尤其欢迎分享你感兴趣的话题下期见
