Vol.175 “飞机坟场”做的是什么生意？
[00:07:36] 就是一个飞机实际上的服役时间要比我们前面讲的它这个工程上的这个寿命要短很多平均而言呢一家民航客机的这个寿命就是我们前面讲这个寿命是可以达到25年就是它可以飞25年这个意思吧平均而言但实际上呢比如在美国市场一家民航客机的平均的使用时长大约是20年在中国呢这个数字有可能只有15年左右在别的市场有可能还会短一些
[00:08:03] 理论上就是这个飞机在能飞的时候肯定是希望它尽量飞的多一些就飞的时间久一些然后这个成本才能换回来所以说为什么航空公司有时候会选择说有些飞机要提前退役呢这个就是我们所说的运营阶段对退出阶段的一个影响我们简单的举两个例子或者是两个原因来说明这样一个当中时间差这个概念第一个情况就是
[00:08:28] 这个飞机本身它的盈利状况不佳就是赚不来多少钱对就是入不敷出我们最熟悉的也是最近的一个案例就是空客A380太大了是吗对这款当时全球载客量最大然后体积也最大的真正的双层客机它是2007年才投入商业运营的05年首飞2007年才真正投入但是你现在想飞一架A380其实是很难的很难的如今大多数的A380其实已经退出了民航的运营了
[00:08:55] 很简单就是它的运营的效率并不好它原本其实是针对一些周际的长距离的航线来设计的那么各大航司买这个飞机的目的就是想我们现在不是全球化吗那种长距离的远途的航线的需求肯定会增加而且这种航线一般来说利润也会更高因为它有更多的商务舱或者说是头等舱那我就一次性多拉一点人对但实际上全球航空市场的情况是过去十几年增加的比较多的是一些中短程的航线
[00:09:24] 还有一个点就是其实我们在波音那期里面提到过一点就是过去那种窄铁客机就是只能飞一些短途的那些飞机它现在的性能加强了之后它其实也能飞一些中长距离的航线6个小时7个小时所以航空公司实际运营下来发觉我多增加一些航班的评次比我一次航班里面用很大的飞机要更合算一些这个就导致A380有些没有用武之地我宁愿多跑几次然后多拉几次而不是说我单次就要拉好多好多人
[00:09:53] 那与此同时呢这个飞机如果你一直在运营阶段就算你飞的这个不是很合算但你日常这个燃油啊维修保养的成本都还是在的而且对于A380固定成本和可变成本的差别是对而且对于A380来说这个成本实际上是很高的那就会出现这个机型入不敷出的情况不过顺便说一句啊A380有过一段很好的时间就是疫情那三年因为那几年就是全球的国际航班都是大幅的缩减就班次本来就
[00:10:18] 定的很少那这个载客量的优势就反而能够发挥出来对这个时候就一定要用大体量的客机来载了但是随着航班次数的恢复正常呢A380肯定要面临亏损了所以说像南航的话其实是在2022年底就让旗下的五架A380都退出机组了其中服役最长的也就是11年非常短对吧这是第一个逻辑就是经营的这个阶段的逻辑第二个逻辑呢就是飞机的一些提前的更新换代
[00:10:46] 这里边其实有一个近几年很重要的背景的因素就是节能减排啊碳的管理对一方面的是各个地区其实对飞机的这个碳排放的管理都越来越严格这跟我们在讲船舶的时候也是一样的概念另外一方面呢航油本身其实也是航空公司很大的一个成本上就是烧这个油啊所以节能减排既是一个全社会的趋势也是他们自己经营上的一个很大的需求所以他们就会出现
[00:11:12] 用一些燃油经济性更好的新飞机提前替换老机型的这种情况等于说可持续和降成本在飞机的燃油这件事情上是一致的对的甚至我们看到2018年的一个研究就提到当年的油价对于当年的退役飞机的数量的影响是很大的所以说油价高那年就很多飞机就不干了对对就会有这种情况而且这方面在中国市场有可能会更加明显一点因为我们现在有很明确的双碳的目标大家会更加在意这个方面这个确实是很重视的
[00:11:39] 还有一点就是在中国为什么现在这个退役的浪潮会比较大呢就是我们民航业的起步相对比较晚一点之前退役的飞机还比较少就这个周期到了有一大批飞机要开始退休的这个状态就像这个婴儿潮到了婴儿潮一下子一起退的是一样的对所以实际上有一个数字就是从现在开始的20年中国要进入一个民航客机退役的高峰期也就是为什么我们前面说这个市场是一个欣欣向荣的市场
[00:12:07] 那每年其实就有超过100架的飞机要进入中老年也就是机灵超过12年那就是很快要开始退休了简单小结一下驾民航客机的全生命周期其实就是分为三个阶段引入阶段运营阶段和退出阶段那在引入阶段呢租赁模式流行呢使得飞机的金融属性增强了它也使得飞机的供应呢可能出现一些周期性的过剩
[00:12:29] 运营阶段航空公司会出于对经营效率和降本增效的考虑提前把一些飞机就直接退役了而上述因素的叠加会导致说中国的民航也在接下来20年会进入一个客机退役的高峰期这些退出的飞机很多就会送往遥远的飞机坟场接下来我们就来看看在飞机坟场里面等待他们的会是什么样的命运
[00:12:55] 终于进入这个话题的主舞台就飞机坟场首先这个问题就是飞机坟场在哪里对这个问题还没有讲过是吧世界上很多地方其实都有飞机坟场就是各个地方有大有小都很多比如说像有名的在澳大利亚有个叫爱丽丝泉在西班牙呢有个叫特鲁埃尔的地方都有很大规模的这个飞机坟场但要论这个规模之大然后名声之响呢其实最大的那些都集中在美国我们就举最有名的两个
[00:13:22] 一个呢叫戴维斯门森基地另一个呢叫莫哈维基地前者呢位于这个美国亚利桑那州沙漠地区的图森市号称是全球最大的飞机坟场不过它主要停靠的都是军用的飞机而民航领域最有名的就是后面提到那个莫哈维它呢是位于加州的一个沙漠地区这里有一个疑问就是我们前面说它是飞机坟场然后后来又叫某某基地这个名字到底叫什么对这个我已经忘记说明了
[00:13:50] 就是虽然飞机坟场是一个业内非常通用的一个说法但是呢它还是一个非正规的一个非正式的一个我们可以说绰号吧或者是一个称谓实际上这些地方都是一个综合性的我们可以叫航空的基地比如说像戴维斯门森它就是一个空军基地曾经是现在还有这样的一个功能但像默哈维呢它的全称就是默哈维航空航天港那它们本身呢都是有一个机场的功能的不然你怎么飞机怎么停在里面呢都要先飞过来对吗
[00:14:18] 除此以外他还承接一些飞机停放储存维修等等的业务一个停车场加4SD的感觉有点准所以准确来说飞机坟场实际上是一个停车场的概念对老飞机的停放场对这么一说感觉就是非常平淡对一下子就没有那么惊悚的感觉了但说到这里我想反过来问问看岳老师就是你觉得为什么全球最大的这些飞机坟场都会在美国的这些地方
[00:14:45] 这个问题就像为什么这个地方适合造停车场一样我觉得首先就是空地够大其次就是你前面不是提到有个记忆在亚利桑那时候亚利桑那就是沙漠沙漠是不是感觉很稳定就任何东西放进去就百念不变感觉特别适合放一点东西在那叶老师阅读理解能力很强确实啊就是如果大家遍历一下全球最大的几个飞机粉厂就会发现它们有几个条件上的共通点
[00:15:13] 第一个就是地处干燥的沙漠地区而且它们有大面积的都是平原或者是高原这个有两个好处第一个就是极低的湿度第二个就是土地一般都是碱性的这两个叠加在一起就会导致飞机停在那边金属不太容易生锈如果你在潮湿的热带地区飞机放了一段时间就锈掉了
[00:15:34] 另外还有一个点就是说一般来说这些地区它的土地都非常坚硬就是天然的就能够支撑这种庞大的这个重量非常大的飞机而不用你专门再去费力来整一块能够承重能力足够的一个地面比如搞那种混凝土的对就其实机场那个地面还是专门要浇过的而且它有一些技术要求专门的这种航空的这个混凝土是很贵的要知道就像默哈维啊包括像戴维斯门森这些地方
[00:15:59] 占电面积都是超过10平方公里的我在它旁边卖水泥我都能赚钱是这样吗10平方公里它能够同时停靠数千架飞机那你不可能这些地方全都是自己浇水泥是吧而且历史上这些地区往往都是最早都是空军的基地然后后来它是用着用着发现这里很适合长期停靠然后保存飞机才逐渐形成这么大规模的一个飞机坟场甚至然后就成为了这个地方的支柱产业比如像戴维斯门森他所在的我们前面讲到的图森市
[00:16:28] 就有超过4万名的居民是为这个航空的基地来工作的他们每年为当地的经济贡献是要超过26亿美元4万名我觉得这个在美国也不算一个小的市了对这个市基本上就可以认为就是像那种就是工业城一样就专门为这个产业而生的一个城市那要不然具体展开一下这个飞机分厂到底能衍生出哪些生意能支撑这么多人的就业呢就讲完他们这个沙漠的天然禀赋之后开始讲一些具体的商业模式
[00:16:56] 我觉得我们可以这样来展开就是还是从飞机的角度来展开而不是从坟场角度从飞机角度看看他们在这个坟场里面会面对哪些结局然后再来看看这些结局相关的一些商业的拓展像游戏一样就是有N个支线有N个结局这样对的是这种感觉那我们主要讲三个结局而在这三个结局之前呢我们也先要讲一条必经的主线剧情就是飞机到了飞机坟场之后必经的一个过程就是停放是不是废话这句
[00:17:24] 但是停放和储存其实是飞机坟场这个基地本身非常主要的一个赚钱方式是一个仓库的它自己是收钱主要是收这个的其实因为你很简单就是像你这样的仓库就这些旧飞机停在这边是要交钱的这个当中价格的差别非常的大你像默哈维包括戴维斯门森之所以这些基地能够起规模的价格便宜就是一个很重要的因素我们没有查到非常准确的数据因为不同的飞机然后不同的时期这个价格差别很大它有点像
[00:17:54] 这个证券市场它会波动的有可能就一个月就是一个一两千美元有的时候多的有可能是几千美元等等的实际情况是很多飞机制造商造完这个飞机之后把它给卖给或者是租给这个航空公司了吗都会跟这些航空公司签好一个定点的协议就是说你航空公司买了我的飞机之后那个飞机退役了必须要送到某某的指定的分厂比如说南航的A380就是空客指定一定要送到莫哈维的对制造商也在做这个全生命周期管理的这么一个思路
[00:18:22] 这里边有一个考量就是除了这个就是管理或者经济上的考量还有一个就是从技术保密的角度考虑就你不能我买了我这个飞机然后到时候你就转卖给一些别的人来研发飞机的必须要就是像封闭式的到时候你这个不用了你就要退回到我规定的一个地方去保证这个技术的研发不要泄密有这个考虑在当然这个基地不是说真的像停车场一样就单纯是提供一个地方你放在里面我就收租金的不是的因为这个虽然沙漠很适合飞机的保存
[00:18:51] 但是停到那边之后呢飞机还是要做很多保护措施的比如说到了那边之后就要把燃油和机油啊等等这些液体都要排空你放在那边的话你再怎么干燥你都要腐蚀的还有呢就是像窗口啊舱门等等地方都要用一些专门的保护性材料密封住比如像这个座舱的玻璃啊它是玻璃它不是金属所以它用特殊的
[00:19:13] 材料这个覆盖住不然的话强烈的阳光会让它变老变黄的就要贴膜是吧等于说你在这个基地里面花钱就是人家是帮你做这些事情的对大家可以去搜一些照片就是他们就是包裹住这些保护材料之后那个样子这个就是我们所谓的这个主线剧情就是停放那为什么这个停放的过程当中要做这么多保护措施呢就是为了保证这个飞机的状态良好而这个呢就和我们接下来要讲的飞机在坟场的三个结局就非常相关了
[00:19:42] 那我们现在第一个结局就是再次开始服役回到亲手村没错或者说那个时候这个坟场就更像一个新手村
[00:19:50] 实际上虽然我们一直在讲飞机坟场坟场对吧但是很多的飞机在这个基地临时停靠之后过了一段时间他们就会继续开始直飞了哦实际上呢在非洲啊东南亚南美很多的航空公司他们的这个飞机的主要来源是二手为主的哦这个好像有听说过对吧那这个二手的飞机从哪里来的呢他其实很多就是停在那个飞机坟场然后在那边完成了交易然后再卖给这些航空公司的对
[00:20:17] 包括其实很多的航空公司他们都会有专门做一些转售或者转租的就比如说我跟你签了一个经营性的租赁的时间到了一段时间然后我不租这个飞机了我转租给别人一般来说也要通过那边一到停放好之后然后再转移过去
[00:20:31] 所以说这个飞机的很多权益的转移其实是在飞机坟场那边完成的就是一个中转的一个站前面我们也提到就飞机的实际使用寿命其实有时候是要高于它的服役时间的就是因为有二手飞机的这个部分就它可以把后面一段时间的空调给补上对的听到这边的话肯定会有点担心那些市场的这个安全问题二手飞机有没有柠檬法保护这你要说没有影响肯定是有影响的都用了这么长时间
[00:20:59] 但很多老飞机的性能其实都是OK的只要做好保养和一些必要的维修一定要就是老老实实的按照标准来维修保养继续飞实际上是没什么太别的大问题的而且对于原来的所有者来说飞机的所有者来说实际上是个很好的回本方式不同的飞机的二手价格其实会大不相同这个也跟二手车一样是有个行情在的我们就给个大致的概念你像2023年第二季度的数据他们你看这个数据都是精确到这个季度的
[00:21:27] 一架机灵是10年的空客A330-300的飞机它的市场价格大概是2000万美元左右租赁价格呢大约是每月20万美元这个价值实际上不低的你想想看我们前面说买进来的时候实际上是1亿左右嘛对吧对机灵10年还能有2000万这个残值还是蛮高的对等于说这就是所谓重新服役回到新手村的这个结局了还有什么别的结局吗
[00:21:51] 第二个绝集呢叫做客转货就是把客机变成货机没错这实际上是个非常主流的一个结局因为我们前面提到客机的寿命一般不超过25年是吗但是把它改为货机之后呢它的寿命就可以延长15到20年只是把座椅拆掉就有这么大的变化吗这个变得不是座椅拆掉这么简单我们会稍微提到一点
[00:22:13] 实际上全球四分之三的货机都是由客机改装而来的专门是生产的货机相对比较少的它一般会有一些特殊的需求
[00:22:21] 尤其是一些空间比较大的客机像波音的747老牌的这种型号757包括空客的什么A300 A330等等的在货机市场都是大受欢迎的改装前的一些机型我们在第22期就是讲顺丰那些节目里面就提到过顺丰不是有自己的一个空运机队吗其实里面几乎所有的飞机都是客转货来的对我们看了一下有一些报道和资料就是说它除了两架这个原型机以外其他的全都是客转货的
[00:22:50] 具体而言呢客转货实际上是一个非常复杂的一个过程然后也是个很大的市场就你一架宽体的客机啊改装后的这个货机价值啊可能是不低于我们前面提到一些二手客机的有可能一架飞机一两千万美元甚至是三千万美元都是很常见的此外呢就改装本身也是个大生意袁晓鑫不是说拆拆这个座椅吗实际上是很困难的就是整个改装的费用至少要三四百万美元
[00:23:16] 多则要七八百万美元整个耗时是三四个月因为其实你把座椅要拆掉之后你还要让整个空间是适合来摆货舱的然后你整个机身是要做一些维修保养使得它能够适合载货的还有飞机停在那边之后本身就是要做一轮保养的有些东西你不见得要更换什么等于整个过程是要耗这么多钱像做一个大保养或者大修一样的所以这个过程实际上是非常浩大的工程也是个非常专业的事情
[00:23:44] 它都是要在专门的工厂来做的我们看到有的一些专业的做这些改装的工厂是在飞机坟场这些基地附近的有的是在别处然后做这些事情的主要是一些跟飞机制造解密相关的一些大公司比如像波音空客它自己是有这部分的业务的还有一些上下游的一些公司主要是一些美国的公司我们看到还有一些像以色列一些公司其实都会做的
[00:24:09] 此外呢像波音啊这种他们也会在各个地区做一些合资公司来做比如说他在中国的话就是在零几年的时候就跟上海的机场这边有个合资的一个公司那在机场附近做其实上也是很合理那等于说第二个结局就是一个转职重生的概念非常像游戏里面的转职重生啊
[00:24:27] 讲完前面两个之后我们讲最后一个结局这个第三个结局有可能是最接近于我们所谓的死亡的一个结局就是当一架飞机真的不能再飞了它就会被拆解当然这个过程当中也是有很多商业价值的这里边我们要提到一个组织叫AFRA或者AFRA它的全称叫国际民航组织与航空器机队回收协会
[00:24:53] 这个组织的成员呢就包括了各大飞机制造商还有一些上下游的重要企业他们的核心目的是什么呢就是提升飞机上零部件回收的比例一个官方的收费品组织就是官方二手零部件而根据这个AFA的这个数据一架民航客机上面实际上有95%的零部件都是可以经过处理之后循环利用的现阶段能够做到的至少有70%这个当中呢最有价值的最值钱的肯定是发动机
[00:25:23] 它会占整个飞机零部件回收的价值的50%以上有的时候就飞机的上面的两台发动机它价值就是几百万美元都可以卖的每个月的租金有大几万发动机可以单租如果说飞机挂的引擎够多它是不是可以赚更多的钱对就是这个道理是的你说的一点没错为什么会出现这种发动机特别值钱的情况因为发动机它经过专业的维修保养之后它其实完全可以恢复到正常的性能甚至比保养之前它的性能更佳
[00:25:51] 就是它设计的这个质量的水准或者说是这个使用的粘性比机身上别的一些零部件要更长因为它是最最重要的一个东西它的标准上是很高很高的为了保证安全把这个东西做得足够的好足够的好所以说其实发动机很厉害维修保养之后它这个价值是很高的我记得我自己有一个经历就是在16年就里约奥运会的开始我反而有一个采访的机会然后我们就参观了GE就是通用电器它的下面的航空业务
[00:26:20] 它在巴西就有个工厂因为我们知道就是直翼不是收购了巴西原来的一些航空工业吗这个工厂在一个山洞里面它主要就是来做一些飞机发动机的维修保养的这次我上面去查一下他们的这个页面就发现他们的业务当中实际上就包含了对于这个飞机上面拆解下来的所谓的老飞机的这个发动机的维修保养这是最大的一块值钱的部分除此以外呢像飞机上的仪表盘啊起落架啊雷达啊等等电子元器件还有什么应急滑梯
[00:26:46] 只要你满足了这个零部件的标准要求质量要求都是可以再次利用然后装到新的飞机上面去的所以说实际上我们现在坐的这个飞机上面很多零部件也不是他们新买的也是从老飞机上拆下来的对实际上是这样的有一个器官移植的概念是吗我今天这些比喻真的不过这个大家还是要理解就是其实在飞机的日常的维修保养里边实际上是很常规的就是以零部件的替换就维修保养很多时候就是要换一些零部件对吧
[00:27:13] 这个当中就像我们讲的如果你用了经过整修的状态比较好的这些老的零部件实际上是完全OK的
[00:27:20] 这里面还是还有一个隐藏的理由就是为什么这些飞机制造商这么强力的要推自己的这个官方二手零部件呢是因为如果你不用这些官方件的话有可能就会让一些假冒的替换零部件流入市场这也有假冒就据这个组织的估算就全球民航客机的替换零部件里面大约有2%就是假冒产品虽然不多但是既然有假冒呢对你觉得就掺进一点假冒都很危险吧你不觉得是吧
[00:27:48] 所以推广零部件的官方的拆解和回收就是要集中的到一些认定的地方然后有一些专门的工厂来做这些拆解和回收实际上就是一个保护飞行安全的一个手段这也是为什么像这些大的基地非常受欢迎就是我集中在这边我整个流程我都可以掌控住实际上是非常重要的虽然我们前面吐槽阿富尔是一个官方收费品组织不过想象就是说飞机拆解肯定还是一个比较专业复杂的过程
[00:28:16] 客改货更容易对的其实这个行业我觉得我稍微查了一下资料就是它从技术包括工艺上面还是有很大的花钱的空间的甚至我们看到有不少别的领域的一些有工业背景的一些企业投身到这个领域来做创业都有的为什么呢就是因为这个拆解实际上是一个技术要求颇高的工作而且你要不停的就是从里边所谓的变费为宝其实就是要不停的挖掘可能性对吧
[00:28:40] 从商业上来讲如果你做的这个拆解的工作回收的这个工作得到了这个Affra的认证他们也会有一些资质的颁发那你就相当于有了稳定的生意对吧我认证你了然后我就可以不停地源源不断地有这个生意做而我们前面不是讲过这个需求接下来是欣欣向荣不断增长的吗
[00:28:57] 这里边有一个核心的商业模型是什么就我们前面稍微讲到一点但没有讲得很透就是飞机你拆得越精细零整比就越高零整比好像在汽车行业里面听过就是零件和整车的价格比但在这里面是不是就指说飞机零部件卖出去价格总和相对于它原来整机的一个价格的比值对的就是这个概念
[00:29:19] 就是怎么讲我们前面不是讲过一个维修过的发动机可以卖几百万吗但如果你把这个发动机的叶片拆下来然后单独的出售一片叶片都有几万美元加在一起的价格有可能比发动机少不了多少还有这样对它是拆得非常非常细包括我们前面讲的很粗糙什么电子的一些系统什么仪表盘什么的这些都可以是往细的去拆的还有一个很重要的点就是机身机身因为用了非常高质量的铝合金的材料
[00:29:48] 看到有一篇2021年的论文讲的就是如何提高飞机机身拆解回收的经济效益
[00:29:55] 他们就提到其实几十年前大多数的旧飞机拆解完之后机身这个部分就简单的报废他们拆的时候我把发动机什么拆下来然后机身我就破破烂烂的不管大多数零部件甚至是扔掉的所以那个时候的飞机坟场等于是一个真正的坟场对视觉上面会觉得更加像坟场而最近十几年拆解的工艺就是刨钉剪钉的水平才越来越成熟然后他里面就提到机身这上面的铝合金材料
[00:30:21] 要如何能够高效的无软的回收实际上是有很多的讲究的确实就像你说的因为这个机身本身就是一个科技含量很高的铝材就是你把它全部浪费掉肯定是非常可惜的但怎么再利用呢也有点tricky对这个论文里面当中提到很多非常专业的一些工艺的细节比如说相比较于过去的全破坏性的拆解其实有一种半破坏性的拆解实际上是对经济最省时的方法什么打一些钉子等等的然后回报也会很可观就是等于能收回的能用的铝很多
[00:30:50] 当然这个再深化下去就很复杂了都是专业的生产工艺我们这边就不展开了
[00:30:56] 那到这里呢我们就把老飞机降落在飞机坟场以后的三种常规结局以及它们的经济效应介绍了一下最轻松的当然是第一种就是原地复出原地复活是吧第二种呢其实改装成货机那它其实耗费的资金和时间是最多的但是潜在商业价值呢是更大的第三种呢就是一个比较最终的结局就是把飞机拆解回收再利用其实除此以外还有一些小众的隐藏结局我们也可以提一下
[00:31:24] 比如说有个别的飞机它会被作为标本送去博物馆纪念馆甚至一些学校我们学校就有过一家是的事实上我们今天提到这些飞机坟场本身它们都是一些人的旅游景点很多飞机爱好者是专门会驱车去这些沙漠腹地参观的我们甚至看到有一个专门的网站就是介绍这些基地的这些参观的攻略还有他们停了哪些飞机等等的什么能不能停车停车有没有优惠这种非常详细
[00:31:54] 还有的一些飞机的隐藏结局比如说它会被改造为酒店餐厅然后供这些飞机的爱好者过过瘾实际上这个需求还是很大的我们看到有的机场其实也会做这样的生意
[00:32:05] 与此类似的实际上飞机上的前面讲到座椅仪表盘还有一些标牌等等的这些小部件都是可以拆下来作为纪念品销售给飞机的爱好者你们在亚马逊上面或者是一些别的平台上都可以看到我们甚至看到过一个案例说美国的一名男子花了143万美元将一架波音727客机买下来然后改装成自己的家
[00:32:29] 在里边住了很多年技术宅的经济实力是深不可测或者说有了前世后技术宅能够做的事情这是深不可测的总而言之听上去有一点那种一惊落万物生的那种感觉对虽然我们说了一整期的飞机坟场但实际上大家回过头来看一看有没有发觉就不管是哪种结局其实飞机都没有真正的死亡其实都还挺好的
[00:32:53] 对而是用另外一种方式发挥了它的剩余价值甚至可以说是继续延续了它的生命比如说它就算是拆解回收了之后也是在别的飞机上面来发挥它的作用那回过头来想飞机的建造过程是如此的困难与精妙它的拆解和重生也理应被认真的对待充分的利用这也是人类对自身工业发展应有的尊重商业就是这样
