Vol.95 IMAX如何把自己变成一门生意？
[00:26:31] 像Netflix其实在2014年开始呢就非常激进地推4K那种那现在行业的竞争基本上都已经发展到8K了而当杜比这样的技术服务商入场之后呢音质提升就变成了一个新的卖点目前国内的IOTEN和B站呢也都能提供像杜比全景声的这个服务只要你自己用的设备足够厉害比如说你在一个配了像杜比音响系统的车子里面理论上你也可以享受到这种全景声的感觉
[00:26:58] 的确这一部分的业务不管你是MX也好还是你是Cinity也好你确实都很难抢到它的这个生意因为它跟电影工业的绑定实在是太紧密了
[00:27:12] 好了来到最后一part我们总结一下今天我们聊的是一个此前不太涉及到的领域就是电影技术领域的公司其实电影技术的提升主要还是跟创作者的进步有关如果过去的标准无法满足导演的创作目标他们就会和服务商合作一起去探索更高的制作标准
[00:27:35] 大部分的电影它同时又是商业作品那么它推到市场上的时候当然也就去需要电影院线的承接也需要观众的支持如果观众通过一个大片切实地感受到了电影视听体验的魅力那么电影院和观众可能也就会愿意花更多的钱来购买服务将更高的标准落地当然在讨论这些进步的可能性之前还有一个我们已经提出来的问题
[00:28:02] 就是未来呢大家会一如既往的支持电影这种大荧幕艺术呢还是会更加激烈的转向流媒体甚至是短视频消费习惯一旦迁移了那对于IMAX这样的技术服务商来说这个市场就很残酷了因为IMAX的全球业务也是一家上市公司嘛所以说这两年外国的分析师也在看它业绩的恢复情况
[00:28:24] 他们有一个观点是即使在经济和社会前景不是很好的压力之下呢美国人也非常重视娱乐而看电影算是一个相对廉价的娱乐方式那不过在中国我估计情况还是会不一样吧我们这几年大家也看到电影的平均票价在走高而且还走得比较陡我觉得然后剧目呢它也要分出这个高价和平价的路线而和电影相比
[00:28:51] 绝大多数现在最流行最红的那种短视频可能连廉价都谈不上因为他们的制作和收干成本都几乎为零对于一家生在1967年的公司来说这完全算上是一个代际挑战了所以我们对于IMAX在疫情之后的复苏只能说抱有一些谨慎的乐观贾章克导演曾经在2022年年终的一则访谈中提到
[00:29:18] 他认为国内目前所有电影行业的问题从根源上看其实都是经济问题他也希望所有的电影都能回到一个平等的确定性的环境中去竞争2023年其实刚刚开始只有整个市场恢复环容才有可能将更多创作者的想法通过技术化和商业化的手段变成全球共享的光影感动商业就是这样
[00:29:47] 也会推送每期节目的内容
[00:30:02] 如果喜欢我们欢迎你在苹果播客给我们五星好评并期待你在各个平台与我们交流尤其欢迎分享你感兴趣的话题下期见
