Vol.38 玲娜贝儿才不是一夜爆红
[00:05:14] 所以是所谓天生励志的结果了因为可爱就流行这种原因在日本很能说得通呀对的那在这个之后呢达菲的地位这个达引号的地位就已经升格了他有了自己专属的一个秀那秀这个点我们后面也会提到然后呢迪士尼就开始开发新的朋友像东京迪士尼就推出了雪莉梅杰拉托尼新带路后来香港迪士尼又推出了可奇安夏威夷呢又推出了奥勒米拉反正这些名字你必定要记住
[00:05:41] 大致的这个故事都是达菲去了哪哪哪玩然后遇到了一只小动物他们就成为了朋友这一些他们一起就形成了所谓的达菲家族中国官方的名字就是达菲盟友会就是卖盟的盟而最新的一位家族成员就是上海迪士尼推出的林纳贝尔他是在9月29号才首次亮相的注意到一个问题刚才你好像每提到一个角色都会说是在某某乐园出现的这个到底是什么意思好问题啊
[00:06:09] 不过首先如果是迪士尼的人听到你这个问题的话肯定会先周正说他们不是角色而是真实存在的迪士尼朋友那好吧我重新问一下那这些朋友为什么会跟某个乐园绑定呢确实达菲家族从一开始就是乐园专属的这是一个非常重要的点首先任何的迪士尼朋友他都是在同一个乐园里只有一个的什么意思呢也就是说你不可能在上海迪士尼同时间看到两个米奇在两个地方
[00:06:37] 这个就是所谓的真实存在其次呢达菲家族更加特殊一点他一开始都是只能在某一个乐园里看到的然后过了几年之后呢才会来到别的乐园里面另外我也注意到就是达菲家族的话主要是在东亚地区活跃的就是他们的活动半径其实也不是很大对吧没错达菲家族的人气其实就是从东京为原点逐渐积累扩散我们的同事陶子东他就采访了一位达菲家族的粉丝
[00:07:04] 他就是2016年的时候去了东京然后爱上了达菲回到家里面然后就开始买满墙的达菲了那在林纳贝尔之前呢其实达菲家族的新带路也非常火最早的时候要去看他只能去东京吧后来他在2018年来到上海之后人气也非常非常的高
[00:07:20] 在二手平台上的价格也已经是原来原价的两倍三倍了所以说如果从新大陆开始算的话林纳贝尔其实不是达菲家族在中国第一个红的IP了对其实像达菲本菲他也是在中国其实人气也非常高总而言之的话就是达菲家族是花了大概十几年的时间然后逐渐的一个一个来积累人气的然后他们在东亚社会形成了一个规模可能不是很小的一个核心粉丝群体对吧
[00:07:46] 没错,这个核心的粉丝群体如果一定要描述的话,大概可以说是成年的年轻女性,有可能是以18-30岁为主,这个不是一个官方的说法。关于受众人群这一点,我们也请教了一位迪士尼的深度粉丝。
[00:08:01] 迪士尼它本身的最传统的那群IP其实肯定还是小朋友是最多的吸引的地方可能是确实是挺受东亚地区的女性喜欢的一个感觉这个东西可能欧美人是没有感觉但也许对于东亚的人来讲他是对这个形象本身是有感觉的然后另外还有一点是要放到一个时间线上来看就是说从08年到现在其实已经过去15年就是15年当中其实有更多的年轻的人充盈进来
[00:08:26] 我觉得他在整个迪士尼的角度来看我反而不认为他是一个特别细分的事情刚才说话的是Jasper的联合创始人杨一他还有另一个身份就是一位资深的迪士尼爱好者他本人其实是最喜欢米奇米尼的但按照他的说法只要达菲家族即将有新的成员他的朋友圈里面的同好也都会调手以盼调手以盼一个没错所以这也是为什么我说林纳贝尔的红根本不是一个突如其来或者莫名其妙的一个现象
[00:08:55] 简单总结一下,就是首先达菲家族是经过长期积累的,其次在国内早就有了达菲家族的核心的爱好者群体,家族的成员也很早就有了比较高的商业价值,比如说向心带路,只不过他们是没有在社交网络上发酵的这么厉害而已。
[00:09:14] 讲到社交网络感觉就是你想吐槽第二个点就是很多人都觉得林纳贝尔的成功背后是所谓社交网络营销的胜利了对的因为我觉得这种说法后面隐藏了一个暗示好像说是迪士尼或者说是官方主动的去在社交网络上推广了林纳贝尔这个其实就是搞错了方向因为我们刚才讲到林纳贝尔在亮相之前达菲兹阿族早就是上海迪士尼的一个明星了推出林纳贝尔肯定也需要一系列的营销和推广活动了
[00:09:42] 但是这个营销几乎是不在社交网络上面做的这个怎么说因为据我们了解官方在林纳贝尔推出的时候大概就有可能买了个别的一些硬广然后请了少数几个明星KOL拍了一些跟玩偶的合影然后就没有了
[00:09:58] 没有买热搜也没有买软文我听说整个十月份他们迪士尼的乐园的办公室里边大家也是很无语的每天一开微博又是热搜然后又要讨论讨论们肯定也会带着一些吐槽所以大家还得去处理听上去这是一个非常反尔赛的结果了是的那么既然就是说迪士尼没有在社交网络上面营销林纳贝尔这个事情那么迪士尼到底对林纳贝尔这个IP做了点什么呢
[00:10:20] 这个首先就要强调一下我们刚才讲到的点就是达菲家族是乐园专属的迪士尼朋友也就是网上大家都会说的他没有电影没有剧没有这些作品这个好像确实是达菲家族比较特殊的一个地方因为在此之前迪士尼乐园里面的大多数形象的话其实都是所谓先有的动画作品然后才到乐园乐园等于是一个承接和放大作品影响力的地方了
[00:10:46] 对的比如说像那个冰雪奇缘的那个爱沙公主对吧大家都是看了电影才爱上的但达菲呢她是诞生于乐园也只限于乐园的那肯定很多人就是靠看第一眼觉得好看可爱喜欢上她的但是如果只有颜值和可爱的话你想想看她是不足以长时间的维持比较高的人气的所以说我们觉得达菲虽然没有作品但她有故事这个故事虽然只有一两句话很简单但也是一个完整的故事
[00:11:14] 但是一句话的故事想要把它展开来其实也挺难的对吧对这个就要涉及到乐园本身的营销和运营了而且有很多很具体的能耗可能有一些还比较保密我们就讲一个大概的框架给大家理解一下首先就是一个迪士尼乐园它主要是由四个部分组成的就是游乐设施秀餐饮和周边商店
[00:11:36] 我们之前在讲主题乐园的节目里面也提到过迪士尼先生本人认为乐园是要不断变化和不断更新的所以说我放在林纳贝尔这个案例里面他的故事线的扩充和更新好像也就是通过这四个部分来完成的对吧没错但是这不同的板块里面他这个更新是有周期的然后这个周期也不一样首先是游乐设施的周期它是最长的一般有可能要十年甚至更长的时间
[00:12:02] 这个也很好理解因为这个游乐设施这个硬件又要研发又要建造其实是很费功夫也很费钱的所以不太可能因为某一个迪士尼朋友很火了就马上专门为他建造或者改建一个游乐设施这是蛮难的一件事情所以你现在也不会看到在上海的迪士尼乐园会有一个专门的林纳贝尔的一个玩的地方是不太会有的那大家到底在哪里能见到林纳贝尔呢我要问你这个愚蠢的问题了
[00:12:28] 对这个其实很重要就是大家主要是去两个地方和他见面拍照一个叫做部落丰盛堂另一个叫做甜心糖果屋这两个都是什么地方他们其实都属于是迪士尼乐园的餐饮和商店的部分那餐饮和商店的更新呢就会相对灵活一点比如说因为一个新的形象啊应该说是迪士尼朋友啊出现了之后他可以重新的去布置店面也重新的去推出一些新的产品比如像在部落丰盛堂
[00:12:54] 它本身就是一个达菲家族主题的餐厅和商店在林纳贝尔推出之后它就会把整个这个地方改造成一个林纳贝尔主题的地方会推出专门的餐食还有周边的玩偶同时最主要的就是重新布置了一个拍照点把它变成了一个森林里的一片草丛为什么是草丛啊这个就涉及到迪士尼乐园在运营一个IP的时候的核心的逻辑
[00:13:18] 就是一切要根据这个迪士尼朋友的故事和特性来那林纳贝尔的设定是他是一只充满好奇心热爱思考的小狐狸他喜欢探险酷爱大自然喜欢在森林里会用标志性的放大镜去解决问题揭开谜底所以达菲就是在森林里遇到林纳贝尔的感觉林纳贝尔是一个野生的名侦探柯南咯
[00:13:41] 我感觉你给他们提供了一个新的怜悯的思路所以林纳贝尔就会在一个这样的背景墙那边和游客来互动拍照互动和拍照的部分其实就是乐园里面所谓秀的部分也是和运营最相关的比如说林纳贝尔是怎样的性格怎样的故事就决定了他在面对游客的时候他的各种互动的动作是怎么样的因为他比较活泼有好奇心所以相对他会做一些比较调皮的动作
[00:14:06] 甚至有些动作会跟米奇比较像那这些动作你可能在新带路或者达菲那边是不怎么常见的所以就是一切要符合他的人设对吧没错另外就是迪士尼乐园的秀会根据一年里不同时间段的主题会有更新的比如说万圣节的主题来了那么林纳贝尔就会穿着这个主题的衣服在甜心糖果屋里面和大家见面接下来还会有中国新年的主题那到时候也会有一个新的更新的秀
[00:14:30] 同时商店里也会配合这些主题来推出一些期间限定的一些产品比如说到了哪个季节穿怎么样的衣服这个大家很好理解但这个周期大概就是两三个月那么迪士尼内部到底是怎么来确定这些不同板块的活动他们比如说要怎么合作或者说这个中间会不会有些冲突的问题总的来说的话每一个迪士尼朋友都会有一个专门的团队比如说林纳贝尔的团队会根据他现在的故事线按照上面四个板块先给出一个整体的一个策划
[00:14:58] 那么每个板块各自的部门就会根据不同的迪士尼朋友的情况为他们定制相应的产品或者活动类似于是一个条和块之间的配合的感觉最关键一点就是迪士尼做这些事情它都是按照自己的节奏的不太受外面的影响这个跟我们好像感觉不太一样关于这一点这个又要请出杨一来解释一下了9月底的时候去了他们2022年零售销售部门的相当于一个发布你几乎可以认为它
[00:15:27] 因为最近看到热度很高我就拼命的往上冲不太会有这个事情
[00:15:57] 所以简单来说就是所有的事情都是迪士尼早就定好的了对某种程度上可以这么说因为他不会因为林纳贝尔现在红就一下子增加他的商品的更新速度或者是产量出一大堆的玩偶让他到处出现这是不可能的短期的应对呢当然也会有比如说因为林纳贝尔和达菲家族的人气很高所以他们会去参加这个乐园里面最主要的花车巡游
[00:16:22] 会有比较多的互动和亮相的机会相当于在瘦里边的这个部分比较重点突出一下就是有点像站在C位或者站在前排那种感觉但也仅此而已了其他的东西都是按照吉斯尼自己的节奏而这个节奏的核心就是刚才讲的他对每个形象的故事的把握一切都是为了塑造那个故事
[00:16:41] 然后这又同时是迪士尼的一部分
[00:17:07] 至于所谓社交网络营销的话好像确实不在他的关心范围内或者说迪士尼好像更关心的是核心的粉丝群体的体验也就是因为整个达菲家族的核心粉丝他的体验特别好才引起了社交网络上的这些很高的关注度对吧月老师总结的很到位了说到这个的话就让我想到另一个很著名的例子就是熊本熊Kumamon
[00:17:30] 说实话我对迪士尼是真的无感但是熊本熊永远可以在我的表情包里面拥有一页的收藏空间我也是这样的为什么说到熊本熊呢是因为我看到很多的报道都说消费者买林纳贝尔的玩偶就有点像买泡泡马特的牟里一样因为牟里也是没有故事的所以大家就是买个可爱但是我觉得这个虽然有一定的相似但不完全对更贴切的类比可能是熊本熊这样一个迹象物怎么讲呢首先熊本熊也是没有作品的
[00:17:59] 也没有动画也没有电影对吧但它也有一个完整的故事和设定我们的同事未来一想图的主编赵慧就写过好几篇文章来讲熊本雄背后的故事他还采访了这个吉祥物的创造者和设计师简单而言就熊本雄是一名熊本县的公务员而且是营业本部的部长但是性格就有点小小的不靠谱然后经常走丢还有点脱线熊本雄一开始走魂的话就是因为他在当地搞了一个campaign
[00:18:24] 就是说熊本熊去大阪出差了但是沉迷于大阪这座城市的风景然后就失踪了同时你会就会发现那两天在路上就会有一个熊一样的这个家伙在路上给别人发名片上面写什么我姑且是个公务员我来大阪做做生意熊本的人都不太了解我但我可是熊本县的象征呐这种有点搞笑的话然后它就成为一个话题了
[00:18:47] 我觉得熊本人不了解你大阪人就能了解你了我觉得这个脑活路真的是很诡异啊对但他之后的一系列的营销活动呢都会有这种渐渐的比较好玩的这种感觉但同时呢他又会非常奇怪的坚守那个公务员的身份比如说熊本熊一开始是不愿意和一个果汁的品牌直接做广告的因为他是一个公务员按照当地的这个公务员的法规他不能直接代言那种商业的产品
[00:19:10] 同时呢他还有自己专门的办公室就在熊本市的一个百货里面他会有规定的上班时间和表演时间如果去别的地方出差呢这些都会在政府的网站里面有个时刻表列出来像我自己去熊本玩的时候都是先看好了这个时间表才去办公室里面和他击掌的所以你要遵守他的office hour就是他真的是一个真实存在的上班族了没错像我们几个朋友都是直接叫他部长的就部长他不是皮套也不是演员他就是部长本尊
[00:19:37] 要理解这一点其实是理解熊本熊或者说达菲家族的一个核心小老师话重点了这也是我为什么说熊本熊和林纳贝尔可以类比因为它就像迪士尼一样任何标志性的那些动作或者说是一些手势都是有计划好的比如说它有个乌嘴的动作就是因为验证下来觉得大家都觉得很可爱所以它就保留了下来然后熊本熊还喜欢做一个抬脚的动作其实这个动作就是来自于米老鼠的
[00:20:03] 迪士尼也是一样林纳贝尔也好米奇也好因为他们都是明星带给大家快乐的按照迪士尼的规定他们就不可以直接代言产品所以即便是在餐饮或者是商店里面出现也不能和商品同框的在这个环节里面每个细节都是精心设计出来的但是又让他们融合成一个自然的整体而且要符合一定的规范这个就很花心思了
[00:20:27] 讲到这里我觉得我作为一个路人也基本上理解了说林纳贝尔是怎么养成的对吧我在网上看到过一个评价说过去的米奇和米尼是所谓的演员因为作品红了他们才能红但是林纳贝尔是爱豆他的核心是一个人设感觉这个说法还有点意思我也看到了这样一个说法我也觉得他其中其实是有比较对的地方
[00:20:49] 不过我也看到就是我们陶子通采访的那位粉丝他就说到其实他不太喜欢idol和粉丝这种比较因为他可能作为一个局内人觉得这个词听上去有可能显得他们有一些非理性或者有一些狂热但他自己觉得这个只是一个爱好可以给自己带来快乐而已我也觉得这个类别值得商榷不过是从另一个层面来讲的
[00:21:11] 比如米奇米尼有的人会觉得他们是上一代可能已经过气的那些迪士尼爱片其实完全不是对完全不是比如说现在有些10后15后去迪士尼他们从来也没有看过米老鼠的动画片啊去了一次乐园就没迷住这样的案例一抓一打吧这其实也就是IP本身的魅力当然其实打飞家族的发展也不是完全创新的杨一也告诉我们其实米老鼠和唐老牙也有类似的思路
[00:21:36] 对这一点其实也蛮有意思的就是根据杨一的说法米老鼠的形象和故事其实是有一个转变的过程的一开始的米老鼠是那种老是出错有点憨憨的很平民的一个形象后来呢他逐渐有了知名度是一个star是个明星了闪闪发光了那么就不太做那些有些笨笨的或者出错的事情这个时候呢就有了唐老鸭所以他承接了那些笨笨的和出错的事情了没错所以其实是迪士尼是知道
[00:22:03] 不同的受众的人群他们喜欢怎么样的形象的达菲家族也是类似的为什么会从达菲变成一个家族呢也是因为迪士尼发现这是一个很庞大的受众仅靠一个达菲的话其实是不能满足所有人的喜好的或者说那种细微的偏好的差别那么他就会想办法找到一些细分的点推出新的迪士尼的朋友如果说迪士尼会根据某某形象的
[00:22:27] 人气来做出一些应对的话其实也就是这个层面的应对也就是所谓产品研发层面了但这也还是一套长期沉淀下来的传统不是所谓革命性的一些变化对吧没错讲到这里又让我想到迪士尼这家公司许多会上人议论的做法比如他们的职工入职以后都要接受考试我们前面提到的所有细节他们都要牢记于心
[00:22:50] 还有就是他们所谓地表最强的法务部门凡是跟他们合作过的品牌的话都会被迪士尼这种严苛到龟毛的细节震惊到对的我听一个朋友转述过就是说有一次碰到一个迪士尼的员工他戴着那个米尼的那种有金粉的亮闪闪的那种发箍嘛然后有一些粉就掉在身上了然后他就说我身上沾到了魔法星尘就是说这个粉也都是有专属的名字了
[00:23:14] 这个也太强了吧我觉得他已经被迪士尼洗脑洗到人戏部分了就是完全沉浸到那个世界里边了最后总结一下就我们为什么会在这期节目里边吐槽这么多呢如果要用一句话来说明就是我们觉得林纳贝尔他不是一个短暂的网红现象而是一个长期生意的一部分我自己的感觉是林纳贝尔是一个很好的例子来理解一下迪士尼这家公司的做事方式
[00:23:39] 迪士尼所做的事情就是所谓为人们营造一个梦幻的世界其实听上去很简单的一个想法他具体用的那些做法也没有什么新奇的但本质的区别就是迪士尼会在每一个细节毫无保留的非常极致的来贯彻这个梦境这才会让一代又一代的人去相信他虽然这么说可能有点说好话的那种感觉但有的时候迪士尼真的会让我产生一种感慨就是商业原来可以这样
[00:24:09] 感谢收听这一期的商业就是这样你可以在苹果播客小宇宙喜马拉雅网易云音乐QQ音乐荔枝等平台收听我们的节目微信公众号第一财经emagazine也会推送每期节目的内容如果喜欢我们欢迎你在苹果播客给我们五星好评并期待你在各个平台与我们交流尤其欢迎分享你感兴趣的话题下期见
