Vol.06 MANNER咖啡凭什么做到好喝+便宜+连锁？
[00:09:16] 这才打开了Mana进商场的这么一个过程至于写字楼的话其实是非常好理解写字楼里边的工作人群其实对咖啡是有刚需的而且因为这个空间限制住了只会在这样一个楼下面的几个店铺里边来选择那你只要进了这个写字楼你很自然的就抓住了很稳定的一批客流以前的话这种写字楼的客流几乎都是被星巴克拿走的要么就是被便利店拿走
[00:09:40] 现在MANA是一个门槛更低看上去效果更好的品牌为什么不选择它呢这也是一个比较有趣的商业现象仅在上海城区这个范围里面其实MANA已经开始抢占星巴克的一些固有的基本盘了好像有一个说法是如果在一家星巴克的对面开一家MANA那个星巴克的客流会掉30%
[00:10:01] 当然这是一个个别的也未经证实的一个数字但是大家可以感觉到这样一个现象能抢掉生意其实刚才也说了一个很本质的原因对消费者来说就是因为它又便宜又好喝那我们就来讲讲它为什么能够做到便宜这件事情我先想问肖老师你觉得咖啡本身应该买多少钱比较合适我直观的反应就是星巴克那个价格比如说25块钱30多块钱这样一个水平
[00:10:27] 这其实就引入到消费心理学上的一个很著名的概念叫锚点效应锚点效应的话本身就是说你觉得一个价格应该是多少钱市场的话会在这个锚点上下有一些变动你就会自然地产生贵或者便宜的这样一个认知中国咖啡市场一开始的价格锚点其实是就是星巴克来定的比如说大家常喝的拿铁焦糖马其朵抹茶星宾乐这可能都是特别常点的一些单品它们都是30块钱左右而且
[00:10:55] 星巴克在中国做了很多年一直都是市场的老大所以说消费者的锚点基本上就是认知到了这个程度简单来说就是在中国咖啡的便宜和贵怎么来判断比星巴克高
[00:11:09] 那就是贵比星巴克价格低那就是便宜虽然星巴克定了这个价格锚点但是这个价格锚点也很容易被打破比如说瑞幸瑞幸的话是非常擅长于打折的他用打折这个方式让不同消费者知道了咖啡其实几块钱十几块钱也可以买到Manda其实做的也是类似的事情我们觉得它15元或者20元的价格便宜就是因为它是低于星巴克但实际上对于一杯咖啡来说
[00:11:37] 要做到这样一个售价并不是那么难
[00:12:05] 说句不太正确的话如果你想靠喝咖啡喝垮一个店的话请大家都喝奶咖把话说的远一点其实大多数的饮料都是一个毛利很高的一个产品就是说这个原材料本身价格都没有那么贵对
[00:12:21] 咖啡就是一个特别便宜的东西如果你只看咖啡本身的话就是除了咖啡本身的成本以外呢很多人觉得做咖啡不赚钱的原因就在于他们的更大的一些成本省不下来比如说租金装修设备人工这些都要花钱其中租金和人工可能是占比最大的部分像Manor这种门店比较小的模式的话就可以做到房租比较便宜它的店很多都没有座位如果说大家习惯星巴克的话
[00:12:49] 它要不止很多左右因为它是一个讲话社交的空间这些空间的租金都会折算到咖啡的价格里面当然另一个方面其实Mana也有一部分成本比较高的就是它的人工据我们了解它的咖啡师在业内的薪酬都属于是
[00:13:05] 顶尖水平的而且它一个店要配好几个人就是按照Maina那个店铺的大小如果你是一个奶茶店有可能只有一两个员工但它有三个咖啡师而且真的是不停地在做不停地在做对所以从综合的成本上来看Maina可能会比其他的连锁咖啡店省一点但其实也没省的那么多至少跟星巴克来看价格上没有那么大的差距所以关键的问题其实就是出杯量也就是说你一家店能在单位时间里卖掉多少咖啡决定了你这家店能产生多少收入
[00:13:34] 我们在2018年的时候采访过一个小型的连锁咖啡品牌他们当时跟我们说的数据是如果说配合上外卖的话一天卖400到500杯咖啡是可以做到的但他同时讲另一个数字是如果你一天一个店做不到100杯的话就很难盈利
[00:13:52] 所以简单来说出杯量和你这个咖啡店的收入是一个正相关的你出杯量越高你的利润就越高对像Manner的一个优势就在于了他用很多方法能够做到在好的商圈或者好的写作的一些门店里面一天可以出到千杯级别的水平这就能支持他现在以很便宜的售价来卖咖啡简单的总结一下就是开源比节流更重要对前面也提到他有很多刺激提升效率的一些手段
[00:14:21] 有几个小的案例比如说它有一个我使用频率很高的一个工具就是它的小程序可以提前在手机上你就把单点掉然后你到现场去拿咖啡这个其实跟瑞幸的思路很一致另外一个的话就是它门店的工作效率非常的高对我们前面也提到它可能一个很小的门店里面要塞三四个咖啡室
[00:14:42] 他们其实是流水线作业的就是每个人只负责做咖啡这个工作的一个部分他把工作拆解了以后每个人做的工作都很简单这样反而不容易出错几个人的配合就可以使他的中提产出大幅度的提高另外一个Manner比较有意思的点就是如果你自己带杯子的话就可以省五元其实星巴克也很早就有这样一个举措了但是Manner的这个折扣力度就更大而且和他的这个性价比的定位一比就会
[00:15:09] 因为有些人会拿星巴克的自带杯去Mana打咖啡大家会觉得这个事情很有意思
[00:15:34] 而且我们前面也提到了他们有小程序小程序的话其实不支持自带杯的点单的你自带杯必须要去门店点其实小程序无形中也压缩了自带杯的比例他们其实亏的没有那么多所以本质上的话他用自带杯能够形成比较好的品牌形象留住更多的熟客但同时也做大了自己的货客的范围使得他每个门店每天能够卖出的咖啡杯数要比一般的品牌更多我们前面讲了很多经营层面的事情但是实际上
[00:16:04] 决定我们为什么喜欢Maina的还是因为她的咖啡喝起来还不错大家还记得节目一开始的时候我们有说到Maina一开始给自己的定位就是评价的精品咖啡其实我个人觉得Maina可能不算是真正意义上的精品咖啡我觉得它更像是站在了一个大众消费和精品咖啡的分界点上什么叫精品咖啡呢
[00:16:28] 简单来说它有一套很标准的体系化的来自欧美的评价标准中国目前市面上有很多说自己做精品咖啡都是因为采用了这个标准采用这个标准就导致他们的生意不一定做得很好这个展开来说比较复杂
[00:16:45] 岳老师徐彬青老师他自己控制了一下自己大家都知道他是一个狂热的咖啡爱好者如果让他放开说精品咖啡这件事情我们今天有可能要录三个小时我们还是回到Manda要不徐老师你给我们简单的评价一下Manda的咖啡水准到底是怎么样的或者他在咖啡的一些关键要素上面他是怎样的一个水平我先抛开口味这件事情不谈吧我就觉得他的品质还是可以的首先他的豆子都是自己
[00:17:15] 自己烘的一个好处就是说你拿到生豆情况不一样的话你可以很快去调整然后保证你最后出来的就是门店用的咖啡豆的情况都是差不多的而且呢自己烘豆子能够很快的发掘到说绝大多数的消费者能接受什么样的口感他就烘什么样的豆子这样其实是很好的用量比较大了以后这些咖啡豆周转速度比较快也能保证门店用的咖啡豆都是很新鲜的
[00:17:41] 对咖啡来说新鲜是一个很重要的事情不管它的品质如何另外一点就是说如果大家去看一下Manna的门店他们用的牛奶都很好这点我觉得挺重要的因为中国的消费者喝奶咖的比例还是很大的所以说奶有时候要比咖啡更重要
[00:18:00] 现在Manna用的是性价比很高的一款牛奶叫朝日绿园它可能是在十几块钱这个档位大家能喝到最好的牛奶之一了包括奶本身也可以做一些文章比如说Manna前一段时间出了一个新品叫上海拿铁上海拿铁里面其实咖啡我觉得没有什么太大的缩头比较有意思的一点它就是用了一个光明的高端的牛奶产品线
[00:18:25] 消费者其实喝的时候能感觉到好像比原来要甜一点或者是香一点它是能感觉到不同的第三点就是Maina的门店都是用半自动机出品的如果大家知道星巴克或者瑞幸的话他们可能都是用全自动机出品
[00:18:40] 比较多全自动机就是你按一个键这个咖啡液就出来了半自动机意味着你要先把咖啡粉磨好然后装到手柄里面把这个手柄悬到咖啡机上然后让这个咖啡液留下就是它里面还有一些人工的操作的步骤这个部分其实如果说咖啡是培训的不好的话就会导致出品的水平参差不齐但是Mana的培训做的还不错
[00:19:05] 所以他们的咖啡师很注重每次去做称量然后保持品质的相对一致这个还挺难得的最后一点就是Manna有一些确实品质上还不错的产品比如说它会提供精品的浓缩咖啡豆也有不同品质的手冲豆这些部分都是符合精品咖啡的概念的所以它是一个一半精品一半大众的混合体最后我再补充一个小的题外话就是
[00:19:34] Manner现在还是坚持每杯奶咖都会做拉花的其实我个人对这个是没有什么特别在意的但它确实会让普通的消费者觉得这杯咖啡做的比较用心包括价格上面也是一样就是韩玉龙早年创业的时候说过一句话就是因为这个价格摆在那里即使我的手法上面差了一点做出来的东西不是太好但是大家还是觉得说可以接受心态上面也会影响到大家对于口感的认知
[00:20:00] 就是非常非常挑然后他们就是我觉得就应该嗯差不多是算是懂咖啡的取客人了吧对因为他们懂咖啡豆他们懂咖啡机他们懂制作的工艺他们懂奶泡的好与差他们懂牛奶的剂量他们能报出来很多很多产区的名字啊之类的所以在这一块的话你其实真的是非常卓越的那种品质的提供的话那么消费者其实还是非常认可的
[00:20:29] 它会出全数的消费总结一下的话就是在豆子牛奶制作工艺这几个方面麦娜的品控都做的相对比较优质对如果我们不谈口味谈品控的话麦娜是一家很优秀的公司最后的结果就是至少从许多消费者的反馈来说它确实是能够从味觉上感受到这种品质上的差别的
[00:20:54] 对就像你看到一个缝的很好的东西和一个缝的很差的东西的时候你是能够看出来区别的不论是连锁经营的这个技巧还是对咖啡品质的把控Mana的这些优点能够得到认可本质上还是因为这个市场空间足够或者说中国是一个发展中的咖啡消费市场就现在的确有了一大批每天都需要摄取咖啡因并且能够
[00:21:20] 感受到咖啡和咖啡之间不同的人群而不是说像原来星巴克这种模式一样大家都坐在咖啡店里面讲话随便点一杯东西他也不管里面是什么这个差别其实非常的大对吧本质上这是两种消费形态卖的是两种东西当然不管是从市场空间还是经营模式上来说Manor占据的这些优势都挺显性的所以他也培养了挺多的竞争对手
[00:21:46] 就是它没有什么秘密武器它只是把各方面都做得比较好一些对所以说理论上的一个同样做得比较好的品牌也有可能成功如果说他们在上海市场现在打不过Mana的话他们完全可以跑到另一个没有Mana的城市去开同样的生意比如说苏州有一家叫代数学家的店就开了很多基本上就是用Mana的思路复制了一遍效果也很好从更大的饮品市场的角度其实像Mana这样的咖啡店
[00:22:15] 但目前来说即使价格比较类似
[00:22:43] 的奶茶店和咖啡店他的目标人群还是会有一定的区别的他们未来有可能会有竞争但目前来说还是各自做好各自的生意刚刚表扬了很多manda的优点其实再重复一遍就是他只是把咖啡连锁店这样一个生意的各个方面都做到了比较好
[00:23:05] 所以它现在已经在这个市场里面至少在上海这个区域里面形成了一个比较大的竞争优势但是它能不能维持或者能不能在更大的范围里面复制这样的一个优势其实是值得考察的连锁作为一个商业模式从一到十的这个阶段其实是比较困难的因为你不知道怎么把它做成一个像样的连锁然后你从十到一百这个阶段其实反而是比较容易的因为做到十的时候你已经积累了很多经验比如说你装修
[00:23:34] 很有经验了你看材料看文件也会很有经验办证件之类的都招人都是很有优势的所以这个阶段反而是容易的但到后面100到1000的这个阶段又变得很困难因为你不知道把它怎么做成一个特别大的生意具体到咖啡这个生意的话其实Manda现在已经有一些上海以外的门店了确实在拿了融资之后有更大的一个扩张计划
[00:24:00] 我们比较担心的第一点就是当他跨到上海以外的城市之后他现在能做到这些比较优质的品控还能不能保持比如说我们前面提到了他的咖啡店的烘焙可能是在上海本地的你如果换到一个全新的城市离上海比较远的城市我们举个例子比如说他去成都开店他的咖啡都从哪里来呢如果他在成都开100家店200家店的话他肯定要在本地去找自己的烘焙厂这个对他来说就是一个全新的工作
[00:24:29] 另外一点的话就是他有可能在别的城市想要拿到在上海这么好的一些门店的点位也没那么容易对因为我们前面也提到有些超man的思路的品牌已经在其他城市有卡位了包括说其他城市星巴克也目前也在增长期所以想拿好的点位的话不会像上海这么轻易第三点的话就是人员的培训刚才man的一个优势是他的咖啡师整体水平比较高保证了一个比较稳定的品控
[00:24:57] 那你到了别的城市是不是还能复制这样的培训水平能不能招到同样水准的咖啡师其实都是存疑的不过这方面的话星巴克之前就有一个例子星巴克会把自己一线城市门店里面做得比较好的咖啡师直接派到二三线城市去拓展自己的业务所以说人的流动其实相对来说要比物的流动或者说其他东西的流动要容易一些那刚刚讲的这些问题其实最后归根结底都会落到管理这件事情上面
[00:25:26] 我们觉得Manner现在可能还不太需要谈管理的原因就是他的规模实在还没有那么大他只要把每件事情都做好看上去结果就很好了他不需要那么多管理的经验来帮他完成这些事情但如果你真的要成为一个大市场的大型的连锁品牌成长为一个大公司的话其实管理这件事情是非常重要的不论是对咖啡或者是其他消费品来说都是一样的举一个小的例子
[00:25:55] 星巴克能够在上海开一个城市的烘焙工坊又有工厂又有咖啡的零售的这样一个门店其实背后有一个巨大的团队美国中国加在一起有可能有上千人来支持这样一件事情这背后的管理上的门道就非常非常多了
[00:26:13] 从私心上面来说我很期待Maina能够成长成像星巴克这么大的品牌我也很希望它能很快经历一些像星巴克目前所面临的这么巨大的挑战这样才能帮助它成为一家更好的公司商业就是这样
[00:26:36] 下期见
