Vol.187 合肥，出钱的决心
[00:05:59] 建国初期它是一个苏联原建的项目它最早叫北京电子管厂所以它最早是一家北京公司第三就是京东方在2003年从韩国现代手中收购了当时比较领先的一个业务就是TFT LCD它之后就开始沿着这个技术道路去迭代也在全国各地去找一些更大的产线建设的空间第四就是2001年京东方完成了深交所的A股上市所以说它可以用的融资手段相对来说也是比较丰富的
[00:06:28] 那这四点的话基本上把京东方在进入合肥之前的一个公司的背景和它的概况给大家介绍了一下然后京东方它本身是在2008年开始接洽合肥的
[00:06:39] 要不还是也要介绍一下当时合肥的一个产业条件是什么样的那在21世纪初呢合肥其实是顺德和青岛之外我国的又一个大家点制度它本地有两个比较出名的家电品牌一个叫美林一个叫荣士达另外呢像海尔长虹美的格力这些公司呢在合肥也都建有工厂合肥在
[00:07:00] 家电里面主做的是黑电黑电就是一些电视啊播放器音响之类的那相对来说像冰箱洗衣机空调这些呢行业里面叫白电白电和黑电有点差别就是白电的核心主要是电机你要把电机做好这个东西就要做好产品上的核心的一个零部件是的那黑电的核心零部件呢就是集成电路以及显示屏不过呢合肥总体来说更像是一个组装基地
[00:07:26] 本地大量的家电企业都需要去进口三星和LG的液晶显示屏这些液晶显示屏因为是进口的所以说没有什么价格优势但是本地也没有办法自产所以这是一个比较大的行业的背景所以从他们当时黑店的产业的角度来说解决显示屏的问题就是一个很重要的抓手所以合肥对于那种有核心技术也有自研发能力的液晶显示屏的公司比如像京东方肯定就是有很明确的兴趣
[00:07:56] 所以逻辑上面是一拍即合的但实际上操作难度也有一些因为京东方在市场上有一些前车之鉴是这样子
[00:08:05] 京东方是在2005年在他的大本营北京建立了自己的第五代产线这个产线的技术是非常先进的相应的投资规模也很大京东方当时呢没有什么钱他就需要一些融资来配合他做这些事情为此北京市政府和国开行是协调了九家银行合计给了7.4亿美元的贷款另外呢北京市政府也向京东方提供了28亿元的借款还有一些后续的什么政策贴息啊专项补助等等的
[00:08:34] 出了事情之后还要帮忙善后是的
[00:08:57] 京东方里从这次五代线的融资过程中吸取了一些教训之后他就提出说我每个新建的产线项目都要先把6%资本金凑出来剩下的40%才能找银行贷款就不能再贷太多了这样子即使失败银行方面给我公司的压力也不会太大
[00:09:17] 但是这个60%资本金听上去也很高了那也不可能全由我们京东方自己出那以后就别搞新线了那不可能呀那所以说他就想了个别的办法就是这个资本金的部分是不是可以去吸引一些项目所在地的政府资金以及说政府背书可能能吸引到其他的外部资金把这个资本金凑出来呢这个听上去又有点绕过去了要不就是还是从08年的时候京东方和合肥这个
[00:09:42] 合作的项目当时到底怎么来融资怎么来筹钱的具体来说一说可以啊京东方和合肥合作这个是第六代产线了它的总投资金额是175亿元按照这个比例其中90亿是整个项目的资本金然后剩下85亿是银行贷款我们就不仔细谈银行贷款了主要谈谈这个90亿的资本金
[00:10:04] 最后呢 合肥市政府还要去
[00:10:29] 帮忙协调这个项目的银行贷款然后必要的时候还要提供一些担保我现在就是在摇头就是这个合同如果现在我们看起来的话相当于前面我们说什么91亿175亿最终都是要靠合肥市政府来兜底的对然后京东方就是我就负责努力这个项目就可以了我就看上去努力过了就可以是吗虽然说他在订增当中是要
[00:10:52] 让出来比如说账面价值这还是实际的给人家的东西对就是有60亿的股票还是要卖出去的但是这个做法确实对于京东方来说是大大缓解了自己的压力但是合肥市政府在这个项目上兜底承诺就很大了然后这个其实有一个好处就是外部市场看到这个你这么强的一个兜底承诺他的信心也会有增强前面我们说这是一个双方协议层面的安排
[00:11:16] 在最后的融资结构里面其实有一些变化就是合肥市政府实际上在这个项目的投入是30亿那大大的少于前面那些兜底的总量对因为合肥市政府前面的这个承诺给了外部很大的刺激所以说京东方那一轮做股票定征的时候市场反馈很好它总共在市场上面已经融到了120亿元那合肥市政府就可以少掏一点然后因为这个
[00:11:41] 定增很好呢所以说他银行贷款比例就降下去了资本金变多了银行贷款的杠杆也变小了简单的整理一下就是原本的协议是合肥市政府掏90亿银行掏85亿最后变成了合肥政府掏30亿社会资本掏90亿银行只掏55亿是的所以这个出钱的决心很重要其实对于合肥市政府和京东方来说这是一个双赢的局面京东方有效保障了整个项目建设的资金而且还降低了银行贷款比例和相应的风险
[00:12:10] 还获得了市场的支持那合肥市政府呢他没有花那么多钱他就吸引了那条技术非常领先的叶金平产线落户当地关于这个出钱的决心当时还有一个流传很广的一个段子就是合肥市政府因为当时这个自己的资金有限为了
[00:12:29] 凑钱给京东方这个项目甚至把再建的一个地铁项目都先给暂停了这个说法流传很广啊就我觉得在项目早期呢合肥市政府这个兜底决心实在是太强了有可能确实考虑过要抽掉其他重大项目的资金这回事啊但是最终只投入了30亿元那对于当年合肥市就是他的公共财政收入有220亿元嘛这个负担
[00:12:51] 有有一点重但没有那么重没有那么重对所以说这个说法我个人还是觉得有一点夸大的意思至少从结果的层面来看这个是不太能力的没有到那种特别豪赌的程度是的而且对于合肥市政府来说你就哪怕你前期投入比较多但是这个事情呢可能三年以后就有所缓解了为什么因为这个三年就是他不是去买那个定增的股票吗就是中间有限售期限售期就是三年那解禁之后呢其实合肥市政府就可以去二级市场上卖股票把这个钱收回来嘛
[00:13:20] 根据上市公司公告和一些公开报道合肥市政府在这个六代线的项目的股权交易里面账面的盈利就应该超过了7亿元这个就是你前面提到的我们新增的一个就是在合肥模式里面的第四个关键词就是增值循环就是国有资产的增值的部分因为一般而言政府和国企主要讨论的都是防止国有资产流失和贬值合肥市政府就是把招商引资和股票赚钱结合在一起了这就是所谓的
[00:13:50] 以投代赢这么做呢首先得有很大的胆量同时你还要有看项目的好眼光这个我们可以放到最后再讲
[00:13:58] 既然肖老师提到增值循环接下来我们就再仔细讨论这个部分还是京东方2012年和2015年京东方又先后在合肥建设了两条更先进的产线前面一个是8.5代线后面一个是10.5代线它融资规模就更大了然后合肥市政府介入的方式也变得更复杂你就是要把这个循环滚起来的后面的过程讲起是我们先讲2012年的8.5代线这个项目的总投资额就更高了它达到了285亿元
[00:14:28] 其中有170亿元是资本金115亿元是银行的贷款从资本金这个部分的最后结构来看京东方的实际投入大概是42亿元已经有一些了合肥市政府的投入分成两种部分第一部分是债转股
[00:14:44] 就是合肥市政府先拨了60亿元的免息贷款给京东方然后等到2014年京东方去做定增的时候呢转成了定增的股份这还是蛮常见的另外一种呢是他通过各类的合肥市政府管理的城投公司然后把一部分钱直接注入了8.5代先这个项目公司作为资本金这个部分是有68亿元的这是直接投钱
[00:15:05] 所以最后这个项目的融资方案就是68亿元的政府直投加上60亿元的政府资金的债转股再加上115亿元的银行的贷款确实比刚才我们讲六代限的时候整个的项目资金的规模都大了很多然后何非是政府的介入就更深了
[00:15:23] 在总的投资额当中的占比这样算一下的话有一小半了对其实从后面抛售股票过程当中合肥还是获益良多根据公开资料推算合肥市政府仅仅是把60亿元定增的股票卖掉它的账面获益就有120亿元投资回报率还算可以还算可以还算可以主要是因为这笔钱马上又要拿来用了它要被用到10.5代线的建设上这个就是所谓循环的部分
[00:15:51] 关于这个10.5单线的部分呢我们就不展开讲过程了对有点复杂那我们只说一下结果这次呢京东方是放弃了传统这个定增卖股票赚钱的这个方式那合肥市政府也开始设立一些产业基金比如说他现在很有名的一个专注于半导体产业投资的基金叫做新平基金他其实通过这些基金来作为这个项目的股东方来参与的虽然说目前新平基金这个
[00:16:15] 资金来源看起来呢还是合肥市政府但是它本身是一个市场化运作机构其实也就保留了未来可以吸收一些其他的外部资金以及说做一些更高效投资的可能性这个芯屏芯片的芯屏幕的屏就非常明确的它的这两个项目的这方向了那说到这里呢我们就把合肥与京东方在六代线八点五代线十代线这三次的这个大的项目的投资合作简单的梳理了一下只能说这个行业真的是很残酷就是京东方为了保证竞争力
[00:16:44] 每过几年就要跳一代很快的来往前推动自己的这个技术的发展来建设新的产线而每一旦产线的投入呢都会成倍的增加所以必须有百亿级的政府资金的介入才有可能能够支撑下去另外呢在这个合作的过程当中地方政府也会越来越深的绑定在这个公司规划的技术方向上那万一这公司走错了呢
[00:17:06] 在成果和财富积累同时其实风险也是会积累的那话说到这里呢我们就可以聊这个传奇故事的一些注角了其实在引进京东方的六弹线的时候呢合肥不是说完全只压它一个那针对显示屏其实同时下了两个注
[00:17:21] 一个柱是京东方所代表这个液晶屏的方向另一个柱就是长虹背景的等离子技术那在2009年也就是投资京东方的一年以后呢合肥市内的有一个区叫星战区它启动了一个20亿元投资规模的等离子面板项目这个项目公司叫安徽星号对安徽星号呢
[00:17:41] 它的背景就是长虹往里面派出了技术团队而且它还跟新战区政府一起在这个项目公司里面有一些股权的投资所以当时有一个说法就是说安徽新号其实是一个新战区负责先把厂建起来然后长虹运营管理然后如果做得好的话就可以折机回购的一个合作项目好像这个方式也挺新颖的对
[00:18:00] 不过在之后的市场竞争中等离子就没有成为整个行业的主导技术所以之后安徽信号这个公司的命运也就没有什么人关心了至于说新战区政府当时的投资自然也就打了水漂从合肥师的角度来说他其实等于同时投资了等离子和液晶做了某种的风险对冲虽然两边下注的资金规模是大不相同的也不一定能够真的完全对冲掉风险但至少可以保证自己绝对不会
[00:18:28] 错过整个显示屏这个产业的未来是吧对另外呢关于京东方的成功我觉得他敢于做尖端技术的研发和大规模的投入固然是很可贵很有魄力的但是呢这个逻辑其实是比较接近于研发和生产端的逻辑它不完全是销售和消费端的逻辑因为液晶品它作为一个中油的零部件的部分它其实需要很大的下游的消费品市场以及一些消费场景来承接它
[00:18:55] 一方面呢当时合肥已经有的我们前面说这个家电产业的布局肯定能够帮他消化掉一部分产能这个也是合肥招商引资原本的一个逻辑吧但是之后出现的三大产业浪潮就是移动互联网物联网和智能汽车这三个浪潮对于整个京东方现在的助力可能是更重要的
[00:19:13] 因为这些浪潮直接创造了更多的市场需求需要更多的屏幕了等于是他们在投入了这么多的资源之后项目迎来了一些很重要的行业的东风使得它的市场的规模大大的扩大了这是所谓的天时地利人和的问题当这个东风出现的时候这些技术领先的企业就固然能够更早的乘上去而它对于风向的加以能力也更好
[00:19:37] 但是万一东风没有来或者西风最终压倒东风了届时从财务层面来看在京东方身上投入的政府的一些努力或者是一些投入可能会被说成一种过度投资了其实不管是政府主导还是机构主导在产业投资当中从来都不是只看努力的努力真的非常重要但是时机和运气也都很重要
[00:19:58] 换句话说如果仅仅以京东方和合肥如今的成功来反对当年的做法都没有前瞻性甚至还要指责此前的公众讨论是不理解产业投资的逻辑啊等等的那这个就我觉得太带入上帝视角了
[00:20:11] 如果真想客观的去分析合肥模式的话这反而是一种要值得警惕的叙事没想到光是京东方这一个案例我们就讲了这么久不过关于合肥模式的四个关键词我们前面其实讲了三个但还有一个没有提到就是所谓的链式招商也就是关于整个产业链这方面有没有一些值得提的例子这方面正好有个例子就是发生在京东方投资之后的2015年
[00:20:36] 当时缺屏幕这个问题肯定是解决了但是新的问题又出现了就是缺芯片这里缺的不是家电的芯片而是京东方这个液晶面板本身所需要的驱动芯片所以说作为京东方的产业配套当时合肥就开始想办法了他首先引进了一家公司叫做是台湾背景的是一个代工公司叫做金河集成等于京东方落户合肥以后一方面是补强了他整个家电领域的产业链另一方面因为他京东方自己很大了
[00:21:05] 产业链的中心了所以它的上下游我要它又开始做一些招商引资对这其实是一种沿着产业链去横纵同时做拓展一个结合那有了这个金和集成这家公司以后呢那合肥师政府呢就对于进军高精英金的这个半导体行业有很强的信心了他甚至有过一些主动出击的强势动作举一个例子就是2016年
[00:21:27] 当时是经过合肥市委市政府的决策我们前面提到这个新品基金出资了10亿美元去找另外一家市场化的基金合作参与并购了原属菲利普的一部分半导体业务之后重组为安市半导体这个其实是行业里面非常著名的一个并购案例根据原本的规划就是收购以后安市半导体在手机和汽车芯片上的技术本来是都要在合肥有一些产业落地和合作的这个想法最终
[00:21:55] 不是很顺畅所以两年以后呢芯品基金就把它持有的这部分安市半导体股份卖掉了溢价有65亿元当时也是一个很高溢价的一个结果也把整件事情从产业投资变成一笔非常成功的财务投资但是我觉得从合肥的角度来说产业这个层面还是他非常在意的嘛既然你这个买国外的项目再做本土的整合有点难度的话那要不就自己做其实从头开始做芯片是不是也有点
[00:22:20] 太为难人了但是我们看合肥就是胆子真的很大他真的想自己做
[00:22:25] 当然在具体的芯片方向上其实也可以有些考虑的就所谓看核飞它没有去做最高精尖的CPU这些就是英特尔非常擅长那些东西它选择了一个当时市场需求很稳定而且市场很大的一个方向就是存储器存储芯片具体的工作也可以很简单
[00:22:55] 国内的行业巨头紫光集团它主攻的就是数据存储的这个闪存芯片就NAND然后合肥市政府出资主导建设的这家代工厂的叫长芯存储现在也还是大家比较知道的但它主攻的就是另一种缓存芯片就DRAMDRAM其实是一种技术难度更高的芯片它原本在国内是没有任何公司在这块有布局的
[00:23:16] 长兴存储为什么能做这个东西呢他后来自曝说是买到了德国奇梦达公司一千多万份总计2.8TB的技术文件包才把这块做起来的除了技术文件呢从头建设代工厂其实还需要大量的技术人才嘛那这方面长兴存储的配置也非常的豪华
[00:23:34] 他在早期的项目牵头人是中芯国际的前总裁兼CEO王宁国王宁国是依托台积电联华电子中芯国际武汉新兴海力士等等大公司的人才是帮助整个长兴存储把早期的核心团队搭建起来的而且完成了一系列重要的技术公关长兴存储这个项目是2016年5月份启动的他在2018年7月就把第一颗芯片实质成功了这个速度其实是非常非常快的
[00:24:00] 那在整个工厂建设逐步走上正轨以后呢合肥市政府就去把上游能力也补齐了他在2017年找了另一家存储器领域的上市公司叫做赵毅创新赵毅创新就主做的是芯片设计这个部分那经过一系列业务的融合和管理层迭代以后呢现在的长兴存储在技术上和行业的同名三星的技术代际已经不是很大了就是他大概差1.5代虽然说目前长兴的产品在全球的市场占有率还不高可能是3%
[00:24:30] 但是它的产能储备很充足据说它大概已经占了全球DRAM产能的10%所以说未来可期OK当然关于长期存储和这个存储芯片的话题不是我们今天重点吗我还是想要问一下就是关于合肥模式这个层面就合肥市政府对于长期存储这个项目它的支持度到底有多高对这个我们前面忘记聊了那按照赵毅创新在2017年介入这个项目时候跟合肥产投签订一份协议来看的包括项目前期产生的各类
[00:24:59] 建设费用在内两方要在一期项目上共同投资180亿元其中赵义创新理论上他要出36亿元剩下的都是由合肥产投负责的就大概100多亿元了那在之后的实际操作中赵义创新投入只有8亿而且还是分了好几次陆续投入的所以说如果真的按实际的出资水平来看长期存储基本上就可以算作是合肥市政府自己的项目
[00:25:23] 引入照一创新我主要理解还是为了利用它已有的一些渠道来保障产品的销售如果卖的好的话公司能够慢慢的自负盈亏乃至收回一些前期建设的费用
[00:25:34] 再好一点呢万一以后长新存储能够像前面讲到的金河集成一样就走到这个A股上市那么政府手中的股份也能够退出赚大钱是的那对于合肥式政府而言呢投资下去的第一目标还是要在本地发展出一个成功的半导体公司乃至于一个产业集群至于能不能产生更多的财务收益这个是第二目标那从长新存储这个例子来看呢它首先是成功填补了国内在DRAM这个领域的空白
[00:26:01] 这个账面价值就已经大幅的上升了其次就是长兴存储 经合集成这些企业为核心目前合肥真正形成了一些半导体产业的集群它在设计 制造 封测 设备和材料方面都有一些企业落位了之后又可以继续反向吸引更多的商家由企业进来这其实就实现了我们前面说的沿着产业链横纵拓展的一个结合
[00:26:25] 刚才我们讲的这个合肥模式的这个四个关键词其实主要还是围绕在芯片和屏幕这两个领域的但是因为这个方面他不管是自己的投资也好还是产业的布局也好其实从这两个领域延伸开来合肥目前的这个资金和资源的优势已经输送到了一些别的领域他们自己有一个所谓科创产业的一个布局的这个八个项目的总结啊就是芯片新型显示就是那个显示屏啊新能源汽车高端装备制造
[00:26:54] 沉淀路智能终端生物医药和人工智能这个据说连起来是一个非常拙劣的谐音可能叫心平气和其中生智我真的OK有点怪怪的我觉得你就是大家听到讲这个词的时候很明确就是听到这个谐音的什么概念但是这几个字你很难念念在一起很累啊话说回来就围绕这些新兴产业的方向呢据说合肥每年会派出200到300只
[00:27:22] 专业的小分队来做一些常态化的招商大规模的招商其实很正常但是像河北做的这么细实上是比较少的然后这些招商人员每年至少会花200天在全国各地寻找值得投资的项目很多公务员他们其实自己对于行业的发展和先进技术的理解已经非常深入了有了招商和投资的意向之后财务法务领域的这些背景调查
[00:27:44] 政府也会委托专业的机构来完成等于是一个很市场化的操作就很像市场化的大机构来做事情了对关于很像市场化大机构的方面有一个段子就是在合肥投资未来这个项目虽然今天我们不主要讲未来
[00:27:58] 当时李斌身边所有的汽车行业的同仁也好朋友好据说都收到了来自合肥各个条件的各种询问就有可能一个话题好几个人来问你好多遍相当于是把这个未来还有李斌这个本人还有他周边的这个关系都查了个底朝天那这种工作方式还有这种细致的程度其实和刚刚老师讲的那种专业的投资机构已经非常接近了大家都这么做的合肥做的相对比较到位吧甚至我觉得有可能规模更大然后影响力也更深一点
[00:28:27] 到这里我们基本上是通过芯片和显示屏两组案例把合肥模式的一个基本的思路介绍了一下简单而言可以说就是它用投资来带动招商然后为本地的产业化做了一些早期的布局接下来我们想把关注重点放回合肥这个城市自身想看一看合肥这套合肥模式在话题度之外对于它当地的经济发展它实际的贡献程度到底有多少
[00:28:56] 这其实是一个很重要的话题但是因为是产业投资布局它出效果周期会比较长而且这个过程中还很难排除外部其他各种各样因素的影响所以我们只能简单的看一些指标的变化情况我们很难得出一些非常精确的有指向性的结论能给大家一个概念我们这里大致想看的是四组数据然后范围都是过去十年的一个变化首先就是合肥的产业结构
[00:29:22] 那我们主要是粗暴的看一下这个合肥的第二产业的总规模和占比有没有变化2014年合肥的第二产业创造的GDP是2390亿元它在三大产业当中占比是45.53%那到了2023年它第二产业的创造GDP就变成了4642亿元那绝对值是明显上升的但是呢它在三大产业当中占比是显著下降的原来是45%左右嘛它现在是36.6%
[00:29:49] 我觉得这里边总量还是很重要的如果你只看占比的话好像会得出一个错误结论了第二组想看的数据就是战略新兴产业对于整个合肥工业的贡献率变化过去十年来这个部分增长是比较明显的这部分产值的年均增长率是17.1%
[00:30:06] 而对于合肥工业的整体贡献率是从之前的大概70%提升到了84%这个部分结论也比较明确确实有贡献的增长这个有可能是合肥模式最直接的一个显现但是从第三组数据开始我们就想暂时忽略一下合肥模式这些说法我们还是去看了中国所有城市目前依然非常重视一个收入核心就是土地出让金的规模以及它在合肥市政府一般公共预算收入当中的占比
[00:30:35] 这其实就是算了一个很粗略的合肥市政府的土地财政依赖度的概念那根据中指数据库2014年合肥的土地出让金是不到295亿元的那2023年这个数字是超过了657亿元那这个数字
[00:30:52] 听起来就是变化很大好像也很高但是呢在全国的省会城市当中呢它处于一个中游偏上的水平特别多那从它在财政收入的占比上来看呢合肥十年前的土地财政依赖度大概是58.9%目前是70.7%相当于这个土地财政的依赖度反而比以往更高了所以如果就是单线的就只看合肥这个城市的话可以说在这些新兴产业贡献的税收之外卖地依然是这个城市创收的一个核心
[00:31:21] 当然反过来说土地收入也必然会是地方政府对外投资时候一个重要的资金来源虽然经过了像平台化基金化这些包装的稀释但这部分资金的本质还是这样的本质还是卖地的时候只不过用一种新的方式投出去最后一种数据我们想看的是合肥的政府债和城头债的规模以及它的偿债能力这里引用的是联合资讯的最新报告
[00:31:45] 2023年合肥市政府的债务余额是接近2300亿元这个数字一年前还不到2000亿呢那当前合肥市的城头企业还发行的接近250亿元的债券那在偿债能力方面呢针对地方政府我们看的是他的债务率具体的就算法不解释了那这一项合肥在安徽省内其实是最低的
[00:32:08] 但是它的债务率也接近120%针对城投企业我们姑且只看它比较紧要的短期偿债能力2023年合肥城投企业的现金类资产其实也可以覆盖80%以上的短期债务了这个偿债能力在省内其实也是最佳的相对这几个部分相对来说它确实还是比较健康相对而言不过我们前面还是把政府债和城投债分开讨论了
[00:32:32] 其实报告里面还有一个合计统计的口径就比较吓人因为目前合肥市的整体债务规模是在2023年超过了6000亿元如果拿这个债务规模除以政府的综合财力算出来的总债务率其实已经到了350%以上了
[00:32:47] 简单总结下刚才我们列举这四组数据想得出的一些大致的判断吧实际上刚才这四组数据是以两种完全不同的心态来看待合位模式乐观者往往关注的是一些结果性的指标比如说产业结构的转型调整新兴产业的贡献率等等的还有就是我们节目提到的这种比如GDP的增长等等的
[00:33:08] 但悲观者呢往往关注的是一些过程性的指标比如说这些大规模的投资布局钱从哪里来啊短时间内是依靠土地财政还是别的哪些的这个收入资金啊另外一方面这个借的债是不是太多了会不会有一些风险啊等等的那目前呢合肥的情况还算好但是债务总量上已经略有一些膨胀了这节目又聊了很久啊想听一下老师聊到现在的感受就是合肥末世在你看来到底是一个什么样的故事呢我觉得
[00:33:36] 因为刚才游老师讲的两个案例还是非常清楚的我觉得从模式方面并不是那么的难理解他其实就是把更高效更市场化的投资方式嫁接到了传统的政府招商引资的模式之上然后再顺着他本地已有的一些产业的基础或者是他自己想要落地的一些产业的布局
[00:33:55] 然后在更短的时间内能够达到一个全面开花的效果当然这里面肯定有些技术层面比如说我们刚刚提到的像公务员他们要更懂产业更懂公司然后更加明确产业的方向等等的但是要论整个模式的成功我觉得还是得谈一些天时地利人和尤其是运气合肥比较大的优势就在于它有过好几个非常出名的大企业和产业的成功案例
[00:34:20] 对于外界来说这几个成功案例其实大大增强了整套叙事的说服力有典型对除了我们今天讲的京东方长信存储其实像蔚来和江淮的合作以及说合肥乃至安徽全省在整个新能源汽车领域上突破其实也是一个经典案例了同意的反过来说现在很多政府都想要学习合肥或者尝试复刻这种模式其中的难点如果刚才我们讲的比较明确的话大家应该也可以看得出来首先战略新兴产业本身也不是很多
[00:34:49] 先发者已经很有优势了那你如果说后发你想要做一些新的技术或者说你的赶超预言非常强的话有时候就会造成一些投资方向上的偏差或者说一些重复投资其次就是我们几次提到合肥模式对于本地公园识别市场机会的要求非常高除了这个以外还需要主政者要有魄力以及政策本身要有延续性这个方面其实很多地方政府也要花时间去补课和适应的
[00:35:16] 最后就是合肥模式里面除了政府的投资其实也很强调政府背书要对社会资本有吸引的能力如果说社会资本不积极跟进政府改革这一套其实最后就有可能变成地方政府一头热最后这个东西还是起不来目前其实已经能看到一些文章在讨论就是以合肥模式为代表这种股权财政的模式是不是未来有可能能够重塑这种地方的税务的基础产业的结构
[00:35:44] 甚至于接替土地财政的这个模式变成一个政府收入的新的增长点这种说法都在存在但是从我们前面列举的那四组数据可以看得出来股权财政的模式即使可行即使已经在推广过程当中了但是现在还是一个非常早期的状态那也许只有等到说合肥模式不再是一个所谓的热门话题而是一个遍布全国的常态之后我们才有可能正式推进到就是讨论所谓股权财政模式的这一步
[00:36:10] 那在这篇论文里面周立安指出
[00:36:39] 地方政府从掠夺之手到帮助之手的转型是所有体制转型当中最艰难的转型对经济发展而言也是最具挑战性的要求纵观中国经济增长最成功的地区它们不一定是自然资源最丰富的地区或者说那些发展基础区位调节最有利的地区而往往是市场竞争和官场竞争结合最好政治企业家和民间企业家匹配最成功的地区商业就是这样
