Vol.189 2024失意大公司·国内篇
[00:06:28] 那在这一系列的调查之后呢已经有数十名阿斯利康的员工被判诈骗罪根据他们庭审记录呢我们可以大致勾勒出这家药企的系统问题一线的销售之所以会大批量的制造这种假的阳性报告呢主要还是在上级销售负责人的知情默许甚至是支持之下完成的尤其是地区负责人更是如此这个就是因为泰瑞莎在进入医保以后呢公司内部也定出了一个非常激进的销售目标
[00:06:56] 而提高阳性率是提高销量的最直接方式我们看到媒体报道当中还提到过很多细节比如说有一个所谓的新星计划就在福建地区的销售负责人就供述他们会在送简单上面打一个五角星然后看到这个五角星检测机构就会直接给出阳性的报告那么被带走的这些公司管理层对此是否知情呢目前还没有司法部门的明确的定论但是泰瑞莎
[00:07:21] 基因检测这个阳性率非常高这已经是一个非常半公开的秘密了因为你某一个基因图片它到底有多少患者是阳性的其实有一个大致的研究上的有个比例的可能已经不太符合科学的分布范围了此外王磊治下的阿斯利康中国他很激进的这些企业文化也被在讨论中反复的提及王磊是2013年加入阿斯利康的当时这家最早进入中国的跨国药企其实正在面临一个比较困难的情况
[00:07:50] 他的专利到期了然后业绩开始下滑那王磊加入之后呢可以说是力挽狂澜啊尤其他一开始负责的是呼吸领域那他大力推广了阿斯利康在中国的物化业务并且大幅的增加了肿瘤方面的投入泰瑞莎的快速获批和进入医保其实就是当中一个代表性的一个业绩2014年的时候阿斯利康中国的营收总额是22.42亿美元
[00:08:15] 到了2024年它的上半年就已经达到了33.78亿美元了而中国区在整个阿斯利康全球的营收占比已经从王磊刚加入的时候的8.45%提升到了13.91%成为了阿斯利康全球第二大的一个市场而在此次骗保安出现之后很多媒体都在报道阿斯利康从上至下非常激进的一套销售目标高强度的工作环境以及对于上级的绝对服从等等的企业氛围
[00:08:42] 从我们私下的一些了解里面经常听说公司的企业文化是有毒这也是我们为什么在开头说过去十余年的高速增长和此次的骗保案是息息相关的到这里呢我们大致给大家介绍了一下2024年阿斯利康中国面临的这个危机我不知道大家听完是什么感受我自己实际上想到了一部挺著名的电影就是Spotlight焦点它讲的也是一个真实的故事说的是2011年波士顿先驱报的特稿部门Spotlight
[00:09:10] 他揭露了当地天主教会长期包庇
[00:09:38] 而且电影当中这个system还提升了一级就是在教会之外整个城市的方方面面是如何帮助他们一起来维持这个秩序掩盖真相以及压制边缘人的而斯利康的骗保案也是如此相比于高管是否知情更关键的是整个公司的销售体系企业文化乃至公司之外的系统是否使得此类事件成为必然
[00:10:01] OK 接下来我们进入第二家公司就是普华永道这两年很多重要的商业新闻已经变成了连续剧像普华永道今年的失忆其实就是多年以来它在恒大审计问题上的一个集中爆发9月13日证监会和财政部是联合正式发布了对于普华永道的处罚公告主要原因是因为在2018到2020年的恒大地产财务报表审计过程中
[00:10:27] 普华永道中国是明知财务报表存在重大错报而不予指明并且发表了一些不恰当的审计意见出具虚假审计报告等理由普华永道中国是最后被停业半年撤销了广州分所合计的罚默金额达到了4.41亿元这个也是中国有史以来对于四大国际会计师事务所开出最大的罚单因为相关的口风已经流传许久所以市场对于这个罚单本身的预期其实是很明确的
[00:10:53] 值得讨论的主要是后续的一系列变化比如说客户的流失
[00:11:22] 他们合起来每年给公司交纳的审计费就接近1亿元除了上市公司普华永道此前还负责大量基金产品的财报审计根据WIND的数据统计今年以来已经有超过2800只公募基金解聘了普华永道去年的这些基金的合计审计支出费用大概有3.3亿元客户流失了以后主要还是被安永德行并马威这三大拿走的
[00:11:48] 但是在整个国内的会计事务所的市场上今年最得意的可能是一家叫做荣城的本土所因为他们在9月份刚刚吸纳了普华永道资管业务团队的不少员工也就顺势拿下了一些客户这轮人员的流转包括今年7月普华永道亚太区中国区的换帅实际上都可以被视为处罚带来的后续影响它的短期影响相对更加集中在国内市场但也很容易通过这些大客户的海外公司继续波及到其他市场
[00:12:16] 并最终影响到普华永道的全球业务除了普华永道自身受到影响之外这个很大的罚单在整个行业里面其实也再次引发了一些经典的讨论一方面会计审计是遏制企业财务造假的开门人这个确实责任重大但另一方面从合同上看事务所就是受雇于上市公司提供服务的它这个乙方的地位以及事务所本身对于业绩可能有些要求这个都使它很难脱离甲方的影响
[00:12:44] 做到监管要求的完全的客观独立其实在上市公司的财报当中不时还能看到一些持保留意见的非常规审制结论这就是乙方和甲方博弈的一个痕迹也维持住了最后一点的表面的和平但是在恒大的财报当中普华永道始终给出的是无保留意见丧失独立性的问题就比较突出了这个也是大客户模式在这种甲乙方关系里面最危险的地方
[00:13:09] 专业的一方完全有可能通过长期的服务把整个财务粉饰呢这是造假的工作做得非常系统除非是像恒大这样这个甲方自己爆雷到几乎无法收场的地步否则外界是很难识破造假与否的其实不仅是会计师事务所包括律所监管机构在内大量的第三方机构都面临类似的制度性症结普华永道的失算呢算是又一次敲响了警钟但这个症结本身目前还没有解开的可能
[00:13:39] OK讲完了阿斯利康和普华永道接下来我们进入第三家公司农夫山泉我们在今年年初讲东方树叶的那些节目里面其实相对系统的讨论一下农夫山泉在茶饮料这块的布局从2024年的中报来看茶饮料目前对于农夫整体收入的贡献确实是更大了这里面有一部分原因其实是因为整个集团起家的包装饮用水业务今年后院起火了
[00:14:06] 它的上半年收益同比下降了18.3%而非常罕见的是农夫山泉直接把这部分业绩下滑的原因指向了舆论的影响数字上的分析大致是这样的舆情出现前的1月和2月整个瓶装水收益同比是增长了19%但是整个上半年收益却掉成这个样子也有业内人士给出过一个估算说农夫山泉上半年受舆情影响应该损失了大约70亿元的收入
[00:14:32] 具体的舆情我们也不用讳言主要就是娃哈哈创始人宗庆后在今年2月份去世所引发的一轮缅怀和讨论在包装饮用水领域娃哈哈和农夫善权实际是多年的竞争对手了消费者对于这两个品牌的情感投射一定程度上也会受到创始人形象和相关事件的影响所以说宗庆后去世以后短时间内娃哈哈的销售必然会出现比较明显的上升
[00:14:58] 那于清这方面想要给出一些更明确的直接规应呢就非常困难了因为除了一些自发的情绪的讨论之外呢农夫善权也不是只有娃哈哈这一个竞争对手比如说他比较大的一个竞争对手还包括了今年十月底去香港上市的华人仪宝另外关于娃哈哈本身的话题热点其实也很快就转移了嘛就大家开始讨论一些二代接班以及宗夫利益后面跟国企股东的竞合上面
[00:15:25] 可能说在农夫山泉的内部真的能够感受到这种持续攻击带来的业绩影响但是外界的感受反而没有这么严重不知道是不是这方面的刺激太大可以看到农夫山泉在之后的大半年里一直在试图辟谣自震甚至是由公司创始人钟闪闪直接来喊话所谓的流量平台让张一鸣承担企业文明的规则不知道大家怎么看这些公关动作我们是觉得有一点唐吉科德大战风车的感觉
[00:15:52] 如果是仅仅停留在公关动作可能还好今年农夫山泉在产品的层面竟然还有过一个与之配合的混招就是打着恢复名誉的旗号恢复了绿瓶纯净水的生产而且铺了一轮堪称七商权的广告这个广告的核心有两句slogan一句叫绿瓶有点甜红瓶更健康另一种叫多一种选择多一轮比较简单来说呢这个产品和广告就是想把农夫山泉长期做的天然水
[00:16:21] 也就是红瓶和娃哈哈做的这个纯净水就是绿瓶给严格的区分开来有点这种别来碰瓷的感觉啊真是很难想象啊就是这个舆情的压力要大到什么样的程度才会使他们做出这样的一个行为从成本上面来看呢天然水对于水源地的要求确实更高一些纯净水要求更低毛利也就越高嘛
[00:16:42] 但是非要在广告里面展现一种自己的左右互博还把它流传多年那个经典广告语农夫山泉有点甜就把这句广告语给破了我觉得这个行为属实是杀敌一千自损九百五关键这个敌到底是在哪里也很难来判断啊更主要的是其实对于一些农夫山泉长期的消费者来说不管从哪个角度来说总有一种失望的感觉今年的农夫山泉让我们困惑的是为什么一个如此成熟成功的大公司
[00:17:10] 会这么突然且强烈地感受到舆论和流量的威力才决定如此不顾形象的与之殊死一搏这个事情确实不太能想得清楚到底是怎么回事反过来说如果说连农夫山泉都会犯下如此的大错那么其他的大众消费品牌就应该更深深地思考流量时代的自处之道
[00:17:31] 好那讲完农夫山泉以后呢我们就进入今天的第四家市役大公司上汽上汽肖老师确实是有一点发言权我曾经在上汽工作过所以把它选入年度市役大公司说实话心情有点复杂如果要在中国的汽车业选一个2024年表现最糟糕的企业上汽未必是一个很肯定的选项比如说最近搞的一地鸡毛的极越其实很多人都会在讨论吧但是我们觉得像极越这样的事情更多的是它的戏剧性比较强烈
[00:18:01] 但从整个行业乃至中国汽车历史的角度来看,今年的确出现了一个很有象征意义的转折点,就是在2024年的前11个月,上汽集团旗下的各品牌的累计汽车的销量是353万辆,而比亚迪达到了376万辆。在仅剩一个月的情况下,上汽落后23万辆,基本上追赶无望,也就是说上汽大概率会丢掉国内汽车销量冠军的位置。
[00:18:29] 而此前呢它已经蝉联这一柜管长达18年既然有蝉联18年这种好事这过程整个非常长基本上覆盖了中国汽车市场腾飞的大半个行程2006年中国汽车全年的销量其实才不过720多万辆嘛这个还不如我们前面讲到这两家车企2024年的销量总和呢是的其实都接近于上期巅峰时期一年自己一家的这个销量的总和了
[00:18:55] 在这十几年里面上汽的成功当然是来源于自己在改革开放初期的大胆突破也来源于开放的心态和先进的企业管理理念还有就是优于竞争对手的整体的人才素养但我觉得更重要的可能还是整个市场腾飞的一个红利在加入WTO之后中国汽车市场的爆发最大的受益者还是广大的合资企业的品牌而上汽则是把合资企业做得最好的中国车企之一但如今的失忆也正是因为过去几年
[00:19:24] 随着新能源的浪潮合资车企在中国迅速的示威了所以说今年把上汽选入市益大公司更多强调还是一个行业史视角的一个象征意义没错接下来我们聚焦在上汽本身从数字的角度来感受一下这个时代的切换有多么的迅速那我们就选取两个时间节点来对比一下上汽的主营业务一个是2018年一个是2024年前者是上汽销量和销售的巅峰
[00:19:51] 后者虽然没有一个完整的数据但就目前公布的数据其实同期的对比依然可以看得比较清楚了
[00:19:58] 因为上汽确实是一个很大的集团,要么肖老师还是给大家稍微介绍一下上汽的业务板块吧。它当中涉及到整车销售的,就是有一个具体的车的品牌的业务呢,主要是包含这么几个部分。第一呢,就是三大合资公司,分别是上汽大众,上汽通用和上汽通用50。第二呢,就是自主品牌的业务,包括上汽乘用车,还有自己汽车,还有上汽大通等等的。
[00:20:24] 此外还有一些商用车的公司我们这边就不展开了除了整车的销售以外上期还有比如汽车金融的物流零部件板块就是华谊集团等等的这个后面我们就不具体展开了所以在整个集团里面应该还是合资公司的业务贡献是最大的吧在2018年的时候其实非常的明显三个合资公司贡献了绝大多数的汽车的销量在那一年上期的总销量是705万辆而三家合资公司加在一起就有620万辆
[00:20:54] 占了大概九成左右吧那从营收上看呢三家公司贡献了5840亿元的营收占整个集团的三分之二那利润上面呢就更加夸张了三家合资公司归属母公司的净利润因为他们是这个五十五十的合资公司嘛所以说归属于上汽这个部分的净利润加在一起就有477亿元这个数字是比整个上汽集团当年的综合收益要高出200亿等于其他都在亏就他们在猛赚是这样吗是的是的
[00:21:22] 这个也就是所谓的靠合资公司赚的钱来养其他的这个本土自身的业务那这个当中的大头呢就是所谓的自主品牌的研发还有等等各项的投入这个其实也是过去各大车厂的一个常态啊就是像在一井的时候其实各大品牌都已经意识到我们要做自己的自主品牌所谓的自主品牌培养这个一个新的品牌肯定需要很多的钱嘛那么合资车企赚到的这个业绩和利润就是最大的资金的来源
[00:21:49] 这里我们也可以再回顾一下2018年整个汽车行业的背景当时整个市场里面最强势的也是合资品牌本土品牌的市场份额是42%剩下的其实都是合资品牌的了当时上汽的三家合资企业常年可以位居全年车企销量排行榜的前四唯一可以跟他们竞争的就是同为合资的一气大众讲完了2018年我们就来看一下2024年
[00:22:14] 在今年的时候本土品牌的市场占有率已经超过了60%等于是这个格局已经完全逆转完全反过来了那在2024年的前十个月呢上期的三家合资企业他们的销量加在一起才217万辆只有2018年同期的四成而且这个当中如果细细拆分的话其实各个情况是非常不同的上期通用50有98万辆看上去最多的但他专攻的是10万元或者说是5万元以下的低价市场
[00:22:41] 所以是为什么是上期通用跌得这么厉害呢
[00:23:06] 背后的原因也很简单主要就是这些合资车企的产品来源仍然是外资方的母公司而合资主要是做一些本土的研发那么外资方的产品尤其是新能源车已经完全跟不上中国的市场节奏了像大众还有一些比较成系统的纯电动车的布局感觉大众在这方面还在努力呢还在努力但是的确像别克凯迪拉克和雪佛拉这三个品牌在新能源车不管是纯电还是混动这个方面
[00:23:35] 都在和本土品牌的竞争当中是落于下风的所以说有一个比较直白的数字层面能看到的结论就是上汽的业绩下滑还是因为合资车企的整体衰落尤其是合资的品牌它本身有些变化我觉得如果从数字上直观的看的话的确是如此但这只是故事的一半另一半就是与此同时上汽自己孵化的本土品牌并没有崛起到足够的高度能够来填补合资车企下滑
[00:24:02] 产生的这个劣势也就是说此前合资车企赚的钱其实没有在上期内部养出一个足够强大的自由的业务这个奶孩子没有把孩子奶起来是的上期的自由品牌其实在前两年销量是有比较快的增长的但主要依靠的是出口的大规模上升尤其是明觉在欧洲的表现但我们现在都知道欧盟对于中国电动车开始征收这个反腐贴税当中对上期的下手是最狠的那明觉在欧洲的销量会受到影响而在国内市场呢
[00:24:29] 不论是此前的荣威非凡还是近几年推出的智集在市场上的表现都难言站稳脚跟四个字那离反补整个集团更是遥远这可能是2024年中国汽车销量冠军一主背后更值得思考一面如果说资金啊技术储备人才这些资源大型的国有车企其实当年是远胜比亚迪长城这些民营企业的更不用说当时还没有说
[00:24:55] 这种造车新势力的介入但是他们孵化这些本土品牌却几年以后大家发现没有取得相应的领先地位其实不止上汽另外几家央企和地方国企的这种车企都有类似的问题我们现在当然可以事后诸葛亮的来判断说正是因为这些国企他们的日子太好过了然后缺乏转型的紧迫感但还是那句话大象转身也未未晚2024年其实上汽其他的各家车企已经开始大力的缩减成本
[00:25:23] 包括人力成本以求生存但要说紧迫感现在其实已经足够了但汽车市场比6年前还是残酷太多了合资车企要扭转局面上汽自己这方面能发挥的作用实际上是有限的而本土的品牌的提升一方面需要大量资金的投入另外一方面又面临激烈的竞争除了紧迫感以外上汽旗下的各个品牌都需要一些真正能够提振信心的王牌产品才能来找回领先的感觉
[00:25:51] 那讲完了上期我们就进入最后一家国内的十亿大公司金龙鱼今年第三季度金龙鱼是交出了它上市以来最差的一份三季报公司单季的营收是659.76亿元听上去很大但是同比下降了5.49%它期内的规模净利润仅为3.34亿元这个不仅创下历史新地而且同比下降了71.25%这个让市场是有点恐慌的
[00:26:18] 公司层面对于营收下滑的解释是四个字量身价跌具体来说就是随着大豆豆油等等主要原材料的价格下跌他们的产品价格也在下降所以尽管看上去销售量是有增长的但是营收和利润的空间已经被侵蚀了讲到三季度普通消费者在粮油这个行业更有印象一个新闻应该就是油罐车事件我们简单回顾一下
[00:26:42] 当时新京报是在7月初有一个报道说是在国内的普货货车里面出现了食用油和化工产品混运然后罐体在换装液体之前没有彻底清洗的一些问题虽然这个报道当时涉及的是一些其他的公司品牌但是也引发了金龙鱼的股价震荡在当年8月国务院食安办是对涉事的7家企业给出了行政处罚11月市场监管总局也拿出了新的强制性国标
[00:27:09] 叫做食用植物油散装运输卫生要求那油罐车事件本身可以说是告一个段落了但它的一个连带影响是消费者又开始关心起基础的民生消费品的安全问题了这里的安全也不仅仅是特指产品质量它也有一些跟民族主义相结合的一些讨论惊动于作为一个有外资背景的大公司其实是会额外受到一些压力的
[00:27:33] 回到这个公司本身如果仅仅看三级报就评判它失忆了未免有些武断所以说我们再看一下过去三年的情况2020年至今的三个完整财年里面这个公司的毛利率以及扣飞后的净利率其实都在走低它的毛利率是从12.33%掉到了4.83%净利润是从4.51%跌到了0.53%以前经常听说良油企业是营收大利润薄
[00:28:00] 而金龙鱼我觉得这个已经不叫薄利了而是威利了另外金龙鱼的走低其实也证明了经济下行不仅仅会影响各类高价的可选的消费也会影响到平价的必选的消费只是这个传导的时间有先有后罢了可以看到这两年金龙鱼已经在尝试做一些转型和调整在它核心的粮油品类上面三季度有一个动作就是金龙鱼明确增资了卤花目前它跟它的关联方香港家银已经合计持有卤花超过四分之一的股权了
[00:28:30] 金龙鱼和鲁华这两家公司的营收差距很大那是盈利的能力相当所以这个投资呢其实长期和短期的价值都很不错另外呢金龙鱼自己也在往这个调味品日化 预制菜中央厨房等等新的领域来做一些探索尤其是中央厨房这个实际上已经是2020年金龙鱼上市募资的目标之一了当时的说法就是
[00:28:53] 这部分在国内的投资可能会超过金融鱼此前30年在华投资的总和虽然说中央厨房本身跟金融鱼这个很大体量是很匹配的一个方向但是这个往下游走的思路对于公司的产品研发和渠道拓展能力实际上会提出更高和更新的要求所以这块我们觉得也需要更长的时间来观察才会给出下一步的判断
[00:29:17] 到这里我们就把2024年国内的五家失忆大公司跟大家展开的聊了一聊除了这五家公司以外还有一些公司我们觉得也值得一提他们有可能没有那么多值得展开或者说没有那么的失忆但是他们在2024年所经历的一些事件我们就可以稍微展开讲一讲我们就展开讲两家公司吧一家是拼多多一家是IBM中国拼多多他如果被入选的话其实这个理由也
[00:29:45] 不是那么的充分有一些牵强对也可以选也可以不选吧如果说从股价的角度把它选进去的话有那么一点的道理但也有那么一点的牵强但如果从财报上面来看呢其实拼多多只能说在最近的一个季度略显动力不足
[00:30:02] 主要是体现在它的业绩增速放缓第三季度的营收只同比增长了44%那净利润呢只同比增长了60%而在二季度这两个指标同比增速分别是85%和144%很有意思的是在第二季度的财报说明会上拼多多CEO陈磊就已经警告过大家了此后公司的业绩不可能持续高增长盈利能力下降是不可避免的
[00:30:27] 这种提前做空自己的决定就是在市场上看来还是很新奇的而且确实在后面这个三级报上也得到了印证所以说就导致说最近一段时间把市场上对于拼多多的看法有些分化拼多多一直以来都是那种敢于牺牲短期利益用速度来换取规模的那种公司此前的这个思路在中国国内的市场是很奏效的以至于阿里巴巴和京东现在也都开始强化了低价的业务线
[00:30:53] 而现在呢他要在各个政府彻底反应过来之前把Tim这样的平台以最快的速度扑到全球消费者的眼前随着拼多多的营收规模越来越大战斗力也越来越强平台和供给侧之间的矛盾也势必会进一步深化如果说拼多多最后还是证明了中国是内卷是消费市场的唯一出路的话这就真是一个残酷的结果了那聊完了拼多多呢我们再来提一提IBM中国其实它在2024年的失忆是有一个明确的事件的
[00:31:22] 就是在8月26日IBM全球企业系统开发部的副总裁在中国宣布IBM基础设施决定彻底的关闭中国的研发部门那有超过1000名的员工要面临被裁撤或转移的命运而在三年多前其实IBM已经关掉了中国研究院也就是说这家老牌的IT巨头在中国已经没有研发设施了IBM就是在行业里面是一个古早的名字
[00:31:47] 在1990年代和2000年代IBM中国在信息的基础设备软件咨询等等业务的发展都很迅猛在很多行业都拿下了最主要的大客户比如说它在金融领域一度是垄断地位的但是随着2010年代开始流行的去IOE化它在中国业务就开始一步步的收缩了它目前主要能做的也就是咨询和售后服务这些方面了对的而且近几年收缩的态势是愈发明显的
[00:32:14] 2023财年它的中国巨营收是跌了19.6%2024年上半年又跌了5%另外一方面这个老牌巨头自身其实也面临着困局在2024年它已经提出了一个全球的大规模的成本收缩的计划可以说裁撤和转移中国的研发机构也就是这个一个计划的一部分近几年大型的跨国企业在华收缩乃至撤出其实并不罕见IBM只是其中又一个标志性的案例
[00:32:40] 巅峰时期它在中国市场几乎是立于不败之地的它也是顶尖人才的向往之地而如今中国似乎变成了一个找不到增量的市场
[00:32:49] OK到这里呢我们就把2024年失忆大公司国内篇的几家公司分析完了再报一遍名字啊他们分别是阿斯利康普华永道农夫山泉上汽集团和金龙鱼另外呢我们也简要的谈了谈拼多多和IBM中国的一些情况今天讨论的几家公司里面有三家都是传统的那种大型的跨国企业它的中国区业务呢是出现了一些明显的问题
[00:33:14] 相信在全球边的部分我们很快会再次讨论这个问题商业就是这样我们下周继续
