Vol.19 链家是怎么长成贝壳的？
[00:11:40] 比如说中介A想要卖掉这个房子中介B那里有个客户正好喜欢这个小区那么其实A和B都对这套房子最终的成交做出了贡献那么在链家的这个体系里面他们两个人都能够拿到一部分的佣金他们就很和平对吧可以想象要做到这件事情的话就必须要有一套后台的操作流程和系统位置服务就是说每个人的每次工作每份贡献都要在这个系统里面流导
[00:12:07] 这个就是有一个数字化的体系而且要有很明确的流程还要方便操作这都是很难做的练家呢他确实是建立了这样一套系统和体系但这里面还有一个很大的问题就是说这个体系里面那些员工他不是一个机器他是人对吧你要确保他真的按照你这套理想的模式来走要知道房产中介是过去十几年可以说是门槛最低但最有可能来快钱的一个合法工作了对吧
[00:12:34] 就是你在房市火热的时候房价一周一涨这个时候房产中介很难这个经得住诱惑不去赚那些偏门走道的钱就像我们刚才讲的比如说去赚差价啊或者去敲别人的单这也是为什么我们过去经常觉得房产中介是一个水很深然后服务不好的然后经常就是卯着劲要骗你的这样一个行业我们杂志的头是2016年就做过一个报道
[00:12:59] 当时就是北京就出现了房地产市场非常的火热房价层层往上涨的一个状态当时有的房产中介的话就是凭借信息不对称忽悠卖家以低价把房子先卖给中介自己或者是中介的亲属然后过一段时间再出手马上就可以赚十几甚至上百万的还有一种做法就是说一个地区的房地产中介联合起来造势
[00:13:22] 把整个地区的房地产价格炒高因为房价越高的话同比他们能拿到的佣金也越高做出这些行为的人里面也有廉价的员工有的时候甚至不仅仅是个别员工的问题而是整个门店或者整个区域的问题一样在2016年的时候廉价在上海的两个门店就被投诉他们把两套即将要被法院长封的房子卖给消费者了这个可以说是一个挺大的一个不合规甚至有点欺诈的行为
[00:13:51] 那这两家门店的话是被上海当地的一个执法机构取消了房地产签约的资格的另外的一个案例呢就是那一段时间包括链家在内的许多房产中介他们都会花心思去推销首付贷这类的金融产品说穿了就是在首付上面再加一些杠杆嘛肯定也会形成一些不良的一些案例也被监管打击叫停了这个服务所以当时整个舆论对于链家这个公司的评价就是你扩张太快了然后管理缺失服务不是很好
[00:14:18] 这个其实就是做一个万电规模的连锁品牌要遇到的难点了就是说你建立了理想的服务标准和服务流程但是实际在运作的过程中很容易走样甚至说走偏了这个时候如果舆论再来拱一把火可能这个公司就危险了这种时候的话比较虚的企业价值观和企业文化或者说领导者的价值才能体现出来左辉作为外人称道的就是他反复强调要做难而正确的事情
[00:14:46] 像我们前面讲到2016年上海那个案例的时候左辉就是亲自到上海这边来处理的他把涉事员工给开除了然后在媒体上面公开道歉高额的赔付了受害的用户左辉他那个时候在接受财经作家李翔的采访的时候就说过有段时间练家做用户满意度也做得很厉害核心办法是什么呢就是赔赔足你就可以了但是这样听上去很像拼多做的做法对但是
[00:15:12] 房子对吧你这一直赔肯定吃不消而且也不能长久所以他觉得关键的问题还是要内部的氛围内部的做事方式要做得正所以他在上海处理完这个危机之后就开会据说是像台下的这个区域经理连问三次就是用户到底喜欢我们吗上海的消费者真的离不开恋家吗我们第一财经杂志的助理总编辑王珊珊她在很多年前也采访过左慧她提到说左慧有一个很强的能力就是能跳出来看问题
[00:15:39] 比如说2007年的时候链家当时我们提到他已经离开了北京选择去天津之类的外地市场发展业务当时高管都在讨论这个决策到底是正不正确的因为大家思路都是说天津这个市场到底有多大竞争对手是怎么样子的大家是这样去分析问题的但是左辉提出来的问题就是说天津的用户为什么需要链家以及链家对于天津制作的城市来说是不是一个必要的生意这个思路按照我们现在的说法就是用户思维对吧
[00:16:08] 但是放在2007年放在一个在中国刚刚开始野蛮生长的一个行业里边有这样的一个思考方式和做事的方式其实是挺不容易的说回练家就是我们前面提到了几个部分练家为了提升自己的服务品质的话其实很早就开始构建一个数字化的平台这个数字化平台有两个部分一个部分是前端的给消费者看的部分就是我们提到的楼盘字典后端的部分的话就是来中介来用的
[00:16:36] 那个所谓的经纪人合作网络ACN2014年的时候链家搞了一个链家网就是用这两套系统来推动交易的这个链家网也就是后来的贝壳找房的前身2018年的时候链家网改名为贝壳了然后他也顺势推出了手机端的APP后来还有小程序一开始这个上面大多还是链家和德欧的中介也就是说是自己人这个也很可以理解如果你内部的一个系统先拿出来公开使用了
[00:17:04] 这些
[00:17:25] 非链家非得佑的经纪人啊跟原来链家得佑的经纪人在这个平台上是一视同仁的他们也可以互相来做交易当然这种情况还比较少就是说这些外部的经纪人可以跟链家自己的经纪人分享一次交易里面的佣金他们要做的呢就是说每次交易的过程当中呢都要再付给贝壳一些平台服务费这个也是贝壳找房这个平台的收入方式这些非链家的中介加入贝壳这个平台后面呢收入大多数都是提升的
[00:17:54] 贝壳自己也很喜欢讲这个数据他披露的这个数据就显示外部的这些中介或者说第三方的这些中介每个人平均的佣金收入是从2018年的大约2万多元提升到2020年的8万多元这个当中当然有很多别的因素但是可以看到贝壳这个平台是能够让原本的竞争对手多赚钱的也就是说练家成功的让他的对手接受了他自己的做事方式
[00:18:21] 我们这里稍微总结一下就是说从链家到贝壳找房这家公司的话实际上是一直在改善两组关系的一种是中介和用户之间的关系另一个就是中介和中介之间的关系通过改善这两组关系它让房地产中介这个生意变得稳定体面而且可持续我们节目开头的时候就是说贝壳这家公司很难找到先例对吧那其实原因就在这边
[00:18:45] 你可以找到一个传统服务业里面的连锁冠军你也可以找到一个改变传统行业的互联网平台但他们往往是两个公司或者两个没有关系的后者往往都是一个局外人一个什么互联网的创业者来做的
[00:18:59] 但贝壳做到了什么事情呢就是他自己是这个传统行业的冠军了但是他能从自己的已有的传统业务里面孵化出一个改变行业的平台我们稍微夸张的做两个类比就一个是相当于说苹果做出了iOS操作系统以后让三星和小米的所有手机都用上了这个操作系统或者说就是说沃尔玛他建立了美国最大的电商平台亚马逊而且让Costoco也能在亚马逊上做生意这个都是很难做的事情
[00:19:28] 在贝壳找房之前其实也有很多的那些互联网公司创业者想要做房产交易的平台对吧来颠覆这个传统的然后比较野蛮的生意比如说早期很火的搜房网它其实有点类似于一个房产交易的百度就你能在上面看到很多房产的信息但是它的收入方式也有点类似于百度这是有点像竞价排名对吧就是如果你花了钱的话你就可以拿到更好的一个信息的展露位置
[00:19:55] 但如果这么做的话他这个平台就无法保证信息的公平和准确了而且也没有办法真的在上面完成房产交易不光是搜房网后来很多想做房地产交易的创业公司都会遇到一个问题就是房产的交易其实模式是非常重的你必须依靠线下的中介依靠中间商而且中介还得有可靠的水平能够熟悉周边的房源能够找到合适的交易对象还要帮助规避很多潜在风险来促成这个交易
[00:20:23] 这就是一个很难仅仅靠移动互联网就能颠覆原来玩家的行业所以贝壳找房这个平台之所以能够成立它首先是因为有链家这个传统的业务然后这个业务本身有一个很强的基础设施它把这个核心竞争力拿出来了让同行来使用才能成为一个可以真的运转下去的一个贝壳找房平台我会自己对这个事情的比喻是又当运动员又建租车厂
[00:20:49] 当然了就是那些足球场引来的一些新的运动员也要为这个足球场多付一些钱就是了前面我们提到就是说左辉很喜欢说一句话就是要做男儿正确的事情我们讲了很多男的事情但是关于正确的话其实最重要的一个衡量标准就是他能不能赚钱现在来看呢是有一些比较好的一些指标的首先就是贝壳这家上市公司
[00:21:13] 他2021年第一季度的财报显示他首次完成了单季度的盈利这个盈利的方式或者说这个趋势也很简单很明确就是他每部分的业务都增长了而且这个毛利率呢也稳步的提升然后他就逐渐的从过去的有一些亏损做到盈利了这里边我们也不具体的面面之道的去分析他每个部分的业务了就举一个例子就是他新房的交易前面我们提到链家或者中介都是在说其实他是二手房的业务
[00:21:42] 现在贝壳平台上面成交更多的其实变成了新房也就是说原来开发商造一个新楼盘过去都是靠做售楼处或者靠代理公司来卖房子的但是现在来说房子没有那么容易卖了需要开发商主动来找客户贝壳这个渠道上面就能找到更多有效的客户而且对贝壳来说的话给新房做这些楼盘字典的成本是低的它的交易佣金还能比二手房更高一点是一个很不错的生意
[00:22:08] 这当中也有一个很重要的背景就是我们经常讲的房住不炒也就是说现在除了很少的一些特大城市的部分区域里边那些楼盘是非常的火热的不筹卖除了这些地方以外很多地方很多城市的楼盘不再像过去那么供不应求了而是逐渐变成一个供需之间比较稳定的一个生意
[00:22:28] 再加上各种限价的政策其实房价也不会巨幅的波动了在这种情况下面一个平缓的市场里面这个中介服务才能体现出更高的价值当然这还是一个特别理想的状态左辉在《贝壳招股书》里面就对投资者说了在中国很多行业都有三件事情同时在发生一是行业非常复杂而且技术很差效率很低第二就是从业者和消费者的体验都不是很好
[00:22:54] 第三就是整个行业有着巨大的市场规模和增长速度贝壳的目标就是从根本上改造和改善一个传统的
[00:23:21] 我们可以看到贝壳目前还在做一些很基础的改善工作比如说在有条件的一些城市市场的话他在提升招聘经纪人的门槛想让更多的本科生来做房地产中介尽量让一个房地产中介的工作年限能够变长另外的话他希望一个房地产中介的门店能够成为社区的一部分让那些有经验的工作时间很长的员工成为这个社区的一份子
[00:23:46] 我们举个很有意思的小例子就是说疫情期的话很多小朋友居家上课家长发现自己家里没有打印机就会跑到恋家去打课件这是一个很有意思的故事这个事情看上去比较小其实左辉还蛮看重的他在接受李翔采访的时候就反复提到一个词叫体面就是说房产交易这件事情应该是一个买卖双方或者租赁双方还有中介都很体面的一个过程
[00:24:13] 其实在美国啊欧洲啊日本等成熟市场确实是这个样子的但是在中国呢长期来说都对房产中介有一个比较不良的观感至少不会觉得这是一个很体面的行业是吧他有可能很赚钱但不是很体面举一个就最基本的例子就像我们今天这一期节目一直在谈房产中介这个职业那这个名称本身就不是那么好听在贝壳的招股书还有文件里面呢他们其实更喜欢说的一个名词叫房产经纪人
[00:24:41] 这个就有点像保险行业过去我们都说是那些人是卖保险的对吧他们都没有一个专业的职业的称呼但是现在的话商业保险已经开始逐渐被人们接受了大家就开始说他们是保险代理人或者是保险经纪人
[00:24:58] 总会在做房地产之前呢他其实就是卖保险的所以说如果哪天房产经纪人也能够取代房产中介这个名字的话那么贝壳这个公司的目标可能就算是达成了吧当然我们还是要强调就是要达到这个理想化的状态不管是对于贝壳也好还是对于中国的这个房地产交易也好还要走很长的一段路
[00:25:19] 这个过程当中有可能还会出现像2016年那种集中出现各种不良新闻的然后走偏的这个案例但如果到那个时候的话贝壳这家公司已经没有左辉这一个领导人能去现场救火或者是对区域经理进行灵魂拷问了好在贝壳过去几年都在强调组织的稳定和自我成长左辉本人其实已经不负责具体的业务了而是更多关注战略还有像高端公寓这样的一些新兴业务
[00:25:46] 具体的一些公司的发展比如说贝壳平台也好链家的这个品牌也好都交给了管理层来负责而这些高管都在贝壳很长时间了从这个角度看左辉对这家公司最后的贡献就是确保他离开了之后贝壳也能继续前进在一个比较复杂的市场里面想要实现理想化的目标就更加需要长期坚持并且持续去克服各种挑战商业就是这样
[00:26:15] 感谢收听这一期的商业就是这样
