Vol.17 SpaceX和“红顶商人”马斯克
[00:09:54] 这个还只是前的部分就像刚才讲到的SpaceX的许多核心技术人员都来自洛杉矶其实很多都是来自于NASA的或者是与美国军方相关的一些工程师从这个角度上来看的话SpaceX这颗种子能够发芽完全是因为美国政府或者美国已有的国有的航天业的土壤顺便说一句最近贝索斯对于登月计划这个事情发出了抗议然后NASA也暂停了这个计划马斯克和贝索斯的话本身是关系很不错的朋友
[00:10:23] 他们因为对太空这个事情都志同道合所以SpaceX和蓝色起源的商业愿景其实也很相似就是让太空运输变得低廉可以复制但是现在因为两家竞争激烈互相挖角两个人的关系就掉到了冰点甚至说SpaceX的邮箱系统里面都开始屏蔽蓝色和起源两个字了
[00:10:43] 如果我们把眼光再放远一点的话看一下整个全球航天行业这个生意的大盘就会发现虽然已经经过了刚才我们讲过的美国的这个国退民进这个过程已经很长时间了但是现在这个航天业主要的客户仍然是以NASA为代表的一些政府机构我们查到了一个咨询机构Brice出的报告它的预测是2019年的话整个全球的太空生意有3660亿美元的一个规模
[00:11:10] 大致看了一下可以把这3660亿美元分成四个等分四分之一的话是给到卫星电视的四分之一是给到导航系统的四分之一是整个航天产业链上的各个环节比如说一些设备或者说制造商等等剩下的四分之一的话就是政府预算的那些项目在这个政府预算的大概900亿美元里面的话一大半是美国的大概是550亿剩下一小半的话是非美国政府的项目
[00:11:38] 然后我们再把美国政府这550亿美元再拆分一下其中有200亿大概是每年给NASA的一个预算剩下的一些呢或多或少都和军事相关比如说这个导弹防御系统啊美国空军啊美国现在都有太空军了对吧还有一个叫美国国家侦察局的一个机构这是一个专门发射侦察卫星的部门刚才我们提到的SpaceX的猎鹰9火箭主要的客户是NASA排名第二的是SpaceX自己
[00:12:06] 那接下来是哪些机构呢其中就有美国空军和我们刚才提到的这个国家侦察局刚才我们讲了很多直接跟美国政府做生意的项目但是即使是一个像星链这样面向全球的商业项目的话也跟政府的相关度非常高星链的话是目前全球规模最大的卫星发射计划计划要发4.2万颗卫星要知道2016年之前全球公布的发射成功的人造卫星总量也就是4000颗
[00:12:35] 而且目前星链已经发了超过1500颗卫星了它都已经能给北美市场来提供互联网服务了很多人看到这个星链计划第一反应有可能觉得这是一个给普通人用的对吧就是以后我们的手机都能通过马斯克发这些卫星来上网了它以后是不是要跟5G竞争呀这不就是美国的北斗吗其实完全不是就首先星链这个服务目前已经开始公测了就是所有人都可以去买
[00:13:01] 但它这个服务价格要到99美元每个月你想想看你自己每个月的这个一年宽带现在也不超过1000块钱吧就是中国已经都开始免费送宽带了呢而且这99美元还不是全部你必须要再花499美元买一个配套的一个终端的设备才能使用所以整个来说你用星链这个东西现在来上网的话其实是非常昂贵的
[00:13:22] 而且从技术上有个根本的问题就是因为这个信号的频段不一样的所以说其实你现在的这个手机是没有办法通过这个新链的网络来上网的所以说它本身是一个对于现有的移动网络的一个补充对吧没错就是新链这个产品它的核心呢就是要给那些难以覆盖移动互联网覆盖4G或者未来5G的那些地方让他们能够上网的那么哪些地方覆盖不到呢你的第一个反应有可能是那些欠发达的地区比如说非洲大陆对吧
[00:13:52] 但其实对SpaceX来说它有一个近在眼前的应用市场就是广袤的美国的农村这个听上去根本不像是第一世界会发生的事情不过我们查了一下就是美国联邦通讯委员会FTC他们确实有一个计划就是要在十年里面花200亿美元让美国的农村也能享受千兆宽带按照我们中国特色的说法就是一种新基建村通网的项目对吧没错就是SpaceX它现在就在争取这个项目
[00:14:19] 希望自己能够成为这个美国版村同网的一个主流的解决方案这里简单总结一下就是SpaceX这家公司的话不管是它诞生的背景它最早的投资最早的商业资源的话还有它最主要的客户其实都还是美国政府
[00:14:36] 刚才我们也提到了21世纪初期是有很多太空相关的初创公司的而且有很多原本就做卫星火箭发射的一些民营的公司比如说像波音还有洛克希勒马丁这样非常强大的巨头但为什么SpaceX能够接到那么多NASA的订单而且能够到现在成为一个占据非常强的领先地位的一个公司这个当中马斯克本人的能力就非常重要了
[00:15:02] 首先是他个人据说有一种人格美脸所以我感觉不到据说他这个人的话确实能让人家相信自己非常all in这件事情而且非常相信太空旅行这个事情不是玩票或者是来骗一些政府经费的这个真诚其实是非常重要的一个特质我们讲一个段子一样的故事就是说马斯克大家知道就是经常跟女明星约会他有一次找了一个英国演员叫莱莉
[00:15:28] 他第一次约会的时候就邀请对方去自己家里给他看他的大火箭来练那个时候还怀疑说马斯克这个人是不是脑子有点问题结果到了他家里发现他真的给自己展示了一个火箭模型还有一些饰品当然我们刚刚讲到这个精神力或者个人魅力它确实可能有很大的作用但是我们在外人很难去评估它对吧但是有一个是可以观测的同样也非常重要的事实就是马斯克真的非常有技巧
[00:15:55] 他非常善于去推销或者向政府展示自己的东西我们这里还是举一个在马斯克传记里面提到的例子吧就是说SpaceX在2003年研发最早的小型火箭猎鹰一号的时候他的工程师在那里彻夜奋战每天工作20个小时但是马斯克中间给他们加三了一个新的任务就是让他们帮忙做一个火箭的模型对于工程师来说造个模型其实是非常简单的几天就做完了这些工程师都有点不开心有人就提到
[00:16:24] 在我看来造模型是个非常无聊的事情但是马斯克是非常强烈的要完成这个任务的为什么呢他这个模型是给政府演示用的他把这个1比1的火箭模型放到了自己移动的发射系统上面然后把这整套很庞大的机器运到了华盛顿特区联邦航空管理局的门口在那边开了个发布会说自己已经造出了一个价格特别低廉性能还特别高的一个火箭
[00:16:50] 马斯克这个传记的作者阿什利万斯就把这个称作为是马斯克的一个销售员的本能另外的话马斯克自己也知道就是政府关系和公共关系是一体的这个在中国目前的新的新闻世界里面已经有所体现但在美国的话他就会做出让列印九号专门把自己的特斯拉跑车送到太空这种单纯的秀照道理来说的话航空航天是一个跟普通消费者完全没有关系的事情当然它跟电动车也没有什么关系
[00:17:18] 马斯克就是要把没有关系的事情联系在一起他塑造了一个公司整体非常酷的形象让SpaceX成为这个行业没有办法被取代的一个头牌公司具体到一些具体的技巧其实SpaceX也非常知道如何和政府去打交道他不是一味的去跪舔而有的时候会去argue去争吵甚至去搞一些诉讼比如说2014年的时候SpaceX就和当时另一个老牌的航空航天的巨头对博公堂开国会听证会
[00:17:45] 就是要争夺谁能拿到更多的政府订单当时马斯克就展示了一个PPT说你这个波音洛克希勒马丁合并之后形成了垄断然后让你们政府火箭发射的时候经费大涨这个时候你们政府难道还不想想要引入一条鲶鱼也就是我们来给你们自己省点钱吗我们再讲一个例子来讲讲马斯克这个人的精灵吧NASA作为一个政府机构的话肯定也不可能把所有的宝都压在SpaceX身上他也要讲一下平衡
[00:18:12] 比如说在载人航天这个大的合同上面的话NASA我们前面提到了它给SpaceX是26亿美元的订单但是它其实同时也找了波音而且给了波音42亿美元马斯克在这件事情上面的发言就其实挺聪明的他说他不介意波音有更差的技术获得两倍于SpaceX的资金并一次满足NASA对于SpaceX的相同要求让两家企业参与进来会使得载人航天技术发展得更好
[00:18:41] 其实马斯克的这种政府沟通的技巧不仅在SpaceX上面有很大的体现在特斯拉这个公司上面也很明显不好意思我们又回到了电动车对最明显的两个例子就是第一个在特斯拉最艰难的时候面临着这个资金链锻炼的情况下马斯克是想方设法拿到了两笔钱一笔是一个奔驰的一个合作的合同和一些投资另一笔更大的钱也有将近4亿美元
[00:19:07] 就是美国政府给新能源车的创业公司的一笔贷款就靠这两笔钱特斯拉是从资金链锻炼的危机当中走出来然后很快就成长为一个明星公司另一件事情就是发生在特斯拉已经成为一个明星公司之后这个时候特斯拉在考虑开超级电池工厂的时候就变成了很多个州政府来竞标这件项目马斯克就把几个竞标的州政府都玩弄于股掌之间
[00:19:32] 这种红顶商人其实是政府的一个配角
[00:19:59] 但是要实现火星殖民的这个终极目标的话首先要保证公司有稳定的收入
[00:20:27] 星链计划的话就是来保证收入的这个部分刚才我们也讲到了星链计划的重要潜在客户的话就是美国政府这因为SpaceX现在把太空做成了一个赚钱的生意它才可以继续去烧钱去做火星殖民这种疯狂的事情而不被投资人看成一个疯子因为你已经证明了自己是一个可靠的项目而且SpaceX的成功也不能完全的都归咎于它善于跟政府打交道这件事情上面
[00:20:52] 它现在这么炙手可热核心还是因为它有这个拿得出手的压倒性的技术优势对吧这种技术优势才能转化成它在商业上的一个成功这个当中的核心呢就是它的猎鹰9号这个重型运载火箭因为这个火箭可以重复的使用所以大大的降低了把物体送到太空的这个价格和难度以最近的数据为例啊这SpaceX一次火线发射的这个成本已经降低到了5000万美元这样一个水平
[00:21:18] 如果再除以它运载的这个货品的重量SpaceX要把1公斤的一个东西送上太空只需要花5000美元这个是过去的十分之一甚至更低的一个水平这个数字的话就不难理解为什么全球的火箭发射市场里面现在SpaceX是一个市占率最高的品牌你的产品服务品质最好价格还最便宜的话这个市场有什么理由不选你呢
[00:21:39] 甚至可以说是因为可重复使用的火箭这样一个突破性的技术才使得向太空运货运人成为了一个潜在的大规模的生意比如说SpaceX已经推出了一个拼单式发射的业务就是你最低可以花100万美元买猎鹰9号上面一个空位然后把你自己想要发射的一个东西比如一个卫星放上去听说马斯克自己有一个很惊人的目标数字就是他希望把太空运输的成本降到每公斤20美元
[00:22:06] 这已经是和比如说跨国的一个空运快递在一个数量级的价格了那个时候的话太空载人的价格相比起飞机票来说可能也不会有很大的差距了那你就可以想象一下到时候这个太空运输或者民用的太空那个载人会是一个多么庞大的一个市场
[00:22:23] SpaceX为什么没有像很多之前的太空公司那样flop掉甚至还远远超过了他们呢这个也有很多书写过当中还是要提一个比较重要的点就是SpaceX改变了整个行业的工作方式它引入一些快速迭代的工作方法和创业公司的工作节奏他们改变的就是NASA过去那种官僚式的工作方式
[00:22:44] 其实SpaceX我们刚才也提到有很多初创的人才都是从NASA或者是美国传统的一些航空航天业里面来的这些工程师到了SpaceX之后他的技术水平就会提高吗肯定也不是他们只是少了很多流程的束缚或者是想法思想上的束缚他们只需要去考虑如何达成一个目标这个逐渐就形成了一种就是硅谷是那种车库的创业氛围
[00:23:08] SpaceX用的很多技术其实都是现成的比如说一些创新的材料或者一些新的计算机技术的话都是在别的领域已经成熟的他们拿来用或者拿来试就可以了结果就是他们发现自己一个初创公司做出来的零部件价格可以是传统供应商的十分之一而且性能还更高那么为什么过去NASA的供应商没有去做这些新的技术呢因为没有必要反正每年就是那些预算就是那些任务
[00:23:34] 已有的技术已经能够实现了又没有让他们减少成本的那些压力为什么要去精进技术呢这样一个差别其实在特斯拉当中也能有体现特斯拉早期使用的那个电池电芯的技术其实已经是非常成熟的一个产品了而且特斯拉的电池管理技术从技术上面来说也没有那么划时代是你要有充分的技术水平都可以做到的但是只有特斯拉想到了把它拿过来用在汽车上面并且成为了一个可靠的在商业上行得通的一个系统
[00:24:02] 你想像通用汽车这样的公司在1990年代就能做出很不错的电动车了他们为什么没有进展到特斯拉这一步呢很多时候就是因为没有实际的商业上的压力他们无所谓所以就没有必要把它真的做出来从这个角度来看的话这个其实才是马斯克最大的价值就是他挖掘出了人类文明现有的潜能而且把它转化为一种继续冒险的动力
[00:24:24] 商业就是这样
[00:24:51] 下期见
