Vol.135 考编挤破头，为什么中公教育反而跌到谷底？
[00:03:21] 课程的售卖方式呢在这个里面中共有过一个挺重要的所谓贡献吧就是在2007年中共教育在公务员的考试培训里面想出了一个很神奇的模式叫协议班协议班的意思呢就是你正式上课之前要跟机构签一个协议基于笔试面试和最终录取这三个节点的结果然后这个协议呢分别保证可以有一定的学费的退款比例
[00:03:45] 最高甚至可以做到不过全退你这么一说的确是啊就是所谓的考不上不要钱对吧而且我感觉这个也是后来各种培训班里面一个比较普遍的玩法了原来是通宫这边发明的确实这个模式有几个好处首先它肯定是降低了学生的一些心理压力不管是报名还是上课这个动力都更足了一些其次培训机构也可以借机收更高的学费是说最少想说这个方案的是中共的浙江分校
[00:04:12] 当时他们定价是普通班的学费只要2000块而协议班就要1万块协议班费用比较高而且不愧是浙江2007年就能承受得住这么凶狠的商业模式其实相比于普通班单纯收个学费协议班就变成了一个可以量化设计整个毛利结构的商业产品了
[00:04:34] 比如说啊不同的授课时长对应什么样的总包价这个总包价里面学费和杂费各占多少每个环节能退多少比例的款以整个退款率应该控制在什么水平上多少时间内返还这些指标呢其实都变成了可以影响毛利率和现金流的一些数字就是这个教培机构它自己调整的这个空间就非常大了对的自己决定自己赚多少钱啊另外呢公考培训还有一个很特别的地方就是它的实际的培训时间一般没有那么长相当于来钱非常快
[00:05:02] 有媒体算过一个例子是2021年中共在北京开的一个国考一对一实训课程这个里面课时间最短的一个班只培训四天然后这个四天班的费用也要38,800然后这个学员即使
[00:05:19] 参加了以后连比试也没有通过呢退费中共依然可以从这个四天的短期课程里面拿走一万元的毛利一对一豪华课程啊四天含泪血赚一万元成年人的钱来的真是蛮容易的这个里面呢也涉及到不同培训机构的用户心理啊这方面公考我觉得比较特殊吧因为跟教学时间更长的这种K12教育培训不太一样K12嘛不管是家长还是机构都很讲究所谓长期的投入和长期的复购但是公考
[00:05:48] 只要这个学员不是说执念很强一定要在35岁之前考上公务员的话呢大部分时候都是一锤子买卖那这个机构只有一次载你的机会他必须把握住所以也可以理解协议班这个模式出现之后很快就在整个行业里面普及了像现在不仅是中工还有华图啊粉笔这两家的这个公考课程当中协议班的比例也都不低
[00:06:09] 那为了尽可能引导学员去走协议班这个模式呢培训机构不仅会在销售的环节就跟你一直强调不过就退了这个重要的卖点这两年呢还会叠加另一个方案叫理想学就是呢你可以从中共合作的那些金融机构那里贷款
[00:06:26] 然后把这个学费交上实现所谓的零元就入学然后考试不通过呢就是由中共教育直接向这些金融机构还本付息如果考试通过了呢这个学员就直接向金融机构还这个学费的款就行了听上去是更诱人了但是你仔细想想这个把小额贷款引进来的话就感觉协议班的性质就有点变了对啊小额贷款听上去就有点危险了
[00:06:50] 就像我们前面说的原本协议班这个商业模式呢是从那些经济比较发达能够承受高收费的地方做起来的那如果说把小额贷款加上相当于把入门的门槛整个抹平了那这固然会吸引到更多愿意试一试的用户把整个收入的规模做大但是呢肯定也会带来很多问题比如说对于学员个人来说呢你最重要的一点就是你可能还不上这个贷款
[00:07:14] 那对机构来说呢这个会导致学员的整体水平下降退费率会上升这也会影响到毛利的结构和品牌形象这个退费率我们应该很清楚可以知道这是决定这个公考教育机构经营状况的一个关键指标吧对退费率我们后面还会讲到这也先放一放我们先说一下就是为了做大收入和现金流呢这个培训机构往往是顾不得形象的
[00:07:37] 我们来看一看引入贷款模式的2020年其实这是很晚才引入的一个东西在这一年中共教育的协议班现金收入是什么水平呢它当年的协议班的现金收入有237亿元然后这个水平是比2019年就疫情前一下子高出了接近36%另外也有一些券商的统计说在中共位于东北的部分学校网点中这个贷款的理想学模式带来的收入在这个网点的总收入
[00:08:06] 当中占比高达70%等于基本上一个班上全是贷款来上课的非常夸张你应该知道原本2020年中共教育推出理想学的时候他的说法是因为疫情导致线下生意很低迷是一个比较应急的刺激性的手段但是你从刚才袁老师的数据来看的话刺激显然有点过了头了有点像打开了潘多拉的魔盒了
[00:08:30] 就是说贷款来听课的人更多导致退费率更高这个肯定是他们很重视的一点不过针对退费率这个指标中共一向有一些比较独特的管理手段此前财新作为一个分析结论就是说中共公考阶段的比试阶段通过率其实只有20%到35%左右面试阶段通过率也只有35%到50%如果把这个水平折算成退费率的话那这个公司
[00:08:57] 发展状况理论上不应该这么好应该很差就一直在退费其实赚不了什么钱对但实际上情况看起来没有这么差是因为中共面对学员退费的诉求的时候它有很多明确的策略一方面它会给出很多转移方案就是把这些学员尽可能引向自己经营的其他培训比如说你国考没有过你可以去考虑省考或者考虑什么事业单位考试教师资格考甚至说
[00:09:25] 把你带去什么考研培训也可以的这个过程中呢象征性的给你退一点点钱那主要呢就是能够保证这个学员留在自己体系里面不问自己要最终这个退费另外一方面呢如果这个学员我坚持要退费那这个整个流程也非常的繁琐比如说呢你必须要等到整个招录单位发布一个最终的录取公告就是你把前面所有很长的流程都走完了才能去申请这个面试阶段一个退款
[00:09:50] 这个申请退款也不可能马上打它要省很长时间的材料从收款到整个成功退款的时间最长可以达到一年左右
[00:10:00] 这两年整个中共的经营状况不是变差了吗然后他们甚至提出来说我这个打款可以打给你但是我打款也只能分期打给你月老师刚才讲了这一套我感觉各个方面画风都非常熟悉放在最近的话有可能是比如像一些健身房之类的我们就听到过类似的套路总之就是防止客户的流失然后再拖延你付机构还钱的时间对吧
[00:10:25] 那到这里呢我们基本上已经把中共在商业模式上的所谓创新讲完了这个创新包括协议般的层层设计贷款交学费带出来这个规模以及控制退费率的一些手段而是中共教育自身的业绩进入了下行期这些看似精明的策略呢都会在财报当中体现出一些后果
[00:10:48] 那接下来我们就来看看中共的这些业务模式会如何体现在公司的财报上面这里面主要会涉及到三个方面一个是收入一个是现金一个是负债收入和现金流其实是比较好理解的这个学费为什么会影响到负债呢这个其实就跟我们在恒大那些节目里面讲到的原理是一模一样的因为有协议般这个模式的存在学员交给中共的学费势必有一定概率涉及到退款
[00:11:15] 那就不能马上确认为收入只能视作为一个预收款然后在财报里面寄作一笔所谓的合同负债等到这个考试结果出来了呢再把这个合同负债扣掉实际的退款以后再转结为收入所以说如果看中共这些正常年份的经营数据呢都会发现它有一个明显的周期性是全年的一季度报名的人会比较多然后这个整个公司的合同负债余额水平开始上升
[00:11:42] 然后收入方面其实是淡季因为都还没有转成收入在第三季度开始退费的人会变多但是这个反而也是全年确认收入的一个网季所以这个三季度是一个我们要看中共到年实际表现怎么样的一个重要的节点是吧但是跟恒大有一些区别就是房企的预售款地方政府我们上次说了它其实是限制使用的就不让你用而中共的这些预售款全部都是放在公司账户里面可以随便使用的现金
[00:12:11] 从财报里面也能看出来中工是一个非常喜欢买理财产品的公司在2020年举一个例子就是他2020年合计投入理财产品的资金就有125.9亿元也确实产生了一些投资和利息的收益当然这边要说的就是这个收益也不是什么违规的或者是不好的事情其实对很多公司来说还蛮重要的就有很多公司的收入或者说利润主要就是靠这种流动资金钱生钱的办法来赚出来的
[00:12:38] 那理解这个基本的财务指标呢我们再来看一下中工教育业绩恶化最严重的一年就是2021年当年三季度的财务状况重点还是关注我们前面说的那几个指标合同负债收入现金流以及有一项单独领出来就是退费
[00:12:55] 首先是合同负债也就是预付款的部分当时整个公司账面上的合同负债余额只有23.13亿元其实是个很少的数字相比2020年比较高的一个水平同期是少了一半以上其实说明当年的公司整个报名状况已经很有问题了其次是收入收入部分下降也很厉害同比下降了接近70%实际上转结为收入的部分只有14.45亿元就很少一点
[00:13:22] 这个在上市公司看来是非常不可思议的事情
[00:13:42] 另外当季的退费率其实是升到了史上最高的水平接近80%我们简单的说一下就是一个教育机构的漏斗你先要把学生招进来这件事情在21年做的很差然后你学生要尽量的多让他上课多付学费做的也很差最后退费就是我们刚刚讲的控制退费的东西你要尽量让他不要把钱给收回去这件事情也做的很差这三个都很差之后就叠加出来一张非常差的成绩单
[00:14:08] 所以这个2021年中共到底发生了什么他给出一个解释我觉得不考公的朋友根本想不到这个原因啊就是这个考试本身发生了一些变化因为原本的公务员考试呢时间表都是相对比较稳定的但是呢在2020至2021年期间呢就是整个国考的考试实际上是推迟了半年而省考的比试呢反而是提前了一个月
[00:14:33] 相当于整个时间表完全错乱了就跟这个公司日常这个周期性的节奏对不上了那这些变动呢也会影响学员的报考信心等于缴费的人也少了而且公司呢也要把原本很多长线的培训临时做一些调整改成一些短线班那培训效果也会差一些
[00:14:50] 这些变动都会直接反映在收入的层面上面比如说中共自己估算说这个审考的比试提前一个月对于公司的收费影响就可能有25到35亿元不过我也看到其他人分析说这个估的区间有点太高了你是拿前几年业绩做比较得出这个区间范围吗就不排除你前几年业绩里面就已经掺了水了你才报的这么高我觉得他这个理由呢确实
[00:15:18] 也有一定的道理而且不单单是日程变化本身的直接影响就是疫情的管控对于线下生意的影响包括对于学生的报考的信心或者动力什么的肯定是有一些客观的限制的但是刚刚月老讲的有个点我有点注意有的分析说他前几年的业绩掺了水显得比较高所以下降的幅度特别大
[00:15:43] 那为什么前几年比较正常的年份里面它这个业绩要掺水呢这个其实就涉及到中共教育这个上市的时间节点中共教育是在2018年上市但它不是一个正常上市它是靠借壳一家叫做亚夏汽车的一家小公司完成的深交所上市在上市过程中呢有一份业绩对赌协议就要求这个公司三年内合计要实现38.8亿元的净利润
[00:16:08] 中工在这三年里面完成的非常好即使是2020年有疫情看上去也没有影响他赚钱然后这三年里面就从2018到2020年这三年里面他的合计扣费的净利润有47.5亿元之多但是如果把这份净利润的要求和上市之前的中工的水平做对比会发现这家公司简直是拼了命的在赚钱
[00:16:31] 因为上市之前就是2017年中共教育的整个公司净利润全年净利润才只有5.2亿元一点点但到了2018年这个数字就直接翻了一倍多到了11.5亿元这个好明显虽然说上市确实有一些品牌形象上的提升有可能会鼓励更多人来中共来报考但是你要说
[00:16:53] 一有这个协议然后我的净利润就马上翻倍似乎也是太难了一点吧对的而且说借壳上市以后中共教育最大一个问题就是它本身在资产规模上面没有什么特别大的变化就这个公司没有做过大额的募资就没有钱进来也没有做并购也没有钱出去然后虽然说它买了些土地说是要建一些什么线下的自营教学点但是其实也没有对这个收入产生什么正面影响因为都还没建起来
[00:17:20] 关于买地这里可以再展开讲两句因为中国的模式是很依赖所谓线下授课的所以对于培训基地一直有需求
[00:17:28] 不过我们前面提到中工的这个培训班里面其实短期班都是占大头只待几天所以你要说酒店能不能用呢我觉得实际上也可以啊但中工就觉得不行因为他算了一笔账说这个酒店的话人均的成本要150到180一天那我自己搞培训基地一天成本只要50块那肯定是更便宜的所以说我一定要搞所以在2018年这个上市以后呢中工教育就开始拼了命的去搞地首先他在辽宁花了1.73亿搞了块地
[00:17:58] 在济南又买了一块2.28亿的地然后在湖南又搞了一块地光是土地的整理款就攒了2亿元然后最后一笔地款就更不得了了又花了30亿而且是在2020年底的北京昌平搞了一块很大的地不过因为后来实在是资金周转不过来很快就折价卖给了龙虎原来买地买了这么多如果资金链不断的话中共再努力努力说不定
[00:18:24] 可以顺利的转型为一个另类的房地产公司不过回到刚才讲那些问题的话就是这个公司在上市之后业绩的快速提升其实是挺可疑的不是单纯的公务员考试热度上升就可以解释的当然关键还是整个对赌期满以后这公司业绩直接就垮下来了这更能说明问题另外有一个值得注意的点就是上市之后的2018和2019年中共教育马上就出现了两笔大额的分红合计有29亿元
[00:18:51] 当时公司已经宣布了线下教学点这些建设计划另外也借了一些短期款是说是为了应付一些潜在的退款高峰就怕短期资金周转不过来但是这个时候还分红然后把整个公司的流动资金抽走其实是比较奇怪的一个事情我猜这个公司的股权结构应该比较简单分红是不是直接流向了创始人和大股东
[00:19:14] 对的 这个公司的创始人也是两大股东一个叫鲁中方 一个叫李永信他们两个是母子关系然后这两个人合计当时持有接近60%的股份那这个分红流到哪里呢 大家就知道了
[00:19:29] 刚才岳老师其实主要是从财报的角度带我们看了一下中共这个业绩大跳水的那个过程是怎么发生的其中一个关键的核心因素就是上市它的上市之后虽然有了一些扩张的这个举动但是在这些举动还没有产生效果的时候它这个利润的规模却大大的扩张了那实际如果看它的实际业绩的话其实总体上并没有什么起色毫无起色可以说是对
[00:19:54] 我们回过头来再看他最近的一份三季度的财报我们知道前面讲的三季度是最重要的
[00:20:00] 这个中工的营收啊就他这个赚钱的收入还是在下降的不过这个账面的利润呢总算是回正了包括毛利率呢也有所上升但是呢这个也不是什么好事啊我们后面还会讲到的那在疫情期间呢中工业绩不出现了大的问题吗然后跟他相关这个财务环境也迅速的演进起来了比如说证监会呢先是发函询问了这个公司你这个财务指标跌得这么厉害你是不是有什么问题
[00:20:26] 说的其实已经很明显了然后之后呢证监会又立案调查了跟理想学相关的几家金融公司证监会是认为中共教育是没有按照规定披露跟这几家金融公司的关联交易信息的最后呢好像没有一个明确的说法但是给了一个行政处罚那证监会就向调查处罚呢其实客观上加速了整个公司资金状况的恶化很多金融机构都以所谓避险的理由对中共停止受刑甚至是职业抽代
[00:20:54] 在2022年的第一季度呢中共就偿还了15亿元的贷款而从这个证监会调查以后呢他也没有再拿到过任何新的银行授信额度了直到2023年9月份呢他才从湖南省财信信托这么一个奇怪的公司拿到比18亿元的短期资金可以说是之前这个虚高的业绩脱了水之后然后受到了市场的关注然后反而又真的影响到了实际的业绩这样他真的变差了对吧
[00:21:20] 不过好歹是从湖南省财信信托这边借到了一笔钱好歹是有点钱了有钱这件事情对于现在中共来说还是很重要的因为按照三级报的数据来看目前中共的账面上只有14亿的流动资产但流动的负债只有67亿这两个数字除一除得出的指标叫长债速冻比之前我们是不是讲过好多次流动比率都是讲公司的现在的资金健康程度的
[00:21:47] 这个长债速冻比最能够体现公司应对最紧急的债务的还债能力因为流动负债是要求你一年里要还的这个指标肯定是越高越好了一般来说我们希望它能够到2甚至到3但是中工教育你除一下就发现了它只有0.20.2真的是太危险了这个公司资金链就说明已经随时会断了所以说除了前面的这笔18亿的资金两位大股东也在通过减持股份的方式在融资
[00:22:15] 目前两个人的合计持股比例已经不到17%了然后换来的部分资金呢也确实长期借给公司在使用但我自己感觉应该不是全部的现在都投在公司里的另外还是要说一下这比从湖南借来的18亿的短期资金代价是很高的因为企业在银行一般能拿到的贷款利率呢是在4.5%上下上市公司呢还可能更优惠包括说现在这个金融市场的情况呢有可能拿到更好的利率都是完全有可能的
[00:22:42] 但是这次中共从信托项目借钱的实际的借款利率非常高大概是9.5%但是也很可以理解这种短期的借款然后又是你这个公司情况想一想的话他当年搞这个理想学然后现在又是要借这么高利率的一个短期借款可以说是因贷款心也快要因贷款亡了
[00:23:04] 可能是为了平息这个贷款协议班以及退费难这些争议啊中共这两年开始努力降低这个协议班的比例尤其是其中高收高退的一些协议班的比例然后呢去努力提升一些实收班的课程的占比这个收入的结构调整呢反映在财报上呢就说这公司确实很努力但是就导致了他的收入和合同负债金额呢同比都在下降
[00:23:29] 但是因为中共不是完全取消了协议班本身它只是取消了一部分最难的一个部分而且用户其实也更愿意或者说更习惯于选择协议班这种模式我觉得这可能说明不是说协议班这个商业模式本身有什么特别大的问题而是因为中共在这个模式上面又叠加了贷款业务以及一些延期退款的手段以及把这个课程变成一个赚快钱的模式最后把这个模式整个压变形了
[00:23:56] 只能说中共在协议班这件事情上面要的实在是太多了除了到处筹措资金以外中共这两年趁着业绩已经萎缩了所以说他们也开始搞一些降本增效换句话就是裁员2022年以内中共的职营分支机构员工研发人员和授课的师资人数同比都下降了30%左右只是一年以内下降了30%那在2023年的上半年还在继续裁
[00:24:23] 人变少了相应的销售管理和研发费用呢肯定也都下降了这么激进的降本增效呢就最后拉动了这个公司的毛利率和利润的回升但是呢整个公司也都进入了真正的萎缩状态很难再腾出精力去做什么新的事情了这也是刚才我们说的今年的这个季度上面这个毛利率啊利润这些指标的回呢并不是一个真的好事情而且考虑到中共所在这个细分领域啊就我们回到开头所说的
[00:24:49] 就是公考以及公考培训的竞争都是很激烈的那你自己在收缩规模求生存的时候相当于也在给竞争对手输送人才对吧对的那这两年粉笔滑图和中共教育的竞争的确更激烈了因为粉笔的背后呢是上一轮双减当中倒下一家大公司原辅导公考呢算是他们少数保留下来没有受到影响业务之一然后这个母公司遗留的很多资源技术和资金呢都可以向这个方向倾斜
[00:25:17] 粉笔原来是做线上授课的他觉得说这样可以节省很多线下授课的时候没有办法省掉的场地费啊师资费用之类的但是这两年呢粉笔也想开了我开始做线下业务了甚至是直接杀入山东这样的公考大省一方面从中工华图那边开高薪挖老师另外一方面呢大搞补贴搞什么零元课低价课而且效果还是蛮好的
[00:25:39] 就是感觉有一个钱更多的人再来把中共当年玩的一套再玩一遍但是现在中共想要跟粉笔来对抗的话它这个资金水平有可能就不支持了那更不用说华图其实我们前面说了它也在冲击IPO虽然它这个冲击IPO已经第六次了难度还是蛮大的但是也不排除说在这个过程里面它是不是能搞定一些外部的融资也能在资金储备上面压中共一头
[00:26:02] 那等于说公考这个市场需求依然是大而稳定的存在着只不过中宫掉队以后呢需要说重新的规划或者说建立一下整个市场格局了OK刚才袁老师的讲述呢其实已经把中宫这家公司到底出了什么问题大致的描述了一下吧那我们回到这个市场的话你觉得总结一下中宫到底是因为哪些原因掉队的一方面呢我觉得就是还是我们前面总结过几点比如说像对赌协议本身带来的业绩压力
[00:26:32] 然后包括大股东可能有些贪心以及由此扮生的一些畸形的商业模式像在畸形商业模式里面就包括高收高退的协议班以及贷款交学费这种放大赌性的选择另外一方面我觉得可能是因为公考培训本身这个市场规模以及所谓的价值都是有点欺骗性的
[00:26:53] 我们前面提到了考工的很多需求呢看起来可以是用传统的应试教育的培训方案来比如说满足他的这个要求或者说至少是接近这个目标吧那从实际上来看你说真的有那么多人去想考公务员吗就是他们非公务员不干呢可能也不是我觉得他们可能只是想读读看就是能不能比如说我努力一阵子就换来一个相对比较稳定的未来或者一个阶层跃升的机会
[00:27:21] 那万一赌输呢他们就会说公务员也不会去一份工作嘛那我扭头再去找一个别的正常工作不也行吗而像协议班这样的模式呢正好又给赌输的人等于像兜了个底嘛但如果你越来越多的年轻人加入这个公考的行列而其中很多的人是刚刚岳老师讲的这样心态的话那像中工这样的公司他要维持住比试面试通过率就很难了那即使他能够维持住也会被激增的这个退费总量压垮是的
[00:27:49] 我觉得公考跟像法考这种更硬性的职业入门门槛或者说像考研这种需要更复杂准备的应试培训相比真的不是一个那么好的生意它更像是一个有点空洞的目标而建立在一个空洞目标上的塔楼其实是最容易倒下来的商业就是这样感谢收听这一期的商业就是这样你可以在各大播客平台收听我们的节目期待你在各个平台与我们交流下期见
