Vol.26 办奥运到底赚不赚钱？
[00:05:25] 好的呀这个第一个角色IOC呢其实是比较重要的但是因为它一直存在其实有时候大家会忽略比较关注的是城市啊所以我们来先讲讲IOC这个部分其实关于国际奥委会IOC这个组织它办奥运到底赚不赚钱这个问题是很好回答的就是它可赚钱了一届奥运会它基本上收入主要有这么几个部分啊首先是贩卖电视的转播权
[00:05:48] 其次是各级的赞助商他有顶级的然后一二三级的很多级的赞助商这个赞助费这个我们后面也会具体的讲到第三个的话就是门票收入这个三个里边其实很大的一块都是由国际奥委会这边来拿进并且负责来掌控的具体来说一下这个电视的转播权来贩卖这个电视转播权的就是IOC收到这个钱的也是IOC就是完全由他来负责的
[00:06:13] 接下来第二部分就是各级的赞助商的钱它分两种第一种是最顶级的赞助也就是所谓的top全称就是奥林匹克全球合作伙伴顶级的赞助商一共就那么十几家公司他们享有全球范围内的各项奥林匹克运动的相关的品牌的权益比如说我能在全球使用五环的标志这些公司往往都是各行各业那些最大的最有声望的公司比如可口可乐是不是还有阿里巴巴
[00:06:41] 对阿里巴巴其实就是最近的一个最年轻的一个奥林匹克的全球合作伙伴他们这个合作跟别的那些赞助不太一样1000就是签12年的甚至更久的而且这个价钱也是很贵的每4年一个奥运周期他们要付1亿美元的这个赞助费而且这个赞助费其实最近还涨价了那么这部分就是顶级赞助商的这些钱也主要是归属于IOC的
[00:07:04] 那么剩下来每届奥运会的那些本地的赞助商以及门票的收入呢主要是给奥组委的那是后面一个部分我们到时候再讲前面讲到转播权和全球合作伙伴这两个部分就这两项就占了整个国际奥委会IOC的收入的90%以下剩下的都是一些比较零碎的一些权益了那么这个90%有多少钱呢我们就以2013到2016年这一个四年的奥运周期也就是最后是里约奥运会这个周期里面
[00:07:31] 这两部分的收益一共就有57亿美元相当于一年14亿美元左右而在最近一个周期也就是平昌冬奥会和东京夏奥会这个周期这个收入更加高了比如说美国地区的转播权收入就有23.8亿美元而全球合作伙伴的赞助费加在一起有24.6亿美元还没有算上欧洲日本中国等等地区的电视转播权就已经有相当于上一个周期的那么多的钱了
[00:07:57] 你前面说就是转播权和全球合作伙伴这个赞助费占了IOC收入九成以上那相对于这个赞助费用的话就是比很多大公司收入都要高了对你想想看一年能够收这个十几亿美元而且这个十几亿美元说白了他没有付出很多东西对吧他就是卖了这个品牌然后卖了他那些内容我们说空手套牌了有点过分了但是也是一个非常稳占不赔的一个生意了
[00:08:21] 但是你前面不是说IOC是个什么非盈利国际组织吗这个非盈利是怎么体现的赚这么多钱对就是我们刚才讲的是收入的部分对吧它当然是一个非盈利的国际组织所以这些钱收进去它不是就自己员工发钱或者什么分红就分跳了
[00:08:36] 根据现行的规定就是IOC所有收入的10%它自己留下来用来维持自己的日常的组织运营管理剩下来90%要用来开展和推广奥林匹克运动这个是什么意思呢就是把这些钱分给各个运动的这些国际联合会比如说游泳什么田径等等的还有的是要分给各种运动员要做一些补贴对吧因为你有很多地方的运动员其实没有那么多的钱来做训练的
[00:09:05] 比如说我们威迪玛拉打入羽毛球男单四强这位选手是吧这个袁老师这两天经常在念叨这位传奇的就是什么这个国家没有羽毛球场只能跟别人合练的一个羽毛球男单选手太可怜了一打三练成了全球四强这太厉害了对这部分钱其实国际奥运委会也要来承担的还有一个很重要就是要分给每届奥运会的组委会就是要分给那个主办城市要分一些钱
[00:09:31] 包括还要分给就是各个国家的奥委会就是等于是这个国际奥委会下面的分会我这个说的自己都有点扰其实就是国际奥委会作为一个首领把这些钱都收进来之后他要分给下面的和更总共一样的合作方包括是一些下设的一些机构从这个意义上来说呢其实IOC肯定不能算自己盈利了对吧他这些钱都分出去了但是这么多钱的这个使用权分配权还有这个收进来的这个权利都是属于他的那他就可以决定很多事情了所以也可以说他对奥运会是有一个绝对的领导权的
[00:10:01] 相当于假设说奥运会这个市场是一个国家那么IOC就是这个国家的政府了他收了很多钱然后再把这个钱放到下面去对至少是一个独家代理的这样一个角色这里边就是涉及到一个很重要的问题就是IOC其实牢牢的把住了与奥运相关的那些核心的权利就是你要办奥运会然后使用到奥运会的各种各样权利都要通过它
[00:10:27] 最后有可能这个权利会分享给各个方面比如说每届奥运会的主办方等等的但是都要经过它你不能绕开它这个说了算的权利其实非常重要的然后它其实等于把这样一个掌控权变现了分出去然后使用在各个方面就继续加强了自己对奥林匹克的这样一个领导权那ILC到底是怎么样获得这么一个权利你想比如说政府有民选的政府对吧也有假设说有独裁政府也好但是它都要有这么一个过程那ILC到底是怎么产生的呢
[00:10:55] 于老师这个问题问得很有意思因为我们自己有可能身处一个时代是觉得这一切都是理所当然的就奥运会本来就是这样的对吧那个IOC每次来搞这个选举啊申办然后就跟主办方这样来做这一套我们都已经习惯了但这一套不是天上掉下来了也不是从古至今一直都是这样的是有一个历史的这样一个形成的对吧这个当中有一个核心的转变呢就是所谓的萨玛兰奇改革就萨玛兰奇中国人的老朋友这老朋友不是谁都可以称得上的对吧
[00:11:23] 这个故事其实也非常有意思这有一本书就叫做奥林匹克大逆转就是讲的是奥运会如何通过一些商业化的改革让自己有了充足的财力然后恢复了对奥运的整个这样一个掌控的权利同时也复兴了奥林匹克运动这个过程当中的核心人物就是萨马兰奇也就是我们的上上任的国际奥委会的主席因为上任人是罗格对吧
[00:11:46] 现在呢基本上都公认萨马兰奇是除了顾拜旦以外也就是这个现代奥运的奠基人以外最伟大的一个IOC的一个主席然后刚才讲到那本书奥林匹克大逆转他的这个作者迈克尔佩恩他也是和萨马兰奇一起深度的参与了这个奥林匹克的商业化改革他是个重要的参与者
[00:12:07] 这个人就是一个非常擅长做体育营销的一个人
[00:12:36] 虽然比如说可能美国的这个橄榄球啊NBA啊棒球啊包括英超啊这些区域性的体育赛事他们的商业价值也很高甚至更高但是他们不是一个全球性的比赛没有全球性的影响力那刚刚讲到的三个的话其实就符合那个标准当然现在F1有可能有些弱了到不了那个水平了但是奥运会和世界杯还是属于妥妥的这个顶流对吧刚刚那个书指开了个头来要不你再详细介绍一下这个萨马拉奇是怎么把奥运会这个事情大逆转的
[00:13:05] 这个呢其实在那本书里边有很详细的一个介绍了就我这边就简单的复述一些有意思的点具体的其实大家可以去看那本书网上也可以买到的简而言之呢就是在1980年的时候那个萨玛兰其实当选了IOC的主席当时IOC这个组织啊就基本上怎么说就是快要失去对奥运会的掌控力了而且奥林匹克运动会这个活动它的这个名誉啊地位啊也已经岌岌可危了
[00:13:31] 那个时候是在冷战就是1980年奥运会又是在莫斯科1984年又是在洛杉矶这地方跳的可真不好对结果就是政治因素严重的影响了奥运会就1980年的时候就有很多国家都抵制莫斯科奥运会都没有去
[00:13:46] 1984年的时候虽然最后没有太多的国家去抵制但是因为前一届奥运会这么扫兴结果洛杉矶这届奥运会美国的联邦政府还有当地市政府都不愿意花钱了最后是靠一个商人拉起来的一个组织得到了奥组委的各种各样的授权然后他卖了很多赞助然后把奥运会办下来了结果还赚了蛮多钱这个人还挺厉害的对当然这个故事其实大家很多都看到了就是讲奥运会的商业开发是在洛杉矶开始的
[00:14:13] 但是这一段时期呢就给了IOC很多的启发和刺激启发呢就是说奥运会这个活动这个品牌商业价值是非常非常大的是卖得出钱的这个刺激呢就是之前真的是一点都没有好好开发就是搞得太烂了举个例子啊就是当时如果你有公司要去做一个奥运会的全球性的赞助你有可能要分别去跟各个国家的奥委会去签合同
[00:14:37] 等于签一百个几十个合同之后你才等于在每个国家都拥有了使用一些比如说五环或者是奥运的一些权益这个等于你把奥林匹克这个品牌搞得非常分散你就很难卖得动对吧就是一个国家到奥林匹克和另一个国家奥林匹克还不是互通的对
[00:14:54] 你说这个你作为一个品牌营销来说怎么可以搞得起来就等于国际奥运会没有一个总代的这样一个身份这还太难了当然了这个东西也有一个背景就是说奥运会奥林匹克运动之前一直强调我们要纯洁要避免这个政治和商业的影响甚至提出奥林匹克运动这个体育应该是业余的不能有职业运动员来参加不能拿来赚钱的你这话你让俄罗斯人到底怎么接吗
[00:15:19] 对这个我们现在听起来有点奇怪但是其实在非常晚进的时候包括现在还有很多项目还是多少有些坚持这个比较原教旨的奥林匹克的思想但如果你全都这样搞的话就有点过于取高贺广了对吧你不跟商业联合的话你都快办不下去了而且你不接纳职业运动员的话这比赛都不精彩不高水平了这怎么去探查人类的极限呢对啊结果就是别人都去看各个项目的一些世锦赛世界杯了谁来看你奥运会呢
[00:15:44] 所以萨马兰就觉得不要搞过去那一套了一定要来做商业化的改革它主要的就是确立了刚才提到的两个重要的一个收入引擎就是电视转播权和全球的合作伙伴听上去是非常简单的也非常明确但是要做起来其实是非常难的因为你之前没有这个总带的感觉对吧你现在要重新确立起来要把它落实你就等于要和各个运动的国际组织以及各个国家的奥委会要谈清楚
[00:16:10] 对不对现在这些权利都要我这边来负责了但是你们这边要有好处的这是一个非常复杂的也非常艰巨的一个外交谈判的这样一个过程就比商业公司去谈判还要再复杂一些你可以把它理解为一个外交了吗对不对当然萨马兰奇就是因为他有这方面非常强的一个外交的能力和资源他能够把这件事情做下来
[00:16:29] 另外的话就是你要和很多公司去谈赞助了对吧你要去和那些全球最顶级的那些跨国公司说你要给我长期的赞助费然后我给你一个全球的奥林匹克的一个权益但是当时很多公司是不买账的我为什么要来赞助你这个东西之前又没有这样的一个先例你只是一个在瑞士洛桑对吧随处可见的一个国际组织而且大多数员工都是兼职的
[00:16:49] 你凭什么有这样一个可信度为什么我能够认可你的我记得那个书里面就写过一个细节很说明问题啊就是那个时候这个作者他就去找Swatch就是瑞士那个钟表的制造商说你来赞助我成为这个奥运会官方计时服务的这个合作伙伴大家听听啊这找的是Swatch都不是劳力士就是说明了这个当时奥组委是多不行啊当然那个Swatch还是很大的对吧还是个很大的一个公司
[00:17:13] 然后呢这个作者这个佩恩他就怎么来谈这个事情他就暗示Swatch说日本的金工也要赞助我们而且这个价格不低的所以呢你们要赶紧提高价格结果这Swatch根本就不买账他说少来了吧应该是你们付钱给我们我们再帮你们提供即时服务好不好结果最后确实是这样就金工那个日本那边想要拉过来来抬价的那个公司也没有愿意付太多的钱来赞助奥运结果就是奥运委会不得不真的付很多钱给Swatch来买那个即时服务就是Blofins失败了呀对
[00:17:43] 当然现在这个奥运官方计时已经是一个对钟表行业非常重要的一个赞助或者是一个名头了这个当中还有涉及到非常多的包括跟电视台的这个谈判也是非常经典的还有一个所谓蝎子之针的这样一个说法这个大家都可以看那本书里面的介绍最后的结果就是到了1988年1992年这两届奥运会的时候奥运会的这个商业化的改革商业化的这些赞助已经非常的成熟了
[00:18:08] 奥运会的规模也变得更大
[00:18:34] 奥林匹和大逆转的这个过程里面除了像萨马兰奇这些核心人物的改革以外也有很多历史的进程比如说他当主席的时候也就是上世纪八十年代那个时候冷战的氛围其实已经
[00:18:46] 就是下来了嘛就是说政治已经没有那么说干预奥运会的这样一个力量了另外就是说电视的普及还有大发展的话可能也是一个背景因为说奥运会能开这么一个裁员的话如果没有电视转播其实是不可能的然后刚才我们说了很多什么国际性的赞助的话都没有一个传播的基础对吧
[00:19:05] 对对对这个其实是非常重要的甚至我们觉得可以这么说就是如今在商业上面运营的比较好的一些体育赛事不论是全球的还是区域性的都是乘上了这个电视行业的这个东风关于电视对奥运的影响还有一个很小的细节也很说明问题就是原本奥运会都是14天的后来在1986年的冬奥会上变成了16天这个好处是什么呢就是多了一个周末
[00:19:28] 这个周末就可以大家看电视当然现在时代有可能变了比如说像现在很流行的电竞啊什么可能就不需要电视了嘛奥运会也有可能需要和那个流媒体打好交道否则大家就只能看一些什么二手奥运对吧热搜里面看奥运刚才我们聊的基本上就是说LC这个部分都聊得很清楚了就是说结论很简单LC办奥运肯定是赚钱的对吧那我们要么就进入下一个主题就是各个地方的奥组委吧
[00:19:55] 这个部分呢就是比较复杂一些而且就也没有IOC那么汉老保收了大家可以这么两个理解就是每届奥运会我总共有一个具体来筹办组织的一个机构
[00:20:05] 它就是每届奥运会的组织委员会它基本上都是由主办城市的一些官员和各界人士来组成的比如说这届东京奥组委主席就是日本政府的一个官员就是叫乔本圣子之前也还换过一个人然后组织委员会里边也会有各界的一些名流来当奥组委的理事包括一些体育明星工程民旧的一些人或者一些体育组织的一些负责人还有一些各个政府的官员大型企业的老板还有一些看上去不太相关的人
[00:20:35] 比如说这次东京奥组委有一位理事就是著名的偶像团体制作人邱远康这个理事是不是也不太理这个事对我们也好像没听说过邱远康给奥运写过什么歌对吧当然这些都是一些明面上的成员而具体实际筹办来做这些事情的这个奥组委其实你就可以理解为一个有限定期的一个政府部门了一个城市要办奥运会这么大一个赛事基本上都是政府来牵头做的
[00:20:58] 除了我们刚才讲到的1984年的洛杉矶奥运会其实是非常稀有的一个特例一个人办起了一个奥运会对吧对而我们经常说的某届奥运会赚不赚钱很多时候其实就是在指美界的奥组委这个组织的账目到底是亏是赢是不是每届奥运会都要按规定把自己的账目给公开出来对所以就是我们经常看到很多文章没有非常理清楚这个概念的时候觉得很奇怪因为这些账目都是公开的其实非常清晰明了这些东京奥运会其实也不例外
[00:21:27] 我们在这期的show notes里边也会把东京奥委会的预算的那个网址贴在上面大家可以仔细的看一下我们这里就相对比较简单的来说一些重点它其实列出了一个非常明确的收支表就首先列出了这个东京奥组委自身的收入和支出这个结论是什么就是这个数字是持平的就是收支平衡都是7210亿日元换算一下的话大概就是65到70亿美元左右那这个收入结构的话你再拆一拆
[00:21:55] 大概是这样几个收入的部分首先第一部分收入就是IOC的补贴就是IOC收上来又发下来的钱是吧对对对这个就有8亿美元左右其次的话就是刚才讲的TOP就是全球的合作伙伴赞助费也要分给澳洲为5亿美元等于也是从国家伙伴这边分过来的第三部分的话就是比较重要的就是本地的赞助商
[00:22:17] 这个呢一般分三级什么金牌合作伙伴官方合作伙伴还有什么官方赞助商啊什么的就些本地的企业在当地有很多的权益那这部分呢有33亿美元还有一块呢也是比较重要的就是门票有9亿美元这个收入竟然还有啊这个在他的预算里面列出来了但不是实际的对吧实际上就是零了基本上还有一些其他都是杂项了反正这一些加在一起就是65亿美元多一些那这个支出钱到底怎么花呢
[00:22:44] 这个里边呢其实它分的也比较清晰了主要就是软硬件两个部分硬件呢就是一些设施主要是一些临时的设施比如说一些座椅啊然后这次的座椅看上去就挺临时的还有床是吧床床就是一个临时的东西对还有一块其实蛮大的就是一些能源费电费
[00:23:03] 要开那么多灯对吧还有一些邮费等等的硬件这些部分加在一起有13 4亿美元左右然后更多的是一些软件的部分这个就很杂了比如说接待安保日常的运营对吧你要组织那么多人运来运去什么的这些其实花很多钱的这个算下来有50多亿美元那么加在一起也是65亿美元多那这软硬件加在一起就是65亿美元多一点
[00:23:25] 最后就是达成了和那个收入是完全持平的当然完全持平是不可能的对吧你想想看这个为什么能够持平呢就是在收入里面呢还有一小的部分叫做收支调整额出钱方的就是东京都的政府就是稍微加了一点钱进去使得最后整个的这个账就平下来了他为什么这个账目上一定要把这个账给做平啊
[00:23:45] 这个东西其实是一个惯例你如果去看之前每次奥运会他们在申办时候提出来的那个预算包括筹办时候提出预算基本上都是要求收支平衡这就说明这个预算做的好了对这个当中其实有一个很重要的因素还是因为奥林匹克的这个非盈利性就是你从筹办的时候你不能说我把它当做一个商业项目来赚钱但是我也不能亏钱对吧我最后就是要做成一个收支平衡预算的艺术对当然我们就说了这么好
[00:24:12] 其实这只是那个网页收支表上的一部分这第一部分它只是这个奥组委专门的这个支出现在他只把一部分的支出放在这个表里面来体现对吧对换句话说这刚刚讲的一些部分都是运营奥运会这个十几天的这个赛事的直接的一些成本而我们日常概念中就是我们普通人讲到的很多关于奥运的投入很大一块没有算进去它是放在另一个部分叫做其他的一些经费上面的
[00:24:37] 这个其他就很笼统的呀对吧比如说那些永久场馆的建设就是放在那个里边的这个呢他也列了一张非常清晰的表那其他经费有多少呢有9000多亿日元就是80多亿美元这个其他比这个预算本身还要高了对对对那这里边的大头呢就是永久场馆的建设
[00:24:55] 还有一些不与奥运会直接相关的一些组织运营筹备的这些钱再加上这一届奥运会还有个特殊之处就是有新冠疫情的应对经费这个是在东京奥运组委出了第五版就是今年出的100亿运算里边增加的一个部分这个也1000亿日元了相当于9亿美元这个钱都是谁出的呢
[00:25:14] 这些钱的主要就是东京都政府和日本政府来出钱的当然这里面也有一个会计上的规则就是为什么他能把这些钱算到其他里面来说就是因为他不是一个直接运的钱就是说这些东西不是专门为奥运会来准备的比如说你这个永久场馆以后还是要用的对吧你只是这次奥运会会用到但是这个场馆它的所有权也好包括它以后的经营也好这是以后要一直用下去的类似于你为我干了这个事情但是我只是为你租了一下这个场馆是吧
[00:25:41] 没错包括奥运村也是这样一个概念所以这一部分的钱都是放在了其他经费里边而不放在奥组委这个组织奥运会这个本身的直接的这个收支里边那我们就算一下总账吧说的清楚一点就是说我们本届东京奥运会奥组委加上东京都政府加上日本国政府这三个部分的话大概加在一起能拿多少钱
[00:26:02] 对就是我们刚才是按照这个奥林匹克运动他那个稍微一点规模那个算法对吧还分了什么直接的这个收支和什么其他的经费但其实对我们来说就是一本总账嘛对吧而且对于当地政府来说也是一本总账如果算总账的话就是说本届奥运会奥组委加东京都政府加日本一共能收到大概65亿美元左右而要支出呢是支出150多亿美元这一看就是很亏钱呀
[00:26:29] 对也就是说我们经常在媒体上看到的所谓说这届奥运东京来筹办来主办是亏钱的就是在这个意义上来亏的而且这次是不是跟就是说申办奥运会时候预期的话其实亏的有点太多了
[00:26:42] 这个里边它其实有个链接还有个PDF上面就是显示出了现在这个预算和申办时候的这个预算那个时候叫预期了有怎么样的一个差别申办时候它对于这个总账的这个预期的支出呢只有70多亿美元就是说它觉得完全可以达到平衡了结果呢最后多出了这么大几十亿美元的这个多出来的这些支出
[00:27:03] 做在哪些部分呢其实没有很多都在硬件上面主要是做在一些软件的上面比如说安保啊运输啊运营啊管理等等因为奥运会的这个筹办的规模也好啊它包括它相关的一些活动也好只要这个规模扩大的时候这个人力的成本其实是大量的投入的这个就增加了这个50多亿美元的投入当然了硬件也多花钱了嘛这个大家也很好理解对吧一开始都是说哎呀我可以很省的东京的主会场都经过一次设计的重新的调整了这肯定是很花钱的当然啊现在这个情况就更加糟糕一点因为
[00:27:32] 有了疫情的这个缘故不仅增加了这个刚才讲到的疫情的应对费用有接近10亿美元还少掉了很大一块门票的收入这个一里一外又亏掉了将近20亿美元这个就知道为什么在奥运村里面跟吉祥物合照要花5000日元这件事情了要花5000日元吗对啊你不知道吗这个当时是上新闻的但这个吉祥物有点不太想花这么多钱呢刚刚薛老师报了很多很多数字我来简单总结一下就是说东京奥运会从目前的预算来看
[00:28:00] 肯定是亏钱的而且即使没有疫情的影响的话它大概就是要亏个几十亿美元然后疫情的影响一叠加上来就变成了一个大几十亿美元就变成了八九十亿美元这样一个亏损情况差不多总结的比较清楚了不过这个还不是我们要讲的全貌因为这个我们讲的还是跟奥运非常相关的一些东西
[00:28:19] 这里边还有很多钱没有算上比如说东京这个城市为了迎接这次奥运会他做的一些基础设施的更新也好造的一些新的路新的一些电车的线路也好这些都是跟奥运不相关的但是其实就是因为有奥运这些事情才开始做的对吧也是为了更好的迎接奥运来准备的但这些钱都不会算到奥运的账目里边肯定是算到东京自己政府的账目里边这个我们其实很有体会就是因为北京奥运会的时候北京也是全程修地铁对吧
[00:28:47] 当时官方的收支基本上是86亿美元是一个打平的状态但是这个部分如果加在一起就没有办法算了对这里面肯定不包括修地铁修路这些钱的但这些钱肯定是比直接的这些收支要更大的一个部分说到这个程度的话其实就是一个更大的问题或者我们更经常讨论一个话题就是说对于主办城市来说我去办奥运会做这样一件事情长期来说对我到底是亏还是赚的
[00:29:12] 如果只看奥运会的组织本身呢其实像最近的东京啊上一届的里约啊伦敦都是亏的因为这个支出最后还是超过预算很多了
[00:29:21] 但是如果你算一个更大的账的话就是把我们刚才讲到的一些城市基础设施的投入都算进去的话这个事情就变得很复杂了因为很多时候城市就是想要借助奥运会这个事情来激发经济的活力用现在时髦的话就是来做城市更新对吧那这个账就不太好算了因为比如说你因为奥运会带来了很多游客这个钱也不会算到奥运的收入里边对吧但他有可能给城市的酒店餐厅带来收入就会增加政府的税收比如说这个奥运村还有奥运园区在办完奥运会之后
[00:29:50] 你有可能会重新的开发或者把这个当做楼盘卖掉比如像我们北京的奥运会的奥运村现在就是一个正常的楼盘它就卖掉了然后你有可能做了开发之后赚了很多钱这个账也不会算进去
[00:30:02] 说白了就是我们可以把一个城市对奥运会的一个投入看成是几个同心圆最核心的是与奥运赛事本身直接相关的运营的账就是我们刚才讲的经常持平的账对吧在外面一圈是与奥运筹办相关的一些投入比如说那些主场馆设施这些投入在外面一圈就是城市借助奥运会这个由头加进去的那些投入这个核心圈的账我们算得清楚外面一圈的账其实比较难算但是往往更重要
[00:30:30] 而且这几个同学好像在账上面怎么画的话是可以有些调整的方案的对吧总体来说这个最外层这个账一个是算不清第二是一算可能就是很亏啊对吧
[00:30:42] 我们的之前的同事也是我们第一财经杂志的专栏作者崔鹏老师他最近就写了一篇稿子讲就是说奥运是怎么变成主办城市的毒药的这一看就很负面他觉得说所有的主办城市好像都不是很赚钱对其实他讨论的就是一个我们刚讲到的最外面那个同情员的问题就是一个对城市发展来说的一个总账那这个东西呢其实是怎么说呢非常因时而异也非常因城市而异的只能一个个个案去分析的
[00:31:11] 我举几个例子啊就是有很多城市的主办奥运会的经历都已经变成一个专有名词了第一个就是一个负面的就是毒药型的这个案例叫做蒙特利尔陷阱就是指1976年的时候呢蒙特利尔办了奥运会当时办这个奥运会呢加拿大也很开心啊蒙特利尔也很开心就准备借这个机会好好地振兴一下自己这个地方就花了很多钱建很大的场馆当时那个主会场单单这个主会场的预算就28亿美元
[00:31:38] 是1976年的28亿美元是吧对而且你想想只是一个会场结果就是办了15天之后也没有形成什么特别多的一些长期的效应还欠了10亿美元的债结果政府只能让民众一起来背锅就是他专门搞了一个奥运特别税让蒙特利亚的市民一直来还这个钱这个税是到2006年才结束你想想看1976年到2006年这不知道历史有多少这个事情其实是非常严重的影响了奥运会的申办的热情的
[00:32:05] 也使得1984年的也就是等于是当时这个蒙特利尔奥运会办的同期确定的那个七年后的那个奥运会没有得到政府的支持最后由私人机构来主办了反而激发了这个奥运会的潜力而且这个1976年的蒙特利尔奥运会因为在商业上的一个巨大的一个损失也直接促成了我们刚才讲到的萨马兰奇的一个大的改革其实是有一个因果关系的还有没有在奥运这个事情上赚起来的城市
[00:32:30] 这个也是另外一个名词就叫做巴塞罗那效应就是说1992年的巴塞罗那奥运会当时政府也是花了很多钱其实做的事情跟蒙特利尔你从宏观上面来看没什么特别大区别它也是大新土木翻新了城市的基础设施还搞了很多旅游的工程比如说搞了一长条人工的沙滩什么的一下子就把巴塞罗那变成了欧洲最受欢迎的一个比较高端的旅游目的地城市了
[00:32:54] 而且就是现在已经打上了一个宜居城市的一个标签人们很愿意到这边来工作来玩这个产生了一个比较长期的一个对城市的影响巴塞罗那一跃从一个比较小的城市变成了一个欧洲的一个怎么说引领欧洲经济发展的一个重要的一个中心城市了如果你只算我们刚才讲的那个小账的话那巴塞罗那的这个支出是远远超过他的奥运会的收益的但是如果算这个大账的话
[00:33:20] 可以说绝对是一个借着奥运
[00:33:48] 对吧但这个东西能不能实现就有很多的影响因素了比如说现在我们社会来看巴塞罗那效应的话会觉得其实它是因为本来就处在一个经济的上升的周期里面而且它的城市更新有很多具体的地方做的比较好确实是能够实现它原来的效果的最后几个比较正向的因素叠加在一起它才产生了一个比较好的一个长期的效应但是也有可能你处在一个比较差的周期里面比如说像希腊
