Vol.33 是谁把戴森、保时捷、汉莎航空……引入中国？
[00:06:46] 而且他的这个小时候的摇篮就是水手的吊床听上去非常的浪漫所以我们好像在讨论一个类似于海上钢琴室一类的故事了没有那么浪漫啊雅各布的父亲他就一直想要发展东亚的这个贸易业务据说那艘雅各布出生的船本来就是要开往中国的但是1870年正好是普法战争嘛他就被迫换了目的地开往美洲了雅各布在成年之后他就继承了父亲的想法吧
[00:07:13] 在20多岁的时候就在中国和表兄建立了杰城洋行那后面的故事呢就是年轻的商人冒险家开始升级打怪的这样一个故事那就很长了我们在杰城自己的官网里面找到了一本专门写这个公司历史的一个小书虽然是个小书但是里面的细节非常的丰富而且中英文还有一点小的区别我们会把这个书的链接贴在show notes里面大家有兴趣肯定可以自己看一下
[00:07:38] 对我们今天就不具体展开这个杰成的历史了如果要讲的话这个时间真是收不住那我就重点讲两个例子来说明一下杰成这个洋行这个公司的一些特点第一个特点呢就是他做洋行代理的都是一些新产品或者说是当时比较小众的产品然后把它做大这个是他最习惯做的一件事情杰成做的第一单大生意就是这样的他是在1897年的时候和现在全球都很著名的化工巨头巴斯夫签了一个合约
[00:08:06] 代理巴斯夫的电缆染料那这个合作呢是让巴斯夫和杰城都大赚的电缆的话大家就知道就是牛仔裤里面用的那种蓝色其实这个中国人早期做衣服的时候也非常喜欢这个颜色当时的中国纺织业的话其实已经发展起来了但是染料这个行业呢反而还比较传统因为很多用的是天然的染料但是巴斯夫的这个电缆染料呢是化工合成的就是便宜量大质量又很好对吧一下就能打开市场对
[00:08:33] 我们在巴斯夫的官网上面查到过一段记录可以说明当时这个生意有多赚钱巴斯夫负责远东贸易的一名工程师他叫穆勒他写了一段记录就说有一段时间我们当地的代理商每个月的第一天就要电汇100多万马克到曼海姆也就是巴斯夫总部的所在地那我查了一下当时的100万马克是什么概念呢就1900年的时候德国一马克可以买一公斤的牛肉
[00:08:59] 大家可以感受一下100万马克是什么概念是一个牧场的概念牧乐他在记录里面提到的当地的代理商其实就是杰成如果我们翻看后来杰成代理的一些品牌就能发现他主要做的都是一些有技术门槛的产品很多都是工业品比如说他会和博士啊克鲁博这样一些德国的公司合作
[00:09:18] 那做这些品牌的代理其实最主要的一个技能就是你要专业你要有眼光能够看到这些产品的潜力并且你要有这个专业的技术能够卖得动这些产品如果说专业是杰成做代理的第一个特点的话那第二个特点是什么呢第二个特点呢就是坚持这么听上去好像有点这个讲空话哦但是杰成的这个坚持有的时候甚至可以说是有些顽强或者说固执了它主要分两个方面
[00:09:44] 第一个是业务上面就杰成他成立了一百多年他就坚持只做品牌代理这一件事情也就是洋行的本分要知道洋行或者说品牌代理这个生意有一个最大的悖论这也是杰成自己总结的就是如果你做的不好品牌会收回代理权如果你做的太好品牌也会收回代理权他要自己去做了所以你这个代理商永远是被动的
[00:10:06] 这一点我们还在后面会重点的提到那很多洋行因为这个点呢他就会去投资做别的事情比如说宜和太古后来很重要的业务都是去做房地产了但是杰成从来没有这么去扩大经营其实在杰成的历史当中好多次的员工提过老板我们很有钱啊要不要做做房地产要不要搞金融但是都被否决了
[00:10:26] 那刚才讲的坚持的第二个方面呢就是他坚持在中国做生意就是好像这是一个跟历史相关的坚持对就你想想从1895年创办到现在2021年了这么一百多年的时间里边整个东亚的地区中国经历了多少次战争而且结成是经常牵扯其中的因为他们和很多的德国公司做生意嘛比如说你前面提到巴斯福博士克鲁博通通都是德国公司对吧
[00:10:52] 那一战的时候雅各布杰城本人他就被作为敌对国的一个公民被英国人抓起来了然后关到澳大利亚去关了几年才回到丹麦的之后中国还有很多次战争很多洋行都是在这个过程当中就离开了这个市场但是杰城就一直留在中国前面看我们提到这本杰城的历史书里面有两个印象很深刻的例子
[00:11:14] 一个是在二战期间杰城在内地的办事处居然都生存下来了比如他们在天津的留守员工就是靠修汽车火下来的第二个例子是1962年杰城其实是最后一个离开内地的外资企业而到了1974年那个时候还没有改革开放杰城又重新在北京的那个民族饭店也就是尼克松访华的地方来建了一个办事处
[00:11:36] 中间的这个从1962到1974年的这十多年里面呢他一直有一位公司代表坚守在中国大陆也就是他在中美关系开始解冻的时候凭借自己的能力给杰成拉出了一条跨洋的电话线把业务重新搭建起来了所以说到了1978年杰成就成了最早一批重新回归内地的外资公司杰成现在的家族继承人老板Hans
[00:12:01] 他在1978年的时候就在北京的那个办事处实习过半年他也是骑着自行车在长安街上下班的人然后等到改革开放之后尤其是香港回归之后包括香港和内地签了这个更紧密的贸易的协议那杰成在内地的发展就很快了现在杰成集团呢一共有四块业务消费品饮料工业品和汽车而他代理过的品牌呢包括奔驰甲壳虫汽车卡西欧博朗等等都是现在中国已经很有名的一些品牌了
[00:12:30] 如果要描述杰成这家公司的现状因为它是一个家族企业没有上市所以我们没有财务数据但是据我们的了解它一直就是一家财务上非常健康也持续增长的这样一家大公司
[00:12:43] 好呀那历史介绍的部分就到这里吧我们不能把这个节目越录越长了那我们接下来就具体来讲讲杰森在内地经营的两个重要的业务一个是戴森一个是保时捷要么我们就从戴森开始好呀那戴森和杰森的故事呢是从2005年就开始的当时戴森的国际销售主管就带着戴森的那个吸尘器到香港和杰森来谈横坐
[00:13:05] 要知道即使在香港当时大多数的吸尘器都是几百块钱的这个很正常就是背靠珠三角这个制造业重镇对吧而戴森那个时候的吸尘器要三四千块钱不过据说当时结成的董事也是负责消费品业务的李嘉祥他就觉得这个产品很好很有市场双方是确定了合作意向但是也是小心翼翼到了2008年的时候戴森才开始在香港开店的没想到2013年的时候
[00:13:32] 戴森已经发展到占据香港的吸尘器市场四分之一的份额了那说到这里呢我们要稍微说两句戴森这个品牌本身啊因为这样可以解释一下杰成做代理的一个思路我不知道岳老师你用没用戴森的产品其实我现在脚边要放着一个戴森的产品
[00:13:48] 就是戴森的产品经常会给人一种我不配用这么高贵的东西的那种感觉我上次用戴森的话好像是在一个很高档的港资商场里面就是这个商场的洗手间里面装了那种戴森的水龙头是一种中间感应出水两边出风吹手的非常简洁又优雅的东西没错如果要总结戴森这个品牌的特性的话除了贵以外就是强调核心技术
[00:14:13] 甚至他在做销售推广的时候也是那种很技术宅的风格要知道戴森的店员不叫店员啊他叫工程师这个话就像是比如说苹果会把自己的员工叫Genius星巴克会把自己的员工叫伙伴就是好像消费者都挺吃这一套的戴森呢他就要求工程师们对吧在卖产品给消费者之前必须要先把这个核心技术给消费者解释清楚了那个什么数码马达到底厉害在哪里然后才把产品卖给人家
[00:14:42] 那这就需要作为代理商的杰成能够hold住这种技术家的风格而且他要花很多的精力去培训销售人员达到这样的一个标准而杰成呢正好有很充足的人才储备他此前代理了很多产品比如数码相机手表保时捷汽车都是很强调自己的技术上的优势的所以杰成他是有所谓技术营销的经验的他甚至还有很丰富的维修经验我看到一个杰成香港的维修部的经理回忆
[00:15:11] 这个人他在杰城内部人称康师傅他说自己从修手表开始后来又修相机再后来修戴森干了快30年最后变成了一个罕见的全能型维修老师傅那这些其实都是戴森可以很快占据香港市场的一个原因不过香港市场说实话还是一个挺小的市场你说在这个市场占了四分之一的份额也没有那么大
[00:15:34] 那为什么说戴森觉得说我后面就可以做内地市场甚至说能够跟杰成一起把内地市场做得这么好呢其实也比较好理解我个人觉得在2012年13年那个时候其实内地的消费已经比较起来了嘛戴森有可能觉得在香港能够卖得好那我至少在内地的一些一线城市包括长三角珠三角的一些城市我肯定也是卖得动的所以他到了2012年的时候
[00:15:57] 戴森就提了一个很激进的一个要求他希望在进入内地的第一年杰成就要开200个销售网点这个其实考验就是代理商的另一部分基本功就是你怎么去拓展销售网络就是怎么开店的那个能力在我们还叫第一财经周刊的时候在2014年就是戴森刚刚开始在中国有点红的时候我们的同事就采访过刚才提到的杰成的董事李嘉祥
[00:16:21] 他当时就说戴森第一年在中国开店的这样一个目标其实是很有挑战的而且也让他们改变了一些原有的铺销售网络的一些方法比如说代理商经常会关注有一些开店的指标他当时就说戴森一开始在内地拓展的时候其实对于节程来说是挺有挑战的比如说他们平常关注的一些开店的指标在戴森拓展的时候其实不太管用比如说商场客流
[00:16:48] 他们会把一些人流量很高的百货摆在前面然后去开戴森的店结果销量并不是很好因为戴森它是开在三四楼的所以说整个商场的这个客流未必是那么有效2014年的时候这个商场客流确实集中在一二楼呀逛王化妆品逛女装谁要上三四楼去买家电呢所以说杰城就很快调整了他们引入了楼层的人流数据选出了一些原本比较靠后的一些点位反而效果是不错的
[00:17:14] 另外一个开店的经验就是他们会在一些新一线城市重点的去突破就一旦在一个新一线城市某些网点的业绩不错他们就会把这个城市的点开足比如说2014年的时候他们就早早在沈阳哈尔滨成都合肥这四个城市各开了五到十家的戴森就一下子把这个市场先攻下来了所以说谁说投资不过山海关你看这个洋行去到山海关外做事情也照样做得好
[00:17:41] 如果用一个词来总结肖老师刚才讲的就是结成代理戴森的这个过程讲的还是专业这个问题比如说渠道拓展选址销售团队的培训甚至说维修对吧都是代理上的一些专业技能
[00:17:56] 讲到这里我就更想听肖老师比较擅长那个部分了就是汽车的案例保时捷是怎么跟杰成做合作的这两家公司我印象中似乎也有一段孽缘对吧说孽缘有点这个戏剧化我们之前提到过杰成目前有四大业务消费品饮料工业汽车那汽车这块业务其实是最简单最容易描述的杰成的汽车业务就是在中国开4S店卖保时捷保时捷大家都知道最著名的就是911的跑车
[00:18:24] 那杰成是1955年的时候把保时捷引入了香港那他就一直是保时捷在中国的一个总代之后这两家公司就保持了很长期的我们可以说是婚姻关系了真的是婚姻啊因为保时捷是把香港澳门内地的独家的代理权给了杰成
[00:18:43] 而杰成呢他在汽车行业也只做保时捷这一个品牌所以他们两个都是互相专一的是一个一夫一妻制对吧对那到了2008年的时候保时捷是收回了内地的独家代理权但杰成还是他最大的经销商的合作伙伴据说啊据说Porsche的这个中文名字保时捷这个杰字就是来自于杰成的听上去这就是一个稳定的长期合作关系也没有什么波澜对吧
[00:19:08] 对但是特殊就特殊在长期稳定这件事情上这个怎么说因为很少见要知道一个汽车品牌和经销商能稳定这么久的合作其实是蛮难得的在中国就更加是这样且不论从1955年到现在整个中国社会发生了那么多的变化就说2001年保时捷进入内地之后就单汽车市场本身就变化极大2001年杰成是在北京开出来的内地第一个保时捷的展厅
[00:19:35] 当年在内地保时捷只卖了40辆我觉得也算是个不错的水平了因为当时中国路上跑的车还都是什么桑塔纳富康夏利就是那种面包车对那到了2020年的时候这个数字就变成了9万辆而且熟悉汽车行业的就知道保时捷是在中国汽车品牌里边经销商的利润率最高而且增长最稳定的豪华品牌之一肖老师对于保时捷这家公司一直是很有兴趣的这个故事我们可以以后有机会再讲对要赶紧打住我们回到节程
[00:20:05] 前面提到2008年的时候杰成的内地独家代理权被保时捷收回了而且保时捷不仅引入了别的经销商来开4S店他自己还在上海开4S店这就是一个很微妙的时刻了如果处理不好的话很有可能会出现品牌和代理商反目的一种情况这个是不是你们汽车行业里面非常常见的情况确实不是没有出现过举一个例子就是奔驰
[00:20:31] 他之前也是在内地有一个总代理就是利新行到了2006年呢奔驰要建立自己的销售公司收回代理权利新行虽然是接受了但他转头就变成了这个销售公司的大股东而且还特别要强调自己的特殊的地位后来甚至演变成了利新行和非利新行体系的这个CS店的内斗这个非常的复杂还牵涉到国产车进口车的问题我们以后有机会细讲
[00:20:57] 反正是直到2012年前后奔驰才和力清行握手迎合理顺了整个的销售网络接下来他在中国的这个发展才顺风顺水起来销量也一路上涨所以这原本有可能变成保时捷和杰成的一个剧本对吧理论上说不定真的是这样我也看到过报道说过就是当时杰成的总经理在得知保时捷要收回独家代理权的时候他说这一天终于还是要来了2008年对杰成来说是困难的一年
[00:21:26] 但最后杰成和保时捷还是一个和平的过渡杰成接受了他作为一个普通的经销商的一个新角色也没有和其他的CS店恶性竞争反过来呢保时捷也没有亏待杰成我们看一下现在杰成所开的保时捷CS店他只在广州深圳上海杭州南京这五个城市开了八家那这些城市都是这个市场基础最好的一些地方
[00:21:51] 那么这种温和的过渡之下杰成也就安心的继续做保时捷的生意也没有去和别的品牌去合作了其实保时捷也算是等到了一个好时候对吧我印象里面之前保时捷确实是一种很小众的跑车但是自从卡宴SUV出来以后呢这个路上的保时捷就越来越多了确实是这样啊这也有可能就是长期投入一个品牌的好处吧就是你只要看对了方向总能等到一个很好的时候
[00:22:16] 我采访过杰城汽车的负责人啊虽然是个德国人但很喜欢说中文他最喜欢的一句中文就是一步一步来我觉得这个中文对于德国人来说是非常难的了对他的意思就是说开CS店不是看当下哪个是城市的市场起来了或者是当下哪个品牌火我就要去跟的它是一个长线的生意至少要看十年因为CS店很大的一块收入的来源就是靠你的保有量比如说要做汽车的维修保养
[00:22:43] 还有就是老客户的再推荐或者复购那这一块比做新客户的这个销售是更重要的我举个例子来说明一下我是不是又要听见那个康师傅的例子了有一点类似但不太一样就是说杰成有很多保时捷的CS店的销售顾问他们都是在这个CS店工作了10年以上的熟悉汽车行业的朋友就知道CS店的销售顾问流动还是蛮频繁的他们要么就是做得好晋升了要么就是被别的品牌挖走了
[00:23:11] 但是保时捷这边就会有这种十年的老销售到后面呢这些老销售他们卖车就不用靠在店里面拉新客人了他们只要维持好老客户就行了因为保时捷的回头客他的推荐比例非常的高回购的比例也非常的高这两块加在一起有的时候甚至超过三分之二我采访过一位保时捷在上海的销售顾问一位姐姐啊她给我看过她和老客户聊微信
[00:23:36] 那个客户说他五六年前买了一辆派纳梅拉现在小孩要买一辆911这种例子是非常多的他这个销售他说他自己现在也被这些客户影响了他说自己的小目标就是有条件了就买一辆二手的保时捷911跑车这个车员肯定是不缺的可能钱也不是很缺对吧没错
[00:23:56] 说了这么多从戴森和保时捷这两个案例里面我们感觉可以总结出一些杰成的经典模式杰成会通过自己的销售和市场的资源在合适的时间合适的地点把这个业务做大而当品牌哪天要收回这个管理权的时候呢杰成也不会纠结他会想
[00:24:15] 能不能提供一些额外的服务价值
[00:24:43] 所以从长期来看代理商或者说传统的洋行生意真的是越来越难做了虽然我们前面似乎一直在表扬杰城但是这个市场角色从大区市场来看是有点边缘化的我们确实采访过几次杰城的高管他们也把这个事情看作一个长期的挑战
[00:25:02] 他们自己提出应对方法主要有三个首先还是选好品牌要选择那些有潜力的品牌和产品其次的话就是要锻炼好核心能力熟悉中国市场然后在新品牌要进入复杂的状况里面的时候能带新品牌避开这些坑或者帮他们把这个坑直接填平最后也要适当的拓展一些业务我们前面提到了杰成此前的话是坚决做代理和营销的主业的
[00:25:29] 但是他们现在自己也会持有一些实业比如很著名的在香港非常大众化的蓝美啤酒也是他们的业务他们现在还有一些清酒葡萄酒的业务另外的话他们也投资了一些汽车零件的工厂还搞了一个投资机构甚至现在也会去这种地产公司里面做做董事相当于有限的去搞一点副业但是仍然不会离开自己的主业太远没错这一点其实也是我们对杰成这样的公司最感兴趣的地方
[00:25:57] 就是他长期的做了一件专业的事情当然我们要声明一下不是说要去赞美什么专注啊不赚快钱啊这样的一些标签因为那些做转型的公司有的可能消亡了但有的也有发展的很好就像我们前面提到的那个银河洋行一样所以这不是一道非黑即白的选择题关键是你做选择的思考基础是什么这个思考基础是否足够长远
[00:26:22] 然后你在做完这个选择之后是否有足够的能力坚持下去那在当下这个环境我们觉得杰成的故事还是能够提供一些启发的商业就是这样
[00:26:39] 感谢收听这一期的商业就是这样你可以在苹果播客小宇宙喜马拉雅网易云音乐QQ音乐荔枝等平台收听我们的节目微信公众号第一财经emagazine也会推送每期节目的内容如果喜欢我们欢迎你在苹果播客给我们五星好评并期待你在各个平台与我们交流尤其欢迎分享你感兴趣的话题下期见
