Vol.164 欧盟对中国电动车的反补贴调查，到底是怎么回事？
[00:04:19] 而且还有一个点就是这个补贴它不仅仅是说调查当年当时的它可以倒查五年怎么还可以这样所以说这个反补贴的口子就扩得非常的大也正是因为这个口子扩大了才有了这次针对中国电动车的反补贴调查因为中国的电动车在出口的时候其实不会拿到政府的补贴的这个是很明确的所以在传统的WTO的框架下面反补贴和反倾销都适用不了欧盟中国这个电动车这个案例上面
[00:04:46] 但是在新的这个23年的这个新规上面你要说中国电动车在本土市场拿过很多政府的补贴网那可是太多了我们过去谈电动车节目里面已经反复提到就是电动车这么一个新兴产业最初的需求肯定不是完全来自于市场的而是来自于法规和政府辅助的这个不是中国市场特色全球都是一样的没错但是根据欧盟2023年的这个新规接下来我们就一直叫它新规了
[00:05:12] 这些补贴就被纳入可以反对的或者调查这个范围之内了甚至我们看到有些说法认为说这一个新规很大程度上就是为中国电动车夺身定制的因为在法规生效后两个月欧盟就发起这次调查当然我觉得这个因果推论有可能有些阴谋论了也没有足够的证据但我觉得可以明确一点就是欧盟的这个新的政策就是想要保护一些用原来的WTO的贸易规则保护不到的产业
[00:05:39] 这方面我们可以举一下反倾销的例子就是为什么过去我们在比如说200几年或者2010年代听到比较多的是欧盟对中国的反倾销调查但近几年相对少了呢就是因为刚加入WTO的时候中国的产品的确相对比较容易触碰到倾销这个红线所以这个工具是非常好用的所以说我们是无意识地碰到这条红线的吗我觉得这个应该还是有预期的因为这里面有个核心的概念就是替代国
[00:06:06] 就是在接受反倾销调查的时候有一个核心的标准就是你看你这个出口的产品它的价格是不是远低于它的成本那如果是的话那就很容易被认为是倾销怎么来算你这个平均的成本是多少呢有两种方式第一种就是直接以这个出口国自己的这个产品的成本水平来计算这个听上去还是很合理对吧很自然吧对吧但这有个前提就是你出口国必须被承认有完全的市场经济地位
[00:06:33] 如果没有的话你就必须要找一个各方面规模都相当的替代国来计算成本就是不能按照你的标准来算要按照另一个国家的标准来算这个呢当然道理上也有道理对方会认为你自己国家的产品这个成本肯定是政府有各种各样的扶持人为降低的或者说你这个地方的货币等等各种原因本来就很低那么在当年中国入世谈判的时候呢谁就答应了一个条件就在入世后的15年里边都接受替代国的方案那么在替代国的方案当中确实就很容易出现
[00:07:01] 中国某个产品它价格远低于替代国的成本对吧因为中国这个出来的东西应该都是很便宜的还是太便宜的对那么就很容易被认定为是倾销所以就会产生很多反倾销的一些贸易的这个摩擦和争端我觉得这也可以说是某个阶段融入全球贸易的一个必经之路吧早期会出现这种问题就是因为它是一个15年的一个限定对对那过了15年之后大多数国家其实也承认了中国的这个所谓全面市场经济的这个地位
[00:07:29] 所以反倾销就没那么好用了这也是为什么我们这几年比较少的会看到比如说欧盟或者一些别的市场对于中国的反倾销的调查在那个之后呢欧盟又提了一个新的概念叫市场扭曲创造了一个新概念对这个呢是一个就是反倾销领域更大的一个口袋就是他只要认为你这个出口国的这个政府在你这个行业里面影响过大比如说你这个行业里面国有企业的地位过高
[00:07:55] 或者说你的金融部门不够独立的话都可以认为你是在扭曲这个市场那么这个产品同样我也可以来反倾向地调查你听起来这个指标就很有针对性对你跟反补贴那个调查来类比一下它都是在原有的情况已经不太适用或者说是中国已经比较适应的情况下出了一个新的规定所以2017年的时候欧盟就出了一个专门针对中国的市场扭曲报告里面就提到了中国的钢铁铝业化工和陶瓷就会受政府的影响比较大
[00:08:23] 要予以终点的关注后来我们就看到在2020年的时候欧盟就对中国的一系列铝产品发起了新一轮的反天效调查因为它有新的工具了
[00:08:33] 那回到这次案例上来我们就要问第二个问题就是说为什么要对中国的电动车这个行业发起反补贴调查呢刚才我们把反补贴怎么回事讲了一遍那它的目的是什么呢我们其实没有讲它的目的其实说直白点就是贸易防御或者说是保护本土的产业本土的就业关于这点呢我可以推荐大家听一个欧盟现在官方有一个播客它专门就是来传播自己的一些贸易政策的
[00:09:00] 这播客的名字叫trade off欧盟竟然有播客好有意思蛮有意思的而他的第二期节目谈了什么呢就是谈的各种反倾销和反补贴的一些政策和一些案例其中就重点提到了这次对中国电动车的调查那这里呢我们先提一个点就是按照欧盟的新规啊反补贴的调查一般是先有这个相关的企业或者成员国来欧盟委员会投诉了说你这个这个产品补贴了然后扭曲我们的市场了然后请你们去查再去查的有点像就是要有
[00:09:28] 报案人和立案这个过程就要有苦主才能有后面的东西对但是电动车这个案例比较特殊他没有报案人他是欧盟委员会这个负责贸易防御的部门他主动发起的一项调查就没有人报案他自己就立案了对是一个公诉的概念公诉概念是有点啊而且这个说法就是来自于这个播客里边就是欧盟的一位贸易防御部门的负责人
[00:09:52] 他这么说的也是有个上下文的就是说在发起这个调查之后呢有很多媒体就揣测说是不是有一部分的国家他去报案了然后说要反对中国的电动车才有了这次调查
[00:10:05] 那么他实际上是澄清了这种说法意思就是说这个调查就是因为他们自己愈发关注到中国的电动车在欧洲热卖了所以他们要去遏制那这个负责人还拿自己举例子他说他自己在布鲁塞尔然后只能看懂一份德文的报纸他自己是个德国人他说这份德文的报纸里面就报道过中国的电动车公司对欧洲市场的一个攻略的计划比如说到了2035年要占据多少多少的市场份额等等的所以他就觉得非常的紧张
[00:10:31] 然后他还说了一个现实的数字来佐证这样一个趋势正在蔓延就说中国的电动车在欧盟的市场份额从前几年只有0%已经快速的爬升到了2022年的近8%所以的确这是一个要警惕的问题我们要调查根据个人叙事可以互相印证就是我们看到一些公开报道里面都提到说这次的调查是欧盟委员会的高层直接授意的背后的背景是欧洲各国都要进入选举阶段了包括欧盟议会本身也有选举
[00:11:00] 没错当然在这个问题上面政治大环境很重要但我们这里就点到为止了我还是有个问题小老师欧盟这边说的风声鹤唳的但是其实搞了半天现在中国电动车在欧盟的市场份额也不算高吧这个就要开始遏制了吗确实啊而且关于这个市场份额包括这个到底销量怎么样我们后面还有很多要厘清的地方但后面会提啊回到岳老师这个问题我们刚才在讲欧盟的反补贴和反停下柜子的时候
[00:11:26] 有一个核心的趋势就是近年来的新规它的口袋是越变越大了那这种变大呢站在欧盟的角度上就是为了未雨绸缪所谓的把你这个危险扼杀在摇篮里边当然这是他们角度的看法而且这个不是什么阴谋我还是以为他们官方博客里面的说法那位负责人就提到说这次对电动车的调查它这个发起很大程度上就是吸取了此前光伏那个案例的教训他指的就是我们前面提到过的
[00:11:53] 2012年那个非常著名的欧盟对华光伏产品的这个反倾销和反补贴的双反调查欧盟对于中国光伏产品这个双反调查还是比较著名的一个案例而且可以说是那个时候的最重大的一个中欧的贸易问题当时背景是中欧双方两边都情势不太好欧盟那边呢是金融危机连着债务危机那经济总体来说都比较低迷
[00:12:19] 光伏产业是当时欧洲的传统长项欧洲本身也是最主要的一个光伏的消费市场之一但是在之前几年他们已经被中国的光伏产品迅速占领的市场份额所以说欧洲光伏企业的呼声很大就是我们要保就业另外一方面当时中国的光伏产业已经处于严重的产能过剩了很多企业只能靠相对低价出口来维持自己的生存
[00:12:41] 而这种产能过剩的客观上的确是因为之前的各地的各级政府对于光伏产业的补贴都比较有利这就导致产能迅速膨胀所以说当时的欧盟的双方调查从这个角度来看也不是完全没有道理对的当时对于中国的光伏企业来说最终你对我这个调查最后会生成一个惩罚性的关税这关税的税额到底是多少就非常关键了如果过于高就是高到那种我没办法卖到欧洲去的话
[00:13:09] 那就意味着这些企业一下子就失去了最大的海外市场那很多企业就会就此倒闭的如果能够有一个相对合理的税率呢那对于双方来说就是都有一个转环的时间和空间吧对我至少退坡我也不是很快的退坡慢慢的退
[00:13:23] 所以最后呢中国方面实际上是经过了非常艰苦的谈判与欧盟是达成了一个双方都接受的价格协议就是说不争你的关税了我们共同达成了一个中国的光复产品卖到欧洲要怎么样的一个价格然后这个摩擦算是平稳的落地了那之后呢对于中国的光复企业来说我们看到的数字啊就虽然欧盟的出口占比是相对减少了但是欧洲这个市场呢还是在的
[00:13:46] 那对于从事贸易防御或者说直白一点就是支持贸易保护措施这些官员来说呢这个成果并不算特别好因为中国的光伏企业在当时欧洲已经份额太大了那市场份额高到一定程度以后呢即使再把这个价格抬高也很难扭转现有的市场格局了那所以说他们在电动车这个案例里面可以想到就要应用一个新的覆盖面更大的保护措施来提前遏制中国的电动车向欧洲的进口
[00:14:13] 对的提前非常重要在我们提到tradeoff这档播客里面他就设置了一个小环节就是每次一个欧盟的贸易官员来做客就会带一个产品然后来说说这个产品背后的贸易故事那从事贸易防御的这两名官员带来的一个产品是什么呢一块就是铝制品一个是个陶瓷杯背后的故事他们说的是什么呢就是某某年他们发起了针对这些产品的调查最终保护了欧盟本地多少的工作岗位
[00:14:37] 他们一个产品针对多少万或者多少个工作岗位这就是他们的KPI按照市场扭曲报告是不是下次要带个什么铁钉再下次要带个什么化工制品很有可能欧盟从事汽车行业的人有多少1200万这个数字占整个欧盟就业人口的7%这个KPI确实挺重
[00:15:00] 那前两个部分呢可以说是对于这次反补贴调查的一个背景和历史数据尤其我们提供了比较多欧盟本身的视角然后让大家可以完整看到这个调查是怎么过来的没错那一个简单的小结就是这一次欧盟对于中国电动车的反补贴调查不论是从贸易政策的严格还是从欧盟的政商背景还是从汽车这个产业的重要性来看它都不是突然发生的而是一个各种意义上酝酿已久的一个调查
[00:15:28] 所以说肖老师再跟我们介绍一下这件事目前的进展到哪步了吗现在最主要的新闻就是6月12日就是欧盟宣布了这个阶段性的结果就是我们开头说到的他征收了一个从17.4%到38.1%不等的一个临时性的额外关税然后这个关税会从7月4日开始执行最晚到今年的11月4日欧盟会出一个最终的结论确定一个最终的税率或者是像我们前面提到的那种价格协议等等的
[00:15:56] 届时呢如果有这个税率的话他会执行五年这个调查就算结束了这里边我们觉得首先要明确的就是一个时间概念就是欧盟的反补贴调查啊他这个规则里面新规里面啊对于时间的要求都是很严格的就是每一个步骤都有明确的叠的烂他的理由呢也很简单就你这个贸易的这个过程是一直在不断的发生的那你针对贸易的调查如果
[00:16:17] 就是一直在延期拖了好多年的话那你调查的事情跟当年已经发生很大的变化了有点恪周求见意思对有点恪周求见了所以说你必须要在一个比较短的时间里面把这个事情搞清楚那么在最终的结论出来之前这个11月4日之前的话这段时间就是双方的博弈和谈判的时间
[00:16:35] 等于说相当于欧盟现在就已经把7月份这个牌相当于出出来了中方就要开始利用中间的半年时间来回应和出自己的牌到了11月份大家会有一个最终的一个牌面上的结论不管是达成协议也好还是达成关税也好对的目前阶段其实大家比较好奇就是首先这个税率为什么这么碎其次是为什么每个企业的税率是不太一样的这个是什么原因呢这个我感觉是现在大家比较关心的点因为它涉及到具体的企业
[00:17:04] 这个问题其实就关系到欧盟到底是如何去调查别国的补贴问题的对吧因为这个补贴的范围很大你要去搞清楚其实这个问题还蛮困难的主要的方法是两个一个是自己实地调查第二个就是发问卷这个问卷不是那种很小的问卷会发很多很多的问卷在这个案例里边其实发问卷非常非常重要简而言之他们就是被调查的那些中国的汽车公司他们会收到一组问卷
[00:17:32] 甚至他们的关联公司也会收到很多的问卷上面就是欧盟要求你填的各种各方面的经营信息然后根据这些信息来判断你这个补贴对你的经营有多大影响对市场有多大影响而最后现在这个看到的这个临时的这个税率数字呢就和这个调查的结果或者这个填问卷的结果是直接相关的比如说比亚迪他充分配合调查根据欧盟的说法而且欧盟认为他拿到的补贴是最少的所以他的税率是最低的17.4%
[00:18:00] 吉利集团也配合调查所以它是21%上汽不配合调查所以是38.1%除此以外的企业如果配合调查是21%那这是绝大多数的企业所以为什么有的企业会配合填问卷我觉得不配合可能是比较常见的一个想法对这个配合不配合其实也是欧盟一方的说法我们其实这个问卷自己也看不到而且这个具体的过程欧盟也没有一个明确的一个说法
[00:18:27] 但是我们根据双方的官方的表态一个比较合理的猜测就是问卷中很多要求的信息其实是非常细的对于身为国企的像上汽这样的企业来说很难对于欧盟来透露这些这么具体的信息这里我们援引商务部发言人的一个说法就是
[00:18:44] 据企业反映欧委会对中国电动汽车反补贴调查当中索取中国电动汽车及电池企业生产经营发展规划技术工艺产品配方等方面的大量信息种类范围数量前所未有远超反补贴调查所需当然如果听了我们前面科普就会知道在反补贴的行为之下这些经营的信息都可以被纳入所谓补贴的这个大口袋里面它都是一种补贴对这个口袋最的这种感觉
[00:19:13] again我们还是没有看到问卷的实质内容所以说无法评判这个各方说法到底是否合理而且在这个过程当中其实我觉得这个问卷到底填到有多细也不是最最主要的问题反补贴调查和最后的税率确定虽然有一个明确的规则和指针但是最主要的部分就是税率的确认你很难没有主观判断的成分对吧你说这个
[00:19:37] 配合度多少最后如何推导到那个税率数字多少呢其实这东西很难有一个精确的计算的公式所以我们与其关心这个税率到底是怎么来的然后这个数字到底有什么样的一个误差我们可以更关心的实际上就是我们要讨论第四个问题就是如果这个税率延续下去到底会对中国电动车在欧盟的表现以及中国的电动车品牌本身产生什么样的影响
[00:20:01] 接下来要进入到一些实际的市场分析的部分
[00:20:30] 还有一类呢就是这个品牌的总部或者发源地是在欧洲的但是现在的母公司呢是中国的生产也是在中国的比如说明觉MG还有沃尔沃对还有沃尔沃因为吉利其实主要他指的就是沃尔沃那所以说欧盟针对其实是产地而不是品牌是的比方说如果比亚迪在非洲建了一个厂那里生产的车出口到欧盟就不会有额外的关税不受这次调查的影响所以比亚迪在非洲有厂吗没有没有但他在欧洲准备建厂了OK
[00:20:59] 那我们再来看就目前中国产的电动车在欧洲到底卖的怎么样呢对吧就是这个影响到底大不大就是我们前面提到这个市场份额的问题我们看到欧盟这边提的一个数字呢就是2023年中国的电动车出口到欧盟有43万辆多而2020年这个数字只有5.7万辆那这个数字实际上是他们主要用来佐证说这个危机非常大的这个一个数字啊那么我们看这个43万辆里面到底是哪些东西其实最主要的品牌是特斯拉沃尔沃和MG这三个品牌
[00:21:28] 其中特斯拉呢一家就接近大概30万就20多万吧MG呢有9万辆沃尔沃有6万辆需要说明的是我觉得这三个品牌的统计口径不太一样这本身是个问题啊就是MG和沃尔沃的统计口径是欧洲15国其中还包括了英国英国怎么又变成了欧盟成员国它这个欧洲15国里面其实有包含非欧盟国家的英国的
[00:21:51] 英国其实占到了MG整个欧洲销量的一小半这里面特斯拉销量就是一个更大范围的欧洲所以说这三个数字其实不能直接和43万辆相比但可以确定是他们确实是占了里面绝大多数如果你刚把我们的三个小数字加在一起的话都超过43了因为它这个口径是不一样的但大多数这个问题没有问题在这个里边其实沃尔沃背后是吉利MG背后是上季而大家关注比较多的比亚迪其实2023年在欧盟范围里的销售
[00:22:21] 一共也就一万多辆所以欧盟的临时关税里边销量最高的MG它税率是最高的那沃尔沃四只那目前在欧洲存在感不高的比亚尼它税率是最低的所以说从结果我们仅仅说是这个结果的感觉上面目前的税率其实是对应了这个品牌销量的就是你销量比较大的品牌我可能反而要压你一下对当然这个不是说他们真的是这么考虑只是结果上这么看到有相关性对顺便大家也可以发现就是我们都说中国车企出海去欧洲
[00:22:50] 但是目前在欧洲卖的好的中国产的电动车其实都是欧洲人熟悉的品牌像MG和沃尔沃都是中国车企在过去十几年里面收购的品牌他们本来就在欧洲的特斯拉就更加不用说了是一个全球的品牌真正中国本土的品牌在欧洲其实还没有到打开局面的那种程度这个也和欧洲人对品牌相对保守的观念有关系感觉又可以Q回到Lexus那一期了
[00:23:14] 对的那么现在这个临时的关税额会对这些品牌在欧洲业务产生多大影响呢一个基本的结论就是对于比亚迪和吉利来说影响是有限的但是对于上期的MG来说影响不小这方面的原因外界分析很多了就核心就是价格你像比亚迪吉利还有我们今天其实提到比较少的像蔚来小鹏等等品牌他们在欧洲的售价都要远远高于在中国的售价同样的产品这个幅度高是能高到100%甚至更多就翻倍更多
[00:23:42] 低的也至少有50%即便你考虑到原本的10%的关税还有物流销售成本等等他们卖到欧洲去的车其实利润空间还是很有的我们此前在中国汽车出海节目里面也提到过确保赚钱是中国车企出海时的第一要务所以说他们就肯定是考虑过关税这个问题所以利润空间是预先就留的比较充裕的但对MG来说你接近50%的关税成本有点太高了
[00:24:06] 因为MG在欧洲的销量主力实际上是价格在3万欧元以下的一些紧凑车的这个产品这个市场实际上是竞争非常激烈的MG能够站稳脚跟除了他品牌的优势以外呢中国产业内带来的价格优势也是很关键的就是他还是确实他靠便宜还有这个产品本身比较好能够卖的比较多那如果加上目前的税率的话想要维持目前有竞争力的价格恐怕就有点难度了
[00:24:31] 中国车企在过去几年出海大潮核心逻辑跟光复差不多就是因为国内的产能有点过剩了从这点上来看欧盟说法倒没有错上汽恰恰是在出海上投入力度最大最见成效的中国车企之一所以接下来博弈里面它的最终税率能否下调到一个可以接受的程度来说对于上汽来说还是很重要的对当然除了这几家以外还有很多公司动向也很值得关注首先就是特斯拉
[00:24:58] 因为它才是中国出口欧洲电动车真正的主力在欧盟发布的声明当中实际上是特别写到了特斯拉向欧盟申请了一个要特别定制的一个税率也就是说它还是想要争取比目前21%更低的数字的对于特斯拉的上海工厂来说欧洲的出口这一批的销量价值还是不低的尤其是考虑到它目前在中国内地的市场是销量是在往下走的欧洲的份额就更加紧要了还有比较重要的就是德国的车企
[00:25:27] 像奔驰宝马大众都是在这次欧盟发了这个临时税率之后第一时间就发表声明说明确反对欧盟的这一行为实际上德国的总理舒尔茨他也是明确反对的说这样的实际上是在破坏贸易的甚至有报道说就是德国方面还是在主动的游说希望最终把税率能够降到15%这样一个比较低的水平这个其实是这次调查里面比较特别的地方因为德国是欧洲第一大汽车市场也是第一大汽车制造国
[00:25:55] 但是他自己在反对自己所在欧盟的这个贸易保护对你看这个调查有多么奇特一方面是没有报案的另外一方面就是最有可能的报案人其实反对这个案件立案了然后这个立案的人还是一个德国来的人当然这个人只是工作当中的一个部分其实为什么会出现这种情况呢原因也很简单就是德国的车企在中国的利益和布局实在是太深了
[00:26:19] 如果欧洲将中国产的电动车都拒之猛安的话对他们也有很大影响就虽然我们前面说的43万这个数字里面其实没有什么德国的这个产品对吗但是由于目前中国的电动车产业发展迅速所以这些德国车企或多或少啊都是有一个计划就是说把更多的电动车的产品放在中国生产然后再把这些产品出口到全球的甚至不单单是生产啊包括一些产品的这个车型平台的研发等等都要放在中国就等于把
[00:26:47] 中国作为一个电动车车企的一个基地但这个出口全球里面其实就包含他们大本营欧洲的这样是有点奇特就是欧洲的车企本身在欧洲已经有那么多基地了可以做研发但是电动车却全选择要在国外造然后再卖回来这个其实也是跨国车企在全球的布局产能还有计算成本规模效应以后的一个自然的选择因为目前中国的电动车的供应链是最成熟的那规模也最大
[00:27:13] 在欧洲呢虽然有很多基地但是没有形成这样的规模效应所以说在中国造车优势已经大到说即便是算了这个出口的成本依然是划算的对那现在欧盟出了这样的措施出来那等于他们接下来之后几年这样的一个怎么说呢也不叫出口转内销吧就是外面再进口回来这个本部这样一个计划就有可能要发生改变了而且我们已经看到新闻了就像沃尔沃
[00:27:36] 我们看到的报道说他考虑把一部分电动车的产能搬到他在比利时的工厂就从中国搬过去这实际上就是一个职业的影响而另外一方面在中国本身没有太多生产基地的法国车企其实就是那个斯特兰蒂斯集团了他对于这次关税态度就比较中立他说了三个点他在官方声明第一个不支持有助于贸易分裂的这个举措这是一个官话第二个同时强调自己可以利用独特的竞争优势
[00:28:02] 也就是和领跑就中国的一个电动车的一个品牌领跑的一个合资企业这个合资企业呢能够在全球生产所以说他就可以规避掉这一个反补贴调查一个范围第三点他又说我们自己旗下的雪铁融的电动车价格很有竞争力可以跟中国在欧洲那边打所以他等于是在所有立场里面都当了好人对就是有种表达了我们力于不败之地在这个调查当中的这样感觉按照我们刚才讨论的这个问题主要是把相关车体所说的影响盘了一遍吧
[00:28:31] 最后说一个整体的概念中国车企要在欧洲打开一片天地只靠出口恐怕是比较难的那长期来看出路只有说你在欧洲本土投资建厂才能规避掉这个关税的影响这个就需要前期你首先要有一定的品牌和销量基础因为我们又说到欧洲市场这个品牌观念太稳固了
[00:28:52] 但是现在出口路已经是大大缩窄了所以说前期的积累就会变得更困难目前具有的价格和产业优势未来也会受到更多的挑战其实从去年开始就有很多车企出海的重心实际上是放在东南亚南美这样一些更实际然后竞争没有那么激烈的方向然后在欧洲的布局会更长线一点这也是为什么我们在上次汽车出海那个节目里面就说到了欧洲很重要但是欧洲也很难进
[00:29:19] 你想想看在没有那么多地缘摩擦的情况下像日本和韩国的品牌也花了十几年才在欧洲站稳脚跟最后我们还要说这次的中欧电动车贸易摩擦其实才刚刚开始那之后的博弈和磋商才是关键
[00:29:34] 回到开头提到的这个光伏的双反案例在那个案例里面中欧双方达成协议的过程非常的艰难中国是第一时间派出了谈判代表中国的光伏企业也准备了大量的资料双方经历过谈判破裂的波折是在最后时刻才达成协议的在我们录制之前最新的消息是关于这个电动车的反腐贴调查中欧双方已经正式启动了凑商的流程对那站在自己的立场上当然可以认为对方的做法有诸多不合理之处
[00:30:01] 但贸易摩擦的解决就是要尽量缩小双方互不理解之处尽可能达到新的平衡
[00:30:08] 商业就是这样
