Vol.125 风口来之前的迪卡侬
[00:09:01] 我看到有些公开报道里面把这个过程叫渐进式创新你看人家这个高情商发言是什么样的学习一下学习一下但一开始确实啊就是我看他们研发东西的方式就是迪卡侬的设计师会直接从市面上买一些大品牌的畅销产品然后拿回来仿制然后目标就是以15%到20%的折扣把东西卖出去这个难道当年法国没有什么知识产权保护吗是有点松散啊
[00:09:28] 不过其实也正常因为我看了一下一开始迪卡侬生产的产品都是一些比较简单的比如说运动配件像背包或者是睡袋等等的到后面才逐渐进化到像滑雪板这种专业的比较高难度的装备那么你像这个睡袋什么的你说它有什么特别厉害的专利吗好像也未必而且迪卡侬也没有一直沉迷于这种低水平的模仿它逐渐就开始有一些自己的创新了比如说在大约是90年代末21世纪初的时候
[00:09:54] 还有一个最经典的产品就是叫两秒帐篷我其实自己第一次知道迪卡侬这个品牌就是在小时候时候在电视上看到了这个迪卡侬两秒帐篷的广告
[00:10:03] 就一位姐姐非常潇洒的把一个包往框中一扔然后这个慢动作下面这个包就自己展开了变成一个帐篷当时我就心想这是什么高科技觉得迪卡侬是一个非常高大上的品牌看起来人家这个创新到最后还是有一些品牌价值的可以这么说而且这个产品其实在当时在欧洲的这些户外的这个行业里面也是引发了蛮大的震动的它就使得迪卡侬在一些普通的入门的户外爱好者这里面大受欢迎因为它其实击中了大家一个需求上的痛点
[00:10:32] 就是你一天在外面户外什么登山已经很累了你就想简单快速的能够把这个帐篷搭起来就休息了当然迪卡侬更多的创新其实还是另一个维度的就是我在维持一个比较OK的品质的情况之下尽可能的降低成本尽可能的便宜如我们当年低财经周刊就报道过迪卡侬法国的研发中心他的那些研发的任务是怎么下的呢比如说类似于能否研发一双跑鞋让它的价格降到人民币49元以下就是这种标准
[00:10:59] 在这样长期的努力下面迪卡侬就逐渐的形成了一个以自由品牌为主的销售模式他在零售商之外就增加了运动品牌这样一个身份我们看到1998年迪卡侬的自由品牌其实已经贡献了门店一半以上的销售额了截止到2021年迪卡侬已经有65个自由品牌了而且他的思路非常简单粗暴一个运动大类就做一个品牌
[00:11:24] 与其说这个是品牌不如说是产品线比较合适吧比如说什么户外啊渔家啊钓鱼游泳乒乓球等等其实都有自己的品牌名称这个具体的名字我就不念了实在是念不太来啊我觉得熟悉迪卡罗的朋友肯定也明白你的意思啊真的念不来这个当中其实还有个背景啊就是1992年到1993年呢法国正好遭遇了一个二战之后最严重的一段经济衰退的过程
[00:11:50] 所以迪卡侬这个时间点它这个高性价比的形象一下子就击中了大家的需求转化成了一个高销量这两年中国大家也很能理解这个过程小结一下迪卡侬发家过程最需要讨论的是两个点第一个就是他背靠的穆里耶家族和欧尚超市所以一开始就建立起了一个大卖场式的经营模式
[00:12:11] 第二就是迪卡侬最重大的改变在于上世纪八九十年代他从一个单纯的折扣零售商变成了一个自己研发产品的运动品牌这个双手身份加深了他后来的竞争优势
[00:12:25] 那讲完20世纪迪卡侬在欧洲本土的兴起我们就进入到它中国的部分这个地域上的切换差不多也正好是一个时代上的切换对的因为其实迪卡侬就是在2003年的时候开的中国内地的首店就是在上海的花木店到今年的正好就是20周年根据我们2023年的数据它在中国已经有260多家门店了那这个数字也已经让中国成为了迪卡侬在欧洲以外最重要的市场
[00:12:50] 其实我也看到过雷勒克的表述他甚至说中国就是最重要的一个单一的市场但其实我们如果看20年的历史的话迪卡能在中国的发展它的初期并不算顺利因为它有一个海外这种成熟的零售品牌普遍在华的一个通病就是它扩张比较保守比较缓慢最明显的一个特征就是在2009年之前迪卡能在中国的开店标准依然坚持法国的那个标准
[00:13:17] 就是要求自己买地然后商场呢必须位于这个一层然后必须有自己足够的停车场然后除了这些硬性指标之外呢它也对于所在的城区的人均的GDP啊收入等等这个数据的要求蛮高的所以在2009年之前迪卡侬在内地的门店仅限于北上广深四个城市要知道同一时期啊像阿迪耐克这些运动品牌都在快速的抢占当时中国百货商场的五楼和六楼或者是一些繁华商业界的这些街铺
[00:13:44] 像2010年阿迪达斯在中国相当于一个巅峰期的它已经有5000个零售点了而迪卡侬现在引以为傲这些品类和性价比优势在当时其实都没有打出来或者大家根本没有意识到它有些优势对它早期可能就十几二十家店所在城市没有迪卡侬的情况下你根本就不知道它另一方面迪卡侬一开始也有一点没有摸准中国运动消费市场的脉
[00:14:08] 你像我们前面提到这个两秒帐篷的广告一方面我是觉得很酷炫但另一方面的话你也会觉得很遥远因为那个时候像户外啊露营这些词离大多数中国人来说都太远了当然这个阶段迪卡侬也有做的相对好一点的部分就是他比较稳健而且带来一些保守这个让他在中国也延续了在欧洲比较健康的一个商业模式他的成本控制非常好那确保这些大规模店铺也有足够的盈利空间
[00:14:35] 这方面可以举一个最主要的例子就是它的供应链的文件这个其实保证了它其实在中国也能提供价格非常低点的产品看到有一组数据就是2022年迪卡侬有43%的产品来自于北亚的供应商其实主要就是中国另外一组数据是迪卡侬在中国市场销售的产品95%以上来自中国本土值得一提的是其实2021年之前中国供应商对于迪卡侬全球的供给一直超过47%
[00:15:04] 就是等于它是一个最主要的一个供应商既供了中国这么大一个本土市场然后还向外汇出口很多产品我们还看了一下迪卡侬的一个可持续报告因为它里边会涉及到一些这个供应商的信息包括我们还看了一些中国的这个迪卡侬重要供应商的一些招股书大致能够购入出迪卡侬的这个供应链的这个特点相比较于别的品牌我觉得它有两个特点就是稳定和长期我们看一下数据吧就2022年的时候迪卡侬一共有
[00:15:32] 1267个供应商其中四分之三是所谓的一级供应商这些供应商它的平均合作年限是超过11年的我们还发现一个现象就是迪卡侬它并不会要求供应商完全的依附于自己我们这次找到了四家已经提交了招股书的迪卡侬的重要供应商他们分处于不同的产品类型有户外的有一些运动器械的但是迪卡侬占他们这些供应商的销售额的占比非常的统一都是33%左右
[00:15:59] 就是比较重要但又不是像苹果那种完全掌控你的这个状态对的就迪卡侬他不是那种非常激进的成本杀手式的那种客户他是通过长期的合作一步步的慢慢的来降低采购的成本比如他会做什么事情就是他在一些关键零物件上面他自己来生产或者再找一个供应商然后他反过来提供给自己的一级供应商这样呢就是也能帮一级的供应商降低点成本但同时自己的成本也下降了又能够掌控这个产品
[00:16:27] 另外呢他也会逐步让一些比较优质的供应商他提升他自己供应的这个价值比如说有一家叫木高迪的户外产品的这个生产商很有名的啊他的招股书里面就显示过去几年他供应迪卡龙的这个产品的量是减少的但是金额是提升的
[00:16:44] 就相当于让这些供应商去做一些更高附加值的产品就卖的更贵一些对那迪卡侬对于供应商的管控其实也相对比较柔性它主要还是看环保安全的方面这个也是欧洲的一些公司的一个惯例它会有一个比较明确的环保评级并且一直在提升有环保评级的供应商的秉立这是它主要的一个目标但是我们也看到在疫情之后它这部分的供应商审计的工作其实受到一些阻碍的
[00:17:09] 然后我们就看到2022年的时候有环保评级的供应商的比例下降了蛮多的不知道是不是巧合在同一年迪卡侬其实爆出了蛮多的一些产品质量的问题不知道是不是相关其实迪卡侬自己对于成本的控制还体现在很多方面比如说他这个店铺的陈列操作中心的选址建造还有员工的招聘等方面这个迪卡侬其实里面有大量的兼职员工这一套其实都是沿袭法国本土的模式的对应的而且很不错
[00:17:36] 基本上就是继承了雷勒克从欧上学到的那一套大卖场的东西然后再发扬光大了我们看到2018年迪卡侬第一次公开中国市场数据的时候就提到说大多数在中国市场单店都能自己盈利有了这个基础迪卡侬在中国才能加速的扩张
[00:17:54] 那我们就来讲讲这个加速的这个部分在经历了初期的保守之后呢其实迪卡侬在2010年代呢就有点像反思之前的自己的这样一个进展的步伐明显的提升了自己在中国的这个开店的速度2012年的时候他在中国的门店数是55家到了2016年就是214家了你看看这个速度还是非常快的啊最快的时候他甚至有一天同时在全国开6家店的这个记录这次我回看第一财经周刊之前对于迪卡侬报道很有意思啊
[00:18:23] 2013年时候我们写过一篇叫迪卡侬跑起来然后到2017年又有一篇叫迪卡侬加速跑这个配速在提升是吧对跑了四年很明显这个阶段就是迪卡侬的一大重点就是在中国如何快速的扩张尽可能抓住此前因为保守措施的很多机会当然这个扩张也是要有门道的我们这边展开介绍一下三个点第一个是开店的选址这个问题第二个是门店类型的问题第三个是店铺的具体运营的一些细节
[00:18:52] 先说说选址吧这里面最核心的一个点呢就是迪卡侬在内地的开店其实是伴随着中国的新一线包括二线乃至三线城市的这个发展的步伐同步进行的说的具体一点就是他调整了自己开店的思路不是仅仅局限于北上广深了而是以一个更加符合实际的状况来看一些就是原本有可能他不入眼的一些城市然后他就会发现这些地方其实迪卡侬的需求是非常多的有一个比较典型的例子就是徐州迪卡侬呢是在2015年的时候在徐州开了第一家店
[00:19:21] 根据开店的负责人叫刘建飞他的说法就是在2012年的时候他第一次来考察徐州当时其实在考察之前的时候他们的一个部门对于徐州是不太考虑的或者说徐州这样的城市之前有可能不是一个非常优先开店的一个地方因为那个时候你要说在江苏的哪里去开一个迪卡侬的话我感觉还是应该首选苏南的几个经济相对更发达的城市
[00:19:47] 但是刘建飞就是说他在观察了徐州两个月之后就发现这个地方首先第一个体育气氛浓厚他市中心有个叫云龙湖云龙湖的周围就一整天从早到晚都会有不同的运动项目的锻炼的人群
[00:20:00] 而且在2011年的时候呢京沪高铁就通过了这个徐州嘛徐州是一个非常重要的一个枢纽站然后刘建辉觉得这个以后肯定会使得整个城市的这个在区域当中的这个发展的能级会提升后来也的确是这样啊徐州的这个地位会比较高的所以呢他们就决定要把徐州的这个开店优先级要提升然后当地政府呢也非常的支持推动这个事情然后在他们的这个催促之下迪卡侬就很快的买地然后开始建设
[00:20:26] 到了2015年就把这个店开出来了那整个这个执行的过程其实是两年半左右而之前迪卡侬开架店可能是需要三到四年的这里面还有一个很重要因素就是不同城市的地价的差别因为到了2010年代就北上广深就算是郊区的地价都不是这种几千平米的大店像迪卡侬可以承受的一个水平了但像许州的话可能有些招商引资的需求或者说对于外资的渴求它可能会更合理的一个地价
[00:20:53] 对一方面是发现了这些这个城市的这个潜力一方面也是大城市有可能也开不下去了那这个就涉及到我们前面讲的第二个点就是开店的标准迪卡侬其实在中国已经原本就降低了店铺面积的这个标准在法国它的一个标准店是5000平米的但是中国呢2600平米就可以了就第一个花木路就是一开始就是2600平米后来再扩建的那徐州的第一家店呢其实也是2600这个水平
[00:21:18] 结果呢开业第一天就很火爆嘛他这个就迅速的决策在水中又开了两家店一家是这个标准的5000平米另一家是小一点的但另一方面呢他在有的城市会开一些面积更小的店铺他甚至对这个店铺有一个专门的这个名称叫S-MallS-Mall小号的Mall感觉跟宜家开一个那个城市店的感觉是很像的对其实迪卡顿和宜家这两个品牌经常放在一起比较在中国的这个发展是有点像的这些S-Mall的这个面积啊就在1500到2000之间了
[00:21:47] 所以它展示的品类就不可能那么完整了有可能就是二十几个然后迪卡侬就会相应的以它的电商作为补充就是你买不到一些东西你就再往上买迪卡侬其实做电商要远远比宜家要早早多了早太多了他很早就开了一个天猫旗舰店他自己电商也是很完善的尤其是一些专业类的小众的产品店铺里面可能就没有地方放一般来说都会放在电商上面买
[00:22:12] 而且迪卡侬的电商对它的营收贡献还是蛮高的可能在20%以上对于它这么一个主打体验式消费的店铺来说其实是很不错的我们其实之前就有很多朋友就会问像迪卡侬要卖这么多的产品大多数东西有可能都卖不出去它一直放在那边是不是有点问题其实它现在已经是比较灵活的调整了你在它店铺里面看到的主流产品是那些比较热销的品类但一些比较小众的我们说常委的一些东西它有的有可能就不在店铺里面展示了
[00:22:39] 那这个呢就会讲到第三个点就是迪卡侬店铺实际运营的一些调整就是你要做到单店的这个能够盈利的话除了你前期的这些选址啊这些硬的这些条件以外你自己能不能把它经营好其实是非常要求高的这里边我们觉得最重要的一个点就是迪卡侬在中国的店是有很大的自主决策权的我们就举这个他在中国的第一家店就上海的这个花木路店的例子这家店现在的店长叫葛海荣然后他此前接受了我们的同事任思远的采访
[00:23:07] 在这个采访里面他就提到说这花木路店刚进来的这个区域就是最主要这个展示区他们放的是一些跑步的装备这个是很正常的但是呢按照市场规律的话呢这个入门的慢跑的装备它一定是销量更高需求更大的所以应该比较放在显眼的地方常规是这么做的但是葛海荣他坚持要把专业的一些公路跑的装备放到前面来为什么这么做呢是因为花木路这个地方就是李卡东刚开店的时候属于是上海比较郊区比较偏的地方
[00:23:35] 但经过十几年的发展啊它就变成了一个周围有蛮多这个比较高品质的这个社区的一个区域而且呢花木路离陆家嘴也很近有可能就挤占地铁所以它的这个目标人群或者所在区的这个人群其实对于运动的要求啊就是蛮高的所以它一定要把专业的设备放在门口就能够吸引这部分的客户同时呢对于一些入门的顾客呢也能形成一种这个怎么说感召吧就是觉得你这个地方很专业我可以买
[00:24:00] 感觉这种决策思路需要很长时间的经验积累就是你要做成一个老店对这个周边客群的特点要非常的熟悉才能做出这么一个判断对老店这个点非常重要对于迪卡侬这样一个多品类的商店来说因为你不同地区的运动的需求你不实际的体验了或者说是实际的获得一些数据之后你是真的不知道的我印象很深的就是2017年还是18年的时候就是在一个采访里面迪卡侬的成都的一家店的店长
[00:24:28] 他就问我们你们猜猜看当年成都这个店增长最快的运动是什么于老师可以猜猜看成都那两年是不是还是跑步或者瑜伽之类的这两个确实很快但是他说最快的是滑雪成都附近这个印象里好像不太能滑雪吧对虽然爱玩好像没有地方可以滑是吧所以这个原因是什么呢就他们后来推测说因为在这一两年的时候成都开通了很多直飞的国际的航班
[00:24:57] 尤其是去一些比如说欧洲包括日本的一些滑雪胜地都有直飞的航班了然后那两年出境也有很热所以他们的滑雪装备就卖的很好这相当于有一些外部变化搞成他也要迅速跟上对的
[00:25:12] 那讲完了迪卡侬在中国这个变得更快更激进更灵活的这个过程之后呢我们来看一看他现在在中国的一个现状如开头所说啊其实疫情后一系列户外运动的热潮迪卡侬都能受益你像现在看小胡书都能看到很多教你这个买迪卡侬爆款的一些帖子的确有一段时间不管哪个公园草坪或者主题乐园你都能看到一辆迪卡侬的露营车
[00:25:36] 甚至多到了这个扎尔迪士尼今年就把这个录音车给禁了虽然有这些具体的产品红利啊但其实仔细想想的话疫情之后迪卡侬和所有的零售商一样都还是面临挑战的嘛你这个客源总会点少的而且我们看数据就知道了就是巅峰期啊它在内地的这个门店数是超过300家的那这个数据呢是来自于它的一个供应商的招股数里面它提到了这样一嘴
[00:25:59] 但目前我们刚刚说的数字是260家相当于减少了10%以上说少也不算特别少了对其实它是一个收缩的你可以看到就是像我们刚刚讲的宜家实际也是面临同样的一个类似的情况其实相比较于社交网络上的这些热潮这种客流的减少才是更加影响迪卡农日常运营的所以他其实一定要想办法来吸引新的客人到这个店里边来消费迪卡农其实自己也蛮有危机感的他要做到这一点的话就是我们可以在这边提两个要点他做的主要的事情
[00:26:27] 第一个就是他自己会说的一个词叫做品牌换新这个怎么理解呢就是迪卡侬此前一直打的是一个高性价比的所谓运动超市的这样一个定位嘛这当然很鲜明但是到了现在这个阶段呢他也比较容易让人把它和廉价或者质量一般这些词联系在一起的确现在有的朋友到迪卡侬其实并不是为了买一些运动装备而是买一些便宜的衣服日常穿一穿
[00:26:53] 现在大家都开玩笑说迪卡侬是什么穷人的天堂然后里面有什么三幻神之类的东西超级单品但是从品牌角度来说肯定不愿意这么被定位对的所以我们就看到迪卡侬这两年他会做一些比如说店铺的重新装修这些事情最简单的例子还是上海的花木店它实在是迪卡侬在中国的一个怎么像橱窗或者标杆的一个地方原本它这个地方你去过就知道它就很像一个仓储店也没啥装修的质感
[00:27:20] 然后货架也很高行人的通道是蛮窄的整个感觉蛮密的一个地方但是他后来重新装修了一下就精简了产品线然后货架的高度也降低了然后通行的空间变得更加宽敞这个墙也从本来的白墙刷成了灰色加了很多的相对暖色的一些照明就是它显得更像一个商场而不像一个超市了对的我感觉现在迪卡侬其实应该不太想要强调自己是一个什么平价的这种超市这种概念了
[00:27:48] 品牌换新包括它品牌的logo其实也有变化了就变成一个比较帅气的第一字这个可能是第一件第二件是什么呢品牌换新以外的第二件事情就跟我们开头的主题更相关了就是它通过各种运动的课程活动希望来加深和周围社区的联系把这个店周围的客人能够牢牢的抓住听起来不像迪卡侬像Lululemon对的因为你想我们一开头说的时候迪卡侬它是一个周末你开车过来采购的一个东西
[00:28:17] 现在感觉像社区的这个店这个思路的转变其实也跟我们前面讲的它开店的思路或者开店的标准有关系因为那种S模的店本来就是开在城区里面的或者是离居民区更近的一些地方所以它周围的客流就会更加关键抓住周围的一些特殊的需求对于这些店的经营来说就很重要了这里有没有什么具体的例子我们就不举花木路的例子了我们换一个不能再举了举一个北京长银店的例子它是一个非常典型的S模的店
[00:28:44] 这家店呢这两年做了一个很有意思的事情就是他和一个叫迪乐的户外培训的这个机构合作让这个机构在迪卡侬这里能够开课招生尤其是教小朋友学轮滑学滑雪所以这个迪乐这个听起来是迪卡侬自己搞的一个东西啊对我一听觉得他是自己下面搞的一个什么俱乐部是吧结果不是的虽然他这个名字的取名的来源就是迪卡侬俱乐部但是他是一个单独的机构他跟迪卡侬只是一个合作关系
[00:29:10] 甚至这个合作就是那个我们同事人私议院采访了之后了解就他不涉及付费的他就是一个资源置换就是迪卡侬我给你提供线下的这个空间让你这边搞课然后这个搞活动然后这些小朋友在你这边学了轮滑滑雪你在里面都是付钱的那他要买竞技的装备的对吧他就会回到迪卡侬这边来买就是一个互惠互利的一个生态系统
[00:29:35] 感觉又更加像Lululemon了是吧就越听越像Lululemon不过我们回想一下的话就是Lululemon这种线下社群的这样一套营销方式天然就很适合迪卡侬而且它地方都更大更适合开课是不是只要你愿意开它其实体验的场景是很多样的对迪卡侬大家都说它就是里面像一个乐园一样的就是它的体验这个点是它的一个现在的一个核心的卖点它现在在强化这个点了
[00:30:00] 其实我们开头说现在可能是一些所谓的红利和风口找上迪卡侬的感觉但其实你真的要乘上这个小众的风口的话还是自己要去贴的对那说到这里呢我们就想从迪卡侬稍微延伸开来一些对于中国的这个体育消费市场我自己有一个比较主观的暴论就是我觉得体育在中国人的生活当中其实一直是不太重要的体育主要是在你的中学时代跟你的成绩比较相关
[00:30:26] 对其实体育在中国
[00:30:53] 虽然生活方式这个词被说烂了但我觉得放在体育运动和迪卡侬这个案例里边我觉得它是合适的即使这种生活方式有跟风或者模仿的成分但它对于迪卡侬的生意还是很重要的迪卡侬这个生意能维持下去的核心还是要有足够多的人群把各种各样的体育当做生活当中不可或缺的一部分你不能把体育当成一个有用的东西你还是要把它变成一个离不开的东西
[00:31:18] 从这个角度来看的话虽然我们今天节目开头说的是迪卡侬如何等风到来但其实如果运动这种生活方式能够在中国真的成为风潮继而成为很多人的习惯的话迪卡侬自己才应该是重要的推动者之一就像他在法国做的那样商业就是这样
[00:31:43] 感谢收听这一期的商业就是这样你可以在各大播客平台收听我们的节目如果喜欢我们
