Vol.70 魔球是万能的吗？
[00:05:09] 这个其实就是当年奥克兰运动家在做的事情啊没错但是在足球领域要这么做的话其实更难首先大家先要理解一点就是说在那个职业足球市场除了球员的薪资就是你付给球队付给球员的这个薪水以外还有一笔高额的转会费就是如果你一个球员要转到那边的话经常会要费个转会费所以说球员的买卖是足球俱乐部这样一个公司里边最重要的一个经营决策有的时候一个球员的买卖它的价格就能决定你这一年是不是能够盈利
[00:05:37] 而在英超呢传统上这个主教练也就是manager这个角色是有最主要的话语权的当然有的时候出钱这个老板也会有些话语权但是最基本的话就是让这些球队的踢球的或者说是当这个教练的他来决定我今年要买谁花多少钱来买这个影员的名单是他们来决定的所以在那个情况下面你让一个作败办公室的对吧倒腾数据的一个看上去根本就不会踢球的人来参与转会这件事情有这样一个权限
[00:06:04] 是非常新或者说是非常超前甚至是有一些叛逆的在那个时候总体而言每个球队也有一些数据分析师但他们的主要职责就是做教练团队的一个辅助工作做做赛前的报告做做赛后的分析他们是不参与决定一些重大事项的属于一个辅助部门也没有什么晋升的通道所以说利物浦做的其实不是说开创了一个所谓数据分析的工作而是提升了数据分析在整个球队经营中的地位非常准确因为你想
[00:06:34] 爱德华兹这个人他们挖过来一个核心的角色也不是足球圈外找过来的而且他本来就在另一个球队里边做数据的工作的只不过在那边不太受重视然后利物浦把他挖过来的时候一个最重要的一个点就是说我许诺你更大的一个权责然后能够让你参与一些核心的事物让你能发挥更大的作用所以他才会到利物浦过来但是啊
[00:06:56] 虽然风威集团在刚刚入主之后就开始践行魔球这套的这个经营的理念但也不是马上就成功的这个当中还是有很多的波折比如说他们初期的时候就请过利物浦球队历史上的一位民宿罗杰斯来当球队的总教练这个罗杰斯他就不是很买数据分析的账他是那种老派的球员他也不喜欢这些搞数据的人来参和这个转会这种重大的事宜
[00:07:22] 所以说在那几年啊虽然利物浦在球场经营啊营销方面已经有所建树回了不少本这个也是美国的这种团队比较擅长的事情但是他们在最主要的一件事情就是比赛成绩上面并没有特别大的提升直到2015年罗杰斯因为成绩不佳等等原因离院了然后利物浦才在数据团队的指引下面聘请了一位新的教练也就是现在的球队的主教练克洛普然后这个魔球才开始发挥威力岳老师你知道克洛普吗
[00:07:51] 我连足球都不是很了解就更不了解克罗普了克罗普还是就是这几年怎么说就是最受关注最受欢迎的一个足球俱乐部的主教练反正你去看他一些鼓舞那个球员的一些视频啊包括演讲就是一个很有人格魅力的人这是大众对他的一个普遍概念那其实还有另外一面就是他非常的尊重或者说是信任数据分析这件事情这个当中有一个著名的桥段和故事啊
[00:08:18] 就是克洛普刚刚上任利物浦的主教练的时候数据分析团队的一位重要的成员格雷厄姆就来他的办公室给他递上了一封报告格雷厄姆又是谁这个其实值得介绍一下他是爱德华兹加尔门利物浦之后马上就引入的一个主攻专门负责数据分析以及和转会相关事宜的一个重要的负责人格雷厄姆他其实本身就是一个足球迷然后是利物浦球队的一个狂热的粉丝
[00:08:47] 但他的工作和足球没有什么关系他是一位物理学的博士还在剑桥大学做过两年的博士后等于是个科学家了所以他来利物浦是因为爱吗真的有这个部分当然他之前的话在来利物浦之前他其实已经和足球有一些关系了因为他在做完博士后之后他不想再当科学家然后他偶然之间找到了一个工作岗位就是和数据分析相关的
[00:09:13] 他之所以会喜欢上这个工作一个很重要的点就是招聘他的人说你可以去看一看点球成金这本书就是Moneyball这样一本书然后从2008年到2012年这段时间呢格雷厄姆就一直在为托特纳姆热刺对就是那个爱德华兹的这个原来的那个老东家在做一些咨询的服务后来就被爱德华兹一起招到了利物浦这边来工作我们还是回到格雷厄姆塞进来这份报告吧他到底上面写了点什么呢对对对回到这个报告
[00:09:40] 格雷姆这个报告里边主要就是一个什么内容呢他就是告诉克鲁普说你之前一个赛季在德甲在德国执教多特蒙德队的时候有一场比赛你们0比2输掉了但是我觉得你们这场比赛其实应该赢球
[00:09:55] 你们输掉的原因只是因为运气不好事实上你们整个赛季都运气不好我觉得你们的实力应该能够拿到亚军虽然我不看球但是我觉得没有任何一个球迷会相信说这个球队整个赛季运气都不好这种话
[00:10:09] 可能只有主教练自己会相信吧对但是克鲁普一听的话就觉得兄弟你是懂球的那场比赛我们就是该赢的而且我们那个赛季就有很多运气不好的东西但实际上格雷厄姆后来就告诉他他根本就没有看过那场比赛他单纯就是靠数据分析得出的结论而且在后来克鲁普还知道他被聘任为利物浦的这个新的主教练的一大原因就是数据分析团队的一个分析的结果然后是数据团队推荐了他作为第一的候选人
[00:10:37] 那这个之后呢就是可以想象克鲁普就非常的重视这个数据分析团队了他们提供的一些引源的名单都会重点的考虑接下来利物浦在转会市场上面一通操作这个成绩就节节攀升了从2015年开始他们接连拿下了英超的亚军冠军欧冠联赛的亚军冠军反正是成为了最近五年欧洲成绩最好的一个足球制度部之一而且这个好成绩也体现在了收益上面
[00:11:05] 比如说在2017年到18赛季利物浦一度是创造了足球俱乐部净利润的最高记录达到了1.06亿英镑即使是在疫情之下他也能够保证经营和成绩的一个非常稳健的水平感觉分威集团这些操作的话还是比较像一些PE公司他收了一些公司之后通过引入一些新的团队改善整个经营的层面然后让整个公司变得增值或者说至少是保值吧没错
[00:11:33] 只不过相比于PE的话这个氛围阶段它因为它是主攻体育的它没有那么急着套现而喜欢长期持有然后让这个足球的这个俱乐部或者说球队这样一个公司它能够自己造血自己产生盈利实现一个比较长期的健康的一个运营状况然后魔球在这个里边的话肯定就是扮演一个非常重要的角色了我看我们中国有一些PE前几年也还蛮喜欢买体育球队的你看人家PE怎么做的吧
[00:12:00] 我说就是某些屁
[00:12:05] 利物浦的成功呢可以说是魔球最近几年的一个最新的成功案例了因为它发生的比较晚近然后又是在足球这样一个过去数据分析并不是那么发达的一个领域因为大家可以理解嘛就比如像棒球啊篮球他们都是一个非常彻底的回合制的游戏所谓回合嘛就是你每一个球队的每一个球员的动作你都可以清晰的记录下来然后通过数据分析来寻找到他们的这个价值和作用
[00:12:34] 那么足球场上是流动比较持续的然后你也没有办法分清楚什么时候在进攻什么时候在防守这个场地也比较大所以原本以为数据分析难度是比较大的但现在它也有了非常多的进步有了像利物浦这样的案例这个就要说到我们的最后一个部分就是魔球这样一个理念或者说数据分析这样一个工具在职业体育当中已经进化到一个什么样的程度那我们还是要回到最初的起点
[00:13:03] 就是MLB美国职业棒球大联盟这样一个数据化最最彻底的这样一个联盟来看一看这个问题在这里的话魔球已经进化到了所谓3.0的版本甚至已经到了联盟不得不出台一些措施来限制魔球的这样的地步了这个3.0又是怎么回事是跟web3一样的东西吗这个感觉是一个烂梗稍微解释一下所谓1.0 2.0 3.0其实都是球迷或者是分析师给的一些大的概念了
[00:13:30] 大家不需要纠结这个名字只要知道它当中的进步是什么大概的是说魔球1.0就是最早点球成金那个阶段它最主要的一个变化其实是一个思维的革命就是说我从传统的直觉型经验型的经营方式改为以数据为主的一个舰队的思路而它们基于的数据呢其实并不是很新的是一些传统已有的数据只是我看待它的方式它的重要性变化了魔球2.0是什么概念呢就大概在2010年左右的时候
[00:13:59] MLB的一些球队的数据分析师他们就找出了一些新的数据维度是过去没有的但是他们发现这些数据其实是对球队的整个表现有很大的影响举个例子嘛比如说棒球里面有一个技术叫做偷好球
[00:14:13] 这个涉及到棒球的具体规则真的很难解释我们还是肖老师这期节目就是一直想试图引领大家去自己研究一下棒球是怎么玩的对这个真的很有趣就是而且并不是那么晦涩难懂只不过是口头讲真的很难我们还是在shownotes里面给大家放一个科普的链接请大家记得去学习简而言之偷好球这件事情首先大家要知道第一点就是说这个事情原本不被重视甚至没有被意识到它是一个技术
[00:14:42] 但是魔球2.0他们的分析师把这样一个不被重视的一个事情给数据化了然后发现它其实价值巨大这就改变了球队的签约的策略因为这个偷好球呢一般来说是由捕手就是那个接球的那个球员来做的但捕手呢过去那个球队里面并没有意识到它有这样一个功能然后能够产生那么大的影响力所以说捕手未必是能够签很大的一个合同赚很多钱的但是在发现偷好球这件事情非常重要之后
[00:15:09] 很多球的就愿意花更高的精力去培养有这个技术的捕手或者是花更高的薪水去签约擅长投好球的捕手了等于说这个数据又一次改变了整个棒球公司的经营策略本身就是他对于整个棒球比赛研究已经到了一个非常透彻的地步已经可以发明一些数据了对吧没错那2.0已经这么透彻了那3.0还能怎么样3.0的话就是他们发现数据对于棒球的拆解还能更细
[00:15:37] 那主要就是靠一个新式的武器就是视频追踪和深度学习这合着职业上人工智能了没错其实也很好理解就大家有可能看一些比赛的直播也会有感受就是球队他会用一套视频追踪的系统来仔细的记录和分析球员的每个动作和场上发生的一切细节然后再找到这些动作细节和球场上表现的关系想办法来改进
[00:16:03] 据说目前有的球队使用的视频追踪技术还是一个以色列的科技公司最早的时候为导弹来研发的这个跨度上面有点大不过如果说是以色列的公司的话这好像也不是很奇怪没错因为以色列的科技公司跨领域发展的例子很多尤其是军工对吧用到民用上面还是一个很有名的一个事情这也是蛮有趣的话题以后有机会讲可以展开一下回到棒球上面
[00:16:27] 就在2015年MLB这个大联盟他就在所有的球场上都引入了一套名叫Statcast的视频追踪系统顺便说一句啊这套系统也获得了2015年斯龙会议的最佳分析创新或科技奖听上一期的节目的朋友应该就会知道斯龙会议是什么那很快啊这套系统他就开始显著的影响比赛那其中的一个代表呢就是最近几年棒球里面的所谓机球羊角革命或者叫非球革命
[00:16:56] 小老师我最后警告你一次你不要再给大家介绍专业的棒球知识了好吗哎呀真的有点心累但是但我觉得这个东西还是有必要介绍一下就我硬着头皮给大家介绍一下一些棒球的知识其实我也不是很懂我也是听朋友们来讲的在棒球的传统概念里面教练都会告诉打者就是那个拿到棒子打球的那个打者你击球的动作是要向下砍的就像砍刀一样向下砍因为这样打出来的球呢可能是平飞的或者是弹地的会有很多不确定的情况
[00:17:25] 这样防守方就不太好处理你就可以借机跑上垒然后更有可能得分啊等等的如果你向上打就是往上扬的话打一个扬角的话那你可能不一定能打出那种最厉害的本类打而是打出一个高高的球然后被对手很轻松的没收你就out了就出局了但是通过视频追踪这个技术然后再结合比赛的数据之后有很多球队就发现如果击球的时候改为扬角就是你向上打的话虽然你可能被没收
[00:17:52] 但也有更多的可能性你打出本类打然后通过数据的分析之后发现你找样本够大的话这么做其实是总体的收益更高的大家好我刚刚走神了两分钟我只听到最后一句就是样本够大总体收益率就会更高没错其实真的是非常简单的概念这是数学上就是我们都学过的所谓数学期望嘛只为他们能够把它和棒球这种非常具体的运动结合在一起那所以这两年呢就出现了这个所谓的机球羊角革命
[00:18:20] 就整个MLB大联盟里面有越来越多的打者开始提升自己打高飞球的比例更多的使用仰角这种打法同时带来的结果就是本类打的数量快速的上升了我还是试图体会一下就是所谓的2.0到3.0的话其实还是在一步深入的早期的魔球主要影响的还是所谓指挥层面的事情比如说球员交易之类的
[00:18:43] 但是现在的话他就渗入到了每一场比赛的排兵布阵甚至说一些球员的细微的动作技巧也可以去指导了没错其实目前不仅是棒球啊像在NBA NFL就是那个美式橄榄球还有像网球啊足球等领域视频追踪已经成为一个数据分析的重要组成部分了而且也成为一个电视转播上面非常重要的部分比如大家看网球有那种音演回放啊等等的在足球领域那种阵型的排布啊什么的都是跟视频追踪相关的
[00:19:12] 嗯 这个怎么讲
[00:19:40] 其实跟我们前面讲到的这个基层两角革命是有一定关系的前面我们讲到最后他带来的一个结果是打者打出了越来越多的本雷打然后另一方面呢也通过一些视频分析的一些方式这个投手他的水平也在提高他们投出来的球越来越刁钻最后的结果是什么
[00:19:57] 就是本壘打越来越多然后投手投出的三阵出局越来越多就是说大多数比赛的画面都集中在这个投手和打手这个人就结束了而那种过去棒球场上的比较常见的像倒垒啊跑垒啊一些守备啊等等比较丰富的场面相对就变少了那有的观众就会觉得这样看起来这个比赛就不是很得劲这个让我想到了一部经典体育漫画叫网球王子里面有一个项目叫数据网球
[00:20:24] 就是你一直在通过算概率然后你觉得那打哪里比较好就是你是为了成绩而不是为了观赏兴趣打出来一个状态没错当然我觉得有可能现在的网球王子不太能算是一个体育漫画他也更加接近于一个科幻漫画说回来就约老师刚刚那个讲那个点还是蛮对的因为我们最早的时候讲过职业体育的一个赛事的收益最最重要的就是仰仗电视转播嘛
[00:20:52] 那除此之外
[00:21:17] 魔球对于MLB这个棒球的影响不仅在球场上而且也出现在转播的屏幕上面这个有可能是作为观众来说更加直观的这里有个最新的案例最近北美不是流媒体大战吗各个家都在买版权那苹果下面的这个Apple TV Plus就花了大价钱买了MLB的周五比赛日的这个转播版权花了很多很多钱真的是有点人傻钱多了
[00:21:42] 那除了砸钱以外呢他们想花心思搞一些转播上的新花样这个就与魔球3.0相关的但结果是翻车的这个转播就转播转播还能翻车吗对的他在转播的时候引入了一些可视化的预测型的数据比如说一个打者在开打之前屏幕上就会出现一些数字或者说是一些图像的示意来显示球员接下来可能往那个方向打或者说是他上来的概率可能有多高
[00:22:08] 也就是说他在预测整个比赛的走向或者下一步会发生什么了这个就是所谓人工智能什么深度学习之类的东西吗对的这个就是因为你视频分析追踪了之后你对于这个棒球场上的数据采取的这个量大大增加了在一个真的非常大数据的一个基础之下他们开始尝试做这样的一些预测性的一些数据但这个事情一下子就引发了争议
[00:22:32] 这个导火索呢就是他做的有些预测啊严重的违背了棒球的基本常识就是一看就不对的非常的奇怪给观众很大的一个困扰而提供这个服务的一个体育科技公司呢他无法给出这个预测的具体的算法和一些细节这个是不是像那种AlphaGo突然告诉你在一个奇怪的地方要下一步那种感觉真的有点那种感觉但是AlphaGo那个最后的效果非常厉害他总是能够下引起但这个棒球这个里面呢这个东西他就没有办法说服大家
[00:22:59] 除了影响观看以外其实这个还有更加严重的问题就是和体育的博彩相关北美体育之前一直是禁止这种官方的博彩进入职业体育赛事的但是在前几年的时候它其实是放开了所以说像NBA、MLB、NFL这些大联盟都会和一些博彩公司有一些比较正规的合作比如说我提供给你一些数据然后你可以来向球迷开放一些博彩的内容
[00:23:29] 而棒球这个赛事是特别适合怎么说呢博彩的因为它里边的每一个动作你都可以去预测像刚刚讲到的那些上来的概率啊包括最后的比分啊每一局的一些进展啊你随时随地都可以去猜那如果你出在电视上面打出这样一个预测器的数据势必会对一些观众或者是参与博彩的一些用户产生影响如果他是有误导的呢如果他是个黑箱的甚至是你说不清楚道不明的话如果苹果参与了博彩的座庄
[00:23:57] 对这个东西就非常的复杂所以说当数据分析发展到这种程度如果它在这个方面被滥用的话那其实是反而会影响这个赛事的各个方面的稍微总结一下在肖老师热爱的棒球领域整个魔球的理论已经超前发展了数据分析已经可以来修正一些棒球运动员或者说棒球运动里面最基本的技术动作了而且他现在已经可以很好的预测整个比赛接下来会发生什么
[00:24:23] 但是到这一步呢这些比赛可能就没有过去那么好看了甚至还有点争议
[00:24:29] 岳老师刚才说我热爱棒球其实不至于我真的是一个门外的小玩但是我对篮球的话还是蛮喜欢的所以说最后我还想回到我们做这期节目的初衷就是玄猫团队又又回到了最初的起点对关于这个团队的话一些基本的介绍大家可以去听上一期节目的开头这两期节目我们聊了这么多关于魔球理论的成功案例但其实并不是每一个践行这一理念的球队都有好结果的
[00:24:55] 毕竟一个联赛每年的冠军只有一个嘛而竞技体育里面总是有很多偶然的因素有很多硬气的成分而我最欣赏玄猫团队还有践行魔球理论的一些参与者们的一点就是他们非常的实事求是他们总是在强调数据不是万能的数据并不能分析运动的一切但是问题在于啊不完美不意味着不重要就像你这个财报也无法展示公司的全部但是它是一个分析的基础
[00:25:22] 你不能因为他这个财报不完美你就不去看他而现实是国内有很多的
[00:25:51] 把它作为一个流派而并非一个基础的设施人家所谓说诸欲在前如果你没有意识到这个东西是诸欲的话你就不可能再去追赶它或者学习它了就是这个道理不过我也看到一些好的迹象比如说从去年开始选猫团队还有一些国内的篮球数据的爱好者已经开始帮助国内的CBA联赛就是国内的最高水平的篮球联赛来建立一个数据的官网
[00:26:19] 这上面的数据体系已经相对比较科学了据说玄猫团队他们也在拓展更多篮球数据分析方面的专业服务我个人实际上是非常期待他们的努力能够帮助中国出现类似奥克兰运动家队这样的一个成功案例因为很多时候真理一直在那边但是需要长期的挖掘积累还有一些运气才能使这个真理被大多数人的接受魔球和商业都是这样
[00:26:49] 感谢收听这一期的商业就是这样你可以在苹果播客小宇宙喜马拉雅网易云音乐QQ音乐荔枝等平台收听我们的节目微信公众号第一财经emagazine也会推送每期节目的内容如果喜欢我们欢迎你在苹果播客给我们五星好评并期待你在各个平台与我们交流尤其欢迎分享你感兴趣的话题下期见
