Vol.213 中国的二手车市场为什么很难做大做强？
[00:03:49] 品牌的名字频繁的出现在我们的楼宇的电梯的广告当中还有出现在那些最活的综艺里边就是有一些主导色有些是红的有些是绿的对红的和绿的包括一些广告词大家有可能现在还比较熟悉比如说没有中间商赚差价等等的
[00:04:08] 然后那些代言人也是反复重复的来说这些广告词
[00:04:34] 这些品牌这些公司平台他们并没有成为这个市场的份额上的主流同时呢他们想做的一些规范化或者是颠覆原有的一些小车商的一些行为也没有得到完全的效果可以说有一些进展吧但是没有达到一个完全体的一个效果也就是说他想把中间商消灭掉但是并没有实现是吧是的可以说就是在整个这个行业还没有进化到一个完全体的过程当中呢
[00:04:59] 在最近的两三年整个二手车市场又遭遇了一个很大的新的问题就是新能源车的爆发而这个浪潮对于二手车市场的从业者的影响有可能比前几年的创业的热潮要更大这期节目我们就来好好聊一聊现在处于这个动荡当中的中国的二手车市场
[00:05:20] 我们会分成三个部分首先呢我们会介绍一下上一波这个互联网创业的这个改造为什么不彻底然后这个市场有那些基本的一些问题要面对第二个部分呢我们来重点的讲一讲这个新能源车的浪潮到底如何的影响了二手车的市场最后呢我们会聊聊当下二手车市场唯一的或者说最大的一个亮点但这个所谓的打引号的亮点呢完全不是一件好事
[00:05:53] OK那我们就先进入第一个话题就是我们还是回到上一波互联网改造的这个过程里面它到底改造了什么又没改成什么呢你要不要跟大家展开讲讲我觉得二手车市场的一些基本的运行的规则有可能还需要给大家做一些科普一句话来解释的话就是中国的二手车的流通它有个核心的角色叫做车商
[00:06:18] 有的人有可能比较贬义的说他们是黄牛怎么来理解呢就是过去如果你要去买卖一辆二手车的话比如说你要卖一辆二手车你会先到各地的一些在城郊或者城乡结合部的一些二手车的交易市场它就像一个很大的集市一样你在那边有可能找到一个车商然后寻到了你这辆车可以卖的一个价格然后你就把它卖给他出手了
[00:06:40] 这个车商呢把这辆车买下来之后呢他会再卖出去卖出去的对象有可能是另外一个消费者但也有可能是另外一个车商
[00:06:49] 他自己这个车厂这边有可能他没有合适的这个想要买的车主但是在另外一个同行那边有可能有当中有可能再转几道再转几道那在经过了一到N个车商的转手之后呢这个车最终会落回到另一个个人的消费者那边开始开起来那这个当中有一个非常重要的背景或者逻辑就是在中国消费者买二手车他其实一般都是要有一个比较明确的目标的就是我想要一辆比如说二手的奔驰C级那我不会去看一个丰田的凯美瑞或者是
[00:07:17] 接受一个别的车型的推荐但车商那边有可能未必有所以说我有可能要比很多家那这些分散的比较小规模的车商其实就是中国的二手车市场的一个交易的主体那为什么说分散呢就是这些车商没有一个规模能够大到比如说占据整个市场的10%甚至5%的市场占有率都没有的中国每年上千万台的二手车的销量是要靠几十万个小车商来交易的
[00:07:46] 有些做的比较大的它的库存可能达到几百台已经算是很厉害的大多数比较小的所谓的黄牛他们只有手上握着库存的车一般来说只有几台有可能都是一些个体户或者说是夫妻老婆店来经营的这些很小的规模的这些小店就是中国二手车交易的一个核心的链条我刚听你描述这个过程会感觉说这个中间车烧主要的
[00:08:13] 过程可能还不完全是在把这个东西的价格明确下来它好像更多是做一些信息沟通的问题比如说你到底需要什么样的车我从哪里可以找到这辆车或者说我从哪个同行那里可以搞到这辆车感觉大部分时间是花在这里的是吗是的为什么它会这么分散里面有个很重要的问题就是二手车的交易它的信息过去是非常的不透明的
[00:08:35] 一个是你刚刚讲的就是车员的信息也好或者是买家的信息它是不透明的也没有一个非常明确的像网上的一个电商的平台大家能看到没有更重要的一个不透明指的是二手车这个产品和它的价格或者它的这个价值相关的非常多的细节信息它是不透明的因为二手车就跟二手房一样它是一个非标品你决定这个车的这个价值的维度实际上是非常多的它有没有出过事故
[00:09:00] 出过什么样的事故它的驾驶里程是多少使用的年限是怎么样它是一辆什么品牌的车什么型号的车哪一年的车等等的都会有非常多的区别然后这些维度都会影响这辆二手车最后的进价和出价但这些信息其实它并不是一个准确无误大家都能公认的比如说过去二手车市场里面最常见的一个问题就是改里程你可以把里程表改成一个你想要的数字对车商在收你的车的时候
[00:09:29] 它按照你真实的里程收购去了在卖出去的时候改成一个比较小的数字它可以卖一个比较高的价格因为里程开的少了比较新的车一般来说能卖出一个高的价格所以在早期二手车非常分散的过程当中其实大家最大的一个痛点就是规范化或者说是一些信息不透明的问题能不能解决
[00:09:47] 这个其实在最近几年还是有一些改善的比如说现在大多数的二手车的一些比较大的交易市场都会要求一些第三方做一些检测认证然后这第三方现在比较明确了比如像上海有些什么查博士啊等等这样一些平台他们固定的收取一辆车200块钱的费用然后帮你出一个报告这个报告是大家是有公信力的
[00:10:05] 这个部分其实多少解决了
[00:10:31] 你像美国市场的话就会有我们比较熟悉的你像凯利蓝皮书这样的比较公认的一些定价的参考的平台那么大家对于一辆二手车它这样一个车况大致值多少钱是有一个比较明确的价格预期的空间的并且大家都是认的那么在具体交易的时候其实只是做一些上下浮动中国其实很长时间里面都没有形成这样的一个大家公认的价格体系因为上面我们讲的种种原因分散也好不透明也好然后这个交易的过程非常的沉重也好
[00:11:00] 这就使得在15年16年那个时候很多的创业者进入的时候他们就想做一些大型的基于互联网的电商的一些平台来改造这种现状那个时候就像我们开头讲到的他们真的融得非常多的钱你像比较著名的优信二手车它融了累计有11亿多美元瓜子二手车也就是现在的车好多集团它累计融资是超过了40亿美元但是他们到目前为止都没有达到当初的成为行业巨头的这样一个目标
[00:11:28] 怎么定义他们成为行业你从哪个指标来说他们做的好不好呢首先他们没有达到一个稳定的盈利甚至没有一个公司是稳定的存活在二级市场的车好多现在是没有上市优信的话之前上过后来又私有化了更关键的就是他们没有达到他们理想的市场份额我这边举一个侧面的例子吧就是在2022年的时候其实在香港上市了一家国内的二手车交易平台
[00:11:55] 但这个平台的名字大家有可能不是那么熟悉像做汽车街完全没听过就是为什么它陌生呢是因为它是一个美国和中国的一些经销商集团再加上一些金融机构他们共同出资组成的一个B2B的交易平台你就是车商和车商之间相互倒卖的一个平台是吗对这个倒卖的过程当然也很重要就是但它不直接跟消费者发生连接所以说我们比较陌生那么在它上市的时候公布的招股书里面它是这样来自我标榜市场低位的它说它
[00:12:23] 2023年的总交易量平台上面交易的车辆达到了17万辆左右占整个二手车交易平台市场总额的13%
[00:12:34] 那么这样来算的话所有二手车交易平台的交易总额是不是也就是100多万台对然后跟你前面说的这个中国整个二手车的交易量比就更少了对也就是这些平台只占整个市场的10%左右然后当中最厉害的有可能只占整个市场的1%左右就是这样一个水平就又回到你前面说那个分散的问题对吧是的
[00:12:55] 所以现在中国二手车市场的情况是这些平台确实做的规模已经比较大了并且他们确实带来整个市场的一些改变尤其是一些行业规范化上面的一些改进但是他们并没有说完全取代我们前面讲的几十万的小车商他们现在和车商是一种还是共存的关系或者说你可以理解为平台就是一个相对规模稍微大一些的一个新的车商所以这是一个什么打不过就加入的逻辑吗至于说为什么平台没有办法完全的取代车商我觉得
[00:13:24] 其实还是比较好理解的第一就是因为二手车是一个低频的消费我们知道这些大的平台他们当初要扩大规模的时候最主要的一个砸钱的方向就是做广告广告面向的其实主要是一些个人的消费者尤其是买家这些广告的作用是让人买二手车的时候能想到去上这些网站上面去搜车
[00:13:46] 但是第一这个消费的这个行为是个非常低频的有可能我对这个品牌非常有认知但是我一辈子有可能也就一两次有这样一个买二手车的需求更关键的是对于这个二手车这个平台能不能赚取来其实最关键的部分是车源就是你这个平台上面有没有足够多的有市场竞争力的好的车而这个部分广告是解决不了的所以说就是车源还是要靠车商对没错
[00:14:12] 因为这当中还涉及到一个问题就是你买二手车
[00:14:41] 而且实际上二手车的不同价值的维度比房子有可能还会更多所以大多数人还是依赖线下的消费的你要现场实际看到车的话线上的平台是派不上用场的你还是要靠车商
[00:14:53] 这就是中国现在一个现状
[00:15:22] 另外还要补充一点就是对于这个二手车交易平台来说他们还有一个比较大的问题就是他们难以形成一个比较稳定的盈利的模式这个当中的原因就是因为他们收钱的方式主要就是佣金卖车我要抽你4%的佣金然后你在买的时候再抽一部分的佣金这个问题就像这个二手房的交易一样的话实际上是很容易产生飞单的离开中介我们私下把这个单结了然后就不要让中介赚这个钱
[00:15:47] 对就是没有中间商专差价这件事情最终就是回旋标飞到自己身上而且这个在车上面是比房子更加容易实现的你仔细想一想就是你买一辆车这个买卖双方互相确定的信息之后你很容易抛开那个平台的操作员或者那个交易的促成师然后那个交易员最后只能上传平台说我就交易失败了这个问题在当初他们创业初期的时候实际上是频繁出现的等于说你这里讲的几个问题比如说他没有办法解决客源的问题然后也没有办法解决他
[00:16:16] 盈利模式上的一些天然的问题这个都算是它的就可能说商业模式上整个就是做的还不够成熟或者说这个市场还没有给它成熟机会的一个问题我想问第二个问题就是这个里面有没有一些比如说像政策限制就导致它没有办法好好发展有没有这种情况有的我觉得政策限制的这个问题其实更多的是指向说整个市场为什么它的规模
[00:16:40] 比如说二手车的交易量一直没有比新车要更多整个市场的繁荣程度或者是大家消费的行为这个是更相关的至于说对于那些创业公司或者新的平台来说它的影响其实跟车商是差不多的我觉得部分也其实要稍微展开讲一讲这个政策的影响主要是两个关键词一个是税费一个是限迁我先讲一下限迁你先说一下限迁是哪两个字限制迁入限制迁移这两个字
[00:17:07] 是不是类似于就是车的户籍管理那个概念非常精准非常精准简单来说他就是说一个原本在A省上牌的一个二手车他想要卖到B省的时候呢在过去经常会受到一个排放标准准入门槛的一个限制每个省市他都会限制说你外面来的这些二手车你必须要符合一个比较高的一个排放的国家标准
[00:17:32] 那在过去这个标准其实就会使得二手车在审计之间比较难以流通那为什么这件事情这么重要呢是因为不同的二手车在不同的省份之间的价值是会差别很大的比如说同样一款宝马三系它在浙江的价格有可能就比在四川的价格要便宜个大几千块钱这个是为什么这背后的原因就是有不少品牌它的这个新车的经销商的分布实际上是不均匀的
[00:18:00] 那你在一些4S店相对比较稀疏的一些地区其实它的车源不那么多那如果有一些二手车的话它有很强的吸引力尤其是一些特点比较鲜明的品牌比如说我刚刚讲的宝马一些豪车还有像mini就是我之前在采访的时候经常提到的所以它在不同的省份之间的差价会非常的大
[00:18:17] 又比如现在我们说的这个新能源车
[00:18:46] 在过去这个限迁政策还没有取消的时候使得这个商业模式很难跑通最近我们知道就是在最近几年这个限迁政策终于是从上至下呼吁了很多次然后提了很多次现在基本上是取消了等于说限迁这个问题就是让原本看上去就是有流动机会市场它认为做了一个限制对就是没有形成全国统一大市场
[00:19:08] 但现在这个问题已经被解决了是吧对其实我们可以看到最近几年的话中国的这个二手车市场的这个转机率就是这个户口跨省的这个转户口的这个比例已经比较高了你像2025年第一季度的话全国的这个转机比例已经提升到了29.2%去年的话就是其实也就是20多已经算是比较高了所以这个增长的幅度还是比较快的尤其是新能源车在这个方面还有
[00:19:33] 更夸张一点像在瓜子的这个平台上面的话超过一半的这个新能源车都是跨省的交易现前的部分我们就讲到这里你前面还说一个限制的问题就是税费这个东西有什么税费的影响吗我觉得税费其实是一个容易被大家忽略但是其实在过去的很长时间塑造了这个我们刚讲的分散的然后以黄牛为主的这个二手车交易的一个状的原因也就是说过去啊你一个车商如果你要通过这个买卖二手车赚钱的话
[00:20:00] 他要交的税是什么呢是你卖出去的这一辆车的车价的全款的
[00:20:06] 百分之二听上去确实很像二手房是吧它在当中的问题就是它不是根据像增值税我们之前讲的增值税一样是卖出那个价格抵扣掉买进的那个价格之后的这个差额它再来增一个增值税的这个比例对但它就其实是按照最后的这个卖价就直接扣百分之二对是不是有点多非常的多我们举个例子比如说你一辆车你是以18万的价格买进的车商这个一辆二手车最后呢你20万元卖出了
[00:20:32] 那如果按照20万元的2%来算的话那你其实要交的是4万元的税款但你如果按照20万减掉18万的差额2万元然后再乘以增值税17%的话你只要交3400元足足损失了大概3万多元的利润对所以实际上在过去的很长时间里面在二手车商的操作是他根本就不会去按照这个2%来交税就他不会去卖出去这个车的时候来开那个发票
[00:20:59] 它实际上的这个具体操作方式是它这个算到这个差价的钱它是以佣金的方式来收的或者是以中介费的方式来收的实际的这个交易它只存在在一开始的卖家和最后的买家之间就是个人对个人是可以不讨论所谓增值税的问题然后它从里面就是抽一个固定的服务费然后避免中间产生任何的税费对它的影响因为个人和个人之间交易二手车这样一个就是已经使用了的商品根据我们国家的法律法规的规定它是不用交增值税的
[00:21:27] 然后二手车商在当中只是进行一个撮合的过程赚到的这样是一个撮合的一个中介费用那这个中介的费用是不用交增值税的然后再加上很多的车商他其实都是个人的名义他都没有注册公司他也不用交什么企业所得税啊等等那他就以这样一个个体户的一个形式比较散装的然后赚这样一个一进一出的这样差价对他来说是最有利的那因为这种形式就使得一个小规模的车商成为一个主流因为如果你是一个大规模的经销商
[00:21:53] 那你就不可能像小黄牛一样这样来操作就是打擦边球必须要自己真的买进再卖出就像多抓鱼这样的书店平台对吧他必须要把这个书买进来再卖出去他是有这样一个产权转移过程的大的经销商如果真的这么做的话他在过去2%的这个全额征收的这个税率上面是没法实现的那这个税的问题感觉就是一些在偷税漏税的边缘活动一些做法呀那现在的话这个情况有改善吗
[00:22:19] 在2020年的时候其实国家是给出了一个税费的改革啊就是把这个全额征收2%改成了全额征收0.5%然后是4.3年之后呢在2023年的时候又延长了
[00:22:32] 可以说它是一个改进或者说带来一定的效果但是它不是一个完整的改革因为它的计税的方式没有改变它仍然不是一个差额计税而是一个全额的计税相比较于我们前面讲的这种野路子的方式如果你现在按照它正规的这样来计税开发票的话你钱是少交了但是你还是比那些野路子要多交钱是不是对野路子依然是成本最低的方案大家还是会去做野路子对
[00:22:55] 所以它从最终的这个行业的角度来说呢似乎没有形成一个就是因为有这样一个比较规范的然后同时也比较合理的优惠的一个税收的政策使得一些大规模经销商冒出来行业集中的这样一个效果并没有实现只是说在当时那个时期对于很多车商来说它确实是减负了可以这么来理解那我们把这个部分简单小结一下那其实过去将近十年里面有大量的比如说市场资金涌到了二手车这个领域
[00:23:24] 他们希望以一些以平台为主的这种新公司改造然后把这个市场带动起来以及再期待一些政策的放宽当然最后政策也确实放宽了这个市场看上去也规模更大或者更成熟更透明了但是呢就是这个增长的幅度以及说所谓市场的集中度依然跟他们最早的预期差别很大而且这个问题最关键就是不管是新的平台还是老的车商其实谁也没有消灭谁谁也没有让日子变得更好过也没有让日子变得更难过
[00:23:53] 这种内部的进化相对还没有完成的情况下又迎来了你说的新能源的浪潮对 而这种浪潮实际上是使得二手车的销售逻辑又出现了新的变化
[00:24:07] 简单来说我们前面在讨论的还是一些过去的事情那新能源对于二手车市场这到底会有什么影响呢它这个影响主要是最近两年最核心的一个影响就是价格主要就是新能源的这个市场规模的扩大使得油车的价格下降这个当中有个核心的逻辑就是二手车的价格是跟着新车走的就是二手车的价格理论上不能高于新车这个很好理解是吧否则为什么要买二手呢
[00:24:35] 那如果你新车的这个价格同样一款车型在比较短的时间里面出现了大幅的降价的话也就是我们在过去两年看到的这个价格降的话那其实就会使得二手车的价格体系受到巨大的挤甚至有的时候会出现一些什么所谓新车二手车的倒挂比如说帕萨特这样一个非常经典的车型也是保值率非常高的一个车型它在2015年的一个比如1.8T的一个中档的车型它的新车的价格大概是22万元左右吧
[00:25:03] 那如果这辆车开了三年大约是这个三万公里以内的话这是一辆次型车是非常吃香的它一般是打个七折也就是大约15万元左右的二手车的价格但是我们知道2025年的时候一个帕萨特pro的一个中档的一个车型它的起售价有可能也就在15万元多一些这个时候就二手车其实要做的只有一件事情就是把它价格尽量再往下压一压就是要比那个新车更吃香一点我才有可能卖出去对吧
[00:25:31] 比如说在2023年就是油车大幅打价格战的时候我们就看到一些过去价格很坚挺的一些二手车型比如像凯美瑞有的车商他在降价潮之前正好在那个时间节点当中啊他在降价潮之前比如16万元收了一些二手车但是过了两个月之后这个新车的价格就直接降了三四万元最终逼的这些车商只能以比如说14万元甚至13万元的这个价格打折出血把这些车给赶紧清掉因为不然的话时间板越长他这个库存车的这个价格就越低
[00:25:59] 那这是第一个影响也就是最最直接的就是短时期里面对于二手车价格体系的一个打压另外一个方面呢就是新能源车它也会有些二手车的吧这些车厂也会去做的问题就是新能源车自己这个价格体系也很不稳定波动非常大对因为新能源车里面就是在二手车市场最吃香的一些品牌就是一些限量最大的品牌比如特斯拉它同样一款Model 3和Model Y在过去几年里面价格下降了多少大家也非常清楚啊这就使得二手车的市场非常难做
[00:26:26] 而且这个影响不单单是针对这一个品牌的也会影响到别的品牌因为这里边还有一个核心逻辑就是二手车市场的价格往往是看那些保值率比较高的最坚挺最受欢迎的品牌和车型的价格来看的那些品牌的价格如果再往上降的话你一些保值率比较低的一些车型你也得跟着往下降所以说新能源车自己的价格在往下跌同时打压的油车价格也在往下跌双重的压力之下就使得二手车的价格体系出现了一个很大的一个挤压
[00:26:54] 这个是让过去几年二手车商的日子不好过的一个最主要的原因等于是一个降价导致一个传导效应不是在新车这边挤压它然后新轮车也在挤压它是的那你说这个逻辑我可以理解但就是现实市场到底差到什么程度你可以给我们举些具体的例子吗其实这次我们同事江瑞杰老师还做了一些采访包括一些小的车商和一些比较大的经销商
[00:27:19] 整体的话就大家都在过紧日子吧从23年开始就有苗头然后24年是这样25年也是这样我们先举一个例子就是比如说像二手车的交易平台就是我们说的那种成交的一个大的市场在那边这个交易市场里边工作的人员他们的技巧都要开始打折了具体的车商的话他们影响肯定是更大啊比如说原本一个车商他进一辆车买进卖出的这个差价大约是在6到8个点6%到8扣掉一些不要把这个车要整整好看啊洗洗干净啊等等所谓的整备
[00:27:46] 就是整理准备的成本的话整个的利润率大概是在成交价的5%就是指毛利毛利只有5%对毛利只有5%二手车商黄牛都是赚辛苦钱的而且就是毛利还有很多的固定的成本比如说像摊位费一个车位是一年一万那么一年如果你20个车位就是20万等等的还有每辆车有评估费等等的
[00:28:08] 还有一个重要的一块成本就是这个销售线索就是他们这个获得这个买卖的销售线索很多时候是通过一些网上的垂直的平台这些就是垂直的汽车网站开始获得的就有点像买流量这个意思是吧是的过去几年的这些垂直平台的这个销售线索的效用大大降低就是这个流量没有什么用对我们看到有的职商就会说他单个在这个平台里面有可能一年的费用是比如说一两万还是挺贵的
[00:28:35] 但是呢有可能在这个平台获得的销售线索一到三个月才有一辆真正的能够成交的过去呢比如说十个线索里面有五六个能打通电话的最后呢有一两个两三个能够转化成成交那这个漏斗还算比较可行啊现在十个里面有一个能够打通电话就不错了那至于说成交就要等更长的时间这使得他们整体的销售的费用其实还要增加明白的就本来也赚不了什么钱但是这个花出钱就并不能带来更高的收入有可能还会带来更少的收入
[00:29:04] 对所以他们现在整个的利润规模其实就挤压到非常少了一辆车让个几百块钱甚至是不赚钱亏本或者是保持一个正常的现金的回流都是非常常见的一个情况而这个是比较小的车商我们再讲比较大一点的车商比较成规模的一些经销商他们要做的事情很简单就是裁员缩减规模我觉得这裁员和缩减规模是不是应该分开了裁员就是裁他们自己员工缩减规模是指他手上车的存量变少了还是什么对
[00:29:31] 同时要携带的比如说它这个线下的门店的规模也要变少因为这个涉及到他们一些固定的成本我们刚刚讲到的比如说像我们之前采访过的以上海为主的一个比亚大的品牌叫车王吧它过去其实是有据于成为中国的CarMax就是一个全国连锁的大型的经销的二手车的一个集团的但它现在的规模比如说它这个店的规模都会缩小到2000平米以下过去有可能是大几千单店的人数过去有可能有几十人大几十人上百人的现在就是8到15个人左右
[00:30:00] 整个公司的库存规模就三四百辆整个公司的库存只有三四百辆同时存在的库存就三四百辆这个真的很少对但这个其实已经是很大的车商了但是跟它巅峰时期相比的就是有上千辆甚至两千辆那个时候已经不能比了最主要的问题就是要保证资金的安全如果你有这么多库存说明有很多资金要沉淀没有收回来对他来说有很大的压力这个是他们缩小规模的一个重要的原因
[00:30:25] 其实像我们讲的收缩规模也好包括压缩成本也好已经属于这些车商在面对市场压力的时候的一个应对的方式了除了刚刚讲的最简单的收缩过冬过苦日子的应对以外还有一些办法比如说他们会放宽一些交易车的类型过去有很多的二手车的交易市场是不允许事故车泡水车在这边交易的
[00:30:50] 现在呢有可能也会适当的放宽但是你肯定要标明啊你不能说我就是我隐瞒说事故车泡水车不行的然后你要标注清楚然后做好准备啊等等的你可以看到就是大家因为这个车运的减少或者就这样的减少已经开始做一些过去不做的事情了还有一个非常重要的点就是不单单是车商包括我们前面讲的那些平台就是那些瓜子啊优星啊这样一些大的平台他们都开始把注意力放到了短视频啊一些新的流量的入口通过那些方式来获得销售的线索
[00:31:20] 就是电梯广告已经没用了对过去那一套就砸大价钱的然后做这种轰炸的这种广告已经不搞了像瓜子的话现在主要就是在做一些本地的投流还有很重要的就是很多小的车商他其实还是回到一些传统的方式比如说在本地的广播上面去投广告这个可能是更加有效果的好传统的方式对因为不管是我的车员也好还是我的消费者也好如果主要还是在本省本市的话其实在这些地方投放广告仍然是有用的
[00:31:48] 等于说他们在除了节流以外还做很多开源的工作是这个意思对我觉得这个销售线索渠道的改变其实更大程度上反映的是整个汽车消费市场的一个变化因为就是大家如果知道的话新车其实现在也是这样就是垂直的这个网站它的这个销售流量的这个能量有可能已经不如一些短视频的网站了背后我觉得更关键的其实还是这个大家消费的这个欲望有可能没有那么强了所以说需要靠一些
[00:32:14] 更加精准的投放才能够获得一个相对比较可靠的一个投入和回收的这样一个比例除了刚才讲这些应对以外还有一个比较重要的一个点就是这些车商也要尝试去做下新能源车而不是固守在原来的燃油车的二手车的市场里面这个后面我们还会详细的讲到等于说这一轮所谓新能源车对二手车市场的挤压听你讲的感觉实际上已经是非常严重了
[00:32:40] 而且不是说所谓的产品的更新换代就可以解释的就它可能导致是大家整个的生存方式或者说生存的手段或者是工作的思路都要发生很大的变化本质上还是因为整个市场的空间在变小就规模在变小但是新车供给还是在增加为了把新车卖出去大家开始打价格战然后造成了后面的一系列的后果最后导致整个市场价格都开始下弹导致了大家都开始过苦日子没错
[00:33:12] 那我们最后来聊一聊目前二手车市场出现的一个就是我不能理解的一个概念就之前夏老师给我简单解释一下我大为震撼他这个东西叫零公里二手车
[00:33:25] 大家可能原本理解就是二手车怎么样也要我自己用过一下就不可能一点都不跑轮子都不落地嘛这怎么叫零公里二手车这个零公里二手车呢就是我们在节目开头说到的现在二手车市场可以说是一个比较大的打引号的一个亮点先解释一下什么叫做零公里二手车啊简而言之就是它是名义上的二手车也就是说它之前已经上过牌了它有一个车主了就名车有主了然后呢我再要卖出去的时候
[00:33:52] 那我等于要有个车主的过户那它当然就是一个二手车的交易是吗但是它实际上这辆车的行驶里程又非常的低接近于零所以我们一般叫它零公里二手车简单来说就是这么一个人他脑子可能不是很好使他买了这辆车马上就卖了出去是的这种车到底是哪里能找到这么多有意思的人呢这边要说明就是零公里二手车本身不是一个新的现象在过去实际上是很常见的只是它的比例不高
[00:34:19] 比如说在CS店展厅里面的一些展车或者车展上的一些展车还有试驾车或者一些在运输当中受到一些小小损伤的一些车包括一些客户订了之后又临时退掉一些车等等的还有就是一些即将要被清库成一些老款的一些车等等的这些都算是过去零公里二手车的一些主要的来源这些呢过去其实都属于零公里二手车
[00:34:42] 然后经销商也经常会以一个比较低的价格比如说六折甚至五折等等的就把这些车给清理出去实际上是非常正常的
[00:34:50] 但是之所以现在会把零公里20车作为一个问题或者是一个大家热烈讨论的现象呢一方面是因为就是有一些厂商的这个老总就公开的喊话了但另一方面就是他为什么会喊话呢是因为这个现象确实现在很普遍也就是有一些不属于刚才讲的这些类型的一些纯纯的新车厂商为了把它赶紧卖出去变相的降价而使用了这个零公里20车这样的一个方式
[00:35:15] 为什么要非要把这个新车变成二手车然后来卖呢我不能理解核心的容计肯定是因为把价格打下去然后可以把车更快的卖出去但问题就是他为什么通过这样的方式把价格打下去那么多呢价格打下去对他们来说没有好处是吗其实对链条当中的很多人都有好处啊第一个就是经销商层面很快的把这个车卖掉他就完成了销售的指标
[00:35:37] 他能够获得厂商的反点就是这个车是以二手车名还是以新车名卖出去不重要只要把这些所有的量级的车都卖出去然后他就可以拿这个反点对如果他这些车卖不出去然后再退回厂商的话他也只能拿到一个打折扣的其实是一小部分亏损的一个回款然后这回款的时间还比较短他还不如想办法把这个车卖出去很快能够把这个资金大量都回流然后到了这个季度末或者年末的时候还能拿到厂商的一个反例
[00:36:03] 那它整个的经济收益上面或者资金的健康度上面是要大大的改善的那对于厂商来说呢听上去好像对他来说很不利是吗这样的话我这个车的价格体系不就打破了吗大家都去买零公里二手车了还买我的新车干什么呢但问题就是厂商很多时候是默许这样的一个情况的尤其是在新能源车这个方面因为它有电池等等的零部件所以说为了避免衰减它这个车不能库存很长时间不能在那边放着
[00:36:28] 等个半年一年都一直放在停车场仓库里面不动它也必须要清出去所以它是有这个需求让经销商想办法把这个车赶紧清出去的甚至我们了解到有的指引的那些品牌那些指引的新能源车的品牌他们会鼓励店员把这个车店里面的一些新车先买下来变成二手车了对吧然后再租给门店当试驾车然后门店很快以二手车的形式把这个车低价给清出去最后店员再把这个车款给回收到
