Vol.118 英伟达如何变得“不可替代”？
[00:02:47] 最后我们也会基于财报的数据来看一下英伟达当下的一个实际的经营状况并且也分析一下他接下来将会遇到的一些挑战可想而知这期节目会涉及到一些技术名词虽然我们会尽可能通俗而且准确的解释但是毕竟不是专业人士如果有问题的话也希望大家指正还有那句老话就是本节目不构成任何投资建议OK那我们就开始吧这里是商业就是这样
[00:03:26] 那首先要么肖老师还是给大家介绍一下英伟达这家公司成立时候的情况吧英伟达是1993年成立的然后创始人的话就是现在的CEO黄仁勋还有他的两位工程师的朋友那一年黄仁勋刚刚30岁在此之前他其实已经在芯片行业工作了10年了他在AMD做过芯片的设计师然后在另一家芯片公司叫LSI Logic做过工程师和销售然后一路做到了部门的负责人然后他就决定创业了
[00:03:54] 这个好像在当时硅谷算是常规操作吧有点报复的工程师其实都想开自己的公司
[00:04:00] 是的而且黄仁星所处的芯片行业在当时还不像现在这样由大公司完全把持着可以说一切格局都还未定连英特尔在那时都不算是很大的一个公司黄仁星和伙伴创业的时候也是先决定我们要开个公司然后再开始研究芯片行里面到底有什么机会最后他们才选择了做高性能的3D图片处理的这样一个芯片那为什么选择这么一个细分的市场Jeff能不能帮大家解释一下
[00:04:28] 首先是因为他们擅长这个有这个能力黄仁勋之前供职的公司这个LSI其实本身就是做图形处理相关芯片的其次是市场当时游戏业界正在处于一个快速发展的前夕尤其是PC游戏那是一个非常前沿的方向就是3D游戏黄仁勋他能够看到这是一个有潜力的市场他自己本身也是一个游戏玩家第三就是黄仁勋本身的倾向他就喜欢做性能上最极致的东西3D显卡我觉得是符合他的审美的
[00:04:57] 可以理解但是这个创业其实一开始并不算非常成功因为英伟达的第一个产品叫NV1它虽然性能非常好就是符合它对性能的追求而且还集合了什么升卡包括游戏操作感的这些处理能力但是这个产品太贵了和这个市面上同类的产品要贵一倍而且和当时主流的微软的Direct3D的标准并不兼容所以这些游戏开发者不太会在你这个硬件的基础上面去开发这些3D的游戏了整个NV1的销量实际上是非常惨淡的
[00:05:26] 第一个产品就出事不利可以想见这个公司应该不会好了看到当时黄仁勋的一个说法那个时候英伟达离破产只有30天了但还好这个时候呢当时的游戏巨头世嘉成为了英伟达的一个救命稻草因为世嘉发现NV1这个产品虽然不太适合PC上面开发游戏但还挺适合游戏主机的因为它集合了各种各样的功能然后就采购了不少用于它当时一款非常流行叫土星的游戏机
[00:05:52] 后来他还给了英伟达一个新的研发订单让他研发下一代游戏机的一个显卡结果呢黄仁勋这个时候对于这个性能的极致追求啊又出现了问题英伟达呢为了追求他们理想当中的一个这个显卡的高性能在这个新的研发项目里面还是没有采用主流的这个技术或者主流的这样一个标准最终就导致他跟这个世嘉的合作啊持续不下去了
[00:06:14] 在这个时候呢黄仁勋就打电话给世家的高管说我们这个合同啊履行不下去了但是你之前预付我们的那个700万美元的研发费能不能别拿回去因为大家非常需要这笔钱不然我们就要破产了真是一个非常过分的要求啊黄仁勋自己也觉得这个非常非分
[00:06:31] 他去年在台大的毕业典礼上面回忆这段故事的时候就说自己打这个电话的时候就非常难为情但是没有想到世家的高管同意了这个要求而且甚至都没有去要求一些什么股权的置换这样的一些利益就单纯的帮了一下这个小公司一把这个就是传说中的用真心换真心用真心就可以是不是顺便说一下就是世家的这位高管他叫入交昭一郎他此前是本田汽车的社长和我们过去讲过本田小郎的开发者本田宗一郎共事过
[00:07:00] 这个人也是一个彻底的就是本田那种风格的工程师曾经负责过本田的赛车项目包括这个高性能摩托车的研发感觉这是技术宅和技术宅的惺惺相惜有点这种感觉总之呢这个700万美元就让英伟达能够多活了据说三个月而在这三个月里边呢英伟达就开发了一个适配微软标准的或者说符合当时主流技术方案的一个叫Riva128的一个3D显卡
[00:07:26] 和前面两个产品相比呢这个产品它一改之前那种不考虑市场实际需求纯粹追求性能的这种毛病它不仅性能做得很好而且呢价格也比较便宜而且又适配主流所以仅仅四个月就大卖了一百万张那英伟达呢也就就此站稳了脚跟王仁勋自己在讲这个故事的时候呢重点在于接受失败改正错误但这里其实还是有一个隐形的点值得强调的就是英伟达强悍的研发能力和执行能力
[00:07:52] 在技术方向改变之后整个公司能够快速重新启动迅速拿出成型的新产品这个能力其实是英伟达在芯片行业的历生之本有个俗话叫不撞南墙不回头我觉得黄仁勋和英伟达就属于那种马上就要撞到南墙那一刻我还能反应过来然后马上就回头而且四个月就把这个局势扭转过来一个类型对对对是这样的英伟达从此就保持了这种研发能力在激烈的竞争中成为显卡的领先者
[00:08:18] 当时英伟达采取的是三团队两季度的模式就是有三个团队独立研发三种不同阶段的产品一个的deadline在今年秋季第二个就在明年春季第三个就在明年秋季如此
[00:08:31] 轮转循环这样就能保证它每六个月就能研发出新一代的产品其实在CPU行业有一个很著名叫摩尔定律就是说每18个月CPU的性能就可以翻一倍那黄仁勋这个相当于提出了GPU的皇室定律了这个每六个月就要让GPU的性能翻一倍对这个过程中英伟达还找到了适合自己的商业模式也就是把制造交给制造厂自己只负责芯片设计这能让他在资金量有限的情况下尽可能的去释放自己的研发强项
[00:09:00] 而台积电不断进步和扩大产能也让英伟达有能力在激烈的竞争者中打败和吞并竞争者成为独立显卡的冠军双方紧密的合作关系一直延续到今天没错而且这个英伟达和台积电这个合作关系我们之后还会提到这个紧密是有好处但是也有一些小小的隐患
[00:09:20] 到了21世纪初呢其实英伟达已经把这个高性能的GPU啊也就是图形处理器变成了一个独立的主流的一个芯片产品而不是在最早期的时候是仅仅一个CPU的一个附庸那英伟达自己呢也成为了其实当时游戏行业当中一个响当当的名字我们玩游戏的话都会说所谓A卡N卡N卡就是英伟达的卡A卡就是指AMD的这个显卡是一个大家都会去非常关注的一个重要的配置
[00:09:47] 但是呢在这个时候英伟达和黄瑞勋就并没有满足于自己在游戏行业里面这个站稳脚跟的地位他始终觉得GPU应该有更加广阔的天地
[00:09:59] OK那我们就进入第二个阶段就是转型期如我们开头介绍的就是在这个阶段英伟达是把GPU从一个单纯的图形处理器变成了一个通用计算的基础设施而他自己呢也从一个单纯的芯片的设计公司变成了一个庞大的这个研发生态的一个构建者
[00:10:20] 感觉刚刚这一段黑化浓度是不是有点太高了什么叫GPU变成通用计算的基础设施这个讲起来我们是不是还没有给大家解释GPU到底是什么东西它跟CPU到底是有什么区别那杰弗来解释一下吧要不好的好的那我简单科普一下就是首先我们需要理解GPU和CPU的区别CPU它其实就是我们常说的中央处理器它的强项在于串行计算适合专注做某一件事情
[00:10:48] 而GPU就是图形处理器它的强项在于并行计算就是许多核心同时做一件事情
[00:10:55] 我们打个比方想象CPU像是一家高级定制服装的工作室它从一件衣服的构思草图绘制物料准备打板调整样衣制作这是一整套流程你必须完成了这一步才能完成下一步每个环节都牵一发而动全身这就需要串行计算就需要手艺好的裁缝也就是CPU来做而GPU做的呢擅长的是流血线去生产T恤比如说在100件T恤上印一个logo
[00:11:23] 你只要有十台机器各自硬实践就可以了又很简单又不相互打扰所以说只需要十个简单训练的工人即可这就是并行计算Jeff这么一说的话我其实想到一个跟我们日常工作更相关的一个类比CPU就像一个记者去做一个深入的人物访谈比如说要问一个人为什么结婚了你要先问他的家庭背景他的经济收入还要问配偶的情况等等的最后能够得出一个大概的结论
[00:11:49] 这个采访就属于是一个技术活有可能需要一个专业的一个记者来完成但是GPU就像是给100个人做问卷调查只问他们一个问题就是你结婚了还是没结婚这个就不需要什么专业的采访技巧了简单培训一下就可以做没错理解了这个区别也就能理解为什么GPU适合处理图形显示因为显示一个图片就要算出每个像素上该是什么颜色这个事情本身不难但是像素非常非常多
[00:12:16] CPU算起来虽然快但是得一个一个像素来而GPU就可以一堆像素同时算这也是为什么我们需要一个强大的显卡来打3D游戏来做专业的视觉设计虽然我不打游戏但是我觉得我大概理解了对因为这个3D游戏它要需要这个就是识别或者计算那些像素是非常非常多的对解释了这个问题我们就能进入下一个问题什么叫让GPU变得通用所谓通用就是英伟达认为
[00:12:43] GPU的这种运算特性不仅适合图形显示它还适合做很多很多的运算场景通俗点说反正就是雇佣100个人做同一样一件简单的事情那么做啥不是做呢裁衣服拧螺丝只要是简单的工作都行这就是所谓的通用计算
[00:13:00] 重点来了要实现这种通用性并不是把GPU直接拿来用就行因为要让GPU执行不同的任务需要软件编程但GPU的编程原本是很复杂的这就需要专门学习不是随便一个程序员就可以了而英伟达在2006年推出了一个软件系统或者叫一道软件架构也行它就是叫CUDA打个比方你把GPU想象成一个工厂每个计算核心都是一个工人CUDA相当于一个指挥系统
[00:13:28] 你提一个简单的需求指挥系统就能够帮你安排每个工人的工作更关键的是只要是英伟达出产的工厂所有的指挥中心的沟通方式都一样在现实中研发人员就可以用他们熟悉的C++这一类的编程语言直接去编写自己要GPU干的事情这就比原本直接对芯片编程容易太多了相当于有了这个CUDA以后开发者可以很轻松的自己去调整就是GPU到底是做什么功能的那这个GPU的潜能就完全被打开了对的
[00:13:58] 他们能很轻松地用C++等语言来编程让GPU为自己所用大幅地提升了研发的效率那么问题就来了现在我们都知道这个潜能好像对所谓的AI大模型很有帮助但是CUDA这个东西出现是很早吧好像是2006年那英伟达研发CUDA的时候就知道这个东西未来要往什么方向走吗我觉得应该是不知道的当时黄仁勋应该只知道一个大致的方向就是这个东西对于科研人员肯定有用
[00:14:25] 所以它的主要营销目标就是在高校推广CUDA2008年英伟达在伊利诺伊大学香槟分校设立了全球第一家CUDA卓越中心英伟达不仅为这个中心捐了50万美元还捐了80万美元的GPU集群很快几乎所有的理工科名校都在申请CUDA的卓越中心比如2009年的清华大学2010年10月的时候英伟达又启动了CUDA研究中心和教学中心计划提供培训课程
[00:14:54] 教大家怎么用CUDA当你购买GPU的时候英伟达还会提供折扣提供了这么多好处英伟达收获的就是一个基于CUDA的一个研发生态大学里开始教CUDA课程多个实验室在研究中采用CUDA的技术而且各地的开发者也开始分享各种代码和经验很多研究的进度确实得到大幅度的刷新比如建立气象模型分析蛋白质结构等等我们在2010年英伟达的财报里面找到这么一句话
[00:15:23] 我们正在与全世界各地的开发者合作他们已经采用并编写了针对CUDA架构的应用程序研究人员也可以使用CUDA来加速他们的研发听起来确实很厉害但是我们都知道这个科研机构就算很喜欢GPU但是这个科研机构这个总量还是比较小的吧那在商业上这个账算得过来吗叶老师其实问的就是一个它在高校里面不停的这个营销投入能不能产生回报的一个问题
[00:15:51] 我的理解的话其实当时因为他做这个酷大的研发就是一个非常冒险的事情因为他其实是在赌就是这些科研领域里面会出现一两个技术他能够大规模的商用来开拓GPU的市场版图如果没有这样一个商用的这样一个技术的话那他只在科研里面确实是肯定赚不回来这个钱的但这个赌的筹码呢确实非常非常大我们来看些具体的数字吧
[00:16:16] 黄仁勋在2017年的一次财报的分析师电话会议里面就提到说为了把英伟达旗下所有的芯片都纳入库达的架构英伟达大概累计花了超过100亿美元的这样一个成本当然这个只是一个估算因为你实际上很难划分清楚研发当中有多少是因为库达而增加的成本但是我们从财报里面其实可以看到一些比较明确的佐证
[00:16:43] 就是从2009年开始也就是这个CUDA推出两三年之后英伟达每年的这个研发费用率就从15%左右的水平陡增到25%就最高年份是超过30%也就是说一年这个英伟达的这个整个收入的四分之一以上都用来投入到新产品的研发当中注意这个是收入的四分之一不是利润的四分之一
[00:17:09] 而且这几年基本上就是英伟达把所有产品来纳入酷大架构的这个最辛苦的研发阶段就是我出了这个软件架构接下来我的新产品要去适应它这个过程其实是花了最多的钱的
[00:17:20] 刚刚萧老师提到25%以上的研发费用率真的非常高给大家简单做个对比像苹果它常年的研发费用率是不足10%的微软算投入比较多的大概是15%到20%即使是同在芯片行业里面像英特尔也就是20%左右了所以25%真的是个很高的水平而且你要知道研发费用率其实未必是越高越好的因为研发费用并不等于你这个研发实力
[00:17:46] 过度的投入在研发里面其实也会增加企业的运行负担像英伟达这个研发费用率我看到在近几年里面其实比较多的都是用在了这个研发人员的股权激励上面其实就是说你要做这么一个困难的事情的话你就需要用比较大的这个代价来留下那些非常高质量的人才不能让他跑了对吧对对对但是其实在那几年啊英伟达围绕这个库达的这个后续的研发并没有给他
[00:18:10] 带来实际的GPU销量的增长它把那些GPU都适配了CUDA但是并没有说直接涨了因为它都投在科研里面其实并没有马上的出现一个大规模的效果所以那几年英伟达的整个股价也一直不好
[00:18:23] 包括华尔街一些大的投资者他都非常不满英伟达这种原本你这个显卡生意做得好好的偏偏要把所有的钱都拿去赌一个可能性的这样一种做法你好好卖东西不好嘛那后来我们看到英伟达其实是赌成功了或者说等到了这个时机就是在我们前面提到那么多用酷带的科研方向里面确实有一个领域跑出来那就是人工智能其实严格来说GPU其实并不适合所有的AI计算AI计算其实分很多种GPU只适合其中的一种也就是深度学习
[00:18:53] 要稍微回顾一下这个AI的发展史从上个世纪50年代出现以来AI有两大流派一个叫做符号主义另一个叫做连接主义这个名字听上去都有点哲学意味但是其实简单来说它就是对人类思考模式的两种理解前者主张的是逻辑就是搞清楚人到底是怎么做决策的我们拿走迷宫来举例符号主义就是走到每一个岔路口都会认真分析到底该往哪里转而连接主义呢
[00:19:22] 就是模仿人类的神经元网络他走起迷宫来跟类似找一千个人来每遇到一个岔路口就分成两拨人主要人数足够多最后至少能有一个人找到出口深度学习就属于后者
[00:19:34] 很长一段时间从60年代到90年代符号主义都占据绝对的优势原因很简单当时计算机哪有那么强大的性能让你找1000个人来走迷宫呢连10个都不行所以深度学习那时候解决实地课题的效果并不理想甚至于走这个路线的科学家都拿不到经费
[00:19:54] 今天我们深度学习的开山鼻祖Hinton甚至远走加拿大了因为美国没有大学愿意资助他的研究那这个行业听上去不是很行啊那最后是怎么又变成了现在一个主流呢有这么一个转折点它就是2012年的一个叫Imaginate的一个竞赛这是斯坦福的人工智能教授李飞飞创办的一个比赛参赛者要比拼自己人工智能算法识别图片的准确性当年Hinton和他的两位学生用神经网络
[00:20:22] 搭建的AI系统在这个比赛中一技绝成错误力降到了16.4%比第二名提高了10个百分点要知道在当时提升1%都被认为是一个学术的突破这次比赛让成绩已久的深度学习重新受到重视而Hinton团队采用的就是两块英伟达GTX580显卡从此整个人工智能行业都认识到了英伟达的重要性微软 谷歌 亚马逊都开始大量的采购英伟达的芯片
[00:20:50] 酷大的生态圈也越来越稳固这时候已经没有人会把GPU看作一个单纯的图形处理器了
[00:20:56] 顺便提一下就是Hinton那个团队当中的一位学生后来就是OpenAI的这个联合创始人那OpenAI做的这个ChatGPT现在就是又进一步这个扩大了英伟达的在这个整个科技和芯片行的一个地位所以说是一个传承有序的概念了我看黄志勋还是在台大那个演讲里面说的他说英伟达是为AI发明了CUDA我觉得他这个属于事后出可量的对就是刚刚听了Jeff这一段科普的话你就会发觉这个属于是
[00:21:25] 他现在来总结的时候好像都是为了AI但其实当时的话AI只是所有路当中的一条而已对的对的黄仁勋虽然不可能提前预测AI的爆发但他的确坚信GPU会有一个像AI这样的用武之地的转型期的这个重要节点就是CUDA的部分我们也介绍了差不多了那在AI和深度学习展露头角以后英伟达肯定是把这一部分作为重点的发展方向但是即使如此你也就很难说这个
[00:21:54] 2012年以后这个英伟达就all in AI了对就虽然我们这个第三阶段叫做乘风好像就是你觉得有了这个转机之后英伟达就应该一直在做AI了但其实这个乘风期并不是这么自然而然的事实上英伟达在21世纪的第二个十年也就是刚刚过去这个十年他还在持续的这个摸索GPU在别的一些领域的一些潜力这里边呢就有一些成功的也有一些失败的案例我们举三个例子啊
[00:22:21] 第一个就是一个失败的案例就是在移动端就是在智能手机崛起之后英伟达其实也想要入局觉得GPU能搞些什么事情结果他在2013年发布的一个专门针对移动端的一个叫Target4的一个芯片本来是准备就是主打智能手机的结果卖的非常差没有拿到太多的订单
[00:22:39] 原因呢就是因为它的价格又偏高性能上虽然有一定的优势但它这个功耗啊包括它这个这个发热啊都其实挺厉害的并不太适合手机最后这个芯片主要的这个用处就是在任天堂的这个switch上面使用
[00:22:53] Switch现在卖的挺好的你也不能说它太失败对吧但是感觉它这个过程就跟早期这个最早失败那个MUI那个显卡有点相似了是的而且就Switch虽然这一个机器卖的挺好但你跟整个手机是每年这个大几千万甚至上亿的这个销量来比就少很多了嘛而且在这个之后呢英伟达其实就在智能手机的行业就没有太大存在感了
[00:23:14] 这个时候黄尔勋又发挥了这个在南墙这个要撞到之前迅速回头的这个本事他就放弃了手机行业然后把Targa芯片的这一套呢转向了汽车自动驾驶的领域现在这个反倒变成了英伟达的一个潜力市场啊就是中国你看这个所有的这个电动车的新品牌只要上个新车都会说我现在搭载了这个英伟达的什么Orion的芯片啊等等的已经把它当做一个高端配置的一个招牌了
[00:23:40] 第三个例子呢其实就是一个非来横残你可以说它是成功或者失败都可以吧可能是异常的成功吧对就是虚拟货币和挖矿的这个需求这个比特币的所谓挖矿吧其实就是大量的这个简单的运算本质上就是这个事情这个呢一听就是非常适合GPU所以当时啊这个英伟达为游戏开发的这个芯片销量是大增的而且供不应求但实际上都不是用来玩游戏的都是用来挖矿的
[00:24:06] 这个其实是2021年之前英伟达已经有一波股价大涨的那个时候的重要的推手但是大家都知道这个横财基本上不会在你手上待太久的2021年以后不是虚拟货币各种爆雷吗而且挖矿需求其实也大幅下降了当年英伟达股价就在大幅冲高以后大幅回落了对这2022年能够拿得住英伟达股票的人不太多的应该
[00:24:31] 这段在别的领域摸索的过程我们自己来总结的话我觉得最需要记住一个点还是前面提到的就是英伟达的一个强悍的执行能力先不论成功还是失败我们看到的就是在2013年它这个移动端子芯片MAP出去之后它在2015年就转型推出了针对自动驾驶的芯片产品然后在2016年马上就推出了这个平台的第二代的芯片
[00:24:54] 第二个例子就是在2017年比特币大涨的情况下英伟达就马上改造了他这个游戏的显卡就是变成了一个专门用来挖矿的挖矿卡然后在当年是大卖的然后到了2020年虚拟货币的这个价格又大涨了一波的时候他又在当年推出了一个专业的挖矿卡都是一年里面或者几个月里面就马上做到的事情
[00:25:13] 就是某种程度上说它是一个广撒网的公司但是它这个一直在撒网的过程中还一直在知新的网这个事情还是很厉害的对这个结网的速度是真的快当然就是我们讲到的这些摸索或者说这些小的这个浪头的话肯定都没有人工智能这个大的浪潮来的大而英伟达在这个市场的地位恰恰是最稳固的就是我们刚才已经讲了很多了就凭借GPU的它在GPU上面的一个
[00:25:41] 超绝的一个性能再加上它一个酷大的这样一个生态那英伟达的这个专门服务于人工智能的这些AI的芯片就成为了这个大模型训练的一个基础设施或者说整个这个所谓的算力其实就是指它这些英伟达这些芯片
[00:25:58] 它在全球服务器行业里边GPU的市场份额就已经超过了90%几乎就是垄断了而且好像现在已经把产品也做得很丰富了是吧对它不单单是GPU了它其实会有CPU包括DPU这一整套的服务器的这样一个产品的组合而这些专门为AI来布局的这些产品其实也是在很短的时间里面我们看到主要都是在20年之后英伟达开始推出的这具体Jeff可以介绍一下
[00:26:23] 英伟达其实它一直以来会按照GPU的性能号分为低中高三条产品线消费级的叫GeForce一般来说什么4090啊都是这条产品线的工作站叫Quadra服务器叫Tesla这是一个横轴在重轴上呢英伟达也会根据芯片的架构做一个代际的划分比如说2020年5月推出的Ampere架构2022年3月推出的Hopper架构就我们常听到的那个A100
[00:26:50] H100这个A和H就指的这两个架构都是英伟达AI服务器条件的一些产品然后英伟达是保持每两年更新一次架构的频率所以说很清楚它下一代的GPU的架构会在2024年发布
[00:27:07] 聊到这里我又有一个疑问了既然软件和开发者生态这么重要别的GPU厂商没有想到吗没有去模仿吗我一直就有一个疑问这个世界上只有英伟达一家做GPU吗对别家都没有任何存在感吗当然有了AMD在2016年也推出了一个类似CUDA的架构叫做ROCM但是它没有做起来最主要原因就是它太晚了比CUDA整整晚了10年10年是什么概念呢举个例子
[00:27:34] 就是你一个大学人工智能专业的学生你读的教材是基于CUDA编写的你的老师也只懂得CUDA的操作方法你觉得AMD的GPU同价位更便宜于是你买了块AMD的GPU做实验绝大部分情况下它都跑得很顺畅而OCM界面虽然没有CUDA友好但你愿意花时间折腾好不容易编好成了但你在模拟训练某个程序时效果总是不如论文里的要求这时候你可能是觉得这个ROCM的某个参数没有优化好
[00:28:02] 你去社区找人请教结果没有一个人遇到类似的问题你的老师和同学也不用他你只能自己一点点摸索
[00:28:09] 这个呢还是只是在学校的问题如果说它的ROCM顶多让你的论文写的慢一点但当你工作之后AMD的GPU的某个小问题就可能导致你的模型训练速度不如竞争对手但你已经没有那么多精力去折腾软件了在GitHub上贡献酷大软件包仓库的开发者超过三万两千位ROCM只有不到六百个如果有一天你当了研发总监老板觉得AMD的GPU更便宜想要征求你的意见看看是不是换一下
[00:28:39] 对你来说省下的钱都是老板的但模型开发的慢都是你的责任啊况且大学生只会用酷的AMD的ROCM用都没用过培训还得花不少时间作为你该如何选择呢所以总体听起来就是一个巨大的先发优势的问题早了十年还是有点好处的对对对
[00:28:57] 刚刚Jeff其实是非常清晰的给我们描述了什么叫做一个研发的生态那我还是有一个疑问那是为什么这个AMD这个竞争对手要花这么长时间才意识到我也该做这些事情呢那英特尔这个巨头又为什么就说没有去参与这场竞争呢就放任这个市场被因为的拿下了呢其实过去CPU才是电脑的核心电脑可以没有GPU但是不能没有CPU
[00:29:23] 2000年的时候英特尔年收入是337亿美元而当时英伟达年收入大概只有六七亿美元的样子英特尔和AMD在CPU市场上打架双方都忽视了英伟达当时GPU上义务排名第二的ATI后来在2006年的时候被AMD收购AMD收购ATI的目的呢也不是为了做一个独立的CPU而是想把GPU集成到CPU里面去更好的卖CPU
[00:29:48] 直到最近十年GPU通过深度学习大放光彩之后英特尔和AMD才回过神来但是这个时候英伟达已经建立了一个非常牢固的CUDA生态了理解了另外我觉得还有一个要说明的就是英伟达这个CUDA的生态之所以我们刚才一直说它牢固稳固其实还有一个底层的一个基础就是它的GPU的性能确实够优越
[00:30:09] 如果哪一天它的芯片实在是比AMD比如说差的太多了那即便是酷大很好用但是客户有可能还是会转投别家对吧因为在芯片行业里边这个性能优势永远是最核心的OK到这里的话我们其实把就是英伟达如何从一个小小的游戏芯片的公司变成一个AI时代的基础设施这样一个转变的过程的三个大致的阶段我们都介绍了一下
[00:30:36] 现在我们就回归到当下的现实当中来看看一些财务的数据就是回到我们节目开头讲的英伟达最近不是有一波股价大涨吗最直接引爆点就是他发的最新一季度的财报但是其实我们看这个财报也是2023年2月1日到4月30日的业绩其实跟之前相比也不算很亮眼吗
[00:30:58] 首先看一下营收层面目前英伟达的营收可以按照它的应用领域分成四个部分最大的一块就是数据中心也是我们今天前面讲的重点了第二部分是游戏是英伟达的老本行第三部分是专业可视化第四部分是汽车还有一个叫其他的部分这个里面最大头的数据中心虽然是营收增长了14%
[00:31:20] 但是游戏和专业可视化加在一起也占了三分之一而这个加在一起的这个三分之一呢相比去年同期其实跌了三分之一就反正是比去年是有下降的所以实际上这个季度的英伟达它的营收是下降的
[00:31:35] 当然需要说明的就是这个游戏部分的下滑主要就是因为我们前面讲到的这个游戏显卡的一大需求就是这个虚拟货币的挖矿大幅的下降了当然游戏行业本身也不太景气所以这两个叠加在一起这游戏业务其实是下滑了蛮多的是的那利润方面和去年同期相比英伟达的毛利率是基本持平的略略有一点下降是在64%左右我觉得还是一个挺高数字了
[00:31:59] 当然由于去年同期英伟达是宣布准备收购一家上游的芯片设计价格公司叫ARM所以说在财报里面有13.5亿美元的收购费用是被列出来的现在呢这个收购已经取消了所以它的总体的净利润是提升了仅仅从经营层面方面来看我觉得这份财报算不上很亮眼
[00:32:20] 而且另一个需要关注的点就是这份财报也没有体现出我们前面讲了那么大堆
[00:32:43] 体现在财务数据上面呢一些比较简单的指针就是它的应收账款的周转天数应付账款的这个周转天数还有存货的周转天数
[00:32:53] 用白话说就是说他付给上游的这个制造商的钱应该可以拖得久一些对不对然后他这个下游客户付给他的这个付款应该更快一些而他自己手里的这个存货呢应该更抢手一点周涨的更快一些这样才能体现出我这个东西很抢手很不可替代很重要吧对不对但是根据Jeff还有我们的同事拉的这一个表格我们就发现首先从长期来看最近十年啊英伟达的这几个指标总体是在恶化的就比如他的应收账款的这个
[00:33:22] 周转天数从2014年的38天已经增长到了2022年的48天最近的这一个季度甚至是达到了57天听上去我们好像前面都变成了尬吹英伟达虽然一个季度数字说明不了什么但是整个趋势已经不是那么好了所以英伟达到底发生了什么一方面首先要说明过去一年芯片行业整体的需求都不太景气芯片本身就是一个周期性的行业经常会有需求很旺盛然后又下来这样一个过程
[00:33:51] 再叠加上我们前面讲的游戏啊挖矿这些的所以它这个整个经营的健康度在上一个季度就是恶化的比较明显也是比较正常的此外还有一些长期的结构性的挑战啊我们先放一下后面还会再说的我们先解决最初那个疑问就是为什么这个财报不是那么漂亮但是英文家的股价还是大涨对不对就是其实也很好理解或者很简单
[00:34:13] 就是他在发布的财报同时还发布了下一季度的业绩指引然后这份指引里边下个季度的营收将超过110亿美元比这个季度要多了近40亿美元或者不是因为这个季度财报涨是因为下个季度肯定会涨所以才涨的是吗对而且这个涨幅你想想看是超过50%的非常厉害
[00:34:33] 而且需要说明的就是这个指引的可信度因为非常的高因为此前大家已经听到了就是各个财经媒体都已经发了很多消息了就是在ChatGPT火了之后各个大公司比如说哪家花了10亿的订单给英伟达去买那个什么A100的H100的芯片哪家又问他采购了一个大的服务中心等等的
[00:34:52] 然后这些新闻和英伟达的业绩指引它互相是对得上的所以说华尔街觉得肯定是真的然后我马上大喜过望都去买英伟达的股票了相当于有这么一个利好消息的话是不是它的什么应收账款或者存货周期也会有改善Jeff你有没有什么想法没错就我们估计接下来的一两个季度英伟达的应收账款和存货周期应该都会得到一个缩短的改善应收账款方面因为服务器级别的GPU卖的实在是太好了
