Vol.124 北京见面会：商业也可以这样
[00:07:28] 但是我觉得他们是中文的闲聊里面聊的最有意思的那我还没说刚刚任宁的那节目叫迟早更新我都忘说了那我就推荐今天现场有八个人的生动活泼制作的跳进兔子洞今天很多那个生动活泼的朋友来团结隐藏在大家之间欢迎
[00:07:54] 最近在看的剧集或者电影最近这几部国产剧不是 国产的电影我都看了吧《风神》是吧对 看了《风神》看了《长安三万里》如果票价不超过八十我觉得都可以看推荐前两个月完结的那个《月洞青春》的那个动画发生了什么有没有人能解释一下
[00:08:25] 我反正看了大家都已經知道我已經在播客裡講過了我最近看也是八筆三分之一的電影額度今年額度還剩兩部那最近在看的一本書
[00:08:41] 说这个吧就前两天毛蒋我昨天还在跟曰姐在讲这个毛蒋就最近刚刚公布吧但是我之前因为在提名里面看到有葛亮的那本《烟石记》我本来还蛮期待的但是后来葛亮果然就是落选了但是《烟石记》这本书如果大家有机会我还是推荐看一看写得蛮好的尤其葛亮这么年轻能写这么厚重的东西还可以就是可读性挺强的
[00:09:08] 我最近在看《生儿为女》是我一个朋友翻的也就是讲开膛守洁客案历史当中被忽略的就是那些受害者的故事的一本非虚构还蛮好的
[00:09:24] 最近在看刘河之前的一本就是叫《六个名字的解法》他现在有一本就是重新编译的版本叫《剑桥的陌生人》它主要就是通过纳伯科夫的小说里面出现的一个诡异的人民然后把整个剑桥大学二十世纪一战后左翼知识分子群体的群像描绘了一下
[00:09:47] 这本真的很好看这本就可以当作就是社会派推理来看就是不是很严格但是很有意思
[00:09:58] 我刚一瞬间忽左忽右的那个感觉
[00:10:04] 然后接下来一些开脑洞的问题这个其实因为我自己平时特别爱听邪聊然后有点模仿邪聊那感觉先说如果可以任意邀请一个人上播客节目这个人可以不管是当代的人还是已经过去甚至已经去世的人或者是哪怕是文艺作品里的虚构的人都行的这么一个角色来上播客节目你们想邀请谁
[00:10:33] 為什麼我們剛才在那個會議室裡面已經都互相溝通好了我的格局是約姐幫我打開的因為我原來沒有想過邀請一個過世的人約姐邀請一個後來我想我也邀請一個我想邀請魯迅
[00:10:48] 我觉得他应该蛮能骂的吧就是现场可以怼一怼你再说我就是说我想请伊塞亚柏林伊塞亚柏林就是书写得也很好但是据说他的演讲比他的书还要好在BBC上面是一个非常雄辩口才吸引了大家注意的男人而且他是一个非常有料的人你想跟他聊什么聊他和阿赫马托瓦到底有没有爱情关系
[00:11:20] 他们两个这种答案吧就是显得我这个就是非常的平庸他后来想了一个比较高级版本我们听一下他到底说是哪一个我想了一个比较实际的我觉得未来有可能可以实现的就是我们想采访刘锦正就是优衣库的母公司训飞的创始人刘锦正他原来想请那个理想汽车的老板李翔来这个就更容易实现了
[00:11:47] 那我等著你實現好嗎老煩了今天一個驚天巨坑如果可以穿越到一部作品裡電影也好小說也好任何作品遊戲也好什麼都行然後你想進入到什麼作品裡成為哪個角色這個葛老師先說我有一個很庸俗的答案昨天晚上就想好了就是我想穿越進玄冰的所有的那個影視劇裡面做女主角就OK
[00:12:17] 我想穿越到就是HBO的哈利波特劇集里面就是随便哪个角色但是我可以率先的知道就是谁演哪个角色这就就是跟那个柯南先知道了假设你知道谁是凶手一样对对对就这种感觉
[00:12:36] 我的话就稍微有点长我想穿越到士大臣的最后一季的圣诞特辑里面的Solano的身上Solano因为那时候已经准备要退休了但是他可以要一大堆的福利而且他那时候是帝国最有权力的男人
[00:12:52] 好的我们的热身环节结束了稍微准备了几个问题简单展开一下就是还是我们可以先聊聊就是最开始我们是怎么想到做这个节目的为什么会做这个节目是因为那个时候我第一个原因是因为我和约老师作为记者都采访了播客的一些制作人写了播客行业的稿子应该是我们算是比较早的
[00:13:15] 开始关第一个毫无疑问写中文播客的这个行业的或者是从商业角度来写的稍微稍微克制一点最早的之一所以我们就对这个行业里面比较熟悉然后熟悉着熟悉着就觉得我们也能做
[00:13:34] 最早的时候只是想要把就是因为商业就是这样只是我们那个杂志里面的一个专栏的名字我们想想是不是一定不写的专栏的名字对我们想是不是可以把里面的一些文章我们就念一念就差不多就行了后来发现是我们太天真了对是我们太天真了就是念一念显然是不行的然后逐渐就变成了这样的一个形式很多人经常会问我们的素材选题的灵感就是从哪里来这个不都是美其现象的吗
[00:14:04] 选题就是开选题会我们的整个操作模式基本上还是按照一个像杂志的编辑部的一个操作模式就是开选题会没什么选题会其实就群聊我们仨聊一聊就好了然后素材一般来讲比较比如说小历史这样的题可能是两位主播自己多看点书或者自己比较感兴趣的然后有一些可能是来源于杂志上已经做过的选题
[00:14:32] 大家觉得有价值有意思的就再扩展扩展现在也会有一些提示是跟杂志也没有关系有可能我们自己会做一些采访或者找一些资料来准备的主要就是三种素材来一般准备一期竹子稿也很多人要问你们要多长时间你可以对着叹气这样我能录进去再叹一下
[00:15:04] 我们一期竹子稿大约是那个七千到八千字多的时候有可能九千字给大家一个概念就是一般来说你一小时能写一千字算是比较快的
[00:15:15] 就是你反推一下大概一期大概要写多久对一小时写一千字是写作的这个速度啊那准备的话我们基本上就是按周一个周期来准备的那现在的话我们会有一些实习生的同学跟我们一起来准备就是前期的一些资料的收集啊数据啊等等的就是会一起逐渐的参与起来但是就是最后的这个成稿就是那个我跟岳老师两个人就是他一起我一起这样我们来写的嗯刚刚那个还没展开的可以展开了就是
[00:15:43] 最难准备的一单集加道理你说说呗加道理就是看很多不知道从哪里搜出来的英文资料看得头非常的疼因为它属于一个比较独特的案例时间跨度比较长但是呢就是资料大部分在香港地区的网站上面会出现的比较多一点然后大量的是英文的素材
[00:16:08] 然后中间有一个其实基本上没有用到就是找了当时帮忙那个修缮就是现在中复会少年工的一个就是工程师然后跟我们讲就是他进去的时候看到大概是个什么样子这个反正基本上没用到节目里但是我听八卦听得非常爽就我们基本上即便是就是没有一手采访的素材就是那个选题还是会尽量争取有一些信息和逻辑的增量的就是我们不单纯的
[00:16:36] 就是摘取一些书的素材或者摘取一些文章的素材来讲还有就是我们的素材里面不太会直接使用一些中文的二手的报道讲到这个我就稍微想补充一下就是加到你这里遇到了一个就是你们可能想象不到的困难就其实这个点在节目里面基本上没有提过就提过大概半秒钟就是他的弟弟叫什么这弟弟的名字就是我翻了四个地方才确定他的弟弟的名字的拼法是什么
[00:17:04] 就是有的素材中文的二手基本上就是错漏率是非常高的所以我们能争取用一手的就是用一手然后来自于书籍上的肯定是会比来自于就是网上的文章上的要好一些来自于原版书籍的肯定是来自于比翻译上的要好一些就是我们尽量往那个靠一些然后尽量挖掘一些之前中文里面没有出现过的素材这就导致了我们在写那个苏伊士运河的时候我被迫看了一些法文资料
[00:17:32] 对对对就是我没有看懂但是我硬看了一些发文资料我补充一点可能我们后面接过一些商单的也比较难吧比我们正常做节目其实我觉得自己说觉得还可以其实操作还可以就我们现在做过三期商业合作节目大家知道是哪三期吗
[00:17:50] 就是我们的合作节目都是会在show notes和节目里面就是声音和文字都会说明的第二个就是商业合作就是你要说对我们的这个内容有影响吧那总归不能讲太多的坏话对吧
[00:18:05] 但是有选择性的说好话对还有包括就是说这个好话要符合我们的逻辑就是要站在我们的角度上面来讲包括像欧莱雅这种节目就他们一开始有可能只是提供一个报告给我们就是希望我们解读一个他们的可持续报告那我们就要求要做一些这个实际的案例采访之类的这个我们会有这种要求就你说实际操作肯定会多一层要跟客户的沟通那肯定是累一层但是
[00:18:29] 怎么说呢我们就是接下来的那个商单都是至少他们认同我们这种方式的有的有可能是时间比较急或者是他们的要求是推荐产品的不适合我们的我们就不会接所以也不会遇到特别难搞的我们前段时间不是在那个什么听友群极客还有那个各种平台征集了一下大家就是想
[00:18:51] 想要听我们跟我们一起聊的一些问题然后现在把这些问题我们选了一些在我们能力范围能聊的对 跟大家聊第一个是来自于一个叫Tim的朋友他应该是我们的一个某一个听友群的一个群友我来复述一下他的问题想听聊造船行业标的企业中国船舶
[00:19:17] 造船上行周期然后一这里面应该也有很多的故事线目前船台生产力集中在中日韩二船舶本身到了逃换周期加之环保诉求加大了船东下单的数量三造船的上下游练路也比较长另外中国南北船有很多咨询可以挖这个
[00:19:45] 读完了他已经其实自己想的很具体了来吧我们有时候吧就是确实会说到这种就是其实自己已经想的有一个结构了但是希望我们来是他这个结构来出节目的这种小的需求我们造船这个事情是这样我们觉得这个题很好
[00:20:04] 我们应该之后会聊一期但是不知道什么时候以及会不会按照他这个结构聊的我也不知道但他这个可能作为一个参考就这样你讲完了对啊行好的那你下一个问题吧挖了一个坑啊第二个问题是来自于一个ID叫明的朋友应该也是一位听友群的听友他说
[00:20:33] 好奇酒店的业态比如那些很低端的酒店是如何逐渐被中端酒店替代的但国外比较成熟的连锁似乎留下的都是高端酒店
[00:20:50] 你可以用问号来结尾有点诡异这个题目归到我这里他这里其实是两个问题一个是很低端酒店是如何被终端酒店替代的我们先讲这个这个问题首先查了一下资料就是这个问题本身不是很成立就是说他所想象的就很低端酒店都被终端酒店或者逐渐被终端酒店替代这个事情就不是特别成立的一个原因就是
[00:21:18] 首先有一些调查数据就是中国的酒店业的这个档次分布的话基本跟人口结构的就是它的经济力的分布是差不多的就是说中国的话大概有60%几的就是较低收入人群然后的话经济型酒店在市场上占比也差不多是这个水平然后他提到所谓终端的酒店的话在中国其实只占30%
[00:21:41] 这个跟中产阶级的比例也是差不多的然后最顶层的豪华的酒店其实只占大概个位数的一个级别了这跟美国情况不太一样美国的话它的购买力是一个偏仿垂结构它的中间
[00:21:54] 肚子是比较大的所以它的中档酒店和中高档酒店是比较多的一个是这个还有一个问题就是在于很低端的酒店的话它可能是面临一个所谓的偏往连锁化转型它原来可能是一个单体酒店然后现在转成一个连锁酒店它有这个需求确实是但它到底是转成什么类型的连锁酒店这个是要看的就有一个制约条件是这个酒店的物业它能做多少间房很典型的案例就是比如说中端酒店的话它一般来说的房间数是在100左右的
[00:22:23] 或者应该是更多一点的但是如果是它这个楼只能做比如说五六时间或者是六七时间它其实是更适配是转向经济型酒店的所以说如果从存量物业的情况来看它其实是反而是往低端酒店或者经济型酒店的转型会更多一点
[00:22:40] 然后的话还有就是说其实终端酒店的话它的就是实际上的收入回报没有经济型酒店那么高大家可以想一个数字就是所谓的经济型酒店经常会做的终点房
[00:22:54] 中端酒店可能在这个事情上会更谨慎一点中链房的话它主要是提升酒店的就是全天的入住率的它把入住率拉上去它虽然客单价比较低但是它实际的收入可能是比做中端酒店更高的所以说如果是一个就是为了赚钱为目的的想做酒店业主的话它其实是更有动力去选择经营型酒店的然后关于他说的这个为什么国外的话基本上都是高端酒店的话这个我觉得只是因为我们听说的
[00:23:22] 就是大的酒店集团可能是给你的印象是做高端酒店的那其实是这个酒店集团里面它有自己的档次分别的那比如说像那个洲际酒店集团它其实像Holiday Inn它在国外的定位跟我们的那个儒家和汉庭其实是没什么区别的包括华驻就是最近几年在中国做特许经营的伊比斯伊比斯其实也是一个比较就是说经济性的法国的是吧对
[00:23:50] 就是欧洲市场的包括说景江他买的那个卢浮酒店集团其实完全是做一个经济型和中档酒店的一个连锁品牌然后包括像日本的话其实大量的经济和商务型酒店其实高端酒店的连锁率反而没有那么高只是说大家在声量上面会有一个误判吧就是说你不知道的地方其实有很多经济型连锁酒店
[00:24:13] 大概是这样刚才忘了讲一点就是为什么会有这样一个感觉可能是因为这两年尤其是今年不管是什么类型酒店它的价格上涨都很快可能一个汉庭它可能也要卖你500块钱其实给你一种它是一个终端酒店的错觉这个的话其实是完全根据供需关系来的这个其实跟我们讲机票是有点像的对吧就是你短期内如果供给非常的
[00:24:39] 紧张但是需求非常旺盛的时候那你这个时候市场的波动的话一定会选择把它的价格提高而且我那天还在跟萧文杰讨论就是因为机票的价格上限是由民航局来定的尤其是中国市场它由民航局会定一个就是比如说你经济舱的上限票价是多少你最高也不能超过这个你就是全价卖嘛它就是一个折扣率的变动但是酒店它其实是没有特别有指导价这个感觉的其实它的变动率是可以到非常大的一个数字
[00:25:06] 但是这两年的话其实中国还是在所谓的复苏状态复苏状态有一个特点就是说房价的上涨率要快于入住率的上涨就是它的入住率没有很快的一个提升但是它的房价相应来说会有一个更明显的提升它就是为了把它的利润还是做到一个比较好的水平但是选择了这个样子的一个思路说明北京最近需求量相当
[00:25:31] 大起码是往上走这又是另一个问题就是如果只看一线城市的话有可能得出的是一个比较偏颇的数字尤其是这个阶段的一线城市那你可能看到就是一个相对来说比较扭曲的一个供需关系但是如果你在整个中国的市场的盘子里来看你可能得到的是一个相对来说还比较正常的数字但我们没有中共市场数字所以我们就简单聊一聊
[00:25:53] 那我们下一个下一个这应该是一位小宇宙的应该是一位小宇宙的朋友ID叫Bell米大米的米Bell米然后他的问题是近年来酒类饮料市场增长是否真的集中在低度酒市场比如说精酿啤酒
[00:26:14] 对好清酒这里要辨析一个概念就是他这里讲的增长到底是什么意思就因为他只留了这么一句话我们也没办法去问他他可能是说比如说市场的增量的绝对值还是说比例上面到底是哪个增长比较多我这里查了一下数据我只能大概给大家一个概念就是中国现在市场酒类市场的最大占比还是白酒市场白酒市场大概是一个看一下
[00:26:43] 6000億左右的規模然後他所說的這個低度酒市場是大概300億不到
[00:26:50] 但是如果看增长率的话这两年白酒市场增长率大概是5%左右白酒这么大盘子还能有5%增长我看了已经非常吃惊然后低度酒市场大概是30%如果从单从增长率来看确实是不错但是如果说是全部的增长都集中在低度酒那显然是不对那你前面说了白酒这么大盘子还能有5%的增长所以他可能就说
[00:27:14] 关注某个市场的人会相对来说更关注那个市场所在那个盘子的变动尤其是低度酒市场确实是变动比较大但是这个变动比较大的原因是基数比较小就是还是要把基数放在一起考虑的以及就是不要忽视中国的白酒的基本盘可能是这样的你看这个问题就准备比较简单下一个问题
[00:27:35] 应该也是一个小宇宙的朋友叫童开心他的问题是大模型和AI搜索会不会改造财经媒体感叹号会不会小老师又叹气了
[00:27:55] 这个问题是这样的就是说我们那个借机推荐一下我们杂志另外一个报道的品牌叫新皮层就是之前微软的一期节目和英伟达一期节目我们已经引用过他们的内容然后英伟达这期节目也请了就是新皮层的同事王杰峰来跟我们一起来讲他们会比较关注这个人工智能的方方面面包括软件包括硬件所以这个问题
[00:28:24] 他们以后会不会改变财经媒体就是他们到底用没有ChapGTT来写稿这个问题就是说上次我听到这个问题是在哪里就我们内部有一个就是有一个考核的时候这个公司的领导提问然后我正好抽到这道题目那你现在就把现在的观众当作领导真是谢谢你了之前有向我征集问题但那天我因为生命我没去本来我应该是评委的谢谢你啊
[00:28:51] 我记得当时他还问了一个子问题就是说你觉得你有什么是超过AI的或者就是现在你AI实现不了的我觉得是这样的就是首先现阶段当然是会有一些是实现不了的就比如说我们的一些策划或者说是选题能力包括对于素材的选择什么的当然是的但是这些东西能不能被取代呢我觉得大概率是会被取代的但我们能做的就是说它出了什么新的功能我们就去快速地尝试和实践它
[00:29:18] 就是在我们日常的工作当中其实ChatGPT的使用频率还是蛮高的或者同类产品啊还是蛮高的已经部分取代了Google对我的作用或Wiki对我的作用那就是它以后有了新的功能的时候我们再去用到那个时候再找到自己有可能就是在它之上还能叠加什么东西我觉得只能是这个态度但是没有答案就这个水位吧就这个水位永远是会往上涨的就是你只是你只能保证你自己是浮在水上的
[00:29:45] 下一个问题应该也是一个小宇宙的朋友应该是一个北京的听友他这个ID怎么念smell sinner然后他提一个问题是现场活动可不可以以商业的视角评价一下商业就是这样这档节目呢包括
[00:30:04] 投入產出成本未來商業變現途徑畢竟相對於知識類的視頻節目播客的變現能力太弱了我看到的更多播客更像是個人興趣作品把它作為一檔節目真的可以長期持續嗎雖然已經高質量更新很久了給製作人點讚謝謝
[00:30:36] 这个问题是这样就是他其实也是问了两个两方面的问题一个就是你个人做过客能不能持续下去是后半部分以商业的视角来看商业就是这样首先就是如果那是不成功的吧以我们的角度来看的话商业就是这样这个产品不值得放在商业就是这样这个节目里面来分析因为它比较小也就是商业上非常简单就是撑不起30分钟这个量
[00:31:00] 所以我们就简单的介绍一下首先就是节目本身它不是一个独立的产品或者独立的一个经营主体它是属于我们第一财经上海第一财经传媒有限公司的然后现在在公司内部也没有独立结算所以说比如说他刚刚提到的这个成本也好收入也好
[00:31:17] 就是我们能够大致的来看但是其实没有一个准确的像就是我们给不出一个资产负债表和这个收入表就是三表我们是给不出的但是可以大致的给大家介绍一下吧就是首先是看成本我们的成本的话第一个就是制作费用制作费用就是每一期写这个稿子有个稿费后期的制作有个制作费用
[00:31:41] 第二个部分就是一个每年的年度制作费用就是比如说平台上的这个托管平台的收费每年会有一小笔钱第三部分的话是一个设备的折旧吧就是我们现在有一些那个录音的设备折旧大致上比如说这个录音设备我们加在一起是几千块钱
[00:32:01] 按照他十年折旧的话每年有个十年折旧有点太多了还是五年吧三到五年吧三到五年我想了想但我觉得这个话筒舒尔话筒还是蛮好的十年也可以你不要直线谈销不能直线谈销对但也就每年有个几百块钱这样再加上这一块的话就是我们的人力成本
[00:32:20] 因为就是岳老师现在已经不是我们第一财经的员工了但是董思哲我和葛老师都是领第一财经的工资的虽然我们不是全职的做播客但是播客是我们工作当中的一部分就是我们的人力成本里面应该也要摊出一部分来摊到这里面去但这个是多少也说不清楚所以这就是我们的成本的部分那收益的部分非常的简单我们收益的部分就是广告收入为主
[00:32:46] 就是刚才我们讲的三期节目是我们的就是收入还有非常小的一部分是在小宇宙上面会有那个打赏别说了吧两千块有吗这两天马上到两千了快到两千了你不是向大家要打赏的意思但是就是这个我觉得对于我们主播来说就是情绪价值是非常大的就是比如说我们可以看到有的听友比如经常给我们这个打赏他有的时候这一期打了多了就表示他对这期比较认可其实是看得出来的
[00:33:15] 所以我们真的非常感谢这是很小的一部分那么广告这个部分其实就非常简单就是合作的实价我们可以说的就是我们的节目的这个看历假如果大家有兴趣的话可以来寻但是就是会比行业里面比较贵的在行业里面比较贵然后跟同类型的这个就是比如说同数据级别的这个数据指的是收听量或者是订阅量等等的稍微贵一点点但是还好
[00:33:44] 就基本上就是这个数字然后那我们这个经营主体它的收入的上限是什么呢就是我们的这个广告的产能乘以这单期的合作价的均价那我们的广告产能我们一年是五十期节目我觉得我们能够做个五六期是最多了
[00:34:02] 就是我这个没有实现过我就是随便瞎理想瞎说的也是因为我们就像湘湘姐讲的它应该是属于某一个主体的所以我们也没有太多的KPI的压力对就是现在公司没有要求考核我们所以我们也没有这方面压力但是就是你单纯论这个节目的收益的话你可以看到如果是做定制的就是合作节目就是一期节目讲这个品牌这个品牌付我们钱的这种形式那其实是有一个明确的上限在的那如果来提高这个上限呢就是比如说
[00:34:31] 就是开拓新的合作方式比如说另外冠名或者说是付费节目这是现在比较常见两种方式但是现在暂时都没有实践看到比较那个好的实践付费节目其实我们都内部讨论过几下但是我们觉得我们并不想要为了要收费而做付费节目如果要做付费节目的话我们肯定是有一些我们觉得比较适合用付费这种方式来提供给听友然后内容上面我们比较有创作动力的才会去做付费
[00:35:00] 那就引申到刚才这位听友问的这个就是下半部分的问题如何能够持续下去首先就是我没有钱的这个压力所以说没有说因为赚不到钱或者说是要亏钱然后做不下去这个暂时没有只要月姐不发飙就应该可以
[00:35:15] 对所以就是只要我们愿意跟下去就可以跟下去对就是我们愿意的话就是一个就是我们有表达的能力就比如说我们的时间我们的能力都能够得上去去能够维持周更这个频率第二个就是我们还觉得就这个事情比较有价值的我们觉得跟下去所以这就是大致的回答
[00:35:33] 我们的问题已经回答完了交给观众吧我觉得我们太嘎了对希望跟大家多聊聊那我们自问自答的这个尴尬环节结束了大家有什么想跟我们聊的太嘎了就大家多说说吧大家就举手吧最好是提问就是不要花过多的时间说感想
[00:35:53] 对反正就是提问给我们一点回答的空间可以先自我介绍一下大家好我叫吴文强群里面也是叫吴文强的一个听友然后我想问约老师的问题因为肖老师在节目上有跟某一期节目上面分享到说当时是另外一个主播说的是你很难挖得动一个在第一财经上班的上海男人那想问一下约老师是哪里人
[00:36:23] 这是什么节目他怎么会说这种话有一期节目有一个嘉宾当时说跟反映如吗反映如吗不不我知道我知道那个三四期不是那个汽车那个价格战然后杨轩提了一句这个前因太长了对对所以你的问题是我是哪里人是吗那个问题真的很复杂渊姐讲一讲这个问题还就是确实是值得没想到你问到了点子上
[00:36:57] 可以说一分钟的一个回答就是我出生在北京然后七岁去的上海所以我的身份证号码是北京的身份证号码但是我的户口是上海户口还好没有到一分钟朋友们最主要就是两大超一线城市天龙人平方
[00:37:18] 那還有一個問題是約老師剛說不在第一彩京了後面會不會影響他的出席頻率或者是其他一些我前面就講了我們現在非常小心翼翼就是要舔他希望約姐在那邊也開心在我們這裡也開心我都開心還是約老師還是蠻辛苦的對 確實很辛苦這個可能會導致我們的製作比原來稍微緊張一點點我們再盡力彌補這個問題
[00:37:46] 几位老师好我是小宇宙上的听友ID是夏日摸摸茶然后在群里面是一个月亮经常看到谢谢我有一个问题因为刚才听到小老师有讲说未来可能会做一期关于大厂的这样的一个节目我本身也是在某一个大厂工作然后想了解一下因为大厂其实它分有非常多的业务线想了解一下大概想要做哪方面的内容从哪个方面作为切入角度这个想法我先说吧就是这个事情看
[00:38:16] 我们的能力范围我们能采到哪个部分先做哪个部分因为我估计一期可能很难讲完系列会做个系列谢谢完了吗补两句吧有什么要补充的吗对就是其实我们说的大厂就是有可能目标相对比较明确的是阿里啥字节跳动不想做吗字节跳动当然是想做的对但是难度会更大一点前面你说了最想采访的人是张一鸣
[00:38:47] 老师们好就是我想问一下老师们就是做播客的时候如果想要快速的了解一个行业的话那他就是获取信息的渠道一般是哪些我的好朋友Google但是因为我会在网上搜信息的时候觉得就是在百度呀什么这些上面信息的那个错误率是非常大的所以我的好朋友是Google
[00:39:20] 是所以这个其实没有什么特别的这个来源和技巧就是有很多是要就是努力付出的可能还是稍微有一点点天赋就是看东西快一点会好一点就是你同样看很多垃圾但是你过垃圾的速度也
[00:39:41] 包括我们之前正好在讨论的时候我们都没有用什么很厉害的效率工具都没有用过我们就使用Word和Chrome老师们好我是一个互联网的从业者然后也听你们节目大概两三年了非常喜欢你们的节目然后其实我也想问一个关于这种制作方面的一些问题我还是比较好奇比如说你们在做选题的时候
[00:40:09] 比如说你们的选题大概是一个什么样的流程是说大家一起去碰点子还是说我们有一些选题会泡到一个群里面或者怎么样其实还是挺好奇就是你们这个选题是怎么做的你刚刚说这两种方式都有可能就是有的可能是线下的就比如说比较常见的一个场景就是我们录完了一期之后就接下来两个礼拜我们录什么然后我们就会讨论一下
[00:40:32] 这是一种还有就是群里面我们会讨论就是像比如说大家的这个如果加入我们的听友群的话之前不是都会提两个问题吗其中有一个问题就是问大家有什么感兴趣的话题这个的话董事者也会定期的就是会发到群里面就虽然我们不接受许愿但是确实有的选题会受到大家的启发这也是我们的一个来源至于具体这个选题怎么展开的话基本上就交给当期写稿的那个人他想怎么展开就怎么展开
[00:41:01] 对大致上就是到了后期的话就基本上定好这个题其实我们已经确定了主题是什么我们一般都会先确定一句话如何来描述这期要解决的问题再来延伸下来这个是一个基本的思路老师那你们选题的时候有什么标准吗这个是很难的问题就是包括我们现在那个实习生的同学来报选题的时候其实我们也没有办法给他们一个明确的标准
[00:41:28] 以什么标准来确定这个选题能不能做但是一个选题过来之后我们可以马上做出判断这个选题能不能做我想问一个关于这个关于播客商业化的问题就是播客作为这个就是长内容并且需要思考或者半思考的这种内容来说和图文还有视频对于品牌来说它差异化价值是在哪然后还有一个是现在品牌它有没有对播客内容传播的效果有这种量化的评估的方法
[00:41:57] 这个应该就是波克这个产品本身的相对于图文的价值吧就是声音这个东西它比较长期它可能会让你产生一种信任感和亲密感一种陪伴感现在我们因为波克特别小众所以其实对于品牌的投放来讲它就是何尝不一世的感觉对它来讲根本占不了什么投放的预算就大公司里面它不会出现就是年度的计划里面
[00:42:24] 稳定的出现播客这个项目对 甚至不会播客可能不会在它的这个每年投放预算表里面但是它可能稍微允一点点别的项目的钱就能做这件事情它可以尝试尝试所以现在能够做这件事情的一般来讲也是比较跟消费者走得近的公司2C的公司会多一点效果上面的话它就是它不太能做效果它只能做品牌
