Vol.40 串台【井户端会议】：音乐剧为什么在上海爆发？
[00:02:36] 非常荣幸今天我们也是第一次邀请了一位嘉宾来参加我们的节目如果听播客的朋友应该也非常熟悉是多档知名播客的主播樊一儒老师大家好我是樊一儒欢迎大家收听商业就是这样的对听播客的朋友可能对樊老师比较熟的是景护端会议东亚观察局包括他最新独立出来的一档播客模独剧好看
[00:03:03] 但是如果是樊老师的朋友的话有可能对他的这个工作和他主要做的那个事情更加属性他其实是可以说是线下演出行业一个非常资深的同业者专家其实算小兵了算小兵进入这个行业因为最早我们是同行对
[00:03:21] 同事嘛根本就是虽然可能进入一才的时间好像不太一样我问约老师大概几几年进入一才的那我很晚了我是17年我是14年对我跟大概文杰差不多的时间我是给一才写稿是11年但回来进入正式入职一才是14年约老师进来的时候我已经就是离开一才了你们两个擦肩而过你的过去我没参与我过去也不在一才的然后是16年出来之后
[00:03:48] 才进入到这个算文娱行业吧然后有点线下的一些东西什么的等于到现在也是五年的时间所以今天的话其实我们请樊老师来更多的是请他以这个身份线下文娱行业的这个从业者的身份来聊聊这个话题为什么呢就是之前我们和樊叔线下聊的时候他就说到疫情之后这个线下演书的行业尤其是在上海其实经历了一个非常大的
[00:04:15] 可以说是起伏一开始是受到了很大的疫情的打击生存都有些问题但是最近这段时间尤其是今年非常的火热话剧音乐剧脱口秀等等live house这些形式都非常的火我们一方面是作为一个生活在上海的人一方面也是对这个行业本身比较感兴趣就觉得这个现象
[00:04:38] 从商业的角度还是蛮有意思的所以说今天我们就索性请樊叔过来也请他来跟我们科普科普讲一讲到底为什么会这么火然后现在这个线下演出的行业到底是怎样的一个商业模式到底这个火的背后是一个比较健康的生态吗能够继续进行下去吗然后过去几年有怎样的一个改善主要是这样一些话题
[00:04:59] 有个小问题因为线下演出的话就是演的形式有很多样前面也提到像脱口秀可能Live House也可以算比较传统像话剧音乐剧都可以算你觉得说哪个话题我们今天来讨论会比较合适一点或者说你觉得哪个类型更有代表性我觉得最典型的是音乐剧最典型的音乐剧然后我觉得可以聊几嘴脱口秀现在基本上脱口秀跟音乐剧上海就是全国中心了为什么是最典型的是音乐剧
[00:05:25] 音乐剧这个事情呢是说起来比较有意思啊其实他最早一波要追溯到2018年Q4的时候湖南卫视有档节目叫深入人心我很喜欢那一档那档节目是改变了中国音乐剧生态的于老师是他的大粉丝对的对的那这样我们就很有对话基础了就是因为那个那档节目36个梅西胡36子嘛对吧对就是36个音乐剧或者歌剧演员就是而且都是男生嘛等于集体火了火了之后呢当时有种说法嘛叫
[00:05:54] 郑云龙是魔都一秒难你知道什么意思你知道他当时演了一个音乐剧叫信还是东野鬼舞改编的一个音乐剧但这个剧就是质量我们不谈但当时开出来的票因为他是在《生日人心》之前就签了这个戏然后《生日人心》火了之后回到上海等于演这个戏的时候当时只要一开票就是秒光然后你看那个大麦的票板就变灰嘛叫魔都一秒难就有一个当时有这种说法就从18年年底开始突然
[00:06:22] 就市场上音乐剧市场就觉得说变天了大家开始觉得说怎么音乐剧会有卖光的情况据我知道就是深入人心在湖南卫视这些综艺节目里面基本上不算是最好但你要知道一点就是虽然音乐剧在中国是一个小众的一个市场但是一旦它落到线下这点热量是足够了
[00:06:44] 就是从大众媒体就是大众媒体你想他现在湖南卫视这种比如像皮哥浪姐这种节目他都是上亿的点击对他归到现象一场一个剧场坐满才千八百人就是你的转化率不用太高其实就能把整个线下市场给托举起来的确我觉得岳老师刚才说那个对的就是湖南卫视当时深入人心这个项目从湖南卫视本身加芒果TV这个体量来讲的话不算S级的一个项目完全不算当时他在策划这个项目的时候都
[00:07:12] 上上下下没有看好这个节目对但是因为它在小圈层里边特别火然后形成了某种社会现象可能很多人还没看过《生人心》都不知道这个节目但是这个大家去看一看很好看这个节目在尤其第一季在音乐剧圈层是特别的厉害然后是改变了整个生态这是要提的一点就是我现在在书里的就是说为什么现在上海音乐剧圈比较火这个话题第一个契机是《生人心》第二个契机就是疫情疫情之后
[00:07:42] 我们现在要承认一点上海的确是有一波就是说疫情后的一些基于上海城市行政管理的一个理念上的一个不一样吧我们只能说不一样啊上海其实是吃到一波红利的就是疫情后我指的是疫情后集中体现在线下就是说我们的剧场从去年吧去年我记得是5月29号我第一次疫情之后踏进剧场是5月29号
[00:08:05] 是上海文化广场看了一场那个拼盘的一个音乐剧的拼盘演唱会OK当时还是30%的售票但是从那个时候开始往后面上海没有停过一天就演出一直是有的没有停过剧场那很厉害就是从30一直恢复到50恢复到75恢复到100%最多有的时候疫情有点反复的时候回到调回到75但从来没有像某些城市就一下就取消啊什么都没有啊上海从去年5月到现在演出一直是有的
[00:08:34] 这是一波红利这个红利体现在哪里呢就是我之前在摩托剧好看采访过一位音乐剧演员他在北京演了九年音乐剧从去年八月份回到上海来演音乐剧然后现在挺火的一个音乐剧演员然后我问他我说你为什么从北京回到上海来呢有选择因为他从上海毕业出去的他说北京没有活啊要饿死了就是没活啊吃不了饭了
[00:08:57] 然后上海正好有一个音乐剧在招演员嘛他就说索性就回来了回来现在就离不开上海了就大量的戏找他所以说疫情后的一个报复性消费再加上上海城市的那个比较精细化的一个对于疫情的一个处理这是一波然后再加上18年的一波那个深润性我觉得这是两个主要的一个因素中间还有一个隐藏因素呢就是限韩如果让我总结的话可能就是从18年到现在
[00:09:25] 这三个原因可能是最主要的然后现在上海这边有那么火的一个前提条件这个火能不能给我们一个数字上的或者是比较
[00:09:53] 然后经常去推荐然后请一些演员来聊天什么的然后我有一个听友群就这个节目的听友群前两天正好我在那个群里边做了一个小统计
[00:10:02] 我们统计了一下就是2021年就今年今年上海仅上海地区出品和上演的新的国产音乐剧就是去年演过今年再演第二轮我们都不算今年新演的国产音乐剧你猜猜看有几部十部十五部很厉害我刚才已经是往很多算了对十五部是什么概念除了这十五部之外还有是比如说像那些比如引进版的
[00:10:28] 对啊就之前已经有引进版有引进版有很多对啊还有一些比如说可能是儿童剧我都不算了儿童音乐剧其实很多的我们都不算进去了就光今年纯原创的新的音乐剧仅在上海地区就15部这是一个数字那如果是疫情之前的话大概是个什么样的水平三分之一吧OK三分之一吧能有三分之一就不错了供给这个层面就多了很多就如果是因为疫情之前就是
[00:10:56] 国内音乐剧市场很多是韩国的成熟音乐剧版权的中文改编但是原创的就很惨原创几乎没有
[00:11:22] 学生都没毕业都已经有人要抢他们来演戏了就是从演员的表演的机会上面比之前多了非常多你想原来是很多学音乐剧出身的演员毕业没戏演要么去转影视要么转到话剧现在是很多话剧演员都要转来演音乐剧
[00:11:41] 这是一个现象这个是不是也和疫情使得很多国外的团体没法到国内来演出有关系对对对疫情让很多外国团进不来这个也是一个但总体上还是因为音乐剧火然后还有一个数字不是数字也是个现象就是现在报考音乐剧专业的小年轻比原来数字成几何级的增长就是录取比例变低了尤其男生尤其男生
[00:12:11] 刚才其实樊叔基本上给我们介绍了一下这个火的背景或者是给听众朋友们有一个概念为什么我们今天要聊它是成为一个现象了从我们节目的角度的话接下来就需要樊叔来给我们科普一下了从我们最基本的观众的概念就是它的收入主要就是由门票来形成的那从生产一部音乐剧的过程
[00:12:34] 需要哪些角色然后他们分别是扮演发挥什么样的作用然后在整个的收入当中他们是怎么来划分蛋糕的其实音乐剧的生产无外乎我觉得就是四个部门或者说你可以把它理解为四个流程一个就是前期的策划出品阶段后面的就是主创制作阶段然后就是宣传宣发阶段
[00:13:00] 和最后的一个就是销售的票务回收阶段无外乎就这么一个流程正好这几年也有参与过一些音乐剧的一些前期的一些策划然后也跟过各个阶段我都跟过有点小观察一般来讲的话就是主要是出品人主要是要有钱要有金主要有金主愿意做这个东西但是这个市场上蛮有意思的就是我个人觉得中国现在还缺乏比如说我们好像说不出
[00:13:24] 一个除了国有乐团之外我们说不出一家那种比如说民营的团体叫它想名字的比如说像日本也不知道剧团四季对吧这种对吧一个原因呢是这个市场呢还是比较散就是很多出品公司还是小型的那种出品公司而且大家也是这两年刚刚开始发力做说老实话也有一些资本是没有长期主义的就是觉得音乐剧火了来搞一搞就像当年他们投电影院是一样的那种东西
[00:13:52] 现在的确还是有这个现象但不管前端总归是出品方出品公司愿意做或者说他自己外面有别人愿意投然后又传这么一个东西在市场上他们有谈到一些要么找到好的编剧来传本子比如说像今年六时刻这家公司做了两个戏一个是去年迷雾剧场爱奇艺迷雾剧场两个IP
[00:14:15] 隐秘的角落跟沉默的真相它就非常典型的就是去年的国民级IP然后它过来改编成一个音乐剧然后老板啃头就觉得说这个可以做然后就做起来了无外乎就是找编剧把原来网剧的本子改成音乐剧这是前端的一个东西
[00:14:34] 中期呢就是找到合适的导演制作人然后编剧然后音乐剧的话就还要找到一个作曲作词这个很重要就歌好听是听音乐剧是很重要的一件事情还要找到合适的挑班的主要演员因为现在这个行业因为火嘛最火的这几个演员就非常忙着就是同时要同时要尬很多戏啊现在都有这种情况了要尬戏的原来都没有听说过这种什么音乐剧演员还有尬戏的
[00:15:04] 现在都有尬戏的一般来讲的话就是这可能涉及到一些行业的一些潜规则了但是没那么浅就是说一般来讲的话出品方在策划的时候都会先敲定演员就是他把后面的一些确定性先定下来这个策划当中首先您刚讲的就是有可能一个剧本已经比较明确了或者说是有一个明星一个主要的演员已经确定了对我们想做什么戏然后这个戏可能有一个角色特别适合某个现在的演员然后这个演员就是
[00:15:33] 虽然很忙但是我们提前跟他聊对吧但是这里边又涉及到一些比如说票舞的大会可以聊到一般来讲现在的情况如果你是一个投资规模比较大的戏的话大家会倾向于找一些市场反响比较好的一些演员因为这些演员自带流量自带粉丝的话本来就可以保障一部分的票房收入了所以说现在演员的这一块也很重要就我参与过一些策划阶段的会的时候基本上大家就
[00:16:00] 排来排去就几个名字就是这个人要找到这个人找到这个人一旦找到的话这个戏大概就有底了或者怎么怎么样现在演员这一块也非常重要后面就是那个宣发宣发这一块现在是一个弱点说老实话戏剧的一个作品的宣发费用跟电影还是不能比的这个能够大致给我们一个数字的概念吗差两个零有一些电影如果重头的话千万级的宣发很正常
[00:16:26] 但现在因为有很多戏剧自媒体
[00:16:51] 新居资媒体有些人为了内容什么的可能车马费都不收他们大概过去拍点什么东西什么的这是比较传统的一些打法然后还有一些比如说现在搞一些活动比如说探班媒体探班看排练或者说搞一些主创跟观众的一些对话线下的一些活动但也仅限于这样了听上去确实是都不太需要花钱的东西你比如说你在地铁发广告
[00:17:15] 人民广场那种声通的那种地铁广告一个就几十万你这个系预算才多少当然不排除有一些大的项目比如说那种千万级投入的一些戏剧它可能有个大几十万甚至上百万的宣发而且这里边有个逻辑上的问题
[00:17:32] 因为电影是一个大众产品吧大众消费品大众型的文化消费品就是你在商场做广告你在地铁做广告还是有效果的但戏剧这个东西本身就很小众而且它的入门门槛又很高一张票两三百本来消费者群体就没有说那么大所以说你在那种大众的那种平台投放广告其实效果有限所以说这里边也有一个非常纠结的一个部分所以说宣发这一块是他们的现在的一个行业的一个痛点吧
[00:17:59] 好像也有一个痛点刚才其实也有讲到那个门票的问题后面其实我们还会继续的展开就是关于整个投入的成本这个我想问的更仔细一点前面樊书记已经提到个数字说千万级有可能是于一个音乐剧来说已经是一个很大的投入了对的一般来说一个剧比如说出品方要去投大概是一个怎样的规模四五百万吧四五百万四五百万吧那这个里边这个四五百万大致是怎么来分配有几块钱花进去主要还是厂租跟
[00:18:28] 人的钱就主创费用演员费用然后厂租这两块是最大的大头厂租大概会要占厂租现在上海厂租都不算贵的北京厂租是上海厂租的据说是1.5倍对的因为各个城市情况还不太一样上海现在因为真的在朝亚洲演艺之都这个方向在努力各个方面大家都有意识的在扶持比如说上海黄浦区有演艺大世界这么一个组织然后经常会出补贴票
[00:18:57] 他会出补贴票虽然那个票面价值是380但是我贴你一下你只要花280就能买到这其实对市场是很好的一个一个帮助的一个作用但是整体上来讲厂租还是很大的一个大头会在里面一半左右整个的一半不到的一半是不到的而且人的费用会很高比如说你那个越大制作的规模的话你比如说演员要多吧演员的费用然后比如说你大规模制作意味着什么
[00:19:23] 灯光无美布景这些都是如果是又是实景的话就会很贵嘛这些东西都是硬成本硬成本打不下来的因为你只有而且戏剧这个东西排练对吧我们在聊的前两天我去看了一个年底要上的一个原创的一个音乐剧人间诗歌的一个彩排他们在排练我去探班嘛就真正排了三个多月
[00:19:45] 要排练排三个多月当然那个天天排吗天天排这样的话时间长的话就是人工包括场地的时间对啊然后你还要吃喝拉撒的钱都要你出品方式
[00:19:58] 包在里面的这个是一个很重要的费用然后再往前期倒比如说编剧要有的编剧的费用作词作曲都是有费用的如果你是一个买来的IP的话还有一个IP的授权费用比如说之前他们白夜行甚至要给日本人东野鬼舞费用这个也是一个前期的一些费用但是我个人感觉重头还是人的费用跟厂租
[00:20:25] 这个重头大概可以占这两块这两块可以占一半以上了占一半以上比如说在千人级剧场你要演出的话基本上四五百万是个门槛再小的话又不能是小剧场你在小剧场的话可能可以更便宜一点稍微科普一下一般来说在这种舞台剧的不管是话剧还是音乐剧里边千人的剧场是一个
[00:20:47] 大家可以算它是一个标准对吧千人算大的了就算是大的概念了小剧场有可能就是一两百人那种这么算好了就是上海现在比如说主流的几个音乐剧的一个平台表演的最大的上海大剧院跟文化广场都是一千八到两千人左右大的剧场这是很大了已经一般很多的比如说像共舞台人民大舞台对对对然后像那个一海
[00:21:10] 一海现在叫樊寇一海艺术中心或者像美琪这种它都是在千人左右上下一点千人上下一点然后再小一点点的比如说上徐家汇的那个上剧场赖神川他们的上剧场大概有七八百的样子再往下就是偏小了就是五六百这种就偏小了一般来讲的话就是中间那一档就是共舞台人民大舞台
[00:21:33] 就是《一海》这些现在是比如说四五百万投资以上的那些剧的话可能会在那边做会比较好一点讲到这个剧场的话我想插问一个问题剧场会不会主动的参与投资出品剧目会的文化广场就特别明显文化广场这十年今年刚过了十周年的庆典
[00:21:56] 他是很积极的在做音乐剧市场的一些生态的工作的比如他参与一些投剧本啊孵化剧本啊投戏啊甚至有些戏可能不在文化广场演但是他会前期介入在里边那他为什么要做这个戏我觉得这是趋势未来剧场的品牌化和他的专营化会是一个趋势现在文化广场就是上海的音乐剧的一张名片大家对他是有认知的而且对他的戏是有一定的认可度的未来上海剧场肯定会越来越多的
[00:22:25] 你想光我知道的上海现在前滩在造上海大哥剧院对北外泰南富士边上也在造一个上石剧场好像也是1800人左右的音乐剧的音乐剧场这还是我现在能说出来在动的好像虹桥也要造一个对吧然后什么徐河滨江不是有一个剧场本来是有的梦中心对吧本来黎叔黎叔参与的对还在有据说有好几个剧场对一个群你想
[00:22:48] 剧场多了之后它势必面临一个剧场之间的内卷那你要怎么做呢就是比如说你是什么戏都接当然是一个活法什么戏都接但是有个问题就是说大家打价格战了
[00:22:58] 对啊就是说你总归得运营下去吧什么戏都接或者说都去外面抢内容来的话无外乎就拼谁服务好然后租金便宜有一个活法比较高级就是说我主打我的品牌认知就现在文化广场切的一块就是说看音乐剧看大型音乐剧到文化广场前几年因为影的都是一些马蒂尔达魔法坏女巫啊什么我都是在文化广场什么看到的嘛就是
[00:23:25] 他可能是一个战略性的考虑做这么一件事情然后这个事情现在有点是十年过去之后有点收获了开始有点收获这个我觉得未来是个大趋势新的剧场都会这样我们比较熟悉的伦敦戏剧场或者百老汇基本上也是剧场或者是他和他的招牌的一些是墙榜地我觉得这就是戏剧跟电影不一样的地方就是剧院有很大的能动性剧院你前期介入一些剧目的孵化其实对你有好处
[00:23:51] 我们从来没有听说过所谓电影院去孵化电影的除了非你是院线比如说万达这种你是又生产电影又卖电影一个集团现在我觉得剧院深入到一些品牌认知的这种打法是越来越多了我刚才还漏说一个剧场是中国大戏院在牛庄路南京东路靠北一条叫牛庄路下面有一个中国大戏院它的一个打法就是说是一些先锋实验性的一些话剧什么的会在他那边演
[00:24:20] 因为他请的是田庆新做艺术总监对吧这个就是他们的品牌化的一些意识现在我觉得未来肯定会越来越往这个方向走对啊理解了刚才其实基本上都是产出的这个角度要说钱了的赚钱了的总要回收吧对大几百万投进去了账怎么算回来的我们以音乐剧为例子的话主要还是说票款主要还是票款回收但是它有一个就是说不同的玩法是在于是说比如说我是一家
[00:24:48] 上海这边的音乐剧出品公司做了一个剧出来然后这个剧在上海演了一轮了一般来讲这一轮能收回能打平就是属于很好的成绩了一般戏剧一定要靠二轮三轮多演吗这个一轮是只有多少场这个不一定一般比如说在十场左右比如说演个两周为什么是这个一轮就是只能演这么一段时间他为什么不能一轮可以演因为你口碑没起来的时候你也不敢放太多的
[00:25:14] 那个场次出去一场也是场租啊那两周是可以把这个事情试出来吗两周的话一般会有一个口碑会出来了然后你在两周演的时候呢就我们一般人之第一轮首轮能回收就已经很不错了但是有一些公司呢你比如说像那个今年谬诗科啊因为张老板是一个比较胆子比较大的一个人他今年那个《隐秘的角落》37场一开开37场《沉默的真相》53场
[00:25:40] 两个戏加起来90场戏然后他都开在共舞台基本上他为什么敢这么做就是一方面胆子是大第二方面他会对这个IP比较有信心然后演员也不错所以这个是出品方可以前期的时候自己来调整或者是对这个市场有个预判他来定这个预判是很重要的一个预判第二个就是说你要找到有档期的剧场有些剧场你看中他他人家没有那么长的时间放给你就跟电影的档期一样不是就是说
[00:26:08] 他都排满了因为剧场一般会做前期的一个排比如说今年他现在可能已经在做明年这个时候的那些戏会进来什么的一天我比如说周六顶多就是两场然后你还有装台卸台呢不是说你这个演完后面一个我也能演别的戏我这段时间就只能给你
[00:26:27] 一般来讲就是除了像那种特别极端的比如一开开很多的一般来讲演个十场第一轮演个十场他在剧迷圈里边口碑有个发酵在媒体里边口碑也发酵还有一个就是在外地的剧院或者说院线方有一个口碑发酵就是一定要打到外地去因为你巡演的话巡演很重要全国巡演很重要当然因为疫情情况下比较复杂这个事情但是我们可以讲疫情前一般来说他这个模型就是说因为现在有个情况就是中国这种
[00:26:56] 舞台剧的那种出品除了北京上海很奇怪就是没有第三个城市能做得出来了
[00:27:04] 就是从头开始传一个剧的项目这件事情都只在上海和北京两个城市发生我们不说百分百吧基本上这个局面就是这样了因为我惊讶的发现哪怕像广州它现在很难出一个文化产品是有全国影响力的它可能出一个什么戏是在岭南地区很有当地的一个影响力但是它没法北上的
[00:27:29] 但是上海出的一些话剧跟一些音乐剧什么的是有全国辐射能力的北京也是有全国辐射的现在尤其舞台剧这一块就北京上海是有全国辐射能力的别的城市我不说百分百没有但是可能就是相对会比较少一点个案比如说之前蒋公的面子这种对会比较少同时还有一个现象因为全国现在第几市以上都是在造大剧但是没有内容没内容OK
[00:27:55] 我上次不是跟你们同事一起去景德镇我们住的酒店边上就是有一个英国设计师设计的一个叫桃西川大剧院我还进去看了一下人家的节目册整个Q4三个月没几场演出但剧场造的特别漂亮剧场对于每个城市来说有可能是这几年的一个城市景观或者是城市面孔建设项目这里边就牵涉到一个舞台剧市场的一个重要的player叫宝丽
[00:28:22] 保利剧院不是全国各地一大堆吗然后他造到后面造了一堆之后他有一个优势他有所谓的保利院线这个概念在线下的舞台上面也有个院线概念对再回到那个模型在上海比如说有个戏比如说我们三个人做了一个什么戏然后在上海某个剧场演个市场口碑不错然后其实中间会有那些
[00:28:42] 包括保利在内的一些采购商会来看的或者他们自己看口碑看完之后觉得可以了然后就帮你谈怎么谈比如说我们瞎讲比如说他我全国保利就是你给我20个城市20站20站比如说一个城市演三场那就是60场60场打包我买你
[00:29:02] 这个打包什么概念呢就是我们出品方是不用去管那个那些城市的票务我反正拿的就是一个秀费嘛他们就所谓买秀嘛我买的是一个就是说就是等于把这个内容产品卖给你保理了然后你给我一笔钱这个呢跟票务其实概念上不太一样但是其实总归是一个收入的一个东西现在很多上海这边出品方他是上海市场是他自己主控的
[00:29:24] 他要把那个票物捏在自己手里外地可能就觉得说反正我已经打平了或者说已经差一点就能赚了然后我就卖给那个外地的采购商因为对一家小型的出品公司来说你要到一个具体城市去做宣发做票物是很费了人力的一件事情他人家会觉得很麻烦所以说就可能会跟保利这样的一些院线进行合作
[00:29:46] 宝丽对她来说她也很开心就是说她造了那么多剧院她对当地政府都是有承诺的每年我造完我不能光造完就走了你要有演出对你要有内容然后对她来说她打包买肯定也会便宜一点相当于就是有可能打包的平均到一场的价格
[00:30:04] 相比较如果你这个一个剧场全部都坐满的话那个票股肯定是它还是赚的保利还是能赚或者说即便不赚这里边就牵涉到一些各地政府其实对于文化内容也是有扶持的这个扶持落在谁手上也是落在保利身上哪怕亏一点也无所谓他反正每年都会有自己的一个左口袋都有口袋的一个区别
[00:30:25] 这个是很经典的一个音乐剧的一个出品到盈利的一个模型主要是这两块了然后你就是说周边销售这一块我觉得上海这边在逐步的形成一种就是说音乐剧周边销售文化有点要慢慢要起来那个感觉但是现在还是一个问题就是周边的销售你从设计从出货它也是需要人力铺下去的对于一些出品公司来说除非你找到合适的合作方不然让他自己做的话他最多做做帆布袋
[00:30:54] T恤啊然后徽章啊然后场刊啊也就这样了它可能跟日本那种非常丰富多彩的那种周边文化还是有点距离但是上海现在也在开始做这个一旦起来的时候会是对剧方是一个非常好的一个补充基本上就这三块对周边这块的话如果是像刚刚房叔讲的有越来越多的演员他们有一定的像idol一样的这个号召力的话其实是这块衍生的
[00:31:22] 这个空间特别大你像保肿对吧就是很明显的对的当然这个是得你有更加多有名的演员之后要市场越来越趋向于成熟之后各种各样的可能性才会出来我其实是想问一个问题就是比如说我们说一张票380这个380是怎么定出来的是拍脑袋拍出来的吗还是说大家商量说觉得这个是比较好卖的还是怎么样票物的定价问题首先是有一个整体上的一个成本的一个预算成本的一个推算然后根据这个
[00:31:51] 成本然后往上来推但比如说有一些比如说你圈到一些好的演员知道这些演员自带流量什么的那自然可能会往上再定一定我们举个例子比如说你这个戏里面有一个特别强大的影视演员或者说idol下来演了你知道他肯定会有很强的一些就是核心粉丝一般的做法就比如说
[00:32:13] 最高票价你可以往上订一点因为这些粉丝你再贵我听说都有人比如说必须要前排对对对某演员不是演赖神川的某个话剧不是在武汉站卖到一万一张黄牛票但是票面卖不到那么高一般来说会把VIP票订的会比较高一点收割一波一般来讲的话
[00:32:37] 然后至于那个具体票价比如说8比较好听380 280
[00:33:04] 580你说这个你订590也可以560也可以就是580会比较好这个是行内的一个已经习惯了这种东西那档位是怎么定的就比如说它滑票板对就是每个剧场会有一个所谓的票板就是座位图然后哪些位置会就跟飞机也是差不多的对会然后有一些滑的会比较良心一点的所谓良心一点就是可能就是二楼可能会比较偏便宜
[00:33:31] 但有一些可能没那么良心二楼的靠中间一点他可能都划他一楼的某些后排什么的这个就个人拍脑袋的东西比较多一点而且完全看出品方的出品方的意愿了我之前有合作过一个活动因为那个合作伙伴他原来做韩团的活动比较多可以说定价定太高因为那个其实是个日本明星的一个见面会
[00:33:52] 后来我一直劝他我说日本明星的见面会没有定那么高的对吧但是他因为做韩团习惯了然后就后来事实证明是失策的战略错误就没卖那么多卖不太动因为对于喜欢日本的明星的一些人不是说他们消费习惯的问题而是说根本就不是这个行情对吧然后那个韩流几年前特别红火的时候真的是
[00:34:19] 非常夸张的价格都卖得掉所以说定价是基本上定价也没有一个非常强烈的一种科学的算法这种东西还是看感觉的这个定价或者说这个门票收入怎么来分配大致是一个怎样的规范因为你前期都把钱都花出去了基本上就是说票款里边最多的情况就是给大卖这些平台
[00:34:43] 一些票点嘛比如说猫眼啊大卖啊原来比较多的什么格瓦拉啊什么就是现在大家都平台就好像都收敛到大卖上了对吧就是一般会给这些票物代平台一些反点大概是个什么样的10%吧你这么理解吧10%到15%这种感觉要看怎么谈然后要看绑定是不是很深深度比如说你380的一张票到大卖他收个票点就是38 40这样
[00:35:07] 这是一种还有一些现在比较多的就刚才我留个扣子就现在有一些演员是可以分票房的他可以直接参与这个原来是比如说一场比如说两千三千这种他现在如果是一个非常头部的一个音乐剧演员基本上就可以分票房那就另外签合同了
[00:35:25] 就是他不是拿固定的这个固定之外再分票房或者说全分票房或者两个谁高去哪个这个是商场像商业地产的租金一样对现在就是说演员能到这种溢价能力了那他这个分大概这个就不一定了不一而足了不一而足了看比如说你到底比如说有些演员他自己判断说我能带来多多少的那个
[00:35:52] 因为对于出品方来说卖掉才是就是你是要不过分你只要能帮我都卖掉然后我不亏钱然后怎么怎么能把它赚到钱都好商量所以这个现在还是处于刚刚火热起来的一个新的现象对因为几年前音乐剧也都没戏演现在能分票房简直是梦幻般的一个情况了理解其实我们刚才讲的比较多的都是音乐剧的这个概念我想了解一下从你们演出行业来说音乐剧
[00:36:19] 从我们的感觉音乐剧话剧live或者说是比如脱口秀感觉不同的演出其实规模或者各个情况都不太一样的你们会怎么来分类如果从人群来分的话我们一般会把音乐剧跟话剧分在一起放在一起是因为他们的售价大致比较他们的客群重合度会比较高一点就是听话剧也会去看音乐剧对看话剧的人就是说不排斥会去看音乐剧但这里边还有点区别就是
[00:36:48] 音乐剧现在的观众普遍更年轻你如果现在你去上海安福路上海话剧中心你去看一场话剧的话还会有一些引法族前两天不是在演商鞅吗商鞅96年的戏今年我去看的时候现场有很多老年人因为他们可能25年前就看过音乐剧进中国也就20年的事情差不多对啊也就20年的事情上海算第一批当时我小时候什么
[00:37:13] 猫啊剧院魅影啊什么的所以说他没有像话剧这样在中国有那么长的一个沉淀跟传承所以说他的那个剧迷圈层也相对更年轻一点尤其再加上最新的那一波就是我刚才提到那个18年那个18年那个生日之后当时有一批高中生大学生才开始关注到那个音乐剧就是湖南卫视的受众了对对对湖南卫视受众还有一个就是我这两年遇到好几个
[00:37:40] 一个例子就是一些高中女生外地的很喜欢到上海来看音乐剧他们水平不差的有些都是要考A level的因为音乐剧给他们感觉会比就是我是指他们的想法我这里边不带任何价值判断音乐剧给他们感觉就是会比追那些idol更有艺术的欣赏的门槛他们是这么跟我说的这么跟我说的
