Vol.259 猪周期变了
[00:22:58] 我觉得这里动机就比较复杂了比如说有这种稳价保供的这种任务还有这个产业升级的这个战略考量还有就是我趁乱买一些优质资产这种商业逻辑还有就是更大的比如说什么稳就业保税收就有很多不同的方式的需要但是不管动机是什么造成的结果是一样的就是企业在财务上死了但是猪场还在那里猪还活着
[00:23:22] 简单小结一下以前的猪周期它这个剧本的就是破产就等于产能的真的消失了然后供给就会收缩价格就会上去它是这样一个弹性现在就变成了破产换个老板然后继续养这个产能并没有收缩猪还活着
[00:23:40] 那讲完了前面两个影响猪肉系的因素一个是养殖的规模化还有一个就是初清的失效接下来我们讲第三个因素就是说实话与其说是负面因素不如说是一个农业的进步怎么讲给大家讲一组数字的对比就是从2021到2026年全国的能繁母猪大概减少了660万头总体的按照传统逻辑就是母猪少了小猪也该少对吧但是同期全国每年出栏的猪
[00:24:09] 一直是维持在7亿头以上在2025年甚至还在增长就是母猪跟这个小猪之间这个比值这个函数的这个参数变化了就是本来是一个就是同步下跌结果现在变成小猪逆势上涨为什么呢这里我们要介绍一个关键指标叫PSY
[00:24:30] PSY有一个非常长的它不是歌手是吧不是它的全称是每头母猪每年提供的断奶子猪数量OK就是一头母猪的年生产力就是它的产能的效率差不多在2015年左右中国PSY的均值大概是15到18就是每头母猪每年可以养活
[00:24:55] 15到18只小猪对对对但是到了2025年这个数字已经提升到了24以上我长这么多吗这50%60%的这个长幅这是英雄母猪的一年OK所以是什么情况呢是水平提高了对这个里面确实有具体的这个技术进步在推动比如说中国农业大学有一个团队搞了一种叫做母猪批次化同步扩繁简单来说就是通过药物调控让母猪同步怀孕同步产生然后
[00:25:24] 压缩中间等待时间这个技术在国内6成以上的养猪企业都已经推广大家都在用这个方案这么精细化的管理母猪生产这件事情所以根据你刚讲这个数字的话大致可以这么说现在4000万头母猪的供给能力实际上跟10年前的5000多万头是差不多的
[00:25:43] 所以我们前面说就是能反母猪这个先行指标现在就不是太好使了就这个参数变化了对就你这母猪数量确实在减少但是每头母猪就已经变得越来越能生了这个供给量其实就是很难压下来那除了PSY以外还有一些新的模式在加剧这种隐形的增产比如说有个说法叫做二次育肥就是有些专业的育肥户会批量收购那些可以出来的一些猪然后多养一阵把它这个猪的这个体重拉上来然后再去卖这个
[00:26:12] 赚的这部分差价但二次预肥我觉得不是一个新鲜的事情对啊这个事情本身不新鲜但是这轮里面这个规模明显上来就是猪价但凡涨一点就是人拥进来把这个猪吞起来二次预肥这个价格信号又搅乱了其实传统这个出篮节奏就是被他打乱了因为二次预肥他这个节奏比较快是吧他就可以看到这个信号就是快速的进来一波是的
[00:26:35] 据说还有一种更新的模式比如说在山中出现了400个放养团队就是批量去买那种怀孕40来天的母猪然后放到专业的繁殖场里面去产宰断奶把整个管理猪的周期压制到的一个多月最后是连同母猪和子猪一起转手卖掉据说这部分的小猪供给已经可以占到山东全省出来量的一半左右这些所谓的放养团队是结了过去周期里面的一段时间
[00:27:04] 对快进快出只做这个部分OK这个事情本身也没有什么特别的但这个问题在于就是母猪原本是放在养殖场里面它是一个类似于固定资产的一个就全都是养殖场来背这个资产就是大家可能听过一个经典的审计笑话就是我当时第一年把我派到猪场去点猪对吧就是这个其实是一个可以统计或者说至少是可以算的一个东西但它如果说
[00:27:32] 从这个传统猪场流出去了变成一个游击队手上的流动资产的话其实在统计层面就很难快速捕捉到说这个市场的变化但是呢最后又实实在在给市场输送了那么多小猪嗯那所以我理解这其实是一个统计层面的一个干扰对那等于能反母猪存栏量这个指标它从技术本身就是个实际的参数还有就是统计的口径这两个方向都开始失效了那么要用这个
[00:27:59] 指标来预测未来的市场上到底会有多少猪就会变得越来越困难了
[00:28:05] 那到这里呢我们已经讲了三个影响此轮猪周期的要素啊第一个是规模养殖第二个就是出清失效就是破产了之后这个猪本身没有少第三个呢就是隐形的增产这三件事情叠加在一起呢就基本上解释了为什么这一轮猪周期它底部如此的漫长那你约老师你还说还有最后一个因素是什么最后一个因素就是金融产品这个有讲到我们熟悉的农产品期货啊来吧来吧
[00:28:31] 2021年的1月呢生猪期货在大连商品交易所正式上市这个其实是中国首个活体交割的期货品种我记得你讲过其实生猪期货这个东西不是全球很多有的对就是还是在主要的市场会比较受欢迎吧也就是说这个一头猪可以像筒像大豆像原油一样在期货市场上重新被定价和交易
[00:28:55] 其实我们在讲农产品期货那些节目里面聊过期货的这个基本逻辑其实就是八个字套期保值和价格发现今年期货市场我们真的已经来回讲了好几遍大家肯定都已经懂这个东西了生猪期货理论上它是期货那也应该是说比如说帮助这个市场的参与者就锁定利润降低风险对啊这个特性听起来很好所以它铺开的速度非常快可以看到有一家叫做中基商贸的生猪贸易商
[00:29:22] 它2024年通过期货交割的生猪还是20万头出头到了2025年就已经超过了150万头这个市场规模就是扑开的速度很快但是呢这里又回到了跟规模花样是非常类似的一个问题就是生猪期货的优势主要是被大企业享受了比如说牧原我们还是说牧原牧原2024年通过套期保值在每头猪身上就多赚了50块牧原一年出栏量是7000多万头
[00:29:50] 德国这一项就多赚了好几个亿而且可以看到目前年出栏量百万头以上的大型珠企大部分都参与了期货交易而且从中有所获利
[00:29:59] 但我觉得这个还是很奇怪如果你从单纯的理性的逻辑上面来看的话因为前面已经讲了很多大型企业能够更加扛波动的或者更加用规模化养殖等等方式能够扛住亏损的这种情况它本来就已经更加稳定了然后中小的养殖户才是应该需要期货这种方式能够比如说套其保值尽量让自己的损失或者未来收益能够控制下来的这些角色他们为什么不去
[00:30:24] 搞这个呢我觉得这就是理想的期货市场交易和实际的期货市场交易的区别就是理论上中小养殖户也可以参与交易但是他们的实际操作门槛就是非常的高因为生猪期货的一手合约是16吨16吨大概相当于130头猪而一个小户可能连出来的也就是几百头他一手下去其实就相当于他可能半年的产量了这个我觉得跟前面讲的这个产能其实是一脉相承的就是比如说你账户里面只有
[00:30:53] 1000美元你想买800美元一股的美光现在都不止800美元不止800美元你就没有操作空间了对 就是你的仓位很难管理而且期货交易就是像一般金融产品一样它需要保证金你需要盯盘你还需要理解复杂的规则这个其实对于现金流本来也比较紧张时间也很紧张中小货来说也是一些额外的负担即使它真的走到了实物交割这一步
[00:31:19] 可以发现这个交割库本身还要门槛它其实要求就是说你参与这个集团存量量不低于10万头你其实中小户就到这一步你就死了你其实只能做那个账面的交易你不能做实物的交易了那等于实际上这个现在的深租期货就是for大企业的对就是有点像是为大企业量身定做一种金融产品而不是一个全市场都能用来保护收益或者平稳价格普惠型的工具OK那简单而言呢就是这个深租的期货实际上是
[00:31:48] 帮这个大型的这个养殖企业又多了一道的保险吧就让它能够更加稳定的扛这样的一个价格底部的这样一个情况讲到这里呢我们基本上把这个就是影响或者说扭曲此轮诸周期的主要的因素都梳理完了啊但是我不知道大家有没有发现其实岳老师刚刚讲的这四个点它都属于是供给侧的变化围绕的都是大型的养殖企业或者是养殖户在讨论他们的一些聚集变化
[00:32:15] 就感觉我们消费者这一层就是单纯的就是买猪肉吃猪肉没有什么变化对吧
[00:32:20] 其实也略有变化比如说可以看全国居民人均猪肉消费量这个数字其实是在缓慢的下降的这里面有很多原因比如说老龄化加速可能就没那么爱吃肉了或者说禽肉和水产品替代甚至短期有一些牛肉进口量增加等等都会有这个影响比如说牛肉这个点可能大家就有点感觉就是猪肉是便宜的但是牛肉好像便宜的更剧烈一些所以有可能有一部分消费就转向牛肉
[00:32:46] 因为我们前面讲那个参数的变化对吧都是供给单的这个参数的变化其实如果你简单从供给关系上面来看的话如果你需求下降的话这个价格也更加不容易就是很快的提升对不过今天这期节目呢我们大部分时间还是讨论供给端为主主要还是因为供给端的结构性巨变就是更大也更加不可逆我觉得这个可能对于未来的影响也是会更强的
[00:33:10] 以前猪肉期还是靠散户驱动猪家长了就多养猪家跌了就杀母猪散户决策快转身快退出也快所以说整个周期就变成一个三四年就能自我修复的一个循环但是现在这个链条的每一个环节都被削弱了规模化不会倒退回去你也不能要求母猪一年只生15台小猪已经冻起来这个期货交易市场也不会自动消失这个都导致了猪肉期的变化它从一个有规律的周期波动变成如今长期磨底的一个状态
[00:33:38] 我们看到其实政府也试图干预这个局面就是有的时候他们想要控控这个上限有的时候也想控控下限比如说能反母猪的规模其实是有一个指导的标准的最初是定在4100万头当然最近已经降到了3750万头说明大家都知道其实产能实际上确实就是过剩了还是需要继续去掉一部分
[00:33:59] 虽然这轮诸周期就是变得很怪异但是我认为这还是一个变形而不是彻底的变化就这轮诸周期可能会变得更长更顿底部的更加粘质不再是一个三四年就能走完的一个比较好的一个波动周期了但是这到底会产生什么长期影响呢我觉得还是要等到这一轮新的周期走完才能有答案
[00:34:21] 无论如何那个小养殖户养猪杀猪的拍脑袋决策就能影响到全国人餐桌上烧什么肉菜的这个时代呢可能已经过去了商业就是这样
