Vol.101 国产动画电影，一直在“崛起”
[00:07:46] 这个为什么这么辛苦要花这么长时间呢背后其实就是一个产业链没有跑通的一个问题所以彩条屋它在投完这么多公司之后一个最重要的工作就是要理顺这个产业链理论上都是成为一个产业链了这个还要理顺吗我觉得这边有必要给大家科普一下就是简单科普一下就一部动画电影到底是怎么诞生的以及它要花哪些钱先说这个花钱的成本这个问题
[00:08:14] 一个基本的概念是其实动画电影和真人电影它的总体成本在同一个档次里面的话是比较接近的一个中位数在国内可能是一亿元左右也不是很便宜的作品对一亿元其实在真人电影里面也算是比较大的制作了在国内你像在好莱坞的话有可能是一亿美元就这样一个水平差不多的但是动画电影和真人电影他们的成本结构是很不一样的在真人电影里面就是演员的片酬比例比较高
[00:08:42] 尤其是比如说爱情片这样的一些类型里边它的片酬占整个成本的比例可能超过一半
[00:08:48] 而在动画电影里面呢演员的偏程是零对吧没有演员所以它的大头是制作的成本那这个制作成本究竟是什么制作呢这个呢就要讲到动画电影的一个工业化的制作流程了里面有非常非常多专业的工种我们这边呢就是简单的给大家抱抱菜饼吧一般来说动画电影的这个制作会分前期中期后期三个部分前期的话主要的工作叫开发它的开发的内容呢就包括一个核心的故事
[00:09:17] 角色的设定美术的风格等等等于说这个前期的话主要是一个创意阶段对idea的一个部分那这个前期呢最后要生成的一个东西呢叫做故事本就有点类似于风景脚本的还有一些设定集啊等等的那在这个基础之上呢之后就是中期制作了这个其实就是彩条屋所要做的这个流程改善的一个核心啊就这个脚本最后怎么来变成电影
[00:09:43] 一般来说就一个100分钟的动画电影的话它大概会有1500个特效的镜头那多的话像皮克斯可能有近2000个1800-1900个
[00:09:53] 做出这些镜头呢就要依靠许多分门别类的专业人员他们要建模要开发这个人物的外观然后要做模型的绑定要做模拟然后要制作人物的动画要制作场景然后还要渲染灯光渲染特效等等等等以大传不明确立的名词感觉都是我没有接触过的公众那这些呢在行业里面有个专业的名词叫做资产创作就是这些东西它都是这个动画店里面的资产
[00:10:22] 这个部分其实就是最硬核的我们在这边其实也没办法完全的展开给大家科普所以有兴趣的朋友可以去看show notes里面我们列出的一些资料
[00:10:32] 在中期制作完成以后我们就会进入后期的部分比如说剪辑音乐调色等等的这个过程当然也很重要但它的流程相对比较稳定所以听下来是中期这个环节是最费资源的对最费人最费时间的许多动画电影它70%的时间和金钱成本都是花在制作上面的而这也是彩条屋投资的大多数的我们前面讲的一些动画公司工作室所做的事情
[00:11:00] 所以你前面说彩条屋要改善产业类流程它其实就是改善主要是中期制作这个部分的流程你像大山归来和哪吒我们前面讲的它制作的流程非常漫长就是因为国内绝大多数的工作室它是无法完成整个中期的部分的但他们就需要把很多的工序刚刚讲的那些专业的工种要外包出去所以就会出现乙方乙方的乙方很多的外包方
[00:11:25] 你像哪吒他的那个导演饺子他自己就说到整个的制作过程其实涉及了60多家外包公司甚至有很多比如说你A外包公司的员工跳到B公司然后发现还是在做哪吒这个公司跳来跳去跳不出如来佛的这个手掌心这个其实完全就是一个有点像制造业的这个供应链体现你跳来跳去是没有什么用处的对就是我听这个结构的话就很像那种汽车行业金字塔吧对吧就是有tier1 tier2 tier3的这个供应商
[00:11:54] 那你一旦外包的话这个事件就复杂起来了这当中最大的挑战有两个一个呢就是要保证工期一个就是要保证质量而且这两个还是紧密相关互相影响的你想外包出去的时候其实你这个主创的团队你要给对方提供一个技术标准或者是一个技术参数的比如说你要把这个特效这个灯光做到什么效果或者说你这个人物的表情他的这个微笑的角度要到几度这个东西你要
[00:12:21] 有一个大也不是大致方案也有一个明确的一个要求的这听上去就是真的很像给供应商发包了是不是还要有个人驻场来观察他们盯着他们对就是一回事情其实但在这个里面就存在两个问题第一个就是你主创团队给人家发这个技术包不一定很有效就是或者你说的没有很明白或者说并不那么可实行第二个就是外包包不一定能够实现你这个技术要求等于是这个行业里面大家也都不是什么熟练工都是临时来都没有那么熟练
[00:12:50] 所以就会出现大量的反攻现象所以制作周期才会这么长你看他们一开始的预期的话其实都不会说什么四年八年的一般来说就是两年一个周期等等的但是大量的反攻累积反攻之后就会增加很多的制作成本
[00:13:05] 你像十月文化它在做深海的时候就是因为这个缺乏经费一度是面临这个时间周期的拉长面临这个要停工的这个问题后来就是彩条屋它再次的追加了1.98亿元的投资其实在保住了这个项目那彩条屋它作为比如说这个行业里面一个重要的投资方也是一个大股东嘛它要怎么样优化这个产业呢不能说完全只靠钱吧对它到底要怎么优化呢其实一个呢就是说
[00:13:33] 比如说他现在的情况就是你不得不分包的情况下但他能做的就是说他作为一个能够就是统领或者影响很多这个公司的一个大股东的话他去优化这个流程协调的工作因为彩条物他不单单是一个出钱的一个出品方他很多时候也是这个作品的制作人也是彩条物的员工
[00:13:53] 比如说现在十月文化的合伙人也是深海的制片人叫易巧他原本就是彩条屋的高管后来等于是在最近的时候他直接就进入了十月文化来工作听上去有点像什么PE里面的一个比如说中层然后跑到一个最头的公司里面去做管理层不过在易巧这个例子里面我们看到叶宇纯采访说他还是一个个人的选择
[00:14:16] 那么彩条屋做的其实就是像一个又是出品人又是制作人那个角色在当中要通过自己的团队来协调整合这些乙方和乙方的乙方之间的这样一个合作的流程其实这个东西就是一个项目管理对 庞大复杂的一个项目管理
[00:14:33] 第二个呢其实刚才那个其实只是一个质标的问题嘛根本的话就是说你要减少外包或者不要有那么多层的外包所以彩条屋呢他会逐渐的培养一些他那个投资的一些核心的制作团队你像有北京的一个叫大千阳光上海的红礼文化他们这两家是做3D的然后有苏州的一个叫幻想诗动画还有深圳的一个魅力动画他们是做二维的在哪吒2019年推出之后彩条屋下面的一个作品是江子牙这个江子牙呢
[00:15:01] 70%的中期的制作都是由前面讲到这四家公司来做的那这样子的话彩条屋就更像是一个真正所谓孵化器了不是说单纯去做一些股权投资没错那我就有个问题既然外包有这么多难题为什么不直接多招点人做成一个inhouse的团队都自己来做呢因为很贵嘛因为你做一部电影的话像我们刚才讲的那个流程如果你中期那个前期后期全都是自己来的话
[00:15:29] 你有可能需要一个上百人肯定不止上百人数百人的一个大型的团队但是等这部电影做完之后你不可能这些团队马上又每一个流程都进入下一个作品的工作因为它是一个串联的线性的工作你就会产生很多人就空下来这种情况等于说人力资源会有些拢于它就没有办法长期很合理的利用起来对然后你平时养他们的工资其实又很高所以说养团队很贵
[00:15:57] 当然也不是没有团队自己这么做比如你像皮克斯吉普利都是这么干的但是这个真的属于特例因为一个皮克斯他为什么能养几百人的这个顶尖的团队是因为他的每部作品票房都超级高他养得起而吉普利呢他这么干是因为其他都知道他们的一些核心的制作人员比如说原画师他们拿到的薪水虽然总的绝对数不是那么低
[00:16:21] 但是和他们的这个工作量和工作质量相比还是很低廉的好像厉哥话里面有一期就讲的是这个问题其实就是你为爱发展这个事情是很难长期持续的对我还记得那一集里边电影导演的那个造型就是非常的像公鸡君那在国内呢其实也有团队像这么尝试的那就是追光动画这家公司他的创始人啊叫王威那王威前一个创业公司是什么呢就是土豆啊嗯当年就是优酷和土豆不是谈过合并吗
[00:16:50] 当时外界就会说这是一个现实主义者和理想主义者的合作后来果不其然还是现实主义者龚永强在阿里系里面待的更久一点对那这个王威这是一个比较理想主义的他在土豆和优酷合并之后呢他就逐渐淡出了这个公司然后在2013年呢就创办了追光动画他的目标就是成为中国的皮克斯等于说这个人也是有所谓动画的梦想的对
[00:17:14] 但是呢这个动画的梦想这个很贵对风险是很高的除了我们刚才讲的养团队这个人力成本很大以外呢还有一个问题就是你的风险也很大你所有的这个制作的风险其实都是你这一家公司来承担的你像追光动画它的前三部作品其实票房都很不理想对就是他做追光动画这个事情我知道但是他具体做了什么作品还真的尤其前几部作品完全不知道我查了一下就是前几部分别叫小门神
[00:17:42] 阿唐奇遇猫语桃花源说实话真的一部也没有看过对就小门神我听说过但是后面的两部真的是没听说过
[00:17:50] 追光动画其实也要到2019年他们后来出了一部作品叫白蛇缘起这部作品它的票房是超过了4亿元总算是在商业上得到一个回报至少是能够cover这个成本了那设想一下如果你是另外一个没有这么多前期投资没有这么一个大佬来成立公司的一个团队你恐怕没有办法撑到第四步这个阶段对有可能你试了一两步之后你就再也没有钱来做自己动画有可能死在半步的这个路上对
[00:18:21] 虽然刚才肖老师讲了就是彩条屋在做一些工业环节的改善但是我还是有一个疑问是因为从票房上面好像没有看出什么特别的效果那像那个哪吒之后那个江子牙不就铺接了吗然后还有这次深海其实票房也不算特别好吧对就是虽然他们的这个绝对数都是到了几亿听上去还蛮多的但是他们的这个成本也很高
[00:18:45] 你像深海啊据我们了解虽然他对外说的这个预算有两亿元已经是一个顶尖的标准了但其实实际的制作成本肯定是超过这个数字估计呢是在三四亿元左右吧根据一些业内人的这个说法十月文化要在这部作品上回本的话深海的票房最好要在12亿元以上那其实他最后票房是9亿多嘛就相当于还是一个亏钱的对那现在9亿多听上去也很多但是根本还不够
[00:19:11] 叶宇辰老师他在采访里面就了解到其实十月文化和彩条屋他们都多少估计到这个作品不会太卖座因为这个深海的故事它其实非常的导演个人的导向
[00:19:25] 实际上在原本的大圣归来这个大获成功之后十月文化的下一部作品是叫大圣闹天宫就是继续讲大圣的事情但是在这个当中呢导演田小鹏就表示他想要拍深海这个故事而且想尝试一些新的美术的风格那彩条屋呢也支持了这个方案我看到叶老师这个稿子里面也采访了彩条屋的总裁叫王靖
[00:19:49] 王靖就说深海最打动他的就是这部作品没有任何的算计言下之意呢就是这一是一部导演的个人艺术追求要比商业追求更高的作品
[00:19:59] 这样的定位的确容易出很好的作品或者说一些有特点的作品吧但是考虑到这毕竟是一个要卖票房的商业产品我觉得多多少少还是要算一些那其实最后九一的这个结果呢不能说太差也不能说特别好是的其实像我们前面讲到了在这个哪吒和这个大圣之后呢彩条屋这个
[00:20:21] 怎么说呢改善了整个制作的流程其实深海在这个制作的过程当中其实没有遭到太多的那个很巨大的反复还是比较顺利的除了这个钱上面有点问题因为他们尝试了些新的一些技术
[00:20:33] 但是最后就像你说的这个票房没有达到一个最理想的状态这里边有一个我觉得最重要的问题其实彩条屋旗下他们做工业化或者说是流程化的改善它不是一个完整的工业化或者说不是一个彻底的工业化它只解决了中期和后期的问题但是前期也就是我们前面讲的创意的部分
[00:20:56] 其实还是非常的作者向或者是完全看导演想拍什么的完全没有到一个流程的一个地步这个好像是一个世界级难题就是创意部分怎么做工业化我感觉好像跟我们前面提到彩条屋当初起步的背景也有关系因为他们当初不就是拿着钱去找这些导演和团队就是说你们想拍什么我们给你钱就行了没错当然我觉得这个也没有什么太大的问题从基本的理念上因为导演的创作欲望是非常重要的对这个作品的质量的影响上
[00:21:26] 但是问题在于动画电影的创作有两个层面一个是我想搞一个怎样的一个效果或者是美术的这种感觉一个是我要想讲一个怎么样的故事这是两个层面那中国的这几位现在的动画导演他们更多其实是美术方面的想法会比较多一点但是故事上欠缺一些你看我们今天讨论的这些影片
[00:21:47] 要么是取材于风神榜要么是取材于西游记还有没有白蛇传反正只是古代的小说和神话传说对吧我印象里边完全原创的或者是讲现代的中国人的故事是非常非常少的做的相对比较好的除了今年这个深海以外就是我记得2021年上映的一部作品叫雄狮少年那个也蛮火的
[00:22:09] 对那个其实我觉得是近几年来质量最高的一部原创的这个动画电影了但是他受到一些那个场外的一些影响吧就那个票房其实不是很理想其实对于现在的观众来说你怎么讲好一个新故事往往其实挺能见功利的对其实动画导演他们有可能会比较在意美术但是对于一个电影来说你这个故事永远是最根本的或者就是最最影响这个卖座的效果的对吗
[00:22:36] 或者反过来说你其实从来没有看到过皮克斯去拍什么美国人耳熟能详的经典话题对他们永远是在想一个新的故事你刚刚讲到了皮克斯其实在皮克斯的项目里面这个我们前面讲的前期部分永远是最最最最重要的永远是最核心的最厉害的人才去做这个事情他们的成本在这个上面比例也会更高据说是在20%到30%的成本在这个里面比如说你要拍一个这个大草原上的东西他们有可能要去采风
[00:23:04] 嗯或者是像前几年那个很火的那个寻梦还原记coco对吧他拍的是一个这个拉美的这样一个风情那他要做非常多细节的东西要去做一些设定啊或者把这个故事怎么讲好啊
[00:23:17] 这个其实是最最花功夫的但是在国内呢很有可能就是导演自己写了一个本子整个这个前期的这个成本有可能是低于10%甚至是更少的你先问我们不是提到追光动画前三部片子都不是太好吗那其实我觉得很大一个原因就是因为这个作品这个本子本身确实不太行对其实就是王维自己想拍的一些故事他后面那个第四部为什么好了呢就是这个白医生为什么好了呢因为他是一个新的导演
[00:23:45] 而且有一个成熟的本子对所以其实彩条屋呢也在想办法要强化我们讲前期这个部分一个呢他们会引入更多的专业的编剧就是或者是一个团队来做这件事情而不是一个人导演一个人做另外呢就是他要扩大一些故事的来源不单单是导演自发想要拍一个什么或者说是就一定去采一些古代的一些传统的神话
[00:24:08] 而是通过彩条屋他自己掌握的一些漫画和小说的资源来发掘一些能够改缘成动画的一些项目其实这个在所谓的动画剧集或者说一些真人的连续剧里面已经很常见了你看像B站现在国创区里面很多都是网文改编作品包括这两年大热的一些连续剧后面是有网文或者是一些别的资源做支撑的对你像日本的话就更多了大热的作品绝大多数都是漫改漫画改编了
[00:24:34] 有的这些这个动画的公司像京都动画他们就很擅长就是从自己就是他们自己有一个听小说的一个文库本的一个品牌那从那个里边出版了一些这个文字作品之后再变成这个动画的作品
[00:24:50] 那前面我们讲了彩条屋这个案例以后呢我就有个感觉就是动画电影是一个风险非常大的生意就最好不要做就是你这个公司有可能四五年外面都看不到你开张然后你开张了可能你这个赚的钱也未必能吃四五年说不定你吃到第二年你就扑街了对那这个其实也是内容行业的一个特点吧或者说是风险的一个所在其实你像游戏行业也会出现这种问题嘛过去那种做主机游戏的你啃吃啃吃做了五年
[00:25:20] 最后不卖座然后你就可能做不了下一代了从商业的角度上面来说其实要改善这种营收的结构或者说是风险的程度的话一般来说的一个思路就是最好能够缩短研发的周期降低铺接的风险然后能够稳定的产出一些比较明确能够赚钱的一些作品就是你不要每部都是爆款但是你每部最好都能给我赚钱对 是的
[00:25:46] 那这个呢就要说到我们开头提及的本次春节档的另一部作品了就是熊出没终于出现我还以为不谈了呢还是要谈的只不过这个彩条屋前面这个问题比较多熊出没是另一种类型的前面我们提到大顺归来它有一个很重要的一个指向性的一个划时代的一个意义就是它代表着动画电影在国内不再是只面向儿童的
[00:26:07] 但其实反过来说的话你纸面向儿童的电影其实是风险最低的或者说是收益最高的大家看看迪士尼就知道了没错其实不仅是迪士尼你像奈飞或者别的流媒体
[00:26:20] 最近做的这个很大的一个内容采买的方向就是儿童向的内容就是春节的话正好是一个观察小朋友的一个很好的时间段就是你如果仔细观察一下这些小朋友就会发现他们是多么完美的内容消费者非常忠诚完美真的是完美内容消费者反正如果可能的话他们会花大量的时间在看内容上面而且会反复观看同一个内容直到你看厌为止看吐为止
[00:26:46] 还有个问题就是只要小朋友爱看的电影基本上大人是绝对会付费的没错那这个呢其实也是熊出没成功的一个关键啊他的背后的这个出品的公司呢是广州的这个方特集团方特也挺有名的蛮有名的对他们还做这个主题乐园了
[00:27:04] 他是在2012年的时候制作了熊出没的动画然后在央视播出之后呢就大受欢迎其实当时是复制了喜洋洋的成功但是呢你只做动画片其实在当时是赚不了什么大钱的如果你这个版权啊一次性卖给了电视台之后你就结束了而要把电视上的热播转化成收入的话就要做电影那这个其实当时的模板也是喜洋洋了对就前几年还有喜洋洋的电影呢大家还记得吗
[00:27:32] 所以到了2014年的寒假的时候呢熊出没的大电影就开始那个出现了然后之后也是每年一部第一年的票房他就达到了2.47亿元然后从2017年开始呢他就从寒假挪到了春节档之后这个票房就一路攀升直到2023年今年这一部达到了12亿元多
[00:27:52] 所以它其实是比深海的那个票房成绩更好的没错就大家讨论春天档的时候讲动画电影都在讲深海深海其实熊冲破才是票房更高的一个好吗说到这个我还去查了一下就是喜洋大电影这个票房其实就没有这么好它其实没有一部是过亿的基本上而且它在2015年以后就不做了直到2022年才重新出了一部那一部票房是过亿的然后片方还发了一个海报庆祝一下
[00:28:17] 所以说为什么喜羊羊就没落了呢就是因为我们刚才一直提的就是本来想讲熊出没的现在要讲喜羊羊了但我觉得要解答这个问题的话还是要先来看看熊出没为什么成功
[00:28:29] 第一个的话是方特他其实维持了一个稳定的雄出没巨集的一个产出动画片还是在出的对他每年还有52集很多这个就保证了核心观众的一个受众的这个粘性对吧我一直还在看这个每周都要看对第二个呢就是他走出了一套年更电影的一个生产的流程就是我们前面讲彩条物在那边新新古古的整合他自己能够搞起来了比如说我们举个例子吧
[00:28:57] 现在他做熊出没的电影他会分成两个团队就轮流做像AB组一样的今年在制作今年的电影的时候明年的电影的创意策划另一组已经开始启动了然后明年就开始制作的时候你后年的制作计划又启动了就这样轮着来这样的话就能够保证一个稳定的一年一度的产能输出第三就是他们真的是把自己的大电影的目标消费者钻研透了什么叫钻研透呢
[00:29:25] 就是在进入春天党之后熊出没非常的明确它不单是一个低右向的作品而是要讲一个大人也能接受的也能欣赏的一个故事就是这个儿童像和何家欢电影不是一回事情就是有微妙的区别何家欢的特点就是小朋友一定要开心但是你也不能让大人在这个电影院里面太无聊没错比如说他们有一个很显著的技巧就是每年这个大电影会和当时的一些社会背景要相关的
[00:29:54] 比如说2023年的电影呢就和人工智能相关这个玩法就让我想到了柯南的剧场吧这个针鞭石壁啊可以到像央视的这种水平没错没错
[00:30:04] 就是你每次都要有一个明显的主题这种其实是会相对的比较吸引人一点当然他们还会做非常多的这些用户的调研比如说出了影院之后问你到底对哪段剧情有什么看法等等的而且为了稳定产出现在每部熊出目的大的电影它的这个故事创意就是我们前面讲到前期的部分它就不是一个人完成的了
[00:30:22] 他们有策划中心有编剧中心然后他们会和导演团队一起大家一次要提出十几个方向然后从当中筛选出三到四个最后变成剧本等于做很复杂的头脑风暴这个基本上就是一个工业化量产的一个水平是的还有一点就是你给小朋友看的电影就是你要掌握一些特殊的能耗它这个故事细节里边的红线非常非常多你不是什么剧情都可以拍的
[00:30:48] 那这个其实也是这个熊出没比较擅长的一个部分最后啊他还有一个商业上的一个特别就是有优势的地方就他每年一部就能够拉低成本因为我们前面讲到的这个动画电影制作当中的这个资产啊因为你是拍续集的话有很多资产就是共通的共用的你这个制作成本就可以压得非常可控非常的良心
[00:31:11] 感觉这也是为什么迪士尼这么喜欢出续集的一个重要原因啊对这个其实是在动画电影的商业模式里面是非常非常重要的一点我们前面说过皮克斯一部作品他这个前期要百分之二三十如果每部都是二三十的话其实也蛮厉害的但你一旦制作续集比如说狮子王派个二那你前面那些前期的东西都不用的木法杀不用再画一遍是吗对你这个百分之三十当中可以说绝大部分吧那你故事要重新编但是你那些设定啊这些创意啊都可以省去了
[00:31:40] 而且你中期制作的效率也会更高所以这也是为什么在美国其实以皮克斯为代表的这些动画电影是所有的电影们那里边回报最高的一个类型就是因为他可以拍这种续集他有这样一个成本的优势熊出没我懂了所以你还是解释一下喜羊羊为什么不行喜羊羊为什么不行其实就是因为他做不到熊出没这几点都没做到吗比如说有几个比较核心的点第一个就是他的创作团队是不稳定的
[00:32:07] 他别说什么AB两个团队来轮流做了在2011年的时候喜羊羊最初的主创团队就已经离开了这个项目了但之后据说喜羊羊的剧集的故事水平就下降了我没有看过我没有办法判断这个故事水平还能有下降的对也许我看过几集喜羊羊的剧集其实它还算是比较大人也能看得下去的那种类型有可能在2011年之后下降了我不知道看过的朋友可以告诉我们一下
[00:32:36] 其次呢就是他在何家欢这个定位上面其实把握的不是很精准的我们前面不是讲有很多红线吧但是你还记不记得喜洋洋其实出过蛮多次因为当中的一些暴力的情节或者说是有一些问题的这个画面引发了争议受到批评这个其实也会损失一些客群的嘛就是比如说我记得有什么用锅打人打得太厉害还有什么着火了什么的那种对吧都是上过新闻的那这个呢其实也是有很大的影响
[00:33:04] 所以逐渐的他的这个地位就被熊出没给取代了那到这里呢我们就相当于从这次春节党的两部动画电影入手讲了国产电影或者是动画电影的两条商业路线以及背后的核心主角那归根到底他们都在解决一个事情就是工业化他们都试图把动画电影变成一个可以稳定赚钱的产品但我的感受是这条路虽然有了很多的进展但是好像还是没有完全走通不然也不会出现这种一直在崛起一直也没有真正崛起的情况吧
[00:33:35] 对就像熊出没它虽然比较稳定了它毕竟是一个有比较细分的受众群的一个作品然后你像那些全民向的那些动画电影的话他们就没有办法做到这么稳定的产出所以最后呢其实我们就想分析一下为什么就是到底是什么还在阻碍他们这个产业继续的进步啊
[00:33:53] 我觉得我们可以提两个关键词吧第一个呢就是盈利来源其实截至目前啊我们在分析这些动画电影的产业化的时候都是有个隐含的前提的就是他们的成本虽然有很多很多的细分但他收入就一个就是票房但其实啊并不是一定要这样的动画电影之所以在商业上有很多的有利可图除了我们前面讲到的他这个续集的负用成本以外
[00:34:16] 一个重要的原因就是它特别的适合做周边的衍生品的生意这个方面其实做最好的都是迪士尼或者是日本动画这些例子我们就不用说了最近呢国内其实也有了一些案例比如说美音厂的一些动画作品在做一些周边开发也要做比如说今年年初大火那个短片集中国奇谈嘛其实就做了很多周边的尝试甚至在自己
[00:34:38] 这个开头也要做一个贴片广告来卖实际上据我们了解梅音场的大部分作品呢这个发行收入只能最多是打平成本那盈利其实基本上就靠这些周边对赚钱都靠周边其实在叶宇晨的那篇报道里边他也讲了蛮多梅音场的部分的但是这个是因为属于剧集的部分吧今天我们就不展开了大家有兴趣可以去看那篇文章但是再回过头来说就是动画电影尤其中国动画电影其实在这方面尝试还是比较少的对吧
[00:35:04] 对就是这方面呢方特其实做了一些事情但是他走的这个方向其实主要是商业地产方向对就是搞主题的乐园里面有熊出没区域或者是现在他会搞一些熊出没的主题的酒店嗯这其实就是走所谓迪士尼乐园那个路线是但是比如说他要卖一些周边的一些玩偶啊什么的其实还是没有那么的发达他会做啊但是没有做对没有做那么多吧
[00:35:26] 那至于像我们前面讲的彩条屋那些里面像哪吒什么他们也会出过一些但这个真的没有就是不系统对不系统或者说是没有成一个体系吧这个其实就是问题所在
[00:35:37] 你只有把这个衍生的产业做起来其实才能真正的发挥动画电影这个内容型是在商业上独特的优势你看那些不管是迪士尼或者是一本的一些IP公司你像万代南门工作那些东西这个没有作品的他都可以靠衍生品一直活下去每年可以有几十亿元的这样一个产出但是国内的话有可能就是一锤子买卖那你这个余裕就没有发挥出来
