Vol.13 为什么有越来越多电动车门店开进购物中心？
[00:08:34] 但是我们后来问了一下这个集中有一个原因就是因为他们有一部非常方便运车的货梯可以直通五楼跟我们讲这个故事的人呢是一个资深的招商经理他在一家叫做第一太平戴维斯的华北区工作第一太平戴维斯的话是一家国际的地产代理机构就相当于是商场和品牌之间的一个中介
[00:08:57] 过去几年里面张磊就服务了市面上很多汽车品牌入驻商场的新需求也因此见识到了很多独特的操作
[00:09:22] 然后特性上面就是可能会有一些品牌他第一家会想开特别特别大的店其实到现在这个时间点你要再去选那个门口的位置就没有了也有些牌子特别着急说OK内部我也可以接受就是已经开始降低标准因为实在等不起人家那个门口那个位置而且很多项目其实也在说你真的不要再给我推那个电动车了真的就天天就感觉不接别的牌子就没有零售品牌
[00:09:51] 就天天都是电动车说你们能不能不要再给我推电动车就快剩汽车虫了
[00:09:56] 对于商场来说在当时2017年这个时候把自己最好的一些位置租给这些电动车的新品牌是要冒风险的他们自己内心其实还是有一些不安的为什么就是过去给的那些品牌对吧奢侈品啊或者苹果店啊快时尚他们都是很成熟的品牌了销量啊或者人流都很稳定对于商场来说这个位置不单单是他们要能收到租金而且决定他们面子
[00:10:22] 对就是如果你过来一个新的品牌装修又不咋地车卖的不太好人流不是很好的话你整个商场的氛围就被你破坏了更坏的是如果这个品牌这公司做了两年垮了对吧退租了也很麻烦所以对商场来说在我们讲到第一阶段要引入一些电动车的新品牌是非常注意的他们会有很多的要求我们这里举一个例子就是离我们公司比较近的上海信业太古会的一个未来的起见点
[00:10:50] 刚刚也说了这个就是蔚来第一批的旗舰门店也就是蔚来中心的一个选址这个选址其实非常有意思这个地方本来商场是想租给一个书店的品牌但是因为这个书店的品牌在租金上面就没有办法给很高然后蔚来出了比它高大概七到八倍的价钱首先拿下了这个点位当然拿下这个点位不光是靠钱蔚来还有很多很吸引人的方案
[00:11:16] 比如说他首先告诉商场房我不是一个卖车的品牌我是一个生活方式品牌因为你看我的商场里面留给车的空间没有那么多呀我有很多的空间是留给我的会员过来休闲喝咖啡的然后我还有卖一些周边的生活产品商场一下就被这个方案给吸引住了这也是很会做present是吧对啊虽然他当时一辆车也没有但是架不住李斌亲自过来讲了很久大家都觉得这个方案听上去很有吸引力当然了他还有一些别的吸引品牌的方法
[00:11:44] 比如说找了一个之前在万宝龙中国做董事总经理的高管专门来负责这一块零售业务
[00:12:08] 大家可以看到那个时候其实是品牌要去说服或者说动商场是这样的一个位置关系顺便说一下还有一个那个小的八卦就是未来在进入星夜太古会的时候其实太古会已经有那个特斯拉的门店了对而且离他挺近的对而且特斯拉跟星夜太古会签约的时候是想要签某种意义上的牌他的
[00:12:31] 协议对但是我们听到的消息是当时特斯拉可能对中国这么复杂的竞争态势没有一个很好的预估所以他的排他是签了50米排他就是离他50米范围内不能有其他的汽车品牌所以说未来的那个点位的选的也还可以就是离他有一段距离可能100米就反正在排他范围之外但是又形成了这个走走就能看到两家电动车品牌的奇特现象
[00:12:55] 总结一下就是这个第一阶段的时候对于电动车的新品牌来说他们进入购物中心第一个目的是为了让更多人知道他们第二个目的是为了让人们对他有个好印象所以他们那个时候开的都是上千平米的那种大店而且把北上广深杭州成都的这些购物中心作为了首选这个时候对于商场来说呢这些都是一些很有钱能付很高租金的新客户听上去很有吸引力但是呢这个时候他们对于这些品牌到底能不能
[00:13:23] 慢出车又将信将疑所以会在合作上加比较多的保险或者有很多的顾虑这个状态大概持续了两年多在这段时间里边其实整个中国的消费者对于电动车也好对这些新品牌都逐渐熟悉了当然同时这些公司的自己的经营还遭遇了各种各样的挫折和挑战所以整个开大店的节奏不是很快也不是很慢所以就进入了一个新的阶段这个阶段里面新品牌开始变得更加实际了
[00:13:52] 他们会去开更多的小店这些小店其实也是在购物中心里面但是面积就一下子缩水到500平米以下了变成一个小的展厅了也没有那些什么咖啡啊会所啊之类特别花哨的服务它的目的就是尽可能让更多的人看到自己也就是说这些品牌在购物中心中的店铺从那些黄金位置的大店变成了数量更多体量更小的小店就更接近于原来特斯拉的那种开发了这个背后有三个原因
[00:14:20] 一个是这些公司最早打品牌的阶段已经过去了所以它最大的诉求就是尽快的提升销量那就要尽量增加自己产品的一个曝光度让更多的人看到那你想想在五个商圈里面开五个200平米的店肯定比在一个商圈里面开一个1000平米的大店能让更多的人看到毕竟任何一个销售渠道它一个基本的目的就是要尽可能的覆盖到自己的目标人群
[00:14:46] 不光是要让人看到还要提升一些别的指标比如说试驾这些电动车品牌都发现了就是自己的销量的话跟试驾人群的数量其实是直接相关的只要消费者能开着自己的车来试驾一段路这个转化率就会大幅的提升还有一个原因就是速度这个也很好理解就是开小店的话肯定比开大店要容易得多一方面是大店的铺位会比较难找也比较少小店的铺位其实是非常灵活的很容易找到
[00:15:15] 最后一个原因就是省钱因为或多或少这些品牌2018年2019年的时候资金上面都有点危机因为那个时候还是风头驱动的如果风头有钱断了这些企业很可能就做不下去了这个开小店的过程在那个2020年疫情爆发之后经历了一个巨大的加速这个也是我们前面所说的第二个阶段的一个最大的特征
[00:15:37] 就是这些电动车的新品牌以更快的速度占领了我们中国一线新一线城市的一些主要的购物中心尤其是那些新开的商场这个特别容易理解因为疫情是一个很特殊的时间点只好能够把电动车和商场两方面的需求对上购物中心在疫情之后面临的最大的问题就是品牌都跑路了店铺都关掉了退租了他们要赶快找一些新的品牌来填这些铺位
[00:16:03] 而电动车品牌呢在疫情之后的销量呢又在不断的往上走甚至一度变成了社会热点开店速度必须要加快这个此消彼长对吧然后又相向而行对吧这个时候这些电动车的品牌就变成了商场追捧的对象了还记得我们前面说速度对于这个阶段很重要吗
[00:16:21] 可能十天左右就能开业了
[00:16:47] 商场这边也是在这个过程当中越来越喜欢这些电动车品牌了有一个很实际的因素就是他那些车都不便宜而且装修的格道都不低所以确实能吸引来一批有消费能力的城市的家庭客户这个是所有购物中心最喜欢的更何况车的销售额很高对吧如果他们和商场签的租约里面有收入的分成的话对商场来说也是比很不错的收入
[00:17:12] 不过这个收入分成其实是在商场引入汽车品牌时候一直比较头疼的一个问题简单科普一个小的行业知识就是说购物中心向入住他的品牌租户收钱的话他可以收一笔固定的租金比如说每个月你按照每平均给我多少钱也可以收一定比的收入分成比如说你这个月卖了100万的货你可以给我10%或者11%这个是可以算出来的
[00:17:38] 当然还有一种方法是两种模式都包含按情况收更高的一档你比如说租金的收入比分成收入高我就说租金的收入这个情况对于电动车品牌来说因为电动车品牌虽然说车的单价比较高但是他们跟商场基本上都只愿意签固定的租金合约而且说商场即使是一楼最好的位置的话这个租金价格也要
[00:18:00] 在某种程度上符合市场的规律你不能高到天上去所以就是我可以这么理解吧就是对购物中心来说有可能就是这些好店铺的这些车卖的很好但是也不一定能增加他太多的收入对吧对商场来说对商场来说就不是很合算这个事情嗯对
[00:18:17] 据我们了解商场也是在找一些新的办法就比如说有一些汽车品牌它也会卖一些周边的产品有一些增值的收入那这个部分有可能大家就按比例分点成对吧总共有一些聊胜于无总之现在市场上的情况就是在北上广深这样电动车卖的比较多的城市的话有的商场就已经形成了电动车基站区有的商场甚至一层有四五家不同的电动车门店这个势头基本上就
[00:18:46] 赶上以前的奢侈品或者服装化妆品的扎堆的情况了可以说过去一年里面特斯拉未来理想这些品牌的销量的话突飞猛进跟这些购物中心的支持是分不开的看到这些创业公司对吧做得这么好传统的汽车公司就有点坐不住了他们也开始想学这个新的这些玩家搞搞新东西另一方面呢最近也有很多这种新的公司汽车行业以外的一些公司也宣布要造车
[00:19:14] 很多都是车还没有来但是电都先开了于是我们就进入了这个刚才讲的第三阶段就是一个行业混战激烈竞争的一个状态就现在行业激战成这样是不是已经出现了一些新的情况就我最近也听说过就是有一些前面我们讲到的一些电动车的创业品牌他们现在属于老牌电动车创业公司这个说法有点奇怪老牌创业公司这个说法就很可爱对但是确实在那个电动车这个行业里边是有点这个意思
[00:19:42] 他们最早那些开的一些大店已经开始遭到了竞争对手的挖角什么叫挖角呢就是说会有一些同行出几倍的租金跟商场说你毁约吧然后把这个店铺让给我而具体的来挖角的这些公司名字我们就不提了
[00:19:58] 另外一个趋势就是说如果有些品牌要去开新店的话这个商场也就是会开始提高租金了不会是像疫情刚刚结束的时候给你各种优惠政策因为来抢购物中心这些品牌的店铺也很多了不光是汽车品牌也有很多回转的零售品牌对于汽车品牌来说的话其实现在这个争夺的势力也比较多了我们主要分成三股
[00:20:22] 首先就是像奔驰宝马奥迪福特这些传统的汽车品牌因为他们都有了电动车的一些新的产品线他们想要把这些产品线放到一个城市展厅里边第二种的话就是一些本土的品牌比如上汽东风他们这几年都专门做了电动车的新品牌要走高端路线那这个产品都是精明两年上市的那么这个店今年也都开了
[00:20:47] 第三个就是前面讲到的一些新入局的非汽车行业的一些公司这个最近大家新闻都看到很多了对吧可以说到了现在这个阶段就是电动车开到购物中心的一楼来说已经不是一个新潮的现象了它会变成一种新的惯例或者说变成以后商场的一个标配所以说未来的话汽车品牌就不能像以前一样凭着新先进只管开店就可以了大家都要学着像真的零售品牌那样更加重视运营和服务
[00:21:14] 学着像零售品牌一样做事这个事情其实对汽车公司来说还是蛮难的因为我们之前提到过过去的汽车公司本质上是个批发公司它在零售方面真的是新手而且卖的产品对他们来说也是新产品电动车和传言筒的燃油车完全不一样了所以对他们来说这个主要课题就有可能变成了是要提升这个店铺的效率和服务的水平也就是所谓的精细化管理
[00:21:41] 关于精细化管理的话我们举几个点吧首先一个是人这个从特斯拉开始已经逐渐形成一套方法论了就是说在这些购物中心展厅里面工作的员工不一定就是过去4S店的那些销售冠军而是可以有些其他行业的人比如说酒店钟表行业或者说其他的服务行业甚至说有一个比较著名的挖角方向是从苹果店来挖人当然还有一个方向是自己来从头培养一些年轻的人才
[00:22:10] 关于这一点的话,未来上海公司的总经理夏庆华跟我们讲过一个很有意思的细节。
[00:22:38] 就算蔚来现在知名度挺高的毕竟还是一个挺年轻的品牌它毕竟还不是奔驰所以很多人到商场里面来一看好像挺漂亮我进去看看这个时候脸上带点青色和修男的实习生他主动迎过来稍微带点羞涩的那种跟你说欢迎来到蔚来我给你介绍一下这个车然后就那种感觉反而让人舒服所以我觉得这个感觉反而是好的你想想你去到
[00:23:07] 那个炉火的店里或者去到奔驰的店里你天天就会觉得我可能进去就是要花钱不花钱要不就不进了对对对但咱们那种就是稍微带点切切的那种行程感觉我觉得特别好
[00:23:22] 第二个点呢就是管理和考核的标准过去CSC的指标其实很简单就是销量对吧这个对于店来说它有库存的压力而对于销售来说它有提成的这个激励所以从上到下他们最主要的目的就是要卖更多的车而对于这些新品牌来说首要的目的除了销量以外又多了一个就是让更多的人了解自己的品牌那么量化一点呢就是在这个门店里面的服务满意度啊
[00:23:51] 好感度啊这些指标变得非常重要了这个事情有一个体现就是说过去4S店的销售的很多话术技巧都是在谈能不能有优惠折扣我怎么给你一些小的福利对吧但是说现在这些购物中心的汽车门店的话都是直营店在店里买的价格跟在网上买一模一样没有任何优惠可以谈所以说店员跟你聊天他也只能真的去介绍车所以说像现在有的新品牌它在展厅里面有一类的员工是不背任何销售指标的
[00:24:20] 它的主要工作就是待人不停的试驾它的考核指标就是说试驾的数量以及顾客的满意度所以上升到门店的话就是这些门店的指标从销量为中心的话变成了销量试驾满意度并重的一个方向这个背后还有一个逻辑的变化就是说这些汽车品牌进入购物中心之后呢他们会遇到很多非目的性的客人我们可以这么说也就是说他们本意不一定是专程来买车的可能只是来商场吃个饭
[00:24:48] 对吧然后吃完了之后顺便到你这边逛一逛消消食就是我们在采访当中就发现有些品牌的在商场里面的门店的话在周末是如临大敌的状态因为这个客流可能从中午开始就一直在高位就很多人脱家带口来逛商场吃饭花一整个下午时间在商场里面逛这都需要员工非常积极的配合甚至要挤扳倒才能服务的过来如果这类消费者他对你这个车感兴趣了他们不一定是在这个门店里面下单的对吗
[00:25:17] 他们有可能是在网上下单或者在离家更近的另一个门店去下单过去的话其实4S店对这种情况是非常忌讳的也就是所谓的同品牌内的竞争因为虽然都是一个品牌的4S店但是他们其实所属的是不同的经销商互相之间是一个竞争关系但现在不是了所有的门店都是公司直营的再加上市价和满意度这些指标变得非常重要那么对于那些员工来说他们就不太会在意客户在哪里下单
[00:25:44] 而是更在意服务所以它那些话术也好然后施加的那些服务的动作也好就会比较到位而不会是我们说那种服务的变形讲到这个的话还有一种模式的话就是有的品牌为了加快自己开店的速度在有些城市也会和一些老的经销商合作去开门店这个跟传统的经销商模式也就是4S店模式不是太一样
[00:26:06] 就是在这个合作的过程中品牌对于渠道的掌控力可能变得比原来更强但是还是有些变数在这个情况下想要保证门店的服务水平把变量控制到最小的话就要讨论几个问题第一门店里面的员工是谁聘用的谁来管理的第二就是说这个员工的考核指标是什么他背的是销售业绩呢还是服务业绩一旦把这些控制好的话即使是经销商开的门店也能做到类似于门店指引的效果
[00:26:34] 当然这是一个很复杂的而且也因不同的公司而异的一个现象我们这边就不具体展开但说到底为什么我们这么强调门店的服务水平是因为现在的电动车的车型之间你要说真的拉开多大的产品的差距其实并没有而且对于消费者来说智能的电动车还是一个比较新的产品很多人其实并不知道自己到底要的是车上哪些性能哪些功能
[00:26:59] 所以很多时候门店的工作人员有一个潜在的作用就是去教育市场教育消费者的那谁在这个方面做得好谁就有可能赢得更多的客户精细化管理的最后一点就是门店选址的优化还记得我们在之前说的第一阶段的话电动车在购物中心的选址其实特别简单就是要最高大上的位置到第二个阶段的话关键词其实是快要快速地铺开自己的店面
[00:27:25] 到了第三个阶段的话很多品牌在全国都加在一起有上百个网点了这个时候就要考虑运营的效率考虑策略要考虑协同发展首先你要考虑到你的目标客户在哪里然后在通过哪些事情可以帮助选址现在我们就了解到很多品牌其实是一种跟随的策略就是说特仨或者蔚来开在哪我也去在附近开个店就可以了但是其实说到底各种不同的品牌受众是不一样的
[00:27:53] 对有的品牌来说有可能你去在传统的4S店一条街上面去开店还更有价值这个是说不定的举个例子来说比如说我们看到有的品牌和商场他们就会采取一些比较灵活的措施毕竟开一个店成本不是很低所以有的时候商场不一定会开正式的店铺而是会让这些汽车品牌过来搞一些快闪店就是我们在中庭或者是商场的走廊看到的那些一个小小的展位这其实是一个比较不错的一个试水的方式
[00:28:22] 对于品牌来说你也可以很快的测试这个商场的一个客流对于商场来说的话我也可以知道就是我的消费者跟这个品牌是不是比较对应也能够迅速的和这个品牌建立联系对吧以后有了铺位大家就很容易就可以谈下去了说到选址的事情这里我们替第一财经旗下的新一线城市研究所打一个友情小广告新一线城市研究所就是那个每年都会做全国城市排名的机构
[00:28:47] 他们在5月27日就要发布今年的新线城市排名榜单了今年他们除了榜单以外也推出了一些很有意思的新的数据产品其中就有一个专门帮助商家来做选址的工具这个事情我们听说了以后也觉得很有意思所以说接下来我们还会再专门做一些节目来讲一讲选址这个事情总结一下这一期的话其实我们梳理了电动车品牌到购物中心开店的整个故事
[00:29:13] 表面上这个是一个创业公司跌幅行业惯例的这样一个新的案例对吧但是有一个问题就是创业公司为什么能够想到这个新的模式并把它做成呢我觉得本质上面还是因为他们是从用户的需求出发提供了这样的一个服务消费者总归是希望以最方便的方式来获得自己想要的产品和服务的那从用户的角度出发的话创业公司就是这么去做的他们把店开到了消费者最常去的地方
[00:29:41] 在这个过程中如果遇到了问题再想办法解决就是了而传统汽车公司的想法一般就是我自己不会买车跟新交商和4S店也合作了这么久我改不了他们的想法也不愿意改
[00:29:53] 至于消费者是不是喜欢这件事情就再说了这就是他们会从自己已有的能力出发来思考问题的结果如果用比较抽象的话来说这个就是因然和实然之间的这个区别对吧虽然有点虚但是在很多行业这有可能就是区分新公司和旧公司的一根红线商业就是这样
[00:30:18] 感谢收听这一期的
