Vol.109 当今最重要的基础设施，在海底
[00:03:31] 这个音频是一个就是看不到我的表情我现在脸已经皱起来了这是一个很地铁地铁老人看手机是不是这是很诡异的一个比喻啊就像有人说这个赤道是一个呼拉圈一样对总之呢就是真的是一个非常长的或者非常大的一个规模而且海底光缆它作为一个产业的话它涉及到的钱也非常多2023年呢预计整个产业的产值规模会超过200亿美元
[00:03:58] 而且根据我们看到大多数的这个行业的预测这个数字接下来几年会以每年两位数甚至百分之二十几三十几的速度来增长所以说今天肖老师就是带着一些新学来的知识来跟我们讲一讲海底光缆对吧是的我想主要分历史和当下两部分我们来讲第一部分就是回顾一下看看人类到底是当初怎么想出来在海底铺光缆这么一个主意的第二部分我们会来看一下当下
[00:04:25] 从市场端来探究一下海底光缆它整个的商业价值以及它整个市场的一个布局好 那我们就开始吧这里是商业就是这样
[00:04:45] 那要讲海底光缆的历史呢其实首先要做一个名词的解析就是我们今天讲的海底光缆顾名思义它的核心是当中的这个光纤就是一种玻璃纤维因为它能够大量的非常高速稳定的传递很多数据嘛但是啊这个光纤啊是一个非常晚的东西它是1970年才逐渐的成熟然后开始商用的一个材料一个产品
[00:05:08] 但往前退100年啊在1870年代的时候人们其实已经在海底铺设传送信息用的一些电线了那个时候它的名字是叫海底电缆那这个电呢指的其实是电报电报这么古老的东西已经出现是啊就是现在连电话都不太流行了对吧但是这个像当初电报的时候其实电话都还没有出现呢简单回顾一下
[00:05:32] 就是1837年的时候很著名的摩斯他发明了电报并且在美国取得了专利然后摩斯还顺便发明了摩斯电码在那个之后你只要拉一条电报线就可以将长途的或者是远程的信息传递的时间缩短到原来的几百分之一人们很快就会发现是非常颠覆性的对生活有巨大改变的一个发明
[00:05:54] 大家想想之前人类远距离传输信息最快的方式是什么比如什么信鸽啊渡鸭啊风火啊驿站啊火车啊轮船反正没有一个比它快对就是人其实已经算是当中比较快的一个东西了然后再比人快点就是鸟对不对对所以这个电报很快就流行起来了嘛那于是很快人就开始想我能不能拉一条跨洋的电报线了
[00:06:18] 那这个需求呢其实最早是来自于英国人因为当时不是日不落帝国吗他有这个非常多跨洋的信息传递的需求这个帝国的治理嘛不然的话某个殖民地要造反了要过几个月这个伦敦才知道他们就很麻烦于是到了1850年的时候呢横跨英吉利海峡的一个海底电缆就建成了怎么这么快这个1837年发明的电报1850年这个电缆就铺好了
[00:06:43] 对那说到这个呢我们先简单科普一下海底电缆的这个铺设过程啊一个我们也很喜欢的一个知名的英文播客节目叫indicator by planet money他正好前一段时间出了一期几分钟的科普节目就是介绍海底光缆和海底电缆的
[00:06:59] 那么他当时是用一些非常有趣味的方式来解答了游老师刚才那个问题有兴趣的可以听听看那我们这里呢就朴实无华且枯燥的稍微介绍一下就是铺设海底光缆就是你要有一艘大船然后把这个铺设的这个缆绳啊绕在甲板上一个很大的圆盘上面就是一个脚盘然后你船一边开这个缆绳就一边边放下来等你开到了对岸之后固定好了然后它沉到海底然后连上陆地上的电报网就OK了
[00:07:24] 你这个是不是也太朴实无华且枯燥了听上去就是连一点技术难度都不讲的吗但这个整个大致这个过程就是这么直白啊不过这里面的技术难度呢其实是非常非常高的我们后面还会讲到那顺便说一句啊就现在英文里面就是指这个电缆啊或者光缆的这个词叫cable嘛不是经常说的但这个词其实原本没有这个意思对cable好像原来就是船上面用的那种就是很粗的那种绳索没错
[00:07:52] 它就是因为那个时候19世纪的时候铺了这个海底的电缆它才衍生出了这个现在我们说的这个传输信息的这个光缆的这个意思甚至它变成一个动词啊在当时就是it's been cabled就表示这个信息跨越海洋传过去了感觉从这个词里面能感受到一种就是大家玩这种新的东西非常兴奋的感觉对就是Google的那种感觉对吧那英吉利海峡这个海底电缆铺设成功之后呢很快就引起了很多人的注意
[00:08:19] 那其中有一位呢名叫塞勒斯菲尔德他是位美国人在1853年的时候他当时34岁这个菲尔德他通过做造纸的生意已经赚了很多钱就是已经完全的财富自由的一个年轻的富翁他正在寻找人生的下一个奋斗的目标然后有一个他认识的工程师呢就找过他告诉他说你要不要投资铺设一个新的项目就是从英国到北美的一条横跨大西洋的海底电缆
[00:08:47] 然后他马上就被吸引了就说好我要干有钱人就是这么简单直率的吗确实是非常的直率甚至我觉得是草率因为菲尔德他本人对于电报海洋什么开船一无所知甚至都不知道要投多少钱进去做这件事情甚至也不知道这个东西技术上可不可行他单纯就是觉得这个事情非常酷我就去做了
[00:09:09] 好像也是因为这个人本身就很喜欢冒险据说他在财务自由以后就直接跑去南美洲冒险了一圈而且还有个问题就是19世纪下半叶当时的整个社会风气就是我有了科学我就可以解决一切难题所谓有梦想谁都了不起在这种情况下我觉得就是提出这样一个方案就是你铺一条横跨大西洋的这个电缆听上去就是很对菲尔的胃口的一个所谓人生目标的确是很对他胃口
[00:09:37] 那么这个目标呢也开启了一段后来非常有戏剧性可以写进人类历史的一个商业故事啊我们简单介绍一下吧如果具体大家想看这故事的话可以去看一本书叫疯狂的投资首先呢就是这个菲尔德啊他确实有很强的一个经商的头脑和能力毕竟前面已经赚过这么多钱了
[00:09:54] 他很快就把这个项目推到了第一步就是把这个钱准备好了非常重要的第一步一方面他自己投了几十万美元进去这几十万美元当时很多的换算成现在的购买力的话有可能有几千万美元这样他首先表明了自己的决心就是我先all in进来了然后他通过自己的人脉拉了很多社会上的名流来投资这些名流也帮他打了一些无形的广告大家就一起成立了一个叫大西洋电报有限责任公司
[00:10:22] 之后他还发行过股票让大家来认购这家公司的股权那回报就是海揽建成后的一些分红这股票也是被一抢而空的听上去就是运河故事的重演要知道当时像有限责任公司这种经营模式包括说卖股票的这种方式其实出现也不是很长时间的这种模式其实尤其适合像海底电脑或者说造运河这种高风险的项目可以说菲尔德确实选到了一个最合适的方式来做这个事情
[00:10:49] 同意的而且不仅如此他还拉到了政府的支持他先后和英国美国的政府去谈然后告诉他们说拉拉这条电缆之后对这两个国家的交流非常的有帮助而且政府我也不需要你出钱你只需要负责前期的勘探然后把这个船借给我到时候我去铺的时候用你这个船就行了然后两国政府都答应了的确听起来是一个船举的高手没错
[00:11:12] 小老师你刚刚提到一个词叫前期的勘探虽然就是口头上说了一下但是你要么再展开讲一下这个到底是什么意思吧这个我们就要不就简单的介绍一下海底电缆铺设的一个技术难度前面我们讲横穿英吉利海峡这个铺设这个电缆听上去非常容易的但是因为英吉利海峡它最窄的一个地方也就30多公里你真的要铺的话这个船开一天肯定到了
[00:11:35] 人类都可以游过去的地方没错但是横跨大西洋根据他们那个路线是从爱尔兰到一个纽芬兰岛这样一条线路已经算是最短的一个距离了它也要超过3000公里这个距离的拉长就意味着多了非常非常多原本没有的一些难题第一个就是你当时没有足够大的船能够装得下那么多的电缆
[00:11:57] 第二呢就是大象的海底啊它比英杰利海峡要复杂的多这海底不是一块平地啊它是有山峰的还有高原啊还有什么这个盆地啊等等非常复杂第三呢就是如此长的距离你让这个铺设的路线的这个计算和执行也非常的困难第四的话就是它必须一次成功就是你这么长一条电缆里面你不能出现一个问题的因为你这个深不可测的海底啊让电缆你维修十分困难你不可能把它捞起来再把它修修好对不对
[00:12:25] 所以一旦失败了之后就是一切归零等于说第一步还是要把整个这个大西洋海岸要走的这条路线的海底状况要摸清楚然后确定这个路线到底怎么走对吧对这个是一个非常重要的前提但这就需要政府和海军的帮助了你民营的船只是做不到的
[00:12:42] 所以最后大西洋电报公司它确定了一个方案就是派两艘轮船从两个远点出发然后相向还行在大西洋的中间碰头把海岚连在一起这样一个方案来铺设电缆这两艘船其实都是两国的海军借着它这个船改造而成的听起来也行吧就是差不多能把这个问题给解决掉
[00:13:06] 还有另外一个需要补充的技术背景就是这个电缆你沉入到海底之后怎么样才能不坏这里面有一个核心的一个材料就叫古塔胶它是一种橡胶也可以从天然的树里面能够开采出来的它是一个非常好的绝缘体耐腐蚀正是因为有了这个材料之后海底电缆才有可能实现等于他们那时候把这个技术问题也差不多解决了对有这个技术的前提才有可能说什么在海底铺电缆这件事情那么到了1857年的时候菲尔德就开始真的干了
[00:13:35] 他带领这个船队就开始出海铺设了虽然在当时的情况下我们前面听下来他已经是做了足够的准备了对不对但是他仍然连续失败了三次第一次呢就是他的一半从阿尔兰出发的这个船队啊开到一半的时候他这个脚盘故障了海岚全都掉到海底里面去了就失败了
[00:13:52] 然后第二次呢在隔年这个1858年的6月份他再次尝试这次呢他换了一个方式就是两个船队啊我们先到大西洋的中间碰头然后把这个海岚先接好之后再各自往这个爱尔兰和纽丰兰岛开过去问题是什么呢他们在碰头之前就遇到了这个海上的风暴又失败了
[00:14:12] 第三次他终于成功了这个海岸连接起来了并且美国的总统和英国的女王那时候还是维多利亚女王互通了电报然后这个时候是当时一个非常大的一个新闻但是到了第二天这个电缆的绝缘体被击穿了整个电缆报废了这么惨我们非常熟悉的一位作家茨威格在他的名作人类的群星闪耀时里面其实就记录过这个故事他描写就是当时在纽约
[00:14:40] 就前一天收到这个电报的时候菲尔德还是坐在马车坐在整个游行队伍的最前面在整个纽约市这边游行像一个凯旋的将军一样他当时是被奉为哥伦布版的人物但后一天他就被众人唾弃甚至被怀疑是骗子
[00:14:57] 他是不是伪造了维多利亚女王的一个电报现在来看的话当时费尔德感觉还是有点操之过急了因为当时像船只的技术船只的规模还有电缆的这个制造技术虽然就是有一些技术的突破但都不是特别成熟其实都还不够支撑能铺设这个横跨整个大西洋这个海岸这件事情的不过还好费尔德这个人虽然有一点就是操之过急吧但是他也跪在坚持没错就是六年之后他竟然又重启了这个项目
[00:15:26] 那个时候其实已经没有人关注这个项目了很多人都觉得说这个事情做不成的你是空想嘛但是菲尔德还是通过他的这个说服能力成功的筹集到了足够多的钱我看到这里也很震惊啊这个怎么还能筹到钱这是靠什么是靠真心吗靠真心就可以嘛是不是我觉得一方面他这个人有可能真的是有点这个真心或者是这种就是说服人的能力啊但另一方面我们看科幻的背景啊就是在过了六年之后当时这个工业技术又有了新的发展
[00:15:54] 首先就是这个船前面每次出问题都是这个船这个船有个大大的更新他买下了当时一艘最新的最大的货船叫大东方号这艘船他可以一己之力携带所有的海揽就不用什么当中喷头了或者是什么先汇合然后再分头了这种事情都没有了所以他解决了最大的问题而且他买下这艘船没有花现金这是哪里套来的船他就是用这个公司的股份来换的
[00:16:22] 是靠真心了对就是这个百分之二他说这个传入我就百分之二十以后以后的这个红利来分红那另一方面呢就是我们前面讲还有一个问题就是这个海岚的这个绝缘体啊他也更新了就是除了这古塔加以外他还加了一些别的一些新的绝缘体就是他们自己研发的一个技术啊然后这个制造的工艺也提升了他们整个制造的管理流程也怎么说呢精进了
[00:16:43] 我看到一个小的例子就是说他们之前一直怀疑有这个工人还在船上的时候故意破坏这个电缆所以就是你不知道吧因为电缆太长了后来他用了很多办法来隔绝这种情况反正就是经过了非常多的准备而且又经历一次失败之后终于到了1866年的时候1866年的9月2日这个大西郎海揽终于铺设成功了连上了两边陆地的这个电网线然后菲尔德就通过这条海揽收到了他的第一份电报
[00:17:12] 上面写的是一切都很不错
[00:17:15] 的确我们刚刚听了一个非常戏剧性的故事但是我还是要问一个我们节目一直要关心的问题就是这个菲尔德花了十几年自己投了几十万可能不止还融了上百万美元来做这个事情那这个海揽究竟能不能赚钱呢好问题啊简单而言的话就是赚钱的我们根据这个疯狂的投资这本书的介绍大西洋海揽建成之后三个月里边它就收发了2772条商业电报
[00:17:44] 听上去还是蛮少的对不对但是当时啊这个电报的价格是多少呢每个单词10美元一条电报至少10个单词就是一条电报至少100美元
[00:17:54] 然后他当时每天的收入就超过2500美元按照这个速度的话这条海揽过一两年就可以回本了大家听听一个单词10个美元这个是不是过于暴力了对这个单词难道是用金这个铸造出来的吗确实是非常的贵就当时发一条跨洋的这个电报有可能相当于一个技术工人几个月的工资有位的技术工人但就这样跨洋的电报它这个需求还是在迅速增加的尤其是在金融领域
[00:18:22] 因为你想当时伦敦是全球的金融和贸易中心然后华尔街呢也蒸蒸日上他们两个可以说是两个巨头的城市嘛那在1870年的时候这两个城市的金融从业者已经每年要各花差不多100万美元来获取各种商品和股票的价格信息通过这条大西洋的电缆
[00:18:40] 这个事情对他们非常重要因为可以决定他们交易的决策所谓抹平信息差这个价值其实是不可估量你可以在交易过程中赚更多的钱没错但话说回来既然大西洋的海揽这么有利可图那么别的竞争者就会加入过来到了1900年的时候全球已经有15条海底电缆了而且跨洋电报的价格也是大幅的下降它不再是一个垄断的暴力的行业了但大西洋电报甚至也不是其中最大的公司了
[00:19:08] 那至于菲尔德本人啊就虽然他这个大西洋的台揽让他的财富再次的增长了但后来他因为自己的一些冒险的投资都不太成功包括他还去投过一个什么麦哈顿的高价铁路计划然后到了晚年的时候呢反而是一个倾家荡产了但是大西洋电缆的这个功绩还是让他名垂青史啊那在1892年的时候菲尔德在72岁的这个年龄呢去世了
[00:19:31] 你前面已经提到那个时候其实海底电缆生意已经非常发达了我看其实已经不仅限于这个所谓大西洋两岸这个纽约和伦敦之间的一个关系了它其实已经开始变成一个什么很跨太平洋印度洋都可以做而且延伸到像中国日本印度澳大利亚阿根廷巴西其实都有这些电缆的接口了
[00:19:52] 整个世界已经基本上被所谓的海底电和电报的方式连接起来了相当于信息全球化的雏形已经形成了顺便说一句中国最早的海岚是连接上海厦门和香港的这是一家丹麦公司铺设的那么中国自己最早铺设的海岚连接的是台湾和大陆而且还是蜻蜓做的是的在此之后信息全球化可以说是飞速的发展了而且海岚的重要性是越来越高
[00:20:20] 有一个例子就是从一战开始海揽就成为了一个重要的战略的争夺铁我看那书里面写就是英军和德军海战的时候英军做了一件事情就是跑到对方的海揽铺设地方把他们五根海揽一起捞起来然后把他们剪断了这个是最早的信息战吗对据说现在信息战有可能他们也用这种战法是好像差不多的虽然我们后来大家都知道有无线电报技术它也普及了
[00:20:47] 但是其实它的效率呢还是不及海蓝而且在后来像电话普及了之后海蓝传输的这个信息量又上了一个大档次所以它又变得更加重要了那到了1970年代呢随着光纤技术的成熟这个玻璃纤维又取代了铜线所以终于进入了这个海底光蓝的这个时代也基本是在同一个时期呢互联网的时代也开启了这个时候其实菲尔德和他这个海底电缆已经早就成为历史了
[00:21:11] 虽然成为历史但是我们从大西洋海揽这个故事里面还是能看到几个海底电缆的一个核心的商业模式这一直延续到之后的海底光缆都是差不多的首先你要前期做足够多的技术准备以保证这个东西至少能铺成功其次你这个线路的目的地很重要大西洋海揽之所以当时那么赚钱就是因为它连接了两个金融中心这两个金融中心都有充分的信息沟通的需求
[00:21:37] 第三个就是海岚这个生意其实是没有垄断性的我们在准备这期节目的时候就看到说有很多文章就把海岚这个商业模式跟高速公路类比也就是前期你做一次性的基础设施投入之后呢就可以稳定地收取过路费啊电报费或者网费但是这两个生意有一个我觉得比较大的差别就是比如说你从A点到B点的高速公路一般来说就是一条它还是有一些所谓的垄断性质的
[00:22:04] 你确实可以收这个过路费收的很多但是海揽的话从A点到B点你理论上可以有很多条也就是说这个信息收费的费率会不断下降因为有竞争嘛那这个问题之后在光缆时代的话就变得更加明显了
[00:22:21] 好那讲完历史的话我们终于要进入当代的部分了啊在互联网时代呢海底光缆的重要性可以说是比海底电缆那个时代还要高因为你互联网要传播的这个图文的数据你比电话啊什么电报啊都要厉害不知道多少个数量级了啊那满满足这种需求呢只有光纤
[00:22:39] 虽然人类其实也发明了这个卫星的互联网但是还是一个补充的东西嘛不知道马斯克这个新链之后有没有机会就是把这个事情提升一点反正目前还不是一个很主流的东西好吧那目前这个整个海底光缆行业现在是一个什么样的商业模式呢我们按照这个产业里面角色来大致的介绍一下大致会分成三个角色吧首先第一个就是海缆的这个所有方就是出钱的人嘛
[00:23:05] 这里面一般有两种情况一个叫联盟海岚就是一群公司大家一起出钱建一条这些公司要么是一些跨国的电信巨头或者我们叫骨干的互联网服务的一些提供商还有有一些财团投资机构等等的另一种类型就是私有海岚就是一个公司我独自花钱建一条海岚它就属于我自己的这种情况其实过去很少但现在成为了一个大的趋势我们后面还会重点讲到
[00:23:33] 但基本上拥有海揽你可以看到基本上都是大公司了像费尔德那样个人跳投是不是就不存在了这种事情非常少主要的原因就是贵一条海揽平均每公里的铺设成本在3万到5万美元左右如果你是一个几千公里的一个长度的话那很容易就是一个上亿美元的投资这个事情其实我从一开始你在说电缆的时候就想问的我一直以为
[00:23:58] 台南这种重要的基础设施是国家和国家之间商业号我们这样铺的没有想到都是一些企业行为怎么回事对就是又贵又难对吧应该听上去好像是一个会是政府公共的一个行为那其实很简单就是你把这个投资方想象成房东或者是一个停车场的一个所有者他投了这个钱之后他是要有收益的而的确是有收益的能赚钱的这个钱呢主要就是来自于整个产业的另一个角色就是使用者
[00:24:26] 这个使用者里面其实就包括包括你我还有现在在听节目的你对吧因为我们都会付网费付流量费给电信公司但这里面呢其实就包含了你付给海岚的钱所以很可以理解这是一个商业的一个活动那既然它是个商业活动那我就可以继续问了那这个海岚的投资回报怎么样呢好问题啊这个其实也是我准备节目的时候感觉比较难的一个点啊首先它有点tricky就是说很多情况下我们其实并没有使用到海底灌篮我觉得我们就是我们这些这个
[00:24:55] 上网的用户比如说我们即使访问一个海外的网站也不是说我们这次访问就是直接从海外的网站那边去获取数据信息然后传到我们电脑这边来很有可能其实我们访问的是存在我们本地的这个城市或者这块陆地的一个数据中心他已经把这些数据预存在那个地方了然后我们从那边去访问去获取但是这些预存的信息如果没有海岸的话肯定是不可能从海外那个网站传过来的那总归是要用到的所以相当于我们付给海岸这个钱其实是比较
[00:25:24] 间接的就类似于我们日常其实在一片毛细血管里面传信息其实不太涉及到这个大动脉的过程但是如果没有大动脉的话这个毛细血管里面其实是没有血液的至少要先传过来对吧对就是有可能比如说我们每个月付给这个电信公司100多块钱的这个网费里面会有一部分其实是承担了他前期投入的这些这个海揽的一些成本但是你没有办法明确的估算
[00:25:51] 对吧哪些钱是付给他的那另一个方面呢其实每一条这个海揽呢它这个投资收益率也都不太一样很大程度上是由这条这个线的需求来决定的比如说你是一条热门的线路像我们刚才讲的你应该是非常赚钱的是吗但是由于它不是垄断的你这条热门的线路其实会有非常多的海揽跟你一起竞争你这一条线里边你这个数据的资费啊就是你这个流通的这些数据你说的这个过路费其实这个单价就会大幅的下降
[00:26:19] 你其实赚不了太多的钱但如果你是要特别冷门的路线的那他也不可能带来非常丰厚的一些用户的增长所以说这个问题还挺难的听上去就有点像航空公司设计线路或者他总体来说就是有点博弈的感觉你到底怎么设计线路就是怎么样是比较赚钱的要找那个平衡点对吧没错当然啊这个海岚这个也发展了几十年了其实电信公司这些长期的经营
[00:26:43] 它还是有一套的比较稳定的收益模型有点类似于房地产投资我们看到了一些分析师给的一个数字他说总的而言一条海岸的寿命是少于25年的它最多能用也是25年而且很有可能在此之前它就又被新的海岸给替换了而数据的费率现在其实平均每年是要比之前便宜15到20个百分点的在这两个基础之上
[00:27:10] 如果你投资到一条比较好的一个海岚的话你有可能每年可以带来12%左右的回报听上去还是蛮高的这是比较好的吗对不过这个数字我们要再强调一遍我们没有找到很可靠的交叉印证的一个方式所以仅供参考如果我们听友里面有懂这方面的就是欢迎来介绍一下目前海岚这个投资收益模型没错
[00:27:31] 那讲完了前面两个角色就是这个所有方和这个付费的客户这一方呢还这个行业里面还有第三个角色就是海岚的施工方就是造这条和铺设这条海岚的人相比于所有方和使用方的这个铺设海岚的反倒是一个收益非常稳定而且门槛非常高的一个生意因为我们前面说的就是如今的这个海岚铺设它是不允许失败的而且要保证长期的使用所以它技术门槛又很高了
[00:27:57] 我们前面不是他用一些绝缘体啊什么的吗但现在可以往上去搜那些图我们也会把一个链接放在show notes里面就现在这个海底的光缆啊它有七层这最里面的这个光纤外面有什么铝啊有各种各样的绝缘体啊等等的这样的话能够保证它是一个非常稳定的安全的东西而且它的铺设也不是像我刚才讲的那么那个朴实无华且枯燥了比如说它在前海的时候它其实是需要就是你除了这个铺设的船在浮在水面的时候它下面还要挂一个
[00:28:23] 挖坑道的一个挖掘的船就是一边在挖出一条道一边把海岚铺在里面然后它又埋起来是一个非常自动的过程就真的有点像铺路所以这个东西都是一些非常专业的设备它这个门槛就非常高了所以像现在全球其实是建立了一个叫环球街头联盟的
[00:28:44] 这个机构街头联盟不是街头篮球那个街头就是我跟你接上头的那个街头简称叫UJC而这个机构只有四个成员公司分别是来自于法国英国日本和美国的四家公司只有他们可以作为总包商全球就有他们这四家可以去承接铺设海揽的一个总包的业务然后他们再分包给一些这个承包商
[00:29:08] 而这些承包商也必须要经过这个UJC这个机构的非常严格的什么30多项的一些认证拿到一个叫UJC的一个认证才能够进入这个行业就听上去这个竞争是很开放的但是这个竞争当中的猜测有可能是比较封闭的对的那因为海揽虽然经常是一个商业项目但它毕竟涉及到非常多国与国的利益我们前面提到的而且它还有很多海洋的权益等等的所以确实是要慎重对待你也可以理解说它929之旅这么高的一个门槛
[00:29:37] 而且这个门槛其实也造就了海岚的铺设施工的行业它的毛利是非常高的做这个业务的毛利率在30%到50%而地上你铺一个光纤就是我们地上那种埋线的光纤
[00:29:50] 这个叫这个他这个毛利率呢只有10%左右那这里我们就简单小结一下那海揽目前总体来说是一个大大大生意然后这些投资方呢基本上都是一些跨国的大公司然后制造方呢又是有四家具有垄断地位的大公司那用户端呢其实也很大就是虽然每个个体很小但是他总量很大是数以十亿计的庞大的一个上网人群没错
[00:30:16] 那刚才肖老师对于海底光缆这个行业的描述大家可以从中明显的感受到它虽然不是一个像高速公路那样就是很明确的垄断但是整体而言还是一个典型的就是公共基础设施的转型方式就是我造了一个很高难度但是理论上又是必须的东西然后大家一起来为这个东西在买单没错但是随着互联网的迅速发展
[00:30:38] 这个就是少数的大公司这个供给方对着大量的这个比较小型的用户的这样一个格局啊有点被打破了那么这里边的一个核心的这个关键的角色呢就是硅谷的那些互联网巨头也就是Google啊Facebook这些东西就是在我们之前的介绍里面呢这些公司就是他原本应该是客户嘛对不对他是使用这些海揽的人但现在啊他们是投资铺设海揽最主要的一个力量了就我们前面提到那些私人的海揽
[00:31:07] 这个私人主要的所有者就是我们讲的这些硅谷的大公司举一个数字啊2023年到2025年全球铺设的海底光蓝45%是由Google和Meta这两家公司出资来运营啊但如果我们把时间轴拉长到整个21世纪至今的话全球四分之一的海蓝是由这两家公司来铺设的非常非常大
[00:31:30] 那我再看一个前的数据啊就是截至2023年谷歌至少是铺设了17万公里的海底光缆如果我按照4万美元一公里的这个数字来计算在城上谷歌在其中占的一个份额的话他在海揽这件事情上的投入至少是一个10亿美元级别的
[00:31:47] 硅谷巨头去忙着铺海岚有所耳闻但是我以为这些公司只是绿油城市没有想到已经成为目前海岚市场的主流了对就是当时我看到这个资料的时候我也挺震惊跟岳老师一样的惊讶那这个里边最主要的原因是什么呢就是这些互联网就是我们整个人类用的互联网它的流量其实非常的集中在个别的网站我们根据一个网站叫SimilarWeb它的统计就截至2021年Google和YouTube这两个网站
[00:32:16] 它的流量加在一起超过了其他排名前50的网站的流量的总和如果你在算上FacebookTwitter什么Instagram什么Netflix这种东西的话整个互联网近一半的流量有可能就是这几个网站来占掉的是不是现在还要再加上TikTok的确我看到那个排名里面TikTok已经迅速的攀升到前十了但对于这些公司或者这些网站来说它就有非常大的动力去铺设海底光缆自己去拥有
[00:32:46] 那这个作用呢它主要有两个第一个就是安全的稳定第二个呢是省钱安全稳定呢我觉得尤其的重要而它其实很好理解对你想想看如果你把这么多的流量这么多人每天要访问我你把这些流量都寄托在其他电信公司所用的那些海揽里边你不论是这些海揽出了一些技术共撞也好或者是因为商业竞争来问你多收钱也好或者是别的什么原因你只要出了问题
[00:33:10] 你都是不可控的你没法来解决啊然后如果你用户访问不了你的这个服务的话那你一切都是百搭同时啊这些巨头他又特别特别的依赖海岚因为只有他这些这个网站或者这些APP他都是全球化的全世界每个大洲的人都在使用所以他必须要跨越这个大洋对不对如果你是个本地的APP的话其实你都无所谓所以他更加无法承受海岚的一个失控
[00:33:32] 所以他们就逐渐形成了一个自己搭建的一个全球的网络体系首先是搞了很多区域有一些很大的数据中心数据中心下面还有一些小的数据中心但连接这些大的数据中心的就是自己建的那些海岚这样的话它可以把自己的一些网站的这些数据分布到各个数据中心里边然后再往下一层层的传保证你用户在使用Google去搜索或者在YouTube上面看视频的时候能够足够的顺畅
[00:33:58] 这里面我还觉得有一个特别重要的点就是视频的普及因为视频对于流量的需求确实特别高跟图文完全不是一个级别它对于传输的速度和稳定性的要求也特别高你看视频卡的时候你总会很生气没错我们其实已经在讲节目的时候已经逐渐的有一条暗线就是人类对于远距离信息传输的数据量的要求从最早的文字到声音到图文到视频其实是一直在数量级的不停的往上涨的
[00:34:26] 所以是非常好理解这些大公司它建的海揽就一定会不停的刷新速度的记录你像2016年的时候Google投入了一条海揽它是和中移动和中国电信合作铺设的它的速度是60TBS已经是非常非常夸张了很厉害了2018年它又投入了一条另外的海揽是自己的那一条的速度就已经达到了160TBS什么概念就是它可以同时传输7100万个高清的视频高清视频对
