Vol.30 自动驾驶被过度营销了吗？
[00:09:57] 很难去平定的对吧因为你这个使用的量还不够多你也没有办法做什么分组的小组的测试看某个城市某个城区你的这个交通事故率是不是下降了这个是一个很复杂的一个事情但相比之下呢这个舒适性就是一个很明确的效果就像你刚才说的这也是为什么现在很多消费者都很喜欢电动车上面的这个新的辅助驾驶的功能不用慧眼啊就是我身边很多朋友买特斯拉就除了这个品牌以外他们就是冲着这个功能来的这就是一个最大的卖点
[00:10:24] 我听到的很多反馈就是很多特斯拉车主或者是一些别的电动车品牌车主就说你不要小瞧一个车道保持或者自动加速自动刹车只是好像你脚不用动了而已但真的这个事情很帮你节省心理
[00:10:38] 尤其是上下班的时候本来有可能你堵在高架上面精疲力竭的一会儿刹车一会儿停的现在就很轻松或者你原本开长途开个300公里你就要休息一下了现在你可以开500公里也觉得不是很累这就是一个很大的价值但这些技术是不是目前也没有那么成熟就比如说我们看到的未来这个事故里面还是在一个封闭的场景里面出现了一个这样的事故呢没错封闭的场景如果你是很堵的那种高架上面车速也很慢有可能不会出现很严重的交通事故
[00:11:07] 但在高速上面你的车速是非常快的是安全的风险是很大的如果你能够在高速上面使用这些功能你应该是能够保证应对各种各样情况的但是实际上现在的这一些辅助驾驶的功能有很多的系统它并不能识别一些在封闭道路上面会出现的情况比如说高速公路上维修使用那种雪糕桶还有静止的这种工程车因为它这个工程车的样子和一般的普通的车不太一样所以现在系统并不能完全的识别
[00:11:35] 像这次蔚来的这个事故当中使用这个车辆他在这个产品的说明里面就写清楚了说这两种情况我是识别不了的你驾驶员要及时的去接管这个就有一个场景的矛盾了对吧你带来的价值是舒适性但是呢你又要求驾驶员是集中注意力去接管一些可能他系统处理不了的这种情况那你这个舒适和注意力涣散之间有时候就一步之遥嘛对吧就听上去有一些矛盾
[00:11:59] 听下来就是说如果驾驶员想要很好的利用到这个辅助驾驶这个功能我先要熟悉整个技术手册然后把每个条文里面都背背清楚哪个场景里面可以用哪个场景我应该接管哪个场景我可以放松听上去就非常的麻烦那是不是我们换种方法说就是说厂商就不应该推出这种一个中间状态的一个产品比如说它看上去又挺自动但是实际上就只能辅助的这种
[00:12:26] 一种功能有的公司确实跟你讲的一样余老师就是Alphabet下面的Vaymo它也是目前自动驾驶技术领域最领先的一个公司了Vaymo它原本也打算研发这种辅助驾驶的功能把它投入商用的它还测试过但是有个很著名的故事就是它在测试当中发现驾驶员就很容易像我们说的换散注意力对吧本来只是享受舒适享受场就是享受过了对吧享受场是睡着了对吧他们会去做很多事情看手机什么玩支架之类的
[00:12:52] 所以呢威默就放弃了这个方向他就主攻完全的无人驾驶就是你要么就是那个人类驾驶员来开要么就是我这个车来开没有这个中间状态了但是更多的公司他不是这么来考虑这个事情的他们觉得自动驾驶的这样一个技术的进步应该是循序渐进的一步步来的一开始可能只能那个自适应巡航对吧跟车后来呢我能够变道然后一开始我只是在高速公路上能开
[00:13:16] 后来我能够在城市道路当中能够识别行人能够识别信号灯最后再实现完全的无人驾驶这也是我们前面讲到的从Level 1到Level 5不同级别的这样一个设定的初衷而且每个过程进步都是需要充分的实践测试积累很多数据然后集齐来深度学习之后才能往前进的这个也是像特斯拉以特斯拉为代表这些公司他们的一个技术路径和想法在技术上面这只是不同的路径没有一定谁对谁错的
[00:13:44] 微墨它能够直接选择跳到最后一个无人驾驶那个方向去研发也是因为它背靠这个alphabet对吧而且拿了那么多融资它有能力去烧钱但更多的公司它是需要这个技术在不同的技术阶段都能产生商业价值的那么目前这个阶段能实现大规模商用的就是辅助驾驶这样的功能
[00:14:01] 但是这个好像毕竟是一个涉及人命的安全问题我个人觉得还是应该更谨慎更保守一点至少要多一些预防的措施或者你至少不要出现前面我们说到的过度宣传的一个状态的确是这样的除了刚刚我们讲到的过度宣传的反思以外我觉得从这个事故当中我们另一个需要来反思的话题就是技术上面的话你应该也有足够的手段来保证驾驶员消费者在使用这个功能的时候足够的安全
[00:14:28] 比如说在方向盘上面加上脉搏的监测对吧你能够监测它保证你这个手是握在方向盘上面的还有呢在车内增加摄像头来判断人的目光看向哪里保证你这个驾驶员的注意力集中对吧看向前方这些都是已经很成熟的技术了不是没有而且有很多已经配置在车上了在这一个前提下面你再更述说的开车这才是相对比较合理的这个技术的一个使用场景但只不过这样的这一些配套的这些技术现在还不是一个必须要量产的一个标配的东西今后应该是要去标配的
[00:14:59] 刚才肖老师讲到有一个点我还挺在意的就是前面提到商业化的问题既然说现在乘用车上面的辅助驾驶功能的话在安全性上有争议那么除此以外就是说自动驾驶的技术的话还有什么别的商业化的出路吗还是说一定要像威某一样有一个非常有钱的爸爸一直养着他呢这就是我们前面讲的第三个话题对吧就很重要商业化这个话题首先关于刚才讲的这个辅助驾驶的这个商业功能我还想先补充一下
[00:15:27] 现在行业里面对于自动驾驶这个技术的终极商业模式是有一个比较统一的判断的就是所谓的RoboTaxi无人出租车队就是一个城市里面对吧人的移动除了你用公共交通啊轨道交通以外就是靠趁这些无人驾驶的出租车来实现的然后人只要付出行的这个付费就可以之前的节目里面也提到过像滴滴这样的公司都是以此为终极的一个目标的但这条路离实现还很远对吧
[00:15:52] 现阶段的这个辅助驾驶的功能呢除了为无人驾驶出租车积累技术能力以及为现在的这样一些电动车提供卖点以外本身也可以成为一个重要的收入模式比如像特斯拉他就把这个所谓的FSD完全自动驾驶变成一个可以订阅的一个软件的服务你要么1万美元买下来要么呢你每个月付199美元来订阅
[00:16:15] 这个技术是不是从微软那里学来的有点这种感觉对吧像过去买Windows那种感觉国内像蔚来也是类似的只不过价格稍微便宜点每个月680元来买这个来买这样一个辅助驾驶的功能目前特斯拉的今年的季报里面没有公布软件部分的收入但它去年公布过一部分然后有很多的分析师来推算它当年刚推出没几个月这部分的收入已经达到了接近10亿美元
[00:16:43] 然后我们也看到今年有很多分析师非常乐观的觉得5到10年之内这样一个所谓的辅助驾驶功能的软件的订阅就可以成为特斯拉一个最主要的利润来源就比车本身卖车本身还要赚钱我觉得分析师的乐观都不要信首先其次就是说特斯拉技术领先对吧商业模式也领先如果他吹牛不那么领先可能就更好没错这个吐槽有点精准
[00:17:06] 回到刚才岳老师问的商业化这个话题其实我们前面讨论的不管是辅助驾驶作为卖点也好作为软件的订阅也好或者是中级的无人出租车也好讨论的都是乘用车
[00:17:17] 那么自动驾驶除此以外还有一个重要的一个应用的领域也是现在更加可行的一个方向就是在商用车领域也就是货车的自动驾驶这个听上去比人安全多了当然这个也是分不同的情况的首先一个就是封闭环境下的商用车的场景比如说机场港口矿区工厂的园区等等的这个是目前自动驾驶最现实的一个应用了也确实已经开始使用了你在很多地方都能看到了这背后有几个因素
[00:17:44] 首先是技术层面就是这些地方都是封闭的园区路况更加简单对吧而且很多时候这个车开的路线都是规定好的大家想象一下早年那种拉煤的小车都是在一个轨道上面运行这个路线可不是规定好的吗没错所以这个时候自动驾驶的这个系统它就不需要应对那么多复杂的情况它在技术上面是很可以实现的其次就是商业模式现在已经成立了这些场景它们有很大特点就是有很多货运车辆的需求比如说机场的那个拖运行李的车辆对吧
[00:18:12] 港口集装箱的货车这些需求目前都面临一个统一的麻烦就是招不到人因为开这些车的这个工作很辛苦地方就比较偏然后呢不论刮风下雨都要去做而且经常要倒班对吧因为你不是只做那个8个小时的你有可能要一天24小时或者18个小时都要在运转的也就是说一辆车有可能要配两个三个驾驶员而且呢这个工作的收入也不是很有竞争力我问过一些机场的人还有包括一些港区的一些朋友
[00:18:41] 他们就是说过去这些地方五年十年之前还是能招到一些年轻人来这边当司机的但现在他们都不愿意了说还不如去城里面送外卖收入还比这边高还没有那么辛苦对同样是开车那我还不如开个滴滴对吧而且就这么一个没有太高竞争力的这样一个工作对于这些场所的运营来说也是很大的一块成本是除了车辆本身以外的第二大的一个成本有的时候比油费还要高
[00:19:07] 那么这个时候如果你能够实现无人驾驶就可以一劳永远的解决这个人力上面的一个困难对吧也就是说你用这个自动驾驶的技术能帮你省下一个司机每年十几万甚至是数十万的这个人力成本而同时这个技术本身增加的成本是完全可以低于这个数字的
[00:19:25] 一般来说像提供这些自动驾驶的这些供应商都是一些创业公司他们会和卡车的合作商一起来开发能够实现自动驾驶的然后适用于一些特定场景这样一些车辆做定制车型的没错然后这些创业公司他们会负责运营和测试那么他们收的一部分是和这些卡车的一个技术的合作费用对吧另外一部分就是实际运营的这些费用当然有些时候我们看到有一些比如说机场他们也会买一个打包的服务
[00:19:53] 反正就是我一年付你一笔钱你帮我把这些比如拖运行李车这几条线路给解决了这样一笔钱据我们了解都是远低于原来要付给司机的这个人力成本的所以说对于创业公司供应商来说他能赚到钱这些场景来说他们也是可以节省下成本的所以这个商业模式就已经成立了这样就很容易理解为什么说在这种封闭的区域里面可以把这个商业模式做起来
[00:20:16] 不过听上去有一个问题就是说这个场景还是比较有限的车的总量也有比较明确天花板比如说你的港区就是那么几个飞机场就那么几个这个需求总量是可能是比较恒定的对吧没错就是这个场景当然也不小了对吧因为现在这个物流行业还是很发达的但是相比较于更广大的这样一个范围里面的话它还是比较小的自动驾驶就和很多的技术一样它的商业价值要最大的化的话就肯定要尽可能多的尽可能频繁的被使用
[00:20:45] 那么在货车这个领域最频繁的这样一个场景还是公路上开的这些卡车这可以理解对吧现在我们就可以看到有很多公司他们都把主要的精力放在研发自动驾驶的干线的卡车上面就是所谓的这个在高速公路上开的或者是大的公路上开的这些卡车比如说像之前上市的图森蔚来啊还有国内有几家比如银车科技啊主线科技等等他们都是做这方面的这个业务的包括像现在我们前面提到那个微墨
[00:21:12] 他们也开始做一些商业化的项目也是在做卡车这也插一句所谓的干线物流就是刚刚肖老师没有解释特别清楚干线的意思就是我只负责从A点到B点比如说我只负责把货从北京的一个计算中心运到郑州的一个计算中心至于在北京市内怎么运和在郑州市内怎么运我是不管的它其实就是跑一个非常简单的路线所以我想起来这个事情是可以做自动驾驶的对吧
[00:21:36] 对因为从这个集散中心到那个集散中心当中可能有90%或者95%的路程都是在一个比较封闭的道路上面实行的从技术上面来说也会相对于城市里边那种自动驾驶更加的简单一些这部分的商业逻辑其实和前面的封闭场景还是比较类似的它的核心价值也是降低人力成本
[00:21:55] 因为过去开卡车开长途嘛为了安全都是要配备两个司机来搭档的对吧你开一段我开一段轮流开的像欧洲都是有强制的休息时间的就是你一个司机到了一个点开多少公里或者开多少小时你必须要下来换人那么有了自动驾驶的这个技术之后呢你可能就在这些干线上面能够少一个司机这就能省不少的成本了
[00:22:15] 并且也能降低潜在的交通事故的一个风险稍微总结一下就是说在商用场景下面反而辅助驾驶或者说无人驾驶的话相比我们讲的所谓乘用车的这个场景的话其实是更可行的一个解决方案了对的所以我们现在看到很多创业公司都会说自己的终极目标是做Robotech
[00:22:33] 但是目前呢要做商业化的项目就要做商用车做货车就是为了市域远方要先苟且一下是吧当然能够做好商用车的话一点都不苟且也是很大的生意了对吧为什么这么说呢就是因为他们需要证明自己的这个技术能赚钱就现在的资本市场不比这个什么15年啊14年那个时候了
[00:22:53] 你单靠一个无人驾驶很宏大的愿景然后靠一个十几人的团队就可以获得几亿甚至是十亿美元的融资然后不停地烧钱这样一个时代已经过去了即便是一个创业的公司人家也要能看到你得有进账你得有收入证明你有商业化的能力所以商用车上面的应用是必须的当然这也没有那么好做不是说什么你把同样的一个在车用车上的一个自动驾驶的一套算法一套系统直接把它拷到卡车上面就可以了
[00:23:20] 因为乘用车和货车还是一个很大有很大区别的一个产品驾驶的各方面需求这个车本身有很多的不一样而且这个声音当中有个核心就是说你要抱大腿就是你不是单枪平板的自己搞个卡车你就可以拿去卖了你必须要和物流行业里面的很多大公司一起来做才有可能把这个商业模式真的运转起来我们可以看到就是几乎所有做货车的自动驾驶的这样一些公司他们都会和一些大的物流集团卡车公司合作一起来做一些项目
[00:23:48] 这就和乘用车的自动驾驶基本靠汽车公司自己来对吧自己研发就不太一样了这就是做2B生意和2C生意的差别没错
[00:23:58] 前面肖老师跟我们介绍了很多货车做自动驾驶的一些商业化情况总结一下就是说在无人出租车这个事情前景还很远的情况下自动驾驶在商用车场景里面的应用还是更可行的而且它的商业模式也是更清晰的不过我还是想回到说今天我们讨论这个话题的由头也就是说安全问题因为只要在公路上面开而且有司机的情况下
[00:24:21] 自动驾驶在货车上面应用也会面临到我们前面提到这种各种各样的安全问题对吧没错所以我觉得法规和监管的这个当中就很重要因为你很难要求厂商自己去做到那些东西对吧我们最近就看到一个很重要的一个信息可能相比较于这个事故本身没有那么引人注目但是真的很重要就是中国和美国这两个最大的汽车市场他们几乎同时加强了对于自动驾驶技术的一个监管
[00:24:49] 在中国呢是工信部要求以后涉及到自动驾驶技术的这个软件的在线升级都必须经过审批而不得你自己来做你就说不能自己推一个补丁包就把这个系统给改掉了这不可以的对吧对而在美国呢就是他们的这个公路交通安全管理局已经开始调查特斯拉的这个自动驾驶系统包括过去几年与之相关的一些安全的事故也就是说要来好好地管管这件事情了
[00:25:15] 要知道我们前面几年的话其实特斯拉的autopilot系统也出现过很多可能与之相关的系统美国的相关的监管部门也去查过但是从来没有落实到是特斯拉的责任所以之前它都是很顺利的在推进但现在来看风向要变了而且值得注意的是虽然应该算是个巧合这两个监管方面的信息和未来的这样一个车主的不幸的事故正好是前后脚的就几乎在一周以内发生的
[00:25:42] 我觉得从消费者的角度或者说买这种自动驾驶服务的企业主的角度来说更多的监管肯定是好事情因为只要监管得当的话其实是可以很大范围的限制我们提到的所谓辅助驾驶系统可能带来的这种潜在的安全风险
[00:25:58] 而从这种自动驾驶企业的角度来说的话首先是没有办法任意的夸张宣传自己是自动驾驶的对吧其次就是说自动驾驶系统的更新的话也会受到一些限制这可能对他们技术发展的话也会有一些新的思考说到这个的话最后其实我们还想提一个话题就是过去汽车行业大家的感觉就是更新比较缓慢对吧相对比较封闭其实其中有一个挺重要的原因就是他们这个产品是必须要确保安全的因为它本身是一个危险的东西
[00:26:27] 它让人在一个高速的情况下有可能会有潜在的风险所以说它必须要在安全上面特别的注意所以汽车行业你比如说有时候要引入一个新的零部件引入一个新的功能可能需要花两三年其中很大的这个时间精力都用在就是这个新的这个功能你要经过严格的车规矩的这个认证要保证它在汽车上面能够长期的稳定的安全的使用
[00:26:52] 我理解中大多数讲所谓车规级这个概念都是所谓硬件产品但是我很少在软件上面提到所谓车规级的这个事情对吧对的就感觉于老师您知道我接下来要讲什么了因为我们现在都会讲这个软件定义汽车嘛现在车上的这个所谓OTA或者说FOTA就是所谓的在线的软件更新是很受到大家欢迎的
[00:27:13] 因为这种在线的更新的体验和我们智能手机上面这个更新APP或者更新系统感觉是很像的对吧但是一旦这个软件的更新它涉及到了安全或者涉及到了驾驶本身的话那要求肯定就不能像智能手机上面那么简单了就你有个问题只要做个升级打个补丁就行了随着软件在车上的价值越来越重要针对相关问题的这个质疑和焦虑肯定会越来越多的
[00:27:38] 比如说像通信的安全数据的安全这些话题其实大家现在也有很多的讨论了而对于自动驾驶技术而言这种创新与安全之间的平衡拉锯也一定会是一个很长期的课题商业就是这样
[00:27:54] 感谢收听这一期的商业就是这样
