Vol.114 可持续是大公司的面子工程吗？
[00:03:24] 当然需要说明啊可持续这个概念它很宽泛不仅包括我们熟悉的环保啦减碳啦还涉及到社会和人的保障所以我们大概会从三个角度来聊分别是产品合作方及消费者端以及社会责任层面那我们就开始吧
[00:03:49] 这里是商业就是这样我们知道欧莱雅的产品主要是消费品所以首先我们想要来先看一看怎么让这个产品本身变得更加的可持续尤其是在环保和节能减排上一家公司能够做什么这个问题其实如果站在一个普通的消费者的角度直觉上面一开始并不是那么直观的就是这个答案
[00:04:10] 因为你要论消费品的话你像汽车啊或者家电它的这个节能减排或者减碳大家都很好理解吧车们就是少烧一点油现在是少用点电那家电的话一直都会有那个节能减排的那个标识对但你说化妆品啊护肤品也好他们也不烧油不用电对吧能做什么呢在这里呢就要引入一个生命周期的一个概念
[00:04:32] 就是你不能只看这个产品本身它用的时候的一个耗能你还要看它从生产开始到最后用完丢掉之后整个这个过程当中完整的一个对环境的影响那这个呢就要Q到我们节目开头提的那个问题就是一瓶洗发水它在整个生命周期里边碳排放最多的一个环节是什么那我们现在公布下答案啊就是用热水把这个洗发水冲掉的时候这个过程当中消耗的能源和水是最多的
[00:05:00] 你这么一说好像还真是因为又是热又是水你要把水加热那用冷水洗头岂不是很环保是但大多数人应该不会这样所以就是如果从产品研发的角度一瓶洗发水你想要节约能源的话最有效的办法之一就是改善配方
[00:05:18] 让它更加容易被水冲干净那所以其实剪短发也更加节能剪排对吗对我觉得理论上确实是这样的男生比女生更低碳那现在也有很多女生也是短发那也是当然这个头发的长短显然不是这个品牌那个控制的部分而且回到洗发本身的话还是很讲究体验的你包括这种泡沫的触感洗完后这种头发的触感包括香味等等都很重要所以这个配方的改进
[00:05:48] 还需要兼顾这个效果和体验的啊大家要记住兼顾这个点在可持续这个事情上真的非常重要我们在今天后面的节目里面还会反复的提及嗯当然啊这个配方的改善其实属于很专业的有点机密的这个know how啊虽然就是欧莱雅他们同事也跟我们讲了一点但我们这边就不具体展开了没法细说我们举个更加直观的例子来说这个热水那个冲头的这个问题啊就很多朋友其实他的这个洗发场景不一定是在家里很多时候还是在理发店或者美发沙龙
[00:06:17] 那种地方的耗热水的量想想确实不小所以欧莱雅它就联合瑞典的一家公司它开发了一个叫WaterSaver的一个系统就是解水的它的出水方式比较特殊它就是会让两股水斜向下对撞有点像一个V字形的两股水流然后对撞之后据说水流里的水滴的体积就会变成原来的十分之一就等于水流里面的水滴更细密了
[00:06:45] 然后据说呢用这种更加细密的这个水流来冲头发的话它的效果要大大的优于一般的这个水流头里面的这种水流最后的这个节水的效果可以达到69%左右然后这个产品呢从2023年5月已经开始在欧莱雅pro的上海的一个全球旗舰的一个美发沙龙店里面已经开始使用了大家感兴趣的朋友想要去体验一下节能的朋友也许可以去体验一下在这个店里面
[00:07:12] 的确我们自己平时在家里面洗头可能这方面的意识还不是特别强但是你对于这种每天要有很多很多头洗的这种场所来讲热水就会是一块必须要计算的成本那它在减碳的同时其实也节约了这个成本这个其实就属于可持续工作比较理想的一个状态就是它既能够保护环境然后又能有商业上的收益比如说像这种节约成本
[00:07:36] 但并不是所有的项目都能理所应当的兼顾这个平衡的我们再举一个另一个例子就是化妆品里边有一个很常见的原材料叫丙二醇它是有一定补水保湿的作用然后也经常作为这种化妆品里面的这种溶剂
[00:07:50] 这个原料它目前主要的来源还是石油化工的那么从可持续工作的角度来说最好就是把它生产的来源从石油化工转向了生物基所谓的生物基就是从一些天然的植物这种当中来提取欧莱雅就做出这件事情她就和两家公司合作尝试开始从甘蔗里面来提取或者生成比亚尔纯而且他们也做到了这个过程当中是成本比较可控的就是能够实际的大规模的应用的
[00:08:18] 听上去的话这样就对于环境的这个直接影响就降低了是吧但是这个事情还没有完因为并不是说你来自于植物基来生成了之后就是你去环保了比如说这个饼二醇你从甘蔗当中来提取它听上去很好但是你又要种植甘蔗才能有足够的饼二醇那你如果要更加多的种植甘蔗的话就有可能导致部分的甘蔗的产值它们去砍伐一些原始的森林
[00:08:41] 反而有可能会影响环境所以欧莱雅在推进甘蔗的提取饼而成的项目的同时还要和一个与甘蔗相关的NGO来合作来做好一个所谓的可持续的审计这样能够确保这些产区当地不会去砍伐森林也好或者是用铜工也好等等的产生一些刺身的环境的影响
[00:09:02] 的确实际上这一类审计确实是不光从环境层面来考虑它还要考虑人的保护比如说劳动保障公平贸易这些问题我们其实在后面也会提到刚才我们举的这些例子其实都是集中在狭义的产品本身的这些事情但其实一个化妆品或者护肤品它在产品层面要做到可持续的话还有一个很重要的部分就是包装就是那些瓶瓶罐罐本身
[00:09:29] 对尤其是对于日用化妆品来讲瓶瓶罐罐真的非常重要它不仅是成本上要占很大的一块消费者买到它和我们的消费体验也十分相关有一个很经典的洞察就是消费者在购买化妆品的时候的决策一般来讲包装的影响会占到70%以上感觉很有道理啊就是我想想看自己这个决策的话
[00:09:52] 虽然我没有买过太多的化妆品但我觉得是不是像瓶装饮料也是类似的这种感觉对我相信很多朋友也会因为一个瓶子长得好看就看到一种新的饮料说我也买来试试对吧或者它材料的那种质感对吧应该也蛮有影响的像这次我们其实就访谈了一位欧莱雅他们公司内部的一个包装的专家还有这么fancy的工作吗
[00:10:13] 而且他不单单是一个专家他们甚至有一个专门包装设计研发的一个团队他们在这个区域里面就有几十号人所以你可以想象这个包装很重要而且你想想其实我们之前讲过的就是苹果那个案例他们苹果内部也是有专门的包装工程师的而且他们也非常的讲究包装的可持续这件事情所以你能想象如果你一个品牌对于产品有执着的话这个包装肯定是要自己来把握的好的我们垫了这么多我们赶紧到正题吧
[00:10:40] 我们前面讲的这些化妆品的瓶瓶罐罐如果要在这个方面来做可持续的一些努力要干点啥呢在举例子之前呢我们先给个大家框架吧我觉得有必要啊就是从包装设计的角度呢它一般会考虑三个层面的事情第一个是功能性第二个是经济性第三个是可持续你已经看到可持续在这里面已经是比较重要的了啊
[00:11:00] 那具体到可是去他考虑什么呢我们就与这个包装的材料材料本身为例的话他们会考虑三个方向的事情第一个叫做减重第二个呢叫使用再生塑料第三个呢就是增加这个回收的可能性其实减重比较好理解啊我们前面讲洗发水的生命周期里面最大的碳排放来自于热水的冲洗吗但如果你不用热水的那些比如护肤品啊或者化妆品的话他们最大的碳排放其实是来自于运输环节的
[00:11:28] 运输当中车耗的那些油其实是很大的一个碳排放的来源那么这些油耗其实又和你运的东西的重量紧密相关所以你如果能够降低这些货品的包装的重量的话你就能降低运输当中的油耗也能减少成本和碳排放了
[00:11:45] 后面两点就是使用再生塑料和提高这个包装的可回收性这个其实你可以感觉到它们两者是有一定的相关性的很简单就是使用再生塑料的话就是很简单你这个包装瓶上面你最好是能够用一些二次产生的这些塑料但这些塑料从哪里来的呢经常就是从一些丢掉的这些塑料瓶它回收之后重新加工之后再用的所以这两件事情实际上是相关的那么从它们包装的角度来说它尽量是要提高这两者的存在感
[00:12:13] 那这个过程里面提到的减重和使用再生塑料都还是非常明确的比较好理解那可是这个增加可回收性具体是怎么办呢的确啊就听上去不是那么直观对吧我们就来举这个例子来说明一下我们举个什么例子呢就是我们日化用品里面非常常见的就是蹦头这个东西很多化妆品里面都会出现对或者就是沐浴露里面挤出来那个东西嘛就是有弹性的压一下处理棒对
[00:12:40] 那这个泵头呢就决定了一个比如说塑料的沐浴露的一个瓶子能否被可回收或者它可回收性高低的一个重要的节点因为啊你想这个塑料瓶它进入回收场之后呢它其实是有一个自动检测风检的一个流程一个装置的这个装置它会检测你这个塑料瓶里边有没有一些别的一些材料比如说有没有金属
[00:13:01] 但如果有的话呢它就会把你归到另一堆这个东西里边而不会归到一些纯粹的塑料里边你就没法马上的处理再去再生而这个泵头里边呢就是有一个弹簧的而这个弹簧它的材料呢是金属的对所以这个小小的这个泵头就会让整个这个塑料瓶没有办法有效的被回收了就降低了它的这个可回收性那所以说其实自动化也有不那么
[00:13:27] 智能的一部分对吧对啊但是你肯定需要一个智能化的过程不可能人一个个把那个笨头拆开来对吧对那这个过程当中怎么办呢就需要这个欧莱雅的包装的专家出场了他们想的方法其实也非常简洁就是我既然金属的这个弹簧不行我就不用金属的用塑料的弹簧但这个方案呢你想想就有很多的挑战
[00:13:46] 最简单的一个就是塑料弹簧本身就很少你平时没怎么听说过所以你就要找到一个合适的供应商能够去磨一个具体的方案甚至是对他们说是一个全新的方案而且他们要确保塑料弹簧它的回弹的性能也好耐久性也好和金属弹簧是一样的因为大家都用金属弹簧就是因为它比较便宜好用非常的经过验证了而塑料弹簧其实是要适应这个过程的
[00:14:10] 那在这个案例里面呢其实最后欧莱雅他们是设计出了一个比较理想的这个塑料弹簧能够性能上达标的但之后呢又有一个新的挑战就是这个塑料弹簧它的长度啊会比一般的金属弹簧要长一点这就使得这个蹦头整个的设计啊这个长度就会比较长那你整个运输过程当中呢这个蹦头就有可能会脱落所以为了防止这种风险呢他们又加了一个蹦头上的防脱的卡扣
[00:14:36] 这样和瓶子结合在一起整个包装的设计才算完成了真的是关关难过关关过是的为了替换这样一个小小的金属弹簧一家公司其实花了不少的力气等于是出现一个问题解决一个问题但是解决了之后又会冒出新的问题需要你解决这个其实就是欧莱雅包括我们了解很多的大公司在产品研发层面做可持续的一个最大的挑战
[00:15:01] 就是你要在保持性能和体验的基础之上再叠加一个可持续性的要求同时可持续性这个要求你又不能打折其实我们刚才讲的另一个点就是再生塑料也是这样的一个感觉你再好的再生塑料它其实都有个问题就是它多少都有点颜色和杂质的那你可能就达不到原来那种平平靠靠那种比较美观的那种设计的要求或者说你要达到那个要求就更难
[00:15:22] 这个时候包装团队不单单他自己要想办法他有可能还要和整个的设计团队也好包括市场调研的团队甚至是产品配方的团队他们共同来讨论出一个方案来解决这个颜色或者说是色差上的这个问题这个就是我们前面提到要大家记住的坚固对吧就是他要在很多问题中找到一个平衡点对
[00:15:44] OK刚才我们就讲的是第一部分就是产品部分的一个可持续其实你可以看到它主要还是集中在欧莱雅公司内部来做的一些事情等于是一家公司自己卷自己对那么第二部分呢我们就是来讲讲这个打引号的这个卷别人的这个部分吧因为你想像欧莱雅这么大的一个公司它会牵涉到非常多的上下游那你的可持续的这个责任一样的你也要是影响到很多你的上游的供应商乃至于下游的这个消费者
[00:16:13] 方方面面的人都要参与进来这个部分其实你仔细想想跟欧莱雅的主营业务也差不多因为你比如说你要把你的产品和服务交付给你的消费者这个过程不可能你什么都自己做你肯定也得和许多合作方一起那么可持续也是一样的对的那这个方面呢我们举两个合作方或者说是供应商的例子吧然后我们再举一个消费者的例子这样能够帮我们更加深刻的理解前面我们讲的全生命周期这个概念吧
[00:16:40] 第一个例子呢就是欧莱雅的一个供应商叫雅力雅是典雅的雅力是利落的利它是一家做印刷包装的一家公司总部在江苏的它为欧莱雅做的主要是它这个瓶装上面的那个标签纸就是一般我们会看到印着logo产品名还有一些配料表的那张纸对就是正面反面都会有的那个嘛
[00:17:03] 亚利公司呢他和罗亚其实已经合作了20年了然后在2022年的时候呢这家公司他的一个工厂就通过了一个碳中和的认证就他现在是一个碳中和的工厂了这个其实在他们所属这个行业里面也算是国内的一个先驱了你想想看印刷啊包括包装其实是耗能比较多的这次呢其实我们也采访了亚利的董事长蔡玉琴蔡总然后他就提到一个非常重要的点就是说他们能够在2022年
[00:17:31] 就是获得这个碳中和工厂的这个认证并不是因为他们2021年就是立了这个项目然后他们就能完成了是要过去很多年的这个积累慢慢慢慢的实现的而这个过去很多年积累里面呢其实就有非常多和欧莱雅这样的一些大的客户互动或者就是互相提升才达到这个效果
[00:17:50] 比如说举个例子就从2013年开始欧莱雅和亚历他们合作当中就做了一件事情就是他们在运货的过程当中就不再用那种一次性的纸箱了而改用可循环利用的一个周转箱这样每年能够省下几万个纸箱子这个纸箱子还是蛮多的之后欧莱雅还做了一件事情就是他们要鼓励他们上游的一些供应商能够在工厂里边节约能源降低碳排放然后亚历就在开始想办法自己找一些点
[00:18:17] 然后他们就发现一个点就是自己整个生产线上最耗能的一个过程其实是这个烘干用的这个灯管好知识点又出现了你要解释一下什么叫做灯管烘干听不懂哎就你想一下这个包装瓶上的这个标签纸现在设计的非常好看五彩斑斓的有很多颜色对吧那这个颜色呢是通过这个油墨印刷上去的但这个印刷的过程不是说就是像我们打印一样的就是一次性就过去的而是你要上一个颜色或者是要上一个涂层
[00:18:45] 上完之后你就要烘干一下把它固定住然后再上另一个图层就像我们PS那样的一个效果那你一张标签呢它有可能就要烘干12到13次这是它一个非常重要的一个生产当中的一个流程那你这个每次烘干它都是要用这个灯管就是发热的这个灯管来给它烘干的这个其实是它耗电或者是耗能最大的一个部分
[00:19:07] 你刚刚这个讲述让我想起了女生做美甲做一层主要照一下真的有点那个感觉对是那个感觉总之这个印刷的流程想来应该就是非常的耗能对的那这个雅丽呢她们就做了一件事情就是把所有的这个传统的灯管全都换成LED的新的灯管整个前期投入其实一次性的也要上百万的水平了那也是很大一笔钱了吧对但是这个蔡总她就说呢
[00:19:33] 一方面这个是客户的这个鼓励或者说是一定的推动吧另一方面对他自己来说这个账也是算得过来的因为这样呢一年可以帮他省电能够达到45%左右而且这个LED的灯管啊相比较于传统灯管他这个维护的费用比较低这个使用的时长也比较长所以说你只要拉长了之后长期这个是能够降低成本
[00:19:55] 对这其实也是一个算总账的概念对吧其实这里面我们可以看出一个基本的逻辑就是大公司对它的供应商的考核可持续是非常重要的一点一般来讲他们会给他们提一些要求而且如果你作为供应商想跟这样的大公司长期合作你也必须在这个方面下更多的功夫
[00:20:14] 这个其实是我们最近几年看到的一个比较大的趋势这里面还有另外一层相关的逻辑是什么呢就是对于这些供应商来说如果你在可持续方面做的好的话其实也是会提升你在B端的一个品牌的形象的蔡总还提到一个点就是他们在拿到了碳中和的认证之后就遇到过一些案例就是你谈一些新的一些大的合作之后对方公司会高看你而且在同等的价格条件之下他会相对更愿意选择你这家工厂
[00:20:43] 对 一个正向的循环
[00:21:11] 我们讲完亚历之后就讲另一个欧莱雅的合作方的案例有点类似但还不太一样就是顺丰这个公司我们肯定也非常熟悉了刚才我们也讲到了欧莱雅很多的产品它最主要的碳排放其实是发生在运输过程当中顺丰就是欧莱雅的一个运输的合作伙伴运输当中的可持续就涉及到一个现在很火的一个话题就是物轮过程当中要采用新能源车在这个方面欧莱雅它就会鼓励很多的物流的合作方
[00:21:39] 多多的采用新能源车来运输顺丰就属于是比较响应的一个合作方我们这次也采到了顺丰的战略客户负责人因为其实你从这个层面上来讲欧莱雅应该属于它的战略客户大客户苏昆就跟我们提到其实从2018年开始国内的这种需求多起来就是有这种在物流运输方面要求节能减排非常高的公司越来越多
[00:22:03] 尤其是各行各业的头部的公司所以顺丰为了适应客户的这种需求适应市场的这种变化他们就要逐步的去增加新能源车的这个车队的规模2022年这一年顺丰那个新投入的新能源车就有7900多辆整个全部来看它新能源车的哪季的运营投入是2.6万辆其实这个逻辑跟我们前面讲的这个亚历的第一层逻辑是比较类似的
[00:22:29] 当然物流领域它使用新能源车其实还是一个需要精打细算的或者说分场景讨论的话题并不是说客户就让你全都换了然后我就把所有的车都换成电动车的不是这样的这次我们其实也访谈了几家其他的物流公司就跟欧莱雅不一定有关系的他们就普遍提到说其实目前大的干线的物流比如说集装箱之类的在高速公路上跑的其实还不太会用到电动车的
[00:22:55] 因为你毕竟还涉及到一个补能方不方便的问题还有补能的时长过长的问题还有续航里程的问题再加上新能源车本身的初期的采购成本是比较高的比较贵的所以整个算下来之后虽然你新能源车能够省下很多油费但是刚才我们讲到这些增加的时间的成本也好初期的投入成本也好加在一起之后你用新能源车其实还有点划不来的
[00:23:18] 所以目前使用新能源车在物流领域比较多的还是在一些城市群的区域的范围内或者是大城市的郊区一些轻型卡车的一些运输场景里边是比较用的多的因为它这个路线的距离有限或者说这个路线也比较固定然后充电的设施也非常好布置的确我们现在去市郊的一些快递站其实就能看到很多充电桩
[00:23:41] 对的那你像顺丰这样的物流网页来说还有一个重要点就是它运营性能源车除了我用这个车以外还有一个很重要的点就是它要通过智能的系统来提升整个车的运营效率尽量的能够让每次的运输都能周有成效就是能够塞满对吧就这个意思或者说是你尽量不要有空跑的过程这个其实对于降低能耗同样是非常关键的
[00:24:05] 不管是油和电都是一样的我只要让运输的单次的效率能够提升的话我累积的整体的能耗就是下降的毕竟物流是一个非常讲究细节非常讲究效率的一个行业没错OK我们亚历和顺丰这两个合作伙伴的案例就讲到这边了前面我们已经讲到顺丰快递物流这个行业了我们就要讲到欧莱雅可持续的另一个重要的参与方就是消费者层面那就是跟我们每一个人直接相关了对的
[00:24:34] 其实在消费者层面他们要做可持续也挺好理解的就他们目前一个非常主流的一个项目或者一个切入点就是快递的包装又是包装我们今天跟包装很相关像欧莱雅它会做两件事情第一个就是要采用一些没有胶带没有塑料的一些包装设计这个和我们前面说的蹦头一样都是为了回收方便提升回收的可回收性来做的事情
[00:24:59] 而且这种包装它其实还有一个好处就是你如果设计的很精巧也能提升这个品牌好感反正我觉得我自己就是我自己的个人体验是我但凡收到这种经过非常仔细考量的没有交代的这种包装盒而且它的这个纸质的封条丝拉的那种
[00:25:17] 也不能叫快感了啊就是非常方便很舒服很顺滑那我就会很喜欢那我当然对这个品牌的印象也会加分呗啊我也是这样的就高看一眼对吧就不用我把这个材质到什么都拿出来了就这样一拉一下就可以打开那感觉就很好嘛嗯这个而且我们据我们了解确实是他们在一些调研当中可以看到这个消费者的这个就是好感度或者说是每一度会有一个提升的对的嗯另外呢更进一步呢呢也是跟包装有关的一个项目就是欧莱亚啊它在2022年已经开始
[00:25:46] 推动这个循环快递包装的使用他在杭州做了一个试点这个呢是跟菜鸟合作的简单而言呢他们就是做了一个塑料的一个快递的包装盒然后他们希望你用完了这个盒子就是收到这个快递是这个塑料盒啊然后把里面的东西取出来之后呢你能把这个盒子还回到菜鸟驿站那边去之后呢由菜鸟和这个Olight他们会负责把它消毒然后再利用
[00:26:09] 然后消费者这边呢可以获得一定这个优惠券啊等等的一些奖励和鼓励好你这个是考验人心的这种尝试来了啊确实这个需要消费者对消费者的配合就就很难了我认为当然其实欧莱雅也跟我们坦诚坦诚了啊就这个尝试目前确实是在非常初期的阶段确实也有很多挑战你比如说最直观的吧
[00:26:32] 这个盒子做的太好看了他们会寄给很多种子用户我们所谓的KOL他们这些人反过来就会把这个东西留下来因为当做
[00:26:42] 储物盒也可以用很漂亮嘛还有比如就是说去年疫情期间大家去这个驿站的时候也没有那么多这个也影响了这个事情的普及对就是这个有挑战这个案例我觉得就非常说明问题啊就是在可持续这件事情上面你品牌要去影响消费者的这个习惯或者是行为的话总是最难的一个部分你必须要让消费者在不受影响或者是不改变习惯的情况下再去为环保为社会做贡献相对还比较好推动一点
[00:27:10] 没错我们这里其实还有另外一个更有意思的案例
[00:27:38] 五色牌嘛有不同的颜色的表示不同领域的这个得分的这个东西对的就是视觉上能够让你非常直观的能够get到这个产品它的这个对环境的友好程度啊可持续上面做的好不好这个概念国内呢欧莱雅旗下的这个必优权的这个品牌已经贴上这个标签了
[00:27:57] 而且他现在呢可能还想要联合很多行业里面的大公司包括同行了一起要组成一个联盟希望能够在化妆品行业推广这个标识就是让这个环境影响五色盘的这个标签贴上更多更多的化妆品我觉得这个就属于是我们刚才讲的那种就是潜移默化的或者说是不怎么影响你消费者行为习惯的这个方式来推动可持续这件事情对吧你不需要他来做什么但是有可能你贴的多了之后多多少少大家在决策的时候心里面会有
[00:28:26] 或者说是受到一定影响的我觉得这个是他们的一个目标
[00:28:30] 这个就有一点像我们之前讲那个Patagonia大家还记得吗当时Patagonia也是在行业里面号召大家组成一个永续成一联盟其实也是类似的这个目的对的那我觉得这种事情怎么讲我感觉它行业的这个自律啊总是要走在法律法规的前面的嘛现在它还是一个倡议或者说是这个自我要扯这个阶段那以后也许说不定它就会像这个家电的这个能销标志一样它变成一个行业的一个强制性的规定
[00:28:58] 很多时候我们认为大公司的社会责任就体现在这些方面
[00:29:05] OK我们已经讲完了前面两个部分分别是这个产品研发的以及这个合作方和消费者端的这个可持续那我们前面讲的这个案例啊大多数都还是跟环境环保啊节能相关的这些案例但我们也开头的时候提到了可持续里面还有很大一部分的这个意涵是关系到人本身的比如说你要保障员工的利益啊你要为整个社区做贡献啊等等的我觉得
[00:29:30] 一些内部公司内部的事情都好办就比如说员工啊等等的还是你自己有比较大的这个掌控力的最有挑战的呢很多时候就是这些公司他要管很多公司以外的事情我觉得这边可以举一个例子就是我们节目开头提到的另一个科普就是欧莱雅如何在印度收薄荷的这个例子这个呢就会涉及到一个很关键的一个话题就是公平贸易这里出现了啊大家注意一下
[00:29:55] 公平贸易我们应该说它是目前全球化背景下一个非常非常受关注的话题对的简单而言的话它就是指大公司你在采购一些原材料的时候很多时候是一些农产品一般都是要通过中间商的你中间商再去向源头去采购而在过去这种全球贸易的体系下面往往会让源头的生产者比如说农民他赚不了什么钱
[00:30:19] 钱都让中间商赚差价赚走了吗对的那么公平贸易就是要保障源头的像农民的利益让他们也能够获得一个合理的公平的利润这个就是公平贸易的目标对于欧莱雅来说这个事情还要放到一个更大的框架里面看就是它整个原材料采购的一个可持续因为原材料采购对这种日化的或者是化妆品来说是非常重要的一块
[00:30:43] 像他们欧莱雅这些产品它主要这个原料会有很多的来源比如说你像石油化工我们刚才讲到的这个丙二醇还有很多是矿产你像这个彩妆里面会有很多bling bling的那些东西很多就是来自于矿产的一些物质的还有就是来自于农作物有非常多你像玫瑰等等的包括我们待会要讲的薄荷那要做到可持续的话他们其实会有这么几条思路
[00:31:06] 第一个就是来自于石油化工的这些原料尽量我要减少或者说减少它生产过程当中能耗你像我们前面讲的饼二层就属于这种类型了第二个就是来自于矿产部分的这些原料有的是没有办法避免的但是欧莱雅会希望它尽量的能够不去使用一些稀有矿产的一些资源对的所以很多时候这种大公司还要寻找替代的生产方案在欧莱雅的这个案例里面那你可能要找的这个替代可能就是从
[00:31:35] 农作物这个方向上来找当你要采购大量的农作物的时候就会涉及到我们讲的公平贸易这个问题了我们就具体以印度薄荷这个案例来说明一下薄荷其实是非常多的化妆品也好护肤品甚至一些食品当中都会非常多用的一个原料但它的一个一大产地其实是在印度而在印度薄荷它其实是非常大宗的一个商品它就是在是在西货市场里面买卖的一个东西
[00:32:02] 但就和很多的这个期货市场里面产品一样它这个市场的这个价格的波动啊就会非常的大贵的时候呢价格非常非常高那里面的钱呢主要就给这个中间商就经销商给赚掉了农民他自己其实农民自己卖出去那个价格波动没有那么大他的利润没有很高而在他跌的时候价格跌的时候他会便宜到比成本价还低就是一个周期里面花了那么多这个前期的投入中了这个薄荷之后我最后回不了本的农民还要亏钱来出售
[00:32:31] 所以就形成了一个这个薄荷的这个需求量市场很大但是源头就农民赚不了钱这种情况那么欧莱雅做的事情呢就是希望和农民能够签订一个长期的稳定的一个采购的协议并且能够固定这个采购的价格来规避这种市场价格波动对农民产生的一个风险没错其实如果大公司的这个原材料采购一旦涉及到大宗期货贸易使用固定价格是一种非常常见的手段
[00:32:56] 比如说大家可能更熟悉一点的这个咖啡豆市场像星巴克这样的大公司它在很多市场也会采取固定价格这种办法来尽可能的保证公平贸易同时也控制公司的采购成本还有就是我们之前有一些讲到这个航空燃油的那个例子嘛它也是涉及到这个固定成本的这个问题对的当然啊公平贸易它要考虑的事情不单单是固定自己的成本
[00:33:19] 它更核心的其实还是要保护源头卖家的一个利益就是要利他所谓可持续了对吧对比如我们回到薄荷这个案例上面欧莱雅它设置的价格其实不单单是一个价格它会设置不同的不同情况下不同的收购价比如当中有一个就是一个可以叫地板价就是它确保收购的最低价格是比农民种薄荷的成本要高的
[00:33:45] 这样的话就能在市场萧条的情况下就我们刚刚讲的就是击穿成本的情况下面农民也能够保证不亏钱
[00:33:53] 这个事情很明显啊其实对欧莱雅的益处有两方面吧一方面既能够保护农民利益就是你这个原材料是的收购可是可持续的因为没有利益农民也不太愿意干这件事对吧另一方面你从他自己的公司的这个采购成本来讲他相当于也固定了原料的成本对他肯定会在某些时段上面比这个市场价格稍微要高一点但是他从长期来看的话他其实是合算的
[00:34:19] 同时长期的对农民来说他也是能够一直做种植薄荷的生意能够持续下去的当然这个事情说说容易其实是蛮复杂的包括我们刚刚讲定价其实他们跟我们讲了一套非常细的定价的体系当然这个也涉及到一些商业的一些具体的机密我们就不展开了我们来讲讲他具体执行是怎么做的因为欧莱亚你想想看他也不可能专门和当地的农民一个个去谈收购的协议对吧这个也实操难度也太大了所以具体而言他们会和一个NGO以及一个当地的供应商
[00:34:49] 三方一起来合作然后欧莱雅呢去和这个NGO和供应商规定好很多这个保障农民权益的一些细节比如说谁来提供种子提供什么样的种子比如说一年你要做几次的这个农业知识的培训提供哪些技术的扶持甚至啊要细到什么程度就是你这个供应商要提供多少富士的手套给农民
[00:35:11] 给这个采摘的这个工具啊当然也包括每个农民的采购量和采购价等等的这些都规定好了之后然后再由供应商具体和农民去谈那么NGO呢在当中是承担一个监督落实的一个职责嗯这件事情要做好需要这个几个方面像齿轮一样同步运转才可以对就大家都要首先规定的明确同时呢这个目标又是要比较一致能够这个推动下去不然的话你定的很好最后落实不到也没有用对吧
