城市就是这样21｜ 十堰：一座因汽车而起、又不甘被汽车“抛下”的城市
[00:11:06] 汽车就是一个特别容易看得懂的赛道所以也变成了老百姓口中可能也很好理解的一种城市的名片那么就有一个也是专业问题小老师电车这一代的之后就是进入新能源车这个时代之后现在是不是汽车城的概念包括汽车城里面这种链主企业它其实牵引效应也跟上一代主机厂的那种逻辑也不太一样
[00:11:27] 你说的炼竹企业其实就是我们说的最终造车出来的公司在产业里面会叫它炼竹企业大家会有这种说法一方面的话就是相对于传统的汽车现在新能源车它零部件的价值会相对更集中一点除了整车以外然后包括电池然后三电的发动机等等的
[00:11:47] 再加上有很多的企业他们会就是这个主机厂他会自己自研这些产品那相对来说如果你这一家这个主机厂这个品牌像你刚讲长洲对吧理想把主机厂放在这里了那他这个产业的这个就是重心就已经非常非常重要了不像过去的话有可能比如说你这个城市有个主机厂那确实因为他相对的零部件非常非常多一级二级三级那么你不可能全都在集中在他周围物理上也放不下那你在周边的城市甚至周边的省份还会有一些分散
[00:12:14] 那现在的话有可能更加集中在这一个城市里边而且是不是以前可能主要的汽车的核心的这个部件是发动机啊或者是这些比较重要的核心的零部件它有可能是外资企业垄断的那他们就不像是比方说我现在电池好多都是国产的我需要一个围绕电池的核心的一个链路而那个就只要从外资或者合资厂进口过来就可以对它有一个就是另起炉灶的感觉吧
[00:12:41] 所以这样的话就是当一个汽车城尤其包括现在新能源汽车它形成了一条大的产业链之后确实好像稳定性很高就在无论是政府还是市民来看它都不是一个很容易发生迁移的这样的一种产业好像你一直投下去一直回报都会持续的铲除对吧对那按照你这个逻辑的话其实实验就属于是
[00:13:04] 比较特殊的一个打引号的反例是不是在中国只有这一个城市遭遇过这样的事情它肯定是最大规模的或者说是影响最大的不管是对这个城市来说还是对整个汽车行业的这个产业来说都是很大的一方面就是我们说的它是那种过去all in汽车的一个城市或者说是因为有汽车才有它就汽车是那个蛋它才是那个鸡它跟别的城市不一样第二个的话就是它的这个总部东风的总部从它这个实验这个地方搬走到武汉
[00:13:33] 之后对它这个城市的影响
[00:13:59] 或者说这个发展最好的时期就是实验和汽车的关系是什么样子就是这个东西而且是怎么建立起来的
[00:14:06] 要么就讲一下历史讲一下历史吧我去参观了他那个东风他有各种各样的纪念馆博物馆这个感觉肯定的就是搬迁以后肯定会留下很多他有很多这个工业遗产嘛他可以做很多的活化那里面讲故事肯定是一个很重要的活化方式那么我们就去参观了他这个东风汽车厂最开始是怎么来的这么一个博物馆啊他里面讲了一个很重要的概念就是
[00:14:29] 在实验很多人还是叫二气他们习惯叫二气二气这个名字就很有时代特征因为它是一个相对于一气的一个名字第二汽车制造厂听起来就连中国两个字都不用加的点妥妥的央气但它实际上它是一个三线建设时期的产物三线建设就可能还是有一些年轻的朋友们知道在1960年代左右当时因为各种国际的形势还是比较紧张就中国当时进行了大规模的一种工业迁移
[00:14:57] 就是把很多沿海布局的一些大的制造型的企业开始往中西部地区搬我后来查一下三线它其实是有一个相对明确的地理分界线的就是京广铁路京广铁路以西就是三线建设布局的一些核心的地区我举手问一下其实我一直很好奇它既然有三线是不是还有二线还有一线一线主要就是我们东部沿海的各种地区二线其实是在这些东部沿海地区和三线之间
[00:15:26] 大概就是所谓现在的中部偏东的一些区它实际上是个非常地理战略的一个概念而且在中国就是金光铁路以西确实大部分都是山区还有很多可以隐秘布局的这样的一些重要的腹地不容易被炸对像很多三线的厂比方说还有很著名的三线的建设的城市潘之花也是在四川的深度腹地里面的
[00:15:50] 那么这种三线建厂呢基本上都是在山沟沟里隐蔽性很好所以实验当时就是在这么一个背景下这座城市是这么被选出来的在当时二气就是要准备建设成立的时候他们选在了湖北的这样一个都不算一个城市的地方实验被选中的时候它是属于什么行政级别它当时所在的那个片区肯定是有一个地区的叫云阳地区
[00:16:15] 它当时甚至都不是一个县级市它就是当地有十道蓝河大坝蓝河雁叫石雁就这么一个地名然后妥妥的一个纯地名的地方规划了之后呢就是1969年
[00:16:28] 他确定了这个二期要选到这里专门给实验成立了一个城市而且当时还是县级市然后再后来慢慢的这个行政区画的调整变更他才开始变成了一个地级市所以那天我们在实验当地也开玩笑的说中国最年轻的城市呢确实是深圳比深圳再稍微年纪大一点的城市呢就是实验了就他其实也比深圳大不了十来岁是的我觉得这边可以稍微补充一下一期二期这样一个概念就一期的话大家知道就在长春
[00:16:57] 共和国长子那时候是一个工业的重镇那么就是在三线建设这个背景之下要建设二气其实大多数的资源包括人员的话其实都是从已有的一些汽车产业里面过来包括一气来了很多人所以从这个角度来说实验实际上就是一个移民城市对而且它当时整个因为三线建设它一共盖了24座工厂全部都是藏在山沟沟里面的我在当地拍了一些照片到时候可以放在我们show notes大家可以看一下就它是
[00:17:25] 就是那种弯弯曲曲的等高线里面这个地方有一个平地他就开始造一座工厂是这样的一个概念那讲完这个背景之后我们要不要讲一下就是他巅峰时期就是他作为这个汽车城最风光或者说是重要性最高的时候他到达过什么样的高度
[00:17:42] 其实这个城市的巅峰时期挺短的它是69年开始建二期但是因为整个隔了一个文革所以它实际上能够真正开始有生产小型越野卡车就东风卡车的能力是在75年到78年这段时间了文革尾生和已经结束的时候但是没有过了几年就大概到1982年的时候当时国家的经济调整还是很大的一个变化面向市场经济的这些开端要起步的时候
[00:18:11] 出现了很明显的产品滞销
[00:18:29] 二汽才在汽车的产销量还有上缴利润和税收方面然后才开始有比较大的这个数字上的突破当时能够占到全国汽车企业的60%以上成为中国当时汽车工业的支柱然后这个时间大概持续到92年的时候呢
[00:18:45] 二期因为当时要和雪铁龙成立合资公司它有一个统一的对外品牌形象所以就把自己的名字又改成了东风汽车然后再到了2003年就变成了要从实验搬走的东风集团了所以其实加起来可能比较辉煌的时间也不到20年我觉得这里面一个核心的关键词其实就是商用车或者说卡车
[00:19:05] 刚刚从了讲到巅峰时期的话其实实验或者说是二期占整个中国汽车销量的60%这主要就是因为那个时候其实中国的这个汽车行业的样貌跟我们现在是完全不同的还是不是家用车的天下还是就是卡车那个时候汽车主要是生产工具在有中国在大规模进入合资企业的这种生产之前其实中国本地是很少产成用车的对就是那个时候不认为轿车是
[00:19:30] 民用的产品就轿车应该就是非常少的比如说奢侈品领导用的产品对对对都不能叫奢侈品就是非常少的级别特殊情况下用的东西它就是大多数人不认为普通人出行坐车是一件可以被接受的事情就在观念上面都不认可所以在早期搞合资的时候其实这个东西都在观念上有争议就是中国我们现在资源这么缺什么外汇这么缺你还要花钱去搞这种奢靡浪费的轿车有没有必要等等的
[00:19:56] 所以轿车进入家庭实际上是个非常晚近的到90年代后期才逐渐成为共识的一个事情
[00:20:01] 但这个是不是也是合资车企主播把这个局面打开的是的所以在那个之前的话其实卡车包括皮卡越野车这些就是核心的汽车的品类那么在这个方面其实东风一直都是很强的到现在的话也有一定的传统但反正我对东风雪铁龙认识还是到已经到家用车层面了对因为雪铁龙进来的时候想要对它一个非常大的改变就它车用车这块有了个很重要的一个产品的支柱后来它叫神龙
[00:20:28] 再到后来它有东风日产那个实际上是更大规模的东风日产在好的时候其实也是中国排名前三的这个合资的车企那为什么就是到了合资厂这个阶段就是要考虑搬迁呢是因为实验还是太不方便了吗对
[00:20:42] 真的吗其实是有这个道理的你想他其实92年开始有了东风雪铁龙之后他这个东风雪铁龙的合资公司就是放在武汉的而且呢这个两相一对比你就会发现其实在大城市确实有它的好处比方交通很便利你吸引人才也很容易不然你这个外资的员工对吧你飞机飞到武汉之后再跑到实验里面来吗做一个皮卡来到了实验对你就想现在从武汉到实验的高铁大概还要将近两个小时那那个时候开车是要很长的一个路程才能进去的
[00:21:12] 我觉得这个里面上一个核心逻辑其实全世界大多数的大的汽车城要么就是像我们前面说的它本来就在一个超大城市里面它的容量或者它辐射能力都很强
[00:21:21] 要么你像底特律它其实也是因汽车而生的一个城市但它首先地理是一个一大块平原它交通也非常的便利铁路也非常的便利它有这样一个基础它建成了这个是合理的但你实验不单单是一个非大的城市同时你还是在山区里面其实天然就不应该有一个很大的汽车产业等于是早期三线建设逻辑和后期经济发展逻辑其实是打架的而且你想人才的供给比方说武汉它其实是一个高校的聚集地它要在这种综合型大学里面开比方说汽车制造箱
[00:21:51] 但是你要再实验他们当时还专门成立了一个学院叫湖北汽车工业学院来培养汽车相关的人才但是它这个大学的能级以及它能够吸引到的基础的人才配置它和大城市还是也不一样的我觉得到这边历史这边我想稍微打断一下请丛乐给我们介绍一下就是它作为一个完全for一个产业的那种就是工业城它这个城市的样貌或者生活的状态是什么样子的这个你有感受吗或者看它当地的历史的一些介绍
[00:22:20] 有感受吗其实我觉得从我们对于一般汽车城市的想象来说是有点超越想象的因为它是按照三线建设的标准来走实验他们本地人都说他们是一个山地城市甚至有些体感商跟重庆还有点类似在这个平地都很少的地方你去大规模的建汽车工业因为汽车工业它肯定是需要平整的土地非常连片的平整土地然后连排的厂区的建设但它其实能够找到的这样的平地就不多
[00:22:48] 同时呢它整个汽车城里面虽然说他们说现在可能300万人口里面还有30万是汽车产业相关的人口但现在的感觉里面其实你说好像说出来每个人都和汽车有关已经达不到这样的一个状态了但是在早年的时候确实实验当地我们看他们一些回访的纪录片
[00:23:07] 老一辈的实验汽车人操着各地的口音东北的口音上海的口音就全国各地当时都原件嘛所以当时他们就是一个很典型的大家都是带着自己所谓使命或者工程师的愿景然后跑到这个地方来去全身心的投入这样一项事业的这种状态所以当时有很多这个东风一代甚至包括东风的二代三代的这种子弟吧他们就是对于汽车这个产业
[00:23:33] 的感情还是很深的甚至包括对于东风搬走这件事情对于整个城市的影响当然已经过去20多年了还有就老一辈人谈起来还有那样的一些感情色彩在里面对就是相当于那个时候城市是这个产业的配套的这样一个感觉然后所有人他们的
[00:23:50] 不管老一辈还是后面年轻一辈二代三代他们对于这个自己的生活的这个想象或者是职业规划的想象天然就会更靠近汽车是包括他们在的那个东风那个博物馆他在的地方就是以前的一个就是家属院就是一个生活区其实配套很好他有大礼堂然后还有那个户外的游泳池你就想六七十年代造的这种宿舍他已经有非常晚辈的这个等于
[00:24:13] 职工业余生活的各项设施他们说这里面其实原来这个社区的据点里面可能还有类似于休闲场所这种晚上可以聚会的地方只是一个很典型以前叫所谓企业办社会的逻辑对 是的是这种感觉对 我就想起来之前其实我们有一期节目请过一位嘉宾依然他来讲三四线城市的新能源车消费他其实就是实验人所以他挑了实验这个地方来讲他应该属于我不知道二代还是三代他虽然
[00:24:41] 毕业工作之后不是在这个二气也不是在实验但他还是进入了一个汽车行业所以对这个对他们来说我觉得是一个非常常规的一个路径那么接下来我们就来讲一下就是因为他是从2003年的时候总部就迁到武汉了然后之后的话逐步逐步其实东风整个集团的发展壮大跟实验的关系就越来越少或者实验有可能像是被过去的这个总部抛下的这样一个老的这个城市那么在这个状态里边他到底受了怎么样的冲击实际的情况是怎么样的
[00:25:09] 其实东风呢整体它搬走了之后啊就是整个的集团总部的行政职能啊管理团队啊还有包括就是外界对于一家大型汽车企业总部所在城市的一种预期就是整个都把这些东西带走了从实验带到了武汉而且因为实验其实它是没有一个乘用车发展的历史就是小轿车的合资厂从来没有在实验落地过所以在实验能够留下来当然当时他们也可能是一种
[00:25:35] 城市和东风之间的一种谈判就他要求是把东风的商用车它整一个业务产线都是留在了实验所以现在呢其实东风给实验留下了一套很完整的商用车的生产产线也包括了卡车呀特种车相关的这些产业链和业务在实验还是留在当地的
[00:25:56] 那么虽然就是新能源这波其实也没怎么赶上而且东风做车的速度相对研发的速度也不像新能源车的车企走得这么快所以在这个领域里面呢目前看上去好像是它的汽车产业走的是有点窄了对吧当然了这个汽车城原来的底子
[00:26:15] 我可以产业上面稍微分享一下就是其实
[00:26:43] 在当时留下这个商用车的时候是2003年那个时候中国的这个就是轿车的销量你要说比商用车还多多少吗其实也没有多多少还是比较小的当然后面大家知道了有了一个大约15年的就从03年开始算的话有个大约15年的整个车用车以轿车为主的这个飞速的这个发展商用车这个当中的比重是肯定是越来越少的就会在那个节点的话它有可能就是实验能够争取下来的最好的资产
[00:27:08] 因为这个合资的产品或者说是轿车产品它确实可能留不下来不然的话人留下来你干嘛还要签总部呢对吧但是留下这个商用车的话其实在当时还是规模蛮大的我看到那个数字的话在那个时候整个平台还是有就是东风这个公司还有7万的员工在实验你在上下游配套还是有蛮多人的但商用车呢其实有一个问题就是在整个我们比较上行的这个阶段的时候实际上商用车本身还在增长它只是没有乘用车涨那么快
[00:27:34] 对我觉得商用车就是一个时不时会被提出来的一个小的细分的领域甚至你比如说像特斯拉特斯拉有段时间也是把卡车作为一个小的卖点的对但只不过就是它也会受宏观经济的影响比较大就像高层公路跟商用车大家都会说就是它跟
[00:27:55] 宏观经济的影响会非常的明显因为它就是一个物流的生产工具那么你物流的需求实际上是跟整个产业的需求整个经济发展的需求是紧密相关的你有这个需求才会有商用车产能所以我们看比如说那种分析机构写商用车的这些研报的时候它其实都是跟宏观经济紧密挂钩的或者说是不是跟比如说像淘宝的物流指数这种相关对他们就直接连接几个行业就基建房地产等等的就是跟紧密相关的
[00:28:23] 所以它是这个概念的这么来分析它这个产业的那么在就比如说前几年经济比较波动的时候那其实对于他们来说也有很大的冲击前面你还提到一个就是实验他们还留的一个业务就是特种车特种车是什么车就是特种的卡车都算在商用车的范畴之内对吧就是比如说矿的那些车就不一定是那种大家在高速公路上看到的运营比如集装箱那种重卡
[00:28:49] 你比如说有那个翻斗车啊还有矿上面的很多车啊等等的甚至包括拖拉机啊等等的这些都在里面商用车这个概念其实对我一个外行人来说还是蛮陌生的我那天在想商用车是什么车呢后来才发现它是和乘用车相对的但好像我们这你本来以为就是卖出去的就叫商用车是是是它这个词因为有点那个从日本来的那种概念嘛它不是特别清晰然后后来发现那如果
[00:29:14] 不叫商用车之都叫卡车之都好像对于大家来说还更加具体形象一点所以我那天在实验还跟他们聊起我说现在对于汽车城的包装或者城市品牌的概念来说商用车之都会不会有一点没那么清晰是不是可以做一些更直给的这种概念我觉得现在它以一个商用车为核心产业的这样一个城市状态这样一个汽车城的状态它现在是个什么样的样子
[00:29:40] 他其实商用车这块我们去参观了东风他那个商用车的部门现在专门做了一个新的智慧工厂叫第600的一个产线然后去看了他们现在就造大卡车是怎么样一个就是人非常少然后那个
[00:29:55] 有大量的自动化的机械臂
[00:30:23] 这个东西还真的要肖老师来解释一下就是在商用车领域里面他们很多造的其实是车头这个我是在看特斯拉的时候学习到其实只要造一个车头就可以然后后面还要做各种改装可以挂上不同的后面脱挂的这种装载箱所以最开始这家企业其实是做改装用的
[00:30:44] 后来他们自己也下场开始做车头的部分于是他们研发出了一种可以有比较强的就是平衡能力然后再适应于矿山这种崎岖道路上的可以行驶的然后又有一定的无人自动驾驶能力的这种智能矿卡它叫池田汽车他们也在做类似的这样子基于这座城市原来在乘用车特种车上的一些能力然后去延伸出来的新的企业
[00:31:10] 这个还是很符合我们对于一座传统汽车城可以怎么迭代的一些具体的想象的对我觉得从这个产业的角度来说的话首先就是这几年其实商用车还是有一定的复苏的跟之前比如说疫情那个时候大家就觉得情况比较有挑战那个状态已经不太一样了整个的销量也是有复苏然后就像你说的其实产品就在销量里边它的结构是有升级的一方面是在这种特种的封闭环境里面像矿啊包括港区啊等等的它因为有这个智慧的需求
[00:31:39] 有自动驾驶这个需求像这类的产品现在还是非常重要的甚至有一些出海的机会它也没有被卡的非常的严格另外一方面的话就是传统的一些重卡大的卡车等等的它有一个好处就是它不太会纯的电动化尤其是那种干线的卡车是不是还是就是说能力的保障为核心对而且这个里面有一个算账的问题就大的卡车你比如说充电电池你这个成本最后就是要折算成运费的电动在这个方面现在还实现不了
[00:32:08] 就是因为没有办法折算所以说这还好实现不了这个电池不可能在大的卡车里面它能够维持干线的运营你这个充电的时间等等都不可能或者说就是它账其实算的会更清楚一点对所以现在我们看到那种电动的货车轻卡或者是那种就是van那种大的面包车都是在城市里面开比较多就是什么顺丰开一开等等你要上几千公里的这种运输强度它是电池没有办法维系的没有的所以这条路基本上跟电不太像跟我们说的电动车不太相关它现在的新能源比较多的有可能说的是轻能源
[00:32:37] 燃料电池等等会相关但那个的话其实像东风包括现在国内的很多产业在实验这个地方还是会有布局的它因为跟纯的电动不是一个逻辑所以这个部分它其实会跟着的上然后迭代的话也没有我们想象的那么的急迫或者说那么的剧烈所以这个部分其实它受我们说的新能源的浪潮的冲击没有那么大
[00:32:57] 但是实验其实有一个我后来发现的冷知识是在我回去的路上在他们的机场旁边看到了一个很大的赛利斯汽车的牌子然后我查了一下才发现原来赛利斯的起家是在实验而不是在重庆的这样吗对连你都不知道我专门查了一下他说以前其实东风下面的一个平台叫东风小康汽车
[00:33:19] 然后后来是讲到这里我知道了因为塞里斯原来是叫小康的这个我真知道这个知识循环了一圈发现在不同的人的这个点上对我这个确实我不知道然后所以他其实塞里斯在实验的还是有他的生产基地的只是他的总部后来因为要改翻牌子翻到塞里斯的时候已经整体迁到重庆去了OK那我觉得关于就是他当代的作为一个商用车制度的这个产业的部分其实刚才聊了蛮多的
[00:33:45] 我觉得基本概括的话就是首先它留下商用车肯定是一个时代确实是被发展的浪潮给留下的那样一个状态尤其是在21世纪初的那个时候那么在过去那么多发展里面它确实也没有吃到车用车和新能源车发展的红利但另外一部分就是卡车或者说整个商用车作为一个产业它其实还是很重要的它只是没有车用车的规模那么大但是它也有足够大的配套的规模然后同时也能够赚挺多的钱只是它受宏观的
[00:34:13] 经济的影响比较大那么对实验来说的话他要重新来适应这样的一个定位
[00:34:17] 我觉得这个部分以外其实我个人更加好奇的同乐还是他车以外的一些部分因为你刚刚讲他现在是30%多靠车虽然肯定还是绝对的支柱那么毕竟还有三分之二的总得有点别的吧别的是啥呢而且对于这座城市来说他已经吃过一次亏了我把全部的宝压在了汽车这个产业上现在还是要做点多用
[00:34:47] 所以它现在呢其实是在这个多元化产业结构上我们看到了还是蛮多新东西的首先其实是和车的衍生产业链是有关的就是谁也有自己的动力电池和新能源相关的这样的一些产业布局一方面也是基于它原有的这个制造业基础包括汽车工业的基础
[00:35:07] 那个远景动力就是那个大家比较有名的远景集团它把动力就是它的电池部分而且这个部分是它从一家日本企业收购的本来是日产的电池是它的这块电池的一个核心的生产基地就是放在实验而且因为它的这个电池因为原来是日资背景嘛所以它的客户还和宁德时代不太一样它的核心客户都是输送到了这个欧洲的一些混动车上
[00:35:32] 重要的豪华车品牌的混动车混动车的产线上所以这块它是有自己比较大的一个生产基地的那么另外还有一家我们去参观的企业叫万润新能源好像也是一家上市企业它是专门做很细分的我了解电池这个行业慢慢开始才知道原来这么细它是专门做锂电池的正极材料磷酸铁锂和其他的一些材质这个确实是应该细分到这个程度正极是里边还比较
[00:36:00] 高价值的一部分对然后他的客户就是比方说宁德时代这样子所以在这条链路上他们已经开始有自己的一些核心的企业布局在当地还是有布局有他的这个链路可以
[00:36:12] 带动起来的周边的一些企业的生产
[00:36:33] 就是水厂的我就说听到丹江口怎么这么熟悉你翻一翻瓶子上看到过对对对那么包括他们现在也在筹谋啊就是说我不仅仅是做水源地嘛现在像算力也好水电也好这块的这个想象空间也是比较大的是可以进一步布局的那另外一块呢是他那个在中医药领域里有一个自己的布局它是一个中国蛮大的一个灾体药的基地但这里面比较细分啊一些相关的可以制药的中医药的一些原料
[00:37:02] 在当地也有所布局还有一块呢是一个这个可能算不到很大的产业链但是它当地产绿松石而且是有全国70%的储量绿松石是干什么的绿松石是一种宝石类的装饰品类的就是它在比方说藏族的那种民族服饰里用的非常多这个可能也是小众的矿产资源可能也是他们当中的一种比较特色的产业吧毕竟是小众矿石没有成很大的产业气候
