Vol.130 老乡鸡，千店之前与千店之后
[00:07:00] 一个餐厅有一个技达品牌又称流水而且利润率感觉也挺高的菜品感觉是一个很难得的稀缺资源同意的那到了2003年呢苏丛轩就在合肥开出了自己第一家的快餐店名字就叫肥西老母鸡所以不是一开始就叫老乡鸡的吗没错那这个改名呢就是老乡鸡发展过程当中第二个重要的节点我们先说一下原来这个名字就是肥西老母鸡所谓的肥西呢就是合肥西部的一个地区的简称嘛
[00:07:29] 据说肥西老母鸡和当地的一句谚语还很相关所以呢这个餐厅的名字在当地是朗朗上口的加上这个鸡汤的味道确实不错又是物美价廉的快餐嘛所以肥西老母鸡很快就在合肥和安徽打开局面了成为了本地一个很强势的餐饮品牌如果有合肥的听友可以留言帮我们确认一下是不是有这么一句谚语啊对的那这里呢我们还查播一个点就是树丛仙最早不是学的麦当劳那套特许经营的那个培训吗
[00:07:56] 但是它其实在合肥的时候搞的都是直营的快餐店我觉得一大原因还是因为它初期只在安徽发展然后就是又比较熟悉本地就不太需要加盟商来做加盟其实还是跟更大范围的比如说一个半个国家级别的一个区域或者说整个国家甚至是全球的一种连锁会比较适配后面我们还会展开说这个点那在安徽这边发展的比较好呢树丛圈就想要扩展到安徽以外的市场
[00:08:24] 但是呢这个扩展的这个尝试都受挫了这当中很大的一个问题呢就是品牌出现了毛病就是肥妻老母鸡这个这个名字啊在外地就不那么叫得响他们当时还做了一些市场调研啊收到的结果就是消费者普遍记不清这个品牌叫什么第一反应都是这个餐厅是不是叫肥母鸡
[00:08:42] 的确啊这个五个字的名字就是有点难记啊大家能记得清楚我们这个六个字的播客节目已经很不容易了而且像安徽之外的朋友未必对于肥西这个称呼有什么概念我第一次听到肥西也觉得很奇怪对的对的对的所以在2011年的时候呢树丛轩就请到了一个品牌咨询机构叫特劳特而对方给出的操作方案就是你要改品牌名字顺便说一下当年这个肥西老母鸡这个公司一年的利润也就600多万
[00:09:11] 而请特劳特的咨询费有一次性就是400万所以说你这个公司大半年赚的钱都给了一个咨询公司而且是一次性预付出去的对于一个白手起家的老板来说我觉得这个是需要下一点决心的对的而且这个咨询公司给出的是改名这种这么大的一个方案那对于这个老板来说要下的决心就更大了据说当时苏丛轩在特劳特中国的董事长邓德龙的办公室里边听完他这个方案这个present之后呢
[00:09:38] 他就沉默了一会儿然后说能不能让我抽一支烟据说邓德伦的办公室从来不让抽烟的但他破例同意了这个要求然后抽完这支烟之后苏丛轩就说我同意改名一根价值400万的烟这个破例还是有点值的对而且苏丛轩更夸张的是他选择了一种非常激进的改名方式就是事先不告知消费者就突然切换他那么多家店的名字
[00:10:02] 是不是有一点任性毕竟不是说所有的顾客都会把你这个名字念错吧对这么做的好处我觉得有可能是能构成一个新闻的事件而且最大程度的快速打响新品牌的名号但风险就是有可能会引发一些负面的舆情甚至损失一些长期积累的本地用户不过事后证明它这个决策很大胆但是效果是比较好的且不说老乡鸡这个名字本身怎么样但它至少能在更大的范围的市场叫得响
[00:10:30] 而且突然的改名确实带来了一定的事件影响的效果就是经过一系列传播在合肥本地大本营消费者也接触了这个新的名字之后老相机就开始加快了它走出安徽的步伐2016年的时候老相机就进入了武汉和南京2019年又进入上海目前在这三座大城市它的门店总数已经累计超过了300家整个老相机的门店数也在2022年正式的突破了1000家这个大关
[00:10:57] 值得一提的是特拉特这个方案当时除了改名其实还有一些别的东西比如说有一个定位也非常重要就是干净卫生这个词让我想到有段时间汉庭的slogan也是这个叫爱干净住汉庭这个据说也是咨询公司把那么起的这个其实我觉得它也是抓住了西式快餐在中国成功的一个隐藏的核心其实肯德基麦当劳早期在中国的成功我觉得相比于产品的话它的这个餐厅的环境和服务可能是更大的因素
[00:11:25] 你想这个明亮的灯光干净的桌面和地面然后必备的一个洗手区这些塑造在一起的这个形象在当时的中国的餐饮业其实是很稀缺的所以去吃一顿快餐的话一度还是一件比较高端的事情对吧
[00:11:38] 那到了现在我们就经常会说当你到了一个陌生的地方麦当劳和肯德基总归是一个安全的保底选择那这个底线其实很大程度上就是干净整洁对的所以在很多城市麦当劳也会变成一个无处可去的人的一个收留之所吗那其实老乡鸡也是把这个点作为它一个重点努力的方向我不知道大家有没有去过老乡鸡那现在老乡鸡的门店是那种标准的所谓民厨量造的店
[00:12:05] 灯光其实一直都打得很亮而且桌子也基本上都是一个白色系的的确是可以感觉到他们在有意的强调干净改名的方案如此成功老乡鸡和特劳特的合作其实也延续了很久我们在招股书里面就看到在2019年末和2022年6月末这两期的财报里面老乡鸡都进入了一个预付费的用款都超过了1000万元还是蛮大的一笔钱而这些钱主要就是用来预先支付给特劳特的一个咨询费
[00:12:33] 简单小结一下老乡鸡的发展过程中最重要的两个点一个是从养鸡跨行跨到去开餐厅看上去呢这是产业链上面的一个贯通的过程就是你往下游去走了但实际上呢这就相当于一个种棉花的种植商去改做时装品牌当中还是隔了好几座山的这个跨越能够成功呢首先还是体现出创始人苏松轩他有一个魄力其次他有方向感
[00:13:00] 第二就是改名和重新定位这个就帮助老乡机走出合肥也继承了国内一线的中式快餐品牌
[00:13:09] OK讲完了这个创业故事接下来我们就进入数字的部分了来看一看老乡鸡的现状我们先说一个大致的结论老乡鸡的确是目前国内经营的最好的中式快餐品牌之一但是距离肯德基麦当劳这些领先的品牌仍然有比较大的差距接下来我们就来先说一说它做到了什么然后再来看看它欠缺什么先看第一部分老乡鸡其实是一个非常标准的直营的连锁餐饮公司很多方面它其实非常像我们讲过的萨利亚
[00:13:39] 首先我们看原材料的层面他们两家都在尽量的把控最主要的食材那萨利亚有自己种植的蔬菜的基地还有牛肉的这个职供商那老乡鸡呢就是直接抓住老母鸡这样一个核心当然需要说明一下就是老乡鸡目前自己养殖的鸡只供应它的这个鸡汤的这个菜品还有鸡蛋啊鸡杂之类的但他们还有一些别的一些鸡肉类的菜品呢其实也会从供应商那边采购那个鸡肉的
[00:14:04] 我们前面提到肥细老母鸡这个一期养殖其实是稍微长一点要180天养殖成本也不算很低了所以它其实是老乡鸡一个重要的卖点但是不是老乡鸡鸡的全部没错那第二个点就是生产端他们两家也都是采用中央厨房加冷链的物流加门店简单烹饪的这样一个模式中央厨房大家现在都很熟悉了过去我们经常说中餐难以标准化其实至少在快餐这个领域
[00:14:32] 完成度已经非常高了或者说他们已经挑选出了那些比较适合快餐的这个标准化操作的这样一些菜品老乡鸡其实在招股书里面详细地介绍了它主要菜品的生产流程看到有一个流程图是处理鸡的过程有28步具体我们就不一个一个环节复述了因为太细了细到有些朋友可能会有点不适但是能看得出他们现在做这些菜非常的标准吗
[00:14:58] 此外在门店和中央厨房的材料的往来也全都是靠数字化的平台来下单的到了门店之后现场的员工只做简单的蒸炒的操作而且这个门店的取餐方式也是非常的可以说标准化就是他已经有一些小碗沉在那边了然后顾客自取然后摄像头自动的识别计费扫码付款虽然和沙利亚的这个模式还是不太一样但是都尽量的减少了人工听你这么讲感觉老乡鸡就很像食堂
[00:15:26] 这个就是老相机另一个非常重要的点就是它的目标受众了目前老相机它在招股书里面写它有四种门店A类就是旗舰店最大的店C类是社区店D类是在工业区里面的一些门店就更像食堂了而占比最高的是B类店占了近六成主要就是开在写字楼和商场里面它的目标的受众就是城市里面的这些上班族这个目标定位我觉得非常重要
[00:15:52] 那首先它就跟传统的西式快餐拉开了一些差距像西式快餐其实有比较多是家庭的需求或者说商旅的需求其次呢这个定位也有助于老乡鸡拉高客单价因为白领的食堂嘛大家可以接受一顿吃三四十块比麦当劳稍微贵一点一行而且感觉上更健康嘛这个其实也是中式快餐很大的一个突破第三就是干净卫生这个点还是很容易打动写字楼里的打工人的
[00:16:17] 对的实际上现在老乡鸡确实不算特别便宜如果你一个人吃的话一荤一素一个鸡汤再加一个米饭那可能都四五十五六十元了所以我们也看到有这个文章抱怨说老乡鸡抛弃了老乡其实这个就是目标受众的这个差异了当然如果两个人两三个人一起点的话这个人均还能下来一点
[00:16:37] 需要一些饭搭子是吧实际上萨利亚目前的人均客单价大概是35元左右老乡鸡是30出头的确是比较接近的一个状态说到这里我们就要提一个跟老乡鸡更相似也更直接的一个竞争对手就是乡村鸡乡村鸡旗下的门店数其实比老乡鸡还要多几十家但是因为这些店是分属两个品牌分别是乡村鸡本身还有一个叫大米先生所以他们这两个品牌各自的门店其实还是不如老乡鸡的
[00:17:05] 那这个乡村鸡它的大本营是在川渝地区它主打的菜是宫保鸡丁而大米先生是一个2011年孵化起来的一个新品牌和老乡鸡的这个改名的时间其实差不多而且它的定位也跟老乡鸡非常的像目前也在大举的进入华东市场尤其是这些大城市它的目标受众的也是上班族的这个食堂所以在上海的一些商场和地下餐饮层我就经常看到这两个品牌一起开在地下
[00:17:32] 说起来这两家的确有很多相似之处我一度分不清楚这两个品牌因为他们首先都是直营的中式快餐品牌其次都是从一个地区品牌起家的然后现在都在全国拓展而且都在冲击IPO其实此前香春鸡曾经在纽交所上市过但是因为业绩不是很好就退市了然后现在其实在冲击港股上市因为两家公司都有比较完整的近期的财务数据所以我们其实可以大致的比较一下他们的经营状况
[00:18:00] 也能帮助我们从这个财务的模型上面理解一下中式快餐现在的这个情况这里我们就简单的举一下单店的这个收支模型这样一个案例啊我应该会更直观一点我们参考了东吴证券和华泰证券的一个研报然后再用招股书的这个数字简单的算了一下呃我们觉得他们这个估算的模型大致还是可靠的
[00:18:21] 当然这个只是一个估算而且他们都是以成熟的门店为标准的所以这个只是参考不是说你投钱做生意的话真的可以按照这个来考虑回本的这个过程那一个老乡街的门店呢它每个月的营业额大约是45万元左右然后每个月的支出呢最大头就是原材料和耗材嘛大约是17万那就占了37%那人工呢大约是8万到10万左右那接近两成剩下的就是租金水电外卖平台费还有一些折旧
[00:18:49] 加在一起大约是13万那全都扣完了之后最后剩下的就是他单店的运营的利润是4到5万元一个月也就是说他单店的运营的利润率是在9%左右9%这个数字作为一个连锁快餐品牌来说单店层面还不错不算特别高也不算特别差算比较能接受一个数字对的再来看看大米先生的话因为他每个门店的面积还有先期的投入比老乡街要小一些
[00:19:18] 所以我们按比例来折算的话其实它支出的各个部分的这个占比啊和老相机都差不多的但它的收入呢要稍微少一些其实就是因为老相机的这个客单价是在30元左右而大米先生呢要略低一些是在25元左右这个我觉得也跟目前大米先生主要就是门店分布的区域有关系因为他们现在还是在川渝和华中地区的店会多一些那这些地区的客单价其实也相对会低一点
[00:19:45] 还有一点要说明的就是我们在东吴政权的研报里面看到了它这个单电模型的对比里面大米先生这个运营利润率要超过10%比老乡鸡其实是要高的但是它里面列的这个员工的人均薪酬这一项只有老乡鸡的一半这个数字其实值得商榷一下因为根据乡村鸡的招股数它的人均薪酬和老乡鸡其实是差不多的
[00:20:06] 然后我们算了一下平均的单店员工也都是15人左右也是差不多的所以照道理来说他们的员工的薪酬的差距应该没有那么大如果修正了这样一个偏差之后其实大米甚至门店运营利润率会略低于老乡机的对不管怎么样老乡机的确是目前的指引中式快餐连锁里面的精英水平的一个标杆
[00:20:27] 因为它建立了一套能够辐射千电级别的从原材料到门店的管理系统而且实现了一个可以持续赚钱的单电模型那讲完了优势的部分我们接下来就来讲讲老相机和一线快餐品牌的这个差距了这里我们主要拿肯德基来比因为肯德基是中国规模最大的一个餐饮连锁品牌其实今年上半年它有9562家店其实麦当劳在中国只有5400家有蛮大的差距的
[00:20:55] 而且肯德基的母公司百胜中国是上市公司嘛所以我们还是有数据可查我们看一些公司层面的核心数据吧第一个是毛利率肯德基是19.9%而老相机呢是16.5%然后是净利率肯德基是9.8%老相机是3.8%虽然老相机的这个数据是照股数上面2022年的呃有这个疫情的影响但是就算不考虑疫情的影响老相机的这个净利润率啊也从来没有接近过10%这个水平
[00:21:22] 而在财务的健康程度上面的这个差距还要更大一些我们再举两个观察短期经营健康度的数据就是此前节目里面经常提到的一个是流动比例一个是速动比率都是看他近期的这个现金流用来尝这个流动负债这个能力吧大致是这个意思那肯德基呢这两个数据都超过了1.5而老乡鸡都是不足一的我们过去讲过一个简单的判断就是流动比率最好是在二以上那至少要在1.5以上才算是一个比较健康的公司
[00:21:50] 你前面说老乡鸡都不足一这个数据就令人有点担心了招股书呢对这个问题也有解释的他是说2021年起呢根据最新的一个租赁的会计的准则啊门店的租赁费用都是要被计入流动负债的那对于老乡鸡这样要租很多店面的公司来说呢他就会让他这个流动负债提升蛮多的但另一方面呢这个也会让原本这个租金的摊销这部分的这个费用扣掉所以他的这个净利润会更高所以其实这是财务上的一个变化就是一高一低了
[00:22:19] 但即便去除这个会计准则调整的影响我们大致估算了一下老乡机的流动比例也就在一左右其实还是不太理想的这个差距原因我觉得还是很综合的其实也不太能这么比因为像老乡机目前正在扩张期然后它投资比较多当然有些经营细节上面的差距还是看单电模型的话肯德基的客单价跟老乡机就是类似的但是它的原材料成本单电人工甚至是房租都会更少
[00:22:48] 这个一方面呢有品牌长期经营下来的一些优势另外一方面呢西式快餐有很大比例都是外带的所以它的品效呢可能也更有优势一些而且就算再怎么做中央厨房做标准化中式快餐在烹饪的简便性和成本低这两件事情上呢还是不如汉堡和炸鸡这可能是一个先天的小小的劣势更大的一个问题呢有可能是规模虽然我们今天一直在讲老相机的签店规模名列前茅
[00:23:15] 但其实它还是一个半区域性的一个品牌吧主要还是集中在长三角和华中地区那像华南和华北的店呢都很少而且截至目前之时它有一半的店还是在安徽境内的我们看到在招股书里面其实老乡鸡自己也将其列为一个比较靠前的经营风险啊就是集中在安徽这个问题他自己对此的解释是由于核心原材料的这个生产地还是在安徽然后再加上物流的限制所以它目前还覆盖不了更广阔的地区
[00:23:44] 我稍微有点疑问啊这里因为这种中央厨房制作好的半成品理论上都是可以通过冷链运输的吧对但是因为冷链运输的成本还是很高嘛你一个中央厨房或者一个生产基地要辐射全国或者更大范围的这个餐厅其实是比较困难的也是划不来的那像那些做到全国连锁的餐厅啊其实都要建立各个区域的一些原材料的基地和中央厨房的像海底捞啊包括九毛九啊都是这样的
[00:24:12] 那同样直营的萨利啊它虽然覆盖的规模更广但其实也就是签店水平嘛对吧嗯那树崇山自己就说直营这个模式是有很明显的规模上限的那现在老乡机能够开到1000家那再多能开到2000家3000家吗那其实有点难度的那探索加盟其实是这个公司的必经之路对的那这个其实就是一个非常重要的点啊之前我们一直在强调老乡机做到这个直营签店的规模非常不容易
[00:24:38] 但另外一方面也就说明它这个天华版的问题而家门或者是特许经营呢其实就可以让门店数快速的提升你像饮料市场我们比较熟悉的案例就是蜜雪冰城吧它能够达到万店的水平而餐饮业呢其实也有类似的例子你像杨国福麻辣烫就是它现在的门店数超过5000家然后它基本上都是家门的说起来啊就是蜜雪冰城和杨国福麻辣烫还有点类似
[00:25:01] 就是他们管理加盟商的一个核心都是自己把控这个核心原材料的供应蜜雪冰城是那些饮料的那些原材料而麻辣烫呢核心就是那个汤包在快餐领域本土的这种西式快餐比如像德克士华莱士塔斯汀其实走的也都是加盟模式吧肯德基和麦当劳在国内的门店目前还算是直营为主吧但是也正在快速提升所谓加盟店比例像肯德基的加盟店比例很快就要接近20%了
[00:25:28] 而且新开店的计划基本上主力也是加盟了说明一下就这两个品牌在中国的直营指的是这些门店他们是属于百胜中国和金拱门的而金拱门本身还是要支付给麦当劳授权费用的相当于他们是中国的大的特许经营商这种概念是吧对的就是唯一的特许经营商那我们就把它视作一种直营吧
[00:25:50] 话说回来目前老乡鸡其实也不是完全的制营模式它也有超过100家加盟店了但是这个加盟店对它的收入贡献占比还不到10%是一个比较小的比例刚才我们讲了这么多这个中式的和西式快餐的一些这个生意突然想到一个点我们岔开一句就是感觉这个鸡好像真的很适合快餐不论是西式的这个肯德基还是中制这些快餐
[00:26:18] 鸡好像都是最主要的食材之一唯一可以媲美鸡的是不是只有麦当劳这个汉堡肉但我觉得麦当劳现在中国做鸡也做很多对的我们就稍微研究了一下就发现这个事情其实还是蛮合理的就首先鸡肉啊它方便烹饪能够快速的变熟这个就很适合讲求速度的快餐嘛其次呢鸡肉本身没有很明显的味道所以它适合各种烹饪的方式其实这个也是肉类里面比较少见的一个特质
[00:26:46] 第三点呢我觉得也是最主要的因素就是它鸡的这个饲养成本相对较低首先它大规模的饲养的门槛比较低它不像牛肉一样需要很大的这个饲养的空间这点呢就很适合中国市场其次它的养殖速度呢也比较快你像我们前面讲的这个白羽鸡48天就能出来即使这个肥鸡老母鸡180天也能出来比牛肉肉还是快很多嘛还有就是鸡的这个饲料成本也比较低饲料是养殖当中最主要的一个成本项而鸡啊它的这个饲料转化率
[00:27:15] 在肉类里面是比较优秀的一只鸡它增加一斤的重量所需要的饲料相比于猪牛羊同比例都要更少这个就能让鸡成为比较容易大规模低成本获取的餐饮的原材料快餐都喜欢它也就比较好理解了这个不是麦当劳的麦乐鸡还有过一个故事就是他们当时想做麦乐鸡的时候不是很确定能不能做起来就去咨询了现在桥水的人
[00:27:43] 创始人Ray DalioRay Dalio说你就把鸡看成一个机器饲料进去鸡肉出来这是一个可以算的东西所以它是一个其实是很简单的一个东西当然讲到这里又暴露了我们是一个浓广天地节目的本质我觉得还稍微再补充一点吧就是鸡肉的瘦肉范围其实是更广的不同区域不同民族和不同饮食习惯的人其实都爱吃鸡那不像猪肉和牛肉其实都稍稍有一些限制
[00:28:11] 所以对于讲究多电连锁快餐来说肌肉也更适合铺开同意
[00:28:17] 刚才我们从一些基础的招股处理的数字入手分析了一下老乡鸡目前的经营状况以及它和行业领头羊之间的差距一方面我们觉得它摸索出了一套从源头到餐桌的中式快餐模式但是另一方面这种模式在规模和盈利能力上相比西式快餐的特许经营模式还有不足这两年老乡鸡的经营利润每年大概在1亿元左右疫情期间能做到这种水平很不容易但的确算是辛苦钱了
[00:28:45] 我们就在这个分析的基础之上再来看一下老乡机接下来的发展的方向其实最主要的一点就是扩大规模老乡机在IPO的募资用途上面写的第一条就是建华东总部其中的一个核心就是上海的一个中央厨房第二条就是扩电它三年内计划开700家直营店其中上海南京和苏州这三个城市就占了一半的计划
[00:29:09] 相当于老乡机已经把长三角尤其是上海作为这个公司接下来发展的重点当然北京广州和深圳也是开店的一个重点也开了要50家甚至更多可以说这个大城市的上班族这个重心是很明确了那这么来看的话虽然我们节目开头说暂停IPO并不是老乡机自己的问题但是这个对于老乡机来说影响还是有一些的因为它失去了一个最理想的扩张的资金来源
[00:29:36] 而另一方面在加盟这件事情上呢其实我们就没有在招股市里面看到有具体的计划啊那述从官自己也会说他们加盟很重视但是也会很谨慎比如说一定要让加盟商赚钱啊一定要挑比较好的加盟商啊等等的但我相信他肯定会在接下来的这个发展过程当中提高加盟的比例因为执行的这个天皇板真的很明显因为像开放加盟或者快速扩张呢确实会带来很多风险
[00:30:00] 老乡机实现目前的指引规模其实也是不断在解决连锁的问题当中走过来的有一个小例子就是老乡机的招呼书里面记录了一笔2019年的营业外支出
[00:30:12] 这个支出有一千多万是不小的数字那这个支出名目叫职务侵占损失是2017年老乡机在江苏的一位财务经理伪造了这个地区门店的支付宝付款记录从公司挪用了一笔资金这个当中其实公司的财务管理有一个挺明显的风险就是当时公司的支付宝刚刚开通给这位经理提供了转账的权限但是没有转账的限额
[00:30:36] 可以看到即便是直营都需要在这些重大的经验教训当中不断地完善管理那你要做家门的话其实风险还会更多
[00:30:52] 说到这里呢这期节目关于老乡鸡的这个探讨就差不多了最后啊我们想岔开来说一个中式快餐早期的失败案例就是百胜中国推出的东方记白也是肯德基的兄弟品牌啊我们前面说老乡鸡目前的知名度还是区域性的那东方记白就更是了它的门店巅峰时期其实也就只有30家
[00:31:14] 不过东方济白成立的非常早我们查了一下是2004年可以算是国内比较早一批尝试中式快餐品牌了对而且一开始它的声势非常大因为是百胜中国做的而且东方济白这个名字又取自苏氏的词我记得媒体采访当时百胜中国的总裁苏静氏的时候就说你这个品牌名是不是你自己起的我觉得这个名字其实也算是它的失败原因之一因为名字太哑了实在很难跟快餐联系在一起
[00:31:41] 对其实我们和现在的老乡鸡和乡村鸡这些公司一对比就能发现东方济白的这个失败原因有很多啊首先就是定位东方济白一上来就开在这个大城市的热门商场或者是火车站飞机场这些租金很贵的地方而且也没有明确的瞄准上班族这个市场而且他当时的客单价就超过了30元在那个时候其实是蛮贵的那这个呢就让他失去了一个蛮赚的客群其次就是产品虽然他的名号是中式快餐啊但是让他的菜品非常的模糊
[00:32:09] 似乎是一个转型到一半的必胜客和肯德基的这个混合体我们看了一下2012年的一份菜单里边菜品们有200多个我报一些菜名啊主食有猪排面照烧鸡腿饭小鸡蘑菇饭然后还有个下午茶菜单里面有蛋塔布丁紫米露和新奥尔良烤翅
[00:32:30] 感觉是一个什么极限缝合怪啊感觉就是这个公司的产品部门接到任务说你给我搞一个中式菜单出来然后研发部门就就着自己已有的材料随便改一改然后说这个其实就算中式了吧就是这种感觉反正就是完全不是从消费者的需求出发的而且也更加不可能有母鸡汤啊或者说是什么小丑肉宫保鸡丁这样的一些招牌菜了其实后来到了2020年的时候东方济白
[00:32:56] 大改过一次定位变成了一个以包子为核心的点心店了但已经为时已晚那我们举东方之白这个例子呢其实是为了说明餐饮就是一个很复杂的行业即使同样是快餐同样是中式快餐不同的菜式之间经验也不太能转移而老乡鸡和他们同行最大的价值之一就是他们从中餐本身出发探索出来一个大规模连锁的路径当然同时啊中餐本身也是一个天然的护城河
[00:33:23] 就是会有很多很多的人即便我要快速的解决一顿饭但是想吃的呢还是中餐但这个人群它背后代表的是一个数万亿元级别的一个大市场它足够的容纳几个大公司这个呢也是老乡鸡和他同行现在创业的一个基础吧那接下来老乡鸡这些公司要证明就是自己能够从1000家店买起来5000家店甚至1万家店从区域连锁走向全国连锁对于连锁快餐来说规模永远是最大的考验
[00:33:52] 商业就是这样
