Vol.79 纳斯达克简史
[00:04:40] 它实际上是国家证券从业者协会自动报价系统的缩写什么很长对OK但是从这个名字可以看出来它首先它是一个行业组织的业务而且它是一个数字化的业务这个数字化业务就是说把供需双方对于股票的交易报价披露在一个数字化系统里面它不是一个实际的交易组织它是一个交易系统的数据表
[00:05:07] OK就是大致理解了刚才袁老师那一串术语的意思但是我的疑问就更多了首先第一个问题就是当时那些披露这个报价的都是一些什么样的股票在这个纳斯达克上面披露的呢因为本来已经有一些交易所了嘛第二个问题就是谁在披露这些报价然后他们是怎么来交易这个股票的第三个问题就是既然纳斯达克这个系统它不完成交易那么这个交易到底是怎么完成的呢以及这个系统到底能起到什么样的帮助最后一个最想问的就是
[00:05:37] 既然已经有一个成熟的交易所了为什么还需要一个纳斯达克这个新的系统感觉我什么也没有解释清楚所以说就是要慢慢展开嘛那我就一个一个来然后把纳斯达克这个机制大概说一说第一个就是你问披露报价都是些什么股票嘛当时美国最大的政权交易所就是纽交所嘛但是纽交所其实是一个门槛很高的交易场所A股一样高吗差不多
[00:06:03] 你想要在里面挂牌上市呢你首先公司要达到比较高的业绩规模和盈利水平而且呢纽交所整个历史比较悠久所以它整体来说就会倾向于传统的大公司比如说什么钢铁啊能源啊制造业领售业之类的
[00:06:18] 那些中小型企业它当然也有融资的需求啊说不定更缺钱对吧尤其是当时美国最火的是半导体行业它出了一些技术上面很先进的通信啊计算机和芯片的公司他们都很需要钱但是呢他们在规模上都达不到纽交所这个门槛因为他们财报上有可能是亏钱的然后你想要买这些公司的股票呢需要去银行或者证券机构的柜台这个英文叫over the counterOTC这也被称为场外市场
[00:06:47] 在纳斯达克这个系统里面披露交易信息的股票呢其实都是场外市场的股票所以在纳斯达克里面披露信息的都是一些我们打双引号上不了台面的或者是进不了大市场的一些公司是吗对啊就是这些不是很大的公司但是我们现在看到在这些就是不是很大的公司比如说那些不赚钱的半导体公司里面就包括了现在鼎鼎大名的英特尔和AMD
[00:07:13] 没错然后就进入到你前面提的第二个问题就是谁在披露这些股票的报价其实不是想要买这些股票的个人而是做市商前面提到了就是说股民想要买这些中小公司的股票的话要通过银行或者证券机构这个不是单纯的一个交易场所的问题而是因为银行或者证券机构实际上是先买进了一部分这些公司的股票股民呢实际上是跟这些机构来交易的
[00:07:38] 股民抛的时候呢也是跟机构交易的所以这些机构呢就是承担了一点点调节市场的功能这些机构呢在市场上也被称为做市商而在纳斯达克披露交易价格的都是做市商因为做市商这个概念呢其实稍微有点模糊就是有很多人认为做市商其实就是所谓的庄家庄家尤其在中国这个语境下还是有点贬义的
[00:08:00] 这两者区别我们就不展开解析了简单来说就是做市商首先他受到了严格的监管其次他的交易价格必须是公开透明的最后他在这个市场里面作用是保证流动性哪怕是不利于自己的时候也必须按照不太好的交易价格来做事最后这一点就跟庄家有明显的不同了另外纳斯达克是有一个规定的就是说交易活跃的股票必须分给多个做市场来做交易
[00:08:28] 这样在做市商之间能够形成竞争可以进一步改善原本场外市场交易不太活跃的问题也正是因为做市商比较多了尤其是它有可能是一个遍布全国的一个情况然后这个信息也更复杂了所以才有建立一个电子报价系统的价值这个也就回答了肖温杰前面提的第四个问题就是说本来可以比较随意的随便买买的这种场外市场交易为什么要在纳斯达克报价呢
[00:08:55] 就是因为当时场外交易的新公司越来越多范围很广交易还很活跃然后做事商还很多所以它这个信息的统计和披露就要求很高信息透明就可以提升更高的效率
[00:09:08] 其实刚才岳老师的话就是把纳斯达克这样一个交易的信息披露的这个系统最早它的功能以及谁在用它以及为什么会产生这样的功能给大致介绍一下那我们其实我最早问的问题的话只剩下第三个问题了就是既然这个纳斯达克它只提供一个信息披露的功能那么这个信息披露还是为了交易吗那交易到底是怎么完成的呢
[00:09:32] 这个部分有点好笑就是做市商在很长一段时间里面实际上是要靠互相打电话完成交易的What就是感觉像职业体育球队买卖球员一样所以就是他们就对着这个信息披露的这个系统上面的数字然后再互相打电话这样来交易吗没错感觉就是一个没有交易功能的淘宝有够目录的概念那他们干嘛不直接开发一个交易的功能就直接在这个纳斯达克这个平台上交易就算了呢
[00:10:02] 纳斯达克也是这么想的只是他们技术上面没有跟进这么快好吧他其实是到1984年才终于引入了一个自动能够匹配报价然后完成交易的系统但是这个操作系统就是比较小最高只支持每笔
[00:10:19] 一千股的操作那怎么够呢然后直到1997年他才引入了比较完善的所谓电子通讯系统才真正变成一个你只要坐在电脑前操作就完全不需要打电话就可以完成交易的电子化的交易所他在1999年还脱离了前面提到那个证券从业者协会变成一家真正的独立公司
[00:10:40] 所以它是经过了其实有20多年的时间才从一个单纯的功能化的一个系统变成了一个带有交易功能的一个完整的交易所怎么说呢就考虑到纳斯达克倒是吸引的都是全美最好的科技企业像那些半导体啊芯片什么的它自己这个数字化的程度是不是稍许有些慢啊怎么说呢又不是不能用就是这个市场上面如果卖的东西足够好的话其实市场是可以稍微容忍一些技术上的落后的
[00:11:09] 其实前面大家也能够感受到了纳斯达克这个所谓的新兴交易所最大的吸引力肯定不是它的技术有什么先进性只是它因为有一些很好的可以交易的股票这些新的公司呢给纳斯达克一度带来了很大的繁荣然后直到一个非常惨烈的结局在2000年初就出现了此后纳斯达克用了将近10年的时间才逐渐把自己的品牌修复起来
[00:11:34] 前面有老师讲了很多纳斯达克这个交易制度包括它技术上面的一些介绍大家听起来可能有点晕啊但是要讲到在纳斯达克上市的公司那可就不困了大家醒醒醒醒啊举个例子就是目前全世界价值最高的前六家科技公司分别是苹果微软亚马逊Alphabet特斯拉和Meta他们都是在纳斯达克上市的
[00:11:57] 如果你只看这个全美市值最高超过万亿美元级别的公司这方面就是纳斯达克是完爆纽交所因为纽交所里面一个也没有真正的时代弄潮儿是吧但我有个小问题就是你刚才举这些公司其实他们上市的时候已经不是那种初创的亏钱的这个新技术公司了你像当年Facebook上市的时候多么风光对吧我想纽交所肯定也非常希望他们能去上市他们为什么都还是选择了去纳斯达克呢
[00:12:25] 肖老师提到的就是一个交易所之间的竞争问题这个里面确实有一些前辈的影响前面提到英特尔和AMD都是在纳斯达克创立之初就开始在这个系统里面披露报价的企业到1980年纳斯达克又把苹果公司吸引来了这个牌子基本上就立住了我看到纳斯达克的前副主席这个人叫桑迪夫鲁彻说如果他要劝一个公司去纳斯达克上市他就会问
[00:12:52] 你们是愿意追随安德鲁梅隆和安德鲁卡内基的脚步还是愿意追随史蒂夫乔布斯脚步这话讲的这个梅隆和卡内基也很有魅力啊不过也没有办法对吧就是人人都爱乔布斯就乔布斯毕竟是那个时代的一个图腾就是啊所以说到1980年代这个纳斯达克已经挤满了像什么半导体公司啊和计算机公司反正都是一些科技股嘛然后它就变成了一个很像专业市场的地方
[00:13:20] 这种局势到1990年代更加是变本加厉因为当时又有一堆互联网公司也来上市了其中一个比较疯狂的案例就是做互联网浏览器的网井公司Netscape这家公司在纳斯达克挂牌的时候距离它成立还不到16个月网井也是实在的眼泪了我们之前不是讲瑞幸的时候说它从成立到纳斯达克上市只花了18个月没想到竟然不是最快的网井比它快两个月快一点点
[00:13:46] 而且对这家公司IPO市场当时的反响是极好的网警的IPO地价是14美元然后开盘以后就一路飙升到71美元在两个小时之内它的500万股发行股票被抢购一空当天的收盘价是58块2毛5华尔街日报对这个事情的评价是美国通用动力公司花了43年才使自己的市值达到27亿美元而网警只花了一分钟
[00:14:15] 但后面的故事很多人也知道了就是网警成为了2000年代初这个互联网泡沫破裂时候的一个典型的代表没错网警上市的早期虽然冲得非常猛但是当时还有一家公司叫微软微软马上就开始做自己的IE浏览器然后在自己的Windows系统里面捆绑发布网警此后呢就是就知识产权和反垄断问题就一直跟微软打官司嘛打到1999年
[00:14:40] 当年网警自己就被收购了然后微软呢也被法院判决它确实是一个垄断的公司导致整个市场的信心大跌最后就引发了2000到2002年的互联网泡沫破裂嘛这就是岳老师前面提到那个惨烈的结局是的在互联网泡沫最大的时候任何名字后面加个.com的公司啊这个投资者都会抢着买亏死什么的无所谓啊只要有所谓的网络效应就可以了嘛但是在这种信心出现裂痕以后呢这个抛售也是一泻千里的
[00:15:09] 前面提到这个泡沫破裂花了大概两年多一点时间在这个过程中纳斯达克指数跌掉了78%选择来到纳斯达克上市的公司也从1990年代每年大概300多家的一个规模掉到80多家就是说得很厉害我们查到在1990年代的时候纳斯达克还给自己在电视上面做过一个品牌广告他确实是像一个品牌一样的还给自己打广告他说自己是the stock market for the next 100 years
[00:15:37] 就是为未来100年而生的股票市场就是像21世纪股票市场一样的感觉谁能想到就是10年之后这个公司就要忙着来重振投资者还有一些公司对他的一个信心了而且当时传统纽交所还是虎视眈眈的据说纽交所的CEO在自己的股票代码系统里边特意保留了I和M这两个首字母就是希望把英特尔和微软从纳斯达克挖过去
[00:16:03] 所以说在2000年代初呢纳斯达克就急于重振信心他们找来了一位新的CEO叫鲍勃·格雷菲尔德然后希望他来稳住局面鲍勃上任以后呢就做了很多非常关键的事情包括纳斯达克这家公司本身的降本增效他就看哪里能够再减点成本包括收购了当时市面上最好的两家电子交易技术公司以及在市面上拼命开拓包括IPO在内的各种收入来源
[00:16:31] 前面你提到其实在互联网泡沫破灭之后纳斯达克最主要的事情就是要重振市场对他的信心要么就带来讲讲这位Bob这位CEO怎么来重振或者是重建这个品牌的信心Bob在纳斯达克工作时间非常长离任以后他也就这段职业履历写了一本书叫《市场推手》这个其实很好的概括了纳斯达克理论上的一个核心价值就是市场的推手他在这个书里面说
[00:16:58] 纳斯达克和纽交所在大多数CEO的头脑里面其实是有着完全不同的品牌形象而且会跟这家公司自身的形象高度的吻合如果这家公司觉得我早就来了我地位着然那他就会去纽交所如果这家公司觉得我在成长在创新在创业那就会选择纳斯达克一个交易市场本身能够有鲜明的品牌形象其实还是蛮难的比如说你想想看上交所和深交所
[00:17:26] 你一定要能够说出他们之间有很大的差异吗没有就比较困难对吧像港交所的话也是因为这两年吸引了一些新经纪的公司有可能你还会有一点品牌上的一些差异的感觉但是大多数交易所其实你很难有这种差异对的所以说纳斯达克要做所谓的客户服务也就是服务以上市的公司或者说想要来上市的IPO项目其实也是沿袭这个思路就是把品牌这件事情做到极致
[00:17:51] 在IPO方面呢他们依然要找全世界最好的科技企业来纳斯达克上市不仅是像你前面提到Facebook或者说后面的Airbnb这样的美国企业那也包括像阿里巴巴这样的中国企业但阿里巴巴是在纳斯达克上市的吗不是因为阿里巴巴这个项目就是纳斯达克在跟纽交所battle的时候失败了Bob自己在书里也写了就是说他觉得是因为阿里巴巴这个项目太大然后涉及的财团和投行比较多但是这些
[00:18:19] 银行家们都比较倾向于稳妥一点的纽交所对于已经上市的企业呢纳斯达克的想法是给他们定制一些服务来帮助他们庆祝公司发展过程中的里程碑时庆祝比如说星巴克星巴克也是一度想跳到纽交所上市的然后Bob听说这个事情以后就坐不住了那就跑到了西雅图去稳住这位大客户他们想到一个方法就是当时舒尔茨有一本新书要发布
[00:18:48] 然后他也是公司马上要上市20周年了那就顺势给他办一个周年庆吧就在西亚图给他办了一个盛大的开业中活动舒尔茨在当场发布了一段非常激动人心的讲话这个大库库也是这么稳住了等等啊就星巴克原来是在纳斯达克上市的吗对的呀舒尔茨收购星巴克母公司的话是在1987年然后1992年去纳斯达克上市
[00:19:12] 他其实当时是一个妥妥的新兴创业公司好吧另外纳斯达克作为电子交易所他虽然没有实质上的交易中心他其实只要有个数据中心理论上就够了对但是他在纽约曼哈顿的中心位置有一个非常象征意义的场所就是一个模拟的交易中心这样的吗但这个交易中心确实不做交易他常年租给像CNBC和彭博社这样的财经媒体来播财经新闻
[00:19:39] 他们也可以在这个场所里面做一些上市公司的采访因为有些上市公司的开始钟之类的场合也是放在这个交易中心里面的包括你也可以直接把这个场所对外出租你想办点什么庆祝活动都可以在这个场所里面来办这个交易中心还有一个特点就是它外面有一块非常大的电子屏幕这是一个非常非常重要的广告位对所有在纳斯达克去上市的公司或者是你只想单纯的花点钱在时代广场打广告的公司可能都会买这块屏
[00:20:08] 听上去纳斯达克就是一个很会做品牌的很会做marketing的一个公司
[00:20:38] 最后我们还是回到纳斯达克这家公司本身前面提到了1999年纳斯达克成为了一家独立的公司到2002年它自己也成为了一家上市公司而且是在自己的交易所上市的它的股票代码是NASDAQ.NDAQ自己挂自己从未见过的操作确实是我也没听说过这个操作不过作为一家公司的纳斯达克这几年的表现其实还不错
[00:21:04] 看了一下数据它在2021财年它的营收有34.2亿美元股价曾经达到过历史最高峰是70美元左右如果从营收和市值规模来说呢它其实是一家标准的美国的中型公司在整个金融服务业的上市公司当中表现确实是不错的所以作为一个交易所这纳斯达克主要是靠哪些东西来赚钱的呢主要分成四块它们叫市场服务
[00:21:31] 企业平台投资情报和市场技术授权果然是金融公司很会起名字反正听完了这四个也不知道到底是靠什么赚钱的我们就一个一个来说它具体是什么先说最简单叫投资情报它其实就是纳斯达克成立时候那个技术就是与交易相关的信息数据纳斯达克和其他交易所一样他们会把交易所里面涉及到各种各样的数据出售给交易机构和CNBC 雅虎财经这类的公众网站
[00:21:59] 他们就可以在像彭博基这样的交易终端或者说你手机上面打开就能看到一些数据就是这些报价的数据是可以卖的原来是要花钱买的都是花钱买的就是你以为你随便就可以看到吗不是的而且根据数据的复杂程度和价值的高低这个卖的报价也不一样比如说有一个资产管理公司他想要做一个基金这个基金是基于纳斯达克指数来设定的然后这个基金的规模如果越大的话
[00:22:27] 纳斯达克收的数据授权费也会越贵总的来说卖数据这些业务呢就是给纳斯达克带来了大概30%的营收哦还是蛮多的而且这个数据的营收的话应该是蛮稳定的毕竟哪个金融公司不愿意花这笔钱呢对第二个比较容易理解的服务叫市场服务
[00:22:45] 这个其实就是交易所在每笔交易里面抽的手续费以及清算费用组成的这个最好理解了简单来说交易所的规模越大而且交易越活跃这部分的收入肯定也就越高它跟整个市场的情况是高度相关的不管是熊市还是牛市只要你活跃就好我就能赚钱理解了像这两年在纳斯达克上市的科技企业都很受关注像特斯拉交易非常的热闹相信最愿意看到这个局面的就是纳斯达克本人
[00:23:14] 这里要稍微展开说一下因为纳斯达克公司旗下现在不仅是纳斯达克这一个交易所在我们前面提到那位CEOBob的任期里面纳斯达克展开了比较激进的并购它现在是一个交易所集团旗下有20家交易所这么多的吗对这个交易的过程蛮复杂的举几个例子它早先买的交易所叫美国费城交易所
[00:23:39] 费城交易所跟纳斯达克很不一样因为纳斯达克做的是股票类的交易但是费城交易所做的是期权交易就相比股票交易来说风险更高但是也更赚钱类似美国国内的交易所并购呢还包括就是历史比较悠久的波士顿证券交易所这个交易还蛮有名的其实更悠久的还有一个就是
[00:24:00] 伦敦证券交易所在2006年的时候纳斯达克是提出过收购伦交所的计划的但是被伦交所否决了然后他们就是转头去欧洲市场上看还有什么可以买的呢就看中了市场上比较独特的一块业务叫OMX这个叫北欧交易所这个北欧交易所很有意思它是个区域交易所但是覆盖了整个斯堪迪纳维亚半岛的所有国家那些国家的上市公司基本上都是在这个区域交易所里面交易的
[00:24:27] 结果这个收购交易做到一半呢一半人插手进来最后变成一个比较复杂的三方持股关系但是OMX最后是进入到了纳斯达克这个体系里面的后来纳斯达克还在北欧买国另一个电力交易所我觉得这个在目前国际能源转型的背景下是一个很有前程性的角色
[00:24:46] 就是它其实不单单是在各个区域买重圈的交易所还会买除了股票以外别的一些产品的交易所还是蛮多元各种类型都有的而且你前面不是讲到轮交所吗我就想起来前两年港交所也想过买轮交所也被否决了所以交易所他们都是蛮希望通过并购来扩大自己的这样一个业务的规模的是吧对的
[00:25:10] 就是还是说回来不管是哪里的交易所其实像交易费或者清算费这样的收入我们前面也提到都是受市场活跃度影响很大的所以就导致这部分就是很不稳定比如说2020年全球新冠疫情很严重市场波动也很剧烈那纳斯达克就血赚但是在比如说2019年那个年景就是平稳向下平稳向下可惜对就是这部分收入呢同比就是会有明确的下滑
[00:25:36] 总体来说这部分所谓的市场服务收入占到了整个纳斯达克总收入的30%到40%也是一块很重要的收入了所以前面讲到的投资情报加上这块市场服务加在一起就是有个60% 70%所以剩下的两块的话就是比例相对小一些是吗都是一些副业第三块叫企业平台服务它对整个纳斯达克收入的贡献在20%以内
[00:26:01] 他主要做的就是我们前面提到服务客户的部分包括一些IPO的服务啊一些老客户的所谓投资者关系管理IPO服务其实也是看年景的嘛就是有些创业公司在二级市场估值非常高但他就是忍着不上市这个就很影响这部分收入这个是一看每年做几个大单那种类型那其实也很好理解吧就有的公司也是担心上市之后估值变市值马上缩水一大圈而且一级市场再怎么冷的话热钱还是比
[00:26:29] 几十年前这个规模要大很多一个创业公司想要融资的话完全可以长期的保持一个非上市的状态不用像当年的英特尔或AMD那样非得去公开市场卖股票才能融到钱最后一部分很小部分叫市场技术授权但是这个其实值得多讲一点市场技术授权的本质就是把纳斯达克自己拥有的各种金融服务的能力以解决方案的形式卖给其他的客户还是听不懂
[00:26:56] 我们前面提到就是纳斯达克虽然生下来就是一个数字化的系统但是他最早期不是没有数字化的交易能力吗这块是后补上来的其实纳斯达克在1990年代遇到过很大的危机就是当时的做市商开始把注意力集中在一种名叫ECN的电子化交易系统里面就是他不太想去纳斯达克了所以就是在纳斯达克做电子化交易之前有别的一些公司在做这个事情了对有很多而且都做得很好相比
[00:27:25] 纳斯达克来说ECN当时有很多明确的优势比如说它最大一个优势就是可以自动的撮合交易这个就完全不需要你打电话了它允许用户匿名的交易这个对于有些公司来说是很重要的然后它经常可以做到就是更好的成交价格所以说整体来说非常受做市场的欢迎有你这个电子化东西我要纳斯达克干嘛呢所以在Bob去担任纳斯达克CEO的前期他最重要的工作就是去市场上买了两家最好的ECN服务商
[00:27:54] 然后把这套数字化的交易系统塞到纳斯达克的后台里面就变成了纳斯达克自己的所谓金融科技的基础所以交易的部分的功能最后是靠收购来完成的对 就是很靠收购而且这套系统总体运行的还不错只出过一个比较严重的bug就正好是在Facebook的IPO当天他们已经在硅谷已经敲完钟了非常开心结果回去路上发现公司的开市价迟迟没有出来
[00:28:21] 这样的吗这个报告还是蛮大的影响非常大就是前面Bob不是说阿里巴巴的IPO是被银行家搅黄的吗其实还有个说法就是因为大家都目睹了整个混乱的过程阿里巴巴作为排在Facebook之后想上市的一个公司就觉得说纳斯达克是不是略略有点不靠谱那这个影响不仅仅是丢了Facebook的脸面还把一个后面的潜在大沟沟给丢掉了反正有一些这样的影响
[00:28:46] 当然后来纳斯达克就是很快就重新梳理了流程把自己的这个金融后台的业务加强了而且变成了一块可以卖的服务比如说他们现在有一些金融产品的框架可以基于云服务来提供的你只要直接下载一下可以给你定期的更新纳斯达克其实非常看好这块业务的前景所以说也还是通过不断的去做并购来加强这个部分
[00:29:10] 2020年纳斯达克就以27.5亿美元的价格收购了一个做反洗钱和反欺诈的金融服务公司叫VirofinVirofin原来的客户就包括了很多中小银行就说明他们确实非常重视这些事情这个就属于我们比较专业的这个金融科技领域的一些专业的服务了对
[00:29:29] 包括这两年不是加密货币和区块链都很火吗实际上所有的交易所也都在盯着这些业务没错这个真要说挣钱的话现在一些加密货币的交易所那才是真的挣钱那萨克其实在2015年就开始去探索区块链技术包括区块链技术和股权期货交易的结合
[00:29:48] 现任的CEO弗里德曼甚至一度表示说一旦时机成熟纳斯达克就会考虑变成一个加密货币交易所时机成熟但是由于这个数字货币大家都知道这是受到监管机构的密切的关注加上纳斯达克本身这个背景还有它的影响力非常大所以说这个时机也不知道什么时候才算成熟
[00:30:09] 听完刚才有老师的介绍的话其实觉得纳斯达克本身还是一个很有意思的公司可能绝大多数对金融稍微有点概念的朋友都听过这四个字或觉得它是一个创业公司的一个梦想之地和世界上最重要的一些科技公司紧紧的绑定但是对于纳斯达克本身是如何发展的它靠什么赚钱以及如何形成这么一个鲜明的品牌其实了解是不多的有一点灯下黑的意思所以这部分其实听下来还是蛮有收获的
[00:30:36] 这其实是由纳斯达克本身的双重属性所决定的作为市场它的关键就是保证交易的稳定和活跃度不断的提升效率不管是通过数字化这样技术的改进还是说引入更多做市商的这种机制上的改进都是可以的但是作为公司呢它的关键就是从市场组织者这个角色入手去找更多赚钱的方法这里面既可以做大规模也可以做大品牌还有就是可以做大服务能力
[00:31:03] 由于这一期节目主要介绍的是作为公司的纳斯达克其实我们还是省略了很多关于交易制度的概念和内容这些对于一个作为市场的纳斯达克来说还是非常重要的但是确实有点超出我们的能力范围它真的是非常非常复杂如果有听众朋友对这个感兴趣的话还是十分推荐去找专业的书籍或者其他的一些节目来学习不过我们觉得纳斯达克的故事也证明了
[00:31:26] 一个非常基本但是运行的很好的商业机制本身也可以演变成一个好的商业模式当然前提就是它必须要始终关注并满足市场参与者的需求不断自我革新才能始终保持一个领先的地位商业就是这样
[00:31:48] 感谢收听这一期的商业就是这样你可以在苹果播客小宇宙喜马拉雅网易云音乐QQ音乐荔枝等平台收听我们的节目微信公众号第一财经emagazine也会推送每期节目的内容如果喜欢我们欢迎你在苹果播客给我们五星好评并期待你在各个平台与我们交流尤其欢迎分享你感兴趣的话题下期见
