Vol.155 体育赛事到底能为城市带来多少收益？
[00:05:20] 然后球迷离球场的距离也非常的近全场他们都会热情高唱的为球队来欢呼而这个氛围的基础就是一座非常现代化的球场阿森纳目前的球场是2006年启用的球长球场这就是英超第一座所谓现代化的球场阿森纳这个俱乐部成为地产开发商的原因就和这座新的主场相关2006年原来是一个十多年前的故事怪不得可以谈谈它对于周边社区的影响了对因为累积了一些数据了
[00:05:47] 我们还是回过头来讲这个球场是怎么诞生的其实早在1997年阿森纳就有新建球场的想法了当时的背景是英超已经越来越受欢迎了然后阿森纳的成绩也很好球迷非常的多当时它的主场叫海布里球场是一个建于1913年的老球场了然后它的容纳人数比较少设施也很陈旧所以新建一个现代化的球场就能大大的增加座位数改善球迷的体验对于俱乐部来说商业上更重要的就是能够获得更高的比赛日收入
[00:06:16] 据说当时阿森纳有这个想法的一个契机就是他参加了一次欧联杯的比赛当时他借用了规模更大的英国的国家球场就是温布利球场虽然这场比赛阿森纳是输掉了但是那个比赛日单日他的收入就有100万英镑这个就让阿森纳觉得搞一个大球场是大有可为的但是这个球场不是你想造就能造这个计划一开始就遭遇了非常多阻碍堪称是史上最复杂的球场建设项目之一
[00:06:43] 其实也体现出了这个球赛和社区整个复杂关系那前面也说这个项目是1997年就有想法到2006年才建成了这个十年的跨度也能看出来整个事情不是很容易那一开始阿斯纳计划呢其实是把这个老的海布里球场拆了重建的但是呢因为这个工程要拆掉周围的25户居民的住宅所以就遭到了他们的反对后来呢这个海布里球场也被列为了英国的这个二级历史建筑就不能全部拆掉了所以这条路就断掉了
[00:07:09] 阿森纳俱乐部又准备收购前面我们提到的温布利球场这不仅仅是英国的国家足球场英国国家队的这个主场还举办过奥运会的开幕式世界杯的决赛等等的但是这个球队的offer呢又遭到了当时英足协的这个反对所以这两条路呢都不行留给阿森纳的只有第三条路就是另外新建一个球场新建球场其实是一个风险比较大的决策因为足球俱乐部和本地社区有很强的联系而这种联系最直接体现就是球场本身
[00:07:36] 那伦敦本身就有很多的足球俱乐部如果你搬到一个别的地方去那你原来的球迷还来不来你这里看球呢那新球场附近的居民又要不要支持你呢这都是未知数对的所以我们就看到阿森纳考虑了很多的选址啊其中一个最大然后周围最空也最容易实现的场地呢后来就被否决了原因就是它太远了离原来的海布里球场有十几公里那最后阿森纳选择的新址呢是一个距离海布里球场只有500米的一块地方
[00:08:03] 一站地铁距离的其实就没有所谓球迷归属感的问题他还是可以去这个地方但这个选址就带来了新的挑战就是这个新球场它所在的叫伊斯林顿区是北伦敦一个我们说充分开发过的一个地区所以周围的建筑密度非常的高这个开发难度就很大主要的挑战我们举三个第一个就是新址范围内有80多家企业还有很多土地属于当地的议会
[00:08:28] 所以阿森纳要一个个说服他们把这些地都买下来第二个就是原来的海部理球场如果空关了不用的话周围的居民也不会答应的所以该怎么办第三个问题就是造这个新球场钱从哪里来感觉没有一个是好办的问题对的比如说第一个问题阿森纳就毫不意外的遇到了许多当地企业的反对他们还组成了一个叫伊斯林顿体育场社区联盟的组织让他们递交了八份的反对文件抗议这个开发计划
[00:08:56] 最后阿森纳是经过两年的时间终于获得了当地议会的支持这个过程当中你除了买地要讨价还价还有很多交易之外的交分和妥协我举一个小例子原来这个地方是有一个垃圾处理厂的那么你要在这边造新厨厂这个处理厂还是得有所以阿森纳你就必须另外找一块地方新造一个垃圾处理厂而且这个新的地方不能离居民区太近不然的话新的居民又不开心了所以这个选址又花了很多的时间花了很多的钱最终花费是4000万英镑
[00:09:25] 看到为了安抚人心阿森纳当时的主帅温格还要为这个新的垃圾处理厂剪裁他真是辛苦了教授辛苦了啊那第二个问题呢其实也很复杂就是如果你直接弃用这个海布里球场的话那么周围的商铺和居民他们的这个收益会大大的下降所以阿森纳就提交了一个方案就是把有历史价值的这个西看台啊保留下来然后改建成一个高级的公寓然后其他的部分呢拆掉然后建成一个完整的住宅区这里有一个基本逻辑就说
[00:09:53] 要通过这个规划核心就是要获得议会的支持
[00:09:56] 所以说建新球场只是整个规划里的一部分然后其实这个规划的关键是如何照顾到其他人没错我们看一下当时阿生大自己提到这个规划里边整个新建球场和改建老球场的项目他说要创造1800个新的工作岗位同时要保留或取代2100个现有岗位同时还要增加2300套住宅其中25%到35%还得是保障性住宅
[00:10:21] 此外呢还要建一个公园要建两个托儿所要建一个社区体育中心还要建四个社区卫生中心这些东西都承诺到了之后这个项目可能才最后能够通过这么一说也明白了为什么你开头说阿森纳成为了当年伦敦最大的住宅开发商这个已经不是住宅开发这简直是重建了一整个社区那与此同时呢整个项目也因此他的这个预算啊从最初的两亿英镑左右提升到了四亿其中新建球场只有2.5亿啊
[00:10:50] 所以剩下来的接近一半都是刚才说到的这些配套工程这因为这个预算大大超支所以阿森纳又得花两年多的时间筹钱就是我们刚讲第三个问题比如说他就引入了冠名赞助商阿联球航空这也是为什么这个球场最后就被命名为球长球场尽管如此球队还要另外再借很多的钱所以直到2011年阿森纳才还清了这个新建球场所产生的债务这个过程当中他还不得不出售一些优秀的球员来赚取转会费的收入
[00:11:17] 那这个球队的成绩呢也受了一些影响我觉得阿斯纳球迷不会同意的他们可能未必觉得只是受了一些影响啊欢迎我们这个听友当中阿斯纳球迷在留言区里面说说自己淋雨的经历啊但最终呢我们还是看到这个项目在商业上是非常成功的球长球场让阿斯纳的主场座位数从4万增加到了6万
[00:11:39] 同时这个现代化球场也让比赛日变成了一个全天性的社区的嘉年华因为它配套了非常多的娱乐的这些设施那阿森纳的比赛日收入呢就从海布里时代的3000多万英镑一年增加到了现在的1亿英镑那说回到我们今天节目的主题就是新球场对于周边社区到底有多少价值那比较显性的是基础设施比如说阿森纳为了让周围的交通能够承接整个比赛日的大客流出资修缮了场馆周围的三个地铁站
[00:12:08] 此外还有刚才说的那些公共服务设施而长远来看一个最具象征性的指标就是房价本身2011年伦敦政经学院有几位学者联合发表一篇论文也接着就是大型足球场对于周边地区房价的影响其中就以球场球场为例做了一些计算当中的数据采集和计算方式比较复杂我们就直接说结论了从位置来看就是这个大型足球场对于它半径4公里以内的房产都会有一定的正向影响
[00:12:38] 而且这个正向影响呢从球场新建就会开始了另外有一个结论就是说离球场越近这个房价提升就越显著平均而言离球场的距离每缩短10%它的房价就会提升1.7%所以就是一个非常典型的辐射效应所以这篇论文呢就建议说这个政府的公共资金可以考虑就是用在球场上因为它比别的基础设施要划算而且划算很多这个就是微观层面的一个结论
[00:13:03] 对这也就是我们说一个微观层面的体育赛事能够对一个社区产生怎样的经济的影响我们就看房价这个指标得出的结论还是有比较正向的一个影响的但是话说回来阿森纳造这个新球场虽然对于周边的社区做了很多事但是他投入这么多资源费这么大劲他初始目的显然不是为了造福这些居民而是就是因为这个制度部获得的回报会比之前投入更多能赚回来
[00:13:29] 那这个背后的技术逻辑就是说英超这个比赛本身它的商业价值是足够大的是的所以一个球场对于周围社区的影响力归根结底是看它承载的这个体育赛事的内容本身有多大的能量这个就涉及到英超从1992年成立至今的一个商业扩张史那这当中的主线呢就是一群精英足球俱乐部如何把英格兰的一个顶级足球赛事从一个入不敷出的社区运动变成了一个充满吸引力的娱乐产品
[00:13:57] 这方面的资料和书实在是太多了如果我们要展开讲的话可能要花好几期那么推荐大家去看一本2018年出版的书就叫Clubs中文译名就叫英超联盟它的故事性非常的强这里面我们就提其中的一个小故事还是与这个体育场相关的其实英超成立之前遭遇过很多的阻力其中的一大阻力就是有很多俱乐部他不想让电视台直播自己完整的比赛
[00:14:22] 而我们知道这个英超的基石就是他要卖高额的电视转播权的这个费用前面我们提到转播收入占整个英超收入的四成坚有球队不愿意自己的比赛被转播这个什么老回路啊当时那些俱乐部的逻辑就是如果大家都去看电视直播了就没人到现场来看我的比赛了
[00:14:41] 这其实是一个非常典型的思维误区就是他把这个蛋糕的大小小说是一个固定的数字但实际上虽然比例上面来说比赛日的收入占比确实是比电视转播更低的但是电视转播吸引到了更多愿意来现场来看比赛的球迷整个蛋糕其实是可以做大的对如果没有这个电视转播增加了英超的吸引力的话我想阿森奈也未必在那个时候能够做出一个决策想要建一个新的球场容纳更多的球迷来看比赛
[00:15:07] 另外呢我们看到对英超的一个常见批评就是顶级的俱乐部攫取了大多数的利润但实际上英超这个比赛他在收入上面是相对平均的他50%的转播权收入是平分给各个俱乐部的也正是因为这个平分的政策呢即使是一些成绩不佳的小球队你只要留在英超这个联赛就能保证盈利这也是他们愿意去投资新球场等设施的一个基础而这种投资呢又能够反补到所在的社区
[00:15:35] 讲完了这个微观层面阿森纳球场球场的故事呢我们就把视线转移到英国南约克郡的一个小城市叫谢菲尔德这个小鞋是中国吃多少小啊根据2017年数字谢菲尔德的市区人口有57万整个城市的人口是超过150万它是伦敦以外英格兰最大的八座城市之一这限定词有点多啊对这个人口数量呢在中国可能只是一个大城市某个区县的一个级别的一个人口
[00:16:04] 我们之所以讲它是因为谢菲尔德是近几年靠体育赛事实现城市复兴的一个范例他在1996年获得了英国首个国家体育城市的称号体育在谢菲尔德实际上是有悠久的历史根据维基百科的资料世界上第一支现代意义上的足球俱乐部就诞生在谢菲尔德那是在1857年但是谢菲尔德在体育上面也有非常惨痛的历史甚至可以说是这座城市在当代的一个最低谷
[00:16:31] 而且这个故事呢和我们前面说的球场球场还有一定的关系我们前面提到球场球场这个计划之所以提出来是因为原来的这个老球场它座位不够了嘛但其实呢这个原来的海布里球场它的规模也不是很小它最多可以容纳五万七千人那比六万的这个球场球场少不了多少嘛但是在1990年代之后几次改建之下球场的容纳人数反而减少到了四万人
[00:16:56] 一般来说这个改建都是扩张性改建这个怎么还有缩减性改建呢嗯那这个就要说回谢菲尔德的一个故事了这是在1989年谢菲尔德发生了英国足球史上最惨痛的一起事件史称希尔斯堡惨案当年的4月15日英国足总备的半决赛在谢菲尔德北部的希尔斯堡球场举行那由于警方的控制不力还有球场的安全欠佳短时间内大量的球迷从一个很小的入口涌入球场的一个站票区
[00:17:25] 最后就导致89名来自利物浦的客场球迷被挤压或者踩踏致死在那个以后所有英国的球场都被要求取消没有座位的站票区这就导致了很多球场的容纳人数下降了间接也促成许多像球场市场这样的新球场项目说回谢菲尔德希尔兹堡惨案发生时这座城市本身也处在一个谷底之中谢菲尔德这个城市其实有个支柱产业就是钢铁它早在中世纪就开始炼钢了
[00:17:53] 到了19世纪谢菲尔德已经是英国的一个钢铁制造的中心了巅峰时期全英85%的钢铁都是在这里生产的而且谢菲尔德还发明了一种流行一时的铸钢技术叫做钢锅钢但是在1979年就撒切尔夫人上台之后英国就开始经济转型了大量的制造业的工人下岗然后谢菲尔德就是一个重灾区整个城市的钢铁行业也开始衰落了整个城市也开始衰落了
[00:18:18] 出现了大量的失业者贫民窟城市也找不到新的一个经济支柱可以说谢尔斯堡惨案某种意义上也是谢菲尔德这座城市的一个象征就当时是一个身处谷底的城市遇到了一个很糟糕的事情在那个之后呢谢菲尔德当局就一直在寻找转型出路了其实在这个惨案之前就开始想了他们最后选中的这个道路呢还是体育其中一个标志性的事件就是在1991年谢菲尔德主办了世界大学生运动会这个是谢菲尔德体育换新战略的一个重要的节点
[00:18:48] 在此之后谢菲尔德就开始新建新的体育场馆改造城市的基础设施并且建立了一个体育学院建立了英国国家的运动和医疗中心等等等于是把一些体育的人才和产业吸引过来这个当中他举办了一个最长期也最重要而经济上也最有价值的一个赛事就是斯诺克世锦赛这已经成为了谢菲尔德最著名的一张城市名片从1977年开始斯诺克世锦赛其实是固定在谢菲尔德的克鲁斯堡剧院举行的
[00:19:15] 据说是因为当时国际台联的商业代理人沃森的太太在这里看过戏觉得这里氛围很好就直接在这边签约了对我看那故事觉得那个时候这个商业签约确实比较轻巧顺便说一下这个克鲁斯堡这个音译啊这个听上去很古典是吧但是大家还记得我们前面提到过这个谢菲尔的发明的一个钢铁叫干锅钢吧这个干锅它的英文呢就是Crucible所以这个剧场的名字啊其实就可以理解为干锅剧场瞬间变得很有本地特色了
[00:19:45] 那说回斯诺克世锦赛当时这个赛事虽然历史很悠久但是影响力其实很有限主要还是在英国经济收入也很有限其实主要是靠烟草赞助商来活着的后来烟草其实是不能赞助体育赛事的
[00:19:58] 所以说斯诺克世锦赛一度是比较示威的谢菲尔德在体育转型之后当地的委员会就促成了整个比赛和欧洲体育频道达成一个转播合作这就让斯诺克开始走向全球尤其是开拓中国等新兴市场就是我在小时候终于可以看到斯诺克有这个东西的努力这个事情也让举办地谢菲尔德开始走红根据在当地留学的学生介绍这个城市平时就是一个平静的只有150万人的小城中国餐厅其实也不少
[00:20:26] 但是每到4月末5月初整个城市就变成了一个斯诺克之城还会吸引数万名外来的观众那这么一说呢新一年的世锦赛马上就要开始了我又可以看了那我们讲回这个赛事对于体育的影响啊我们看到的一个关键的数据就是谢菲尔德一个叫哈勒姆大学的研究1977年到2016年世界台球锦标赛就这个斯诺克世锦赛为该城市的经济增长贡献了1亿英镑
[00:20:52] 同时呢他也带动了很多这个斯诺克相关产业的延伸你像2003年谢菲尔德的世界斯诺克学院就成立了所以许多的顶尖球手啊其实开始常驻谢菲尔德来训练生活哈勒蒙大学那项研究呢给斯诺克世锦赛有一个描述说他是谢菲尔德在全球范围内的一大营销工具尤其是在亚洲等经济体别看这个一英镑这个数字好像时间很长也这个总量也不是很大但是对于这样一个规模的城市来说实际上是非常重要的
[00:21:20] 所以谢菲尔德当地政府啊他一直有一个重要的这个施政的这个目标就是要把斯诺克市警赛留在谢菲尔德那在2017年的当地是和市警赛续约了10年的到了2027年到期这续约也很关键因为我们看到像卡塔尔也在争取这个市警赛的主办权所以真的得留对谢菲尔德也非常警觉所以他在2022年5月呢也公布了一个市警赛新场馆的计划这个新的场馆可以容纳3000名观众是干锅剧场的三倍
[00:21:49] 你想想看一个城市的政府的一个重要的一个施政的目标就是留住一个赛事可想而知这个赛事对于这个城市来说有多重要啊那包括斯诺克市警赛在内呢谢菲尔德从体育转型以来已经累计举办了1000多项的体育赛事根据当地政府的统计啊谢菲尔德每年接待的体育游客是超过400万的是整个城区人口的八倍然后每年带来的体育消费呢就创造了2000万英镑的收入
[00:22:13] 整个城市的面貌也因此焕然一新一个城市里面的有轨铁路重新建立了然后一些新的商场写字楼住宅和政府设施都开始出现了但这一切不可能只靠体育但是没有体育的助推的话很多项目恐怕没有办法这么顺利的开展同时我们也能看到赛事和城市之间是一个互相扶持的关系如果没有谢菲尔的当地的投入和支持斯诺克市警赛乃至整个斯诺克运动也未必有如今的发展
[00:22:40] 前面我们分别讲了一个足球场以及一个赛事对于所在城市的商业影响最后我们把视野再放宽一些看一下伦敦这个大城市
[00:23:07] 然后像常规的这种ATP年终总决赛伦敦马拉松还有一些美国职业体育赛事的伦敦赛这种都非常的多了更关键的是这个伦敦市政府对于体育赛事件事情实际上是研究的比较深的它有一份报告名字就叫大型活动对伦敦经济的影响2017到2020原来是有一个专门报告的对啊因为你城市方面对这个东西的研究你还是要靠官方的数据不然我们真的很难来研究这个问题研究无误了
[00:23:36] 那这份报告呢它里边的大型活动其实是包含音乐啊文化体育这三个部分的那我们主要就来看体育啊这里边我们先要说明一下这份报告里边大型活动的经济效益它的计算定义是比较狭义的就它计算的还是直接的这个活动产生的经济效益但不包括为了举办这个活动而做的一些基础设施的投资产生的一些长期的影响
[00:23:59] 后面这部分确实太难归因了也很难划清楚边界另外中国目前大城市举办大型赛事已经逐渐也过了大搞基建的过程也是开始利用已有的资源来促进活力的阶段所以说伦敦的模式是更符合目前中国的状态的接下来我们就来看具体的数字一个核心的事实就是体育大型活动带来的经济收益是高于其他类型的大型活动的在2017年到2019年伦敦一共举办了571场大型活动
[00:24:27] 为伦敦经济的新增了22.7亿英镑的收入其中一个最突出的一个活动就是田径市锦赛仅这一项比赛就带来了1.07亿英镑这个报告里面还提到在2015年的橄榄球世界杯这一项赛事就为伦敦带来了惊人的5.74亿英镑的收入数字太多了我们看平均数可能更清楚就是音乐会和文化活动它的每次参观平均为伦敦经济带来23英镑的收益
[00:24:54] 而体育活动每次参观平均为伦敦经济带来的收益是42英镑就相当于基本翻了一倍这个也是我们为什么说体育赛事带来的影响要高于其他类型需要说明的是这里边计算收益的一个核心逻辑是什么它算的是每一个大型活动给伦敦带来的进客流这个进客流就是要排除掉伦敦本地居民区这边消费的部分的
[00:25:15] 还有就是要排除掉一些随机进入的一些居民的部分只计算专门为这个活动从外地过来的这个顾客他们产生的消费的支出而且这些支出呢也包含他们在这个活动本身的这个开销这些门票这种不算的只计算他们额外的花的钱
[00:25:29] 我也想这个音乐会本来一场门票就有100多英镑怎么只有23对就是额外的消费有可能提一米更多一点另外这份报告没有提2012年的奥运会我们也相对补充一下根据Visa的统计伦敦奥运会在半个月的时间里面为伦敦增加的额外消费达到了7.49亿英镑这是直接的收益而根据一份国际奥委会在报告当中援引的报告
[00:25:54] 筹办伦敦奥运会为整个英国经济带来了99亿英镑的贸易和投资而在奥运会之后的8年这个数字达到了约400亿英镑这个核心是直接的后续合作和场馆收益以及场馆再开发当然这个后面的两个数字呢就是它是涉及到贸易和投资的就是不是我们刚刚讲到的一个狭义的收入啊所以这个规模要大的很多至于具体来说这些投资和贸易能不能赚到钱那就要看各个投资主体自己的本事了
[00:26:24] 那到这里我们基本上从微观到宏观重新探讨了一下体育赛事和举办地之间的商业关系如果要总结的话我觉得可以总结这些案例的两个共同点第一就是这些举办地从体育赛事当中获得收益本质上是在全球化当中积蓄养分的体育赛事是一个很有效的管道它能够把全球的关注度和经济活力引入到一个具体的城市和社区当中比如说像英超它就是一个在全球卖版权的顶级赛事
[00:26:52] 斯诺克对于谢菲尔德的贡献是伴随着他开拓全球的新市场而来的而伦敦的这些大型赛事就更不用提了都是全球级别的那从这个角度呢我们也能理解为什么那么多中国的城市正在或者已经与英国的一些体育赛事和体育机构来寻求合作了而且覆盖的范围是很多元的除了像英超啊斯诺克F1这些知名的运动一些小众的运动也开始在相应的城市扎根了比如说青岛他就和克里博环球帆船赛合作了20年
[00:27:19] 而且从简单的办赛已经深入到了赛艇的建造啊培训啊等等领域成为了当地一个比较重要的产业那这些城市呢本质上也是在从这些体育赛事的全球影响力当中汲取养分第二个共同点就是这些全球化的体育赛事其实又反过来说他们都是非常扎根本地和扎根现场的所以说阿森纳建一个球场主要要去给垃圾场检查切封的除了去办斯诺克市警赛还要去开斯诺克学校都是这个道理
[00:27:45] 像如今人们的日常沟通是越来越多的通过线上了但是体育赛事仍然能够将成千上万的人聚集在一起过去我们说教堂会堂广场可能是一个城市公共活动的中心某种程度上当代的体育场就承担了这样的角色2024年中国的顶尖体育赛事也全面恢复正常了全球也将迎来一系列的体育盛会身为体育迷我们也正在重新找回现场的魅力
[00:28:10] 你今年有哪些期待体育赛事呢你喜欢的英国的体育赛事或者俱乐部有哪些呢也欢迎在评论区里面留言对于城市来说体育赛事能够带来快乐带来人气和信心这些都是城市不断发展必不可缺的事物也是它创造商业价值的基础商业就是这样
