Vol.97 把中国车卖到海外，总共分几步？
[00:08:26] 就是所谓的产能溢出了所以要出口没错所以你看美国它的汽车也很发达对不对但它的出口量其实不算多的因为它大多数的产能都是服务本地的那如果你能在本地消化掉呢对车厂来说也是最轻松也最经济的所以中国之前也是一样在中国造的车呢主要就在中国卖中国的汽车出口量所以一直维持在100万辆以下这个不大的水平所以说应该是出现了一些情况的变化就是最近几年中国市场的汽车销量开始见顶了
[00:08:55] 没错这个当中2018年就是一个这样的节点啊就是那一年中国的新车销量是首次出现了一个负增长后来又出现了疫情那么到了2022年啊中国市场卖出了2600多万辆新车而2018年这个数字是2808万辆所以说别看这个电动车销量一路大涨实际上整个汽车的销售盘子是在萎缩的对至少是没有涨嘛但在这种情况下呢国内的车厂却面临一个问题就是产能过剩
[00:09:25] 之前的乘用车联合会发过一个统计说截至2022年初中国的乘用车的产能是4086万辆而新能源车的产能有569万辆与销售相比这两个数字都是有大约四成以上的一个产能是闲置的这么多的吗我本来以为像新能源车这个产能会不足结果也是闲置的这个不足和闲置其实都是看公司的嘛你像比亚迪和特斯拉肯定是供不应求就产一辆卖一辆的
[00:09:54] 但是有很多公司其实不是
[00:09:56] 当然这里边产能的利用率或者说闲置率不是一个那么确定的数字不一定像他们统计的那么夸张因为产能还是一个浮动的概念你造这个工厂它生产的节拍最高能到多少和你实际生产的多少其实还是当中有个差距的也不是说一定要到最高的满负荷的运转才算是特别健康不过产能闲置或者说是产能过剩这个情况肯定是存在的
[00:10:22] 在我们的实际采访过程当中有很多车企都承认他们现在第一就是他们目前的产能的确有闲置第二就是他们造出来的车不一定都能卖得掉也就是说库存的压力是蛮大的这个库存的压力不仅是车厂还包括整个经销商这个时候他们最主要找的一条出路就是出口我看到这篇稿子里面有一位车企做出海业务的高管就直接说很多事情是被逼出来的没错其实就这么回事而且还有别的高管跟我们说
[00:10:50] 目前这个阶段他们这个车厂做出口的业务其实管理层的要求非常的简单直接就是要赚利润的这每辆车啊你要卖出去要赚钱的有很明确的一个目标导向所以说他们一定会挑选那些一定卖得动的车型而不会去尝试一些冒险的就是一些尝鲜的一些车型
[00:11:09] 这个出发点其实跟我们之前想象挺不一样的我看很多写中国汽车出海的报道都是有一种现在这些企业厉害了能够走出去的那种感觉了但实际上是国内的竞争加剧了他们出于生存的考虑才往外走的没错当然这个也只是故事全貌的一部分你说的这个企业变强走出去这样一个逻辑也是存在的因为你要出口赚钱归根结底你这个海外市场也要愿意买你的车对吧
[00:11:38] 能够下到出去那这个本身呢其实也说明你的产品有一定的竞争力了所以是说是各种情况都存在没错
[00:11:47] 说到这个海外能够接受你的产品呢这个就要讲到这两年出海热潮当中的一个关键因素就是新能源车了过去一年中国出口的311万辆的汽车当中乘用车有253万辆那其中呢67.9万辆是新能源车67.9比253万这个比例其实是比国内市场里面新能源车的这个占比还要更加高更加夸张的
[00:12:13] 也就是说这一波的中国汽车出口热很大程度上还是算能够算是新能源车的一个出口热没错而且我相信这个比例会更高啊那这里面呢我觉得有供给端和需求端两边的一个原因我们先讲一讲供给端
[00:12:29] 确实现在中国是有一个最完整的也是最具规模效应的一个新能源车的产业链性价比上面很有优势我们前面说产能过剩是个问题但另一边如果你出口能够让这些产能利用起来的话你规模效应在价格上的优势就能体现出来了这里面比较典型的例子就是特斯拉其实它去年有十分之一就是我们前面提到300多万辆出口里面有将近十分之一是来自于特斯拉的上海工厂的
[00:12:57] 上海工厂很多车是直接运到欧洲去的这个就是庞大的产能溢出的一个结果了对当然更多的肯定还是中国本土品牌的一些车型卖出去他们的产品品质其实也得到了海外市场的一个认可说到这个我就会想到其实本世纪初中国是有过一阵的汽车出口热的当时很多产品卖到比如说中东或者是俄罗斯这些市场它主要走的是一个低价的路线
[00:13:25] 但后来呢逐渐的发现这些车呢有了一些质量的问题口碑也出现了一些下降这个出口的量就逐渐往下走了我们的同事李迅锦呢还采访过一位穿骑汽船的一位经理啊他是从2007年就开始做汽车运输船的这个生意他就说到一个例子他说刚入行的时候啊这个中国的车上船前要做检测的因为你出口了嘛要做一个质量检测可能每1000辆里面就有10辆的故障车这是个非常非常高的比例了太多了一点吧
[00:13:54] 然后现在这个数字大概是每2万辆里面只会有一辆而且大多数都是一些小瑕疵就是说在这个现场可以解决的一些问题所以现在单从这个质量方面确实到了一个中国的汽车可以出去寻找更大市场空间的一个时机了我觉得另一个数字也能说明问题就是汽车出口的平均价格就是5年前中国汽车出口的均价还是大概1.2万美元一辆但是到2022年就提升到了1.89万美元一辆
[00:14:24] 纯电动车的均价更是有2.3万美元顺便说一下这个1.89万美元这个数字其实是大概德国出口汽车的一半的水平所以这个中国出口汽车的金额可能还没有达到全球第二的水平这个感觉也是今后要提升的一个方向对就是进步了但是还有一定的进步空间可以这么理解
[00:14:45] 那讲完这个供给侧的优势或者说是发展的现状呢我们要说另一个方面就是需求侧就是为什么海外需要这么多的新能源车了
[00:14:55] 短期的原因很简单就是2021年主要是2021年全球很多地区的制造业产能都受到了疫情的冲击严重的不足所以当时中国的各种产品其实都填补了空白不单单是新能源车但是这样一个逻辑到了2022年其实不那么的成立产能补给的态势不那么明显了但是新能源车的出口依然火热在上涨这里面就有一个中长期的原因就是全球各个市场它对于新能源车的重视程度都变高了
[00:15:24] 尤其是欧洲各个国家都有了非常明确的淘汰燃油车的时间表以及出现了很多针对电动车的政策的补贴或者优惠那这个市场需求呢就直接被带起来了所以这个形式有点像七八年前的中国市场了中国电动车现在过去欧洲的话其实就有点所谓时光机效应的这个感觉了还真的有点像就是中国的新年车好像是卷了五六年
[00:15:49] 进化了很多之后啪一下回到五六年前蓝海的状态里面去抢市场了它正好遇上了一个欧洲的窗口期没错所以供需两端都匹配上了之后也是中国的汽车在过去两年快速涌入海外市场的一个重要的原因
[00:16:06] 刚才我们讲到中国产汽车的品质的优势其实这个品质不单单是硬件还有一个隐性的点就是软件这个也是很多媒体去报道汽车出海时容易忽略的一个地方但其实我觉得这是一个特别好的角度因为它可以帮助我们理解汽车的出口其实是一个复杂的系统工程就一个车卖出去之后它的软件服务也得跟着配套出去的这个其实不单单是你送上这个船就结束了
[00:16:34] 所以说不只是什么车走多又多的问题软件也要做本地化没错没错那中国的公司呢这方面其实是下了很多的功夫的这一点呢也帮助他们撬动了海外的市场这里我举两个小故事吧第一个呢其实是最简单直接的就是翻译就你车上的这个车载系统啊包括按钮上印的这个文字啊还有你现在有一些语音的一些功能都需要到了一个市场里面要翻译成当地的文字嘛不然怎么用对不对
[00:17:01] 这个问题听上去好像很简单吧就是你当地用什么语言你就翻译成什么语言呗而且整个车上的文字量其实并不多但其实要复杂的多因为你每多一种语言你就要标定一套新的系统而在许多市场比如说欧洲和东南亚语言文字是非常分散的更不要说一些方言的问题了但你如果为每个市场都量身定制一套系统的话会消耗很多的时间成本但是最后效果你只是服务了一个小小的市场一点点的销量
[00:17:31] 就有点得不偿失了说的这个话题还没有算上现在车上这个语音控制的问题加上方言之类的这个难度是不是还要再提升一些对就是你想想看一个中文或者英文要解决这个语音控制就已经非常困难了要搞一些小的一些语言的话想都不敢想所以呢一般来说车厂他们就要找一个有效的平衡既不能不重重本地化但是呢又不能一味的
[00:17:55] 去追求本地化是完全的去尊重本地市场这当中有一个效率和服务体验的一个平衡的
[00:18:01] 还有呢就是包括现在很多车都连了那个云服务嘛那你国内的平台其实肯定不能平移到海外去提供这样同样的云服务的那你要找一些稳定可靠的合作方来跟你配合其实这也很复杂另外有一些例子比如说你要到了一个市场就要用当地市场的一个音乐软件跟他们谈合作这些其实都是非常烦的其实这中国企业本来是做惯了国内的单一大市场嘛
[00:18:27] 你突然出海去做这么多细分的不同的国家市场还是需要适应的对对对我觉得这个总结还是蛮到位的第二个小故事呢是发生在印度我们稿子里面也提到过这个故事就是上汽旗下呢有一个明觉品牌他要进入印度当时呢就是负责出海的这个软件业务的一位高管呢他就和当地的同事在逛4S店考长马
[00:18:50] 他们就发现啊印度的车主尤其是年轻的车主到CSC里面选车的时候呢旁边都会有一位中年的大叔陪同着然后他们就觉得说印度大概还是家庭宗族意识比较强的然后这个买车真正的决策者都是家里的长辈后来才发现根本就不是这些大叔呢不是长辈是他们的司机这样的吗连车都没有买就已经配好司机了吗没错是很神奇的
[00:19:16] 后来和他们当地的这个CS店沟通之后才知道印度因为人力成本还是比较低的所以很多城市的中产阶层的家庭买了车之后都会雇司机来开这个印度真不愧是新晋的全球第一人口大国然后明觉他们就从这个现象里边挖掘到一个怎么说市场的洞察在车载系统里面他们就开发了一个小小的功能约老师猜猜看是什么样的功能
[00:19:42] 难道是什么智能座椅调节之类的就是你平时司机开然后你自己开的时候可以把这个座位调回来并不是虽然这种功能现在车上也会有对吧
[00:19:52] 他们发现了一个什么需求呢就是这些这个新的车主啊他们买了车雇了司机之后呢又很不放心司机怕他们在自己的上班时间把车开出去乱用所以他们很想知道自己的车在什么地方或者说是用了多少的公里明杰就添加了一个小小的功能就是你可以在手机上面啊知道自己的车开了多少公里用了多少时间甚至大致在什么位置结果这个小功能就大受欢迎
[00:20:18] 怎么讲的确是一个角度非常刁钻的市场动策对这种小创新其实它优点就是开发难度很小但是会显得非常的黑科技给当地的消费者一种很好的体验又贴合当地的需求所以说它对销量的助推效果其实要远远大于投入的
[00:20:39] 前面我们是从像国际竞争啊全球物流硬件产品和软件服务等等几个方面把中国汽车为什么在过去两年要出海和能出海的问题简单说明了一下那接下来夏老师觉得这个行业还会怎么发展呢我觉得大的趋势肯定是大家都比较乐观的嘛那我觉得可以看看接下来有哪些值得关注的这个面向
[00:21:01] 2023年的话我就有两个关键词一个是发达市场第二个叫落地生根什么叫发达市场我自己个人其实还是蛮期待2023年中国的汽车品牌在欧洲和日本这两个发达市场的表现这两个市场的共同特点就是本土品牌势力强大然后消费者对这些本土品牌的认可度非常的高可想而知毕竟他们之前都强大到已经可以渗透到别的国家的市场里面去了对
[00:21:30] 但是有意思的就是从2022年开始其实中国汽车出牌的一个热点就是渗透到这两个市场尤其是欧洲几乎到了所有的车企都会要就是一拍脑袋就是我们把车要卖到欧洲去而且是西欧的发达地区这个地步
[00:21:45] 这个的确不能用我们一开始讲的解决产能过剩的逻辑来解释了因为据我们了解很多车企的管理层做去欧洲的决策的时候的确是带着一种我们要攻上一个新山头的这种攀登的感觉而且是别人都去了所以我们也要跟上是不是有一点膨胀我觉得多少有一点至少我觉得有一部分品牌的决策是没有经过长远的布局的
[00:22:10] 进入欧洲这个市场其实不比中东等等本来这个市场都是要靠进口的这种地方进口毕竟只是一个敲门砖你真的要在这个地方长期经营的话最终还是要在当地建立完整的销售渠道甚至建厂的不然你很难竞争得过本土品牌但现在的一些品牌可能有一种欧洲的新能源车竞争还不激烈我赶紧过来抢一块蛋糕的感觉我觉得多少是有点侵蚀了当地的市场的
[00:22:36] 当然啊去欧洲我觉得还是非常必要的因为就像前面说的这个市场它向电动车转型的前景是非常清晰明朗的而且现在的确是因为德国啊意大利啊法国这些车企他们的动作还比较缓慢使得这个市场对于新能源车的需求没有被满足中国的产品啊在这个阶段真的是有一定的这个产品的优势的了那就不能拱手的全都让给特斯拉去抢这个市场的空白嘛至少自己也要争取一下
[00:23:04] 那欧洲这个重点市场感觉比较明确的日本怎么进呢日本的话2022年我们又看到很多新闻啊就是比较瞩目的就是比亚迪和五菱都似乎要进入日本的市场了比亚迪是比较明确的而且他们瞄准的这个细分的市场呢是量最大的紧凑型车和轻型车嗯这个属于一上来就到最大众这个市场去肉搏了对这个就引起大家的兴趣嘛最近日本媒体是很关注这个事情的
[00:23:32] 因为他们发现啊就是在这两个市场里边同样尺寸级别的电动车中国的品牌能便宜好多而且配置呢一点都不落下风的这种优势呢就有点类似于上个世纪70年代石油危机之后这个省油的日本车在美国的那种优势嗯不过我个人觉得日本市场这个保守性还是很强的有点像铁板一块嘛尤其是你中国品牌口碑还没有建立起来的时候贸然进去还是有点危险的
[00:23:59] 同意的所以呢我对这件事情呢其实也是持一个谨慎乐观的态度吧至少你现阶段产品上面是有一个优势的窗口期的而且这两个细分市场的这个消费者呢其实还是非常看使用的体验和这个价格上的优势他们对价格是很敏感的嘛那如果你能够抓住这个机会的话至少能够突破一部分还有个问题啊夏老师就是为什么还没有听到有要去美国的国内品牌呢那里不是也很主推新能源车吗的确如此
[00:24:27] 其实历史上啊所有的汽车品牌你要想成为一个全球品牌的话一个必要的条件就是在美国市场成功
[00:24:36] 其实很多国内的品牌尤其是一些新势力的公司早期都是有一个赋美的计划的据我所知呢有的公司其实进展的已经很深了但是现在因为宏观震惊的形势吧这两年都有点停滞了这的确是一个缺口但是怎么说呢就商业竞争以外的事情吧我也不知道该怎么解决好吧那我们相当于把第一个关键词就是发达市场讲完那要么接下来讲讲第二个关键词就是所谓的落地生根
[00:25:05] 嗯,其实刚才我们在讲欧洲的时候已经提到一点了
[00:25:09] 我们今天讲了这么多汽车的出口其实只是产业出海的一部分
[00:25:37] 那现在呢我们其实看到像吉利啊长城等等公司都开始在海外建一些厂了而像蔚来呢在欧洲落地的时候呢也落地了包括像换电站等等在内的一套服务的体系这个其实就属于是落地生根的一个部分了但是我觉得这个过程真的是一个怎么说呢肯定是会充满很多艰难挑战的一个过程了
[00:25:58] 前面我们不是讲到本世纪初中国有过一波汽车的出海潮吗其实在那个时间段里面有不少的品牌已经走到了在海外建厂建公司的这样一个地步了甚至有的公司去收购了海外的一些公司但最后都没有成气候其中一方面有包括像金融危机这样的一些客观因素还有就是他们遇到了很多的水土不服遇到了市场的监管遇到了工会最后杀鱼而归
[00:26:24] 这个比较著名的例子就是当年被上汽收购那个韩国双龙汽车嘛对当年上汽是赤字5亿美元啊收购韩国双龙结果呢遭到了这个当地强势的工会的一个抵抗最后是两败俱伤这个品牌现在已经听不到了然后上汽这个投资呢也是打了水漂
[00:26:42] 我觉得像这种挑战现在依然可能存在
[00:27:11] 还有可能有些方法吧比如说像比亚迪他之前是通过像电动巴士这类B端的生意进入海外市场的然后在那个时候去建立海外的团队和关系网现在再让家用车进入呢就会顺畅很多了没错那现在出海里面呢我们也会看到很多公司要强调团队也要跟出去尤其是销售啊和服务网络也要一步步的靠向当地这样才能够提升服务的水平也能帮助以后落地生根
[00:27:38] 我觉得这个是比趁着风潮你出口一堆库存车价值要大多的事情说到这里我们基本上就从微观的所谓航运层面到中观的产品层面再到宏观的战略层面就把中国汽车这两年出海的故事大概勾勒了一遍一句话总结的话这就是一个顺势而为的故事没错但即便顺势也需要漫长的努力
[00:28:03] 我们这次和许多车企出海业务的人接触下来我个人有个感触就是他们在一线做事的人是特别的实事求是尊重市场规律的人一点都不搞虚的东西因为他们即便这个车的产品有优势但是要把一个陌生的车卖到陌生的市场里面的消费者其实是一个非常辛苦的破冰的过程有的时候你为了谈一个球队的冠名的赞助合作都有可能要花费在国内几倍的一个时间
[00:28:31] 这样的过程其实当年的日本车企韩国车企都经历过他们也是花了大概十几年的时间才在发达的市场里边站稳脚跟的当中也经历了非常多全球政经形势的巨大变革我觉得这个过程当中中国企业也是逃不掉的所以说去到海外去还是需要很多耐心的或者说要做好任何长线的大生意都需要耐心商业就是这样
[00:29:01] 感谢收听这一期的商业就是这样你可以在苹果播客小宇宙喜马拉雅网易云音乐QQ音乐荔枝等平台收听我们的节目微信公众号第一财经emagazine也会推送每期节目的内容如果喜欢我们欢迎你在苹果播客给我们五星好评并期待你在各个平台与我们交流尤其欢迎分享你感兴趣的话题下期见
