Vol.54 看看Keep的招股书，果然keep住自己最难
[00:11:18] 然后给你提一个明确的目标比如说你21天可以减下多少斤可能是这样的一个训练计划但这个对于新客户来说有一个什么问题呢就是新客户的运动目标一般都不是很明确我只要在这里能动一动能出汗就可以了然后如果有些更好玩的东西给我玩的话我可以多试一些所以说他们在长线的阶段的话他们很喜欢去白嫖各种各样的课程这里尊巴跳一跳这里瑜伽练一练你让他怎么有动力去把这个白嫖变成一个付钱的过程呢
[00:11:46] 对这相当于里面还有一个先要教育的过程让你理解到付费的价值这个就不像看电视剧或者看电影那么直白了没错所以我们也可以看到从上线会员业务开始Keep的用户在从免费到付费这一层的转化意愿一直都不是很高2020年这个公司的所谓会员渗透率就是从免费到付费这一层的转化率大概是6.4%到2021年的第三季度末这个数字稍微有点提升也就是9.5%
[00:12:13] 我另外还看了一下同期爱奇艺的会员渗透率大概是20%人家爱奇艺比你高一倍的会员的渗透率他们现在还没法靠会员费能够赚钱还一直喊着要涨价涨价的看起来Keep这个相对比较良心的会员收费的体系似乎还是有点困难的对他自己公司本身来说这个部分我们就先
[00:12:35] 放在这里然后我们再谈一下所谓DTC付费用户这个词真的是我还是有点念不出这三个词我还是换一个说法就是所谓的产品付费用户好像更准确一点就更直接一点查了一下Keep实际上是从2018年才开始做一些APP以外的自有产品的
[00:12:53] 这个产品到底是指什么呢比较著名的大件就是智能单车和智能跑步机还有什么智能手对这个是大件小件的话其实最近也有一些新的东西就是最近在上海便利店里面也可以看到Keep的轻食比如说什么鸡胸肉之类的东西就是按照王宁自己的说法他希望这些多出来的东西就是能覆盖到用户在链以外的一些需求比如说吃穿和用
[00:13:19] 这就是我们开头讲到的从APP衍生出来的业务对吧对的截止到2021年底Keep的这部分产品付费用户就是买它各种各样产品的用户总量是32.8万再跟它的所谓月活月用户的那个技术比一下的那就是只占月活月用户的1%而且招股书里面也写了说这32.8万人是各个渠道上面用户量简单加总出来的一个数这没有去重什么
[00:13:45] 也就是说我再举个例子如果一个用户寄在天猫上面买了一块Keep的鸡胸肉然后他又在Keep自己的APP里面买了一条瑜伽垫它就是38.2万分之二不是32.8万分之一这么听起来的话还是有点奇葩的算法虽然这当中肯定有一些各渠道的数据没有办法打通的问题但是你这么小的一个用户的规模还要在里面注水分的话就会让人怀疑这部分业务的潜力
[00:14:13] 刚才我们其实简单把Keep在用户层面的数据都捋了一下简单来说它的月活跃用户最多时候也就是4000万APP上面的付费用户大概是三四百万然后还有32.8万人次的用户是买过它旗下的产品这样来看确实是一个漏斗最上面是很大的中间小一点最下面是非常小的一个结构但是这是用户的一个漏斗
[00:14:34] 如果看收入的话我们会发觉这个漏斗底部最小的不到1%的产品付费用户其实是主要的营收贡献者我们还是看最近的2021年前三季度的数据它卖器材和各种周边商品其实占了Keep总收入的55%以上卖客和会员其实只占了1%而广告收入就更少了只有12%
[00:14:55] 也就是说从这个公司的整体收入结构来看Keep现在更像是一个卖东西的公司而不是一个提供所谓运动或者健身服务的公司而且它其实是靠越活越用户里面1%的人就达成了公司一半以上的收入这是有点畸形的一个状态
[00:15:14] 前面我们花了一点时间从数据层面聊了一下Keep这个不太通畅的用户转化漏斗以及它越来越像电商品牌的一个收入结构这个其实是在招股书比较靠前的部分就能看到一些问题其实还有一种数字也是大家一下子就能关注到的就是Keep连年亏损这个问题如果剔除掉上市之前转优先股这些影响的话Keep在2021年前三季度的整个亏损规模是6.96亿元
[00:15:42] 公司在2020年全年其实只亏了1亿元出头当然这家公司在披露财报这三年里面都没有盈利过这个是肯定的当然亏损并不一定意味着公司很糟糕这几年带着亏损申请IPO的公司其实非常非常多尤其是港股市场它对一些所谓新经济公司和生物医药类的公司放开了这部分的要求之后这样的公司就更多了
[00:16:06] 那说到Keep的这个常年亏损其实也完全在市场的用意力量之中了毕竟前面也提到过这家公司2021年前三季度光营销费用就花了8个多亿确实像营销费用显著增加的话确实在短时间里面就把公司这个亏损的口子撕得更大了但是就像我们前面说的Keep现在的业务重心和收入结构都有了明确的变化
[00:16:29] 这个其实就是我们想讨论的第二个话题也就是公司业务的变化是不是能转变成所谓新的盈利机会就是这个前期的钱花了之后后面能不能赚回来的问题对的我简单算了一下发现这个情况有点复杂首先自有品牌产品本身就不是一个什么毛利率很高的业务根据招股数理的数字我算了一下
[00:16:50] 自由品牌产品自披露以来这个业务的毛利率一直就在35%左右真的不是很高然后到2021年的前三季度直接掉到了29%而且这些东西的销售渠道往往也很重比如说像天猫你要在上面打很多的广告这么低的毛利率的话其实是很难赚到钱的确实的
[00:17:09] 的确是因为他说穿了这部分的业务其实就是在卖一些普通的一些消费品有的是电子产品有的是大一点的一些消费品有的是小一点的毛利率的话肯定是不如卖课这个商业模式的因为一门课做完了之后可以卖给很多人毛利率其实是可以越来越高的越来越高这个事情是比较理想化的状态在Keep这里实际情况是他因为不断在采购一些新的内容或者去花钱找更好的健身博主或者说那种网红来入住
[00:17:39] 所以它的会员订阅和线上服务的这部分毛利率其实也有点降低了是这样的但是这部分本来毛利率就很高它最早其实是可以做到60%到65%的毛利率所以现在稍微降一点到60%以下也无伤大眼而这个标准才像是一个互联网就是提供软件服务的一个公司的该有的毛利率的那种样子对的所以简单的说就是可以想象随着目前Keep的这个收入结构越来越像卖东西的这个方向倾斜
[00:18:06] 它会明显的变成一个所谓高成本低毛利然后一直在赚新股钱的状态这个就跟所谓一个fancy的移动互联网公司去做那种低成本高毛利卖服务的那种轻资产的状态是完全不一样的是的其次就是因为Keep要卖这种自由品牌的产品它就要跟各种实体商品的供应商包括说销售的渠道去打交道这公司的资金和存货也会有些变化
[00:18:30] 比如说有一个项目叫应收账款也就是说其他公司欠Keep的钱这里要说明一下应收账款其实是公司收入的一种就是这个公司有可能是收上来是现金也有可能收上来是白条那这个白条可能几个月里面会给到你它其实也可以算作收入的一种没有白条那么惨但就这个意思大概意思就是这样但是因为这部分收入确实有可能变成所谓的白条就是真的收不上来钱所以有一点风险
[00:18:56] 所以一般大家都会说应收账款这个部分的这个比例要控制一下对吗更简单的说就是你相对于收入来说占比不能太高我看到过一些说法是最好能够这个公司能控制在15%以内有时候30%以内但是都不能太高尤其是那种下游客户以消费者为主的企业这个比例应该是越低越好的毕竟因为终端的消费者本身付现金或者说账期很短的这个比例就很高你不应该有太多的应收账款
[00:19:22] 那Keep的话这个数字是怎么样的呢算了一下就是2019年Keep的应收赚款在收入里的占比是12%还是一个比较好的数字但是到2021年的前三季度这个数字就变成了接近30%了看这个趋势的话其实是需要有些警惕的最好这个指标应该改善一下对尤其是Keep一直在说自己要重视所谓的DTCDTC都付了现金你为什么这个指标还是这么差呢
[00:19:47] 这个可能就不是一个很好的情况另外就是所谓存货的问题不过目前在Keep这里存货都不算是什么大的问题
[00:19:54] 这个存货的话其实简单粗暴点解释就是公司里面有一些货还没卖出去只能存着对这个部分的话只要跟他的这个业务的增长情况是一致的或者说比他再好的话就稍微慢一点的话就可以了就这个比例不要提高对就目前Keep这个比例的话就控制还不错
[00:20:13] 然后包括他做减值处理也就是说他觉得卖不出去了我可能打折要卖掉或者直接销毁的那种存货也不算很多这个就说明大部分Keep的自由品牌商品还是顺利的变成了所谓的收入至少流到了下游的渠道里面有可能压给了供应商也说不定刚才于老师介绍的这个部分其实会涉及到一些会计的名词所以我们再简单的总结一下
[00:20:35] 因为Keep的业务重心发生了一个变化相比于卖线上的课程它更加重视卖实体的产品了这就会让这家公司它赚钱更加辛苦了需要面临更多与货物相关的一些风险如果这个部分的比重越来越高的话它有可能会进一步影响到未来Keep的一个盈利的前景毕竟它这个公司之前也根本没有盈利过但是Keep还有一个小小的优势就是它靠着融资手上其实有很多现金
[00:21:03] 在2021年底这个公司的现金有16.5个亿非常多这个说明这家公司暂时还比较安全即使不盈利它靠这些现金以及这次IPO就有可能能融到的一笔钱还可以支撑一段时间当然这个在现金流结构上面不是一个很健康的状态所有的创业公司都是希望能从亏损的现金流很差的状态慢慢做到所谓盈亏平衡然后现金流转正相信Keep也是这样就是所谓的自己造血
[00:21:34] 前面两个部分的话我们先是讲了Keep目前的商业模式然后又分析了一下它的亏损背后的一个实际情况接下来我们延伸开来讲最后一个点就是Keep在这个时间点上市的一个意义前面我们提到Keep手上这个钱很多有16.5个亿的现金这些钱里面很大一部分都是最近两轮融资的时候投资人给他的
[00:21:56] 我们在节目一开始就提到了Keeps那种话题性很强的公司8年里面融了9轮资其中最近的两轮是F轮和F1轮这个名字很奇怪但是就是这样这两轮融资的话分别是在2020年12月和2021年12月做完的这两个时间点很重要就相当于这个公司可能一年到头没有赚什么钱而且亏了很多钱但是在年底一下有这笔账进来的话它当年的账上的现金情况就能够调整过来
[00:22:24] 因为在IPO之前有很多的投资人的钱进来了所以Keep目前的这个股权结构有一些变化现在它是有23%的股份在王宁为主的四位公司高管手上其余的话大多数就是在一些它此前很多轮的一些机构投资人那边对于类似Keep这样靠融资一步步发展起来的创业公司来说上市是一个非常非常重要的事情
[00:22:47] 它重要在哪里呢其实就是为了让这些机构股东们套现啊而不是说让这个创始团队和老员工套现确实啊就从2020年底做完Efflin这笔大融资之后其实外界就一直在讨论Keep应该上市了一方面是当年Keep借着这个疫情居家的这个红利它的流量包括收入增长都到了一个比较好的水平像我们前面很多次提到了其实2020年底的时候Keep的很多指标是要比2021年要更加健康一些的
[00:23:15] 另外一方面Keep最重要的几轮早期融资其实都集中在2015年和2016年这些投资机构的钱呢都是有所谓使用年限的办案这个基金5到7年内的把当期项目里面投资结束掉你要从这个项目里面退出也就是拿钱走人然后如果再加上一些上市公司的IPO流程比如说你上市流程可能要走半年包括股票的解禁期又要半年这个一来一去就一年下来了我们倒退一下
[00:23:44] 如果Keep在2021年初去申请上市的话说不定是比2022年更好的一个选择对而且为什么我们说在2021年初的时候走上市流程会更加好一点是因为我们大家都知道就从去年开始港股和美股市场的一些中概股的市场是受到了非常多也非常频繁的一些政策的影响
[00:24:07] 有很多已经上市的大公司比如阿里巴巴美团他们的市值都大幅的缩水变成了所谓的中概股就是乞丐的丐而且原本非常热闹的一个IPO的市场也是处于一个半停摆的状态我看到有两个数字是2021年的下半年整个美股市场上面只多了三家新的中国内地的上市公司而2021年全年港交所做了八家中概股的二次上市也就是他们不要在美国上市他们要回到中国市场来了
[00:24:35] 其实这个话题的话在过去年我们的蛮多期节目里边也多少都会提及一些为了大家方便理解的话我们这边再简单的概述一下好呀美股市场这个中概股预浪呢主要是因为2020年底在美国通过了一个叫外国公司问责法案的东西这个法案要求从2022年起也就是从我们现在这个阶段在美国上市的中概股要在三年之内披露他们的审计底稿
[00:25:00] 否则的话就会被强制退市这个审计底稿不单是一些基础的草稿上面的数据也涉及到很多商业机密有可能还会涉及到一些政府和企业之间的邮件往来然后大企业的数据信息的话有时候也会被认为是影响国家安全的一些很重要的信息所以这个所谓的外国公司问责法案就引起了很多争议它最大一个争议就是它和中国现行的证券法之间是有冲突的一个中概股公司
[00:25:28] 它是夹在中间的一个状态就是左右为难另外在2021年的年中其实中国本土市场的话也有一些新的规定出来了对就是所谓的网络安全审查这规定是这样的如果一个公司它现在手上有超过100万用户的个人信息它作为一个中国企业去国外上市的时候就必须向有关机构申请网络安全审查
[00:25:52] 这个对于中国的互联网公司来说100万用户其实是一个非常基础的用户门槛了所以说这些公司如果说想去上市的话这个难度显然是增加到很高的一个水平了而且对于公司和投资者来说都是非常大的不利因素没错就刚才我们讲到的这些法规的影响的话
[00:26:10] 其实说是上市的难度提高了不如说是上市的不确定性大大的增加了就是人们不知道这个靴子到底是不是完全的落地了也不知道它怎么走所以说大部分互联网创业公司的上市计划都是彻底被打乱了大家都挺着说我暂时不上了结果这个时候Keep突然跳出来说我还是要上市所以他的动作就会很受关注大家都想看他说他是不是能做好所有的合规准备然后平平安安的去港股去上市
[00:26:37] 也就是想看看他有没有把合理的石头都摸摸清我觉得是不一定摸清了我们也可以发现在做上市准备的过程中Keep实际上引入了一个新的角色叫数据合规律师事务所简单的说就是给他看这个数据合不合规的但是这个角色我们看下来整体上来说还是一个更接近顾问的角色他不做实际的合规审查就跟审计和包括绝本的那些律师还是不一样的对的也是很新的角色所以大家也在摸自己的定位在哪里
[00:27:05] 在Keep的招股书里面这家负责数据合规的律师我就说了Keep所收集的那些个人数据主要还是跟健身用户和健身市场有关系这个健身和国家的安全的重要性的相关度是不是很高的
[00:27:20] 而且香港不属于国外上市的范围所以说这个公司上市以后有可能不太会接受所谓的网络安全审查这个风险是比较低的但我们刚刚讲到这个模糊和不确定的问题所以也看到过完全相反的一个观点就是说Keep收集的很多个人数据是带有生物特征的
[00:27:39] 可能涉及到个人隐私所以更加应该被详细的审查及监管而且还有一个问题就是2021年年中Keep刚刚因为违规收集用户个人信息被要求整改过所以Keep到底能不能在数据安全这一步过关然后干干净净的在港交所上市还是很值得关注的
[00:27:59] 讲到这里其实我们就把Keep这次上市大家比较关注的一些点都大致介绍了一下这次的话其实也是我们第一次尝试以一个音频的形式来讲这个公司IPO的这样一个事件因为当中涉及到非常多的数字和术语过往的话这种内容一般我们都是做成文字和图表因为会直观好理解很多做成声音的方式的话就要求我们尽可能的来降低理解的门槛
[00:28:26] 其实也是倒逼我们充分的理解那些数字才有可能尽量的做到一个深入浅出当然做得如何的话还是请大家来批评和指正还是回到Keep这个公司本身回顾这家公司的发展历程会发现它在很多方面还是比较理想化的比如说健身这个创业方向看起来比较时髦但是练起来就会发现非常反人性OK再比如说社区的内容Keep里面绝大多数的内容还都是免费的这对于用户来说当然是很好很有价值的
[00:28:54] 但是对于他自己来说这个后期做商业化就非常难了包括在做商业化的过程中这个公司基本上把所有可能的方向都试了一遍以至于这个公司现在的整体业务和收入的结构都变形了这可能也是理想化的结果只不过是负面的结果就是因为太理想了所以说在很多事情上面都缺乏经验也缺乏判断其实像Keep这样的一些所谓垂直类的平台的创业公司在过去几年遭遇的一些挑战和困难我们还是看到过蛮多例子的
[00:29:22] 包括有一些不够完美的有争议的甚至是失败的一些IPO的项目我们也看到很多了此前的节目里其实我们也强调过就是上市本身不代表什么大可以把它看作一个简单的融资方式很多时候就上市对于企业创始人和员工的意义还不如对于机构投资者的意义要大Keep之前有一个著名的品牌slogan我们之前也提过叫自律给我自由现在好像易烊千玺来了以后稍微修改了一下但大意还是这个
[00:29:52] 创业和运动在自律这个点上确实有很多方面是相通的包括坚持 重复 不断学习
[00:29:59] 而且不受外界干扰这些因素都是差不多的但是如果把这句话放在Keep所处的商业环境里面就会有一些所谓黑色幽默的意味自律和自由之间其实没有天生的因果关系商业就是这样
[00:30:17] 感谢收听这一期的商业就是这样你可以在苹果播客小宇宙喜马拉雅网易云音乐QQ音乐荔枝等平台收听我们的节目微信公众号第一财经eMagazine也会推送每期节目的内容如果喜欢我们欢迎你在苹果播客给我们五星好评并期待你在各个平台与我们交流尤其欢迎分享你感兴趣的话题下期见
