Vol.220 短视频神曲是怎样炼成的？
[00:07:56] 做音乐的时候重点就会从歌手转向歌因为比如在海外的话他们有可能是为一个知名的歌手然后他接下来怎么发展然后量身定做一些歌在国内的话有可能他们就不是这么思考了而这个呢就是热歌团队最大的不同比较传统的音乐制作的方法就像我们前面讲的就是一个歌手为他为这个歌手找到合适的曲子然后制作或者是这个歌手本身就是创作者他创作了自己的曲子
[00:08:21] 甚至是我们过去经常会出现的一些音乐的形式比如说像是专辑那就要为这个歌手专门来制作一个专辑了或者制作一个专辑的概念了那这些其实都是围绕着这个人的但是呢这个热歌团队的他们的做法就是先从一个庞大的demo的曲库当中筛选出有可能走红的歌曲然后再为这首歌匹配合适的歌手来演唱这就是所谓的配唱制所以说就我们前面提到像跳楼机的话它其实是在这种配唱制的模式下
[00:08:50] 诞生的了没错那跳楼机的演唱者就是原唱者利比他之前其实也有一些传唱度比较高的作品但是呢的确跳楼机一开始并不是为他量身定做的而是这个团队先确定了要做跳楼机这首歌然后就是根据比如说音色啊包括旋律啊等等的这些觉得利比是最匹配的就跟他合作了那么问题就变成了就是在制作的环节怎么去选出最有热歌潜力的
[00:09:19] 这个歌的demo这个部分对吧这个其实是我们在采访前最好奇的事情就是我们想说这种所谓的热门歌曲它有没有一个公式有没有一个制作的方法论
[00:09:32] 问了一圈最后的结果有可能是公式有一些但是这些东西没有我们想象的那么神或者那么的关键为了这些公式我们可以给大家举一些例子比如说有不止一个制作人会提到说现在的歌曲因为要适应短视频短视频都是在30秒以内的为主他们就会把副歌前置所谓的副歌就是大家最熟悉的那段旋律也就是一开头就把最抓人的旋律给亮出来
[00:09:57] 然后在编曲上面他们可能会用一些万能的和弦所谓的万能和弦我们音乐上面确实不太懂大家可以去搜一下另外比如说歌词上面它比较强调比如说歌词和旋律可以有一些反差比如说你歌词可以是阴谋一些的或者说是比较伤感一些的一些意境但是旋律得要向上一些这样有可能适配度会更高还有就是多用一些通俗易懂的意象比如说频繁的使用你我他这样能够让用户更加有代入感等等
[00:10:24] 问题就是这些方法论或者说是技巧你与其说是适应短视频的时代不如说流行音乐一直以来都会有这种技巧因为他们都是想要让更多的人能够传唱它比如说你像副歌前置我记得像这个90年代日本的Burning系的很多的歌曲就是摇滚的歌曲都是这样的它不仅是副歌前置它直接把这个副歌的第一句的话就当做歌名了而且他们的歌词相对也是比较通俗易懂的其实
[00:10:51] 大多数的流行音乐歌词都挺通俗的是吧而且反过来说就是如果你拿这一些技巧去套我们前面提到的那些大的大热的那些短视频的歌曲的话你就会发现也未必符合比如你像跳楼机的话它其实也没有采用所谓副歌前置这些做法
[00:11:07] 话说回来如果真的要说这个筛选或者说是制作这个短视频神曲方法论的话除了我们前面讲的以歌为主或者是为歌找人这是一个就配唱制这是一个点以外我觉得真的重要的有可能是大规模筛选和冷启动机制这个有可能是和传统的音乐制作方式真的有些不同的
[00:11:28] 我们举个数字比如说索尼的热歌团队他们每个月会收集的demo的数量是1000到2000个就从这么大一个范围里面他们再去挑选合适的曲子来进一步的制作1000到2000个里面去挑那怎么挑呢这个不是菜市场挑菜啊就是还是回到那个就是具体怎么来选的那个问题是吧我觉得音乐的层面的的确是就是很难言说他们也
[00:11:53] 没有说能够总结出一个非常明确的一二三总共是要挑好听的嘛对吧但是还是会有一些逻辑可以分享的比如说他们风格上面有一个逻辑就是要覆盖所有的热点
[00:12:04] 就是他们有一个判断是中国市场其实是不存在一个当下唯一流行的音乐风格的就比如说你可以说现在rap很流行对吧大家很多人都去听那在三四线城市呢有可能还是那种传统的大的情歌是最流行的此外呢比如说有段时间国风火了那么显然你在这个demo里面肯定也要寻找国风这种类型的歌曲这种都需要有等于是稍微有点流行或者说有点流行趋势的这种类型其实都要快速去跟进
[00:12:29] 那我觉得这个部分大家有可能还比较好理解接下来我觉得更加重要的有可能就是所谓的冷启动的机制据我们了解啊就是大的公司就大的一些唱片公司现在可能会做到平均一天就制作好几首热歌就一年上千首的这个水平那一首热歌的制作费用有可能是小几万而传统的艺人的就是以艺人为主的歌曲呢一首这个单曲的制作费用平均有可能是十几万甚至二十万左右
[00:12:52] 那不管是哪个数字那么多的歌曲你显然不可能每一首都正经八百的去发行制作完整的投入那么多钱所以唱片公司会做的是把这些歌曲在初期投放给一些音乐的自媒体然后测试一下他们初期的播放的数据那效果比较好的呢再从当中筛选一些进一步的拓展这个歌曲投放账号的类型之后再选出数据好的再大规模的推广这个实际上是他们生产热歌的一个主要的步骤
[00:13:20] 听起来到这个部分已经跟互联网公司没有任何的差别了就相比起我们之前提到像和弦啊歌词啊感觉这个部分才是热歌生产的真正的方法论虽然说整个生产的过程有一些什么技巧啊有一些策略但感觉这套体系的目的不是说为了精准的确保我每一首选出来的歌都是热门的而是确保我做了这些事情以后热门的歌曲能从这个曲库里面冒出来我不会漏掉它
[00:13:47] 当然我们还是要打一个补丁我们刚才是以跳楼机这首歌包括索尼音乐来作为线索讲了如今热歌生产的一个主要模式的确就是在很多的公司这个其实已经是行业的主流了有可能它不一定是个大型的公司而是一些几个公司合作的流程的模式但是并不是所有的最终在短视频上面大热的歌曲都是在这样一个精确的工业体系下面完成的比如说我们开头提到的如今最火热的蓝老
[00:14:16] 他的八方来财和大掌红图肯定就不属于是配唱制他还是更加接近于传统的模式就是一个音乐人和团队从自己这个出发然后创作了这个作品然后经过一些契机然后才火起来的所以等于配唱制这个是大家摸索出来一个思路但他不是说万能的或者说大家都在用的一个思路总还是有些意外产生的是有可能你从后面复盘的话会发现他
[00:14:40] 也是比如说有一些冷启动的慢慢的这个过程但是这个就不一定每一首歌都是从这个制作方或者发行方这边主动来操作的但是话说回来就我们前面讲到了这个冷启动和投放非常重要然后对这个热歌生产来说是个关键的一个步骤问题是这两件事情其实已经不是传统的音乐制作的环节了而是音乐发行的环节了对不对就是你这个歌做完了之后你再去
[00:15:08] 投放让那些自媒体来放嘛对不对所以从某种程度上来说短视频的时代发行和投放可能才是真正的生产
[00:15:20] 那接下来我们就具体展开聊聊这个投放或者发行的环节具体怎么做啊那前面说的这个冷启动就是发行的第一步了没错那我们可以再展开稍微讲讲的就是在这个过程里面就冷启动这个过程里面往往就会有许多与制作团队先前预期不同的这个结果这也是为什么他们需要做这样一个测试比如说我们采访过一个音乐厂牌叫迅飞音乐就是科大迅飞那个迅飞啊科大迅飞也做音乐吗
[00:15:48] 对的就真的是这个公司这个公司下面有一个叫AI加文娱业务群然后这个音乐就是当中一个部分这个公司的简介我觉得挺有意思的它是这么写的截至2024年12月迅飞音乐出品歌曲总播放量突破1100亿次登上各音乐平台主流榜单热歌超1900首它如果这么写的话那就说明它就是一个以生产热歌为主的厂牌了就是比索尼的那个团队做的还要极致一点
[00:16:15] 对就是这个公司本身就是做这个的其实我们在这个采访当中采访过很多这样类型的公司啊包括像雪球音乐啊等等的他们有可能不是从头到尾一条龙但是在这个当中实际上是非常专精的那么说回来这个迅飞音乐他的负责人在接受采访的时候他就提到过说他们曾经推过一首歌叫一点就是1234的一点就是星星点点的点那这首歌呢
[00:16:38] 原本他们其实在初期制作的时候没有抱很大的期望但是在人人启动的时候他们就发现有一位翻唱博主唱这首歌他这个视频获得点赞数明显高于平时平时有可能是几百一两千这首歌的话有可能是大几千就是因为这一个指标的变化那公司就开始为这首歌做更多的推广和投放那所谓的推广和投放就是买量吗我简单就问了就是到底什么意思是吧
[00:17:06] 我觉得这个其实就涉及到就是短视频平台里面他们音乐流传的一个核心的做法你刚刚说的买量肯定是一个部分但是其实不一定是最主要的我们可以大致总结这么几个关键词第一个叫博主第二个叫玩法第三个叫趋势
[00:17:22] 接下来我们稍微展开来讲一讲第一个所谓的博主就是我们前面提到能启动的阶段主要是在一些音乐类的博主上面投放这些歌所谓的投放就是花钱花点钱让他们去翻唱这首歌或者是介绍这首歌在这个阶段如果你的数据表现比较好就通过了这个测试的时候接下来公司就会尝试把这首歌推向更多类型的博主这个是我们前面讲的推广所谓的更多类型比如说比较常见的情侣博主宠物博主
[00:17:51] 甚至是美食博主还有甚至有可能有一些比如说时政啊军事啊这些博主都有可能的那推广给他们的意思就是请他们用这首歌来做那个他们视频的BGM
[00:18:04] 那这个动作呢往往会让一些第三方的公司的一些媒介来做这个部分我觉得还比较好理解就跟产品投放广告或者做一些什么博主测评什么的有点类似吧那接下来就是是不是就看这些内容在比如说这个投放的冷启动阶段的数据表现如果好的话就继续往下做对它就是一个一步一步来小步快走的这个过程那如果在这个阶段又表现好呢就可以继续的投放
[00:18:30] 像你刚刚讲的买量啊等等的就开始起来了但是这个买量什么我觉得只是一个执行的方法最关键的其实我们就提到了刚才的第二个关键词就是玩法甚至我觉得玩法其实应该就是热歌整个这个在短视频上面推广的一个核心部分所谓的玩法就是指这首歌在一个短视频里面是用怎么样的方式来呈现出来的最传统最常见但往往也是最有效的其实就是跳舞挑战
[00:18:55] 那如果说大家能记得抖音最早是怎么活起来一定会想到就是他们最早就是搞这个跳舞挑战活起来的对就包括甚至不是抖音就比抖音更早的一些短视频平台像我记得是什么美拍啊什么的他们也是搞这种一下子整个平台上全都是大家跳一样的舞那种类型的视频就是靠这个活起来的那你像我们前面提到的蓝老他的大展宏图的走红其实就与网友这个自己二创的这个舞蹈什么相关因为他们这个本身是一个说唱吧里面没有什么舞蹈的然后有网友
[00:19:25] 这个创造这些舞蹈然后开始搞这种跳舞的挑战然后他就开始走红起来了那像这种玩法的价值呢就是他能够通过比较少的这个付费的一些投放就引发大规模的模仿那剩下来有很多大家自来的这个动作了嘛除了这个跳舞挑战以外一些比较长期的玩法还有比如说合拍啊或者是拍一些短的剧情啊等等的我这边还可以提一个如今比较流行的然后也是跟这个就是蓝老的走红非常相关的一个玩法叫做动画
[00:19:52] 在这个八方来财这首歌的这个走红过程当中呢有一个这个短视频就起到了很明显的作用
[00:19:58] 这个视频的博主呢叫小曹动画他平时呢就是专门就是为各种音乐制作比较抽象的那种动画的MV虽然说我平时不太用或者不太滥用抽象这个词但是看了小曹动画吧我觉得他的确是很符合抽象这个词的本意就是它里面充满了很多没有明确意义的复制或者说反差很大的元素就是把它铺在一个画面里面真的语言很难描述大家自己去看一下好吧那在
[00:20:28] 他这个制作八方来财这个视频里面呢他就是用了很简单的那种就是有一个人物的那种就是像flash动画一样的那个状况然后反复的重复来财这个词这个视频的主要内容就是这样然后就火了然后就引发了很多短视频的博主都模仿这个动画然后在或者是甚至一些真人的博主在自己的视频里面或者直播里面就一直在喊来财来财来财那这一些其实与原本这首歌曲已经关系不大的这些玩法呢其实是如今一首歌最容易流行的方式
[00:20:57] 而对于发行方来说呢他们的这个主要的目的就是要找到合适的适合这首歌的玩法这个呢其实是需要靠一些技巧的一方面肯定是依靠数据比如说在这种玩法里面他表现比较好那我们就多退一退另外一方面呢其实还是要有一些主动的策划或者是有一些判断的你就像那个索尼音乐的陈国威他就说到一首歌适合什么样的tag或者说是什么样的一些主题词其实是需要仔细的判断他所适配的社会情绪的
[00:21:26] 比如说星辰大海就是在2021年的那个时候他们是在疫情期间走红的话那显然就是因为这个是一个比较昂扬的旋律和歌词就比较大的那种这个氛围那切中了当时大家的一些情绪而跳楼机呢在当下他去做的一些tag或者说是一些推广那就更贴近当下年轻人的一些生活
[00:21:45] 比如说他原本唱的是感情那跟情感是肯定相关的但是因为他又提到一些跳楼机啊那些你我啊等等那些说法很多人又可以把它用到工作当中或者是日常的生活当中就扩展开来了那这个显然就是跟这个歌词本身的这个或者是歌曲本身的这个风格是有关的又比如说八方来财虽然我们刚刚提到的就是那个比较抽象的动画一直在重复来财这个词显然是让他打响了知名度但是引发更多的这个
[00:22:10] 用户或者说是博主开始使用这首歌或者唱这首歌呢还是因为他在年末年初的那个时候就大家就是用这首歌表达了打工人的一种心声吧
[00:22:21] 那所以这种适应这个当下的情绪实际上是很多的制作方非常注意考量的你像我们前面提到的一点那首歌因为它的旋律是比较欢快的所以在初步的那个人启动成功之后呢发行方主要开始会突入一些tag比如说和年底新气象或者什么年底mvp决算等等的结合在一起就是和年底的这个呃活动或者这个阶段结合在一起让他大家来二创这个就最后的效果就比较好
[00:22:45] 那看到这种效果比较好的情况之后呢公司有可能再会去为一些比较好的玩法再主动的投放流量就给它加大那这个部分才有可能涉及到投流
[00:22:55] 就等于到这个阶段的话你前面比如说制作阶段他是歌找人那到这个阶段的话已经变成了要给歌去配一些比如说小活动然后配一些预算来这样做听上去就已经跟广告营销又没什么区别了完全没什么区别而且我觉得最关键的是在这个过程当中歌曲本身的面目也会发生变化老练的公司呢会主动的就是在这个寻找玩法的同时啊他们会对这首歌做一些改编
[00:23:22] 有的时候是剪辑有的时候是变速等等操作目的就是让这些新的这个素材能够快速的适用于那个玩法的视频而这个动作呢这个说法就叫剪辑适配那现在呢我们对于一首歌的印象往往就是那个十几秒的段落为什么大家都是这一个段落呢其实这个就是剪辑适配的一个功劳听起来就是到了发行阶段才是真正的创作阶段因为在这个过程当中呢歌曲就是有可能它会被媒介所改造
[00:23:53] 那前面我们是从制作和发行的角度来描绘了短视频时代一首热歌是如何诞生的简单小结一下这其实是一个完全是互联网营销的过程首先是大规模的生产其次是分部的筛选和淘汰然后是逐步的增加资源最终的大热曲呢其实是被一整套机制选出来的而不是说像传统的制作流程是做出来的
[00:24:16] 没错某种程度上其实有点像我们之前讲的3lio的IP就是当一个IP火了你能够反过来总结出许多的道理比如这个歌切中了什么情绪等等但如果你完全按照这个参考再来复制的其实就未必成功不过在讲完整个过程以后其实肯定还有一个问题要解决就是比如说一首歌它在短视频平台上火了以后它能赚多少钱呢因为我们都有一个前提就是说很多公司开始专注为短视频时代去生产音乐了
[00:24:45] 那他既然这样做肯定是因为这个能赚钱啊就我理解你想问的是这个短视频上面的这个播放量啊或者说是他作为BGM的使用次数最终是怎么变成钱的对就是这个问题这个问题其实还挺微妙的就我们问了很多的受访者总结下来的答案有可能是走红靠短视频但是赚钱呢还是靠音乐流媒体那这个呢就要涉及到岳老师之前提到过一嘴的就是短视频平台和唱片公司的这个版权的这个合作的问题
[00:25:14] 简单说个结论啊就目前在抖音和TikTok上面一首歌能被当作BGM或者能被翻唱的肯定是平台首先要获得版权的嘛对吧那这个有可能跟唱片公司是有个打包的一个价钱但是这首歌比如说放了100次和放了1亿次平台并不会根据这个次数再支付费用这个分成的费用给公司
[00:25:35] 所以说就是并不是说播放次数越多这个歌就能越赚钱在抖音上面是如此的那为了这个问题呢其实2024年的时候抖音包括TikTok和三大唱片公司还是有过一些交锋的就是抖音和环球唱片在此前的那个版权权益到期了之后一直没有续约然后呢环球唱片就撤下了旗下艺人的音乐导致就是在TikTok上面最火的比如像Taylor Swift的歌在有段时间里面是消失的就你不能用那个
[00:26:03] 他的这个音乐作BGM那环球唱片当时发的声明就是说TikTok说他已经建立起了一个音乐生态但实际上我们唱片公司靠短视频赚的钱是很少的而TikTok则说呢那么多的歌都是在我们的平台上走红的难道我们的贡献不大吗其实就是一个经典的博弈问题就是到底是谁在依靠谁谁离不开谁呢最后的结果呢是双方又重新谈了一个就是协议合约就是握手言和了但具体的方式或者这个钱没有公布啊
[00:26:32] 这个双方的说法是肯定是更加尊重艺人啊或者版权方创作方的这个权益的但是我们觉得比较微妙当中比较微妙的点是什么呢就是在这个协议达成之前你像Taylor Swift这样的最最红的歌手他其实提前就回到了TikTok就他这个音乐就在那个他们还在争执的过程当中他已经回去了这个当中当然有一些法律和版权的这个这个区别就因为Taylor Swift是有他的这些歌曲的母带的权益的
[00:26:57] 但是你从这个动作也可以看得出来对于一些最最火热的歌手来说其实短视频平台本身的影响力对他们来说已经非常重要了也就是说他们其实看中了并不是我这个歌在短视频平台上能拿到多少收益而看中还是短视频平台本身能给我带来的影响力是多少的然后我之后再想别的办法去把它转化成收益最终真正让他们赚钱的一个是流媒体平台比如像Spotify
[00:27:22] 那国内像网易云QQ音乐等等的因为在这一些平台里边根据播放量的多少他们是能拿到钱的比如说我们现在如果你去买会员的话付给那些平台那些会员的费最终是会根据这个不同的歌的播放量然后再分给这些版权方的
[00:27:38] 然后第二个更加就是对于歌手来说更加重要的肯定就是个人商演的这个收入比如说演唱会甚至上一些节目的这个商演这个我们之前讲到过那至于还有更多的一些衍生比如带演员等等这个就不提了在这个过程当中其实流媒体还是非常重要的一个部分当然需要说明的是就是我们前面讲到的这个情况还是主要限于抖音的就快手比如说快手的话它的政策和抖音不一样它是会根据播放次数给音乐版权方分成的
[00:28:06] 就是你在这个平台上面你这个音乐的播放次数如果比较多或者使用的更多的话你是能够真的拿到钱的这个是他2021年开始的一个政策那回到你最初的那个问题就是总共能够赚多少钱你就像跳楼机走红了之后呢其实网上流传了很多的数据说这首歌带来的整个的版权的收入能够超过4000万元我们的同事还拿着这个数字去求证过但是得到的答案是肯定没有那么多
[00:28:29] 就关键是这个数字有可能现在你并没有明确的能够知道因为它是需要这个流媒体的平台QQ音乐啊这个网易云啊等等他们这个平台在一个时间段里面结算完了之后再给到唱片公司的它是有个滞后的效应的那4000万呢可能是一个估算就是有可能是估算这首歌能够大到一个怎样的一个播放量然后它在整个生命周期里面大概可以折算成多少钱有可能这样一个规模
[00:28:53] 现在这个时代的话有可能他整个生命周期也会比原来更短一些就没有像我们之前节目里聊那个Mariah Carey那个时候那么强了而且还是那个逻辑就是对于歌手来说歌曲本身的版权收入本来就是
[00:29:07] 大概率是比较少的除非你是一首非常长销的一首歌对吧那大头而且是唱片公司拿走的那商业还是目前艺人最主要的编写方式可以看到利比已经上了一些音乐综艺啊包括蓝老他的全球训练已经排的满满当当我觉得这个可能是赚钱的核心
[00:29:25] 那我们过去经常讲音乐产业音乐工业其实今天是一个比较直观的一个感受就是它原来已经工业化到了这个程度那由此诞生的一个常见的担忧就是我们听到的音乐的质量会不会越来越低了于老师你同意这个说法吗
[00:29:41] 怎么说呢我觉得就像开头说的就每个时代有每个时代的热歌和神曲然后每个阶段都有人评评说这么烂的歌都能走红这到底是为什么我觉得这点上面短视频平台并没有什么非常特别的地方
[00:29:56] 我同意啊而且这次制作这个报道的过程当中呢让我有一个印象很深的数字是中国一年要产生130多万首新歌换算了一下相当于每分钟就会产生三首新歌所以理论上一个人是不可能听完所有华语新歌的就是所谓字面意义上的音乐太多耳朵太少这个28定律会展现的更加明显是吧是的
[00:30:21] 那在这样的一个数字的规模之下呢我觉得需要关心的问题可能不是走红的歌本身质量好不好或者艺术水平高不高而是那些好的歌能不能被人听到
[00:30:32] 因为在短视频的时代这个问题的答案有可能是很矛盾的这一方面相比较于主流媒体主导的那个时代人们的审美肯定是越来越分众的就是所谓的全民的巨星不太可能出现了这也是为什么周杰伦包括陈玉鑫一直在霸榜但另外一方面我们今天所讲述的建立在短视频的算法推荐机制下的赛马的体系其实又让一首歌的寿命可能变得非常的短有很多歌它还没怎么被人家听到就消失了
[00:30:59] 这个问题再往深一步可能是现在我们还会不会把音乐作为一个独立的完整的内容去消费越来越多的情况下音乐已经变成了BGM变成了素材甚至变成了一个梗你完整不分心的听完一首歌的情况都已经变得比原来更少见了就像袁老师刚才讲的这种音乐的课题化其实早就开始了并且蔓延在各种的内容形式里边只不过如今它变得更加彻底了商业就是这样
