Vol.86 四组数字，重新理解蜜雪冰城
[00:03:50] 这公司目前还有另外两个品牌一个是卖咖啡的叫幸运咖一个是卖冰激凌的叫吉拉图吉拉图这个名字就好比一家面包店叫布瑞德其实不管名字起的好不好这两个品牌都还在新的发展阶段吉拉图是更新的品牌它的规模还没有起来但是幸运咖是从2018、19年开始做到现在也有600多家店了
[00:04:16] 这个数字其实比不了瑞幸和星巴克但是至少比曼娜要高你这个不过经营模式还是不太一样毕竟蜜雪冰城还有幸运咖他们都主要是靠加盟确实所以最后要讲的一点就是加盟比例目前全国99.8%的蜜雪冰城和98.9%的幸运咖都是加盟店然后这个公司三个品牌的直营店目前加在一起加在一起都不到50个
[00:04:43] 不过招股书里面也说了上市之后这公司准备在全国的一线和新一线城市里面再开总共80个实营店来打品牌就是让大家多认识一下这个公司小觉一下就是蜜雪冰城的门店增长非常的快而且还变出两个子品牌然后这些门店大多数都是靠家门的嗯没错那靠家门这点我们再展开聊聊其实从公司的营收结构上也很容易看出这个情况
[00:05:11] 蜜雪冰城的主营业务收入里面占比最大的是食材占到了70%左右其次是包装材料就是像杯子啊吸管之类的这个可以占15%到17%真正那个加盟商管理的收入其实占比并不是很高大概是公司营收的2%到3%当然直营门店收入这个占的量就更小了那这些数字其实跟之前蜜雪冰城自己披露的那个加盟条件里面列出来的数字是差不多的
[00:05:40] 因为像一个蜜雪冰城门店的加盟费只要7000块到11000块嘛这个其实比很多品牌都是较低的当然除了像加盟费或者像管理咨询费之外呢这个开店还要有很多其他启动资金比如说门店租金装修设备物料这个加在一起平均也都要三十几万关键就是这个店一旦开起来运转起来以后呢其实它就要源源不断地向蜜雪冰城买这个原材料嘛所以实材比例才占这么高
[00:06:07] 对,这一点才是蜜雪冰城和很多家门制的品牌比较不一样的地方就是它不会从家门店的销售业绩里面去抽成然后它也不是靠高额的家门费来赚取利润它主要赚的就是物料的费用这样的话家门店它自己直观的会觉得我的利润空间很大我更有动力去卖很多的饮料反过来如果这个店业绩越来越好然后门店越来越多的话蜜雪冰城作为一个中心化的供应商它才能够赚得更加多
[00:06:37] 所以说蜜雪冰城这个加盟核心其实还是它自己要成为一个物美价廉的原材料生产商和供应链上的服务商让所有的加盟店都离不开它才行因为像奶茶果茶这基本上都是成熟的产品了各种奶茶粉泡出来味道是大差不差虽然说有合同约束但是其实加盟店很容易有动力自己偷偷换原材料你就得想办法去解决这个问题蜜雪冰城想到的办法就是价格
[00:07:05] 他主要靠的就是自建工厂通过大规模的采购和生产然后降低所有产品的出厂价格我看到2022年4月份密雪就发布了通知说他要下调69款核心物料的价格这平均的降价幅度有15%很高的一个水平而且相当于就是把自己的利润空间又削薄了一点我觉得这个策略真的是非常厉害就是他没有去用一种所谓加盟商管理的方式去防止你去违反合同
[00:07:34] 而是我让你很难找到比我更便宜的一个原料的替代品那这样的话加盟商自然就会管住了而且自己建厂还有另外一个好处就是它可以非常稳定的大规模的供应这个话题的话后面应该还会再展开说没错没错那说到这里呢我想岔开说点别的我其实在看这个招股书的时候就在想蜜雪冰城的这个营收结构和运营模式其实跟国内的另一个品牌叫爵位食品非常像
[00:08:01] 这个爵位食品就是爵位压迫的母公司爵位也是靠着比较彻底的那种加盟模式在今年年中全国范围内已经有了将近一万五千个点位也是很大的一个数字那为了支撑这么多点位每天都能卖到那种新鲜的压火和卤菜这个公司在全国有六个核心工厂一年可以生产出14.25万吨的新鲜压火
[00:08:27] 只要门店开在县级城市的话其实是每日都可以配送到店的卢威也是过去几年比较火的一个食品方向绝后鸭脖蛮好吃的但是它肯定不算这个市场里面最大最出名的一家但是你刚刚那个介绍也能感觉到它这整套生产体系野心也不小是的另外一个有一点可比性的案例就是达美乐达美乐可能大家比较熟悉的是它终端那个物流能力尤其是在30分钟之内把一个热气腾腾的披萨送上门这个事情
[00:08:56] 这背后据说有很多技术环节的配套的服务比如说精准的那种流程时间上面的把控然后包括设计那种带加热功能的送餐车等等但是终端的表现其实也需要前端的供应链支持才能实现如果从达美乐2021年全球的营收结构来看的话它的供货收入其实也可以占到68%然后特许经营费这个收入大概是26%剩下一点就是自营门店的收入
[00:09:25] 这个营收结构的利润空间呢应该是比蜜雪冰城大一些的因为它特许经营费还是收的更多的嘛每个达美乐门店里面所用的那种面团啊配料啊蔬菜啊酱汁其实也都是由它的中央工厂生产好了以后再统一配送上门的我看美国的有个媒体叫Quartz去参观过达美乐在美国东海的一个工厂这个工厂呢是可以覆盖周围425家达美乐门店的日常需求的
[00:09:53] 它每天可以生产出12.6万个标准的披萨面团然后如果这个门店缺货了给工厂下订单的话其实12小时之内呢就会有冷链卡车送货上门
[00:10:06] 有意思啊所以这几家都是规模很大很成功的一个加门制餐品牌然后他们背后呢基本都有非常强的一个生产和供应的体系来支撑只不过蜜雪冰城在这方面似乎走得更加彻底一点所以接下来我们要关心的就是它的这个生产和供应链到底是做到了一个什么样的水平
[00:10:26] 说到生产这个就涉及到一个有点尴尬的话题大家可能听说过喜茶之前发起过一个行业倡议就是希望行业里面多用真奶少用奶精但是我想想如果把这个倡议塞给蜜雪病成可能马上就被反弹回去了因为要用真奶的话这个公司就没有办法做生意了怎么说这里我们不妨听一下蜜雪病成在招股书里面披露的他生产出来的一些典型产品开始报了啊
[00:10:56] 奶昔粉奶茶粉芝士奶盖粉蔗糖风味饮料浓浆果汁伴侣饮料浓浆草莓果酱黄桃果酱停一停就是我怀疑你再这样读下去大家都没有食欲了我看的时候我也有一点震惊但这其实就是现实就是离开了这些粉剂糖浆还有罐头果酱这个蜜雪冰城可能连一杯饮料都做不出来连那个柠檬水也做不出来
[00:11:23] 而反过来说蜜雪冰城可以把一杯饮料的价钱压到这么低还能让消费者喝得下去而且让加盟商有钱可赚也是因为他用了工业化手段大量的去生产这种廉价的稳定的方便门店操作的这种半成品食材说到这个就想起来之前我们讲过奶茶小料的那期节目还有讲瑞幸去开发新品的那期节目都或多或少提到了这个话题就是跟食品工业的一些添加剂相关的嘛
[00:11:51] 但我还是比较好奇就是蜜雪冰城它自己是怎么做出这些门店经营所需要的产品而且这么复杂一个体系其实这个生产环节并没有那么复杂就是你把原材料买过来自己做一些简单的加工然后再封装确实不复杂这技术都很成熟重点就是你要在原材料的采购和成本控制上做得比较好
[00:12:14] 那像奶昔粉啊奶钙粉或者饮料浓浆和果酱其实拆分到原料的话就像你当年讲萨迪亚那期节目一样这个也有很多同类项嘛比如说奶粉糖脂脂墨水果那个其实这些都是明雪冰城为了自己去生产这些半成品采购的重点嘛另外还有一些工厂产能不是很足的原料或者像茶叶这种不需要加工就可以说直接去向供应商做大规模采购就好了
[00:12:43] 如果从2021年的采购额来看这种生产型采购和贸易型采购这两种采购策略它们这个采购额相差不是很大都要花二十几亿的所以密水冰城这个原料加在一起要采购四五十亿元这么大的规模对的每年而且因为公司在这个招股书里面同时披露了采购金额和采购均价
[00:13:08] 这个拿来除一除呢其实还可以把采购量算出来所以我就做了点算术嘛比如说大家都知道这个蜜雪冰城的饮料几乎没有无糖的选项这个公司用糖量真的很大我按照采购金额和均价算了一下2021年蜜雪冰城采购的糖有14.23万吨另外还采购了4.9万吨的脂脂沫也就是俗称奶精
[00:13:33] 14.23万吨糖这个数字有多么惊人啊我给大家另外一个数字来对比一下就是中国市场在2021年消费的食用糖总共大概是1540万吨这里边既包括了工业的采购也包括了居民的消费也就是说蜜雪槟城大概买走了当年全中国0.9%的食用糖就不到1%但是也是很惊人的一个数字
[00:13:59] 不过很有意思的一点就是既然这个采购规模这么大这里来说蜜雪冰城也应该有那种长期合作那种超级大的供应商那举个例子像芝芷墨芝芷墨的话蜜雪冰城其实已经连续几年跟两家大的供应商合作了一家叫佳和食品它是整个中国最大的芝芷墨生产公司也是一家上市企业另一家就是菲士兰菲士兰和佳和呢供应了蜜雪冰城绝大多数几乎所有的芝芷墨
[00:14:28] 再比如说茶叶如果说对比采购数据和供应商数据就可以看到蜜雪冰城所有门店里面用到的所有茶叶基本上都来自于一家福州公司叫邦利茶叶但糖的部分就是我翻来翻去就是找不到这样大的供应商确实是一个困惑点就是我在晚点的报道里面看到过说蜜雪冰城早年为了解决门店自主熬糖品质不稳定的问题
[00:14:53] 是找过可口可乐的供应商就是很有名的佳吉他去买过糖浆的对确实有过这么一个说法但是佳吉没有出现其实直到2019年供应商这个事情还能找到一点影子因为那年蜜雪冰城的第五大供应商是光明然后光明既给蜜雪冰城做奶粉的采购也做糖类的采购但是当年光明卖给蜜雪冰城的糖
[00:15:18] 按照采购金额算只占当年的采购额的不到8%也就相当于这个公司90%几的糖还是不知道从哪里买的这个就是我读完整份招股书之后最大的困惑确实啊然后如果有对这个事情比较了解的听众朋友的话非常欢迎你留言或者发邮件来给我们解惑一下
[00:15:38] 其实我们花了很多时间去讨论原料采购这个事情主要就是因为这部分的披露比较详细有很多数据至于说奶昔粉奶钙粉具体是怎么做的这个里面要用多少糖多少脂脂沫然后包括这个包装规格有什么讲究这部分其实没有披露我们也确实不懂所以就不聊了我们就直接跳到成品来看它的第三部分也就是蜜雪冰城怎么做好产销匹配和产能扩张先谈产销匹配
[00:16:05] 如何尽量让产能产量和市场的需求做到一个匹配的增长其实是一个非常非常难的课题这个问题在碧雪冰城自己身上也出现过赵果树对这些数据也有披露可以看到说像奶茶粉这类所谓的固体饮料产品它的产能利用率一直是比较饱和的状态而且生产出来的货十之八九都能卖掉的但是像糖浆和果酱这两年公司是一直在扩张产能当然相应的产量提升也很快嘛
[00:16:34] 但是还是一个供不应求的状态大比例还是要从供货商那里去买外来的成品来补足的简单来说的话就是蜜雪冰城这几年还是比较像以销定产就是门店端有多大的需求然后我尽量去满足不管是用生产的方式还是去采购但其实这是有点被动的情况就是这种供不应求其实对于家门上的管理包括自己业务的扩张都是会产生一定影响的没错
[00:17:01] 所以说这次蜜雪冰城计划说上市筹来的钱呢就主要都投入在生产端这种各种各样的产能扩张上面感觉也是为了解决这个问题当然如果说生产规模本身达到一个很高的量级的话就是它要生产出很多产品的话相应的你也去找更多的渠道来消化掉这些产品那蜜雪冰城的一个好处就是加盟店尤其是这么多的加盟店它本身就是一个非常特殊的消火渠道
[00:17:28] 如果再加上它国际化拓展那些部分的话这个公司的门店规模的增长可能还会维持好几年消化这些产量的压力就不是很大再举个例子就是前面提到爵位食品爵位食品的话不仅利用了它的上万家加盟店把它卖货它其实还有一部分富裕的工厂产能这样的话就可以给像三只松鼠之类的品牌做代工那做代工呢也有可能是蜜雪冰城长期可以走的一个支线生意
[00:17:56] 所以其实解答了前面岳老师提的一个主要的问题就是这次IPO要筹65亿元左右的钱用来干嘛主要就是用来扩产能那么这个扩产能到底怎么扩的要不要展开讲一讲好呀这里其实也挺精彩的就是蜜雪冰城提出来说上市之后在生产建设这块上面就要做五个新的大型项目这个总投资额是接近30亿规模是很惊人的这几个项目的选址也都挺有意思的
[00:18:24] 比如说有个项目在海南定安这是他们上市之后最大的一个新项目就是耗资在10亿元以上其实就是为了方便他以后大规模地去供应东南亚的市场而且充分地要利用起海南的椰子和咖啡的资源还有个项目在广西的重佐这个地方主要就是做水果制品还有芋圆和糖浆因为广西当地本身就盛产水果芋头和甘蔗
[00:18:52] 然后像川渝地区本来的柠檬产量就很大而且这个气候也很适合种柑橘所以说他们在重庆的那个项目就主攻速冻水果和深加工水果感觉它变成了一个大型的农产品加工企业对的除了这种比较针对性的跟农产品比较相关的布点以外还有一部分钱是冰雪冰城会想花在它在河南焦作的一个总部产业园的升级上面
[00:19:19] 比如说前面提到织纸墨他就计划是大规模自产织纸墨目前蜜雪冰城所有的织纸墨还是从外面买的但是这个东西的生产技术其实是比较成熟的也不是自己不能做的东西所以就很想实现所谓的外购转自产所以要摆脱对那两个大的供应商的依赖了对吧对不过也可以理解就是从利润的角度的话毕竟自产的话这个利润又可以稍微多出一点点了没错
[00:19:47] 那他们这个总部产业园想做另一块升级就是开发那种冷冻果酱产品这里要提一句啊目前蜜雪冰城供应给门店的绝大部分产品都是可以常温保存的这个其实省下了很多冷冻运输的成本嘛
[00:20:03] 但是在果浆这个事情上他们也自己也承认了有些水果的品种就是冷冻的果浆口感更好营养也更好所以也在提升蜜雪冰城也是很讲究口感和口味的没想到呢所以我自己听下来的感觉就是这个产能提升不单单是增加数量而是有很明确的一个方向就是去补短板比如他缺什么水果然后就去这个产量最大的一个原产地去建厂
[00:20:28] 想要去供应海外市场的话那就去找一个靠近东南亚的海南来建厂然后下决心哪个原料要自产了那就开一个新的工厂来解决这个问题反正是挺有魄力的事情因为基本上每个都是要花几亿元或者说要花几年才能开始投产的项目不过密雪冰城自己也测算过从投资回报周期和回报率的角度来看这些项目其实都是挺划算的举个例子就是广西重组的那个项目
[00:20:56] 从启动建设开始到第五年可以达到公司比较理想的一个产量然后在第五年当年是可以为公司创造出超过21亿元的营收和2.3亿元的净利不是毛利而是净利然后这个项目的投资回报周期他们算下来不到五年这个其中还包括了两年左右没有任何产出期的建设期
[00:21:19] 如果这个数字真的能够实现的话那这个投资回报到周期是非常非常短的是非常惊人的就是在制造业里边反正我看一下都是种很夸张的数字另外呢这类大型的建设项目有时候因为对当地政府反而更重要一点所以呢这个事情还会给蜜雪冰城带来一些其他的小的收益比如说像什么定向福祉资金啊文港补贴啊财政研发的补贴啊然后税收奖励等等等等这个部分
[00:21:48] 在2021年呢蜜雪冰城拿到了大概8000万不到的这一类其他收益当年公司的净利是19.12亿元这个两个比起来呢就是略有贡献吧也不算很多为什么专门提这个部分呢主要是因为有些上市公司的财报里面这种类型的其他收益对于利润的贡献比例其实很大的甚至是这个公司的商业模式重点就是做这种2G的生意那蜜雪冰城不再起利其实是个好事情啦
[00:22:17] 好进入最后一个部分我们再来聊一聊钱的问题像密雪冰城这种在门店端收现金然后在生产端又有账期的公司的话现金流应该是要比较充裕的吧密雪冰城确实很有钱这里我们稍微细化一点讨论就是它的门店卖给消费者产品消费者付现金这个部分确实是没有任何账期可言一手交钱一手交货
[00:22:40] 而蜜雪冰城呢它本身都是加盟门店就涉及到门店向总部买材料或者结算其他款项这个理论上有可能会产生账期但是因为蜜雪冰城一般要求是先款后货就是你先把钱打过来我再给你提供服务或者才把原材料交给你所以这基本上也不会有什么账期和应收账款的问题讲到这里呢我们就要提到蜜雪冰城另一个很惊人的数字
[00:23:05] 就是2021年它的应收账款周转天数是0.08天这个用天其实不合适就是用小时表达更好就相当于在两小时之内这个公司就能把自己卖货或者说提供服务的这个钱以现金形式收回来哇太夸张了这个先款后货真的是非常厉害啊我们做一个看上去不太相关的类比啊
[00:23:28] 就是苹果大家都知道是消费电子行业里边一个应收账款这个周转天数很低的一个公司它2021年的这个数据是21.2天已经是很厉害了啊但是跟蜜雪冰城相比的话真的是反正不能比的有可能是因为太多人用信用卡分期去买那个手机吧我觉得库克也得加油一下就是在这个惊人的应收账款周转天数的数据之外呢像蜜雪冰城自己做那个存货周转这个事情也控制也蛮好的
[00:23:57] 像2021年的时候公司用42个天就可以实现一次就是把所有存货卖出去变成现金的这个过程我们再拿爵位食品来比一下这个事情上爵位食品做的就不是很好了它同期的这个指标是接近70天考虑到爵位生产的就是这个食品本身而不是蜜雪冰城这种粉剂或者是糖浆小料这类的东西那这个存货周期的话其实还是偏高了一点确实
[00:24:23] 那从应收账款和存货周转这两个指标我们已经能看出来就是蜜雪冰城这个公司的产品很容易变现而且它跟加盟商交易的效率也非常高整个经营状况还是很健康的加上奶茶市场这个本身也很大所以说公司理论上确实不会缺钱那么不缺钱一般也就不会出现说一定要靠借钱或者说甚至要靠股权融资才能继续发展下去那种状况嘛我查了一下公司目前账面上的贷款只有一笔
[00:24:51] 这个贷款只有9000万是一年期的借款方还是交做当地的一个银行作为一个开那么多厂的一个制造业的公司来说这个数字真的非常惊人就相当于这9000万其实完全不用借对吧很有可能就是有钱的借一点钱对就是也不知道为什么也就是要借这笔钱不过蜜雪槟城在交这份招股书之前在2020年底确实开放过一轮股权融资
[00:25:17] 当时是高领资本美团龙珠和CP元丰也就是原来的中信产业基金这三家在内总共给了公司23.3亿元这三家加在一起的持股比例是10%那就相当于蜜雪冰城做完这一轮融资之后它的估值就是233亿
[00:25:36] 比当时已经在A股上市的恰恰瓜子稍微低一点但是差距也不是很大了我们理解的话2020年底的开放融资一方面可能是受新冠疫情的影响因为当年蜜雪冰泉整体的业绩其实不是它整个当中最好的一个估值本身也比较在低点然后它有可能寻求一些资金上的安全另外一方面的话就是公司有很强的产能和门店的扩张的意愿那拿一笔钱的话正好可以投入到项目建设里边
[00:26:04] 就是他这个筹钱就是为了要扩张的那今年走IPO的融资的话其实也是类似的原因对吧就是想要在这个低点先扩产能然后等消费市场回暖了之后这个业绩就能够一下子再上来还有一个点就是他2021年不是做了一轮病毒影响吗这个公司的品牌影响力大增所以他融资的动力和信心应该都比之前更足我能想到另外一个理由就是蜜雪冰城现在有很明确的海外拓展计划了
[00:26:33] 那跟本土扩张相比呢海外市场的不确定因素其实大很多嘛比如说你有可能需要更多的垫幅资金公司除了要准备更多的钱呢也会考虑说找一些像上市公司这样的标签作为背书那么从这次接近65亿元的募资计划里面也可以看到大头虽然都流向了建设项目但是还是有一部分钱是做品牌建设的另外还有19亿是直接补充到流动资金里面去的
[00:27:01] 那顺便问一句现在蜜雪变成账上到底有多少钱啊我只说现金部分就是截止到今年第一季度末这个公司有30.5亿的银行存款以及价值4.6亿的理财产品那么从对于这两个部分的解释来看呢我猜这个里面有尤其是银行存款里面有23.3亿就是之前融进来还没有动的那一轮融资款哎 打扰了
[00:27:27] 听了这么多的话我自己个人确实对蜜雪冰城有了很多全新的认识首先就是它目前2万多台的门店规模真的是完全靠家门的体系做起来的而它自己又不靠特许经营费和销售的抽成来赚钱完全是靠卖原料卖包材和卖设备来赚钱的其次就是蜜雪冰城在这么低的售价之下还能为自己的原材料留出一定的毛利空间靠的就是它大量的采购和大量的生产
[00:27:55] 比如我们前面提到的他一年买14万吨糖的这个数字当然了这样出来的产品的话你就很难说和健康自然有什么关系了第三就是在已经规模这么大的基础之上蜜雪冰城还想更进一步他已经安排了好几个新的生产基地而且这些项目看起来投入都很大成本回收似乎也很快最后一点就是蜜雪冰城的经营模式以及之前的一轮融资导致他手里边有非常多的现金
[00:28:24] 即使是这样他还是想着靠上市能够再拿一点然后为以后更大规模的扩张做准备有钱人的生活就是这么朴实无华且枯燥这里还想补充一点感慨就是定价的重要性蜜雪冰城这么一个庞大的效率机器之所以能够运转起来核心还是因为它的饮料能够卖得动而让它畅销的核心还是定价这一点上面他其实抓住了餐饮业最重要的一个问题没错
[00:28:51] 另外一个很有意思的点就是蜜雪冰城在街上和招股书里面给人的印象真的是完全不同像是两家公司一样在街上它是一个怎么说有点土味的然后稀松平常的以廉价来给人惊喜的一个家门店而在招股书里面就怎么说它感觉像是一个生产极客就是它一心就是生产然后最心于扩产
[00:29:15] 而且立志于是把饮料里边所有的东西都全部反向还原为工业产品这样一个制造商的这样一个感觉而且这恰恰好就是同一家公司一体两面没错这是一个很有意思的现实按照密雪冰城自己的说法这个一体两面的配置呢最终都是为了实现它的一个发展目标叫两美元让全球人吃饱喝好这为什么是两美元我也不是很懂啊这个目标能否实现呢我们暂且不论
[00:29:42] 但是成为一家大公司并且实现上市的话至少能够让更多人认识他甚至是对他产生全新的看法商业就是这样
[00:29:57] 感谢收听这一期的商业就是这样你可以在苹果播客小宇宙喜马拉雅网易云音乐QQ音乐荔枝等平台收听我们的节目微信公众号第一财经emagazine也会推送每期节目的内容如果喜欢我们欢迎你在苹果播客给我们五星好评并期待你在各个平台与我们交流尤其欢迎分享你感兴趣的话题下期见
