Vol.203 雅思也能闹破产？
[00:20:29] 到2024年付费测试给多令国带来的收入是0.46亿美元相比2023年上涨了一点点但是整个公司在这一年里面总收入规模提升了很多这个主要靠的就是用户数的上涨之后带来的这个付费用户的转化
[00:20:46] 所以我们单纯只看付费测试对于多林果收入的贡献率它就已经是一个相对比较稳定的一个小业务了虽然疫情之后大家对于这个考试灵活便利的要求下降了很多人还是回到了传统的托弗亚斯考场但是多林果这样的新的竞争对手还是会对ETS还有我们刚才讲的IDP这类传统的我们的考试公司带来一些的压力的是的
[00:21:09] 所以从IDP角度来说雅思虽然是做了很多年的主营业务
[00:21:27] 最后我们来解决第四个问题就是回到雅思考试的一个可能是第一大市场就是中国内地看看它的情况怎么样先说结论中国内地确实是雅思的核心市场我们先从IDP给出的报告看一下规模2024财年IDP加上英国文化协会他们共组织了400万人次的雅思考试其中中国内地和美国合计占整个考试参加量的23%也就是86万人次
[00:21:54] 考虑多应该美国人考雅思会比较少吧应该是吧所以仅仅是中国内地对于全球雅思的贡献率
[00:22:01] 大约就是五分之一而且这仅仅是就考试举办地所做的通知这跟考生的国别还没有关系实际上大家应该都知道因为国内的考位相对比较紧张还要考虑到什么给分松紧等等一系列因素实际上有相当一部分中国学生是选择在海外考试如果从考生国别角度这个贡献率只会更高一些另外这里可以展开说明一下中国内地雅思业务有一点特殊性前面提到国内考试是英国文化协会和教育部教育考试院
[00:22:30] 共同运营的所以理论上这个部分收入就应该直接归属于英国文化协会了就跟IDP没什么关系实际上有关的原因就是英国文化协会在中国内地每组织一场考试都要向IDP按比例交纳一些特许经营费原因就是因为双方之前签过一个长期合作的协议就是IDP通过放弃在中国内地市场跟文化协会的竞争让文化协会可以独占这个市场然后
[00:22:59] 作为一个代价我要向你收这个收入也是一种垄断对吧所以中国内地的雅思考试费更贵就是这个原因吗不太确要多付一笔给另外一个竞争对手说我放弃这个市场
[00:23:12] 他们计划在2025年直接进入中国内地市场
[00:23:39] 来高雅思当然前提也是他们要获得教育部方面批准所以过去就是这一块大市场主要的肉都你来吃我就躺赚一些也就可以了因为别的市场我也做的不错现在我别的市场不行了我这边只躺赚一点点小的优秀不够了我要来直接抢一块肉了是的IDP的预测是进入中国市场以后公司在2026至28年的年均盈利增长就可以达到5%因为是盈利增长所以是一个非常高的水平
[00:24:07] 但是对于英国文化协会来说肯定是一个很坏的消息了我过去就是已经过了非常多的就是很舒服的就是你一块我一块的这种和平的日子了现在要开始竞争了要打架了而且因为目前还看不出来RDP到底是会用什么样的定价速度和服务体系来打中国内地市场但是英国文化协会不是它处于财务困境整体都在缩减成本吗这你打过来现在开始要进入你最大的市场了
[00:24:34] 对所以他们其实肯定是缺乏应对能力的所以我们其实可以观察一下未来几年雅思它作为一个完全商业化的教育产品在全球市场尤其是中国内地会发生什么样的变化虽然在报名的时候我们都能从费用的高低直观的感受到雅思托福的这个商业化的程度但其实我们很少会反过来从这个产品本身的设计以及它的利益它的市场如何在几家机构之间分配的问题来观察这个作为商业化产品的雅思考试
[00:25:02] 这也是我们这期节目想要尝试一个比较新的视角另外值得说的一点就是雅思考是商业化实际上也跟英国高等教育产业整体的市场化倾向是密切相关的
[00:25:13] 在整个欧洲范围内英国实际上是第一个
[00:25:42] 就会诞生什么样的教育商品商业就是这样
