Vol.158 如何管理一艘“移动的工厂”
[00:17:17] 反过来呢他们也还要做一些检测防止这个船员的生活区里面有一些气体进入这个货舱是什么呢就是船员的汗水蒸发出来的这个湿气因为这些进入了这个货舱的时候像刚刚讲的它会侵蚀这个货物的那我们再举一个装煤的这个货舱的案例啊你装煤有什么重要的关注点呢就是要关注危险气体还有就是温度所以这个装煤的货舱每天都要测温如果你温度过高的话就有自然的危险
[00:17:45] 所以我们听说就是有经验的船员啊他们就比较喜欢运俄罗斯的煤因为那里的煤上船的时候温度就比较低因为它比较冷是吗对但如果你去运那些印尼的煤的话就要十分小心了里面比较热如果你这个运煤的货舱温度超过55度的话你就不能继续装煤了
[00:18:04] 听上去就是工厂里面那种安全生产问题所以你怪不得说这个开船跟开工厂其实没有什么差别对的这个安全就是这当中的一个关键词因为行业就属于那种不怕一万就怕万一的那种行业这虽然现在大家觉得船舶已经越来越安全了对吧但其实每年还是会有数十艘比较大规模的我们所谓的总吨位在100吨以上的货船要沉没的这还蛮多的那如果操作不当的话就有可能会出现最糟的情况
[00:18:32] 我们举一个例子就是在2010年到2019年这十年中间在印尼附近的海域一共有十艘货船沉没了而这十艘货船都运了同一种货物就是镍矿镍这个矿产近几年就是因为电动车浪潮就比较出名因为三元锂电池里面有一种重要的元素就是镍而印尼是全球第一的镍资源储量国那为什么运镍的这个船频繁的倾覆呢
[00:19:00] 就是因为镍这个矿产它在这个颠簸的海面上面很容易液化就形成一种所谓叫自由液面影响这种情况怎么感觉突然不讲行业又开始上一些别的什么科学课物理小课堂了这个没办法就在船上就是要学这种知识就是简单的解释一下就是这个镍矿开采完的样子就是比较像沙子而且它的这个含水量很容易受印尼当地天气的影响那这样的货物就是放在船舱里边的它这个温度压力一变化
[00:19:29] 这个水分很容易吸出然后就形成一个液面然后这个液矿呢就比较像淤泥就是你这样来回摇摆的时候呢它这个货物也会来回的摇摆就是有一种半瓶水乱晃的感觉没错只不过这个晃荡啊在船上是非常致命的一件事情它可能导致的就是船上的配重失衡那极端的情况下呢就会出现倾覆按照我们采访的船长和船员的说法你没在海上待过你是不知道这个风和浪能有多大的所以说确实有这种危险在
[00:19:57] 那这个呢还是航行过程中的货物安全其实在码头上装卸货的时候船员的经验也非常重要就什么货先装什么货后装然后装多少这个节奏怎么样都是有专门的讲究都是安排好的因为你货的装卸过程啊因为这个重量上上下下嘛其实对船本身多少都是有一些损耗的长期来看会十分影响一艘船的寿命就同样一艘船如果是有经验的团队可以让它运行30年都保持整个的这个船体结构没有大的问题
[00:20:25] 但如果是不细致的团队呢可能你十年就要大休了所以船上的这个载货标准都是严格执行的像货车那种超载啊什么是绝对不可能出现的对因为这个跟钱也很挂钩嘛你因为租了一艘船的这个公司来说呢计划外的损坏或者说大休都是他们最不喜欢的事情因为这个时间段里面他既不能外出拉货还要花很多钱呢我的租金也是照付的
[00:20:48] 这些装货的规划工作其实都是由船上面团队负责完成对的这个其实跟工厂又非常像工厂也非常怕这种计划外的停车停工对吧这个跟船是一样的我们是不是可以顺势讲第二个部分就是人的部分可以虽然我这次只是蜻蜓点水的去参观了一下船但是我有一个非常直观的感受就是船上工作的每一个环节它都有非常细致的要求和规定我感觉光执行好这些细则就要倾尽全力了
[00:21:16] 我那次跟一位资深的船长去了一艘即将交付的新船那天这位船长他一个重要的工作是什么呢就是让船上的船员把超级厚的一打规章标识的那种塑封好的贴纸贴在船上的各个位置感觉就很像那种工厂里面到处都贴的什么安全生产须知对对对你像什么消防安全还有什么船上要敬酒这些都属于常规操作了他们还会有很多别的要求
[00:21:42] 比如说有反行会联盟的标志什么东西反行会就是你听到的反行会啊因为这个如果大家了解的话就知道就过去港口啊或者海关其实所会是非常常见的一种情况所以呢就有一批航运公司他们就组成了一个反行会联盟然后这个检察人员如果上了船之后呢这些加入这个联盟的船他们最多就会招待你一些水和小点心然后指示你这边有一个牌子对吧我们这个是反行会联盟的别的就没有了
[00:22:09] 我其实更想知道这个反行会联盟成立之前他们都是怎么招待的这我就不知道了那我们看到呢其实除了这个反行会以外他们连这个垃圾的处理规范都非常的详细因为对于很多港口来说其实船的污染是非常大的问题比如说你在新西兰的一些港口附近如果你被发现乱扔垃圾到水里面的话是真的会罚款的这个款还是蛮多的甚至严重的话会影响到你的航运资质
[00:22:35] 新西兰是为了保护什么珊瑚礁吗有可能就是我甚至看到就是这个船舶馆里面有一个规定动作就是要做定期的船底清洁清洁什么东西呢就是船底会滋生很多的海洋生物比如说有一种生物叫海栗子这种生物呢它就会影响这个海洋的环境还有一点呢就是它们会增加船的这个摩擦系数增加能耗所以呢就是其实船底的清洁包括保护海洋的环境都是非常重要的
[00:23:03] 所以说你前面说要有一个专门的船底清洁公司听上去还是蛮有必要的那说到这个呢其实船管有一块现在非常重要的工作方向就是帮助船舶适应新的碳排放的要求那船也要讲究节能减排这个不才正是本人本科毕业论文写的东西之一是啊对不愧是环境保护行业的而且我觉得可以说是重中之重了就是他们非常在意这个事情那这个呢就是我想举的第三个例子就是和船本身相关的
[00:23:29] 2024年有一个行业里面比较重要的新闻就是欧盟的碳排放交易的体系要在航运业里面推行了对很多船来说这都是一个很大的挑战就如果你碳排放不合规的话你公司就要花大量的成本去买这个碳的配额甚至要影响这个船的航行这也是为什么这两年新造的船你看他们都会特别讲究能源的效率
[00:23:49] 所以我看到就包括贝士在内很多的船舶管理公司都做了这个跟碳排放相关的一些服务不是他们会监测这个每艘船上面的这个碳排放的数据然后定期做报告还会提供那种所谓碳配额的交易处理的这个服务就是你可以实时的看到每艘船的能耗然后呢告诉你在哪些部分还能够更加节省还可以告诉船公司如何精确的计算确保你自己整个这个船队在碳排放上面是合规的
[00:24:15] 小老师分别举了三个例子第一个是跟货相关的第二个是与人相关的船上的管理第三个就是与船相关的节能减排不得不感慨管好一艘船这是一个庞大又细碎的工作没错 庞大而细碎我觉得是一个非常精准的形容而且我们讲的其实只是船舶管理当中很少的一部分环节现在就是一个顶级的船舶管理公司它其实可以做到一艘船从设计开始一直管理到它退役
[00:24:44] 就是所谓的全生命周期管理对的因为我们前面报那个船舶管理的菜名里面其实有一块叫做造船建造就是做这个事情的就是一个投资人我确定了要造一艘船然后他主要跑哪些航线我都知道了但这艘船应该是什么样的才能满足我这个需求呢它需要有多大然后配备哪些设备
[00:25:03] 有哪些技术的特点价格应该是多少找哪个船厂来造造的过程当中这个船厂是不是百分之百的按照我的要求来造了等等的这些问题其实都需要一个专业的机构来负责那这个呢就是造船兼造本质上船和车啊飞机啊还是挺不一样的就是它的飞镖的成分还比较大就类似于你造那种普通的房子和造别墅那种感觉没错这个也是船舶管理要负责的部分
[00:25:29] 那相信刚才举的例子里面大家已经能够很明确感受到船的确更像一个工厂它其实非常强调规章制度各司其职有很多精细化的管理的部分没错同时呢因为随着越来越多的人意识到船舶管理这个分工的重要性其实做这行的公司也越来越多啊竞争也越来越激烈了甚至呢这个行业里面也开始出现价格战了尤其是很多新进入这个行业的一些船东啊
[00:25:55] 他如果急于想要获得投资回报的话可能就倾向于在船舶管理这个部分压一压预算其实是比较典型的短视行为就好比有一个长租公寓他想要省钱他通过降低物业开支的方法来省钱长此以往整个公寓和社区品质就会下降其实会反而降低自己的收入关于这点我最后再举一个例子就是船舶管理公司他对于每艘船的考核指标是什么样的
[00:26:20] 这考核指标非常多啊那其中有一项就是叫做预算执行就是船舶管理公司它的收费其实非常透明就一个月我要问你这个船公司收多少的费用花在哪里要做非常详细的预算这预算管理这个考核就非常有意思了它考核的是你有没有精准的执行这个预算就如果偏离了太多不论是往上偏离还是往下偏离都是不对的都是说明这个服务不够专业不够到位
[00:26:46] 事实上花销比预算少也并不会让传播管理公司的预算增多反而会容易让业内误解传播管理的性质因为传播管理的利润它并不是来自吃预算的差额的它是来自于和你公司协商好的管理费用等于说你传播管理公司乱花钱也不行但是你过度省钱也不行对的就是一定要卡得刚刚好
[00:27:11] 那对于船舶管理来说过度的压缩这个预算的控制某种程度上其实也意味着你关注短期的省钱但有可能累积长期的风险其实不论是船舶管理还是整个航运业那些行业里面长期的公司并不会每次风浪它都站得立朝头但它能确保自己在风浪之下存活下来商业就是这样
