Vol.206 合资车企这40年
[00:03:09] 具体的故事呢大家可以去听那期节目这里呢我们就简单的拎两个重点第一上海大众和桑塔纳的成功其实是走通了跨国车企在中国市场的一个基本发展模式就是合资第二通过桑塔纳的零部件国产化中国也初步建立了达到全球标准的一个汽车产业链这也让中国的各地政府意识到了汽车作为支柱产业的强大带动能力当然这个过程当中有非常多的磨合适应还有很多冲突
[00:03:38] 当然也包括许多关键个人的努力并不是一个理所当然的过程这个阶段可以说还是一个初创期不管是建立商业模式还是上下游产业的培育都还是从零到一的这个阶段没错那从市场层面来看呢这个阶段主要是建立了一个消费者对于汽车品牌的认知的序列吧这个阶段进入中国市场建立和资车企的一些品牌就比较早的一些品牌像大众奥迪丰田别克等等
[00:04:05] 大多数时间都是在
[00:04:33] 这种出口的方式会使得国内已有的车厂遭遇冲击
[00:04:59] 在这种压力之下其实中方在谈判的时候也是努力在车的这个问题上面争取更多的利益让关税不要一下子降太多然后给国内的这些车厂更多的缓冲的空间但是等入市之后的四五年里大家发现这些跨国车企的确都进入中国了但他们采取的主流方式还是和之前一样在本地合资建厂而非进口
[00:05:20] 这个原因很简单就是他们发现中国的市场增长非常的快规模潜力非常的大在本地建厂生产更有利于赢得中国市场而且相比于进口的话它成本也更低所以入市和跨国车企入华的这个逻辑关系更像是先有入市带动了中国的经济腾飞然后再带动中国的家庭开始买汽车然后才会吸引这些跨国车企进入对不是一个非常简单的就是关税下降了然后他们就涌入这样一个关系不是一个倾销的逻辑是的
[00:05:49] 这边有个背景就是中国的家庭用车的市场基本上就是在21世纪开始正式起步的在此之前你虽然像大众啊奥迪等等已经在华油很不错的销量了但当时轿车还是离普通的家庭绝大多数的普通家庭吧比较远他们这些产品主要的用途还是在商务和公务但随着大量的合资车企在这个阶段进入中国呢主要带来两个结果第一就是市场规模
[00:06:16] 21世纪的前9年中国的新车年销量是翻了两方海多的就是乘以4倍更多实际上是乘以大概有6倍吧从世界第七一下子就跃升到了世界第一第二就是产业端随着跨国车企的涌入也带动了很多跨国的汽车零部件的巨头也进入了中国中国的汽车产业链是在这个阶段迅速成熟的
[00:06:38] 与此同时中国的本土汽车的研发人才也开始大量的培育一些领先的合资车企他们这个合资公司本身开始具有了完整的汽车研发能力这个当中的佼佼者包括像上汽通用上汽大众和东风日产他们的共同点都是合资的这个车厂主导推出过一些畅销的车型比如说像上汽大众的朗逸东风日产的合资自主品牌启程
[00:07:04] 还有上汽通用那就不用说了它有一个泛亚技术中心这是一个在中国实力非常强的一个汽车设计研发中心听起来这里的关键词是主导因为绝大多数合资车企的产品主要还是根据比如说外方母公司它自己的产品规划来的尤其是有的品牌在中国可能还有一个以上的合资车企一南一北之类的对那产品分配权利主要还是掌握在外方手里的合资公司主要还是做一些本地化的适配和应用开发
[00:07:30] 像你说的从头开始主导一个新车型的研发这其实还不是很常见的没错但是随着中国市场的扩大并且形成了一些自有特色的一些市场需求之后呢合资车企对于产品的理解往往比他们的这个外方总部要更加敏锐像我们上面举的这些例子呢有很多都是起初啊外方的这个总部对于中国的这个合资车厂自己开发的这个新车型并不是很感冒或者觉得这个技术是有可能是上一代的或者这个车型平台并不是我们最先进的
[00:07:59] 结果那个产品意外的爆火他们才开始正视这些在中国的研发力量把它纳入它全球的一个研发体系里面其实这种外方对于中国消费者需求把握的错位也为如今的市场局面是买下了伏笔是的此外还有一个重要的趋势就是本土的汽车品牌也就是我们常说的自主品牌在这个阶段开始兴起了
[00:08:20] 他们一般成立都是在入世之前比较多的像吉利是97年齐瑞是97年比亚迪是2003年但他们起量其实是在21世纪之后了
[00:08:30] 他们的心情和跨国车企入华我们不能说有直接的关系但可以说有很深刻的渊源和影响一方面跨国车企撑起了这个市场能让一些民营企业家意识到汽车市场的创业的潜力是很大的可以来做这个事情第二就是合资车企已经有了足够的人才和产业储备来支持民营企业起步就是我能够去挖人能够建立一个团队建立我需要的供应链能把这个车造出来
[00:08:57] 第三呢就是合资的这些品牌的汽车相对比较高的这个价格其实给了民营企业一些起步的空间这些方面其实日本和韩国的汽车产业都打了一个比较好的样了就是通过这样来发展起来的打一个未必贴切的比方就有点像是星巴克和后来的瑞幸和曼娜那种关系感觉这个比方说不定意外的贴切呢那从2001年开始的十多年里边呢
[00:09:22] 虽然中国车市也遭遇过一些波折比如说2003年的SARS2008年的金融危机但是总体是保持了高速的增长并且在2009年的这个刺激政策之下一跃就成为了全球最大的新车市场直到现在都是站稳了这个位置与此同时呢本土的品牌虽然在技术市场和品牌力上面都处于追赶的这样一个阶段但也已经在销量上面是站稳脚跟了达到一个规模效应的一个基准线了而且他们也开始积蓄自己的力量
[00:09:50] 这种市场格局在第三个阶段终于发生了重大的变化
[00:09:57] 那接下来讨论第三阶段也就是从2018年开始发生的事呢其实算是一个现在进行史了大家也比较熟悉了这边说明一下的是之所以以特斯拉在华建厂为一个节点主要是因为它的一个象征意义首先呢它象征着新能源车在中国的真正普及这里的真正指的是新能源车的需求从完全的政策推动就是补贴啊这些推动开始转向了消费者的自发的需求
[00:10:24] 而电气化的转型其实也是合资和本土车厂攻守转化的一个最根本的原因这个逻辑其实我们讲过很多次了主要就是指传统的燃油车的动力总成的技术门槛被消解了就是发动机和变速箱的门槛被消解了这个门槛过去是决定了合资也就是那些跨国品牌和本土品牌之间的形象的格差产品力的格差等等的就是以这个门槛为界的
[00:10:49] 其次呢特斯拉的这个在华建厂它象征着50比50的这个合资模式被打破了特斯拉呢是一个在华独资建厂的汽车品牌在此之前是不允许的你必须要跟中国的本土方来合资的
[00:11:04] 此外在同一年2018年还有另外一家合资公司就是华晨宝马股东的双方也达成了一个股权转让的这样一个协议这也意味着中国的汽车政策变得更加开放了也就是我不一定要靠合资的股比的限制来保护本土的这些公司了相对来说就是更加不怕全球竞争了
[00:11:23] 第三点就是在特斯拉的带动之下一群本土的创业公司就是我们所谓的新势力还有一些传统的汽车公司里面的一些创业的团队开始做一些新的新能源的品牌他们把一些创业公司式的这些工作方式都带入到了汽车业使得这个车型的改款包括更新的速度是大大的加快了这个速度的变化也催化了双方的此消彼长
[00:11:47] 我们一直在讨论所谓的合资车企这几年没落感觉变成了节目的一个惯用的前提但是这个前提到底是什么样一个程度呢你是不是可以再给我们一个直观的概念补充一下应该在开头的时候先讲一下插播一下确实需要给大家一个描述我们同事其实梳理过一个表格就是各个跨国车企的这个品牌
[00:12:09] 他们在中国市场的巅峰年的销量和2024年的销量之间的比或者差距看看有多少大需要说明的是我们这里的统计口径是以品牌计的比如说一个跨国品牌在中国的汽车销量会包括它所有的合资车厂的销量再加上一小部分进口车的销量加在一起的
[00:12:30] 举个例子比如说大众的那就是应该是包括一期大众上期大众和大众的进口车加在一起对比如像丰田的话那就是一期丰田广期丰田然后再加上丰田的进口车这样来算我们是以这个品牌来统一剂量的另外呢还有就是销售口信肯定会根据不同的平台会有一些误差的所以大家不用在意具体的数字主要就是看这样一个
[00:12:51] 巅峰年和二四年这个差值的这个趋势就可以了感觉在callback我们第193期销量和销量的区别那一期对里面专门讲了汽车销量这个统计问题anyway我们说结论啊这样算下来的话除了丰田它的二四年的销量只比巅峰年的二一年低了7.6%以外7.6%啊其他的品牌的萎缩的幅度都超过30%确实是没落了大众二四年的销量相比它的巅峰年是跌了30.8%
[00:13:18] 也就它跟三十比较接近啊其他的比如像本田和日产是巅峰期的一半通用和福特是不到巅峰期的三成标志雪铁龙还有现代奇亚都不足两成实际上后面讲的这几个品牌他们有很多的工厂都已经出售或者转让了在中国已经是一个我们说半隐退的一个状态了那么接下来问题就是到底发生了什么让这些合资车企很快就失去了过去的领先优势呢那这个话题如果完整的展开讲的话篇幅就会非常的长
[00:13:46] 因为就像所有重大的行业变动一样它是有许多因素来促成的那两个大的背景一个是技术我们前面已经讲过了就是电动化抹平了这个技术的护城河第二个呢就是从21世纪初开始起步的那些自主品牌吧他们经过几代车型的发展确实也在持续的进步所以是产品上面和合资车的这个差距本来就在缩小这两个大的背景背后肯定是有非常多精彩的故事就每个企业可能都能单独做一期节目我们今天就不展开讲了
[00:14:13] 我们试着探讨一个比较聚焦的问题就是合资车企的反射弧为什么这么长你想一下我们刚刚讲的这个第三阶段是从2018年开始的那一年特斯拉的Model 3就正式的进入中国了可以说2019年年初开始国产的开始正式的卖了然后到了2021年比亚迪就开始起势了这个销量开始迅速的增长到了2022年就已经是马上就要夺取全国第一的这种趋势了
[00:14:38] 但是到了2025年的当下就是三四年过去了我们以21年级的话是三四年过去了如果以19年级的话就是五六年过去了这样就是我们所谓的一代车型的这样一个时间已经过去了但我们看到的是合资车企拿出的一些新车的产品尤其是新能源车的产品他们在配置核心的指标还有价格上面仍然竞争力不足换句话就是说在大概上一代车型的时候就已经是明眼人都看得出来合资车企这个新能源车产品已经是跟不上市场的节奏了
[00:15:06] 那怎么过了一代车型世界还没有反应过来呢对主要就是这个问题那我们提这个问题呢其实主要是想指向合资车企的一个结构性的一个问题就是它的决策链条太长了可能是外企的通病或者说是太远了那个决策的核心因为汽车公司的决策核心就是产品嘛但就像我们刚才前面提到的合资车企的产品规划归根结底是由外方总部这边确定的即便是那些中方的合资车企研发能力很强的一些公司大体上还是由外方那边决定的
[00:15:35] 或者你换个角度来看吧对于一个跨国的汽车巨头来看中国的合资车企只是它全球布局或者产品规划当中的一个部分这个就导致在中国汽车市场这个战场一线的那些合资车企的人他们即便意识到了一些问题比如我们的产品有点跟不上套了我们要赶快地改一些很基础的问题但是推进起来会比较难
[00:15:57] 我们举一个简单的例子可以帮助大家理解就是中控屏幕
[00:16:25] 而且从我们一个比如说外行人的视角来看你不就是屏幕和一个系统吗是不是理论上是一个车上面相对比较好改的部分你和什么这个发动机啊什么电池这种相比这个肯定是相对比较好改进的嘛那为什么过了几次的改款之后这个车体上这个中控屏的体验仍然像上一代手机呢有很多品牌是这样的啊
[00:16:43] 那我们在采访当中呢就发现有一个说法就是比如说有一个合资车企的本土研发中心的一个工程师就跟我们讲早在三年前他们就收到了明确的产品端的这个调研的反馈就是建议啊公司把原来的那种内嵌式的不是规则的居行的那个屏幕啊就是那个带鱼屏一种带鱼屏的那种样子改换成新势力上面主流的那个方形的屏幕而且是横向方形屏幕
[00:17:06] 但是外方总部的研发中心不同意因为原本的内嵌的带鱼瓶设计它是全球的共通的必须大家都要用的那就需要全球的各个市场来分摊研发的成本就这个项目这个产品这个部件的研发这个项目是全球这边来的而不是国内这边来的所以它也需要各个市场的工厂来分摊研发的费用中国作为他们的第一大市场更加不能随便的更改你这边都不用了那我这个全球的方案我用给谁去呢你也不可能自己就把这个东西吃紧对吧
[00:17:35] 这个问题感觉各类跨国公司中中都长期的存在是只不过就是汽车这个产品的研发周期更长然后它对于规模相应的要求更高所以跨国车企它实际上是习惯了全球一个产品规划然后各地做一些本地调整这样一个模式那这种模式呢过去因为很奏效你产品力量确实有领先的优势嘛他们就变成了很久就没有遇到新的挑战者就习惯了
[00:18:00] 所以一旦出现了问题之后他们的反应会特别的慢就是你跟一些比如说快销或者比如说化妆品相比你这个反应的速度会更慢另外还有一个方面就是所谓的大公司病的这个问题
[00:18:11] 除了我们常见的比如说各个部门之间的撤走啊等等以外的还体现在传统的车企啊汽车的公司他们太习惯于外包一切了就是靠供应商来帮忙解决问题不论是我们刚刚讲的屏幕也好电池座椅甚至是操作系统甚至是市场营销的方案等等的他们都习惯于先让供应商来提供方案这就使得他们即便这个车厂自己有了明确的改革思路但最后落到产品上面还是比本土的公司慢因为他们不是亲自动手的
[00:18:38] 这里边并不是说供应商的模式本身不对因为你车不可能车厂包揽一切的到现在也不可能做得到而是说太长时间的就是你作为甲方朝南做然后让供应商来接受你的安排会使得他们习惯于选择方案而不是提出解决方案那就使得这些车企的决策者是缺乏对于市场一线的一个感知能力的虽然我们一直说汽车研发不能说越快越好安全可靠产品必须要足够时间的研发和验证
[00:19:04] 但是也不能否认传统的汽车研发当中确实还是有很多磨牙工或者说拖时间的部分有很多其实是长期以来形成了一种摩擦力或者说一种拖延的习惯当本土公司把这些水分挤掉以后反应的速度就会明显的体现出来差别对我再举一个简单的例子就是现在大家都会说新能源车上要用一些新的汽车电子的架构对于一个创业公司来说它从零开始采用这样一个新的架构
[00:19:32] 它这个启动的阻碍就会比较少很容易就是在全公司能够推动但是你在一个传统的燃油车的公司里面你要采用这个全新的电子架构你就等于要去抢很多其他部门的同事的饭碗让他们没有工作可以做所以这个推动起来就会非常的困难刚刚讲的这个决策链条比较长的这些大公司的问题呢在过去几年中国合资车企的这个情况上面还叠加了一个额外的因素这个呢倒是我们之前没有意识到但在采访当中是反复提及的就是疫情
[00:20:01] 原因很简单就是合资车企的外方母公司的高管们在过去几年不那么方便的亲身到中国了这个人来不来到底有这么重要的差别吗意外的还挺重要的你像往常啊一年一度的就是我们最近讲的北京上海的车展合资车企都会为外方的一些最高级别的高管安排非常紧密的行程对发布新车也好见同事见政府见合作伙伴考察同行媒体采访等等等等的
[00:20:29] 就你别看现在网络信息发达对吧你什么样的中国车市的信息你在德国或者美国收不到呢但实地你亲身坐在这个车里面开一开仍然是这些跨国车企的高管熟悉竞争对手的最直接的方式他们不太信任别的方式我只有自己坐到这个车里面了才更加的发现哦原来变化那么大而在2020年到2022年这三年里面这个通路基本上就是断掉了
[00:20:54] 这就导致虽然在那两年你像我们前面提到的比亚迪它的销量数字已经在迅速崛起了谁都应该看得到现在危机很大了但是并没有引起跨国车企足够的重视或者说足够快的一个反应
[00:21:07] 而且还有一个情况就是其实疫情期间很多跨国车企它自己的业绩不错日子过得蛮好的全球范围当中因为就是有两年这个疫情的原因所以产能不是受限了吗然后还有就是供应的这个所谓的供不应求导致各个跨国车企的整体的利润反而是提升了不少了那在中国市场你像日系车还是在20年21年创造了自己的一个销量记录的因为21年还有一个小的阳春所以到了2023年
[00:21:33] 普遍出现销量明显下滑的时候他们可能会有一定的侥幸心理就是这年是偶然下滑别慌这是技术性调整是吧但是一旦当他们恢复与中国市场的这个亲身的交流体验之后他们就会发现这几年迅速冒出的一些中国新能源车的产品确实会刷新他们的认知一个典型的例子就是福特汽车的CEOJim Farley如果你读过底特律往事的话应该对这位高管不太陌生他可以说是美国汽车市场最聪明也最有能力的汽车高管之一了
[00:22:02] 他在疫情之后首次访问中国之后呢就迅速买了好几辆中国的新势力的新能源车像理想啊小米啊带回去给美国的高感去开他还在播客上面说自己天天是开小米457的然后觉得开的是最好的然后他就说了一句很著名的话他说我们不能再骗自己相信一切还是原来的样子我觉得雷总应该会很开心啊听到这个话
[00:22:23] 当然疫情这个点呢更多还是一个放大的效应它其实放大了我们前面说的合资车企的决策机制问题尤其是把这个人的部分又明显的凸显出来这就显得原本已经比较长那个反射弧就变得更长了同意
[00:22:40] 前面我们大致梳理了过去40年里面合资车企在中国市场的几个重要阶段包括1984年开始的初创期2001年入市之后的爆发期还有2018年之后的衰退期尤其是过去四五年对于合资车企来说可能是第一次遇到这种逆风的局面但即便像我们前面说的他们反应非常的迟缓反射弧再长到了2024年也该醒了呀
[00:23:04] 大多数的合资车企确实也已经开始意识到我们得要做一些重大的调整来重新适应中国市场了所以接下来呢我们就梳理一下这两年或者是从今年开始吧合资车企应对中国市场新局面的一些主要的策略
[00:23:19] 我们大致的分了三个类型第一个就是短期的防守型的策略包括削减产能然后随之而来的裁员收缩经销商的网络然后产品降价等等的感觉不是一个车企常用的一个思路而是整个消费品品牌或者说整个消费品行业面对销量下滑时候的条件反射的一个模式他们都是直接对于财务的下滑的就是我亏了我想办法要止损是这样一个概念
[00:23:46] 但这些动作呢其实也不是说24年才开始有很多就在前几年已经开始了具体我们就不展开了但值得提的一点就是这个过程是由外而内逐步传导的最早可能是一些经销商的销售要裁点人然后经销商要收缩然后是供应商然后是车厂的产线上的工人最后一步步到比如说工程师啊职能部分直到了高管感知到的时候其实这个局面已经非常严峻了
[00:24:10] 前面说的其实合资车企遇到问题前几年就有了但是它还是给自己建了太多的缓冲地的尤其是对于高管来说那这种危机感其实也是部分的被外包出去的第二种这个反应的策略呢就是适应性的一些动作主要就是指和中国本土车企的深度合作其中的代表呢就是一些反向合资
[00:24:31] 过去的合资模式是外方出技术出产品然后中方再出资源如今的这个反向合资呢指的就是中方出技术出产品最典型的代表呢就是拥有标志雪铁龙菲亚特克莱瑟等等品牌那个斯坦兰蒂斯集团它和林跑汽车组成的那个合资公司
[00:24:49] 那这个反向合资的背后呢其实就是跨国的这些车企认为他们自己当下在电动车上的竞争力就是不足了那么要追赶上的一个捷径呢就是和中国的一些车厂来合作另外一边本土的车企尤其是新势力品牌呢因为刚起步所以说资金经常是紧张的而且基本上都是处于亏损状态对
[00:25:08] 而跨国车企是瘦死骆驼比马大它至少还有一点钱现金总是有的对所以说接受他们的战略投资对于中国车企来说也变得很有吸引力也就是一拍即合了所以本质上我们认为反向的合资是一个产业格局的变动期当中老玩家和新玩家的一个互补的一个模式是各自拼上自己需要的拼图这样的概念而且这里边还有一个关键的点就是规模效应这些新势力或者是创业公司的产品还有他们的车型平台
[00:25:37] 应用到了跨国巨头的产品当中之后呢就能够使得它原来这个产品迅速的扩大产销的规模谈薄供应链的成本这点非常重要谈薄了这个成本之后呢反过来又能提升自己的运营效率和价格的竞争力
[00:25:50] 接下来第三类的应对的策略就是推出自己品牌的新能源的车型直接的和本土品牌竞争就是一个硬钢的策略这个也是我们在这一次车展上面看到的比较鲜明的一个趋势就是有一些合资品牌他们会迅速的引进一些中国的供应商尤其是和电动和智能方面相关的意图就是补上此前自己最大的一个短板然后还是以自己的品牌来试图夺回市场份额这里面比较突出
[00:26:17] 主要是一些豪华车品牌像我们上期商业小样里面讲的新Audi品牌包括奔驰宝马都有比较重磅的主流细分市场的一个电动车的产品了还有像别克他拿出一整套应对电动和智能化的产品和技术规划而且他还推出一个专供新能源车的子品牌叫智晋价格定位就是豪华车级别这个价格相对高端这些品牌他们为什么比较更愿意正面硬钢呢
[00:26:43] 我感觉也是基于一个判断就是自己长期积累的这个品牌力仍然存在我只要产品本身跟上的话即便是拿不回自己原本的全部的市场份额但是仍然能够在这个市场是保持竞争力和存在感的品牌有时候还是值得相信一下的实际上我们现在仍然能看到有几个细分市场仍然是合资品牌占主流的包括B级轿车和中高端的MPV等等是的
[00:27:07] 在不同地区呢新能源的渗透率其实差别也比较大品牌的认知呢当然差别就会更大其实远远还没有到所谓赢家通吃的地步是的除了上述三种应对以外呢其实合资车企还有第四种应对的策略就是退出或者收缩它跟第一种有什么差别吗其实这几个策略之间它们都不是说一个车厂只采用一种它们会互相的结合的组合权对像我们刚才提到的反向合资代表斯兰迪斯
[00:27:34] 它除了反向合资以外它另一边就是旗下的自由品牌大多数在中国已经非常边缘化了还有包括像韩西的现代旗他们就会退出了
[00:27:42] 回过头来看的话虽然我们以2018年为借来划分第三阶段但其实刚才讲到的像韩系和法系在2017年之前他们的销量已经到达巅峰开始下滑了像标志雪铁龙他们的销量巅峰是在2015年出现的也没有人听说在开标志雪铁龙很少的与此类似的还有比如像通用级家的雪佛兰大众级家的斯科达其实都是本身这个销量还有品牌价比较弱的比较弱势的这些品牌他们在2015年和16年那个阶段
[00:28:10] 就已经被冲过一轮了对那个时候大家我不知道还记不记得就是那两年本土的自主品牌的SUV实际上是有一波销量的暴增的然后这些本土的价格比较低廉这个SUV实际上强调了很多所谓二线合资品牌的小车或者说是紧凑车的这样一些市场份额因为他们价格是比较接近的等于说不同的合资品牌面对这一轮冲击应对策略呢还是跟它原本在这个市场里面的位置是有关系的
[00:28:35] 如果你实力够强基础还比较雄厚的他一般来说会思考我要去反击如果你本来就已经比较边缘的那就索性躺平算了话糙理不糙而且另外一个方向来考虑就是如果你本来比较强的话那这个市场对你更重要那你就更想要把它能够留住如果你本来就比较弱的我就有点放弃拉倒对这样一个概念当然还是要提醒一点就是说也别觉得采用第四种策略的这些车厂就是所谓彻底的失败
[00:29:01] 因为又可以回到那个所谓的你光看中国市场不够它还是一个全球品牌你还是应该看全球市场典型的案例就是现代奇亚它在中国市场可以说是节节摆退这几年但凭借在美国和欧洲市场的性价比的优势在那边他们有点像比亚迪那种感觉他们其实现在是全球销量排名前五的一个汽车大集团这个道理其实就像余老师刚刚讲的全球一年是卖9000万辆新车的
[00:29:26] 中国市场虽然是第一它有大概2700多万辆那你刨去这三成以外还有七成其实你是可以争夺的那足够容纳一些大型的汽车公司讨论合资车企的时候其实很容易陷入一种民族产业的叙事早期这种叙事代表是所谓的市场换技术也就是我们说搞合资是为了开放这个庞大市场来换取核心技术发展汽车这个支柱产业所以当合资车企的中方也就是国产汽车迟迟还没有开拓出自己的自主品牌的时候就会引来批评
[00:29:56] 到现在市场格局完全是逆转了叙事已经变成了中国新能源车产业遥遥领先有的极端说法已经会认为说合资车企已经没有生存空间了是一个落后的事物了这种民族和产业的叙事其实本身不无道理包括我们这期节目其实本质上也是产业视角的但我们想说的是市场并不只是一个满足产业发展的肥料市场需求本身就是目的因为所谓的市场
[00:30:24] 说穿了它的背后是一个个普通的消费者他们想要拥有和使用品质良好的汽车的这样一个需求
[00:30:32] 要知道这种需求在合资车企诞生之前
[00:31:01] 中国已经成为了一个充分竞争的汽车市场消费者得以享受更好的产品这并非是理所当然或者是生来就有的权利而合资车企在这个变化当中还是发挥过最大的作用商业就是这样
