Vol.261 硬币经济学
[00:15:05] 但是呢又由于当时市场上流通的一美分硬币并不是很多然后这个报纸的创始人就是说服了芝加哥本地的商户就说你们把这个商品的价格给我留一个一美分缺口就是几点九九美元这样子那么我报纸就可以直接作为找零一起交给消费者然后你就可以就是团购我的报纸对反正是一个很经典的捆绑销售的策略一种葱OKOK还是很会做生意都是很巧妙的策略这些小故事
[00:15:34] 不过我想起来就是我们之前在含税价那期里面其实也讲到了就是这个商品的标价都是税前价对吧然后各州自己的消费税算上之后结账这个价格还是不一样的这样一样的话其实不一定是找单纯的一美分是的其实加上不同比例的消费税以后实际上消费者最终收到找零的尾数不会特别集中于一美分但是我们再看一下美国的分币的设计体系就是它的面值只有一五十
[00:16:03] 25和50这几个面值它没有什么2作为一个中间的加法调解所以1还是很会经常要找到对大概率还是要有很多1美分而如果你下次买东西的时候又没有什么凑零钱的技能或者你干脆就懒得凑的话你就会收获更多的1美分我理解你刚刚讲的这一些比如说被动的能收到1美分的硬币等等的其实你在想讲的它为什么会市场上社会上
[00:16:31] 保有的这个量这么大就是因为它其实流通的不是非常的活跃或者说是流通的不是非常的就是我觉得如果在中国的话这可能不会成为一个特别大的问题因为我们中国人都会很会这个凑算零钱算零钱对只是欧美人民在这个方面确实
[00:16:45] 不是很擅长所以就是如果你流通的很多的话其实有可能就不会要住那么多确实就讲到这个其实讲到中国内地和中国香港的话其实都有过专门的硬币循环的设备或者至少有这个概念内地的话根据报道主要是有些银行里面会设专门的这种硬币循环机就是你把一袋硬币都扔进去然后他就是直接把钞票吐给你然后这个硬币就可以用来银行自己用来给商户用
[00:17:14] 香港其实这个机器我甚至看到过就是两台专门的硬币循环车就是它会提前把日程发出来就是我每天在香港哪个地方收大家的零钱就你带一兜子零钱去就可以然后它去掉一点手续费以后给你换成纸币然后或者说直接帮你充到巴达通卡里面
[00:17:31] 那这个思路挺好呀美国有没有这样的功能有呀就是有一个叫做Coinstar的公司专门做这种硬币回收业务它甚至不止在美国就其他很多国家也有啊就是在超市或者大的地方有一些专门的硬币处理机你把硬币倒进去然后它会返充那种什么现金券或者说购物卡给你它又不是给钱对不太可能给你钱啊这个公司据说一年要处理400多亿枚硬币
[00:18:00] 处理量很大但因为有这么大处理量所以他要收你10%左右的手续费我发现他们这种类型的服务他们的手续费的比例就是会比我们这边惯常理解的要高蛮多的对中国的话可能还是因为硬币作为法定货币这个部分的意义还是存在所以银行很多时候其实是花了很多时间精力来帮你做无偿的处理但在美国的话他就这个意识上面可能跟中国的想法不是太一样
[00:18:29] 总之呢就是有这样的服务但是呢其实很有利于那种硬币总量非常大面值也很大的朋友你交点手续费可能不是很心疼如果你只有什么几十个亿美分硬币你可能去一趟你手续费都不是很够付对啊另外还可以讲一点就是为什么每年还在生产这么多亿美分硬币呢就背后还是有一些所谓利益群体参与这次新闻里面经常会提到美国有一个组织是多年来专门游说国会保住
[00:18:58] 一美分硬币目的很明确首先取消一美分硬币说明是之前已经久有讨论了其次一直有一个要保护它的力量在游说这两件事情都挺神奇的所以是谁游说组织背后的主要金主就是一美分的原材料厂也就是金属鑫的一个供应商品牌首先一美分硬币是鑫
[00:19:24] 目前是行待会我们会讲到反正他们是说留住这个东西对我还是留住了一个客户根据福布斯报道从2006年到2014年第一季度单单供应商就累计给游说群体赞助了大约150万美元虽然8年150万听上去不是很多但也是
[00:19:47] 也是一个部分对吧毕竟它的目标也很明确对也是个业务对而且这个游说群体的说法本身还是有点吸引力的这它有个说头是吧它肯定有说头就是他们说一旦我把这个一美分硬币取消了那商家结账就会把零头往上凑凑到五对吧等于是在变相涨价这不就是损害消费者利益
[00:20:07] 当然就是这个说法在取消真正取消之前它肯定就是一个假设性的是没有特别的这个证据佐证更何况我们现在看到就是改变这个美国零售价格的主要优因跟这个英美分没有什么关系主要就是高通胀对啊高成本就是这个东西大家就直接把这个价格就改了根本就跟你这个分币的影响力其实是没有什么关系的
[00:20:31] 除了游说群体以外还有一些小的诱因导致一美分拖了很久才真的被取消比如说一美分虽然经常找不到太合适的零售使用场景但是在一些慈善活动比如说小朋友为主的这种活动里面其实出现频率还是很高的这点我们其实在全世界都能找到类似的案例就很多零钱大家带着觉得累赘但是如果你正好看见一个捐款箱好就都放进去
[00:20:56] 不过你刚刚说小朋友的慈善我最近刚有个经历就是在小区里边跟小朋友他们在自己做那些小的交易他们现在已经可以用手表来收钱了所以在中国给小朋友的场景都不是很多还是移动支付是吗对不过你讲到一个类似的一个案例如果是慈善的话其实比如说我们在中国在寺庙里边大家拜拜的时候我觉得那个里面硬币的出现频率是很高的是吧
[00:21:19] 是的就是可以看到有报道里面专门写了就是在这个硬币循环处理的这个过程当中硬币的一个重要的供给方就是寺庙对我觉得很合理很合理没有哪个中国大庙没有一个就是装满这个硬币和乌龟的池子那我们说回美国吧对关于一美分还有一个最后的一个影响因素就是它的图案设计我们节目开头说1793年就一美分了但是
[00:21:46] 最经典的这个一美分设计是1909年为了纪念林肯诞辰100周年做的一个设计是林肯的正面像这个有一个小的纪念意义就是让林肯接替的自由女神成为了第一个登上美国硬币的正式人物就跟我们说100美元是毛利也是一个概念有一点就是额外的记忆点反正都是一些我觉得还是比较上得了台面的游说的理由
[00:22:10] 但你讲了那么多就是要保住一美分的这个台面上的包括实际的这个需求的理由之后它还是被取消了对吧而且是常年来都有这个取消的这样一个动力在所以到底为什么要取消的这个其实跟所有商品的这个调整逻辑是类似的就是因为成本
[00:22:28] OK那我们终于要进入这个正题的部分了我们来把这个货币当做一个实际的商品或者产品来看一看它为什么现在会被取消掉这个其实在我们之前讲那个劣币驱逐良币那期略有提及没有听过也没有关系就是我们其实可以从这个核心的助币税这个概念讲起助币税其实不是完全是一个税它其实指的就是你这个货币面值和它实际生产成本之间这个价差尤其在各国的货币都跟经营脱钩变成所谓的信用货币以后
[00:22:57] 那对于印钞厂和铸币厂而言货币的面值是恒定的
[00:23:01] 但它成本是可以调滚的对吧中间的利润空间就可以很大铸币厂赚的钱就是所谓的铸币税是的说个题外话就是牛顿就是英国皇家铸币局的局长你就是提到铸币就谈到牛顿谈到牛顿就会谈到股价我相信我们编较聊之前聊过一期牛顿诞辰380周年的特别节目主要就是聊这个对就是上下两集上一集还聊的是科学下一集聊的就是牛顿冒号股价
[00:23:31] 涨到1200我就抛反正这个故事告诉我们你能做好好的货币政策和你能做好的投资决策是两回事对牛顿是一个非常好的助币局的局长但是他在
[00:23:41] 股票上面亏了很多钱那是一个很好的散户我们还是说回美国你前面说到了这个铸币税这个就是等于铸币厂的利润空间这个点但其实我觉得在这个里面印钞厂和铸币厂还是有比较大的区别的这个我觉得还是要分得开一点对吧因为货币跟经营脱钩了那么对于印钞厂而言肯定是印纸币的这个钞票更加赚钱那纸嘛就是纸的这个成本还是比较低你再加点那个防伪技术再怎么加吧
[00:24:09] 它那个硬件的这个成本就那些但是铸币的这个厂这个金属它还是有实打实的这个价格的一般来说还有的时候还挺高的对所以说在硬币铸造方面呢其实你去看那个铸币局的报告就是大面值的硬币铸造是比较赚钱的他们这个都还是要公开的是吗公开的很细就比如说25美分50美分和1美元的硬币他们
[00:24:31] 注一枚是赚一枚的就是它这个注币的成本本身低于它的面值是的但是它如果注一枚份和五枚份的时候就是亏的那具体到一枚份硬币这根据美国注币局的2024财经数据每一枚的流通前成本就包括铸造和流通的成本就是它真的投放市场之前的成本合计起来是3.96枚份
[00:24:53] 而且在这个之前就是这个一美分就是一直亏亏了已经亏了18年了就是大面值硬币就是个高溢价的来赚钱对吧然后小面值的就连驾车来赔钱来扩大这个需求确实所以他们肯定很有动力把这个取消掉对这里我们可以具体再看一下一美分这个硬币在历史上的这个金属成分演变就是根据1792年美国第一部铸币法案的规定是一美分硬币里面需要包括17克
[00:25:22] 这么重啊好重的硬币还是铜呢按照现在铜这个价格肯定是不可能了是的就是现在铜肯定是已经非常贵了而且这个铜的涨价其实一直是缓慢的上涨的对其实到了大概18世纪末19世纪初一美分硬币所含铜的价值就已经有两三美分了这个就是我们那个劣币居住良币的节目里面讲到的这个
[00:25:46] 像这种肯定属于良币对吧实打实的很扎实可以叫优币啊对就是有点过于优良了是的所以说很多人会因为这个硬币里面含铜量的成分过高对啊我就不花这个钱了对甚至说刻意去收藏这种老的一枚份就是因为我们都知道就是每一板硬币的话它还是有一个所谓的流通期限的就是过一段时间还是要因为防伪这些技术啊或者说一些磨损之类需求它会把旧的那个版本停发然后去发新的版本嘛对那一旦官方宣布
[00:26:16] 老的版本就退出流通的话你就可以直接把这些硬币全融了提存金属金属都是赚钱的是的其实中美两国都是禁止损毁流通货币的不能破坏人民币对对对但是非流通货币这个问题其实就相对来说比较难见惯你都说它不是货币了现在不能流通了那我想怎么样弄它你还管得着吗对啊而且这个其实很多是私下行为反正就是会导致一个什么问题呢就是说在这种
[00:26:44] U币流通时间比较长的情况下就很容易导致市面上的硬币的流通量会下降对然后铸币厂还要一直去生产为了维持流通量我还要生产很多新的然后生产又亏损这是一个恶性的循环我觉得很简单你只要把你不要用那么多货真价实的铜了弄点便宜的东西不就解决了吗对就是祖宗之法可以变所以说1982年开始几个世纪之前铸币法案就管不了铸币局了
[00:27:12] 猪皮局就强行把这个一美分的主要材料换成了新就我们前面说的那个游说团体的主要供应商然后只镀一点点铜在上面那铜那个时候铜的那个供应商那个时候没有反对一下吗我不知道反正现在主要是新的供应商在反反新比较便宜但是新的价格也在涨
[00:27:30] 也在涨这个东西就是没有说不涨的理由就是所以说铸币局只能不停的去测试有没有比新更便宜的金属或者说什么比如说混合的金属的方案所以这件事情对他们来说一直是个困扰是吗反正就一直在实验就是他们每两年都要向国会报告一次我们这两年内尝试了很多新的方案但是我们发现都不太行所以等于他这段时间一直在试但是这个一美分的这个实际的这个流通钱的成本就是比一美分要多
[00:27:57] 对而且甚至问题最后会发现已经完全不在原材料上了而是说随着实验推移包括说这个硬币开模冲压配送保存这些环节的就是不涉及到金属的环节的合计成本平均到一美分硬币上面都已经接近一美分了
[00:28:17] 然后你又不存在这个所谓零成本的这个金属原料是说这个一美分的这个生产成本其实长期是显著超过一美分的那我觉得这个部分就是对于铸币厂来说这个它的这个反向铸币税这个部分讲得已经很清楚了就一美分就是肯定亏对吧然后高面子的还是会赚的就是这样一个体系不过你前面讲到这个一美就是1792年当时规定的一美分里面要17克同这件事情我想想还是觉得挺震撼的你就别说那个时候同便宜吧那有17克呢
[00:28:46] 对啊很重他为什么要搞得那么就是那个时候的印美分是很就是很值钱就是他的购买力很强就是我们要回到最早的淳朴的美元就是他最早的时候是金银副本为止的这个我们在金银法定货并那期里面就是略有提及我们可以回顾一下1792年的一美元如果我们把它换成成黄金的话是1.6克左右的纯黄金所以当时一克黄金的价格都不足一美元
[00:29:14] 然后一美分就是相当于0.016克那肯定是有点购买力是蛮有购买力的可以看到一些资料说直到19世纪末一美分还能在美国街头自动售货机里面买到一块口香糖就是有个可口可乐的经典的案例就是说他反正早年阴差阳错把这个价格锁定在了五美分一瓶
[00:29:39] 所以所有的可口可乐的售货机贩卖机也只接受5美分的硬币结果后来通货膨胀了要想涨价就要改大量的售货机就变成一些很麻烦的事情然后他们还曾经想要问过美国财政部是不是可以按照他们的需求发行7.5美分的硬币显然断然拒绝讲到售货机的话确实我们还可以补充硬币在美国是保留了一些很独特的使用场景
[00:30:06] 比如说自动售货机这个在日本也是一样的还有就是自助洗衣房以及一些老式的路边停车收费表对那个其实在国内有段时间也用过但是没有铺开还有就是类似于什么超市首推车之类的反正就是很多场景但是都只能接受特定面值的硬币扭蛋之类的是吧对类似于的随着通货膨胀美元其实变得越来越不值钱了这些地方能接受最小面值的硬币也不可能是什么一美分五美分
[00:30:35] 基本上都在往什么25美分这种方向发展真的什么一美分硬币掉在路上肯定是没有人愿意捡的所以小时候我在马路边捡到一分钱这个歌描述的场景在中国包括在美国都是很难遇到了确实就是首先你在路边大概率捡不到一分钱你可能都没有捡过一分钱其次你在马路边也不一定能找到警察叔叔
[00:31:01] 前面其实我们把停止铸造一美分硬币的前因这个部分都讲得非常清楚了哪些动力想要取消它哪些动力想要保住它以及现今在于整个社会体系当中它到底存在的价值或者存在感有多强这部分我们都讲了
[00:31:20] 我觉得接下来要讲一讲这个后果的部分了你前面也讲到说这个一美分机器千层浪停住了之后因为过了大半年了嘛还是在美国社会产生了蛮多的影响展开讲讲这个部分吧其实主要就是最核心影响就是商户招令
[00:31:35] 我们前面也说过实际上一美分的使用场景里面商户找零用出去的比例是比消费者自己支付用出去比例更高的加上商户现在从银行那里补充一美分硬币也比较困难了就导致找零的难度就是继续的提高根据统计美国大约每天会产生1.6亿笔零售交易其中涉及到现金找零的部分并不是很少大概说折到一美分这个硬币本身的话一天大概有一百多万美元所以说这个一美分停产就对
[00:32:05] 对于领售商户影响真的很大我看到有些报道就说有些小店的店主开始回家翻这个储蓄罐然后就因为实在是没有零钱只有储蓄罐里还有可能能抠出一点零钱说明这个流通是真的就他付出去了根本就收不着对吧他一直都是要去等于说兑换一些零钱只出不尽的一个感觉那为了解决这个问题呢很多商户就想到了一种
[00:32:28] 比四捨五入更精确的一种近似处理的办法我们简单讲一下比如说你的账单的尾数是1和2的话就帮你把这个1和2给抹掉如果尾数是3到7的话一律看作5然后如果尾数是8到9的话你就凑成10那这样就是有增有减长期下来基本上是能够互相抵消的如果是每个都是平均的分布的话你就能抵消掉
[00:32:53] 比45还是稍微科学一点确实是这里有个问题近似处理的方法是商户自己想的法律上实际上也没有说允许你可以这么做因为再怎么样它是法定货币理论上你还是要按照法定货币正常的去找零它技术上只能说是一种我跟顾客的一种协商的结果权益之际所以说可以看到美国的各州在处理这个问题上的做法是不一的有些州就是管的比较松一点就是我允许你
[00:33:22] 实际上是这样做的但是有些州就是专门立法就是叫停了这种行为就是要求商户按照法律规定备足现金精确找零管这么严吗为什么呢我觉得还是就是那个核心问题就是怕你就是说趁机涨价或者损害消费者权益之类的其实有两个专门的研究分析过这种比较精细的就近取证的话究竟会不会造成消费者损失
[00:33:47] 可以看到一个是2018年这个是很厉害的一个加拿大的本科生做的一个研究他是根据加拿大本地的商品价格做的实验因为加拿大是2012年就停止生产分泌的所以说他们搞取整的方法是搞得更早的他的结论是总体上来说这种方法还是比较公平的但是因为一些固定的定价习惯还是会造成
[00:34:10] 略略偏向商家一点点就是一年内全国的商家会无意识的多收327万加元这个也不是很多一整个加拿大一年一直这么多对这是加拿大的情况另外一个研究是美国本地的李士满这个州的联储在2025年做的就是一个更新的估算他们测算下来就是哪怕尽可能往不利于消费者的方向去做这个价格调整就是哪怕这个商家真的去想办法去
[00:34:37] 调这个价格有利于他的方向去调全美的现金消费者一年加起来也就是多掏600多万美元平摊到每个人头上就是又是几分钱当然你这么算的话是不多但是因为我们前面讲到用分币或者用硬币的人群还是有比较固定的特殊的一些场景的一些人群的对他们来说有可能首先你不可能是平摊到就只有几分钱另外的话对他们来说这个变化有可能他们还比较敏感
[00:35:05] 但是心里我觉得主要还是心里不是很舒服这个是最最重要的就是明面上就告诉你你吃亏了这件事情总是让人有点不爽的对当找零和抹零只是一美分停产以后的一个影响另一个影响其实是影响到了目前还在生产的这个最小面值硬币就是五美分这里我们前面不是说过一美分和五美分就是助币局生产他们都是亏损的对所以现在就是五美分取代了一美分我还是亏
[00:35:31] 对亏的更多了亏的更多了是这样的就是2024财年这个数据就是每制造一枚五美分硬币实际上要倒贴九美分这是这个绝对值比刚才你说的这个什么三点多美分和一美分这个绝对值还差的多呢是的一美分停产加上商户这个新的这个找零和抹零的需求又会进一步推高五美分这个需求量然后这五美分生产越多它越亏损又进入了新的恶性循环
[00:35:59] 对注币厂怎么想的呢他没有预测到这个情况吗但我觉得他可能就是没有办法一次性取消两周吧他5美分也想取消那就以后没有分了这个这有点我觉得太夸张了反正就是美国注币局数据已经体现了这部分新的需求增长就是2025年5美分硬币的生产规模已经从此前的每年1.13亿美暴增到了10.41亿美对就是如果我们大致算一下就可以发现就是你砍掉1美分生产原本你觉得可以省下一部分成本
[00:36:29] 然后这个成本呢基本上就在5美分这个加量生产里面亏完了等于总账可能更难看了我举手问一个他问一个问题啊就是这个生产多少美是根据市场这个需求来的吗就是入币厂你得接受是吗就你不能自己自主的决定是有一个测算的大致还是按照需求量来测算OK
[00:36:48] 那简单小结一下就是如果你站在铸币场的这个角度来说你仅从盈亏的角度来考虑其实答案很简单就是你把分币都取消掉你就可以一直赚钱的只有镜像没有出现的东西很多国家确实是这么做的这样的吗或者说他们就是所谓的那个就近取证这个做法做的更彻底但是实际的产生的一些影响其实还是很微妙
[00:37:13] 而且可以看到其实取消一美分有很长时间的动力但是到现在才取消我觉得对五美分来说可能更加的困难一点不可能一步到位的我觉得因为这个事情才发展了一年我们觉得可以再慢慢的看一下长期的影响是不是最后发现这五美分也要取消
[00:37:31] 整件事情最近还有一个很神奇的就是一个结尾因为这个2026年正好赶上了美国建国250周年所以说美国官方有一系列纪念钞和纪念币的发行计划除了现在大家讨论比较多传说中面值250美元的这个特朗普大钞以外也包括了短暂复活的这个一美分硬币
