Vol.195 听完就会写港股IPO招股书（伪
[00:11:57] 第一轮是上市前的咨询这个是保健人和律所在提交招股书之前就给港交所发函就是沟通一些他们撰稿的时候已经发现了就是有可能有一些模糊的地带先跟编辑问一问先问问看这个是不是可以这么写这个经常出现在一些新兴的行业里面比如说生物医药特装科技这些新的领域这也是港股的一个叫法对就是它因为整个的很多提法都没有先例可循新技术嘛
[00:12:24] 太新了所以说大家最好就是事先沟通好我反而可以成为一个判例这很好第二轮呢是在提交上市申请之后呢这个是由港交所的一个专门部门叫上市科和香港的证监会来共同审查招股书他们关键看两个方面上市科是做实际的审查他会看这个招股书里面的关键信息是否符合在香港上市的要求这公司到底行不行对比如说你的盈利啊市值啊之类的东西
[00:12:51] 另一个是证监会负责叫刑事审查他主要看的是你的招股书的披露符不符合这个披露的标准规不规范对这个过程很关键就是这个审查过程当中他可能会向你提很多问题然后你要根据他问题做回答回答完了以后要把这个东西改进去甚至有可能招股书他们觉得你写的不行就会被退回去退回的话应该是个很伤的事情就会打击你上市的公司还有这些专业机构的声誉
[00:13:18] 而且你退回来之后应该有一段时间是不能再提交招股数的是吧对好像是八周OK所以你就会错过一个上市的窗口期有可能那第三个所谓的审查环节呢叫聆讯聆讯这个我之前也不是很理解为什么还要有聆讯这个环节就是交了不就好了吗后来发现就是聆讯这个环节呢是由另一个组织来负责的它是港交所下辖的一个半独立的
[00:13:41] 偏第三方性质的组织叫上市委员会这委员会组成的形式比较多元一点他们就是负责把那个上市科认可的一些招股书再拿来再看一遍有什么问题再提问里面有些投资者代表的人对他们如果说通过了以后呢就可以说你这个公司通过领袖你其实就可以走后面那个我们讲的像什么定价路演这些流程了那他就是正式走向上市的后半部分了其实有点像这个一读二读三读有点这种感觉OK
[00:14:09] 那刚才叶老师的话是大致的给我们讲了一下这个香港IPO的整个流程就像刚才你说的它其实就是一个对于招股书这个核心文件的反复的多方决策的一个讨论讨论修改那个质疑啊等等的这样一个过程反正这样捋了一遍之后在上市之前这个招股书应该就非常OK了那要不接下来我们正式的进入一下招股书写作小课堂环节
[00:14:33] 如果大家看过一份完整的香港IPO招股书可能会有个感觉就是这个东西没有办法看我觉得也不是香港的我觉得招股书都很难看对就很难看很难以看懂对就是有很多原因比如说这个东西一般来说页数都非常的多对精简的一般来说有小几百页有可能有大几百页的这种招股书其次招股书的章节非常的多然后很多部分假设你没有任何专业背景你一点也看不懂
[00:15:00] 最后呢又因为它是一个法律文件加上这个中文又是翻译过来的很多时候它也不说人话是在这个层层的阻碍之下比如说一些我们吃瓜群众也好包括我们这些非专业的媒体的记者也好有时候只能去看一看热闹或者说看一个我们能够看懂的那些东西啊比如说一些图表啊等等的就经常被一些媒体就是很快的来引用嘛因为那个最清晰对吧又是人话所以这次我不是说我前前跟朋友聊天吗我就问了他就是
[00:15:28] 这么大一份招股书里面到底哪些部分值得认真看一看我们就一起打开了一份招股书的目录然后整个过了一遍假设说大家此刻在电脑之前的话也可以找一份招股书你去找一个叫多档案版本然后对着看一下然后我们之后也会总结一下重点哪些部分需要看或者我们可以把一份这个案例的链接放在show notes里面大家可以点开了一起看一看请大家尝试使用一下show notes
[00:15:54] 好为了快速说明呢我把整份招股书的结构按照顺序做了一些非常粗糙的分组那彼此有关联的会放在一组里面然后可以连续的快速跳过的也放在另一组里面你自己先把它归为快速跳过然后就快跳过了反正我看不懂另外为了方便呢我们之后所讨论的是繁体中文的版本这个英文我们实在是方便点方便点对方便点首先第一组呢放在一起的是封面重要提示预期时间表以及目录
[00:16:22] 这些都是可以跳过的而且多档案版本本身就可以快速调整到具体的部分我觉得这个其实比目录好用一些第一组已经快速跳过了第二组里面比较重要了有概要示意技术词汇以及前瞻性陈述假设说你只有10分钟然后要看一份招股书的话那其实你只能选择去看概要概要其实就是整个这个公司上市公司一个缩写版另外也可以看一下前瞻性陈述
[00:16:50] 这个也是我学习到了一点就是这个东西乍看会觉得非常的空洞但它实际上列举的就是这个公司的上市的故事里面最重要的一些卖点是什么就以后我们会如何如何好对让我们现在打开一份假设是蜜雪冰城他招股书的前瞻性描述他第二条就是这么写的我们与加盟商及供应商保持关系的能力以及影响加盟商及供应商的行动及发展完了那不是人话
[00:17:17] 这个语病啊在后面没讲完呢对虽然不是人话但是大致可以理解就是说蜜雪冰城对于加盟商和供应商的管理能力很好就是它有这个关键词你能够看得懂如果你了解这家公司的核心的话对反正也是提示你后面可以重点关注一下我们后面是怎么解释我们这个能力的好到第三组内容包括了风险因素和豁免于免除
[00:17:40] 这两个部分理论上都要看风险我们还是经常要看风险因素其实可以看一些公司自己写的比较细致的地方因为他写的越细有可能就是在问询过程中要求他补的越细的一个部分另外其实也还可以对比着看同行业的公司里面有哪些风险点是别家没有列举但是你自己列举的这个就需要特别注意你确实在这个方面会比较有风险对比这个点也很重要
[00:18:05] 豁免与免除这块呢想要上市的公司即使做了一些重组和审核但是多多少少都有一些些不能完全符合这个上市要求的部分根据规定有些小问题是可以申请豁免修改或者豁免披露的当然现在有些技术比较高的律师可以通过各种的斡旋把一些他其实不想要披露的内容藏在这个部分里面只不过以我们现在能力是看不出来的所以就是豁免与免除他会告诉你有哪些东西我豁免但是具体是什么我就不讲具体是什么他也会讲但是你
[00:18:34] 很难猜测出它最后后面这个东西的原因是什么技术高的人可以看出来已经讲了三组了第四组的话它包括了有关本招股及全球发售的资料还有董事及参与全球发售的各方这个也跳过跳过跳过跳过的第五组内容其实很多包括了这些公司资料行业概览监管概览历史发展与公司架构业务
[00:18:59] 以及法规这感觉是一些有故事的部分比较骚烈的部分这一组里面可以着重看的首先肯定是行业概览这也是我们之前很喜欢看的部分其次就是历史发展与公司架构这其实可以快速理出一个公司发展和融资的时间线第三个就是业务业务很重要对于一个你完全不熟悉的公司来说业务部分其实就是介绍它的商业模式和核心竞争力也会披露大量的运营数据对 这个里面已经有数据了对 这是第五组
[00:19:26] 第二个如果
[00:19:51] 对人比较感兴趣的部分可以看看股东和董建高的部分你甚至可以看一下他们履历包括说什么高管的变动之类本身也是很有意思的话题
[00:20:01] 第七组里面包含了财务资料及时投资者未来计划及所得款项用途这三项财务资料不用说除了行业概览我们以前基本上就是看这个部分未来计划及所得款项用途这个也很值得一看因为上市之后公司到底准备把这个钱花到哪里和信用的业务的关联是什么就是在这个部分披露的甚至是公司上市之后还可以把之后的年报和当时的招股书放在一起看一看
[00:20:27] 就是看看这个计划到底实施了没有对吧对到底说要建这个工厂有没有建啊或者规模有什么变化之类的是的那第八组内容呢其实也可以快速跳过包括包销全球发售的架构如何申请香港发售股份这都是知识文件我都听不懂知识文件没关系最后第九组呢全部是附录
[00:20:45] 这附录里面包括会计师报告未经审核备考财务资料公司章程概要法定及一般资料送至香港公司注册处处长及展示文件我只听到附录两个字是我们比较熟悉的因为比如说我们之前看财报的时候经常会要提醒我们的同行要看一下附录
[00:21:02] 里面有些信息招股书的附录是不是也要看一看对招股书附录里面就像你说的像会计师报告里面有些时候能找到一些具体的会计处理办法的说明以及一些相对更小更细节的财务数字有时候是需要挖一下比如说一些折旧的一些年限的安排等等我们之前提到过是的到这里结束了OK所以一共讲了八组我也不想再复述一遍了大家九组九组九组九组九组大家自己去回顾一下
[00:21:28] 不过你这样来那个列了一下的话感觉至少它是一个我们能够驾驭的结构至少知道哪些东西我们是可以看哪些东西是可以跳过的反正就是这次是学习了蛮多我记得我刚开始工作没多久的时候当时有个很重要的工作是让我去看当时去美国上市的阿里巴巴的照顾书我们约老师曾经还是阿里巴巴条件的记者呢实在是太长了这是英文的那个时候其实根本不会看照顾书嘛等于是在
[00:21:52] 硬看瞎看我觉得现在其实也没有好到哪里去但至少是今天刚刚魏老师讲了帮我们也画了一下重点你再帮大家画一下重点好的还是给大家简单的复述一下刚刚讲的十足十足里面比较重要的就可以了好的我们就把值得看的部分再挑出来给大家讲一下大致是有十个部分第一个就是概要第二个是前瞻性描述第三个是风险因素第四个是豁免及免除
[00:22:18] 我们也会争取在以后的节目里面都从这些之前没有太在意但是实际上很重要的这些招股书的部分里面找一些有意思的新角度来做内容
[00:22:39] 做了非常多很硬核的很艰难的科普我觉得自己还是蛮长见识的接下来我们具体再深入展开讲讲一些例子就从写招股书的TIPS的角度就是把刚刚那些结构都要完成的话有哪些具体的要求比较有意思的这方面其实反而有点好讲因为港交所在2024年1月份发布了一份专门的参考文档就叫新上市申请人指南以下简称指南
[00:23:06] 就是港交所教你如何写招股书对因为里面有一个大章节完全就是讲如何写招股书的如果说听众朋友有兴趣的话直接可以找这个文档来自己学习不用听我们这个步伐插问一下刘老师你刚才说这个指南是2024年才发布的所以之前没有这个指南没有OK那之前大家有类似指南的东西吗是这样子就是在指南出现之前实际上港交所有一系列用来解释说明上市要求和监管重点的文件
[00:23:35] 其中最核心就是上市规则它就是我们前面说的港交所上市科对于招股书做实质审查时候的关注重点反过来说你去写招股书肯定也要参考上市规则此外还有一系列类似于判例的那种文件包括指引性 上市决策 权势罕见和常见问题其中指引性主要就是港交所自己根据日常的工作经验逐渐形成的一些东西主要就是对于招股书某些部分的具体披露和写作要求
[00:24:03] 上市决策和权势还类似于一些个案讨论就是为什么我否决了公司A的上市一些判例或者说我为什么可以豁免公司B的官员交易披露等等的那长期问题则是把工作当中接触到一些公务性的问题也汇总一下统一做一个解答感觉是港交所的打引号的司法解释和一些判例是的所以简单来说在指南之前律师的经验确实会对写招股书有很大的帮助
[00:24:30] 他们经验的一方面是靠之前这些项目积累的另一方面也就是要包括不断的学习这些指引性和判例然后把一些别人试出来的思路用到自己的项目里面OK另外还有一点就是在2013年之前港交所对于公司初次提交招股书实际上要求不是特别严格就是你可以交一个初稿上去OK什么意思
[00:24:54] 只不过2013年之后呢港交所发了个指引信就是对于初次提交招股书的要求收紧了就是希望你提交一个大致完备的招股书OK就是过去没有大致完备这个要求所以大家就写的就是很乱比较宽松港交所看得很头疼让你写的好一点所以现在就是要求你基本能够一遍过对
[00:25:14] OK就只允许有非常小幅度改动比如说你补充一些新的财务数据或者说你根据问询增加一些部分这是可以的假设说你达不到大致完备要求就像我们说的招股数据有可能会被退回那么其实新上市申请人指南的话也是跟大致完备要求逻辑上是比较匹配的完全是匹配的OK那么我们具体你根据这个指南来跟我们讲一讲我把这个部分就写作部分大致分为三个方向上要求首先是披露要求其实是文字要求最后是非误导要求
[00:25:44] 先说披露要求指南里面有一句话原则叫中肯的陈述相关重大及具体的资料中肯中肯相关的使用建议呢有两条一披露相关重大及具体资料过多的一般资料会掩盖对投资者重要的资料二避免复制其他已开发的上市文件的不必要杠无关资料OK所以他对于这个中肯
[00:26:09] 还有重大级具体其实是有一个明确的要求的你不能堆一大堆的东西上来然后把重要的东西给掩盖了而且还不能盲目的照抄对吧是的另外具体到招股书的很多章节实际上都有一些披露方面的明确的要求我们以行业概览这一节为例只能其实要求披露一下五个方面第一是最新市场资料第二是竞争情况及竞争优势第三是市场份额排名及地位第四是原材料及制成品历史价格走势
[00:26:36] 第五是资料来源和可靠性很清楚对每个方面还有更细的披露要求比如说呢再举一个像原材料和制成品历史价格走势这一条就两条细则朗读一下第一最好以图表形式披露申请人主要原材料及制成品的历史价格括号尤其是从事商品业务的申请人括号完毕其间如有重大波幅则载述有关原因的评论
[00:27:00] 第二条是简要讨论申请人主要原材料的价格变动如何影响其制成品的历史售价这个指南其实非常的详细如果是一个新手律师不幸被分道写招股书的行业干辆这个部分实际上完全可以按照他这个要求这个结构一条一条的把它写出来就可以了理论上是这样当然新手律师一般来说不会被招股书我们可以再举一个我们前面讲的集资所得款项用途的例子
[00:27:26] 如果说这个公司对于超过10%的所得款项没有明确的计划用途其实就要有明确的说明我为什么想不出来这个钱要怎么用这东西不能糊弄对你也不能直接把这个10%的部分笼统叫做什么运营资金或者一般企业用途也不能这么叫你必须给出非常合理详细的解释才行OK所以这个其实你能从它这个严格或者细致的要求可以看得出来其实也是经过长期的这个磨合或者是博弈了吧
[00:27:54] 这肯定之前有人糊弄过对现在就给你定的很细你就必须要披露到这个程度比如说像风险因素这一节里面也可以看到假设说这个公司的风险点叫依赖主要客户那么你还需要把依赖的程度也一并写出来网交所认为更合理的写法是依赖前五大客户括号占我们收入的75%
[00:28:13] 就是要有这种定量的写法怪不得我们看到的这个大多数的人都会这么写是的他要求就是这么写的他要求是这样写其实这应该就是更容易让投资者意识到这个风险程度到底有多深这实际上也是对投资者有些保护另外对于一些特定行业的公司港交所还会要求一些额外的披露最典型的就是我们前面说的那种矿业企业矿业企业的招股数据说非常有意思就是它除了招股数本身以外后面还会加一大堆俘虏俘虏里面就是公司上市前所持所有矿藏的
[00:28:42] 详细评估报告这每个都要给你写清楚家里有矿造业是什么样的这个勘探的情况一定要讲得很清楚对一定要讲得非常清楚农业公司也是类似的他们因为底层是一些生物资产就也需要有很详细的披露和评估而如果是餐饮企业的话餐饮企业的招股书也很值得一看因为他们还需要披露同店销售翻台率客单价新店达到收支平衡的平均用时选址条件是否有过食物中毒事件等等等等等等
[00:29:09] 尤其它这个要求的细致程度你能看到它其实基本上是基于一个保护投资者的这样一个概念对就让投资者掌握最大量的信息那这个只是你说的这个三大要求第一个就是披露的要求对第二点是文字要求因为我们自己就是搞文字工作我看这个部分的时候实在是乐不可知怎么乐说点乐子指南对于文字要求的一般原则叫采用清晰易明的浅白语言OK使用的原则包括采用日常用语
[00:29:37] 避免冗长字句鼓励使用图表及流程图谨慎使用界定词和专用词等等等等至于好笑的部分主要是它里面举了些反面的例子比如说举一句话叫申请用暂居一页以上冗长且没有条理的段落描述其具有多个收入来源的业务及相关收入贡献我觉得它这个就是能不能在举这个反面例子之前先把自己这个积分的中文先改一改
[00:30:06] 就是有一种怎么讲呢就是他自己这个描述已经挺好笑了但是描述的这个事情跟他自己这个描述本身还有点相关就更好笑了不过对于文字要求呢指南里面也有一些很有意思的硬性指标就是页数比如说他觉得概要一般不能超过十页行业概览如果你不是一个什么业务很复杂大集团一般也不能超过十页法规和历史发展一般各自不能超过二十页核心财务报表在老板指引性里面看到一般是不超过一页
[00:30:35] 这个部分我真的深有感触因为我的本科是学理科的理科要写实验报告理论上一般来说正常实验报告四到六页基本上就足够写清楚整个实验的所有的前因后果之类的东西结果当我交作业的时候就发现有人的实验报告写了十页有人写了二十页你写的越少反而写的你越不努力如果读大学的朋友们应该对这个交作业的内卷非常的熟悉很高兴这个招股书要求你不得这样内卷虽然不内卷都要几百页
[00:31:04] 文字要求我们大致就讲到这里最后我们再讲一些非误导要求非误导要求包括不得避免披露不利和负面的资料避免情绪化表达或宣传陈述陈述当中不得抱有偏见或缺乏事实支持的内容等等这里我们还是举几个比较有意思的例子一个例子是非公认会计准则指标的呈现这个英文叫Nungap我们之后就用这个来指代了
[00:31:28] 有些公司如果按照严格的会计准则来做报表最后净利润那一行一般来说不太好看所以说很多公司都会稍微做一些调整形成一些non-gap指标比如说像EBITDA或者是净调整净利润只能是允许公司在招股书里面放这些非公认指标的但是从非误导性的原则出发有很多要求首先要对这个指标有明确的计算方法说明和定义其次你不能选择一些只对自己有利的调整方案
[00:31:56] 第三呢就是non-gap指标只能放在gap指标之后再做披露最后呢也不能明示或者暗示这个non-gap指标能更容易反映我们的实际运营状况看得出就是他这些不能的事情之前肯定有人都试过对那一组很好笑的例子是关于上市公司名称和封片的要求什么意思讲到这里已经开始笑了
[00:32:17] 比如说科技公司不能随便往自己的上市公司名里面加塞云和人工智能这样的字眼很好很好我很欣赏这样的要求封面的话也可以举一些例子比如说这个封面上面出现了一个楼或者一个人像那么这个人必须是你这家公司的员工楼必须是你这个公司的物业否则你不能这样放这还是很有道理的对吧比如这个房地产公司对吧你随便放个别人的豪宅好像不太行对吧
[00:32:46] 另外呢封面设计里面不能有任何突出保健人的设计比如说你刻意把高盛两个字写的很大这个就不可以因为如果这个上市公司本身不太出名的话他实际上是要靠他的这个保健的这个投行来给他揽名声的或者做背书的但是呢他招股书里面要求你不许就是刻意的把这个背书强调的太厉害
[00:33:07] 不过我看实践当中其实都是把各家的logo放上去的logo本身的尺寸都是一样的但是logo的设计就有些讲究比如说高声两个字在logo里面就很大OK反正视觉上达到一个强化的效果只要按在规定下面也可以是的刚才岳老师给我们讲了三大要求从各种细致到离谱的规定就可以看到背后一定有一些更离谱的故事都会支撑接下来的话我们要么就进入具体案例的部分来实际操作一下
[00:33:37] OK让我们缓缓进入最后一个部分前面提到在港交所上市科和香港证监会审阅招股数的过程当中会有所谓质询和回复的流程A股公司其实也有类似的流程他们的提问主要是由中国证监会提出来的但是有一个差别是A股公司的提问和回复的过程是公开披露的所有人都知道证监会问了你什么你怎么答的
[00:33:59] 但是香港这过程是不公开的其实只能通过招股书上的改动去反推具体问了什么所以看不同的版本的一个变化对所以最后这个部分呢我们就找了一家公司的两版招股书分别是他首次提交这个申请版本和聆讯后的这个版本然后在这两份pdf里面找不同选择这家公司是古明古明奶茶对古明要说理由一个是他正好最近通过了聆讯第二个就是因为奶茶行业大家也比较熟悉那就继续来吧
[00:34:25] 那在所有对比出来增加部分里面我们不会所有都说太长了我们就挑七个点还有七个很简单七个点跟大家分享一下主要也是集中在前面说的那个招股处理员几个比较重要的章节里面因为要求你改的或者说是经过讨论的部分往往就是那些最关键的一些点第一处是在概要章节里面就是关于密集的门店网络如何提升了仓储和物流效率这方面呢股民是增加了一段原来没有的信息量我把这个原文部分读一下
[00:34:55] 通过与我们自由仓库比较亦可以看出我们在仓储和物流效率的提升于2024年9月我们与二线城市南宁及泰州分别运营一个仓库而泰州仓库的门店覆盖率较南宁仓库高123%按单店基准泰州仓库覆盖的门店仓储及物流成本比南宁仓库覆盖的门店低22%该等成本节省主要是由于我们密集的门店网络以及门店与仓库的密集布局
[00:35:23] 截至2024年9月30日我们约76%的门店位于距离我们其中一个仓库150公里范围内这个是一个棒读但是反正这段其实是一个新增的信息如果说对于股民的供应链有关注的朋友可以具体的看一看这两个仓库的一些介绍这个如果是你做一些跟它相关的报道的话其实这个信息还是非常重要的就是有一些新的东西可以写
[00:35:47] 第二处是出现在风险因素里面它的小标题原本叫做我们可能无法维持或增加门店的销售额和盈利能力这确实是个风险点啊零讯扣的版本里面对于2024年前9个月公司的有些核心指标它原本是有些号称是微降那这个微降呢它有个明确的量化说明补充进去了
[00:36:08] 包括说同店GMV下降0.7%单店GMV从190万人民币下降到180万每笔订单的平均GMV从28.2元下降到27.7元单店平均订单量从241单下降到234单以及加工店的日均GMV从5800元掉到5200元等等这只是列举的一些例子所以它原来最初的版本里边只有定性的一句话就是它微降了差不多就这个意思但现在的话
