Vol.08 小米造车，可没造“全家桶”那么容易
[00:08:00] 比如是像戴森对吧但是小米的特点就是它生态链上的这些产品都很便宜其中一个很重要的原因就是我们刚才讲到的用广告赚钱的这个思路很便宜的小米电视它的开机广告时间长到难以忍受对另一部分的原因呢其实也是因为设计生产这些产品的都是小米自身以外的一些生态链企业就相当于小米是一个用底价批发了这些产品再零售给我们的一个中间商它只是基本不赚差价的一个中间商罢了
[00:08:29] 比如说小米的充电宝是紫米做的90分行李箱是润米做的扫地机器人是石头科技做的这些公司都是初创公司但是他们创业的最重要工作之一就是为小米设计并生产这些爆款产品这也是小米为什么之前能在很短的时间内就覆盖大量它熟悉的行业的原因而且小米还会给这些生态链的企业提供工业设计渠道品牌等等方面的一些支持更重要的一点就是会入股
[00:08:56] 让双方能够形成绑定的利益从2014年开始小米就设立了一个简称为天津金米的一个投资主体它专门用来孵化一些生态链上的企业然后对他们的持股比例大概在10%到40%之间就是所谓的参股但不控股实际上天津金米对于已经上市的小米最大的贡献就是投资收益2017年的时候它生态业企业就为小米带来了大概60亿的账面的收益
[00:09:24] 已经超过了当年小米主营业务的净利润了2020年这部分的账面收益
[00:09:52] 天津金米这个公司投资范围其实非常广啊除了不同的类别的这种产品上的这些公司他还会往上面去投一些上游的零部件公司
[00:10:02] 不是因为小米自己做手机嘛所以他投资了很多跟手机相关的一些供应商所以小米在整个生态链当中的一些采购成本也会比同行业低一点我们举一个例子吧就是有一家为小米做智能手环和手表的公司叫华米科技它早期的采购成本要比同行业的Fitbit大概低50%
[00:10:22] 把这些产品都生产好了然后这些生态链上的公司就用成本价把这些产品卖给小米就变成像小米平衡车米加微波炉这样的产品然后又统一的在小米的官网或者它的旗舰店去销售这些产品最终又都很符合小米极致性价比这样一个策略所以对于这些生态链的公司来说他们几乎是不赚钱的收入只能覆盖生产的成本
[00:10:46] 算下来的话这些生态链企业的销售量虽然会高很多但是毛利率还是要低于同行企业的所以总结一下就是小米和生态链企业之间的关系是非常紧密但同时又非常复杂的像华米这样的公司它自己成长到一定体量之后就会考虑摆脱小米这样一个标签或者阴影独立发展
[00:11:08] 比如说像石头科技华米云米9号机器人这些小米孵化的这些生态链企业现在都已经上市了他们也等于引进了外部的一些资本也可以进一步推动他们实现自立实现自立的话可能不是小米对于每个生态链企业的最初的目标所以说小米的话如果大家还记得我们前面提到的天津经理这家公司的话就是说小米也可以通过股权这根线来强化甚至收回对于生态链企业的控制
[00:11:35] 2021年的3月小米公布了一个消息它会收购紫米公司50%以上的股份把它变成一家小米的全资子公司紫米的话是小米充电宝的生产企业显然说他们在电源电芯等领域的生产经验对于小米去拓展更多智能硬件来说非常重要但是我觉得这个应该跟造车没有什么关系毕竟这个充电宝的电芯和汽车要用的电芯应该是两套东西对回到
[00:12:03] 前面提到最重要的新闻就是小米造车我们前面讲了这么多对于小米生态链的话其实有个直观的感受就是这个以家电为主的生态链的话小米是可控的最大的投资级别也就是几亿美元对于小米来说其实是完全可以接受这个就相当于小米已经有了一个很好的花园然后在里面再种一朵新的花再种一朵新的花这样的感觉但是造车这件事情完全不是在花园里面种一朵新花这个概念了
[00:12:31] 它应该相当于在花园旁边在种一棵大树如果种成功了这个树有可能再多种两棵可能会变成一个林子但是如果种坏的话可能这个花园直接就被这个树给砸死了如果只看市场的反应的话其实大家对于小米造车这一个词组的反应是非常的积极的小米上市之后很长一段时间都股价很平稳
[00:12:55] 平稳是比较好的说法其实就比较低迷对吧到了2020年下半年它才回到了发行价那个水平但是今年2月份小米造车这个消息第一次露出来的时候它的股价一度暴涨了12%可见就是市场对于它做这件事情是非常积极或者非常期待的或者说要比它做什么生态类企业听上去刺激的多对吧其实雷军自己还有包括跟小米关系很好的顺维资本都已经投资过
[00:13:22] 智能电动车了主要就是蔚来和小鹏这两个成功案例他们都已经成为这个行业的领先公司从这个角度说小米造车的话其实它早就开始做了但如果只是跟这些公司合作或者做一个合资公司联合开发这些都很容易但是现在的话小米来成立一个全资子公司就是它要自己来造车
[00:13:42] 这就是为什么我们对于小米造车这件事情还是想要泼一些冷水这个冷水不是对小米公司自己而言的因为我们相信他肯定充分的知道造车这个事情的难度这个冷水是对于关注这家公司的普通人甚至是有兴趣的投资者来泼的因为造车这件事情就像刚才说的真的是非常非常难它的难度系数和做一家普通的生态链公司相比当中要差好几个数量级如果大家还有印象的话这个行业之前一个喜欢说生态链的公司叫乐视
[00:14:11] 乐视是一个很著名的失败案例它的失败有很多原因但是它当初救不回来的一个最核心的问题是因为它投资的造车这个业务线烧钱太快了而且跟公司的其他业务之间没有很清晰的界限导致它变成一个堵不住的出血口之前融创的董事长孙宏斌曾经试图来救过乐视但是他说过乐视的布局除了车以外都很完美车是他万万不会花钱去救的
[00:14:38] 现在回想一下除了车其实当时乐视在内容啊还有智能硬件上的这个布局是蛮有亮点的也是一个看上去挺好的一个生态链对吧比如说它有好的版权内容但是它也有手机有电视这些硬件的平台它们之间的这个结合是非常自然的所谓的那个化学反应也是很明确的是很清晰的
[00:14:57] 但是这些和车之间的关联都没有那么大没有那种非常想当然的化学反应不论是人才技术资产其实造车这个业务和之前那些生态链关联都不那么大小米说的生态链当然跟乐视不一样了但就像我们之前所解释小米全家桶能够成功核心是要先跟生态业企业之间形成一个股权的绑定然后再形成供应链或者产品收入分成上面的绑定
[00:15:21] 最后在消费者心目中才能形成一个设计风格智能化和价格的三重优势这些成功的经验的话几乎没有一个能够简单的套用到造车上面首先小米的手机还有生态链企业的那些资源和汽车行业之间的互通性是挺小的汽车的供应链和家电消费电子真的是很不一样两个行业之间的人才互通也非常有限
[00:15:43] 你有可能会觉得比如车上也有芯片也有APP然后手机和电池上面都有但是完全不一样因为车对稳定性安全性的要求要比消费电池要高几个数量级所以说同样一个摄像头或者同样一块屏幕你要成为手机的零部件可能只要几个月你就可以进入它的供应链了但是你要成为汽车上的零部件你可能要花两三年来通过它那个非常严格的合规测试然后讲讲智能化这个部分吧当然小米可以很轻松地来做一个车载的娱乐系统这个因为跟MIUI的区别不是很大
[00:16:13] 但是汽车的操作系统不是这么简单的它要考虑到跟整车的电子架构或者其他软硬节作结合比想象中要复杂得多小米在电子和通讯上面有很多技术储备甚至已经在申请很多跟汽车相关的专利但是在智能电动车上永远不要高估技术储备这四个字把已有技术整合起来这个能力才是最重要的这种能力必须要通过实践才能获得最后一个问题是时间
[00:16:38] 过去小米在智能手机的时代其实很大程度上是靠后发制人通过性价比的差异化的竞争优势赢得了市场但在造车这件事情上面有没有后发优势呢当然有啊因为2021年的电动车的供应链成熟度和2015年雷军刚刚投资未来的时候相比已经好了非常非常多了但是后发在造车上肯定有劣势
[00:17:01] 刚才连泼了三盆浓水
[00:17:29] 当然小米造车的话还是有一点独特优势就是雷军和他的团队这个项目是雷军主抓的而且他自己参与投资过两家行业公司对于造车创业这件事情他肯定已经相对比较熟悉了也有人脉他不会踩到很明显的坑但是管理层的优势和他去扶持一个生态企业的话还是两件事情我们前面说做小米全家桶
[00:17:52] 简单来说就是小米这个老大哥在这个行业里面积累了很多经验所以就来提携同一个行业的小弟们带你们上道你们要按照大哥的标准来就能获得成功但是造车的故事是大哥当年隔壁的好朋友想要去做一个很有风险的生意大哥自己不敢做但是为了朋友支持一下出钱帮衬了一把结果发现隔壁这个生意比自己做这个生意要大得多了他们就想既然他能做为什么我不能做
[00:18:18] 别人能做我也能做这就是移动互联网时代以来所有科技巨头的一个基本思路这也确实帮助他们成长为一个很了不起的公司但是别人能做的事情不是理所当然自己来做就能做成的尤其是造车这种高风险的事情过去我采访未来的李斌的时候他说过造车是99死一生小米和雷军凭借现在他们获得的经验还有这个行业比过去更成熟这个优势或许能够让99死吃掉一大半
[00:18:46] 但仍然这是一个比九死一生更难的一个生意我们是其实非常相信小米尤其是雷军本人肯定对难度这件事情是有充分的认知的也有很多的备案至少是后发优势可以让他去考虑市面上一切可能的解决方案比如说我们做一些简单的猜想你未来可能会看到小米收购已有的汽车工厂
[00:19:08] 也可能会看到他和一些造车新势力
[00:19:37] 但还是要说我们刚才说的那个冷水不论你是普通的旁观者还是小米的支持者甚至是对他的股票投资感兴趣的人在被一个这么令人心疯的大新闻激发出肾上腺素之后还是应该赶紧用一些可靠的现实让自己冷静下来大公司加画大饼就等于大成功吗商业不是这样的
[00:20:03] 感谢收听
