Vol.105 鼎泰丰：传奇还是过誉？
[00:02:42] 我在知乎就看到过一个问题大致意思就是说为什么鼎泰峰的性价比这么低还能这么出名这是知乎这位提问的用户自己的一个说法对但是好像很好的抓住了大家对于鼎泰峰的认识所以说回答的区域非常的热闹基本上展现了我们中国人在餐饮领域从最理性到最感性从最朴素到最专业的所有的意见
[00:03:05] 这个其实就是一个很有意思的一个例子要么在说诺词里面到时候我们把这个知乎问答贴出来大家可以先看一看但是回过头来说在餐饮界的话鼎泰丰还是很受同行的认可的我们找到一本台湾作者写的书这个书叫鼎泰丰字述有温度的完美这书名先不管这个在内地引进的时候前面加了两则推荐序言
[00:03:29] 一个是海底捞的创始人张勇写的还有一个是西贝的创始人贾国龙写的是内地两个非常有名的连锁的中餐品牌是的他们都还蛮喜欢顶台风的那这期节目呢我们会先带大家简单过一下顶台风的发家史其中呢还有三个非常有意思的关键点我们会一起展开
[00:03:49] 其次我们会介绍顶台风的一些核心竞争力也就是所谓有温度的完美到底是什么第三我们会讨论一下让顶台风在全球市场铺开又有点消耗它民生的所谓特许经营制度最后我们会再换个角度来讨论一下顶台风这个全球化中山品牌现在遇到的问题
[00:04:08] 本期节目的部分素材就是来自于刚才提到的这样一本书不过这本书和很多这种品牌著作一样总归是有点视角的限制还有点美化这个品牌有点美化所以我们也会补充很多别的背景资料大家也可以参考本期节目的shownotes那我们就开始吧这里是商业就是这样
[00:04:44] 鼎泰丰这家公司如果看它历史的话其实有一点悠久最早可以追溯到1958年当时创始人杨炳仪在台北创立了一家卖油和调味品的商行不是餐厅不是餐厅鼎泰丰这个名字你看上去寓意挺好的其实也是一个拼出来的名字这个里面的泰丰是杨炳仪刚来台湾的时候他去当学徒的那个店的店名
[00:05:09] 然后那个鼎呢是这个油行的上游供应商的名字所以其实一开始就是一个普普通通的小本生意小本生意那做到1972年鼎泰峰这个油行的生意呢就被当时市场上兴起的一些包装使用油严重的冲击到了就是他已经基本上生意做不下去了就决定转型然后呢把一半的门面改成一个餐厅开始卖点心
[00:05:33] 这里就出现了一个有意思的地方因为发现杨炳宜这个人他是山西人他为什么会选择做上海点心啊闹了半天他不是就是江浙一带的人啊我以为嘛就是大家到了台湾去嘛一般都会搞一点这个家乡的味道嘛你像这个眷村里面有很多的美食其实都是来自于内地的很多省份
[00:05:53] 山西人可以搞点刀削面对不对我查了一下就是鼎泰峰自己有一个博客他上面有一些写杨炳仪的文章就提到说他确实只喜欢吃面有时候他如果在店里面就寻店的时候会让店员另外拿一个面团给他做揪面片或者猫耳朵果然是山西人果然是山西人对吧至于为什么做上海点心主要是因为他早年做学徒那个店就是他更早那个店的老板是上海人
[00:06:21] 然后他在做学徒的时候其实平时就是像当时台湾最好的一家江浙餐厅去供货的然后积累了一些相关的人脉那他计划转型的时候呢有一个叫唐永昌的很著名的上海大厨就劝他说你做上海点心比较好比较精致而且还直接就帮他招了一个点心师傅结果就这么启动了所以是一个又顺其自然但又有点砍压自上架的一个转型
[00:06:47] 但是我自己觉得就是唐永昌当时让顶台风做上海点心确实是一个很厉害的建议因为当时台湾的江浙菜基本上都是所谓的正餐和大店然后这些最好厨师呢要经常去烧一些商务的宴会然后还有各种领导的家宴那老百姓平时是吃不到这种东西的而只做点心呢恰恰是消除了这种高高在上的感觉然后它变成了一种不失品质的平民化嘛
[00:07:15] 有道理啊就像粤菜其实有点一样的就是高端的粤菜的这种餐厅是有的但是后来他也分化出了专门做早茶或者点心的这样店嗯没错那鼎泰峰开始办这个餐厅或者是有点像食堂一样的感觉啊就因为他很注重品质和口味他就很受欢迎嘛然后这个店面非常小但是可想而知每天都排队
[00:07:35] 到1980年代出现另一个事情就是麦当劳开始进入到台湾地区了就有人劝杨秉义然后也劝他当时已经在店里面长出那个儿子杨继华说你们应该去开分店但是父子两个当时都觉得说我守住这个小的本店好好经营就可以了
[00:07:53] 到1995年杨继华正式接管这个餐厅之后呢他的想法可能出现了一些变化隔年呢鼎泰峰就迎来了一个非常重要的里程碑就是他开分店了而且这第二家店就直接开到了东京新宿的高岛屋百货里面这个跳跃也太大了前面吧就是在台湾开连锁店都不太肯结果一下子开分店就开到了东京还开到了高岛屋里面就一般的现在连锁店肯定不会这么冒险吧基本上你就是可能说在一个城市先
[00:08:21] 多开几家店做的足够出名再试试能不能走出去像鼎台风这个步子就卖的很大了你像茶颜月色或者Manor这种做饮料的比较好做的这种餐饮的品类他们都一开始只在一个城市里面铺结果你这个做中餐的一下子就扩到了海外的范围所以鼎台风到底是怎么想的按照杨继华的说法是当时日本高岛屋在台湾有一位高管
[00:08:49] 然后几次三番的来磨他说你到我们这里来开店吧然后他不好拒绝就提出来说如果你们高等屋愿意派人在我们顶台风的本店学一年而且通过我们自己的考试我就答应你去开这个店
[00:09:03] 结果也能想到就是高岛屋就是真的派了三个员工来你这里从头学起所以说鼎泰峰这个第二家店也是他的第一家海外店就是这么敲定下来的听上去这个故事有点凡尔赛啊不过能让高岛屋这种级别的运营方亲自来请说明当时的鼎泰峰在台北应该说是名气已经很响了而且日本人应该也是看到了他在这个日本当地市场的一个潜力所以才会请他
[00:09:30] 其实高岛屋派来这三个学徒也帮助邸泰峰打开了就是他发展的下一步就是标准化和工业化因为这三个人呢都是从零学起嘛然后又想速成然后还有一点日本人的轴近所以他们对于每个环节都问得很细啊比如说他擀皮的时候会问你说这个要多少面粉加多少水然后包的时候会问你内馅要多少克面皮要擀到多薄要蒸多长时间就问很多很多很细的问题
[00:09:56] 那他问了这么多问题呢杨继华就意识到说传统中餐基本上是采用那种言传和意会来带土地的方式这个方式其实是有点问题的他当时就觉得说我们的小笼包只有制作的过程没有制作的流程这个是不行的这个点还蛮有意思的那之后呢杨继华就想办法跟店里的老师傅一点点磨出了包括小笼包在内一系列菜品的一些量化的制作流程
[00:10:24] 他们几十年的这个手感就变成了很清晰的步骤和标准
[00:10:28] 靠着这套方法呢鼎台风之后开出来一批分店至少在产品层面看上去都比较稳定了OK所以第二个有意思的点就是他开到海外去是他第二家的这个店同时在开这家店的时候他也做了一个标准化和工业化的一个改进那么第三个有意思的点是什么呢有点俗气啊就是鼎台风后来登上了纽约时报和拿到了米其林好吧纽约时报其实这篇推荐比较早是发表于1993年的当时鼎台风还只有一家店
[00:10:58] 这个作者谭荣辉他本身是一个美籍华裔而且是个名处他这个文章格局非常大就是直接把顶台风列为世界十大美食餐厅之一然后后来顶台风就把这篇文章里面跟自己相关这个部分做成一大块铜板然后放在一些门店门口就是作为宣传效果铜板有点好笑而且世界十大美食餐厅也是有点厉害对
[00:11:23] 那要说到米其林的部分的话鼎泰丰的那个米其林一星是从2010年就开始拿的要说明一下就是米其林对于小吃餐厅的就是最高也就只能达到一星那除了鼎泰丰的以外香港还有个叫天好运其实也只拿到过米其林一星已经是很高的标准了然后鼎泰丰是连续四年都拿到过这个是他香港那个店是吗对香港那个店
[00:11:47] 这个其实也就说明了鼎泰峰在当时呢已经基本上通过了米其林用来评测餐厅那个五大标准那个五大标准呢简单说就是所谓食材然后准备食物的技巧和口味的融合创新水平是不是物有所值以及烹饪水平是不是一致虽然这套标准听上去是基于西餐的体系来定制出来的嘛而且他能否很好的来衡量中餐这几年也一直有很多的争议
[00:12:13] 但是鼎泰峰能够比较早的摘心还是为后来的一些中式餐饮的连锁品牌确立了一个比较明确的参照系了如果说早期的转型和中期的标准化都属于鼎泰峰在修炼内功的一个过程那么后期拿到这种世界级的认可和推广的一种可能性就属于一种很强的外力加持这个也为鼎泰峰之后拓展海外市场扫平了很大的一个障碍
[00:12:41] 前面约老师的话给我们简单的介绍了鼎泰峰发展过程当中的三个关键点分别是转型做高质量的上海点心第二个是借着开分店的机会建立了一个标准化的体系第三个是拿到了权威媒体和餐饮体系的一个认可这里面我觉得有一个点约老师可以重点展开讲讲就是标准化
[00:13:03] 因为我们之前不是讲过萨利亚的那个标准化把大家印象都很深但是我们知道中餐在很长一段时间里边一直都被大家提到一个问题就是它很难做标准化尤其是全球连锁应该很难做标准化
[00:13:17] 所以鼎台风是怎么做到是的标准化这个事情就是所有的中餐餐饮品牌老板基本上都是想学的我们前面不是提到鼎台风这个书前面有两篇序吗那海底捞的创始人张勇写的这篇序的标题就直接叫中餐厨房里的工业化革命
[00:13:35] 假光荣这篇呢虽然标题叫用美食传递爱不知道在说什么对吧但是前半篇其实讨论的基本上也就是这个标准化和工业化的问题OK那关于这个话题呢我们基本上可以分解成两个关键词来讨论一个叫DPS另外一个叫中央厨房出现了啊完全不知道在说什么的英文缩写DPS其实我确实一开始也没看出来是什么结果发现这个D就是顶太风嗨嗨这个PS呢是precision system就是
[00:14:03] 精准化的制度简单来说就是一个顶台风公司内部的量化指标也就是我们前面提到高岛屋员工去学的那一套举个例子比如说做小笼包在顶台风被分为四步然后它又有一个四到六人的小团队分工来完成一个人负责下剂子什么是剂子剂子就是你用来擀面擀面皮的小面团这个是北方的说法叫剂子然后每个剂子的重量要求是五克
[00:14:31] 然后呢另一个人负责擀皮这个皮的直径呢一般来说要是6.5厘米也7厘米也行啊但是就是你不能超出这个范围太多然后你也有一个标准的模型可以用来比照这个尺寸然后下一个人呢拿着这个皮去包线然后每个包子的限量是标准的是16克
[00:14:51] 最后一个人就是要把这个包子包好要捏褶子他要保证每个小笼包都有黄金18褶感觉这整个流程里面需要非常多的计量设备你要用电子秤还得用尺还得用模型对的的确是要用到当然也有一些人工检验的环节比如说包线的人就要检查这个前面一个人的皮擀的好不好是不是均匀对吧那每个小组有一个组长他也会负责检验最后这个成品的品质如果这个成品不行的话就直接要丢掉
[00:15:20] 除了小笼包之外呢其他顶台风的单品基本上从原材料开始都会有一个DPS的规定比如说采购进来的虾仁呢就会按照大小分成四种等级分别拿来做炒饭烧卖虾饺和炒手好吧前面那个就是下一个步骤的人来检查上一个步骤的这个质量就非常像一个工业化的流水线据说是学了这些东西的
[00:15:43] 包括他们的流水线有一些设计是U型的流水线这个就是很经典的当年麦克锡帮爱马仕做的那套方案至于中央厨房相信大家已经比较有概念我们这里就不多展开鼎泰丰是从2000年代初就开始做中央厨房算是当时比较早的他的中央厨房其实执行的也是所谓的DPS不过是以一个工厂的规模和量级来执行的
[00:16:09] 我们看到那本书里面有个说法有点自吹自擂他说鼎泰峰是一个餐饮业的台积电这个比喻真的很好笑就感觉是什么什么类里面的爱马仕那种感觉但他应该想表达的就是中央厨房更像是一个按照精密制造业的要求来做出来的一个体系对的就是在他的中央厨房里面流程和流程之间人和机器之间都是要高度配合的而且呢就是一直要提不断的改进策略提升效率这个问题
[00:16:38] 现在除了像小笼包这种少数能够在门店提供观赏价值的产品之外顶台风其他大部分单品都是由中央厨房出品的或者至少做好半成品再送到门店去的这个也支撑了顶台风能往一些新兴的渠道发展比如说它可以去商超里面卖速冻的包子或者在便利店也可以卖甚至它可以到飞机上面去卖自己的包子这个都是当时其他品牌很难想象的一些新的渠道
[00:17:08] 除了实现中餐的标准化之外鼎泰峰还有一个比较厉害的地方就是他的服务其实也很厉害或者他服务也很有标准化当然他那个服务不是海底捞那种怼到你脸上的那种热情是一种相对比较妥贴的感觉是的如果说中餐标准化这个方面各个品牌最后找到的解决方案都差不多的话那么在服务方面这个差异就确实有点明显这里给大家举一个我从一篇博客里面看到的小例子
[00:17:36] 这个博客的作者是香港人他是去台北吃顶台风吃的时候呢在店外等了很长时间的位置结果发现叫号的这个机器啊在叫他那个号的时候用的是广东话然后叫下一个号的时候就改用日文了他觉得很震惊嘛然后他后来发现这个原因就是每位顾客在取号的时候这个接待员因为他懂很多国的语言他就可以在一两句话之间判断出这个顾客的常用语言是什么然后标注在这个系统里面
[00:18:03] 而且这个系统呢还能实现另外一个功能就是可以根据这个顾客的国籍自动调整这个上菜的顺序因为不同国家之间的饮食差异还是有一些的比如说欧美人可能会先喝汤然后日本人的这个炒饭要放在最后上等等这个系统本身我们先不说它有这个sense的话至少是一个真正的国际化的餐饮品牌才会想到的事情对吧对的那如果说关注国际呢可能主要是靠什么系统啊或者数字化来实现的一个服务能力没有什么特别的地方
[00:18:32] 那么还有很多服务呢就还是基于很传统的服务人员来提供的或者说来识别出来的像顶台风呢就会要求他的服务人员练出所谓的读心术和顺风耳然后来满足客人那些没有说出来或者说水面下的需求读心术顺风耳又是那种品牌书里面会提到那种很搞笑的比喻对其实就是靠训练嘛比如说顺风耳这个在顶台风的新人培训里面就有所谓专门的课程
[00:19:00] 你听到筷子掉落的声音就要直接拿起一双新筷子往这个声音的方向送过去然后如果这个声音出现在几个人服务的交界区域呢最好就是你几个人都马上拿起筷子送上去
[00:19:14] 至于读心术呢其实更多的就是所谓的观察力和同理心比如说一个客人他要施纸巾的时候呢你可以选择说直接给他一张施纸巾也可以多想一步说为什么他要施纸巾是为了擦什么比如说这个人是因为汤汁溅到身上想要施纸巾的话其实你可以再提供一支去字笔就可以很好地满足他的实际需求这个的确是一种恰如其分而且直指核心的一种服务啊
[00:19:40] 常见的连锁餐饮品牌要么它就是加大自主的比例减少服务量就不太说服务了要么它会把服务做成一个品牌最大的一个亮点这个和鼎泰峰的思路差距确实是比较大是的但是杨继华自己的说法就是服务不足是怠慢但是殷勤过头又会变成打扰所以做好这个平衡还是挺难的
[00:20:02] 那到这里我们再小结一下顶台风的几个核心竞争力在产品方面首先就是量化的操作流程和指标其次就是比门店服务能力更强的所谓中央厨房和供应链
[00:20:14] 那在服务方面呢就是通过各种各样的日常培训和技术手段来提升员工的服务意识和能力实现恰到好处的服务如果用一个词来概括就是又是鼎泰峰自创了叫SQP等一下这前面不是DPS吗这个SQP又是什么东西SQP其实是从另一个比较常用的说法叫SOP转变过来的SOP就是所谓的标准操作流程
[00:20:40] 前面我们讲小笼包的四步制作法其实也可以把它看作是一个SOP新手被扔到岗位上面只要你严格的按照SOP来做下来其实也做的大差不差之后就是一个熟练度的问题
[00:20:53] 但是鼎泰峰自己发现呢你如果遵守SOP来做事情有一个问题就是SOP其实是对过程负责而不是对结果负责当时出现过这么一件事情就是有一个客人在吃饭的时候就抱怨说鼎泰峰你们这个招牌产品圆中鸡汤就是一中小鸡汤不够热然后门店呢就说好我帮你重新换一种结果上来以后他还是觉得说不够热就说跟你们总店的那个温度不一样
[00:21:21] 那门店检查了一下发现说因为这个鸡汤原材料都是中央厨房准备好送来的其实没有什么差别SOP呢就是要求门店里面你再把这个送来的鸡汤再加热20分钟以后送上桌就行了然后他们也是严格执行的所以问题出在哪里呢最后就是发现是这个店的燃气管道的送气量不足同样是加热20分钟呢最后鸡汤达到的温度和总店会有一点差异那之后鼎泰峰就对这个SOP做了调整
[00:21:49] 他要求门店在上桌之前要用温度计量一下鸡汤你要达到85摄氏度才可以然后这就其实是把这个所谓的SOP转变成了一个对结果负责的SQP这个就其实是鼎泰峰一个不太一样的地方我们之前不是讲萨利亚吗萨利亚反而是更加坚持SOP的也就是说他只是注重这个过程而不注重这个结果他不是要求桌子上一定要
[00:22:15] 干净到什么程度而是要求你只要用这个抹布在桌子上从左到右来回擦四遍就可以了至于擦不干净这个结果它其实是不要求你的但是其实给顾客的感官或者说实际造成的这个效果上面确实是有点差别的那这两种制度到底哪个好其实见仁见智这是很显然的一个问题就是如果你要走顶台风这种SQP的模式你就得找一些更有责任心服务意识更强的员工这个其实成本就上去了
[00:22:43] 对这个其实也是不同的这个餐饮品牌它的价格或者说定位的区别来决定的
[00:22:51] 前面我们讲了非常多英文的缩写还有什么服务的流程化菜品的标准化等等的其实它都是为了一个连锁来服务的如果它不需要全球连锁的话它也不需要这些东西要不接下来岳老师就具体讲一讲鼎泰峰到底是怎么在全球扩张的以及扩张当中有些什么样的问题因为我们如果说前面讲的这些标准SQP什么的都能做到的话鼎泰峰现在应该已经是一个在全球风神的一个品牌了
[00:23:19] 而不是一个就是说大家对于他认识还可能有些分化的一个品牌那显然是在扩张过程中出现了一些问题前面我们讲的这些所谓的规则流程无非是想说鼎泰峰是自己想办法设计的一套尽可能完善而且是兼顾品质和稳定的方法论作为他之后连续扩张的一个基础
[00:23:40] 从这点来说它和肯德基麦当劳这种老牌的特许经营品牌也没什么差别但是如果说鼎泰峰之后出现的有些问题基本上也都是出在特许经营这个模式上说到这里我们还是要先介绍一下就是鼎泰峰在全球开店的一个基本模式
[00:23:56] 在这个大中华区呢他现在其实主要是直营或者是半直营的模式来拓展的也就是他自己来管这个店而在海外的话他主要会找特许经营商来合作那这种特许经营商呢一般分两种第一种是实力非常雄厚的一些企业比如说像面包新宇他其实是负责运营鼎泰丰在新加坡泰国和英国的一些门店的
[00:24:19] 另外呢他会找一些在当地能力很强的华裔比如说管理美国西雅图和波特兰门店的这个老板他叫David他是在台湾出生的在加盟鼎泰峰之前呢在英特尔工作了十年
[00:24:34] 另外还有一个澳洲的加盟商叫Danby他后来也闹出一些问题这位加盟商他之前是在甲骨文和美联证券都工作过的一位新加坡人其实在远的地方交给这种很有实力的合作商然后近的地方基本上搞直营这其实是比较合理的方式而且前面小老师提到这些特许经营的加盟商他这个buff也算是叠满了也不能找更好的了
[00:25:00] 但是即使找到这种最有可能理解你品牌理念实力也很强的加盟商也不能完全保证他们就能百分之百按照你这个总部设计的制度和理念长期运行下去这个中间一直会出现一些小的问题梁继华自己常举的一个例子就是鼎泰峰在2001年的事情
[00:25:19] 他当时在香港其实开过一家加盟的分店而且这家分店的这个合作股东方实力不俗刚开业的时候因为有顶台风这个品牌的光环生意也非常好但是结果很快总部就发现这家店水平下滑的很厉害经常会受到客人投诉比如说你上来的小笼包是破的炒饭是冷的等等然后再仔细看这个报表就会发现这个合作方当时太抠成本了他不愿意用好的食材也不愿意用高价格去招人就是跟总部理念差别很大
[00:25:49] 等到2007年双方这个合约到期以后顶潭峰局决定不再续约到2008年他直接换了一个他更信任的一个特许家门上也提高了整个团队在香港公司里面占过比例他原来在这个香港公司里面只占一成股份后来是超过50%这基本上就可以算直营了
[00:26:08] 然后呢在开业之前呢他还特别派出了30个人的台湾团队直接去香港这个店去协助然后才把香港这个门店重开起来据说当时来协助这个团队里面甚至包括了洗碗和打扫厕所的阿姨可以说是手把手在带了这个故事其实我觉得挺说明问题的就是虽然鼎泰峰已经把标准做得非常的好了但是你特许经营商交给别人来做的话他想要偷偷地降低一点的标准或者一点点的要求是非常容易的
[00:26:36] 而你品发方想要杜绝品质的下降就得付出非常多的努力一方面得找人品好能力强的合作方另一方面呢也得经常在现场巡店或者派一些人力去帮他们那这个的话这个成本其实就会高很多了再举个例子就是像面包新宇听起来是一个很合适的合作方对吧杨继华也吐槽过他说因为当时的面包新宇还是一家上市公司这个上市公司就要冲业绩
[00:27:03] 所以在很短的时间几年时间里面就开了很多很多店员工呢有时候来不及补充那每个店的服务水平就要打电折扣像澳洲前面提到那个加盟商丹比他后来是出现了一些问题他其实是因为业绩有一些波动然后呢他为了省成本然后就扣扣了一些员工的工资或者说非法用工的一些问题
[00:27:24] 他其实是面对业绩波动个体加盟商很容易出现的一个脆弱性的问题那他反映到具体的门店的行动上就更容易打折扣了我觉得脆弱这个点是蛮体现出鼎泰峰那个特点的就是他这套标准化的流程其实要求还蛮高的也蛮复杂的尤其刚才在服务上面举到的一些例子所以他一旦交到了加盟商的手里一些细微的变形都会影响他这个品牌的形象
[00:27:50] 其实如果资金规模够的话你全部都做直营和半直营就是最保险的嘛那像海底澳出海的时候其实就没有选择这个特许经营模式海底澳这块业务叫特海国际2022年底还在港交所独立上市了那我看一下这个报表它的业绩也不是说特别好看其实过去几年都是亏损的要到2022年的下半年才开始产生一点点净利润嘛那如果之前没有这个母公司一直给它输血的话怕是很难维持的
[00:28:18] 说明海底捞的张勇看了鼎泰峰的书之后也是吸取了一些经验教训换了另外一种做法但是这种做法其实也有难度我们回过头来再看看鼎泰峰的财务数字这些数字的话有些是杨继华自己在接受采访的时候说的不一定完全准确也不一定完全的更新很快但是大概能够反映一个情况
[00:28:43] 虽然说顶台风有一部分是从特许经营模式带来的这种加盟费或者说业绩分成这种比较来的比较快的钱照道理来说应该是一个利润比较高比较轻的模式听上去是这样子但是又由于它对于产品和服务品质这个要求很高
[00:28:59] 就导致说这个公司的利润率实际上是比较薄的按照杨继华自己当时接受采访一个说法是鼎泰峰的成本结构里面人工占比反而是最高的他达到了56%这个远远高于在台湾市场上面所有同行这个比别的餐饮的同行都要高很多是的包括说食材成本大概是35%因为他用的东西都还蛮好的所以这个部分也不低毛利其实也不高这两项加在一起其实
[00:29:27] 留给你的毛利空间只剩下10%了呀就是你再加上一些什么巡店产生的一些管理费用这个基本上扣到净利润就没什么东西了好吧其实像早年为了启动这个特许经营模式鼎泰峰也是做过一个很重要的事情就是他出售了高达45%的股权来筹集这个启动资金然后到了2021年呢有个事情就是这部分股权的股东
[00:29:52] 叫台聚集团想转手把这个顶台风的股份再出售的时候呢市场返回就不太乐观因为大家也看到这个成本结构非常的诡异是吧然后如果扣到净利润再算到股东分红的话可能都不如你把这个钱放在银行做定期存款赚得多
[00:30:08] 这个就是做餐饮的一个难处吧我们看当时投行给鼎泰峰做的估价非常的谨慎只有120亿元新台币
[00:30:19] 相当于多少我到30亿人民币对30亿人民币左右而且杨继华当时自己也明确表示过鼎泰峰不会上市我觉得一方面也就是他上市比较困难因为你这个股权你想要转让都比较困难你在公开市场上的话他这个股价有可能不是会很高而且他自己提的另外一个点就是他觉得目前的鼎泰峰成本结构是其他股东都不一定能够认可的也不一定能够进来以后能够遵守
[00:30:48] 他很怕就是跟古东方在这个事情上发生冲突他很想坚持这个部分我觉得他这个担忧是非常有道理讲完了鼎泰峰特许经营模式的一些优劣势我们就顺着这个话题来讲一讲鼎泰峰这个品牌的问题
[00:31:06] 我们之前不是讲过很多的那个餐饮品牌吗像蜜雪冰城啊萨利亚啊瑞幸啊Manner他们相对来说都是一个类型的或者他们有个特点就是说品牌的形象和定位特别的清晰对吧但是鼎泰峰的话在这方面其实一直有个问题我们前面也提到了一点就是消费者对鼎泰峰的期待啊和品牌本身的这个对自我的要求或者对自我的期待是不太一致的
[00:31:31] 那在讨论这些问题的时候呢我们还是从全球市场和中国市场两个层面来讨论这些问题全球市场的一个问题就是顶台风原本输出的是所谓稳定的标准化的带有中国色彩的一个餐饮的产品然后因为它出海又挺早的嘛那在外国人眼里面其实这个很新鲜的东西就是它跟他们原本接触到的中餐都很不一样是有很强的一个新鲜感而且有很高的接受度的
[00:31:58] 但是呢又因为它出海很早这个新鲜感呢就比较容易消失然后加上它之后全球开店我们前面也提到了一些问题嘛就它的稳定也不一定是一个优势的确啊就它一开始有可能是占了一个就是全球化中餐的一个先身吧或者是一个先手它这个菜品对这个外国人来说它有比较有新鲜感
[00:32:19] 然后它这个服务呢又达到了一个比较好的水平同时它如果全球开店如果你去每个地方的话感觉它这个标准都比较统一能够吃到一个非常稳定的高品质的这个登大雅之堂的中餐点心对吧这是一个比较独特的一个定位有稀缺性嗯对那像稀缺性这个问题呢我们待会儿再讲然后再先讲一个点就是因为这两年去海外留学的人或者工作的人其实变多了这个其实就会给全球化的一个
[00:32:48] 中餐品牌带来一个挑战就是这些人来吃你的时候其实是带着家乡的味道和家乡的味来吃你的他对于品牌正宗的这个挑战会变得更强就是在海外还是有蛮多的这个华人的这个顾客占比较大比例的对其实是占很大比的为什么当时去选择澳洲或者是美国像西雅图这种华人比较密集的地方去拓展其实就有很多当时这样的考虑
[00:33:14] 一个中餐品牌有可能走出去做的还是当地华人的生意为主
[00:33:42] 那我们前面还提到一个问题就是因为像海底捞这两年做出海也含得非常的猛它做的其实是标准化程度更高的一个产品对吧不光是海底捞各种各样的中餐品牌现在在海外都在做一些尝试包括说华人自己会去开店那相对于中餐这个领域它在海外竞争对手其实是越来越多的那不光是中国人可以享受到自己家乡味道那外国人同时
[00:34:08] 我的眼界也透宽了我也可以吃到各种各样的中餐那这个所谓的品牌稀缺性就没有那么强了感觉有点像一个老牌的然后占据一个比较独特位置的一个中餐品牌现在就是在海外就是卷它的这个不管是比它稍微定位低的还是比它定位更高的那种中餐店都越来越多了所以它有点被卷到了那种感觉原来只有几个人现在你变成了一个敏然众人的一个状态OK那这个可能是在全球市场的一些问题
[00:34:35] 我们回到中国市场因为中国市场还是顶台风目前比较重视的一块所以我们单独拿出来讲而且这个问题其实也更突出一点就是在中国市场上面做典型这个事情本身就是一个很艰难的事情因为典型就是一个竞争又很激烈的然后大家就是很卷的一个市场
[00:34:54] 那你能够做到低质高价的这些竞争对手其实是非常多的就是我们前面一开始提到我们公司附近两家小笼包店一家只要25一家人均157你到底会选哪家呢对吧就典型这个菜品这个类型在中国人的心目当中它本身的这个价格就是有一个天花板的对他不会觉得说应该是这么高的那如果说你要做到高价格呢消费者可能就会对你有更多的想象比如说
[00:35:22] 中国的消费者尤其在吃饭这件事情上他尤其有一个特点他其实不像西方消费者那么重视所谓正餐餐厅你要提供很好的服务比如说你要给我做餐酒搭配啊你要帮我提供更好的一些客制化的一些服务啊等等的他不太重视这个部分
[00:35:39] 他普遍觉得说你如果这个东西价格定的高你就应该直接表现为你给我的东西更好更好吃更正宗等等的那其实是这个方面的话顶台风所谓服务的优势就难以体现了而且他服务优势又是建立在所谓高人工成本这个结构上面那相当于把他整个原本的这个建立的一个体系和成本结构都给打破了
[00:36:00] 就是鼎泰丰的这个相对比较高的价格有很大一块是服务它是贵在服务上面的但是呢中国人对于这个高的价格他的感觉就是你应该食材比如说你要用什么很厉害的肉很厉害的蟹缝之类的这样的一个点上面
[00:36:16] 所以说我们可以想象一个中国的消费者走进顶台风他可能就没有太感受到这个服务的妥贴啊或者什么有温度恰恰好之类的他反而就觉得说我花了这么多钱你上来是一个很中庸或者很普通的产品那他自然就会产生一个很大的心理落差
