Vol.21 企业家纷纷卸任CEO，这个职位不香了？
[00:03:47] 至于他在董事会里边是什么样的职务以及他是不是大股东这个我们其实没有一个很明确的答案主要还是因为自己跳动的股权架构和管理架构因为不是上市公司所以都没有公开对吧我们刚才一共举到了七位企业家的例子除了头一位刘志平他不是公司的常规意义上的头号人物以外其他都是我们日常认知里边一个很大的公司的老板
[00:04:12] 或者说是头号的化石人但是他们的title都不太一样而且他们都放弃了CEO这个title而且我们看了一个统计就是说企业家这两年不想当CEO的情况已经非常多件了2019年的时候普华永道发布过一份就是针对大公司CEO更替情况的报告这个报告调查了全球最大的2500家上市公司结果发现到2018年的时候这些大公司的CEO离职率达到了历史新高有17.5%的CEO都不想再做了
[00:04:41] 还有一个现象就是说CEO的任期也在显著的变短在2000年的时候全球的CEO平均任期是8年以上到现在的话其实只有5年了相当于大公司常见的一个合同期做完了这些CEO不想再做了这个背后的原因到底是因为企业家们当CEO风险太大了还是说CEO这个职位本身价值不大了
[00:05:03] 还是说这个公司产生些什么样的变化了让他们都不去当CEO了我觉得这个其实是可以深入的讨论啊那我们这期节目的话我们想把刚才提到的很多的title好好的捋一下然后再看一看这些企业家不做CEO到底是什么原因
[00:05:19] 我们今天去讨论公司的时候本质上其实在讨论的是一个组织对一个组织来说的话它其实最重要的可能就是要保证三件事第一件事就是这个组织里面的所有人都要各司其职这个就涉及到定title的问题第二个就是这个公司要能做成事情就涉及到公司日常运作怎么做以及这个运作的钱从哪里来的问题第三个的话就是要减少这群人的内部矛盾就涉及到权力的制衡
[00:05:47] 可以说我们前面提到所有的公司title都是围绕这三件事展开的现在就进入第一个title也是最简单的一个就是公司创始人这个就相当于是和公司这个组织同时出现的一个人物就没有创始人就没有这个公司对吧
[00:06:01] 我们很多公司等他们这个飞黄腾达了或者做大了之后我们也会去看这个公司的发展史去看看到底谁创办了这个公司很常见的一个共识就会觉得这个创始人是功劳最大的但其实这个公司创始人他并不是一个公司的正式的一个职位或者一个身份也不一定说创始人就是这个公司说了算的人他有可能在中途被踢出这个公司比如说Uber的创始人对吧还有WeWork的创始人对吧
[00:06:27] 就说白了创始人对公司这个影响力还是要通过现代公司的这个种种的职位和身份来确定的创始人的话也有可能不是一个人有些公司的话也会给那些中途加入公司但是比如说给公司做了很大贡献的人一个title叫做联合创始人当然这个也是一个非正式的一个职位那么从创始人出发的话就很容易联想到第二个title就是合伙人就那个中国合伙人的合伙人对吧
[00:06:55] 当然合伙人这个词如果有究其原意的话其实就涉及到公司建立之初最主要的问题就这个钱从哪里来比较传统的创业的话其实就是几个创始人自己凑一点钱我们来一起开个公司对吧这个时候的话这几个创始人的话就成了这家公司的股东他们是一种合伙制来开公司的中国人最早认识到公司这个概念其实是
[00:07:20] 已经在1838年9月份的时候那个时候大概是清朝道光年间他有发行了一本叫做东西洋每月统计部这个名字听上去好像是像一本公司内部的账簿但是它其实是一本杂志这是一本向中国人介绍当时西方各类新闻一些理念的一本杂志
[00:07:40] 这个杂志上面有一篇文章他的作者是一个德国传教士叫郭石拉他的中文名啊他当时就是给大家解释西方的公司是什么他要把这个一套理念都翻译成中文他当时把公司的中文名就翻译成公班牙公班牙大家想象就是company的音译然后他的对公司的解释的话他其实举了一个例子就是葡萄牙人最早大家一起凑钱来买一艘更大的船这样子的话在海上可以抵御更大的风浪做更大的生意
[00:08:08] 他从这个案例出发的话他把公司概述为一句话叫做群商捐款储本前共同做生意其实很容易理解对吧可能是因为这个势力过于直接了当了就是中国人到现在其实还是比较认同或者比较熟悉这种非常直观的公司自己的结构也就是所谓的股东会中心制度但是在欧美呢其实很快就演化出了一种带有制衡功能的一套公司体系也就是董事会中心制度
[00:08:37] 这个就是一个特别复杂的事情股东会中心制度和董事会中心制度这个是我们之后要讲的两个大的方向我们先把合伙人这个title的介绍说个尾巴就说现在的公司的话很少是以合伙制来设立的了但是有一个特例就是在私募基金里面这种情况会比较常见因为私募基金大家想一下它的本质是什么本质就是先把大家的钱都挤在一起然后再找人来把这些钱投出去对吧
[00:09:04] 这个里面也存在着一些
[00:09:33] 但是阿里巴巴的合伙人制度跟我们刚才讲的原始意义上的合伙人其实不一样它不涉及到说合伙人我是出了很多钱的更多的其实是一个一起做生意的概念其实它合伙人更像是一个身份或者说是一个名分用合伙人这个方式是吸纳了很多非常符合阿里价值观的一些公司的高管
[00:09:55] 听上去是一个有点虚的职位的但是实际上在阿里的话这些合伙人的权利非常大他们可以参与提名公司的总事并且决定整个管理层的奖金该怎么发这其实是一个非常颠覆传统公司治理体系的思路所以说阿里巴巴在上市之前因为这个合伙人制度以及同股不同权之类的问题的话争议非常大
[00:10:17] 确实啊就是阿里巴巴还是一个非常特殊的一个公司我们这边就先放一放还是要看一看比较常规的公司的治理架构然后那些title到底是什么意思我们前面聊了这么多其实只讲了两个相对简单的title一个是合伙人一个是创始人对吧但是剩下的公司职位的话其实基本上都可以分为两类一类是跟股东会有关的title一类是跟董事会有关的title还有一个比较独立的是法人代表这个我们待会会提到一点
[00:10:46] 我们先讲跟股东相关的一个概念就是公司运转总会需要钱对吧那除了创始人还有合伙人一开始的时候往这个公司里面住的这些钱以外你很多时候也是要从外面找钱这个就是在创业公司里面非常常见的融资这个事情我们自己去买房买车的时候有时候也会向银行贷款或者如果你情况糟糕一点你可能日常会跟小贷公司去借钱买P2P对吧
[00:11:11] 这些其实都是债务融资你本质上只是欠了银行或者小贷公司的债但是公司的融资除了说问银行借钱或者自己有一些其他的发债的融资以外还有一种融资方式叫股权融资
[00:11:26] 也就是说给钱的人希望拿这些钱变成这家公司的股东然后当他想了解这个公司运营状况的时候这些合伙人啊创始人啊就要加上他一起开一个股东会其实很好理解啊就比如说一个公司上市了到了证券市场上面对吧开始卖股票了那就会吸纳很多一些机构投资者或者说是一些散户股民对吧那这个散户股民还有机构投资者都是他的股东这个股东会整个的规模其实就变得非常大
[00:11:55] 比如说很出名的这个茅台他开的这个股东大会就变得目的不是那么单纯的一个股东大会了对吧股东大会的话他的权利就是可以通过投票决定公司的一些事项一般情况下持股比例越高的人在投票当中的话语权也越大也就是说为什么大家都在优质公司里面去争夺去当他的大股东本质上就是要争这个话语权
[00:12:19] 在大多数公司里面像刚才约老师讲的你的股份的比例和你的这个话语权是对等的也就是所谓的同股同权对吧但是从阿里巴巴开始又是阿里巴巴对就是在美股和港股现在越来越多的出现了一些上市公司它是同股不同权的我们举一个简单的一个同股不同权的这个例子大家就可以理解了就是它会把自己的公司的股票分成A类和B类两类
[00:12:48] 然后A类呢就是比较普通的一些股票就面向公开市场的投资者他比如说你一股就有一股的这个投票的权限但是B类的股票呢他一股同样你花10块钱但你可以获得的有可能是100块钱甚至是几百块钱的这样投票的这个权限这些B股主要就是留给这些上市公司的管理层的很多时候就是给创始人的这个时候我们就可以再聊聊前面提到黄峥了
[00:13:15] 黄峥的话之前是拼多多的董事长也是大股东之一他在现任之前在公司的持股比例是29.4%但是因为他有一个超级投票权他这个29.4的持股可以获得的实际投票权是80.7%显然很不对等对吧
[00:13:34] 拼多多的第二大股东是谁呢是腾讯腾讯当时在拼多多里面的持股比例是16.5%但是他的投票权有多少呢他投票权其实只有3.4%这个又显得很不平等这个就是一个标准的同股不同权的方案
[00:13:49] 说穿了就是有些创业公司他想要保住或者是强化自己创始的管理团队的话语钱但是又需要钱那么就跟外面这些进来的股东说你可以投钱你也可以享受同等的股份带来的利益但是决策权还是要在我这边所以他们就想出了这样一个方式
[00:14:09] 前面说到就是说股东可以通过投票决定公司的一些事情里面有些事情就包括是董事会的组成名单是可以由股东来决定的在欧美的公司治理思路下董事会其实才是整个公司的最高权力机关董事会可以决定公司日常运行的几乎所有重大事项但是中国的公司治理思路不是完全是按照这个模式来走的这个我们在节目最后会提到
[00:14:35] 我们先来说说董事会这件事情其实有股东对吧然后决定一个小范围的董事会这个概念就有点像代议制一样对吧如果从一个政治学的概念上面来说的话就是由一群更懂怎么管公司的人来代替可能什么都不懂的股民或者机构投资者来管理这个公司那么董事会这个机构里面呢一般会分两种职务一种是董事一种是董事长我们先说董事长英文就是chairman
[00:15:02] 董事长和董事局主席还有董事会主席都是完全一样的title只不过是叫法不一样在日本韩国这个title叫做会长如果大家去看过像什么罗斯福游戏之类的日剧的话可能会对这个职位印象比较深刻这个职位的话是由董事会选出来的一个公司最高管理者他拥有两个权利
[00:15:24] 一个是召开董事会一个叫罢免CEO但是呢这个董事长理论上是可以不用负责具体事务只用负责决策重要事务的
[00:15:34] 在中国的公司法里面其实是有很明确的这个规定的就是董事长实际只做两件事情一个是当公司的法定代表人另外一个就是刚才讲到的召集董事会来开会也就是说他这两个工作其实更像是一个议长的身份他并不是说我实际的权利要比别的董事要大很多对他只是帮忙在做两件事情而已他在整个董事会里面的
[00:16:00] 这个就是这个公司的内部董事如果是跟这些公司没有关系的学者或者是外部的企业家来这个公司里面当董事他们就相当于是这个公司的外部董事
[00:16:28] 在整个董事会里面不管你是内部董事外部董事董事长还是普通董事大家都是合一形式而且是标准的一人一票制度以集体决策的形式对外给出这个公司该怎么运行的一个指示这个一人一票其实对应了前面讲到同股同权因为不同持股比例的大股东他能推荐的或者说是举荐的一些董事的名额其实也是有不同的最后就对应在董事会里面的投票
[00:16:56] 当然我们前面提到就是说董事会是公司的最高权力机关它可以以集体决策形式对外给出公司该怎么做的一个方向但是比如说这些董事和真正做的事之间的话还需要有人去执行这个就是企业里面最常见的高管打工人比如说像CEO总裁总经理都是这种高管打工人
[00:17:18] 这些title的话其实在本世纪初在国内还是很火的就是所谓的职业经理人这个概念对吧还有个说法叫打工皇帝对从这个人才的这个特点上面来说的话相比于公司的创始人他们可能不是那种就是创新能力或者突破性上面特别强的那种人对吧但他们可能很擅长于管理好一家公司甚至是具有跨行业管理好多个大公司的这些能力
[00:17:44] 就是说在现代公司制度发展早期的话董事会其实直接委派的是总裁来负责公司具体的运作总裁的话他的英文叫president从这个名字就很好理解他的日常的权力范围有多大就按照最早的这个概念来说其实有了总裁就不用受什么CEO或者总经理对吧因为他们其实都是一个概念
[00:18:05] 但是大公司的问题往往就出在这边就是你这个公司有可能业务实在是太繁重了或者涉及的方面实在是太多了一个人忙不过来或者是就是说公司内部互相的一些权力斗争比较多那么就一定要再设一个其实权责有点类似的一个职务来形成一个制衡所以就会出现在公司里面除了总裁以外还有CEO也就是首席执行官这样一个职务
[00:18:32] CEO和总裁职务分离其实不是一个特别新的事情这个是1950到1960年代的美国公司才率先开始试点的其中一个比较典型的案例的话是福特汽车的案例大家都知道福特是一个家族企业对吧都是这个福特家的人来管的但当时呢福特的这个家族的化石人就是福特三世他邀请了一位外面的职业经理人就是号称这个蓝雪时节之首的这个迈克马达曼
[00:19:00] 他来担任这个福特汽车的总裁这个迈克马达曼呢他也成为了福特汽车历史上第一位就是没有福特家族血统的这个总裁president但是呢就是我请了这外面的人来管我又不想完全的放弃这个行政的管理权所以呢这福特三世他就自己改称自己为CEO了
[00:19:20] 这样就形成了和麦克马达曼这个双头统治的这样一个概念双头统治总归听上去不是一个很好的事情所以说欧美公司的话就开始想要相对明确的把总裁和CEO这两个抬头区分开来他们就从执行权的这个概念入手把它分成了重大的执行权和非重大执行权的两个方向重大执行权包括哪些比如说一些重大的人事任命公司的大政方针以及规模比较大的投资这些都是重大执行权的范畴
[00:19:49] 这个部分由CEO来掌控然后还有一些一般的人事任命或者一般的行政规则还有一般规模的投资的话就属于日常的执行权变成总裁来管换句话说如果CEO是一个国家总理的话那么总裁就变成了管理日常工作的第一副总理
[00:20:07] 那这边大家可以发现啊就是原来这个总裁的权利是最大的在这个所有的这个高管里面但是后来出现了CEO然后两边制衡来制衡去反正现在的结果就是总裁这个职位反而是弱于CEO或者在他下面了我们在节目开头的马化腾和刘志平身上就可以很明显的发现这个差异啊就是马化腾是腾讯的CEO也就是腾讯的一号人物对吧
[00:20:33] 刘志平只能是腾讯的总裁是二号人物接下来的张小龙任于新汤道生之类的人都只能是高级副总裁那么就是比总裁又低了一点而在中国的这个公司法当中其实还没有规定那么细的title他只提到了一个总经理这一项那其实就相当于传统的这个总裁或者说是CEO这个概念了
[00:20:55] 经过了前面这么漫长的解释和辩析的话现在我们终于可以按照一个委托的路径还有说权力的大小来给这些公司的职位稍稍排下去首先的话是一个创始人他去创立一家公司如果这家公司是合伙制的话他就是一个合伙人对吧其次就是说这个公司的话有一些为他出资的人这些人叫做股东这些股东的话可以是公司自己人也可以是外部的机构或者是股民
[00:21:23] 这个股东其实最重要的不是说不完全是股权还有说是他背后的投票权股东的话可以委任一个董事会来管理公司董事会里面的话权责最大是理论上是董事长董事长要兼任公司的法定代表人但是就说董事会本身的话是一个一人一票的合一制模式然后它是一个集体决策的机构董事会会委任公司日常运营的一些高管
[00:21:49] 然后这个逻辑关系非常清楚的一个组织架构
[00:22:17] 或者说是一个谱系当然我们前面讨论的过程当中
[00:22:37] 就是这些公司职位的名称这么复杂的话
[00:23:00] 一个公司里面身兼多职的情况非常多非常极端的话可能正说明这个公司要么是一个起步阶段一个人要做很多事的一个状态要么就是说这个公司有意无意的不太重视内部的制衡关系有可能是高管烟糖说到这边其实我们就可以回过头来看一看最早提到那个关于CEO的问题了
[00:23:20] 虽然这个title是我们经常提到的好像感觉是公司的最高的一个职位但是它在整个一个公司的管理体系里面理论上并不是最高的或者说最重要的那么回答我们一开始问的问题就是为什么越来越多的这些公司的这些企业家他要卸任CEO这个职位
[00:23:39] 一个比较明确的解释就是他希望能够摆脱CEO这个职位背后一些比较繁重的一线的管理的工作但是我还是要保留对这个公司的控制权我们举一个贝佐斯的例子贝佐斯之前宣布卸任亚马逊的CEO的时候他在公开信里是这么说的亚马逊的CEO是一项沉重的责任非常消耗自己的时间和精力当你需要承担这样的责任时候很难把注意力放在其他事情上
[00:24:07] 那很多人看了这句话就觉得说贝佐斯是不是不当亚马逊的CEO就要去专心去做太空生意去搞蓝色起源了那其实贝佐斯也表示过就是说他卸任亚马逊的CEO以后仍然会参加重要事项的决策这个其实就是他作为亚马逊董事长那个工作了贝佐斯刚刚这个话其实就很有意思了就他说还是会参与亚马逊的重要决策那么在具体的运行当中什么决策算是重要的决策呢那这个参与有参与到什么样的程度
[00:24:36] 其实就是一个比较微妙的事情了我们举个很简单的例子就是有些时候企业家如果只卸任CEO不卸任其他职务的话对于新的CEO会形成很大的压力因为这个新的CEO一旦想做一些转型或者是变化的一些决定的话落地的话阻力就会很大
[00:24:53] 如果说企业家的参与是很深度的参与甚至参与一些具体经营的决策比如说这个产品是不是要上线或者说一些分管业务的副总裁还要向创始人汇报而不是向CEO汇报的话新任的CEO很容易就被架空了刚才其实讲到了一个非常重要的概念就是汇报线这个我们不具体讨论但是就稍微再说明一下
[00:25:14] 就是如果按照常理的话很多高级副总裁甚至是有些副总裁你应该是直接向这个CEO来汇报的如果你现任这个职务他们应该就不用向你汇报了但如果你这个创始人现任之后还是保留原来的那个汇报线的话那你其实跟不现任就没有什么太大的区别了也就起不到说什么脱离繁重的一线管理岗位关注重大的决策
[00:25:43] 里面有一组很有意思的数据就是说类似贝佐斯这种长期在一个公司任职突然卸任CEO的情况下继任他的CEO平均的任期只有5.3年这个相当于前任CEO的三分之一继任者的年均股东回报率也会少4%相当于就是说继任CEO的话很难做得比前任CEO更好甚至很有可能是更差的
[00:26:06] 我们前面提到过董事会是公司最高的权力机关当时也留了一个话头就是说在很多中国的公司来说并不一定是这样的比如说中国的公司法就规定虽然将公司的大部分权力是交给了董事会但是股东也会保留一部分的权力比如说一些特别重大的资产交易就必须要经过股东会的一个审查这个里面有一个判断的问题就是因为董事的话都是股东委任的
[00:26:35] 这些董事到底是在这些股东的信赖之下展现自己的专业能力还是单纯作为股东的手臂或者是喉舌来说的话这个其实就是一个很难判断的事情如果一个董事会里面充斥着为股东说话的董事的话那么公司实际上的最高权力机关大家想想其实就是股东会董事会会变成一个民意上的中间层没有什么用当然我们并不是说这种情况就不好但是它确实是比较常见的尤其是在那些股权比较集中的一些公司里面
[00:27:04] 比如说有一些创业公司对吧有一些那个机构我投了你很多钱占的比例是特别大的那这种情况下这个董事往往就是代表这个投资你的这个大股东来说话的那在这种情况下其实就是刚才袁老师讲到的董事会跟股东会其实这个概念就差不了太多了这个时候我们就要站在公司创始人的角度再想想如果你作为一个公司的创始人你想想到公司未来会被一些
[00:27:30] 想把很多的股东来控制而不是说有一个专业的董事会来控制的话这个时候你该怎么做你可能会选择一条路就是把这些奇怪这些没有什么意义的制衡关系通通都忘掉然后自己专心来当一个拥有绝对投票权的大股东然后把一系列的title都掌握在自己手里对吧
[00:27:50] 那么只要保住这个投票权的这个底线
[00:28:18] 他这个划时权的问题不是很大这也就说明了就是为什么这些企业家都是从CEO来卸任的因为CEO确实是这一大堆title里面决策范围最小的一个title这其实也是为什么我们国家这个监管机构近年来特别强调或者倾向于去做那个所谓的穿透式的监管比如说你这个公司出了问题要追究一些法律责任的时候我不是只找你这个title上的董事会的这个一些职位的人而是要找这个公司的实际控制人
[00:28:44] 这也是一个非常符合我们现在中国很多公司实际情况的一个做法就是你要找那个真正的话事人对吧你要穿透到股东这个层面而不是只能仅仅停留在董事会这个层面前面讲了这么多的话大家就可以发现我们今天讨论了这么多公司高管的title背后本质上是不同的社会或者不同的文化对于组织权利责任这些概念的不同理解
[00:29:09] 严复在翻译孟德斯鳩的著作《论法的精神》的时候也发现了这一点我们希望将严复的这段话作为本期节目的结尾但因为是文言文我们非常怕读错所以说我们请Google来替我们读一遍当然这段话我们也会放在show notes里
[00:29:24] 欧美商业公司其制度之美备待无异议民主此自已生于立宪民主国取则不远之故专制君主之民本无平等观念故公私之治中国更古无知无名皆默然无所见而必待为上之人为之发纵指事也者故比西人则以我为天父或侄之民夫以天父或侄之民而成就不过如是则其所以然之故必不在商之能事也名矣
[00:29:54] 我们稍微理解一下这段话其实严复说的就是19世纪末中西方在经济成就上有这么巨大的差别背后有比这个商业形态或者说公司形态本身更为深刻的一些制度性的一些根源问题考虑到他身处这个时代以及对公司的概念的这个认识这其实是一个挺一针见血的一个判断了有什么样的社会土壤就会诞生什么样的公司企业家和管理者商业就是这样
[00:30:27] 感谢收听这一期的商业
