Vol.92 红牛的体育之路，从营销到专业玩家
[00:03:29] 就是在1990年代许书彪也希望红牛能够进入中国内地市场嘛后来他就和一家叫华彬集团的中国公司合作再拉了一些有本地资源的国企啊等等的一些企业就成立了一个合资公司也就是我们现在说的中国红牛然后这个许书彪自己的那个公司叫泰国天思他是通过授权给中国红牛这个合资公司在中国内地市场使用这个商标的这样一个合作的方式来销售红牛饮料的
[00:03:59] 其实我们国内平常喝到的那种就是金罐的红牛啊就上面写着维生素功能饮料就是中国红牛生产的产品在实际运营当中呢其实中国的业务基本上都是华滨的这个所管理的这个合资公司来实际控制的泰国天思那边其实是不管的就这样过了十几年的经营这个金罐的红牛就成为了中国功能饮料界这个毫无疑问的领先者了但是到了2012年啊许书彪就去世了然后他的继承者许星雄
[00:04:27] 就开始围绕着这个商标的授权问题跟中国红牛打官司了其实就是有点想要自己来吃这个蛋糕了然后国内也开始出现了泰国天思另外起家来生产的这个红牛也是一个金冠的但是上面写的是维生素风味饮料这个其实就有点类似于王老吉和加多宝的故事而且这个官司据说到现在还没有掰扯清楚对于红牛在中国业绩影响也不小而且很多别的竞争者也冒出来了
[00:04:55] 对的当然今天我们的故事的主要内容不是关于这些而且他们也跟奥地利红牛关系不大其实现在奥地利红牛在内地也会有一些销售啊大家有可能会看到就是一个蓝白相间的一个比较细长的铝罐的那个就是奥地利红牛在这个奥地利红牛这边呢就双方这个合作方之间的生意也没有那么多的止于然后马特希茨呢也一直掌控着全局在1983年和许志彪成立这个红牛公司之后呢马特希茨本人啊是对这个产品
[00:05:24] 和对这个品牌做了几个标志性的改变的第一个呢就是提升了这个饮料里面咖啡因的含量第二个呢是在欧洲销售的时候把它变成碳酸饮料第三个呢就是把这个红牛名字它原来是一个泰文的音译啊改成了非常简单的Red Bull第四个呢就是彻底的改变了产品的定位把它变成了一个每罐两美元的一个非常高价的饮料而不是给工人啊或者卡车司机用的那种平民的饮料了
[00:05:52] 可以说这四个改变定义了之后红牛在欧洲乃至于全世界的一个发展基调也是马特希茨第一个有颠覆性的地方就是说它实际上是定义了这个市场没错那此前欧洲其实是没有功能饮料这个东西的是马特希茨把它定义成了一个所谓有神奇的功效可以提升你的这个各方面表现的一个高端产品那这个呢就和货架上的可乐啊雪碧啊区分开来了
[00:06:19] 而且它的价格也可以跟它区分开来它这个两美元一罐的话相当于当地的可乐的可能两三倍了这就使得红牛呢一开始就变成一个毛利率极高的一个产品因为它的产品本身的成分非常简单啊就是牛黄酸咖啡因然后有一些这个气泡水一些糖水据说这个成本只有20美分这个20美分进两美元出相当于毛利润有900%没错
[00:06:47] 当然还没有算上罐头的成本啊但仍然是一个非常可怕的一个毛利润率这就意味着只要红牛能够卖得动它就是一个非常非常赚钱的一个商业模式那按照这个逻辑下去想必红牛很快就会面临一个统治化竞争的问题嘛因为它的配方就像你说的很简单而且是一个比较公开的配方嘛而且它也不是特别讲究口味不太像可乐有一个所谓牢不可破的味觉机所以别的商家肯定也会想来分这边的
[00:07:16] 对的就如果你这个饮料卖的不成功那也没人管你对吧如果你卖的很成功就肯定会有人想来竞争其实这种情况是非常常见的比如在美国红牛是1997年进入的吧那它拓荒了这个市场之后没几年就冒出了很多的竞争对手像Monster这样的品牌啊现在的这个市场份额已经是不输红牛的了但是呢在整个全球来看红牛在功能饮料这个市场
[00:07:41] 它的整个的份额还是有一个非常高的地位基本上都是数一数二的等于它同时实现了三个目标就是高价格高销量然后产品本身的却又没有绝对的竞争优势所以说现在的问题就变成了它到底是怎么做到这件事情的
[00:08:00] 其实答案也很简单就是和所有的高端品牌一样红牛是通过非常高质量的品牌的叙事用讲故事的方式支撑起了这个非常高的产品的溢价关于品牌营销马德西茨有一个非常经典的理论就是不要把产品带给消费者而要把消费者带给产品意思就是说不要单靠渠道价格这些工具来卖东西而是要靠讲故事所以我们还是从品牌讲起了没错
[00:08:29] 但是如果我们看红牛的这个营销历史啊那初期的营销没有我们刚才讲的那么fancy甚至是有点怎么说呢并不是很入流有点擦边球的方式吧在1980年代末呢红牛的这个冷启动其实就是它的销售员把一箱箱的红牛送到地中海沿岸的那种音乐节啊party啊夜店里边和现在卖那种鸡尾酒的公司其实差不多嗯就是要跟所谓的夜生活绑定了对只有在夜生活的时候你才需要让自己兴奋起来对吧
[00:08:58] 然后逐渐的就会有一些微妙的传言传出来说这种饮料能让人嗨起来还有说它有壮阳的功效甚至有的传言把它跟一些毒品等等都联系在一起了而且由于它没有酒精所以未成年人也是可以买也能喝的所以这个事情就引发了很多的舆论争议我们看到说西班牙就有媒体报道说这个产品有很大的安全隐患大家都不要去喝我们要抵制它然后红牛对此的态度就是
[00:09:27] 放任留言传播相当于我不承认也不否认你尽管来猜了对的马特希斯后来接受彭博商业周刊采访的时候就很得意地承认说这就是他早期的营销策略就是让这个产品变得引人好奇他说这种矛盾的心理非常重要对一个品牌来说最危险的就是人们对他不感兴趣所以他宁愿要用这种有点擦边球的这种品牌形象就是黑红也是红嘛对吧这种概念让这个红牛这个产品的名声
[00:09:55] 现在核心的消费者当中打响
[00:09:57] 当然在这个过程当中啊他还是逐渐建立起了一个红牛的核心的客群或者说是一个品牌的个性吧就是所谓的年轻啊敢于突破啊包括他那个经典的广告语叫做红牛给你翅膀嘛那顺着这个思路呢红牛才开始后面一些赖以臣民的营销手段就是赞助各种各样的体育赛事和运动员尤其是一些小众的极限运动关于这个部分其实可能有些听众已经觉得耳熟能详了
[00:10:25] 因为你去看红牛的企业历史里面最常见的一个词就是first红牛每进入一个新的体育项目都是所谓的first比如说第一次越野跑第一次代议飞行第一次F1冠军还有什么红牛旗下的rapper打破freestyle的世界纪录之类的那么在这么多的first当中呢还夹杂了一些类似于什么红牛卖了累计10亿罐啦推出无糖产品之类的消息啊这个只能说是点缀其中
[00:10:52] 真的是点缀就包括他们那种什么rapper打破了freestyle世界纪录这种first反正你去看那个官网的那个洪流历史就蛮好笑的有很多很有趣的东西会打开你对于体育项目和娱乐活动的一些眼界
[00:11:06] 接下来我们就稍微展开讲一下红牛的体育营销顺便我觉得也要稍微修正一个关于红牛的常见论断就是说红牛的体育营销策略是所谓的广撒网乍一看数字的话好像确实是有点广撒网的意思因为根据红牛官网的数据截至2021年底它赞助了全球160多个国家和地区100多个项目的700多名运动员
[00:11:32] 它每年赞助的活动是超过了1250场也就是每天都会有三到四场活动有红牛的影子出现但是如果你仔细看的话就会发现广杂网只是表面首先红牛虽然广泛的赞助比赛和运动员很多时候也不太求回报不会在赛事里面硬堆红牛的饮料但是你去看在最最高潮的比赛的部分你一定可以看到红牛的logo
[00:11:59] 比如说那个益庄飞行员从悬崖上面跳下来打开那个益庄的翅膀的时候你就可以在那个背面一定可以看到红牛或者是这个越野摩托车的这个选手飞过一个很大的坡的时候就飞起来这种慢镜头要回放的精彩瞬间啊总归能够看到红牛的logo但是别的地方的露出呢他就不是那么在意了等于他是非常在意自己广告位的位置在哪里对在意那个最精确的效果其次呢就是他涉及的运动看上去是很多对吧
[00:12:27] 但是他投入核心资源的总是在这些运动的最顶尖的比赛最顶尖的运动员上面这个是很集中的举个例子红牛最出名的一个活动就是在2012年的时候和极限的跳伞运动员鲍姆加特纳合作了一个从大气层边缘跳伞跳下来实现了超音速跳伞的一个壮举他在YouTube上面直播的收看人数是超过800万人次然后累积的播放量到现在为止已经超过10亿次了
[00:12:54] 这些数字都是现在已经被写进广告业的一个经典案例了嘛但是这些数字的背后是什么就是红牛其实从1996年就开始和鲍姆加特纳合作了赞助了他各种非常不要命的跳伞表演比如说什么从里约热内卢的那个巨大的雕像的那个手臂上面跳下来之类的然后为了2012年这个项目呢红牛又和鲍姆加特纳投入了五年三百个人的团队最后才有了这样一个非常著名的一个世界影像的活动
[00:13:21] 也就是说对于真正数一数二的体育明星红牛其实是会长期投入的对 他们不仅投入的是时间 金钱还有会很多的怎么说 感情吧红牛在签约这些明星运动员的时候经常会不拘小节不会搞得很像商务谈判甚至有的时候据说不会有很具体的合同像彭博商业周刊就报道了冲浪运动界的这样一个明星叫罗比奈什他当时跟红牛签约的时候就是和马特希茨本人亲自来谈的
[00:13:49] 他们这个商务的部分刚刚聊到一半马特希斯就发现对方也很喜欢跑车然后就把他拉起来说我们不聊了带你去试驾我新的法拉利然后就把这个车开到山里边开了一圈之后就把车停在路上中说现在你把这个车开回去然后耐时就说这个车一百万美元我不太敢开怕撞坏了马特希斯说你要么开回去要么自己走回去听上去很像段子但是他也很好说明了红牛在做体育营销的时候的一个重要基础是马特希斯本人
[00:14:18] 非常热衷于这些事情就像我们之前提到那个Patagonia的创始人一样这样有可能说更有助于明星和红牛之间增进感情有更深的关系对当然这种非常深的感情联系呢对红牛也是有很大的帮助的就是双方啊经常签的不是一个那种权益非常清晰的代言合同所以两者之间的关系更像是互助伙伴或者按照红牛自己的说法像是家人比如说红牛会免费的提供一些训练的条件或者场地
[00:14:47] 冬天你要滑雪给你提供个地方然后你要冲浪等等的这些都不是在约定在合同里面的然后呢运动员用这些场地的时候呢也不介意自己拍一些日常的视频在照片里面露出红牛了等于是一个互惠互利的嘛而另外一方面呢红牛也会让不同运动的这个明星啊他们互相串台搞一些跨界的活动做一些世界营销那这种事情呢其实运动员也就是额外的帮忙的不会是一个在写在合同里的事情
[00:15:14] 但是这种额外的方忙经常效果就会很好呀对就比如说红牛曾经搞过什么F1的车手和橄榄球运动员比赛这种你就是乍一听都不知道在比什么东西的这种开脑洞的企划一旦看到这种都不知道在干什么的东西一般来说就很容易变成热点对而且一听就知道是红牛搞出来的事情对吧就是所谓我给你们翅膀你们也都是我的翅膀
[00:15:37] 那我们刚才讲的呢其实主要是红牛和运动员和赛事之间的这个营销的关系就是在广撒网的背后其实是重点的把握另外一个非常重要的红牛体育营销的点就是它的media house就是媒体工作室这是一个单独的公司它是负责把红牛相关的这个运动啊娱乐活动这些内容都制作成杂志视频直播信号综艺节目纪录片甚至电影然后在各个媒体上分发
[00:16:06] 过去打开体育频道尤其是在非黄金时间段有可能能看到那种意志的所谓叫红牛运动世界的节目这个其实就是红牛自己做的没错那红牛做运动内容的这个能力可能是全球数一数二的这也是我觉得它在广撒网的背后其实是一个非常注重效果或者非常注重效率的一个公司虽然这些比赛的内容的这个版权收入和那些大型赛事相比相差很远但是红牛都坚持自己的比赛来自己制作内容
[00:16:35] 这一点就确保了它整个一个品牌的调性其实是很重要的现在红牛还有自己的APP所有这些内容都可以在这个APP上免费看到如果没有这些红牛精心制作的内容的话很多营销其实就很难产生很大的影响力举一个侧面的例子来佐证一下前面不是说到帮我们加特纳那个超音速的一跳吗其实两年后另外一位极限运动家就打破了他的记录而这位运动家还是Google的一个计算机的科学家其实也蛮有名的
[00:17:04] 有人记得过这个事情吗大家都不知道这个事对吧我们只记得Bomb加他的这个名字其实这个就是因为红牛在这个一跳以外他做了非常非常多的营销包括YouTube吧包括很多电视啊新闻的报道都已经铺垫好的之后使得他这个事情本身的这个戏剧性得到了一个最大的一个放大关于红牛的媒体内容最后还有一个点要提就是红牛不只是做体育内容
[00:17:28] 他在1997年进入美国之后还涉猎了很多音乐相关内容包括一些嘻哈歌手制作唱片或者赞助音乐界这部分其实是一直在强化的这好像跟他最早受众群体和营销场景还是比较贴切的没错没错
[00:17:46] 刚才呢我们主要讲的是红牛到底怎么做体育营销的但如果仅仅是赞助赛事或者赞助很酷的赛事然后制作出好的内容的话那红牛其实和其他一些以讲故事为本的公司都差不多比如说耐克你前面提到鲍姆加特纳的时候我就一直在想耐克目前跟基普乔哥的关系好像也是这个状态吧对耐克跟基普乔哥那个马拉松的那个记录就跟鲍姆加特纳非常像
[00:18:11] 当然能够做到讲好故事这一点并且支撑起一个超高毛利率的产品来畅销已经很厉害了但是我觉得红牛真正独特的就是它在这个基础之上又更进了一步它认认真真地开始搞体育了而且从相对小众的一些极限运动进入了非常主流的项目这我觉得是这家公司的一个很大的蜕变现在红牛一共有五支足球队两支F1车队一支摩托GP车队
[00:18:39] 此外还有冰球翻船冲浪的俱乐部这里边有两个点我觉得要注意首先就是刚才说的这些这个菜名啊都是红牛全资拥有的队伍不是一个冠名赞助的一个关系第二就是红牛在其中的两个核心运动上面都取得了非常惊人的好成绩就是足球和F1这两个运动都属于全球关注度相当于是最高的商业价值也很大而且有很多传统豪门的项目
[00:19:06] 一个心静的野蛮人要想在这里出头是挺难的是的虽然像F1其实红牛挺早就参与了他第一位赞助的运动员就是一位F1车手90年代的时候他也赞助了一只索博车队但是当红牛在2004年的时候完整地收购了当时的美洲虎车队正式开始运营一只F1车队的时候很多业内人还是非常非常震惊的
[00:19:30] 顺便说一句2004年美洲虎车队之所以会被红牛收购就是因为当时这个车队的金主福特他生意不太好做开始削减成本后来福特就越来越收缩把整个欧洲的一些赞助的活动包括一些品牌都卖掉了这其中就包括了后来被吉利收购的沃尔沃对吧哎 约老师感觉在cue我田坑我们话说回来运营一只F1车队其实为什么说是很大的一步就是它已经完全超出体育营销的范畴了
[00:19:59] 如果你只是想要F1的曝光度的话你赞助车手或者赞助车队的把自己这个logo贴在他们的衣服上面就可以了但运营一个车队它的这个烧钱程度是完全不同的F1车队是一个非常著名的吞金兽它每年正常的支出就两三亿美元很多车企他们在发达的时候都会要进入F1来彰显自己的技术实力和财力但是要收缩的时候他们第一个就想着要把F1车队来出手因为这个钱实在太烧了
[00:20:29] 结果红牛在2004年买了一只车队之后在2006年又收购了一只F1车队把它改名为红牛青年车队现在我们就称这两只车队为大小红牛这个吞金兽一养孩一养两头这个是非常厉害的举动是的结果就是蛮意想不到的是这两头吞金兽都养得非常好2008年的大红牛车队就拿到了第一次的分战赛冠军2010年它又拿到了车手和车队的双料冠军
[00:20:58] 那个车手冠军就是瓦特尔之后瓦特尔和大红牛车队是连胜三年创造了一个非常辉煌的记录相当于2010年到2012年红牛是统治了F1这个世界上最昂贵的运动的而且当时要算比如说历史顶运啊财力啊这些范畴的话红牛都属于车厂里面最弱的那一类吧对就你跟那些大的车厂相比就算你卖饮料卖的再多对吧你这个财力上面其实并没有那么厉害的
[00:21:27] 那如果要总结原因的话我觉得有两点是比较重要的就是红牛一个是非常擅长组建最优秀的核心团队并且给他们增加的自由另一个就是他非常的擅长清训这件事情因为我不是体育节目我们就简单的介绍一下这两点吧第一点核心团队他指的就是红牛在组建了车队之后他挖来了一些非常重要的核心成员比如说天才的工程师纽维他之前是在麦凯兰车队的嘛
[00:21:55] 红牛把它挖过来之后给它很高的礼遇然后很大的自由就是这个车的事情你说了算了然后纽纹就一下子把红牛的这个车的所谓空气动力学的水平提升到了当时一个非常无敌的状态大家可能都知道F1里面车的影响力可能要比车手更大一点对那这个组建核心团队的其实就是红牛就善于辨别人才和吸引人才这个点吧那清训呢就是善于培养人才这点我觉得是更有特色的
[00:22:22] 过去F1赛车手这个人力市场是一个非常像金字塔的一个自由市场吧就是有一群小孩从卡丁车比赛开始往上比赛好的人就进入了F3方程式然后到F2到F1是一个层层淘汰的一个关系那F1车队呢他只管从F2里面去选秀找一些那个里面比赛比较好的把那些年轻人牵过来就可以了或者就是在这个云游的F1车手圈子里面大家互相换来换去
[00:22:51] 但是红牛不是他建立了一套垂直的听讯体系就是从小他就赞助一大批很有前景的卡丁车选手然后让他们在红牛的体系的车队里面逐渐的成长然后就出现了像瓦特尔这样的历史级的车手你像瓦特尔最早进入F1的时候其实是在小红牛车队表现非常好之后呢他就给他上吊到大红牛车队反过来如果你在大红牛里面表现不好的车手呢也会降到小红牛里面去
[00:23:18] 对它在内部有一个很好的所谓流通和选拔的机制没错那这个系统的优点是什么呢就它确保了一些有天赋的苗子不会最初因为没有钱或者说是看走眼了或者是一些各种各样的原因而放弃职业的路线因为练赛车很烧钱嘛红牛最初的话会给你很多的赞助但是呢这个赞助也不是说像做慈善一样的红牛其实是很残酷的一个清训体系它不会一直养着你比如说一开始给你一些奖学金
[00:23:47] 但你一旦在同级别的比赛当中表现不好了你就被抛弃了只有当中最好的车手才能得到一个长期的支持那等于说这是一个F1赛车的练习生制度确实是这种感觉那这个清训体系其实是开了F1的风气之先的就之前各大车队没有清训的然后红牛搞了之后出了成绩大家都开始搞清训了红牛就有点像池子里的鲶鱼把整个水都给搅起来了就是鲶鱼这种感觉大家后来都开始卷起来了
[00:24:16] 这一特性呢其实在足球领域也很明显就是红牛搞足球的这个故事大家也可能也很熟悉了他一开始会像过去的这个广州恒大一样买一个低水平的球队然后砸钱然后引进一批球星短时间内让他成绩快速提升然后进入到顶级联赛里面那这个过程当中呢会惹得很多传统的足球爱好者和从业者就不高兴了觉得红牛是坏了规矩的这当中最典型的案例呢就是得奖的那个RB莱比西队
[00:24:45] 因为德国的足球俱乐部有点公有制的概念就是讲究民主球迷付了会费之后成为这个俱乐部的会员你就对这个俱乐部的事宜有投票权了而且大企业是不允许占据一半以上的投票权的这个就是所谓的50加1的一个原则德国人怎么连踢个足球也要搞民主这个我觉得也是跟德国的一些企业的制度和传统有关系吧然后红牛他就不遵守这个
[00:25:13] 他在2009年的时候把莱比锡队这个低级别的球队买下来之后就开始钻空子他把这个会员费定的特别的高然后就变成只有自己的红牛的几位员工才是这个俱乐部的会员其实就是通过这种方式控制了这个俱乐部的董事会实际上打破了那个50加1的原则而且德甲还规定球队的名字里面不能有品牌的冠名然后红牛就又打擦边球起了一个队名叫阿尔比莱比锡
[00:25:40] 然后这个R和B呢他就说是Rosenboschbott反正这个德文我不知道念的对不对啊是这个词的缩写就是德语里面的草地球类运动是不是有点此地无影啊谁看到RB这个时候不会想到是红牛啊就是啊所以红牛在很多足球业内人士的眼中是一个破坏规矩的恶人嘛但是如果你抛开这些争议的话就会发现红牛搞足球的思路其实和F1是很类似的也是抓清训
[00:26:08] 就他在全球各个水平的这个联赛当中啊有五支足球队你可以把它理解为五个分部然后他们这些红牛队之间的这个转会啊就有点像公司内部交易是非常通畅的然后这个价格呢一般也比较低实际上就是他成为了一个覆盖全球的规模的一个梯队了低级别的一些赛事的球队他不断的会为高级别的一些球队来输送人才甚至输送教练和管理团队这些都会互相流通的
[00:26:37] 那从结果上来看呢阿尔比莱比希他用了六年的时间就从德国的第五级别的联赛升上了德甲就顶级联赛然后他之后拿过德甲的亚军拿过德国足协杯的冠军还进入了欧冠的四强等于是成为了一个欧洲的敬旅了与其说是职业体育的发展不如说是公司内部的转岗是吗对真的有点转岗这个性质那刚才讲的呢其实就是我们前面说的
[00:27:04] 红牛在F1和足球这两个项目里面短时间都获得了很大的成功这个成功不仅仅是成绩上面的在商业上面我们也可以看到非常好就是他刚刚讲的两个F1车队还有这么多足球队他基本上可以做到自负盈亏的
[00:27:19] 两个红牛车队他们每年的收入基本上可以跟支出打平甚至大红牛车队还可以输出赛车的一些研发能力比如说纽维就帮助阿斯顿马丁去研发跑车然后赚这个研发费之后还引入了阿斯顿马丁作为他们的一个合作方等等的红牛这个公司甚至还在奥地利翻新了一条赛道在这边举办了F1的分战赛而足球方面因为人才的挖掘和流动非常的顺畅所以红牛出品的年轻球星越来越多
[00:27:48] 而卖球星的这个转会费也变成了俱乐部一个非常主要的收入来源之一吧所以红牛系的球队它整体的运营都比较健康像我们之前讲魔球那个话题的时候不是提到过分威集团吗分威集团的老总亨利其实也非常的欣赏红牛这个模式那从商业角度就能看出来红牛和中超那些房地产商或者中东这些石油王去砸钱搞足球已经不是一个概念了
[00:28:13] 这也是我比较佩服洪牛的一点就是他进入到一个新项目看上去都是在颠覆规则但实际上他又很尊重这个实在是的客观规律而且能长期的造血从洪牛公司的角度这么做也很好的控制了风险没错就如果这些球队或者是车队每年还要洪牛来输血几个亿的话就是这个引南麦再好也受不了嘛
[00:28:35] 关于红牛这个在足球和F1这个当中他所谓的尊重客观规律我觉得如果总结来说的话就是他很好地把握住了这个体育运动或者体育商业里面一个核心的价值或者是核心的资源就是人才不论是车队里面的工程师还是赛车手还是球队里面的运动员或者是一些核心的管理层红牛呢他都是充分地意识到这些才是一个体育商业公司里面最核心的这个资产
[00:29:03] 然后他就尽可能的把这些资产握在自己的手里面然后让这些资产充分的流动握在自己手里加充分的流动这两点让他发挥了更大的功能使得他和一些传统的一些球队或者车队的做法形成了一个很大的对比其实这种做法你可以接下来看到在越来越多的体育赛事的俱乐部里面都开始学习来效仿另外我自己还会有一个感觉就是红牛他在体育上的拓展还会继续他选择F1和足球
[00:29:30] 一方面是因为这两个项目的价值很高另外一方面也是因为这些运动是相对的对新玩家比较开放的而相比之下全球商业价值最高的几个美国的职业体育联盟都是比较封闭的比如NBA、MLB、NFL它是不能随随便便的新增一个球队的等于它是一个特许经营权这个概念了但如果有机会的话我觉得红牛肯定会考虑把体育的版图
[00:29:57] 扩展到这几个商业价值最高的比赛里面到时的话你可以想象他有可能又会玩出一些新的玩法来
[00:30:06] 那说了这么多我们最后还是回到钱的问题红牛之所以能做这么多很酷的事情那首先还是因为它的收入规模足够大2011年到2021年看一下数据它的销售额是从42.5亿欧元一路增长到了88.7亿欧元相当于十年里面翻了一个倍那根据福布斯的数据在2020年红牛的广告营销费用总共是16亿欧元
[00:30:34] 相当于它当年收入的四分之一至于2021年数据我们自己觉得是参考性不大因为当年很多活动都取消了这个比例你要说高肯定也挺高的但是其实对于一个快销品来说还好对吧对的另外一方面红牛我们一开始就提到它不是一个上市公司而且负债也很少规模足够大财务也很健康而且也不用定期披露接受外界的压力
[00:30:59] 这个就使得他有足够多的钱可以去支撑像足球赛车这些投入初期非常大的项目马特希斯就说过在红牛我们只花我们已经赚到的钱而不是我们有一天可能赚到的钱他怎么在这个方面这么老牌了对
[00:31:16] 某种意义上我感觉红牛有点像那些中东的石油国家理想的样子它通过一个神奇的液体积累了大量的财富但是它没有躺着吃老本而是把这些资源转化成了在其他领域的专业能力然后让自己能够在更多的行业落地生根开花结果即便不依赖那个液体本身也能存活下去这也让人对于马特西斯过去之后的红牛依然能保持信心因为不管是讲故事还是做体育
[00:31:44] 红牛都已经形成了自我造血的一个体系化的能力这是一个公司拥抱青春的基础商业就是这样
[00:31:56] 感谢收听这一期的商业就是这样你可以在苹果播客小宇宙喜马拉雅网易云音乐QQ音乐荔枝等平台收听我们的节目微信公众号第一财经emagazine也会推送每期节目的内容如果喜欢我们欢迎你在苹果播客给我们五星好评并期待你在各个平台与我们交流尤其欢迎分享你感兴趣的话题下期见
