Vol.68 耐克在中国的“左右手”
[00:03:58] 所以说深洲国际在成立的时候就是从出口日本的中高端婴儿城一起步的这个很特别就相当于一上来就是秀肌肉从技术难度很高的产品入手来撬开这个市场这个思路呢就是比当时国内还在做那些低端外贸代工的同行是遥遥领先的没错而且确实收到了很好的效果到1992年也就是深洲国际这家公司成立四年以后这公司就盈利了这一年还有一个插曲就是马宝新当年把他的儿子
[00:04:26] 也是目前深洲国际的董事长叫马建荣派去日本去拜访客户拜访日本客户感觉是一个有一定技巧才能做的高阶任务了嗯没错而且马建荣当时还真在日本碰到一个难题因为当时深洲跟日本客户的关系还可以马建荣过去以后呢就跟日本人一起在吸烟室里面吞云吐雾动拉吸扯结果烟抽到一半这个客户公司的另一个人就冲进来说马先生我想问一下
[00:04:52] 为什么我们收到这批衣服一过水就会掉色那马先生有没有下的烟都掉在地上那不知道但反正他据说当时的中午饭是没有吃下去很紧张最后想来想去他决定跟客户说这批不合格的产品我们会全部烧掉而且以后这种问题再也不会出现了反正就是经历了一些波折之后深洲国际就这么走上了正轨听到这里感觉好像还是跟一般的代工厂区别不大都会有这种一些和客户之间的小故事
[00:05:20] 那么深洲国际后面这么出名变成一个你所谓的品牌主要靠的是什么呢一方面是快快举个例子马兴荣之前接受过央视的一个采访他当时提的一个2018年世界杯的例子当时这个世界杯已经踢到后半程了法国队的势头越来越好然后他们的大客户Nike就决定临时加一笔单结果深洲国际是在16个小时不到一天的时间里面赶出了上万件法国队的队服然后空运到法国
[00:05:46] 这个衣服送到的时候呢正好赶上法国队夺冠后的街头狂欢让Nike大赚一笔这个literally的真分夺秒了稍微慢一点的时候他们那个夺冠都已经夺完了另一方面是技术这个还是要提到Nike过去20年里面Nike最重要的产品卖点之一就是我们之前提到过的一个技术是一体化编织鞋面的叫Flyknit工艺这个工艺可以让整个鞋面变得非常简单像袜子一样非常轻薄而且更贴合你的脚型
[00:06:15] 在2011年耐克还不知道说这个FlightNet这工艺能不能成功耐克当时是找了另一家代工厂去讨论而且要求这家代工厂说你给我去买一些昂贵的专用设备来帮我们做这个东西结果代工厂果断拒绝你然后第二年的时候是深洲国际一口气买了2000台专用设备吃下了耐克所有的FlightNet订单当时在这个技术还没有普及的时候要做这么大的投资对于代工厂来说肯定是有风险的嘛
[00:06:43] 但是现在看这个Flightnet这种一体编织的鞋面技术已经应用了这么广泛了那这笔投资估计回报率还是蛮高的速度快和技术强其实还是可以归结到同一个原因就是深洲国际自己是有纵向一体化的能力的纵向一体化这个概念我们在之前聊Zara那期节目里面详细说过这里就不展开了简单的说就是把上游的很多环节都变成自己做深洲国际本身是一个代工厂它也不是说整个产业链的起点它的上游还有一些别的东西比如说原料
[00:07:12] 有棉 麻 化纤等等然后还有专门的纱线厂然后纱线还可以变成面料所以有面料厂而整个链条的特点是越靠前面的部分毛利率往往越低这点我们在2020年拿几家上市公司数据看过当时深洲国际的毛利率是31%面料厂是16%纱线厂是13%越来越低
[00:07:34] 而深圳国际的利润空间之所以能那么大就是因为它超越了普通代工厂的那个角色他们是从买纱线开始然后再到面料剪裁再到成衣这个中间的过程都是在他一个公司里面完成的一方面这有利于他们去做一些技术改造就像尝试Flynet这样的新技术另外呢需要与外部企业同模合的时间也节约下来了嗯没错再举一些数字
[00:07:56] 传统的代工厂如果从他们像面料厂开始下单开始算的话到最终交货整个过程大概要三个月而深洲国际的交货速度平均是45天最快可以做到15天当时法国对那个东西可能是极限中的极限了对超快加急相当于说深洲国际可以做到第一品质是有保证的第二技术是领先的然后他们交货速度还快这就很容易形成一个正循环然后可以吸引到越来越好的客户
[00:08:24] 到2006和2007年的时候深洲国际还专门为Nike和Adidas建了专用工厂这两家公司大家都知道他们是互为竞争对手专用工厂其实是一个比较好的解决方案可以保证同时给两家供货同时严格保守商业机密这个很重要深洲国际还在这些专用的工厂里面直接配了一些常驻的设计和研发团队来服务客户相当于左手陪客户改设计图或者说定制一些新的面料
[00:08:52] 右手就可以在工厂里面改生产的方案过程非常的流畅一个代工厂能够凭借你的技术实力和产业实力在两大巨头之间能够取得这个平衡说明深圳国际确实是把服饰代工这个事情做精了我们之前也聊过像SIM这样交货速度超级无敌快的公司对吧这也还是要说明一下深圳国际的整体订单量是很大的每笔单都很大它做的也不是所谓的快销服饰这跟SIM那种小单快返去管理代工厂的模式确实很不一样
[00:09:21] 而且SIM是用数字化手段去管理面料和辅料而且自己还有一个非常大的设计团队其实也是另一种形式的纵向一体化只不过切入的方式不一样没错而且SIM毕竟更加年轻嘛它有这个试做的空间去尝试一种新的模式
[00:09:36] 我们前面基本解释了深洲国际的规范化和技术含量这两点那么岳老师你提到第三点就是国际化又从何谈起呢这其实也是一个老问题中国和年轻劳动力相关的制造业成本红利大家都知道是慢慢在消失的大型代工厂其实很早以前就开始想地方重新安置他们产能
[00:09:54] 深州国际在这方面动作也是比较早的它2005年就在柬埔寨开了第一家海外工厂到2014年还在越南搞了自己的面料厂现在深州国际在国内和海外的面料产能占比大概是55开的海外的成衣产能可以占到40%预计在未来三五年内这个成衣产能也可以跟国内规模相当听上去理论来说这种结构在疫情期间还蛮有利的你一个地方的工厂停了单子和物料可以马上运到另一个地方
[00:10:23] 还可以继续生产对吧嗯这确实是一个理论情况实际上肯定会被疫情影响的因为订单的转移只要你这个数字化系统本身是流畅的这个就是鼠标键盘电脑的事情对吧但是实体的物料转移就非常困难了尤其之前全球物流都遇到了大堵车其次呢深州国际这个国际主要靠的呢还是越南它是一个定向国际越南大家都知道之前疫情还是有过蛮严重的时候深州国际自己也测算过他们在越南的整个生产基地
[00:10:52] 如果每停工两周整个公司的布料和服装的年度总产能就会分别下降2%和1%停两周就下一点停两周就下一点所以这个过程还是比较危险那深洲国际应该很希望越南不要再发现什么新的变异的读读了深洲国际部分大致就介绍到这里了肖老师你听起来有什么感想吗我觉得一个还是技术方面印象比较深刻我们经常说掌握核心科技这六个字确实不是轻飘飘的可以随便说的
[00:11:21] 背后的工厂要花很多钱然后要增加很多的管理的环节才能真正做到这一点另外一个就是国际化这件事情还是在路上中国企业目前的产能转移主要还是集中在东南亚的国家好处肯定是很明显的它的成本又低文化相对接近一点然后管理上要相对容易一些坏处可能就是面对像疫情这样的挑战大部分的品牌的代工厂还是有可能会被一锅端或者半锅端当然这是各行各业都会面临的一个难题不只是深圳国际一家了
[00:11:51] 耐克的上游我们就算讲完了然后我们再看一下耐克的下游这是它的经销商品牌叫淘博体育Top Sports肖老师听说过淘博这个牌子吗可以说是几乎不知道只在选题会上没听你们提到过几次淘博就是属于那种消费者听也没听说过但是其实它的业务我们都见过那种公司但如果在几年前去万达广场或者更老一点百货商场这种地方去买运动鞋的话
[00:12:17] 可能会遇到那种一开一大片一整层楼都是运动品牌店的那种区域这个跟商场自己招商或者由品牌直接开出来的店呢有细微的差异但是整体上非常非常接近乍一看你是根本分不出来的哦原来如此说起来涛博这个名字存在感很低但是他原来的母公司名气还蛮大的就是号称邪王的百利
[00:12:39] 百丽是一家在百货公司时代非常非常受重视的公司如果说淘宝体育占据了百货公司的五楼和六楼百丽就永远占据了一楼那就是更强的百丽是中国最大的女装鞋零售商它旗下有很多品牌最著名就是百丽自己还有天美艺和斯加图等等一系列品牌
[00:12:59] 2017年百丽之家公司被高领私有化当时它的年销售额可以达到400亿元门店是超过了2万家所谓凡是有女人经过的地方都要有百丽感觉比海澜之家的广告语更加厉害在百丽这个体系里面不仅有女鞋的所谓设计制造和销售能力还有一块重要的业务就是耐克和阿迪达斯等等一二线运动品牌的品牌代理也是后来淘宝的这块业务
[00:13:25] TOPPO目前也是中国市场上最大的运动协服经销商,截止到2022年2月底,也就是这个公司财年结束的时候,它在全国有7695家店铺,其实有33%是300平米以上的大店。之前我们提到过像Lululemon这样的品牌以直销为特点,所谓特点就是说行业里面其他的品牌是不这么干的,其实绝大多数的运动服饰品牌都还是选择找代理商来开店为主的这样一个方式。
[00:13:53] 这样可以自己省下大量的精力和成本也能更快的扩张你想想看如果真靠品牌自己的话耐克阿迪怎么可能做到现在中国现在有几千家店这样的一个规模嗯没错像淘宝的话其实就是完全满足了这些品牌的需求啊很快就成长起来了有一个说法是在百利私有化之前高领就想好了百利不是有两个部分吗淘宝这个运动代理业务他就是想把它先拆分出来单独上市的因为这部分的情况要比百利传统的这个女鞋业务要好很多
[00:14:22] 是一块基本不需要再改造的优质资产确实如此主要是当时女鞋品牌已经有一些需求的停滞甚至缩水的现象很严重所以百丽才会被高领去买下来而运动服饰行业本身是处于一个成长的阶段2006年百丽国际上市之前运动服饰的代理销售业务只占它总收入的四分之一但十年后也就是百丽被私有化的那个阶段这部分业务已经可以贡献超过50%的收入了
[00:14:50] 更不用说这两年大家运动意识普遍提高然后重大的赛事也蛮多的其实这个运动服饰的消费需求还是一直往上涨的所以说近几年的涛博的话他所处这个行业蒸蒸日上自己的行业地位也非常稳固他主要思考的就是两件事第一是他开什么样的品牌的店会更赚钱第二就是怎么把店开得更好那要不我约老师先说一下第一件事如果你去看涛博的财报的话会发现他在讲客户结构的时候是非常直白的
[00:15:18] 他是把他的客户分为主力客户和其他客户两部分OK主力客户而且只有两个一个是耐克一个是阿迪达斯两个主力客户提供了这个公司85%以上的收入其他客户就很多了包括Vans宽威The North FaceTimberland斯凯奇亚瑟斯龟中虎等等等等然后现在有一部分李宁的门店也有淘宝管理的但是这么多品牌加在一起大概只提供了13%的收入
[00:15:46] 从名气上面后面那些品牌其实也蛮有名的但是从这个销售规模上面还是看得出两个超级巨头的这个威力而且可以想象到这个如果说这么依赖两个超级巨头的话去年有几个月淘宝日子应该就是比较难过的再加上今年疫情几个一线城市轮流风恐尤其是上海那数字上面是有这样的体现吗没错淘宝在上一财年的整个营收和规模性利润都
[00:16:13] 掉了大概11%相当于所谓略有成压对他们来说其实已经是一个蛮大的一个变化了但是要比耐克和阿迪自己的情况还是要稍微好一点经销商的这个跌幅没有这个品牌那么大涛博对于整个业绩下滑的解释里面不仅提到了所谓的BCI事件也提到说去年这两大品牌在东南亚遇到了很重要的供应链问题还有物流问题这货运不到店里来卖没得卖啊
[00:16:39] 这个就跟我们刚才提到的深洲国际的事情呼应上了再说回到那些一大把其他客户我自己觉得这个淘宝对于这个品牌的选择其实没什么选择真要说的话就是二线品牌一把抓只要这几个品牌还有活力轮流出新款轮流请新的代言人这个经销商总能得益不是这里转就是那里转稍微具体看一下的话这些品牌里边现在Vans和斯凯奇还是挺不错的也蛮有特色的而且他们在线上的这个销售规模也不小了
[00:17:07] 另外我们觉得2022年涛博拿下李宁的竞销权也是一个蛮大的卖点也能看得出李宁有可能下一个阶段要开始发力开店了没错第一个部分就是怎么找品牌我们就讲到这里有了品牌以后就要考虑如何把店开得更好其实涛博这部分业务从百利退市然后涛博再上市然后一直发展到现在最主要的一个工作就是门店的优选优化
[00:17:33] 在这方面的公司大概做几件事情第一件最重要就是所谓的关小店开大店这个我们应该蛮熟悉了对包括Zara在内很多很多零售品牌都在做这个事情2022财年里面淘宝的门店总数是少了311家但是他们总销售面积同比还是增加了5%以上也就是说这个确实是在关小店开更大的店在淘宝我们前面提到300平米以上的店就是他们最高规格的这档店了
[00:18:02] 这部分的门店数量其实是不降反增的一年内是多了87家的OK那第二个呢第二个呢当然就是所谓提高门店的销售额和销售效率所谓提高品效嘛但是这部分在2021年可以做的事情非常少实际上就是因为前面提到货的问题嘛当年整个淘宝的单店收入还降了大概11%这个跟他们的营收的降幅是相对一致的单店收入因为还是这个种经销商里面一个最关键的数据之一嘛
[00:18:30] 第三件事情也很重要啊就是报警他的主力客户尤其是耐克的大腿他是说的这么直接吗倒也没有啊但他做是这么做的是吧其实是这样的耐克在最近五年里面其实一直在调整他在中国市场的门店形态和门店概念尤其是他有一些自营的门店可以搞很多的新花样嘛我们前两年看到蛮多的但是传统上来说这种事情跟像涛博这样的经销商是没有关系的因为你是经销商嘛
[00:18:56] 但是耐克在中国做了一个很重要的事情就是把一些大店和概念店放给了TOP来做这个感觉其实也和TOP前面说的关小店开大店也有一定的关系2022年1月我们就看到耐克和TOP合作在北京三里屯开出了国内第二家Rice级概念店耐克这种各个名字的概念店真的太多了不管它是什么概念店反正我知道它很大它的面积有2800平米两层楼10倍的300平米的大店了
[00:19:23] 这个其实也是耐克首次在中国和所谓的战略伙伴合作来布局零售升级就是一些空话当然了耐克还说了一个很重要的事情就是他会把自己的一些数字化的会员信息跟像淘宝这样重要的经销商来共享这个对于淘宝来说肯定是非常非常有价值的这才是空话背后比较实际的东西最后我们还会讲到就是零售商经常会面临的两个关键指标就是存货和折扣率
[00:19:50] 品牌之所以喜欢经销商最直接的原因就是经销商能够大规模的从品牌这里预先拿货然后品牌直接把它记作收入做批发总会是很爽的嘛最爽了相应的来说呢就是要给经销商一些折扣率上面的优惠以及要给他们销售时候一定自主定价的空间嘛就反过来对于经销商来说就要特别注意我货是不是拿太多了以自己销售的时候如何确定这个折扣率
[00:20:15] 所以从像淘宝这样的大经销商的这个两个关键数据能反过来推推像Nike和阿迪这样一些公司的经营的状况一部分吧还是回到淘宝本身先看存货周转这块淘宝在2022财年的情况是它大致130天就可以卖空它所有的存货一轮这个速度呢比它的前一年要慢它前一年110天就可以卖完了那还是卖了蛮多的这个疫情的影响还是蛮看得出来的
[00:20:42] 对的但是比它的同行还是要好比如它最大的竞争对手也是一个很大的经销商叫宝盛宝盛在2022财年的整个周转速度已经降到了163天这个接近半年才能卖空一轮存货这个速度是比较慢的了没错另外一个是折扣率方面这个折扣率的话淘宝没有披露太多但是看到有一个数字说淘宝从耐克和阿迪达斯那里的拿货价基本上是吊牌价的4.5到5折
[00:21:10] 大概以八折左右去卖出去这个是一个比较稳定的结构每年都是这样这几年公司的毛利率也是稳定的就是在40%以上2022财年呢同比还略有提升说明这个公司其实没有使用那种什么过度大折去甩卖清仓的方式来清库存这个好像跟我们消费者的一些直观的感受还是比较吻合的就是过去两年疫情里面我们可能看到有一些小的品牌或者一些本土的品牌降价还是蛮猛的
[00:21:37] 耐克阿迪当然也有降但是可能幅度没有那么大月老师虽然我们这期拿耐克开了个头但是前面这么长时间其实你提到耐克的次数都不是很多主要是聊了服装代工和零售经销这两个方面确实也相比起这个fancy的品牌来说这两个领域长期都所谓很传统然后没有那么大的关注度而且利润率也不是很高没错利润率不高是一个问题现在我们就来看一下这个上下游和耐克的关系有一些机构大致测算过
[00:22:09] 在整个产业链条就是从制造商到品牌商再到零售商的这个链条里面各个环节的净利率啊净利率分别是大概是10%制造商10%到15%是品牌商然后到零售商呢就只有6%到9%了在净利率里面这几个数字的差距其实已经满到了这组数据在像深洲国际耐克和淘宝之间也是差不多是这个比例之前我们不是讲过Zara和优衣库吗那肯定会有人想说
[00:22:36] 如果说深洲国际有所谓向前纵向一体化的那个能力它是不是能向品牌端继续一体化一下去做一个好的自由品牌把弗兰尼特之类的高级技术都用上不就能获得更大利润空间吗对就前面都已经做到了你临门一脚对吧再自己搞个品牌不就行了吗别说2010年深洲国际还真推过一个自由品牌这个品牌叫Maxwin马威完全没有听说过但是它当时从产品的定位上来看基本上就是另一个优异库
[00:23:05] 但是到2016年深圳国际就像网易为什么是网易也不知道啊但反正是网易网易呢买下了Maxwin49%的股份那基本上就是一半给他了到2019年的时候深圳国际就因为未能取得理想发展这样的原因彻底放弃了这个Maxwin的零售业务还是蛮实诚的如果我们要马后炮的分析一下原因呢可能还是因为这个深圳国际长期以制造为核心太擅长做东西了
[00:23:35] 而运动服饰以大价值还是讲故事而讲故事呢是耐克最擅长的事情他可能是全世界最擅长讲故事的公司之一了对不单单是运动服饰品牌里边了要不再来说一下另一边看看涛博有没有可能往品牌那个方向转一转毕竟经商商有这么多店面理论上是可以用一用的但其实零售商来做制造生产这个事情最早或者说做最大的公司之一就是百利自己百利在女鞋这个品类上面已经做了非常久但发现越来越难做
[00:24:03] 简单来说就是业务太重了没有那么简单鉴于目前淘宝和耐克的这个合作关系我们前面提到这个合作关系还是挺好的而且数字化层面的合作也非常深入了我觉得专注的或者更高效的来卖货可能比这个时候掉头去做所谓的纵向一体化更合适淘宝了对就是如果你是一个新的品牌你要去创业你可以说我像Lululemon一样搞直营
[00:24:27] 完全玩一套新的东西都可以但是你已经是在这个行业里面有一个风功你做的已经比较深了你想要所谓的翻脸或者说去突破的话其实难度是更加大的当然最后如果单说投资价值的话我觉得耐克可能是这三个里面比较值得投资的我们就看一个简单的指标就是市盈率
[00:24:47] 市盈率就是所谓市值和公司利润之比这个指标肯定是越高越厉害证明这个公众认为这公司的品牌价值要远远高于它的基础盈利能力看一下市盈率这个指标耐克是28.4倍涛博是13.3倍深洲国际是怎么是33倍翻车了 岳老师
[00:25:07] 偶尔翻车一下毕竟单个公司的市盈率有很多很多的影响因素比如它所处的市场的情况公司在行业里面的地位行业的周期等等这个偶尔有些变动也是很正常的所以这个翻车也说明跟大家再说一次就是我们这一期虽然提到的基本上都是上市公司但是我们这个节目真的是不构成任何选股和建股的建议的股市有风险投资需谨慎对吧
[00:25:30] 这期节目里面我们虽然研究了一些财报中的数据分析了一些问题但总体上还是想让大家能够更多的认识一下耐克身边的两家隐形的大公司所谓隐形冠军对吧如果没有工厂给耐克做那些衣服做那些鞋也没有门店帮耐克卖这些衣服卖这些鞋的话耐克这家公司的价值基础实际上也就不复存在了因为我们没有办法接触到这家公司公司在讲的再好你也要把这个故事能够发挥出去的这样一个方式
[00:25:57] 当我们认识一家公司的时候我觉得永远要试着从整体的协同的视角来观察它而不是仅仅看到整个链条或者说整个商业网络上发光那几个点甚至说你只是看到这几个点最高光时候闪烁的那几下就结束了那是不够的那是不够的商业就是这样
[00:26:21] 感谢收听这一期的商业就是这样你可以在苹果播客小宇宙喜马拉雅网易云音乐QQ音乐荔枝等平台收听我们的节目微信公众号第一财经eMagazine也会推送每期节目的内容如果喜欢我们欢迎你在苹果播客给我们五星好评并期待你在各个平台与我们交流尤其欢迎分享你感兴趣的话题下期见
