Vol.196 哪些城市撑起了哪吒2的票房？
[00:08:08] 背后来支撑的比如说像流量地球其实后面就有很多彩条屋旗下的一些公司来做一些电影特效这个就是整体能力像别的领域的一些外溢的一些体现是的这个其实就是我们对于《哪吒2》这样一个作品它为什么能够票房如此之高的背后三个层面的分析一个是市场一个是产品一个是更静态的工业体系的提升
[00:08:35] 那我们这期节目呢并不知道新闻就结束了我们把沈老师叫过来并不是让他陪我们聊天的对那除了这一些角度以外呢我们今天其实还想重点展开另一个角度来探究一下德扎票房如此之高的原因就是城市
[00:08:51] 这个春节党哪吒票房的奇迹其实还有一个重要的支撑者就是一二线城市以外的广大的市场他们在春节党里面塑造了一个十分特别的和平时不一样的一个电影市场的格局同时春节党也对于这些城市的电影院有格外不同的意义这一期节目我们就请新一线的主编审从数据的角度然后从哪吒这部作品来切入聊一聊三四五线城市的电影市场这里是商业就是这样
[00:09:24] 那我们呢是想用比较直接的一个问答的方式来请丛乐讲讲这个话题啊那第一个问题很直接就是到底哪些城市是春节党的最主要的票房然后这个票仓的分布和日常有什么样的区别中国有中国的票仓我们讲的是电影票房的票仓这里面那个在中国电影的这个行业一直有一句顺口溜叫上北升广重武成行八个城市
[00:09:53] 上北深广我好像呢重武成行你给大家解释一下吧重武成行呢主要就是重庆武汉
[00:09:59] 然后成都和杭州感觉像百家姓一样那么这八个城市大概是从十几年前就开始是中国的电影票房里面最头部的八个城市而且这个次序在总体的大盘数据到目前为止来说都是没有太大的变化刚刚那个顺口溜是有排名先后分布的排名先后一直在变但是它的这个前八是还没有人挤进来过但是到了我们这一次25年的春节档的时候其实数据是会有一些变化产生的
[00:10:26] 那么在尤其是在哪吒的这个票房里面我们发现首先前四位不再是纯粹的一线城市了上海北京之外第三第四名分别是成都和重庆他们整个春节党都贡献了两亿多的票房而且在哪吒的这个单片的票房比例结构当中也是完全这样一样的顺序
[00:10:47] 那么另外还有一个城市比较特殊是苏州苏州在今年的春节档上挤到了第七名而且超过的是杭州和武汉的票房数据那这个变化呢其实也是有一些很特别的在的包括说它平常的票房其实不如它返乡之后大家在苏州看的电影那么它的这个占比结构也是一个头部城市里面比较新鲜的变化出现包括看整个图标里面像杭州武汉西安他们的具体的票房数据其实咬的相对来说有点
[00:11:16] 其实新一线城市大家在尤其春节期间它的人口的规模和结构还是相对比较相似的他们能够贡献出来这个电影票房也是基本接近那么同时这里面还有一些如果我们拉到前20去看的话还会有一些二线城市它的票房数据也会走到比较前面比方说我们看到在今年的前20里面是有南通和温州的这些城市也是经济实力强盛他们一个城市
[00:11:45] 在一个春节档就可以贡献将近一个亿的票房所以刚才从的是先从整个春节档的城市分布给我们介绍了一下一个和平时的区别第一就是前八里边重庆跟成都排名比日常要更高第二的话就是有像苏州南通等等这样一些城市它其实是比日常的这个贡献率要大大增加了那具体到哪吒二这个票房里面是不是你刚讲这些城市或者是一些我们前面讲的三四五线城市它的贡献比平时更多了
[00:12:13] 是的 哪吒二的这个票房的城市票房的分布结构和今年春节档是基本上完全一样的但是它和哪吒一是非常不一样的我们按照城市的级别统计了一下比方说哪吒二它在四个一线城市的票房占比大概就是10%而哪吒一的时候达到了18%差很多 差接近一倍对 而且大家要记得哪吒一当时上映的时候是暑期档
[00:12:39] 所以蜀七党的中国的这个观影受众的分布和今年的这个春节党它基本上是乾坤大挪移重新来了一遍这个其实是很大的一个市场的人口分布调整之后影响到它蛮大的一块票房结构的表现那同时也类似的哪吒二的新一线城市的票房是20.5%左右然后在哪吒一的时候这个数据也相对比较高是26%那么往下面走的城市呢它就倒过来了
[00:13:08] 那么从城市往下走呢我们就会发现它哪吒二的票房占比明显就是要高于哪吒一的这个像表三线城市哪吒二的全国票房贡献率是25%但是在哪吒一的时候只有17.5%其实这块是增长比较明显是的然后如果是到五线城市的话
[00:13:27] 哪吒二是7.62%然后哪吒一是5.32%所以结构整体上是有一个明显的变化而且我们比了一下哪吒一它的这个结构更接近于我们平常一年的全年票房的一个平均水平所以哪吒二它是有它自己非常大的一个特点所在的简单来说就是如果把一线和新一线算是一组然后2345算是另一组的话在哪吒二和哪吒一的这个票房的分布上面就是一个此消彼长
[00:13:55] 那在哪吒一的时候呢其实一线和新一线就贡献了将近一半的票房然后在哪吒二的时候实际上是三四五线贡献了将近一半的票房然后如果再算上二线城市的话就是超过三分之二了对的然后我们具体算了一下如果拿哪吒二截止到春节党的这个票房表现当时是48亿是和哪吒一当时44亿的票房总结果是比较接近的我们算了一下之后四个一线城市的票房贡献
[00:14:22] 相当于里面有3.5亿的票房是转移出来了到更低线的城市那么3.5亿大家也知道好多片子这已经是它的票房总额了所以第一个比较明确的结论就是三四五线这些小城市的电影院实际上是大大的支撑起了哪吒二现在票房的奇迹当然我们刚那个数字的话主要是集中在春节档具体的时间范围里面当然哪吒二它相对来说比较长销在春节之后的寒假档还一直在卖但是基本上这个趋势是比较温和的
[00:14:49] 我想问一下第二个问题反过来说比如说一个三线城市或者说我们说更低线的城市它是不是说一年的主要的生意就靠春节岛只得这二靠小城市是不是小城市也靠春节岛
[00:15:03] 从目前最近几年的数据来看春节党的强势地位在小城市是非常明显的提升的所以是一个肯定的答案对的而且它有继续上升的趋势我们主要拉了一下今年的这一套数据我们因为要把哪吒二的情况考虑进去所以我们比较的分子是哪吒二然后它的分母是从哪吒二这个春节党倒推过去一年然后再跑掉24年的春节党相当于360天左右的一个票房的总额
[00:15:32] 这样比较下来至少有一半左右的三四五线城市他们在25年的春节党拿到的票房是占到过去一年票房的三分之一以上了就是春节党的这一周多的时间他的票房的收入相当于整个24年的三分之一然后这样的城市在三四五线里面有一半左右对我们拉出来总数大概是87个城市能达到这样的一个水平而相比之下我们看一下一线城市像
[00:16:01] 北上广深他们在这次春节党上拿到的票房占比其实大概只有10%出头你这样对比一下就这个比较明显了就相当于对于这些小城市来说他的这个春节党就相当于这个电商的双十一是是的所以说不是说开张去一年是开张去小半年但是也还挺重要的那我这边要补充一个问题就是这一些三四五线城市他们的这个春节党的票房占比如此之高和今年我们前面提到的这个票价的提升是不是有关系
[00:16:30] 是有一定的影响的我们具体因为可以拉到每个城市在这一次春节党上的这个平均票价的数据那我们会发现呢有一些城市它的春节党的电影票溢价率达到了50%
[00:16:44] 你前面我们说全国是18%你说这些有50%对然后我们看到比方说最头部的这个城市叫信仰你说这个头部是指这个涨价幅涨幅最高的城市是河南的信仰他平常看一场电影呢全年的平均票价就是44块是全国平均水平那还比较正常对这个春节档他的平均票价达到了67.9这不是说专指哪吒吧就是正常看任何一场电影的平均是的
[00:17:13] 然后包括另外一个城市大家比较熟悉三亚三亚本身就是春节人口会爆炸的一个地方三亚就是过年什么东西都长对三亚的电影票也要66块因为它平常票价略贵一点所以它的溢价率也达到了44%
[00:17:26] 其实这样子来说比如一场电影平均票价都要到60是不是跟北上广深的情况已经差不太多了甚至超过了北上广深顺便问一下北京和上海在春节档平均的票价是多少呢春节档我只说春节档北京是60.5上海是57.2其实已经比平时要高一些了是的但是毕竟原来票价就相对偏高一些所以溢价率三四线城市是远超于一线城市的
[00:17:52] 你刚刚讲了两个城市一个是信仰一个是三亚虽然是不同的原因但他们都是春节的时期人员会大量的涌入的增加的这样一个城市是不是这个票价提升跟人口的短时间的大幅的增长是有明确的相关的对 非常有关系我们做了一个数据分析里常用的手法叫相关性分析这个相关性分析的两个对象一个是
[00:18:16] 我们直接比了哪吒一和哪吒二的它的这个票房占比的差值也就是它的票房贡献率那就是这个城市的总票房在这个电影当中总票房的占比另外比较了一个是这些城市外来工作人口的数量也就是这些人大概率过年的时候是会回流到他的老家去的也就是会失去的春节的这个票房市场的一个需求端
[00:18:39] 比下来是一个非常高的相关性系数所以这里面很明确的表示说如果一座城市它的外来工作人口数量越多也就是它春节需要回老家的人越多那么这座城市在春节档的能站这个票房上面票房上面跌得越厉害如果是画一个这个坐标准的话就是应该是一个副相关的副相关的那个线对副相关的一条趋势线那反过来就是我们刚刚讲的那些城市就是因为它春节的人回来了很多所以它
[00:19:08] 这个春天的票房也增加了然后看哪家的人也多了上座率也提高然后票价还涨了因为供不应求我们大概比了一下基本上电影票溢价比较高的这些城市在河南安徽河北山东还有包括浙江和江苏这几个省里面的分布是比较多的而且像经济发达一些像浙江和江苏呢主要是他们三四线当中的三四线城市而河南安徽河北山东这些
[00:19:36] 省里面基本上是普遍性的票价比较高这个其实很大程度上因为他们的回家看电影的人太多导致他的供不应求的现象很明显所以票价的上涨也自然遵循了他的经济规律在我们这里面我们看到他们的平均上座率基本上都是普遍接近50%的而全国在春节党的上座率大概是41%这样的一个数字
[00:20:01] 所以这个其实也跟我们日常的体感比较接近
[00:20:30] 答案和我们最早分析的这个产品层面的这个原因其实可以互相结合起来哪吒二在第一线城市就是如此高的这样一个票房的贡献率和他这个产品本身的特性实际上是相吻合的就是互相叠加互相影响了之后形成了这样一个票房的爆发感觉甚至可以讨论一下他是不是因为考虑到这些因素所以他特意选在了韩家档去上是的这等于他的档期他的产品的特性以及这些城市的消费的特性
[00:20:57] 恰好完全的吻合在了一起是这里面包括了这两年其实春节档是一个在过去电影行一共是五大票房档期春节档它整体的收入占比在全大盘里面也是一个明显更加上升势头的档期也导致了很多电影它在选档期的时候会刻意选到春节档冲一把丛容我觉得你这边要稍微跟大家科普一下什么是五大档期
[00:21:22] 这五大档期一般来说我们会认为是贺岁就是元旦的这个档期春节五一暑期和国庆就是很多人会贺岁和春节搞混就是一个是元旦一个是春节这个里边应该
[00:21:35] 长期都是暑期是最主要的一个党因为它本来也比较长然后你说春节党是现在增幅最明显的是的大家也可以看哪吒一选的是暑期党他到哪吒二的时候他就跳到了春节党来播然后收获的结果确实也是更加丰厚的一个成果了其实有点差别就是在于他想要一个长线的一个稳定的一个效果还是要一个短线的爆发我觉得就是可能目前来说短线爆发的
[00:22:00] 概率会更高一点对而且虽然春节档就是我们所说的这个时间比较短但是就像我们刚讲的所谓的这个寒假档对其实还是有一个如果你短期的爆发比较长的话其实在排片上面还是可以或者说你短期爆发其实可以把它继续转变为长线的一个东西比如说像现在哪吒不是大家又有一些比如说补看或者说二刷这种需求在吗对这个我觉得就是它相对这个产品上比较厉害的就是你从我们刚刚讲的就抓住春节这个事情上面来说大家都比较清楚明显但是它这个产品本身
[00:22:29] 比如说能够抓住一些成人的一些粉丝然后二刷三刷的话其实这个就可以使得他长期的票房甚至以后的周边的延伸都有更大的潜力还有一点我觉得很重要的是春节党它可以笼络住非常多平常不看电影的人在三四五线城市因为现在电影中国整体的电影受众市场大概是在五六亿左右的一个盘子而很多人要从一年看一部电影增长到一年看两三部电影其实是非常难的
[00:22:55] 而这里面最容易去拉新这个点应该是集中在春节档所以叶老师你也别说你三部很少的样子每年只有一次召回的机会就考春节了是这样吗是的那刚才其实这两个问题的话已经把哪吒这部电影的票房的奇迹和春节档以及和低线城市的这个观影的习惯等等的我们做了一个非常清楚的分析那最后的问题的话我觉得可以稍微延展开来
[00:23:22] 低线城市对于哪吒票房这个支撑背后有没有一些这个三四五线城市本身电影市场发展的一些变化比如说我们刚刚讲到的票价的增长啊等等也好院线的这个变化等等也好这两年有没有一些趋势是暗含了今年这样的一个爆发这里面首先要给大家普及一些数据含量密度比较高的背景首先是稍微慢一点好慢一点对首先我们来看一下中国电影市场规模
[00:23:48] 然后后面因为疫情的影响慢慢呢就是基本上
[00:24:17] 我们对于中国全年能卖出多少电影票这个数字的预期基本上这几年都是稳定在400到500亿左右这样的一个水平不过这一次其实是有点超预期的比如说以春节党的一部电影就有大概100亿的票房的话其实对于全年的可预期就可以再乐观一点会的那么在这样的一个也是高速增长的一个市场总盘子里面其实它同步发展的就是供给
[00:24:42] 对电影院的数量和荧幕的数量都是在这个十几年的时间里面不只是翻倍的增长2010年的时候中国其实只有2000家电影院而到2020年的时候这个数字已经接近1.2万家了10年里面6倍荧幕的数量在这个统期从6000多块增长到了7.5万块
[00:25:04] 是十倍以上目前这个数字已经超过九万了所以其实大家能够在身边找到电影院的这个方便程度它是大大的提升同时在看电影的距离其实是更近了对这里面的很多扩张其实是进入了第一线城市一线城市其实只是在电影院上增加了密度
[00:25:23] 而低线城市不光是新增加了电影院并且这些电影院是大大改善了观影体验的它里面提到了很多的比方说特效厅是在过去你可能过去在低线城市3D电影是看不上的而现在它不仅有3D它可能还有剧目还有这些好的音效
[00:25:40] 它其实都可以在低线的城市去实现这也对于很多定价比较高的一些带电影特效的这些影片也给他们提供了更好的观影体验和消费的机会就大片在国内这个渠道上的供给是大大增加了这个确实就是我们之前因为有期节目专门讲到过IMAX这样一个技术的公司因为它现在有很多的国产替代有Sanity然后像你刚刚讲的剧目因为他们的价格
[00:26:05] 相对便宜相对便宜一些所以也更加有利于他们在更多的城市去扩张他们这个设备我也有个问题就是特效厅这个比例是比如说提高有一个明显的数字吗是的特效厅其实在更早的10年前都听这个数字都不太被统计最多大家会说一下MX比方说在中国有那么小几百块小几百块屏幕那么真正去对特效厅做统计因为特效厅里其实概念很多的它不光是
[00:26:33] 就视觉上的像这种剧目IMAX还有音效杜比的还有它现在有高帧有一些4K它有很多复杂的这些效果那么整体来说有个统计数据提到的是2018年的时候国内整个特效占全部影听的比例是9.8%是10%左右那么到2024年的时候这个数字比例已经增长到了12.3%具体就是从0.8万个就8000多个影听
[00:27:00] 增加到了1.5万个影厅其实单纯从绝对数字上是翻倍的翻倍的这还是很厉害而且呢就是在第一线城市因为特效厅很稀缺所以它其实是一个高产值的高产出的一个影厅不要说第一线城市一线城市比如说你看奥本海默的时候特效厅也是很稀缺的是的所以在这个特效设备的增长上面也是给整个中国电影市场的增量和观影体验就双双增加了
[00:27:27] 这里面还有一个很有意思的现象这是我跟岳老师很熟悉的一个环节其实电影院的增长它和购物中心的发展是密不可分的主要是因为有些购物中心它自己做院线品牌对这里面包括了大家熟知的万达还有后来这个星辰五月他们也做了自己的这个电影的院线品牌叫星翼现在有大概100个影厅以上了那么这些影院确实是把大家在
[00:27:52] 如何抵达一个电影的观影场所上做到了更多的攻击而且其实在14年前后的时候我们经常聊电影院的票房的时候还会专门按院线来统计而且当时看到的很多院线的名字是很稀奇古怪的因为它是地方色彩很重的地方院线而现在我们基本上不谈院线这个概念我们更多是谈影头
[00:28:15] 影头它就是全国性的比如说像万达它其实里面是自己分院线和影头就是有点像酒店影头你要解释一下是什么概念我们可以参考酒店这个行业它更多的是酒店管理公司和酒店业主方之间的关系所以说影头是影头是那个
[00:28:31] 重资产的业主方然后院线是它上面的管理运营公司像万达它其实两边都有而像我们在上海比较常见的看到的上影或者中影他们就是院线公司它是运营这个品牌的但是影头很重要是因为它重资产投资下去它要做电影院所以更多的时候我们会按影头来统计他们是不是能够在自己的这个专业条件上拿到一个市场份额的占比那这两年影头的这个情况是更好一些吗
[00:29:00] 其实影投的行业我觉得可以回头细说它在整个电影票房横盘三四年之后其实是遭到了一些冲击的包括它的供给现在增量太大以及这个电影的票房市场的增长不在之后对影投公司来说还是有一定的下行压力的资产回报率的水平你提前的为后面的增量来投资但是后面其实没有增量是包括这里面有一个很有名的这个品牌它也是院线加影投在一起的大D
[00:29:28] 大地其实在大概十年前是我们关注的一个重点对象因为当时低线城市的影院扩张它是一个主力它甚至长期位居国内影院投资公司的前三名而且电影院的数量也是仅次于万达的但是这两年它的整个票房收入的下滑包括在一些低线城市可能投资回报率很难站稳其实是遭遇了它自己经营上的一些重创
[00:29:52] 今年春节党有一个著名的阴谋论就是因为某一个著名的院线他对于某部影片的偏爱和对于某部影片的不偏爱导致他的排片会有一些差别
[00:30:03] 你觉得就是在实际的情况上会有这个影响吗排片其实我们觉得它是一个更加市场化的手段这个里面它可能会有一些垄断性运营造成的一些结果但是最终排片它又是和消费者的反馈密切相关的尤其是像低线城市的市场来说排片在春节党可能是一门技术但同时可能也不是因为最终所有的消费者会把你带向那个
[00:30:31] 增长最快然后票房预期最高的片子最后所有的观众都想看哪吒你就猛拍哪吒就可以了是的这其实所谓的排片的问题可能就是在前两天尤其春节党的开始的部分我感觉就是这几年春节党都是讨论的一个话题就是排片的这个事情那就是因为春节党本身太短了所以说排片变成一个就是说很大的一个影响有点博弈论的一个东西对OK今天我们请丛乐一起来聊聊哪吒的票房为何如此之高
[00:30:57] 从电影的层面他在产品设计工业水平上都做得足够了好同时又获得了票价上涨的这样一个溢价这都助推了他的票房奇迹他在电影以外三四五线城市是另一个容易被忽略的重要支撑力量春节这个特殊的人口流动潮汐期和电影院线过去几年的变迁点加在一起最后共振出了哪吒二这个票房的奇迹基于这个逻辑我们大可以期待下一次的热浪电影就是这样
