Vol.247 想做跨国生意，先与汇率共舞
[00:03:15] 是的这是一个经典的叫汇率逆风局相反在本国货币走弱的国家就会出现汇率顺风局这里可以举丰田的例子大家可能都知道丰田有相当一部分销售额是在日本之外的海外市场的
[00:03:31] 那么日元至于美元欧元的汇率波动其实对于公司的业绩影响就会比较显著还是看2025财年情况可以看到丰田当年的营业利润是4.8万亿日元其实超出了原本的预期是4.3万亿就是超出不少但是这个超出预期的主要贡献者不是他们一直在努力的成本削减也不是营销努力而是因为日元贬值了然后就带来了0.53万亿元的汇率影响
[00:03:59] 其实这个占比非常高了已经等于你这个汇率打个响指就把财报美化好了你其他什么也不用做这个也是为什么有日本很多的这种上市公司它这个股价经常对于日元贬值的消息非常敏感因为对于他们很有利这两个例子是一正一反实际上很好的说明了汇率波动对于公司业绩披露的不可控性而更大的不可控性其实更容易出现在一些新兴国家市场
[00:04:24] 因为他们本身这个国家的货币波动就非常的剧烈公司如果不小心应对呢就很容易出现巨额的亏损
[00:04:32] 这里我们想举的例子
[00:04:59] 他在尼日利亚当地获得收入的是奈拉对吧但是他建设这种比如说通信的交换站租赁铁塔这些运营支出里面有40%是用美元计价的另外他还有44%的债务是美元债所以说就导致这个公司的2024财年的财报非常的难看公司以奈拉计算这个运营支出就是飙升而且还产生了9254亿奈拉的
[00:05:24] 巨额对汇损失所以说就是我们之前提到2025年包括MTN尼日利亚在内的三大通信运营商在尼日利亚都宣布要提价50%这个最后就导致了移动流量在尼日利亚变得更贵这个是一系列过程其实都是从汇率的波动传导过来的上一期我们讲到过这个问题尼日利亚的通信运营商都要大涨价本来还要涨100%的被压下来涨50%
[00:05:50] 如果你看这个一头一尾的链条的话实际上就是因为通货膨胀了所以我要涨价但是当中怎么传导的呢其实是因为这个汇率的方式主要是因为汇率其实像MTN尼日利亚这个财报里面就明确说奈拉和美元之间的汇率每波动10%
[00:06:06] 公司这个EBITDA的利润率就会波动1%到1.5%那么假设说这个公司本身的利润率就很薄的话那个波动1%到1.5%其实对于公司来说就很要命了更何况波动70%这样的一个数字对吧举了这么多例子汇率对于公司的影响其实大家应该能感受得到的就有的时候就是那个颠倒天平的那种决定性的因素那么接下来一个很自然的问题就是对这些公司来说这个汇率的波动是一个可以解决的问题吗
[00:06:34] 不能完全解决实际上看所有的这些公司报表都可以看到哪怕在这个方面做得很好的公司也只是部分的消除汇率影响或者降低汇率影响不过这个方法还是蛮多的至少有五种其中的三种我们会在之后再详细展开这里可以先简单介绍两种比较简单的方法首先就是始终使用对于公司有利的货币结算把汇率波动的烦恼留给用户这也是一种方法
[00:07:03] 怎么不是一种方法呢就是你可以这么想如果一个公司诚心要在本地市场做好生意那其实最有诚意的方法肯定是用本地货币本地的结算方式对吧这样也很容易推广是但是有的时候呢一些跨国公司就是坚持让你付美元坚持让你付欧元为什么会制造这样的障碍搞这种麻烦呢主要原因就是他们可能不太愿意承受这种汇率波动的风险以及换汇的麻烦OK这点其实我也是在做前面那个流媒体订阅价格对比的时候发现的
[00:07:32] 因为在有些国家比如说加纳和斯里兰卡Netflix都不提供本地货币的标价只有美元标价就你如果想在当地订阅Netflix你就必须要付美元
[00:07:43] 我顺便查了一下这个加拿大的本国货币叫做赛蒂赛蒂是2025年全球贬值幅度最大的货币之一那斯里兰卡更加是早就崩了它2022年开始就进入超高通胀一个经济危机这个本地货币就是跟纸也没有太大的差别我觉得这种方法虽然简单然后也很有效但是不是常常都能使用的对吧而且是有一些特定的情况下才能用的那另一种简单的方法是什么假假
[00:08:10] 就是它虽然还是接受你的本地货币来支付但是要把汇率波动的风险部分或者全部的转回给你这里我们还是可以举Netflix和Spotify的例子听说Netflix从2024年4月开始在两年左右的时间里面这个公司在尼日利亚涨了三次价如果我们只看头尾以本地货币奈拉的价格来看最便宜的移动套餐涨了56%标准套餐涨了80.5%
[00:08:38] 高级套餐涨了93%好多这是非常多那再看SpotifySpotify在差不多时段内在尼日利亚也涨过两次价但只针对高级套餐但是涨价的幅度也有77.8%那我觉得这个简单粗暴的程度跟直接使用外币也差不了太多了其实除了汇率波动以外加价还可以用来消化各种各样就是别的新增的这种中间成本比如说2025年中菲律宾是宣布针对数字服务加收12%的增值税
[00:09:07] 那这个增值税部分呢这些数字服务的公司比如说Google Netflix就很快就把它加到了这个服务订阅价格里面就是他不承担这个部分你自己承担吧他们这个就是根本就没有什么博弈啊或者说自己消化一点这种不考虑这种事情没有任何这种自己消化的意愿啊我想到一个非数字的就是一个实体的公司就是特斯拉它过去产能仅限于美国的时候它其实在全球卖出口的时候也会经常根据汇率的波动来调价所以有段时间在中国一会儿降价一会儿加价本节目第一期的话题是的
[00:09:37] OK那到这里呢其实我们已经解决了开头提出的两个问题当中的一个半了第一就是为什么汇率对于公司是个问题第二就是如何来解决这个问题不能解决就不能solve但是能够handle可以handle在五个handle的方法里边的月老师已经介绍了两种非常简单粗暴的方式比较缺的方法一个是职业加价另外一个就是始终使用对你更有利的货币接下来我们就再详细展开剩下的三种解决方案
[00:10:05] 我们前面提到直接加价以及只接受强势的货币这两种方案呢简单粗暴吃相也不是很好看所以呢很多大公司就还是会用一些更运会的方法来消化这种汇率的影响而且我觉得前面那两种方法其实还是适用于一些说穿了这些大公司不是那么重大的一些市场里面对吧如果你真的非常重要的一些市场里面有可能就没有那么容易简单粗暴的来解决了对有很多别的方案我们可以先讲一种偏金融的方案叫做现金流对冲
[00:10:34] 它的核心思想其实很简单就是既然问题出在汇率本身的波动上那我们就想办法把汇率锁定让它不要波动就可以了我觉得这个部分大家就不要听那个名字本身是什么了就什么什么现金融对冲不用去管它你就听那个具体方法到底怎么样吧讲一下这个操作好吗锁定汇率的需求其实是很普遍的嘛那其实金融市场就会发明出相应的工具那具体的操作层面至少有两种常用的方法一种叫做
[00:11:01] 外汇远期合约一种叫做外汇期权远期合约原理更简单一点我们就先拿这个来举例子假设我现在在雀巢工作又是雀巢雀巢比较简单我想要确认一年以后美元对瑞士法郎的汇率那假设说现在这个汇率是1美元对0.77瑞士法郎而过去一年瑞朗不是一直在走强吗再这么强下去我的财报就不强了那我就跟银行商量比如说我们一年以后公司有100亿美元
[00:11:30] 要对汇那我是不是可以按照1比0.7的这个汇率对称瑞士法郎我就是给你一点走强空间但是不给走太多如果银行同意了我们就定立了一份外汇远期合约规模100亿实现一年汇率歇斯是0.7那么一年以后不管当时瑞朗的汇率变成了0.8还是0.5我们都按0.7来执行就是非常的稳定非常的固定对吧
[00:11:54] 但是也太不灵活了吧而且就是银行为什么愿意跟你这么来定呢他赚的什么钱呢这个方案最大的好处就是稳定简单最大缺点是不够灵活所以说就是大家去讨论可能还是说我们能不能谈一个比较合理的就是大家都能可预期的觉得不错的一个汇率的位置就只要能谈到这个位置其实是使用外汇远期合约的这个概率还是比较高的
[00:12:18] 大家都预期比如说以后瑞士法郎接下来一年要涨的然后涨的呢大家的预期是有个区间我就在里面选一个区间那银行也就固定在里面能够赚到这个汇率的钱了但是呢有可能你赚不到最多的钱对然后对于公司来说我就稳定下来了对这个主要好处是在公司的层面那银行的层面它其实是不是靠这个合约本身来赚钱的它是基于说比如说我们约定好这个汇率的位置那我在这个汇率的这个范围内
[00:12:46] 我在做一些外部的反向操作与这个位置之间在形成利差我赚的是我自己努力的利差的部分就是其实我预期有可能它不会涨得更多我会用一些别的操作对对对OK对对这里又比较复杂具体我们就不展开大家可以记住一个点就是银行在这个事情上不赚这些公司的钱他主要是自己去挣那个利差他不是在跟你赌那除了远期合约呢我们还可以跟银行交易另外一种产品就前面说的外汇期权
[00:13:12] 比如说我们还是想要1比0.7这个位置我们可以买一份相应的期权代表我们会在一年以后在100亿美元的规模上基于1比0.7这个汇率行使将美元换成瑞士法郎的权利有点绕啊但是我理解了一下这个跟刚才你讲的合约有什么区别呢远期合约的本质是合同合同你就必须遵守那期权的优势在于它既可以遵守也可以不遵守就是它是个权利对吧你可以不行使是的就是这个点
[00:13:41] 公司完全可以按照一年以后的实际汇率来决定
[00:14:08] 举手提问这对于公司来说更加爽对吧我就是都那波动波动的风险我都已经规避掉了那银行凭什么要帮你接这个风险他搞得像保险公司一样对所以说在这种灵活度更高的产品上面银行就一定要赚你的钱了他会要求你按照交易量的一定比例来付权利金一般来说是2%到5%这个范围如果说你对汇资金量很大但是利润空间又很薄的公司来说这其实就算是一笔
[00:14:34] 不小的支出了就这个风险还是折成一定的价格的是的就灵活度是可以折价的所以说在实际使用当中可以看到外汇远期合约的使用频率还是要高于外汇期权的毕竟2% 5%还是满十打十的一个钱对可以看到对于那种国外业务比较庞大现金流也很大的公司来说通过这类金融衍生品来锁定汇率降低汇率波动对于利润的冲击已经是一个很重要的常规操作了
[00:15:01] 这里我们可以看可口可乐的例子很经典的一个全球性的公司可口可乐在2024财年有超过92亿美元的现金流对冲产品主要就是远期合约而到了2025财年这个规模进一步提升到了97.6亿美元就你刚刚说的什么100亿美元是实际存在的对这种大公司来说就是这么大个规模就是这么大规模可口可乐对冲的主要货币就是日元欧元其次也包括像英镑澳元等等的
[00:15:28] 我们可以继续再看一下这两年波动稍微大一点的日元2024年日元对美元实际是贬值了7%那如果说没有衍生品保护呢口口的利润就会少一块
[00:15:39] 虽然口可乐是全球都卖的但是公司的金融衍生品并没有覆盖全球所有的货币比如说像一些阿根廷比索以及我们前面一直在提的尼日利亚奈拉这种新兴市场的货币都不包括在内这个讲的我就有点不太懂了它不就是为了规避汇率的波动吗但你刚刚讲那些新兴国家的货币前面讲了那么多什么奈拉70%的贬值它不应该在这个地方锁定吗减少这个波动吗
[00:16:05] 这个问题就是有点怪主要原因呢就是因为有些深层的原因
[00:16:12] 简单来说首先市场上其实缺乏像尼日利亚奈拉和美元这种标准的合约产品就没有人给你做这个业务当然其实市场上也有一些迂回的解决方法那这些方案往往涉及到美元结算而我们知道一般来说一个国家如果出现了恶性通货膨胀货币快速贬值的情况你作为这个国家政府其实第一反应一般来说就是外汇管制这个就会导致市面上的美元迅速的耗尽那你对于美元结算的产品来说这个办法就行不通了
[00:16:41] 其实能不能执行下去这个有没有具体的
[00:17:08] 你日历呀奈拉是个什么东西银行也很清楚呀对吧你如果想早早锁定这个汇率那银行从远期角度来说银行看到是血本无归所以他不会愿意跟你做即使真的做了银行也一般会收取非常高的权利金比如说要你交易规模30%到40%
[00:17:28] 到了这个程度的话就是你刚讲的远期合约或者外汇的期权的话它这个波动还是相对来说比较合理的相对比较小的一些波动如果你真到了那种就是惊涛骇浪的那些货币里面其实它就有点没必要了没有任何的必要对如果你是保险的话你把这个风险给到银行这边它最后有可能是要打穿的那对它来说就没有这个必要了看我一个比喻就是在这种时候去买这种外汇期权就类似于你的房子已经在着火了你再投火灾险
[00:17:57] 很形象很形象那么话说回来既然这种两种进入的方案都不行的话那怎么办对于这些跨公司在这些市场里面就是硬扛汇率对如果你看MTN尼日利亚的财报它当年就是硬扛然后造成巨额的亏损可口可乐在尼日利亚也有业务也硬扛扛了一年扛不住了要到2025年就把尼日利亚业务直接卖掉了确实在这些地方的话汇率的问题其实就是很难很好的来
[00:18:25] 控制来解决的就当你这个汇率波动到这种程度的话对尽可能能够控制波动风险的话那大家都会想说去控制它所以才会有像远期合约或者外汇期权这样的金融产品那这类产品还是那个点它普遍适用于很成熟的波动不是很大的货币我插问一下刚才可口可乐把尼利亚这个卖掉卖了多少钱你再一点是这个嘛其实卖掉也是一种像是把这个风险给固定下来一种方式嘛对吧就是我一枪头就给
[00:18:54] 就是收一笔钱这以后我就不要了是可以这样看就是可以看财报里面可口可乐在这块获得了1.06亿美元的现金看上去是赚的但是因为他卖掉这个部分还要把过去几年累积在账面上的外币折损的亏损一次性再结清亏东西要一次性算进去的然后两项冲底最后是亏了3.93亿美元就是割肉纯纯割肉
[00:19:20] 刚才游老师是介绍了一种就是金融上面能够来尽量规避汇率波动的这个方法那具体的产品一个是远期的合约一个就是外汇的期权那接下来还有什么方法呢接下来我们可以讲另一种方法叫做自然对冲
[00:19:37] 讲到自然对冲呢就是比前面讲金融衍生品好理解多了因为它思路非常非常简单一句话概括就是本地赚钱本地花一分别想带回家市价利润当然还是可以带回家的自然对冲主要意思就是你在这个国家产生本地货币的收入了就应该尽量以成本的方式把这些本地货币花掉比如说你是一个美国公司你在新加坡有本地团队那给他们发工资就应该用新币而不是用美元对
[00:20:04] 再比如说可以把本地赚来的钱通过在本地采购资源或者打广告促销等等方式就是想办法把它花掉那这个方式其实就是特别适用于像Netflix这样的公司根据官方说法Netflix现在在全球的190多个国家运营日常接触的货币就超过了45种过去自然对冲就是它最主要的降低汇率风险的方法如果我们看它2025财年的财报它还有百分之接近60的收入是采用自然对冲来处理的
[00:20:33] 这个自然对冲的话我理解应该大头不是那个给本地员工发工资对吧应该就是我们比较熟悉的在各个地区来做当地的那些剧对原创的创作的那个成本是的从这个角度来理解其实Netflix就是这个全球化这个策略还蛮有意思的是的我们为什么说这个模式特别适用于它有一个最重要原因就是
[00:20:56] 流媒体公司在海外每个国家运营的时候都不能只提供同一套国际大制作或者是经典内容就够了一定还要有相当大笔的本地内容填充进去这样对于本地用户的吸引力才够强有些国家甚至它本身就有很好的饮食制作工业在成本合适的情况下这就是一个最好的方案要么是自己在买当地的剧作或者电影要么就是在当地直接拍摄是的
[00:21:21] 到这里呢我们又可以举尼日利亚的例子这也可以尼日利亚吗这也可以尼日利亚就是在电影行业大家肯定知道有一个好莱坞大概率你也知道有一个宝莱坞是印度制作而尼日利亚呢实际上它是世界第三大电影制作基地它叫Nollywood这个句子之前有点那个孤陋寡闻了
[00:21:40] 它本地内容的制作性价比非常之高你虽然说这个公司在本地运营可能比较艰难但是很有利于内容的采购我觉得这个可能就是Netflix排除万难也要保留在尼日利亚运营的主要原因之一当然我觉得从这个角度来看的话它有可能把那里是作为一个就是生产基地为主了而不是说我为了在这边卖它的订阅而在这边保留生产应该是这个反过来了是的
[00:22:06] 而且我们可以再看一个点就是如果说你在海外制作这个内容质量足够高的话它其实又可以反过来借助Netflix全球发行能力在其他国家去赚欧元赚美元这个最典型例子就是韩国鱿鱼游戏嘛鱿鱼游戏就已经完全跳出了这个财务层面的自然对冲去比如说赚韩元花韩元这个逻辑而是变成了一个可以在全球创收的内容产品这个其实对于Netflix来说是更好的结果就是它全球的采购和全球的创作
[00:22:34] 你说它是赚外币花外币
[00:23:01] 但是在财报里面呢每个国家的收入支出和利润不都要重新按照这个汇率再换算成本币的吗对吧那你最后对冲了个啥呢对自然对冲实际上是一个相对的概念它对冲的是另外一种运营模式就是赚外币花本币的风险它保护的是利润空间和利润率这样说就是有点抽象很抽象对对对我们举个比较极端的假设的例子这个汇率是假设的就不要信啊假设有一家公司
[00:23:31] 他在印度去年可以收入100万卢比他的成本可以有两种解决方案一种是花美元每年花1万美元另一种是花卢比每年花50万卢比而去年的美元和卢比的汇率正好是1美元换50卢比这是一回事情吗对就是两种方案完全等价就是收入等价这个成本也等价对吧都只有30美元来看呢就是对应都是1万美元的利润50%利润率对吧对但到了今年卢比暴跌
[00:24:00] 这都是假设这是瞎说的1美元换100卢比1万美元就是100万卢比了对在完全相同的经营数字下这两种方法的利润差距就会很明显如果是赚卢比花卢比其实利润率没有变化还是50%的利润率但是如果是赚卢比花美元的情况下你收入的100万卢比相当于1万美元对吧你花掉的1万美元就是1万美元你利润一下子就归零了归零
[00:24:29] 但是它其实是规避的一种最最亏的一种方式是吗是的就是因为你在当地如果你做一些采购或者你就是买一些设备等等你还是用外币去购买的话你得就是所谓的花外币对吧比如花的是美元但如果你本地的货币对于美元的汇率是大幅的贬值的话你就有很大的风险我看一下就是卢比这五年确实没有跌得有这么严重所以说实际上对于利润清是不会到归零这么严重但其实就是有这个问题一定是会有这个问题的
[00:24:58] 大家大致理解自然对冲就是让成本和收入同步缩水和同步放大那利润空间是保持不变的而如果成本是在外的话那它的收入弹性是向下的成本是刚性的其实对应的利润空间是会变小的我觉得它主要的一些场景就是一些跨公司在一些比较新兴的市场它有可能有些东西你可以本地的采购本地的消费但是过去有的习惯是你有可能都要从外面再采购比如进口回来等等的
[00:25:25] 如果你是这种方式的话你就有很大的汇率风险或者说我们可以举个很常见的例子是外贸企业外贸企业的收入是在外的但是生产制造这些东西都是在内的然后它最后还要换成本币的话这个过程有可能会有比较大的风险当然我觉得它还是有一定的适用范围的比如说你一个公司在这个国家能够卖很多的钱收入非常非常多但是你花钱的空间很少你是一个比如说高利润的一个公司运营模式你就办公室几个人然后几个销售的代表
[00:25:52] 然后也不用找本地的供应商啊也不用采购什么服务啊办公室也不用你外币都花不出去的话也不用做广告对吧对你就很难做自然对冲对了那这种情况下是不是还是前面讲的金融衍生品会有效一点是的
[00:26:07] 前面我们又学习了一种汇率对冲的方案其实是和日常经营结合在一起的就叫做自然对冲我觉得这些名字真的不是很重要跟它实际的东西很难建立起直接的关系还是本地赚钱本地花这个我觉得更加的清晰明了一点岳老师已经讲了四种了前面两种简单粗暴一个是加价一个是直接使用对自己有利的货币第三种就是衍生品的对冲主要是金融方案
[00:26:33] 第四种是自然对冲主要是经营上面的一个操作最后一种方案是什么呢最后一种叫做债务对冲简单来说就是你产生什么货币的收入就发什么货币的债券就赚什么钱就欠什么钱对是这个意思它的核心其实跟自然对冲有类似之处就是如果说我们说现金流量对冲调整的是现金流量表自然对冲调整的是利润表那么债务对冲很显然它就只能调整一个表叫做资产负债表
[00:27:01] 虽然你这个就是排比非常的清晰明了但是请用人话再解释一下我们可以举个例子就是在海外买房子这个里面有很多理想化的假设就听个意思就行假设我现在要在欧洲买一套100万欧元的房子这是理想的假设解释有两种方案一种是我现在就把人民币换成欧元全款买这个就已经很理想了对吧另一种是我把人民币换成欧元但是我只支付20万欧元的首付
[00:27:29] 另外80万欧元我可以去申请欧元的贷款然后每个月用人民币再换成欧元还贷你选哪个我不看这个汇率不汇率的我肯定是先选择贷款了大家都是有的钱先借钱贷款的杠杆属性肯定是它最大的优势它甚至跟汇率没有任何的关系但是这里还是有一个优势就是它消化了一部分利率的影响我们假设未来欧元暴跌
[00:27:53] 从人民币视角来看呢这个房子价格就会缩水那我当时全款买不就很亏吗是的但是如果是用了大笔贷款那其实我每个月还贷的压力会变小呀你心情是不是就好了很多那如果就是这个欧元暴涨的话是不是反过来了吗对所以这个当中还是有一个对汇率的趋势的一个判断是的OK那么其实对于企业来说呢是类似的就如果说这个企业在比如这个国家有比较重的资产和建设目标比如说要建厂房搞产线
[00:28:21] 那其实申请贷款就是一个必然的事情了但是有一个问题就是比如说一个美国公司去欧洲搞开发那他申请贷款就是我可以选择在比如说我美国本土去发贷款也可以去在欧洲发贷款因为那边相对来说比较流通但这个就是可以选择因为比如说美国市场他可能说对你了解更深欧元市场有可能有一些别的好处但是如果说你考虑说欧元潜在下跌的风险那其实应该去考虑申请欧元贷款
[00:28:49] 因为欧元贷款可以直接投资出去这其实还是本地赚钱本地花的一回事是一回事只不过这个钱是带来的不是赚来的OK因为除了投资以外这类贷款一般还可以用来做很多别的事情比如说收购本地业务回购股票支付股息等等用法很多而且都是跟实际运营密切相关的而在财务层面这种借来的外币债券还可以有另一层用途就是
[00:29:15] 财务可以把它设定为海外净投资对冲工具怎么说名字不重要主要就是一个财务层面操作就是把这个债券贴上这个标签以后它因为汇率变动所产生的收益或者亏损就不会影响利润表而是进入资产负债表资产端呢本来说这些债券对应的海外资产本身也会因为汇率的波动有一些账面的增值或者缩水然后你自己的债务也有增值或者缩水那这样两相冲抵汇率的波动
[00:29:45] 就基本没有了我给大家简单的一种话解释一下反正就是它是一个财报上的一个操作好处的话就是你财报上这个利润就不太会受影响主要就在资产和负债那边在受影响这个我们就先不管了但是反正就是财务上面这个是一个很重要的一个很不错的一个操作很有性价比一个操作
[00:30:03] 最后在欧洲发展其实还有一个好处就是便宜我们还是看可口可乐的2025年财报可以看出来当年公司的美元债的平均利率是3.6%欧元债只有2.4%哪怕你从利息支出的角度你在财务层面也应该多考虑一下欧元债这样的公司利息就是更少那等于如果一个美国公司它有比较大的海外业务的话那么发海外债券其实有一石三鸟的这样一个功效
[00:30:31] 首先就是你在当地搞这个业务能够获得一大笔运营的资金而且是当地的货币你花起来也很方便这是运营层面的其次就是财务层面能够把这些债券作为资产负债表上面一个对冲汇率风险的工具反正就是它能够再让财报变得好看一些
[00:30:48] 第三个功效就是海外债有可能比美元债的利率更低相应的利息支出也会更低这是我们现在讲到一些有可能出现的实际情况对所以说对非常大的公司来说债务对冲也是经常考虑一个控制汇率风险的方案因为它其实是个顺水推舟的过程很自然其实我们最后还是再看一眼可口可乐的财报前面说它的金融衍生品的规模在2025财年是接近98亿美元
[00:31:15] 而如果看它这个所谓海外净投资对冲工具也就是债务对冲的部分可以发现这个部分的规模更大是接近150亿美元的其中绝大部分是欧元债因为可口可乐在欧洲是一个偏重资产运营的一个策略而且在2018年还收购了Costa所以说发债对它来说既有名目也有价值
[00:31:34] 那如果再加上遍及全球这些分公司可口可乐实际上肯定也有这个自然对冲的部分不过规模会小很多等于说它是综合运用了多种策略来降低汇率对于它业绩的影响可口可乐可以说是最经典的全球化公司的这个案例之一了那我觉得它对于汇率波动的风险认识还有相应的处理方法
[00:31:55] 也是在进一步保护自己的胜利果实
[00:32:24] 在真正的全球化语境下其实汇率就像海面上那种变幻莫测的风向那你造一艘大船有很强的航行能力固然重要但善加利用风向的人也会获得更好的速度和机会但逆势而为呢有可能就会很快的把你送回原点商业就是这样
