Vol.81 费德勒的商业成功，并非理所当然
[00:05:32] 你像劳力士和奔驰他们跟费德勒的合作时间都超过了15年这个是非常难得的然后大多数品牌也都在四五年甚至更多了我觉得这一方面肯定是因为代言人本身的倾向因为像费德勒这样声望的网球运动员想要砸钱请他做短期合作的品牌肯定有很多但是可以看出来费德勒是精挑细选他代言的大多数都是那种酒精考验的品牌甚至这些品牌的气质整体都放在一起很和谐都是那个样子的品牌
[00:06:01] 那这个就要说到菲德勒从耐克到优衣库的这个话题了
[00:06:21] 其实我们在铺垫完前面这些背景之后就比较能够理解为什么费德勒和优衣库的这份长夜当年那么引人关注甚至有的人觉得是有一定风险的当时的费德勒已经是处于职业生涯的一个暮年了嘛他自己都说过我穿的每一件优衣库的战袍都有可能是最后一件就是随时可能退役而且他的比赛成绩确实在那个时间段已经不算是最顶尖的了
[00:06:44] 那过去四年虽然费德勒仍然有一些不错的表现但最终还是没有穿着优衣裤拿到过大满贯的冠军吧讲的直白一点就是这份网球史上最大的赞助合同其实在绝大多数年份都是给到一位准退役运动员的这样听上去就有点不太妙是吧这个肯定有蛮大的风险的因为绝大多数运动员不管成绩再怎么好退役之后这个报复度肯定都会下降很多的那其实也能理解为什么耐克不愿意再给费德勒再续一份同样的合同了
[00:07:13] 是的就说到耐克其实在此之前啊就耐克和费德勒的这个合约已经很高了是每年1200万美元已经是网谈之最了但是和3000万相比显然是差距还是很大的纽约时报杂志曾经就报道过他们两方这个分道扬镳的一些幕后啊对于耐克而言他做这个选择其实思路非常简单就是太贵了耐克当年网球业务的整个的销售额也就3.5亿美元就是在2018年的时候占整个耐克公司的1%都不到
[00:07:42] 那接下来重点就来了根据曾经负责耐克网球业务的Mike Nakajima说耐克有一条隐形的规则就是你单个项目的明星赞助费最好不要超过这个项目的销售额的十分之一也就是说耐克当年给所有网球运动员的这个赞助预算最多也就3500万美元而且耐克除了费德勒以外还签了纳达尔小微等等很多的网球运动员不止费德勒一个
[00:08:08] 这个耐尔达尔和小微这理论上也是应该给长约的人然后耐克还在三千五百万预算里面挤了超过三分之一给费德勒这个已经是很大的一个荣誉了是啊所以就是耐克其实基于这样的一个非常简单的算术题没有愿意给费德勒一个三千万这么大的一个合同以及十年这样一个长约其实耐克本身给这种即将退的运动员超长的合同或者是所谓的终身合同是非常罕见的
[00:08:36] 严格意义上耐克只给过一个人终身合同就是勒布朗詹姆斯一共是10亿美元那毕竟这个詹姆斯的篮球鞋是耐克一个非常重要的收入来源吧这个就比较好理解所以为什么优衣库愿意给费德这么多钱吗是日本人人傻钱多素来吗我们这么来理解吧就是优衣库对费德勒采用了一个完全不同的估值方式我们用这个投资人对创业公司那种方式来说
[00:09:03] 怎么来说呢就首先他认为费德勒即使退役了仍然能维持很高的曝光度就是和一般的我们前面讲的这种一般退役运动员的这种情况他觉得费德勒是比较特殊的这个当然也有一些现在的这个现实情况和一些数字可以来佐证啊举个例子在疫情期间费德勒其实参加的比赛已经非常少了但是他仍然能够轻松的为免一项冠军就是整个ATP最受球迷欢迎的运动员
[00:09:30] ATP其实是从2000年才开始有这样一个奖项的基本上和费德勒的整个职业生涯差不多起步而且他完全是靠球迷投票来选出来的第一年的获奖者是当时的巴西球星库尔腾后面两年都是萨芬夺冠从2003年开始到2021年费德勒是连续19年当选这个奖项
[00:09:52] 今年好像也毫无意外的会继续当选吧是的那这样的话就是等于是连续20年成为整个ATP最受球迷欢迎的球员不怎么打球大家还是很爱你呢这个品牌就很有信心
[00:10:05] 对那这个就是我们讲的就是个人魅力不会因为他退役而削弱这样一个点那另一个层面呢就是优衣库没有把费德勒单单的当作一个运动员所以对他的估值就不会仅限于运动服饰的市场费德勒呢一直跟时尚圈走得很近他在时尚圈里边最有名的一个朋友就是Vogue杂志的主编温图尔据说温图尔还会帮费德勒参谋一些球衣的设计
[00:10:30] 而优衣库最近几年一直在开拓自己时尚行业的一些影响力嘛包括搞了很多设计师的联名款啊然后请了很多大牌的设计师等等的那这样一个策略背后的一大推动者就是优衣库的全球创意总裁叫江J他曾经是W加K的创意总监在时尚界里面也很有名而这个W加K呢正是耐克长期的一个非常有名的广告合作伙伴那个著名的Just Do It就是W加K帮耐克想出来的
[00:10:58] 对那正是这个张J呢他力推了优衣库和费德勒的合作而且这两个人也成为了好朋友当时费德勒还去问过温图尔的意见然后得到的回复就是你一定要去试一试要知道费德勒是当选过GQ杂志2010-2019年整个10年的最佳型男的所以和优衣库合作呢除了网球服装的合作以外完全可以拓展到像休闲啊时尚等等这些产品
[00:11:24] 事实上费德勒确实是这么做的像2018年他来上海参加优衣库活动的时候穿的就是Lamere为优衣库设计的一套西装所以相当于是一个全能代言人对我记得当时费德勒说他这个合作的一个原话是我和优衣库的共鸣在于他们不把我只看作是一个运动员而是尊重我在体育之外的热情和影响力相当于一方面钱到位了另一方面理念也到位了
[00:11:49] 那相比之下的话耐克在这个后面这个就是运动员之外的这个空间里边他的发挥就比较有限了嘛像前面我们提到那个纳卡基玛他在接受采访的时候曾经还说还好他自己啊在2018年的时候已经离开耐克了不然他肯定是没有办法做出要和费德勒这个解除合作的这样一个决策因为在他看来费德勒是有机会成为另一个乔丹的也就是成为另一个在退役之后还最成功的运动员
[00:12:15] 确实我们现在已经看到有些声音会把费德德和乔丹相提并论了而他跟优衣库合作其实也是为了迈向这个目标打下了一个很好的基础
[00:12:25] 前面我们花了比较多的时间来通过费德勒从耐克换到优衣库这个案例来讲一下他做品牌代言的一个思路在优衣库这个案例里面我们已经可以看到在职业生涯的后期费德勒已经在着重扩展自己在网球以外的事业了对的而要说到网球以外的事业费德勒最近几年最重要的一个商业决策就是投资了总部在瑞士的运动鞋初创公司昂也就是中文名叫昂跑的一个公司
[00:12:54] ON也是现在好几个运动鞋新贵里面的一个品牌真的新贵就是它的普通款就卖的不是很便宜了然后它的费德勒合作款还要更贵确实这个限量1000双费德勒呢是2019年的时候投资ON的这个故事也蛮有意思的就ON这个公司其实当时已经做了10年了它是2011年的时候就已经创始了那费德勒呢算是它的一个忠实用户
[00:13:17] 那在2019年的时候费德勒在瑞士他就请两位创始人吃饭说我和身边的人都穿啊我真的很喜欢你们这个品牌然后结果这创始人就说那要不你们就投我们吧不仅投我们要不你就和我们一起研发网球鞋吧这个两个要不这个后面跟的这个要求真是不一般的对结果费德勒就这样答应了
[00:13:38] 根据福布斯的报道之后费德勒是花了20天的时间在ON的实验室里面和他们一起研发网球鞋然后在2020年就推出了自己在ON的第一款鞋然后2021年更是直接穿着ON为他定制的一个网球鞋来比赛了当然更关键的还是投资啊就除了这个研发鞋以外2021年ON就在纽交所上市了市值最高的时候是接近300亿美元那今年美股是不太行降到了100多亿美元
[00:14:05] 而根据很多媒体的报道费德勒在这个上市公司的案里边大概是拥有3%左右的股份那等于也有3亿多美元了那相当于这笔投资的话其实又是帮助费德勒在职业生涯末年也就是在2020年左右的时候反而还能够登顶福布斯运动员收入排行榜这是一个非常重要的基础对但其实还是能看得出这是一个深思熟虑的决策
[00:14:29] 一方面费德勒他在和优衣库签约之后一直还没有一个球鞋的合作伙伴因为优衣库他是不做球鞋的像费德勒比赛的时候还是穿耐克另外一方面就是在累积了大量的财富之后做一些股权的投资也是体育明星常见的一个资产管理的方式
[00:14:47] 其实NBA球员在这方面会相对更突出一些比如说科比啊詹姆斯他们都会投资一些运动相关的公司像勇士队的一个打拉就投资了很多硅谷公司啊然后尤其是NFT兴起以后更多的球星又投身进来了没错那对于费德洛来说呢他有可能还没有就是赶NFT这么大的这个时髦但他投资的这个ON ON跑这样一个公司呢其实也是目标非常明确的在投他的时候这个ON他发展非常迅速
[00:15:14] 而且有一个比较明确的上市的目标而且又是做运动鞋的又是一个总部在瑞士的公司就是一切都非常符合他的要求相比起品牌代言他成为一家运动鞋公司的投资人和参与者显然是一项更可以长久发挥他影响力的事业没错这有可能也是他在这个时间点点选择投资这样公司的一个重要的一个背后的一个逻辑
[00:15:38] 那关于费德勒和Ond合作呢其实还有个点值得一说就是这个投资在官方层面上是以一家叫做Team8的公司来投的而这家公司呢其实是目前费德勒整个商业版图的关键Team8呢是费德勒和他的经纪人Tony Gossack创办的一个公司为了方便我们接下来就称他这个经纪人为Tony了在2005年之前费德勒他的所有商业啊这些经济的事务其实都是他的太太米尔卡来操办的
[00:16:07] 到了2005年费德勒已经是求王费德勒了不是瑞士快车了米尔卡就很难兼顾这么多的这些商务上的事情所以他们就想着要找一个专职的经纪人然后就找到了托尼托尼是怎么认识费德勒的呢这位托尼他1993年在达特茅斯学院快毕业的时候他就在全球著名的一个经纪公司IMG实习然后一次偶然的机会他就成为了塞莱斯团队的一员
[00:16:34] 这个塞莱斯呢是当时网球女单的世界第一塞莱斯可以说是Tony整个生命里的一个贵人了因为他介绍了两个人给他认识一位呢叫菲尔南德斯菲尔南德斯是一位很出色的网球双打运动员后来Tony就和他恋爱结婚生子了那另一位呢就是费德勒等于塞莱斯是把Tony整个引入到了职业网球这个世界里了没错
[00:16:58] 据说当时塞莱斯本来就是介绍IMG公司给费德勒因为费德勒在问一些前辈我能找哪个经纪公司吗他就把自己的经纪公司IMG介绍给他了但是费德勒说你最好给我一个明确的名字因为具体是哪个人来做我的经纪人对我来说很重要塞莱斯就跟他说我很信任托尼
[00:17:15] 据说费德勒夫妇也正好认识费尔南德斯然后了解了一下之后就觉得费尔南德斯的丈夫应该是个可以信任的人这个塞莱斯真的是一个贵人那托尼呢确实也做的比较出色我们看到过纽约时报杂志写过一个小的段子就是在2006年的时候当时这个吉列就是那个做T渠道的吉列品牌想要在泰格伍兹以外再找一位体育界的代言人据说当时就有两个选项一个是费德勒一个是纳达尔
[00:17:43] 然后托尼就出了一招他在当年就是2006年的美国网球公开赛的南丹决赛当中邀请了泰格伍兹坐在了费德勒的球员包厢里边后来虽然托尼否认说这件事情和吉列的合作有关系但在隔年2007年的时候吉列确实和费德勒合作了从这么一个小动作就可以看出来托尼确实很擅长经济工作对的
[00:18:07] 那他和费德勒是从2005年合作至今啊双方已经不单单是一个工作伙伴的关系而且变成了密友两家人的关系是非常好的就你经常可以在费德勒球员包厢里面看到托尼的孩子在那边给他加油助威顺便一提托尼的儿子现在自己也是一位职业的网球运动员了还记得我们前面刚才提到的费德勒的赞助商里面有很多瑞士系的公司吗其实这一点啊也能侧面的说明托尼和费德勒的一个信任的关系
[00:18:35] 因为费德勒在采访的时候就说过Tony和我共同的成长他理解家庭对我的重要性也理解家乡市场对我的重要性
[00:18:43] 我对这句话理解就是说换作是别的经纪人的话肯定希望费德勒全局签那种国际大牌比如什么美国公司啊这钱肯定不会比瑞士的公司给的少但是Tony就很尊重费德勒的意愿嘛你愿意签瑞士就签瑞士吧没错那在2013年的时候Tony和费德勒他们就从IMG公司独立出来了合伙开了一个自己的经纪公司就是Team8目前费德勒很多的商业活动其实都是以这个公司为平台来开展的
[00:19:12] 这个公司呢除了费德勒以外还签了很多的运动员比如说有美国的这个网球运动员高夫还有阿根廷的德尔波特罗也是一位拿过大满贯的冠军不过最近也退役了大波罗大师兄那除了经济的业务以外呢teammate还是一项网球比赛拉沃尔杯的发起者
[00:19:33] 那这也是我们要聊的费德勒的第三个重要的商业决策同时呢这个拉我耳背也与我们最后的话题也就是费德勒对网球运动的影响息息相关
[00:19:44] 那我们就来说一说这个拉沃尔杯这是一项2017年推出的全新的网球赛事而且它的赛制比较特别啊就是有点点类似于高尔夫里面的那个莱德杯就是他把球员分成两队欧洲队和世界队然后每队六个人互相打打比赛打三天根据2018年的这个数据呢冠军队每人能够获得奖金25万美元不知道2022年这个数字会不会增加一些啊
[00:20:09] 这个其实就跟一般的网球比赛那种淘汰赛或者单循环那个赛制是不一样的然后这个时长也更短了那这项比赛就是由teammate也其实就是费德勒和托尼来主导来创立的有的媒体甚至直接评价过说拉乌尔杯就是Federus baby就是费德勒的一个脚孩一个产物虽然费德勒本人是谢绝了这个说法但是我觉得其实从商业上面来说不无道理
[00:20:35] 首先拉沃尔杯的这个位拉沃尔啊他是澳大利亚的一位网球的民宿像澳网的中心球场就叫罗德拉沃尔球场那为什么拉沃尔愿意把自己的名字来冠名这个新比赛呢其实就是费德勒把他这个名号给请过来的其次如果你去看一下这个拉沃尔杯的赞助商我们看了2022年的数据啊一共有13个其中有8个就是我们前面报过的费德勒的赞助商包括这个拉沃尔杯最高级的一个赞助商就创始赞助商就是劳力士
[00:21:02] 这个其实就很说明问题了两边都是一堆人给钱的对就是大家都是费德勒拘留部的成员而且呢费德勒为这个比赛真的是花费了很多的心力拉沃尔贝的时间是一个很重要的点他是在每晚结束两周以后的因为网球巡回赛啊就是ATP啊现在排的非常非常的满你要找到三天的这个时间其实并不容易而且你这个拉沃尔贝都要请一些比较排名靠前的一些大牌的球员吧
[00:21:29] 那在美网结束之后呢这一年的大满贯四大满贯就已经结束了但是离赛季结束呢还有两三个月其实是一个相对比较优越的比较有空的大排球员都比较有空的一个时间同时这个时间节点呢他也确保了他自己可以是一个正式的比赛就是在整个赛季里边的而不是一个到赛季尾声的一个休赛期里面的表演赛所以到了2019年的时候呢拉沃尔贝就被正式的纳入了ATP巡回赛的一个正式的比赛项目
[00:21:57] 据说这个时间节点呢就是费德勒本人十分坚持的只是就是有的声音有可能觉得你这个比赛应该放到休赛期里面就表演表演就可以了但费德勒觉得不要还有一个点也值得一说就是费德勒他坚持把这个赛事办成一个像网球民宿致敬的比赛所以每次比赛这个欧洲队和世界队的队长都会请一些网球民宿来担当而且比赛的收入呢也有一部分会来赞助网球名人堂这个项目
[00:22:21] 这个其实就能看出来费德乐是一个非常会做人的人而且已经把整个这个比赛这个档次或者说这个底蕴就提高了嘛就至少不会显得这个比赛真的像是费德乐自己举办的那样那话说回来像费德乐他处理人际关系这个能力啊确实是比较值得称道的也是我们看到很多业内人士或者是一些媒体的报道里面经常会赞扬他的一个部分就费德乐啊他是那种典型的就是他通过和人打交道交朋友能够获取能量的类型就他非常喜欢做这件事情
[00:22:49] 而且他为人也非常自然也非常喜欢开玩笑总而言之你很难讨厌他所以你像费德勒有很多老对手最后会变成老朋友像其中有一位代表就是罗迪克罗迪克是真正的老对手和老朋友对美国大炮罗迪克他曾经就和纽约时报讲过这样的故事说2018年的时候罗迪克请费德勒来参加一个自己的慈善基金会的一个活动来捧捧场
[00:23:12] 那他原本就以为我能把费德勒请过来已经蛮不错了你就过来给我注个信结果费德勒在这个从机场到会场的路上他就详细的问了罗迪克你这个基金会到底是做什么的你就别跟我说只是帮助儿童教育的我要想具体的了解他是做什么的然后呢他到了会场之后就主动的和会场里面每个人去攀谈讲这些慈善活动的一些具体的细节
[00:23:34] 而且他还跟一个基金会的合伙人谈起了双胞胎因为大家都知道费德勒也是有两对双胞胎的孩子他真的是一个超级摄牛超级摄牛那关于这个处理人际关系方面我们再举一个例子就是前面提到的和耐克分手的过程其实其中还有一个问题
[00:23:51] 就是费德勒的个人商标RF那个标志就是蛮好看的那个标志它是在和耐克合作的时候推出来的那因为有一个合同在先嘛所以其实在转投优衣库后两年费德勒都是不能使用这个商标的但在2020年的时候这个商标就重新出现在了费德勒的优衣库的战袍上面还有那个帽子的我跟优衣老师都买过那个帽子这个时间节点啊据说是比原来和耐克的那个合同的那个截止日期要提前了的
[00:24:18] 那你其实不难想象在这个过程当中商业谈判里面那些讨价还价都会有的不会轻松愉快的而这个过程也不会只是在这个律师和经纪人之间发生的本人肯定也会参与到一些但是费德勒呢他从来不会把这些争议摆到台面上面让你看到一些就是比较鸡毛蒜皮的那一面而是会很体面的处理一些比较复杂这种难题
[00:24:39] 就是有一种游刃有余的那种能力对就这个能力其实你要放在一个全职的那种经纪人或者职业经理人身上这个都是挺难的一件事情没错而且费德本人还要在全世界比赛对这点还是很重要的因为网球运动员他一直是处于一个全球旅行的状态的这是非常非常累的
[00:24:57] 别忘了他有两对双胞胎的孩子还带着一大家子一起来旅行其实是很困难的所以说我们前面提到费德勒之前的经纪人就是他的妻子米尔卡米尔卡在他们这个关系里面也是非常非常重要的他们两个能保持一个长期稳定的关系处理好这么多家事和商业上的事情这个其实是非常难得的一个组合了对 费德勒曾经称他的妻子为Rock就是他家里的鸡食这样的话说回来就是因为费德勒这种前面老师讲的游刃
[00:25:26] 有余的处理各种复杂关系平和各种事物的能力使得他能够传奇拉我耳背这个局对吗像我们刚才讲到的那么多关键的要素如果不是他的话很难想象能够凭空建立起来
[00:25:38] 而且对于球迷来说这个赛事也非常的重要你想想看费德勒现在职业运动员的这个身份已经退役了但他以后还有可能作为元老的身份
[00:26:07] 其实更加完美一点对吗他在决赛上面都没有输过但是有一点我觉得是可以说的就是两个人啊对于他们所处的这个运动的全球化的推广都是真的做出了非常重大的贡献展开讲讲这个其实有一位人已经总结的非常好了他就是ATP巡回赛的主席高登姿他在费德勒宣布退役之后他就发表了一段这个社交网上的一封信
[00:26:32] 他说罗杰将数以百万计的狂热粉丝带入了这项运动他引领了一个令人难以置信的新增长时代并提升了我们这项运动的知名度怎么来理解这段话呢这么说吧如果我们把视线放到本世纪初来看当时网球的这个在整个运动当中的地位的话你会发现它当然也很流行但是它其实辐射的整个范围还有它这个运动的本身的吸睛能力并不是很顶尖
[00:27:00] 我们从一个特别来看一下这样一个判断吧我们以最有名的网球比赛就是温布尔登公开赛为例在2000年的时候温网的男单冠军他的奖金是47万英镑与之相对的我们再看另一个运动就是在2000年的时候同样在英国举办的斯洛克世锦赛的冠军可以拿到的奖金是多少呢是24万英镑就大概是温网的一半吧但是比较接近
[00:27:25] 对一半是一半但是就是网球和斯诺克这个差距还不是很大没错你像2001年的时候收入最高的网球运动员就是我们前面提到的库尔腾他一年这个比赛的奖金就不算场外的比赛奖金大概是100多万美元为什么我们说这个时候不算很多呢因为你对比一下当时的NBA运动员已经能够拿到千万的年薪了然后足球运动员和一些F1车手也可以拿到好几百万那像拳击啊高尔夫就更不用说了嘛
[00:27:52] 那这个是2000年的状况我们再来看看现在2022年温网的男单冠军是德约克维奇他在这个赛事里面可以拿到奖金是200万英镑那相当于是在22年里面这个奖金就翻了四五倍了没错那我们再来看看斯诺克这个运动啊那斯诺克世锦赛在这22年里面他的冠军奖金只增加了一倍就达到50万英镑那其实已经被温网拉开了一个数量级上的差距了
[00:28:18] 而最顶尖的网球选手他的收入也是在22年里面大涨了他一年光奖金收入就可以超过千万美元和顶尖的足球运动员已经可以相提并论了嘛那这为什么就是这个网球运动员一下子变成一个可以赚很多钱的一个职业呢赛事之所以能够发更多的钱给运动员就是因为赛事自己拿到的钱更多了嘛但赛事自己的钱是从哪里来的呢就是因为赞助商增加了或者他电视版权卖的更贵了
[00:28:44] 而这些金主们愿意花钱的根本原因还是网球的人口大大增加了那这个就要受到费德勒的影响力了在本世纪初啊网球还是一个重大赛事都集中在西欧北美再加上一个澳洲吧最多这样一个运动而且可以说主阵地还是在美国为主的但现在整个ATP的巡护赛它进入了中东亚洲这两个非常重要的新兴市场这两个市场多了有可能十几几十项的新的赛事
[00:29:10] 那里面有两个代表性的赛事一个就是迪拜公开赛一个就是上海大师赛而这两项比赛费德勒只要有时间不受伤他都是会去参加的
[00:29:20] 对于这些相对新兴的网球市场就是怎么来激起大家热情呢就是要靠超级球星超级球星就基本上等于这个赛事全部的吸引力了然后高登资他说的就是数以百万计的狂热粉丝我觉得这不是一个虚数是真的有这个规模甚至是更多的就我们本人就是典型的例子吧我记得上海大师赛最早期的时候黄牛们是比这个粉丝更加关注费德勒的比赛结果的因为只要费德勒赢球了他们下一轮的这个票就可以
[00:29:49] 费德勒对于这些新兴市场影响力还是特别特别大的
[00:30:05] 对的这个就有点像当年乔丹带领美国南兰孟之队去参加巴塞罗那奥运会一样对吧他让NBA从一个美国都排名第四的一个职业联盟一下子成为了如今全球化做得最好的一个职业赛事当然这里面有很多运动员发挥的作用像我们姚主席但是乔丹肯定是里面最重要的一个
[00:30:23] 其实超级球星就是这样的就他把你引进门之后很多人就因此爱上了运动本身但是即使他退役了之后这个运动还是会多很多的爱好者就像我现在就算费德勒不打比赛了我还是会看一些别的一些球员的表现而且在这个当中有很多爱好者啊他还会成为新一代的网球偶像你像如今网台有很多的新星他们都会说我从小是看费德勒的球长大的
[00:30:47] 就是这些从小看费德乐球长大人有可能还能跟他最后打几轮比赛是应该是个很荣幸的事情吧没错这期节目呢我们从三个案例切入盘点了费德乐商业世界里面的一些重要元素包括赞助商经纪人投资标的以及新的赛事相信大家对于费德乐如何一步步实现商业上的成功有了一个更清晰也更立体的了解那节目到这里呢本来就该结束了但是我还是想以球迷的身份啊最后再说一些话
[00:31:15] 就大家听完这期节目的内容之后有可能会觉得费德勒能做到这些是因为他是个天才他很厉害还有很多人会觉得费德勒做这么多事情都是举重若轻的打球是举重若轻的搞商业也是一样这些评价呢你都可以说没错但是我还想说一点就是大家不要忘记费德勒在这个追求完美的过程当中其实付出了极大的努力我自己是有幸在2018年和2019年两次独家专访了费德勒
[00:31:43] 有一段问答让我印象最深也写在了后来稿件的标题里面名叫我的意志力和勤奋可能被低估了我想把那段采访的录音放在节目的最后作为一个感谢吧感谢费德勒20多年来给我们带来的快乐和力量不论是场上还是场下他都激励了一代人费德勒就是这样
[00:32:02] 其实我自己也有这个问题。当人们在谈论自己的生活时,他们会使用简单、简单、艺术的语言。但有时,人们会忘记自己的承诺。他们会说自己很坚强,很坚强。
[00:32:20] 你认为人们有时候会以这部分的生活来估计吗?你认为这也是一个很重要的事吗?是的,非常重要的事,我认为我可能是一个那些体育员,有时候会误会别人。人们认为我一切都很简单、很简单。我只是一个很厉害的才人。并不是说我不能工作,人们肯定会认为我能工作。
[00:32:41] 也許我不會喊喊喊喊喊喊喊喊喊喊
[00:33:10] 如果我沒有努力,我不會成功的,沒有機會我認為所有人都在我身上,都必須努力成功我覺得我非常幸運,人們看到我的技術、我的風格,都很不努力,看起來很輕鬆這不是我從來沒有努力做過的,我認為是我的教練教我的很好的技術
[00:33:34] 那些努力讓我的動作變得強壯,但仍然看起來很優雅所以我覺得是一個很好的混合,我很高興我可以做到今天其實你從來沒有停止參加比賽,對吧?我從來沒有放棄
[00:33:52] 感谢收听这一期的商业就是这样你可以在苹果播客小宇宙喜马拉雅网易云音乐QQ音乐荔枝等平台收听我们的节目微信公众号第一财经emagazine也会推送每期节目的内容如果喜欢我们欢迎你在苹果播客给我们五星好评并期待你在各个平台与我们交流尤其欢迎分享你感兴趣的话题下期见
