Vol.246 潘通凭什么靠颜色赚钱？
[00:03:38] 当时那一年每一期的封面的那个底色都是不同的纯色我印象非常深其实我们蛮喜欢那一套的设计的策划的第一期的月刊就用了个很好看的一个红色嘛聊那个话题后来还用过紫色啊荧光黄啊荧光绿啊我记得好像也有就是那种非常大胆的很醒目的颜色那年据说我们设计老师也玩爽了因为这种颜色的术语叫做砖色
[00:04:02] 就是专门的砖也叫攀通色徐老师说那一年的印刷费用就额外支出了不少因为每用一个砖色都要单加几千块钱但是他也说就是因为我们的读者好像没有太get到这个细节然后加上成本控制之后就相对比较少用了那现在偶尔还是会用这个砖色的比如说我们2025年的12月刊的封面是一个底色是荧光粉色的然后还有一个
[00:04:29] 主视觉对是一个尖叫机这个尖叫机身体的黄色以及那个粉色都是砖色我们会把这个图片放在show notes里大家自己感受一下等于是为了印刷一个专门的颜色就得多花大几千块钱搞得像车漆这个选配一样的所以为什么颜色这么贵这个非常长的牵摇结束了就是终于到了今天的主角也就是一个砖色的定义者叫潘通今天这两个切换稍微都有一些硬
[00:04:57] 没有关系你继续潘通的官方中文名字叫彩通彩色的彩主要是因为潘通这个名字作为商标被人家抢住了但是我们今天出于方便考虑还是一直会用潘通这个叫法在设计领域潘通几乎是一家绕不开的公司因为它就是色彩领域的行业标准潘通这个创始人劳伦斯赫伯特还有一部自己的纪录片叫做The King of Color色彩之王
[00:05:22] 他以95岁的高龄自己出演了这部作品然后有一些关于他的报道里面还有一些更夸张的说法说什么上帝用七天创造了世界到了第八天他让攀通为世界赋予色彩哇这么夸张啊说实话这个梗我是没听说过但是大家应该比较熟悉的跟攀通这个名字相关的一个你可以说是产品或者说是一个每年都会讨论的话题就是攀通每年在年底的时候都会公布夏年的一个流行色
[00:05:50] 这个事情大家比较了解比如说2026年这个潘通的流行词就叫做cloud dancer云舞吧就舞蹈的舞啊潘通给他这个说法说他象征着在快节奏的社会中带来平静的力量如果你真的看到那个颜色的话他就是一种偏灰的白当然就是关于这个
[00:06:11] 颜色本身以及它到底是不是所谓的年度流行这个事情其实争议还蛮多的这个挺主观的一件事情对所以说我觉得这个也是我们今天讨论色彩的时候其实很有趣的一个点
[00:06:23] 这里是商业就是这样
[00:06:57] 要解释潘通究竟是卖什么的我们就得先讲一下这家公司的发家史可以追溯到1956年的美国新泽西州一位化学系的大学毕业生就是劳伦斯赫伯特他在一个小型的印刷厂里面找了一个工作这个公司的产品非常的细分它是印刷化妆品和女士紧身裤的产品试艺图的
[00:07:20] 它的工作就是把一个模糊的颜色的名字比如说它是钱米色或者沙色什么的变成一个实际用来印刷的颜色怎么讲就是如果你在优衣库看到过那种就是一排的就是50种颜色的袜子或者什么衬衫只要一排的这种感觉的话你就知道颜色其实当然它就是多到这种程度的话你就挺难用言语来描述了
[00:07:44] 就是所谓的眼前的黑不是黑你说的白是什么白这种感觉所以说劳伦斯的这个工作就很有挑战性那客户跟他沟通颜色基本上是鸡同鸭讲就是大家通过意念来传输然后有时候就是不能用意念怎么办呢就是寄一个带颜色的食物样品来就是劳伦斯的儿子回忆说他爸爸以前工作的时候收到过什么从衣服上剪下来的布样从领带上剪下来的布样花瓶的碎片树叶
[00:08:10] 甚至好像还有人直接把自己家的狗牵过来说你照着这个狗毛的颜色来做就可以了就是我觉得理发师现在也会有这样的困扰是吗就感觉就是甲方说怎么样怎么样就可以了怎么就可以了呢这么容易吗对呀对于印刷厂来说其实可难了就他们虽然有经验很丰富的调色师他们知道就是说怎么样把不同的颜料对在一起基本上就能得到一个很接近于你这个需求的颜色但整个过程即看经验
[00:08:36] 还非常的随机而且即使你调完这个颜色你也不知道这个客户的精细度到底要求有多高就要有多接近才好而且你也不知道印刷完了以后效果好不好那这种大致可控但是细节又不可控的状态其实就是当时整个印刷行业在色彩方面的常态
[00:08:54] 然后呢他工作到了1962年这个小的印刷厂经营困难然后赫伯特就决定说我把你这个公司的技术资产买断然后把它重组为自己的一个新公司也就是后来的潘通潘通呢就是用来实现一个他想了很久的事情就是彻底解决你说的白是什么白这个问题所以就是他干这个细分的工种干着干着干出
[00:09:16] 感受来了然后想把它做一个视野来做是其实如果仔细来想就是这个核心问题的话其实它可以被拆成好几层第一层就是最简单的如何描述一个颜色比如说我们开头提到这个潘通说的年度流行词叫云舞白你觉得它是一个有点灰的白我觉得它是一个有点白的灰
[00:09:37] 我们两个描述都很抽象其实每个人听我们的描述都能自己想一个颜色但是你想的颜色可能跟我们想的颜色就是不太一样这是描述颜色的问题第二个问题是如何传递颜色
[00:09:52] 就是比如说老人死前面临的就是说大部分情况你要么靠意念传递要么你只能寄一个实物的样品来传递而且你必须要有完美符合你想象那个颜色的实物你才能寄否则你想象一个颜色你都找不到实物你怎么办这一和二还是比较连的相关的对第三个是如何保持颜色在不同材质上的一致性比如说你寄来那个样品是一块布样对吧但是如果你要把它印在纸上
[00:10:21] 或者塑料上面其实颜色都会发生很微妙的变化甚至你基于不同的光线条件或者不同视角去看这个颜色都会有一点点差别怎么解决这个问题是实际上我们在日常生活中也经常碰到的问题什么色差等等的对
[00:10:36] 怎么解决这个真的可以解决吗至少劳罗斯就是很快先从前两个问题入手把这个事情攻克了到了1963年也就是潘通成立的一年以后呢他就做出了一个潘通配色系统那这个系统的实物呢就是一个长条的色卡册就是一个一堆卡片打孔落在一起然后打开就跟个扇子一样然后每个色卡上呢有一系列相近的颜色比如说这个
[00:11:01] 一个色卡上有八种不同的黄八种不同的绿然后总共加起来有500多种颜色每个颜色都给它做了一个编号印刷厂可以根据编号在攀通自己的系统里面查到对应的颜料的配方怎么去调它OK相当于它其实上就是放弃了用语言来描述和传递这个颜色而是用一个编码这样一个方式来传递就两边都有一样的色卡然后两边互相报一下编号你就知道是什么白了你也不用记实物了
[00:11:30] 这个方法很巧妙应该也很实用那么这个一致性的问题怎么解决呢一致性问题是这样的就是潘通最早的色卡是基于纸张印刷这个最最常见的一个平面印刷的需求来设计的所以说他当时做了两种纸样的卡册一种是带涂层的纸就是类似于我们现在用的铜板纸就是时尚杂志经常用的另一种是不带涂层的就是类似于胶板纸或者书写纸也就是我们杂志内页经常用的那个纸哪怕是同一个编号这个颜色
[00:11:58] 等于一致性这个问题它其实没有说一下子能够完全的解
[00:12:27] 而是在就不断的来在这个不同的材质上面把这个解扩大是的是这样的概念我觉得它整体这套方案比较像密码学是吧就是你刚刚讲的那个色卡像这是一个密码本对吧然后你各自就是拿了这个同样一个密码本来解码这样一个概念是的然后不同的这个材质其实也是把这个密码本的这个应用的范围能够扩大逐步的找到这个不同材质上面这个颜料配方的know-how的这个区别
[00:12:51] 如果说Pantomite是什么呢肯定核心就是这个就是对于整个颜色的编码和解码系统还有一个就是一致性的承诺其实再抽象一点就是一套基于颜色的标准体系我们知道标准这个东西一般来说是自下而上形成的就有一个权威来制定然后大家都接受对就比如说我们之前讲蜡条的那一期就是它
[00:13:15] 不是提到说南北有两个辣条公司都是在去想争取说这个国标能不能就是偏向于我这个产品标准是对但是潘通的问题在于呢他先设计了一套标准然后呢就是希望大家都用这个事情是不是就是有一点挑战是就等于是你要让大家接受一个标准实际上是一个标准最难的一个部分对而且是原来的已经有一个习惯了然后你要让大家用一套新的一个方法来搞
[00:13:41] 那劳伦斯呢其实就做了一个很聪明的决定他就是知道这大型的印刷厂不会那么快就接受这套新的标准所以呢他先去找印刷厂的上游就是做颜料那个油墨厂而且不找大的油墨厂找小的油墨厂
[00:13:57] 劳伦斯当时是为他设计这个攀通标准写了一个说明书然后呢带上他的色卡然后到油墨厂给这个油墨厂解释演示就这个东西是怎么弄的然后呢他很快就拿下了全美21家小型油墨厂当中的20家那这个小型其实也不多对吧对小型也不多但是这个也不少就是这就对能对印刷厂加一定的压力了
[00:14:21] 那接下来一步呢我认为是劳伦斯更聪明的一个后手就是他在美国取得这个初步的小型的成功以后没有接下来那么快去突进那些大厂而是拿着在美国的初步成果直接飞到了欧洲去欧洲找欧洲的游牧场谈然后呢欧洲谈到一定程度呢就再拿着两边的去中东谈再加上中东的一起去亚洲谈然后这样绕了一大圈然后呢他这个攀通在
[00:14:48] 全世界整个油墨行业的影响力就慢慢的起来了那等到他最后再绕回到美国呢就是大的油墨厂其实还有印刷厂基本上就已经是水到渠成的愿意跟他去合作了这个策略还是蛮有意思的有点这个怎么讲某种农村包围城市的这种感觉也就是形成了一定的网络效应然后这个标准被
[00:15:08] 就是一定的这个比例的人给接受了之后它形成了趋势那它很快就会传达到整个行业了是这样的那其实到了1968年基本上全世界的行业的从业者都了解有盘通这个配色体系了然后公司在这五年里面就卖出了20万份盘通色卡册到了1973年使用盘通色卡册的印刷商已经扩展到了全球58个国家那其实这个体系基本上就算立足了那这里面我有一个很好奇的问题对于一个原本不用这套
[00:15:37] 这个攀通这套这个色卡这个方案的一些小的油墨厂来说有这个新的方案他觉得很好他很快接受了我觉得就是很符合逻辑的但问题是他其实这个卖的本质上就是这套编码嘛他能做别人也能做又不是他有这东西专利的这个如果别人跟他抢这个生意怎么办呢实际上就是攀通出来没有几年就有另外一个公司做了类似的事情而这个公司的名字叫
[00:16:00] Pan通是Pan通你就知道就是这个有点像对然后也搞了一套色卡册在那里卖然后Pan通很快就把这个李鬼公司告上了法庭这个诉讼的焦点显然就是说Pan通是否可以对整套系统的颜色和编码方式拥有版权保护这个就有点涉及到我们之前讲到商标内情那个概念了对有一点其实到1968年法院就判是Pan通是胜诉的在这个判决里面法官表示显然没有人能够拥有一种
[00:16:29] 颜色是公有的对吧但是潘通设计的编号系统油墨配方和色卡色这三者的组合本身是一套可以受版权保护的作品这个潘力本身非常重要就是对于潘通的发展就是一锤定音任何人想要做类似的系统就不能简单的复制这个潘通这个编号配方这套东西否则就是清选你除非你做一套完全不一样的东西出来就其实他这套这个思路
[00:16:56] 被它法律上保护住了别人不能完全的模仿你这个思路如果你要搞一个套颜色系统的话你要换一种编码的这种方式来搞对我觉得那时候到版权这一步的话其实一开始我们提的这个问题就是潘通卖的到底是什么或者他的商业的核心是什么这个答案已经比较清楚了所以他卖的不是颜色也不是油墨而是能够稳定呈现出一种颜色的方法以及有效沟通成百上千种颜色的一个标准化的色彩的指南这样一个标准
[00:17:26] 有了这套系统不管是品牌设计师印刷厂油墨厂等等都可以用同一种语言或者是同一套编码的方式来讨论颜色了这就解决了很多实际的问题而攀通也能长期从中获益
[00:17:41] 那前面的岳老师是讲了攀通的发家史以及他如何解决色彩这个抽象的问题把它变成一种可以沟通可以稳定成性的需求但我觉得这个商业模式本身其实还是很抽象我觉得你还是要具体往下再落一步就是具体他靠这个编码这东西他怎么来赚钱他收的是什么钱
[00:18:00] 我觉得有了前面这个抽象的基础去理解具象怎么收钱这个问题就比较容易了简单来说呢潘通主要是一家2B的公司它的收入几乎都来源于像品牌方设计师印刷厂油墨厂但是有很多不同的收费方式所有收入当中最重要的就是潘通自己发明这个色卡系统
[00:18:20] 如果我们把它理解为一种密码本那么比如说你收发密码的双方是不是都得有一本对那其实这就是一个硬性的支出潘通最早的色卡测试我们说是两种纸一样各500多种颜色而现在根据官网披露如果是用于印刷和数码呈现的颜色潘通可以覆盖接近1万种其中有超过3000种是潘通特有的专次等一下这边我还是其实对于前面讲这个专次的时候我就有点好奇
[00:18:47] 不是说潘通不能拥有颜色吗那这个所谓的专色到底是什么意思呢我们这里要稍微先垫一下就是解释一点点色彩的呈现方式我们日常最常用的一种色彩呈现方案是CMYK四分色方案就是把一个颜色拆成青色 洋红色 黄色和黑色的比例组合那在实际的印刷或者说显示呈现里面就是黑 青 洋红到黄这么一个顺序就是后一层是精准的叠到
[00:19:16] 前一层上面然后就是最后形成一个比较准确的色彩呈现如果搞过这个丝网印刷朋友应该知道就大概是这么硬的CMYK是一个很好的经典方案但是就是这四种基础色加上它的那个色域的影响的话其实导致它不能覆盖所有的颜色
[00:19:34] 所以它其实能覆盖的颜色就相对有点有限那Pantone的方案呢其实就是在这个基础上在两方面做了迭代首先它不是用一层一层的套色或者说色彩的叠加组合形成的一个颜色而是一口气把你想要这个颜色就直接给你拿调色的那个方式把颜料调出来
[00:19:53] 你这样印的时候直接用这个专门的颜色的油墨去印那它其实出来的颜色就是更纯的其次呢就是潘通所用的基础颜色是更多的就是十几种甚至是更多的颜色都可以用还有一些特别的方案就是所以说它能做出一些CMYK不能做出来的微妙的颜色嗯就是
[00:20:14] 直观来说的话就CML快很多颜色你感觉就是有点土或者有点平凡对吧然后潘通色他用那种更多的基础色或用他那种什么油膜一起混的那个颜色就感觉我们打引号的经常会觉得有点高级反正就特别吧我觉得我们虽然是个音频节目但你还是要给我们举点例子就是这种特别高级到底在什么地方能够体现出来也不一定是高级我可以简单举三个例子
[00:20:37] 第一个是荧光色很典型的就是比如说荧光黄或者荧光橙这种颜色它的基础肯定是比如说三颜色当中黄或者黄红这样子混对吧但是荧光的部分怎么呈现呢这其实潘通是往里面会去添加专门的荧光油膜来解决这个问题的荧光色是一个
[00:20:54] 一个点还有一种攀通比较常见的经典的颜色是金属色就是那种看上去有点点金属质感的颜色其实就是在调颜料的时候要往里面加金粉或者银粉的颜料然后这个颜料因为有一些金属的成分所以说你在印刷的时候还要是不是搅一搅或者这个金属容易沉底你要分布均匀一点对然后这样子质感就是比较一致的那最后一个例子是淡色就是比如说淡粉色淡紫色
[00:21:23] 淡色和浅色我不知道大家能不能理解这个里面有微妙的区别浅的话就是白的东西感觉多一点淡的话是透明度对对对就是这个点就是这个点那么其实就比如说调制浅色的时候一般是你把白插进去就可以了但是潘东有两种白一种叫做不透明白一种叫做透明白透明白就是透明度这个概念对它就是拉透明度的这个点的那淡色的话其实就是你把一个纯色和一个透明白加在一起
[00:21:52] 它就是一个淡色的颜色你举这三个例子我原来以为是那种很特别的颜色但其实是我们日常当中还比较常见的一些颜色但就跟我们想象的就是常规的调色的方案它实际上实现不了这其实都属于是或者说你说用CNYK能实现吗能实现但是效果会跟你想象中的差一点如果你想要真的荧光黄很亮的荧光黄你可能就是还要考虑盘通这个方案所以这个专色其实
[00:22:18] 并没有这个名字听上去那么的这个独特它实际上还在日常生活中比较常用的要用得到的是这样的你这么说我就理解相当于就是你确实可以实现一些真实存在但是传统工艺又难以实现的颜色如果你要有这种需求的话那你买这个潘通的色卡这个必要性就更加提升了对吧色卡的话潘通还是非常推荐就是你要做这个事情就要有色卡而且它针对色卡设计
[00:22:44] 非常多的方案比如说你可以专门买一本就是荧光色的或者金属色的那个色卡册也可以去买那种活页的就是那个活页里面就是每一张都可以分很多小格每个小格可以像邮票一样撕下来可以拿着这个小片片去跟工厂对对吧或者说你可以搞那种很高级的一个塑料卡塔对就有个塔然后上面一块一块插都是那个
[00:23:08] 盘通的色卡那个我觉得你要发个照片大家比较好理解对我可以找一找那个照片反正很贵那个我查一下最经典的盘通的2390色的涂层纸卡册是226美元一本而如果你想买一套完整的1755色的塑料色卡塔需要花9078美元我经常就听到你报这些设计师老师们用的这些这个生产力工具的价格都觉得
[00:23:35] 他们应该很有钱希望是这样啊那其实到这里还没有完就是这个色卡测不是说你买一本回去你就可以一直用官方的说法是因为考虑到这个实体的色卡会受到各种条件的影响会有比如说褪色或者说你这个思来思去会有损耗的这个影响或者我们就比如说调制那个颜料的时候那个油墨本身会发生一些变化再加上攀通自己每年都会往里面再增加一些新的颜色
[00:24:04] 那么你最好每过一年或者一年半你就买一套新的这是非常贴心的一个购买的建议呢算是理解就是这个东西跟我们前面讲的T区这个刀和刀片的概念还有什么打印机和这个锡骨的这个概念是一样的一脉相承吧只是这把刀特别的贵就是很贵啊当然毕竟这个大家都看得出来这个一套色卡
[00:24:25] 所以说现实使用过程当中真的这么频繁更换的人应该也不是很多没有那么多人非常完整的遵循他的建议对但是就是纯靠着不断的去卖这种不同材质规格的色卡就光卖色卡这个事情可以占到攀通收入的一半这个一半大概是多少钱他们没有说但是考虑到这个单价我觉得应该也不算太少这个一半这个占比是他自己说的是的那另一半是什么另一半的官方说法叫咨询授权和数字服务
[00:24:54] 就有点虚了对咨询的部分我们先往后放一放先说授权和数字服务
[00:24:59] 那授权方面潘通不是最早去找那些油墨厂去达成合作吗所以说整个授权起点是从这里开始的我们前面说潘通的颜料的这个配方其实是用很多种基础颜料混在一起出来的嘛那这个基础颜料不是说潘通独占的就是潘通不拥有基础颜料那基础颜料呢它授权给很多油墨品牌你都可以去生产我这个基础颜料只要你生产出来这个产品能够卡在我这个很严格的技术要求里面就可以那这个授权就
[00:25:29] 已经在收费了哦就是它是反过来的反过来的对然后这是油墨厂的部分然后到了印刷厂呢印刷厂有两种选择就比如说一种呢是它根据客户的需求比如客户说我要这个盘通色然后呢印刷厂就通过他们和油墨厂的一个合作系统去调用某个这个盘通色号所需要的这个油墨配方好那我看到这个配方然后我自己在厂里面
[00:25:53] 按照比例把这个颜色就调出来了这个配方就是一个就像技术的标准一样是的就是配方这个东西本身是可以收费的那这个其实是在自己厂里面调的其实属于用量比较大的情况如果说这个印厂就对于这个砖色用量比较小的话或者他想要一个非常非常精准的颜色这个也可以请油墨厂事先帮你调好调一个攀通的砖色然后送过来直接用
[00:26:16] 反正就是如果你这个油墨厂你要用这个潘通的这个标准里边这个体系来这个生产一些油墨这些颜色然后来卖钱的话来用来印刷的话这个潘通在里边都会收这个相关的标准我觉得就是沾到潘通两个字的潘通都收钱
[00:26:32] 可以这样理解啊当然实际上级印刷之前呢其实还一般来说还需要印厂和油墨厂针对不同的纸样工艺条件在做打样然后呢有可能是可以在攀通标准的这个基础上在做一些很精细的微调这个攀通是允许的那其实他就是希望最后实际呈现这个物理效果就是跟我想象中一样之所以说攀通允许他们做很小的微调
[00:26:53] 这个还属于一些比较传统的就是实体印刷对其实现在攀通的授权和数字服务主要收费可能就是集中于数字服务这一块这个就更简单明了了对因为设计师们都开始用电脑了都用设计软件那么其实通过主机厂或者说软件来把这个攀通的配色系统内嵌进去去收钱其实更好更快的方法
[00:27:15] 这块潘通其实探索很早他在1985年就签了第一个软件的授权商然后这个授权商后来被Adobe收购了这就是变成了潘通和Adobe很长一段时间合作一个基础那主机厂方面其实最有名的合作是苹果苹果非常喜欢潘通其实在1987年的Macintosh 2的那个版本里面就有潘通的那个彩色的选色器了
[00:27:39] 不过关于Pantone和Adobe的合作之前有过一个很出名的波折就是双方的合作在2022年结束了原本Pantone的调色板是内嵌在Adobe里面的设计师直接往上选就可以了你有一个正版的Adobe你就能用这个东西但是双方合作一结束以后Pantone的调色板就直接被全黑了然后设计师说怎么办呢
[00:28:02] Pantone说你如果想把这个颜色恢复回来的话你就要额外每个月花14.99美元买我们自己的数字平台服务叫做Pantone ConnectPantone Connect这个服务呢不仅提供这个所谓的Adobe里面的这个调色版的插件它本身也是一个可以独立使用的一个PC和移动端的服务就它有个功能就是说比如说你在现实当中你看到一个颜色你想确认它是哪种Pantone色的话你可以拍个照片然后呢
[00:28:29] 它去在系统里面去给你匹配最接近的盘通色然后这个也是比如说设计师团队去协调工作的时候比如说做一些情绪版或者色彩版的时候可以协作来完成设计的一个平台简单来说它主要的功能就是把原本纸质的塑料质的这种盘通色卡变成了一个手机上可以随时使用的软件功能只不过有一些就是降维或者是降级的一些处理但是更好用一点更好倒比这个合作然后又分开真的是设计师朋友这个羊毛是
[00:28:57] 割不完吗这一直在割过去有可能是跟大户一起来谈对吧大家就是在Adobe这一家来付钱就可以了现在你还要分开来付钱原来收割是大户现在收割是百姓不过我觉得这里就是看设计师自己的选择了这有得选吗基本上没得选确实潘通经营了这么多年他在整个行业里面渗透已经是非常非常强的可以说很多设计师在学设计的时候学下这种潘通色来教你
[00:29:21] 这个就类似于我们以前说海天教育会长期赞助新东方烹饪学校一样而就导致你日常生活当中或者你工作当中你也离不开潘通色你如果自己不想用但是你的客户想用甚至客户自己这个品牌色都是定制的潘通色那你怎么办呢对就是你已经就是这一套语言了然后你要自己用另一个外语来跟人家讲话人家听不懂人家不愿意听可能是这样
[00:29:43] 所以攀通其实不管是授权不管是数字的还是实体的印刷还是数字服务等等的本质上面它其实还是靠着自己的标准的影响力来收购这部分的费用
[00:29:56] 它和订阅之下的Adobe其实在赚钱逻辑上面没有本质的不同只不过它我觉得更加强硬一些它会让大家进一步的意识到它这种网络效应是坚不可破的甚至我觉得有一定的程度上面是一种垄断的一种困境前面是讲了攀通具体是怎么赚钱的再简单总结一下就是两种方法一个就是卖实体的色卡这个占了一半了还有一个就是卖授权和数字的服务我在卖的也很贵但另外你前面其实还有留了一个尾巴就是说还有一个咨询服务这块说放到后面来讲
[00:30:27] 对这块我们可以从一类比较典型的这个甲方的需求说起就是品牌色我们之前在三周年那个节目里面就聊过一些特别商标嘛就比如说声音包装触感气味动作等等但是颜色我们当时那期就讲到颜色本身作为商标其实是比较难独立申请的一般还是要跟特定的位置结合在一起比如说我们举个那个典型的例子就是那个红底鞋嘛那红底鞋那个颜色
[00:30:54] 是一个专门的盘通色就是18.1663TP但是呢它必须要作用于高跟鞋的底部把这个颜色和位置两个要素组合在一起才是一个完整的商标虽然单独的颜色不能作为商标即使是盘通都不能去这样申请这个商标但是一个显著的长期稳定流通的品牌色那显然对于品牌来说是很好的就是品牌所有要素当中经典的一环
[00:31:19] 就是你虽然不能去注册它在法律上不能确认但是你可以一直用它但实际上会造成这样的一个形象是的这一点其实在潘通出现之前品牌就有意识在做但是他们问题都是很难做好什么叫很难做好问题还是那个问题就是一致性在关于潘通的报道里面一个被反复提及的例子就是科达的胶卷包装盒那个黄色对就是科达这个胶卷现在已经比较少人用了但是那个经典的科达的黄色估计大家都有印象
[00:31:49] 科达在自己的胶卷包装盒上之前是大面积使用这种黄色的但是受限于攀通出现之前的这个技术和沟通问题就是不同的印场调制出来的黄色会略有差异有的更鲜亮一点有的会更寡淡一点那不同印场的产品比如说混放在一起一起放到这个超市的架子上去卖的时候你作为消费者你会拿哪个呢
[00:32:11] 肯定是比较鲜亮的你会觉得淡一点的颜色可能就是放的比较久是吧对但实际上可能是同一天生产的就像苹果上面打个蜡就是这个效果对我们下意识会觉得说品牌既然有这么一个设计你就应该保持一致性万一出现不一致肯定是哪里有问题但实际上今天我们讲了很多就是在讲一致性在色彩的一致性其实在不同的材质里边是一个需要慢慢的来提升的一个难的事情对我们的天生潜意识的科技
[00:32:40] 可能跟实际上这个生产难度是两回事那么Pantone这个色彩调配方案出来以后那显然就是好事情对于品牌来说我维持一致性的难度就降低了很多我甚至说可以反向来管理我之前自己设计上我自己做的不是太一致的地方我是不是可以用这个Pantone的方法来重新调整一下比如说很经典的另一个颜色Tiffany蓝对吧原本这个
[00:33:03] Tiffin一直存在但是说品牌方没有能力保证说我在所有的场合比如说我在纸质包装盒和门店的装饰里面都能蓝的一模一样这个其实一直是很难的一个点那么潘通其实就可以介入这类业务他可以用自己在不同介质上的色彩呈现经验来帮企业做微调实现所谓的一致性所以咨询服务的话主要是在体现在你有统一的品牌的认知和颜色之间要相关这是一个很常见的场景然后潘通在这方面有
[00:33:32] 细节的农耗我把这个农耗来卖给你我觉得这个其实还相对比较细分的需求就像我们讲的也不是所有企业都有这个需要但是大公司就大到一定程度的话基本上都有这个需要或者说有些时候颜色作为一种相对另来但是效果又比较好的营销方案的话有些别的用处比如说我们可以举另外一个经典案例是小黄人黄这黄色真是很厉害那说明我们这个黄色选的还可以
[00:33:56] 我们到时候问一下设计师我们这个有没有用专色那这个小黄人黄呢是当时潘通和环球影业和照明娱乐三方联合基于这个小黄人电影当中的用色在2015年创造和命名的一个颜色因为小黄人本身是一个长青的IP嘛然后所以说在未来的各种影视内容和授权周边里面都会反复的使用小黄人黄这个颜色那其实不管是IP方还是潘通其实都能长期从中获益
[00:34:22] 讲到这个的话我觉得就可以提到我们开头那个引入的时候讲到那个潘通的年度流行色了就你要就咨询服务馆咨询服务但是你讲到小黄人皇这个其实已经涉及到一定的品牌的传播宣传这个价值我觉得从这个角度来看的话这个潘通的这个年度流行色才是他自己最强的一个广告是的年度流行色这个事情呢潘通是从1999年开始做的到现在其实也20多年了
[00:34:47] 没有我想象的那么时间长其实是一个千禧年交界之处才开始做的事情可能就是觉得自己公司已经到了可以引领潮流的地步就相当于它直接进入一个全新的领域就是比较偏向于时尚和潮流的预测分析与其说这是一类咨询服务或者说科学的分析我觉得我们身边大部分人还是坚持认为它是一种玄学或者说难听一点就是一种逆程设置流量挟持反正我就这么说了
[00:35:15] 我也是这种感觉对反正就是整个名声也不会太好主要还是因为就是说你到底怎么预测一种颜色是流行的或者说它即将流行这个方法论本身感觉很玄学这个他们到底怎么弄的其实我还挺好奇对潘通内部主管的这个事情是一个专门机构来管的叫做潘通色彩学院能搞学院的这个公司一般都已经蛮大了对他的执行董事之前
[00:35:39] 接受过媒体采访他没有很明确的说具体的工作方法他只是说首先我们没有对着满墙的这个潘通色卡证飞镖并不是说所谓扎中哪个是哪个这么来决定的
