Vol.119 A股史上第四大IPO，是什么来头？
[00:06:10] 长周期的一个事情但是这个理论上不是更加适合大公司吗袁老师你想在医药公司里面就是因为这样一个很高的研发门槛所以一个大公司一旦研发出了一个新药就可以享受比较长的专利和价格的保护能够在销售阶段就把这个研发投入都能挣回来农药和人用的药还是有一点区别很多时候不需要那么精确有效它也没有那么多疑难杂症
[00:06:34] 甚至说你几十年前研发出来那些经典农药就可以用了而且还很便宜如果你看世界上实际的使用情况会发现全球使用最主流的那些农药其实都是一些没有专利或者说专利已经过期的产品这两个部分的市场份额加在一起超过了80%
[00:06:51] 也就是说在这个领域的创新并不一定能够带来最大的市场或者最大的利润那有可能大公司的这个搞研发动力就没有那么强了是的就是投资回报率并不一定算过来所以说农药产品呢一般是会分成专利型的和非专利型的先政达就是两个都做专利型的农药研发呢还是由瑞士先政达主做然后非专利农药市场这个卡位呢由这次有一家并入上市公司体系的叫安道迈来主做
[00:07:18] 安道迈原来是一家以色列公司然后也是在2016年被中国花工集团收购的它是全球最大的非专利型农药公司它不仅销售能力很强而且在全球范围内都有很强的所谓产品注册能力它每年可以注册成功200多个新产品这个远远超过了同好
[00:07:36] 等于是专利保护这一条路走不通的话就改走类似于产品保护的商标保护的这种方式在非专利的领域也能够圈出一块市场的空间来没错但是总的来说没有专利保护的话农药市场上面同类产品都会长得一模一样农户很容易就直接挑哪个最便宜我就买哪个这个对于小企业来说是非常有利的但是对于像先政达这样的大公司来说其实是很难维持利润率的
[00:08:02] 稍微看了一下新政达在农药这个部分的毛利率不到37%其实毛利率其实是一个不是很好的数字那中国此前在农药领域最强的上市公司之一叫杨农化工它的毛利率其实更低只有26%那考虑到新政达在上市之前已经把杨农化工也收购了这个也可能意味着就是这个公司的农药业务规模会越来越大但是这个利润空间呢并不一定是同步上涨的
[00:08:28] 简单总结的话就是先振达集团这个规模最大的一块业务它的这个毛利率不管从它的商业模式还有现状来看的话都不会很高嗯对的那接下来我们就来说说这个现代农业服务这个板块
[00:08:44] 在新政党这么大一个公司里面还能出现一个板块有翻倍增长的潜力我觉得是非常罕见的但是如果你仔细去招股书里面看这部分的介绍应该会觉得黑化密度比较高什么大数据 可塑源 解决方案总之就是用技术种田其实我们之前在五长大明的期节目的最后稍微聊到一点这个方面的问题记得我们当时有个结论就是说中国农业的数字化很多时候还是和补贴密切相关的然后所谓的现代
[00:09:13] 农业的推广呢很多时候还是要受限于这个土地的集约程度和作物品种的总的来说就不是那么发达不是那么发达所以说看到这个业务能在一年当中实现收入翻倍而且是从100亿翻到200亿这个级别的我还是觉得很震撼的所以就稍微花了点时间想从这个黑化里面琢磨出来先知答究竟做了什么这个招股数据把现代农业服务的收入分成两块一块叫农服业务
[00:09:37] 就是字面意思就是为一些农田提供技术的服务占比大概是20%另外一部分叫农产业务它的定义是我读一下为下游农产品加工及流通企业提供品质农产品并按产品总成本及一定的加成销售这个部分其实反而是占到现代农业服务80%的收入余老师刚刚这个定义如果通俗的理解是不是就是自己种田
[00:10:05] 简单来说就是有一部分是自己种田他也可以自己采购一些然后加价卖给下游的经销商所以先振达自己也是一个农民或者农产主是的当然他可能种的是一些比较大规模的田而且种的方法肯定也很有讲究了我们在先振达中国自己的网站上找到一个案例叫超级苹果
[00:10:26] 这个就是由阿里巴巴数字农业和先生达合作的一个代表项目来看看这个典型是干什么的吧当时双方是在陕西省洛川县选了57户农民然后1000亩地作为他们的培育基地来种苹果阿里巴巴给出最好的一个选品标准比如说苹果的糖度要达到什么酸度要达到什么外表什么情况克重果净农产等等就把这个标准定下来
[00:10:49] 那先政达呢是包揽了这个种植鸡呢比如说选什么品种然后土壤要达到什么要求用什么农药做什么施肥怎么培训农民然后他们如果没有钱了我们是不是还要给他们一点贷款等等等等最后呢是由先政达交付给阿里这一批超级苹果这批超级苹果是做到了糖度比同产区的苹果高一倍商品果率就是能卖的这些苹果的这个比例是达到70%农民每亩是增收了3000元
[00:11:15] 感觉是一个苹果园里面的样板房是吧对的可想而知这么厉害的苹果是不是就主要进入河马这种有溢价的新兴零售渠道了呢我没有查到这个超级苹果最后卖多少钱但是看这个介绍我觉得不会很便宜我也看了几个先证达在现代农业服务方面的其他的合作案例
[00:11:34] 确实会发现这个最终产品有时候会有明显的溢价然后也会选择就是专门能放到能承接这种溢价的渠道上面卖比如说新振达自主研发的一款紫色的叫仰木鸡尾酒番茄它在推广的时候跟迪士尼做过品牌联名然后销售渠道主要是City Super这种上海也很少见的进口超市它的售价可以达到80元一公斤不愧是做了迪士尼联名的什么番茄厉害厉害
[00:12:03] 那虽然这部分现在主要收入来源呢还是通过先振达自营的农场或者合作农场溢价出售这些产品获得收入但是为了先振达努力的方向呢肯定还是想用这些样板工程向更多的普通的农户去卖他整套的农业服务看到另外一个例子就是先振达在河北一个叫卫县的地方拿了一个30亩的农场不是很大然后呢同时设置了一个服务中心这个农场主要任务呢就是用来向当地农民推广一种品质和价格更高但是种植难
[00:12:32] 更大的叫强精小麦就是它精比较厉害同时呢也在那边实验一些不同的种植技术那新政团队介入当地以后呢2021年当地种植的60万亩小麦里面已经有7万亩是强精小麦了这个就是比原来是零的数字呢还是有点突破的而且农户在农医师的指导下呢可以获得量身定制的一些种植方案实现每亩大概180元的增收
[00:12:58] 而且更有利于未来土地进一步集约以后做大规模的种植
[00:13:18] 而从2021年到2022年实际上翻倍增长的就是这个技术服务中心就是前面有老师举的这个小麦的这个例子的这个里面的这个案例的这个数量感觉依托先振达本身在农药种子化肥上面的一些积累再加上这个现代农业的一些经验的话
[00:13:36] 这块业务未来尤其是在中国的话还是有蛮多增长的潜力的对就像我们前面说的就是中国的土地集约化包括说现代农业种植技术还处于一个发展的早期那么多一个所谓的技术服务中心确实有可能多一份收入而且这个部分如果增长越好先生他就越有底气说自己不再是一家农业化工集团而是一家农业服务集团了
[00:13:59] 那接下来我们就说说种子吧这个产品这两年受到不少的大众关注主要是因为粮食安全而且很多人觉得这个才是当年中国化工集团为什么要跑去收购先知达的一个主要原因我们看到人民日报在2023年就发了一篇文章叫种子是粮食安全的关键可想而知这个
[00:14:19] 现在拿到种子业务在战略上面有多少的价值简单解释一下的话就是种子首先它是农产品种植当中很重要的一块成本其次的话它也极大的影响了农产品的产量和质量就你后面种再花更多的力气如果你种子本身不好的话你有可能收成就不是很好最后你要提供大量的品质稳定的种子本身就是一个技术活不是你一个农民在田间地头就能够解决的问题
[00:14:45] 所以种子就和粮食安全很相关了没错但是回到先振达这里其实种子业务在整个先振达集团里面它这个存在有一点微妙怎么说首先种子业务在先振达的收入版图里面占比也就是15%上下不是很高但是这两年因为育种环节的技术含量提升了很多人开始认可这个种子的价值甚至说它是什么农业的芯片所以说它的重视程度和它的收入其实是不成正比的
[00:15:11] 其次就是先政达最核心的种子技术其实大部分绝大部分都是转基因种子这个技术含量固然非常高但是在中国市场大家也知道争议很大最后呢正因为转基因种子在中国这个争议这么大所以呢先政达的种子的销售收入大部分都来自于中国以外的市场所以国内的投资者他们在讨论先政达的这个种子业务的时候其实关心的是一块
[00:15:36] 在中国市场接触度没有那么高但是又能在海外给
[00:16:04] 首先转基因品种确实有产量和成本上的优势比如说大豆中国本地的非转基因大豆它的平均亩产大概是美国转基因大豆的60%同时它每亩耕地的农药用量是全球平均水平的2到3倍另外即使加上了运费和关税每周的这些进口的转基因大豆也比我们中国本土市场的非转基因食品便宜10%到15%所以说这两年还是一直有进口的商品进来
[00:16:32] 第二呢就是因为中美两地在转基因产品上有这个接受度的差异而且差异很大嘛所以说先振达花了十多年研制出来的一些比如说像抗虫的这种转基因玉米品种还引发过好几起诉讼
[00:16:47] 这些诉讼背景都很相似
[00:17:11] 第三呢就是签证达在全球也就是以转基因为主的这个种业领域它的排名其实是非常落后的它其实是被这个是孟山都孟山都县是已经被拜尔收购的它是排在孟山都和杜邦拆分出来一个公司叫科迪华之后它的市场占有率就是一个个位数是一个小玩家前两个公司可能占有率都在20%以上了
[00:17:34] 而在中国市场因为中国化工集团把他手下的像中种集团以及收购来的一个叫全英高科这些本土的业务并到了先振达集团里面所以说先振达的种业的市场规模好像是可以排到第一但是这个第一也是6%也不是很多也就是说在所有的种子里面它是6%但是在它原本的先振达里面的转基因种子里面它其实更加的比例小一些这反正都不是很高
[00:18:02] 怎么说呢岳老师刚讲这些信息确实是很难做评价但是感觉可以理解为一个全球企业或者一个跨国公司的日常要面临的各种各样的挑战都在刚刚里面讲到了一些我觉得转基因种的这些问题确实揭露了全球企业这个标签对于先进达的意义就是它既要从全球市场获得收入它又要承担不同市场的文化包括准入门槛以及局部的动荡所带来一些压力这里我们可以再举一个例子就是汇率的影响
[00:18:30] 在新政党的全球布局里面巴西是一个比较重要的子市场但是在2020年巴西出现了一个问题就是它的官方货币雷亚尔的汇率大幅的下跌这个导致了新政党在巴西当地的实际销售收入出现了明显的下滑就折算一下是有下滑的而且这个下滑呢直接导致集团当年的农药业务的毛利率掉了3.41%就我们前面已经说了这个毛利率不是很高啊这个一掉这个不得了的事情
[00:18:56] 那为了尽量减少这部分损失呢先政达和其他大公司一样呢会购买一些金融工具比如什么远期外汇合约或者外汇期权之类的尽可能用这部分金融产品的收益来对冲外币的汇率波动风险
[00:19:09] 在2020年和21年呢他们买这些工具好像赚的都很一般然后每年还会亏大概10亿左右这好在2022年又赚回来了而且2022年一下就赚了23.8亿这还是不错的嗯跨国企业的这个汇率风险的话我们最早其实在那个萨利亚那一期也是个跟农业相关的一个公司里面也讲到过一点所以我们本质上就是个农广天地节目是吗那个民以食为天嘛而且考虑到先振达有四分之三的业务其实都是来
[00:19:39] 来自于中国以外的这个市场所以在中国上市的话中国的投资者其实还是要相对更注意一下这方面的这个影响确实得注意一下那这里你前面提到四分之三这个事情我还想提一点就是如果你把先政达的分地区收入和他的分业务收入叠加起来来看呢会发现一个问题就是先政达海外市场和中国市场的分业还是
[00:20:01] 什么叫叠加在一起看简单来说就是说我们前面不是说提到了先振达的两个比较小的业务吗一个是化肥这个没有展开讲还有一个就是稍微展开讲了一下的现代农业服务这两块业务合计20%收入如果你仔细看它其实都来自于中国化工并到先振达里面的一些资产原来就是我们中国的然后就放在里面的这两部分业务都是中国的市场的业务是的而且就是它这部分业务完全是服务于中国市场它没有什么海外
[00:20:30] 至于说农药和种业这两个主营业务你把中国市场加进去以后影响范围也不大最多是在你总收入上面增加一点点
[00:20:41] 主要他还是说农药和种业都是海外的收入就是业务和业务之间其实他的市场分得很清楚是的那是不是可以这样理解对于这个即将要上市的这个先振达集团来说其实他比较像是专注海外业务的这个老先振达在这个基础之上他嫁接了一些中化自由的或者是又新收购来的一些以中国为主的业务
[00:21:04] 看上去是一个互相协同的一个农业集团但实际上更像一个互相分野比较清晰的一个农业的资产包大概是这个意思当然就是说这个事情没有特别的好坏之分大集团旗下这么多业务未必一定要互相协调现在的情况也不代表以后就不协同只是在目前这个时间点我们通过招股数来看即将上市的行政打的话我们得出的是这么一个结论
[00:21:32] OK刚才的岳老师其实是基于这个招股是对先进达做了一个其实已经是非常简略的一个扫描了但是已经有很多的内容了接下来呢我们想继续探讨一下前面提到就是协同这个点以前的节目里面其实好几次提到我们倾向于把上市理解为一个单纯的融资渠道不会增加太多的这种情感的色彩或者把它当做一个非常了不得的里程碑至于我们刚才说的这个所谓资产包的上市
[00:21:59] 你像房地产之间的这个Rates不是也是这种模式吗因为底层它的资产就是一些商场商铺或者是公寓啊什么的并不一定要求这些资产一定要互相之间有什么协同但是约老师为什么在先进达这个案里面我们会比较在意协同这个事情呢
[00:22:13] 简单来说因为先政达这个IPO跟一般的公司上市确实有些区别首先还是因为它太大了其次就是因为它基于并购组合而来的这个资产包里面有一部分叫商誉的部分这个其实是有一些风险的最后就是先政达这个公司上市确实是为了融资就是非常明确的就是为了融资但它的融资本身有一大部分的目的是为了还债这个也是有风险的
[00:22:38] 为了解释协同这个事情好像岳老师又开了两个新的专有名词要不先展开讲讲商誉这个概念好的 节目开头我们提到先政达这个公司本身就是一个各种公司不断整合拆分再整合而成的一个产物商誉就是在企业的并购过程中产生了一块特殊的资产比如说这个公司资产原本是100万
[00:22:59] 但是这个买他的这个买家愿意为这个公司支付110万那多出来这10万呢就是因为他觉得这个资产不错他未来可以赚更多的钱那我愿意付这个溢价那多出来这部分溢价呢就叫商誉而产生这部分商誉的原因呢可能是因为这个资产有独特性有一些品牌价值而中国化工集团在2016年收购先证达的时候这个收购价相比当时先证达的市值溢价的程度是60%那相当于直接增加了很大一块商誉
[00:23:28] 等于现在这个先振达集团的这个商誉已经是到了一个会显著影响他整个资产结构我们打引号的时候水分有点大的一个规模了是的
[00:23:36] 招股书显示截至2022年底先政达集团的商誉账面价值是1781.59亿元这个占到了公司总资产的31%太多了而且报告期内公司也没觉得说这个商誉水平需要减一减但是一旦未来业绩不好这公司很容易就说我商誉层面这个事情太大了这个影响力已经下降了其实就没什么必要维持这么高的商誉了
[00:24:01] 做一个减计的动作这个减计的动作呢实际上就会导致首先公司资产缩水了其次呢公司的净利润也会跟着下降那对于上市公司来讲通过改变商誉做这种无关实际业绩的变动这种不确定性就是商誉的最大风险另外还有一个问题我们要提到就是先知达的这个商誉其实未来几年还有可能要继续增加的因为如果从募资的使用计划来看的话它有208亿元将被用于今后的全球并购
[00:24:29] 那溢价并购的企业将会带来新的商誉这个负担就比较难减下来吧
[00:24:34] 不仅难解出来有可能还越来越多那你提到新政大这个募资使用计划呢里面有一个支出第二高的项目叫偿还长期债务这个一下就抓住了眼球因为这个部分有195亿元之多占到整个募资规模的正好三成哇这个前面208亿用来并购195亿用来还债就我们前面讲的跟业务相关的其实占一点点对就跟业务好像没有什么关系的嘛为什么会这样呢这个其实就要回到当时中国化工集团收购
[00:25:03] 先政达的时候采用的一个策略当时中国化工集团的资金方案里面其实是主要都是债它有200亿美元的永续债和优先股然后还有
[00:25:14] 总计是329亿美元的过桥贷款配额他基本上最后就是
[00:25:43] 然后等到先振达在申请科创板上市的时候他这个新的上市主体呢又承接了中国化工当年这个融资时所用的这个公司这句话的意思就是说他承接了大量这个我借钱收购自己时候的一些债务为此呢先振达集团还做了一轮的这个债务重组再加上少量的偿还了一些债务反正最后是在账面上面消灭了合计186亿美元的一个借款和永续债
[00:26:10] 虽然说他消灭了这么多但是他还剩120亿美元的债要还OK还有120亿美元对就如果不上市仅靠公司每年这点微薄的利润和分红的话这个债是很难还完的其实他利润已经蛮多了就是从这个绝对值上面来说但是跟这个债的规模相比我们所谓才是他微薄不太行那看了一下截至2022年底
[00:26:30] 当期的短期借款以及一年内就到期的非流动负债是有75亿元的已经是一个比较高的数字了而且当年呢公司还支出了62亿元的利息费用这个两项而且都比2021年有显著的增长回想到未来几年的话它的偿债压力一直会比较大的
[00:26:47] 总之就是先振达集团因为在这么大的一个并购之后它其实属于一个负担比较重的一个状态所以从资本的层面来看中华应该也确实是比较急切的希望先振达能够上市来缓解它收购以来持续的这样一个资金的压力这个其实也是为什么从市场角度出发会对这次IPO有些担忧的原因因为先振达它首先是一个低利润率和高市值的公司这个很可能让它会变成一只不是很好炒的股票
[00:27:16] 另外一方面这个650亿元的融资规模其实也会冲击到目前A股已经不太好的流动性于老师刚才是解释了就是对于先振达的两个风险的判断一个是商誉一个就是募资的一个主要目的就是还债那我这里面就有个朴素问题就是如果中华收购先振达的那个时候他的资金压力或者杠杆没有那么大的话是不是先振达就可以继续保持在瑞士和纽约两地上市这个状态或者自主的运营下去
[00:27:45] 不用这个着急的组合资产然后在一个新的市场里边来大力融资了我觉得这个假设性的问题很难回答就是你本质上在问这个中华到底应不应该收购陷阱大吗但事实上他就是选择了收购陷阱大然后才有了后面这一系列的问题但是其实还是可以回到我们前面所说的这个业务协同的问题终于要回到这个业务协同问题了其实我们可以参考
[00:28:08] 的例子还是蛮多的比如说以前拜尔收购莫山都或者说就是先振达整个重组出来的过程就是诺华和阿斯利康各自把自己的农花业务拆出来重组的这个过程在这两个案例里面就莫山都和先振达本身的这个案例里面它的主导者其实都非常在意我这个合并重组以后业务一定要有协同这个业务协同目的就是降本增效比如说我研发费用是不是可以少点我的成本是不是可以少点我的这个产品上市速度是不是可以更快一点那最后应该是反映到这公司盈利水平
[00:28:37] 也就是自身造血能力增强但是
[00:28:40] 在中国化工和新政大之间我们好像还没有看到这种效果或者说跟当时的收购价格相比这种合并以后的这个进化在财务上没有体现的很明显理解了就是为什么我们说这个协同这件事情在新政大这个案例里面会比较重要就是一方面农业这个事情它本身这个产业链上面各个方面它就是可以协同的另一方面它协同之后应该给带来的是这个公司更加好的一个经营状况使得这个合并或者是收购本身是能够产生新的价值的
[00:29:09] 是的反正就是现在的结果就是有一点像各做各的然后拢在一起做了一个上市公司你看前面你提到那个现代农业服务的话其实就体现出其实它是有一定协同的潜力的对那如果说以后这块能够变成公司的主要业务的话我们瞎想想这个感觉是一个非常美好的前景了就现在农化集团好像都没有做到这一步
[00:29:30] 最后再讲一个小故事就是2020年时任中国驻瑞士大使耿文斌曾经接受过瑞士当地的媒体采访然后当时就讨论到宣正达这个收购案耿文斌是2016年2月份出任当时的中国驻瑞士大使的而且正好是这个收购案的签字时刻耿文斌就在接受媒体采访的时候表示如果自己早一年当这个大使中国化工对于宣正达的收购将不会发生而且如果瑞士想要收回宣正达的话他会劝中国化工集团直接把这笔交易就撤回去不要做了
[00:30:00] 但他后来又说现在瑞士其实已经没有人想把先振达要回去了听完这个故事我就会想到就是节目开头我们为什么会对先振达的IPO有那么多困惑也好或者还是有些看不懂的地方除了农业业务本来就很复杂以外如今的先振达集团身上还附加了各种的战略意图可能正是这些部分让它在2023年变成一个看不太懂但势必要顺利上市的一个巨型的IPO项目商业就是这样
[00:30:35] 感谢收听这一期的商业就是这样
