Vol.201 博世的治理架构，全球找不出第二家
[00:12:33] 并且奠定了它全球领先工业企业这样一个地位这也是博士的企业史当中被讲述最多的一条故事线我们讲那个关键词是超前它还有哪些超前的做法吗第二个超前的层面就是经营策略上的超前尤其是国际化上的超前刚才我们讲到博士的起家的第一个产品是发动机的点火装置那在拿到这个产品专利和订单的第二年就是1897年
[00:12:58] 罗伯特博士就开始寻找合作方把自己的产品推到德国以外的法国和英国去因为在当时法国和英国才是最大的汽车市场找大市场还是有点道理的因为那个时候汽车还是作为一个比如说富裕阶层流行的新玩具存在的而且还有一个点就是一开始博士还是与代理商合作这样的方式在法国和英国销售的但没过几年他就开始自己做了紧接着到了1906年博士就进入了美国在纽约有了个办事处
[00:13:26] 然后三年之后博士一半的事物就来自于美国市场了然后到了1912年的时候他在美国的工厂就已经投产了这个时候距离他研发出最早的点火装置才不过15年到了1914年博士已经是在全球的27个城市有办事处了而且遍布五大洲当中也包括中国上海这还有一点要说明就是博士的全球化程度在当时的德国企业里面是非常罕见的同时期只有像巴斯夫拜尔这样的公司能够达到他这样的水平
[00:13:55] 如果放到汽车业其实没有任何一家德国的公司有博士这样的国际化水平的对的有类似水平的都是一些汽车的品牌像他这个供应商就更加少了博士之所以会这么快的进入国际市场其实道理说出来也很简单就是罗伯特博士有个清晰的判断德国国内的汽车市场不会那么快的发展起来所以博士如果要上规模的话就必须要进入汽车发展最快最有潜力的市场那就是我们刚才讲的英法美三个地方
[00:14:22] 敏锐的市场洞察能力可能是罗伯特博士身上很被大家低估的一点一般大家提到博士这家公司和他创始人都会提到说他对技术或者对产品质量的精益求精但是罗伯特对于市场判断的这个部分绝对是一个重要的推动力他跟技术其实是相辅相成的对如果你去看那本书的话其实他有很多做生意层面的这个事情实际上是非常的老道的或者说是事后看起来非常重要的那这是我们讲的第二个层面的朝前
[00:14:49] 第三个层面的超前就是公司治理模式的超前其中最典型的就是我们前面Q到过的博士的高福利高待遇从这个工作坊时期博士给员工提供的薪酬就要比同类的公司高出30% 40%而此外很重要的一点就是博士是德国最早实施8小时工作制的公司之一其实当时相比于博士的产品真正让博士家公司在欧洲成名的就是它这个8小时工作制
[00:15:15] 这个就要Q到我们前面提到过的这个罗伯特本人的价值观了他就是很重视劳动者权益的保障对的就是相当于我当年经历过那种没有保障的野生的资本主义那我就要修正当中的问题是吧当然啊就是我们看了这个书之后就知道他也不是那种一门心思的就是理想主义者他也是会算账的他有一句名言就是你可能认为支付高薪是因为我富有但实际上我富有是因为我支付高薪
[00:15:41] 所以他也是为了企业的经营的效率来提供更好的薪酬待遇的与此相关的另一个面就是在提供良好待遇的同时博士也非常强调科学管理科学管理是一个我们在第149期讲过的词他当时讲的是美国管理学家泰勒的理论以及他中国实验者的故事是的实际上博士曾经派人和泰勒本勒请教过一个时代的而且还真的实行过很多泰勒的科学管理的一些措施
[00:16:10] 当然这个当中也有些挫折还引发过工人的反弹之后呢博士也就重新建立了和当地工人协会的一些关系双方才缓和稳定下来考虑到当时就是欧洲的社会运动已经是风起云涌了这种反弹其实是难以避免的即使说这个思路上很超前他也没有办法完全脱离自己的这个时代对的这里还可以多说一句罗伯特博士的领导风格他自己有句名言也是博士这家公司的标签就是
[00:16:37] 好领导的标准之一也放权
[00:17:03] 我觉得这个可能就要联系到此前讲到的罗伯特本人的这个学徒经历因为他当时觉得自己最早那个师傅啊没有很好的教导他他没有学到很多的东西所以他自己很重视对人才的培养尤其是学徒制的这个建立公司很多早期的管理层还有一些重要的工程师就是罗伯特自己指导过的一些学徒
[00:17:23] 博士这个公司他的那个学徒的名额在当时也会很抢手因为他的一个很重要的目标就是我希望这个学徒能够适应全行业的工作而非只能够适应博士的工作所以呢一般这个博士的学徒学完了之后只有四分之一会留在公司里面这也合意吗他觉得完全OK只要你能够适应整个行业都行所以这一点在当时也是很特别的
[00:17:42] 讲到这里我就可以get到你在开头说的就是博士的个人经历对于他的创业有很深有影响这一点某种程度上他是一个比较知行合一的人就在他看中的东西比如说先进的技术或者是劳动者的平权等等他就会在企业创业的过程当中去践行它同时他也非常重视这些问题同意的那这里简单的小结一下刚才我们是介绍了博士的创业初期重点讲了他在技术研发全球化和
[00:18:11] 治理方法三个层面的超前那这种超前呢让这家公司在草创期是陷入了险境但也让它在20世纪的前30年脱颖而出成为了德国代表性的工业企业但有一点也要说明的是在这个半个世纪左右的风雨当中呢罗伯特本人对于公司的感情实际上是一个持续增加的一个过程意思就是说这里出的时候他其实也没有说把公司当为毕生的这个事业有两次他差点都要把这公司卖掉了就价钱都已经谈好了
[00:18:39] 只不过因为对方的买家的一些财务的原因没有执行下去而已但是创业的时间越长罗伯特就把这份事业看得越重所以到了1930年代开始罗伯特博士就多次的提交遗嘱来安排他身后公司的继承问题我们终于要进入博士治理结构的问题了是的在进入下一部分之前我们先要补充一个背景信息其实最早的时候罗伯特是想把这家公司作为一个典型的家族企业传承给他的第一个儿子的
[00:19:08] 但是很不幸他的长子身患重病在1921年就去世了年仅30岁这给罗伯特本人还有他的家庭带来了重创他和第一位妻子也离婚了在没有明确继承人的情况下罗伯特把他的遗嘱的第一目标就设置为在他的身后博士这家公司要能按照他的意志运营下去也就是说罗伯特是希望博士这家公司来继承他自己的意志是的但是事情又发生了很大的变化到了1927年罗伯特再婚了
[00:19:37] 并在66岁的高林迎来了他的第二名儿子这就使得公司继承的情况又有了变化接下来我们就具体聊一聊博士的这个治理结构到底是怎么形成的现在我们就先把时间拨到1960年代因为是在这个时候博士迎来了140年历史上最重要的转折点就是他顶层的治理结构的变化
[00:20:01] 而这个变化的起点则是罗伯特博士1942年的遗嘱以及对于这个遗嘱的阐释理解执行和调整博士先生的遗嘱不像我们在那种影视剧里面看到的一张纸展开来他就决定了整个家族的财产分配和命运不是这样的A分给谁B分给谁不是那么简单没有这么简单它实际上是一组行动准则然后这组准则有三个核心目标第一是确保博士公司财务独立能够自主发展长久存续
[00:20:30] 第二呢是希望博士家族的后代能够跟这个公司保持紧密的联系第三就是公司的部分利润要拿出来做公益第一次看到这些目标就是首先感觉它很理想化其次呢就感觉它好像是隐含了一些利益冲突要解决的就是所谓的行动准则就是好难行动对达成这些目标呢其实是需要两拨人的配合一拨呢就是博士家族的子女和亲属们
[00:20:54] 还有一边是遗嘱执行人小组这个小组的成员是当时博士的亲民高管托孤大臣有点这个意思因为这七个人也是此前罗伯特博士设立了另外一家资管公司的股东这公司我们之后就按照他的德语名简称为VVB罗伯特本人其实是把自己的股份大部分都转到这个VVB上所以这个VVB很重要除了这两拨人以外罗伯特的遗嘱里面还有一个很重要的时间因素
[00:21:22] 因为当时博士先生这个小儿子就是小罗伯特他年龄比较轻所以说这个遗嘱呢是考虑到了比如说教育和长期发展的时间所以留了一个最长可以有30年的执行时间在这个30年的执行时间里面呢所有的罗伯特原来手上的博士公司的股票呢都是由执行人小组代为掌管的但是呢他们要想出来这个公司最后要按什么样的治理方向来发展所以这真的是一个漫长的遗嘱的执行过程
[00:21:50] 就是我定好了之后给了你一段很长的时间你慢慢的来决定最后要继承给谁或者以怎么样的形式来继承对真的是一个脱钩的一个概念对但是这个脱钩的方案就是非常的复杂其实你从遗嘱当中可以大致规划出两种完全不同的执行思路两条路线对两条路线第一条路线就是常规的遗产继承就是把这些股票分给家族后代们就好了
[00:22:11] 但这个过程当中如果有男性成员展现出了领导才能那他就会获得最大比例的股票然后直接接管博士就是选出一个家族的继承人对第二种方案就是把这些股票都直接转到VVB的这个公司里面然后这样子的话VVB不会就是成为博士的控股公司吗家族成员是通过VVB去间接管理博士的然后这个期间还能拿到一些合理的费用和分红
[00:22:39] 就是这个公司一定要是按照我的想法来运行下去如果家族继承人有能力的话那就来继承当这个掌管者另一种情况的话就是由这个VVV这样一个控股的公司来集体领导对OK听上去都可行啊但是为什么会有两个方案呢我觉得这里就涉及到博士对于公司长期发展的考虑罗伯特是非常希望自己的意志能够长久影响整个公司的发展的但是在立遗嘱的时候他没有办法确认自己这个
[00:23:08] 小儿子就是小罗伯特博士能不能扛起他这个大旗所以呢这个反而给执行小组或者说是博士的高管们留下了一些操作的空间就那个时间的那个维度不光是时间维度还有人的维度因为在整个小组里面位于这个小组的核心的人就是汉斯瓦尔茨瓦尔茨是个什么人呢他此前长期是博士先生的私人秘书这个人号称我最懂博士先生我最懂博士的精神
[00:23:34] 瓦尔茨最开始倾向的是方案一他个人认为就是说博士本人是倾向于只要我这个小儿子够格我就让他接班的所以他一开始是真的忠诚地执行这个罗伯特的遗愿脱钩啊就是我要把这个孤服养起来他是真心地想要这样做的是所以有一段时间呢瓦尔茨还设计了一整套针对小罗伯特博士的培养计划在他就是像游历一样的到处去学习一下但是到了1959年呢这个计划是基本告吹了为什么
[00:24:02] 我理解是两方面原因因为一方面是瓦尔茨在几年的合作下来觉得是小罗伯特本人有点太激进就是观察考察下来好像还差口气对缺了一点领导的风范第二点呢就是瓦尔茨本人是在公司的管理层里面就内部的高管里面找到了一个他自己非常满意的继任者叫梅克尔觉得梅克尔其实就可以领导公司了当然如果从话语权的角度来说就是如果选方案一就是小罗伯特接班的话呢还有一个问题就是
[00:24:31] 我们这个执行人小组就得解散了然后高管呢往后就得听小罗伯特了这就不是说他们很认可的一个方案但是如果选方案二的话就是小组成员他们不是同时还是当那个VB的股东吗这样子就其实跟家族还有一个相互制衡的可能性所以不管是说从这个继承罗伯特的一致还是说从这个公司的治理或者管理的这个平衡来说的话执行小组成员还是相对比较倾向于方案二的
[00:24:59] 尤其是在验证了一段小罗伯特这个潜质之后是时间到了1961年出现一个新的变化就是当时博士先生的大女儿叫玛格丽特·费舍尔博士她提出一个新的要求进一步把这个遗嘱的执行导向了方案就是VVB方案简单来说就是玛格丽特当时是提出我愿意把手中14%的博士股份移交给VVB但是她同时要求说VVB必须变成一个纯粹的公益企业同时家族要在VVB当中有话语权
[00:25:27] 那他实际上是在帮助VB成为一个真正的方案那为什么家族的成员会支持这个方向呢很简单因为他受到了遗产税的困扰如果说他选择继承这一大笔博士的股份的话他当时应该会被征收高达1150万德国马克的遗产税这个数字大概可能没有概念我们拿车换算一下就是在当时的德国这个钱可以买
[00:25:51] 2000多辆甲壳虫轿车就是因为博士这个公司实在是太大了所以说这些股份的价值是很高的但他们其实钱没有拿到现金并没有那么多所以他交不了这么多的遗产税是如果说对于整个家族的成员一起去考虑的话他们当时计议要交的遗产税总额其实达到了9410万德国马克这个数字其实远远超过了可以用的家族资产
[00:26:15] 但出现这种情况呢博士公司也要介入我得帮你付这个遗产税这个其实又会动用到博士自己的一个资产的这个量级影响他的现金流其实也会影响公司的运营就是说家族成员如果要把这个股权当做遗产来继承的话要交那么多税那相当于也要求博士的公司要把这些股权兑换成真的现金对那等于对博士来说他就要花很多的真金白银想了想去股权移交这个方案最好的点就是我们可以避免很多的遗产税因为它会变成一个公益的企业
[00:26:44] 对那这里就有很大的问题就是公益企业能够控股一家就是像博士这样的大公司吗对吧这就是个问题所以到了1963年呢执行人小组就去找了一位公司法教授来专门研究这个问题教授不会是教授啊他提出了一个非常有创意的解决方案他说你们可以考虑把这个VB拆成两家公司一家呢只掌握博士股票的分红权不掌握投票权这个就是可以专门做公益这个公司
[00:27:12] 另外一家公司呢不掌握股票但是掌握投票权这个就可以管理和监督博士哦这个就是窥到我们开头讲的那个听上去很矛盾的治理结果到底怎么来的了就是把公益的职能和企业的管理职能分开了因为这两点都是罗伯特自己很看重的但是如果你合在一起的话其实是有矛盾的所以你该分开来对就是很天才的方案呢执行小组呢就基于这个方案跟博士家族继续去谈判
[00:27:37] 希望他们把股权都这样转移过去整个过程当中我们研究下来觉得博士家族其实做出了非常大的牺牲一方面他们损失了管理权因为在这个方面执行人小组可谓寸土不让然后其实最终没有让家族成员承担任何实质性的在博士集团里面的管理工作另外一方面是财务的损失因为虽然说有遗产社的影响但是因为这些家族成员转让股票的时间点都比较早
[00:28:05] 所以他们基本上只能获得一些基于1960年代这个博士股价所形成的一个报价就其实那个时候的报价比后面的报价还是要低蛮多的所以从这个角度看不论是执行人小组还是家族成员确实是很尊重罗伯特博士这个本人的遗志
[00:28:22] 因为如果从家族成员的私利角度来考虑的话他真的要据理力之人来争夺这些这个股权本身的这个价值的话并不是没有可能对然后难拿到这些钱但是有可能博士公司就散了或者说就是大大的受到了损失影响是
[00:28:35] 那在这么艰苦的谈判和相互妥协最后呢在1964年现在被称为叫博士章程的一个顶层治理架构终于基本形成了我们就具体介绍一下这个架构第一个部分就是博士94%的股权股权的部分是由公益性质的罗伯特博士基金会所掌握的基金会前身就是当年的这个VVB然后他慢慢的吸收了博士家族手中的持股
[00:29:01] 基金会在博士没有任何的投票权但是他每年都可以收到来自博士的股息分红哪怕当年是亏损他也得付这些分红主要是被用于医疗教育和全球议题等等领域举几个例子医疗方面最有名的就是罗伯特博士医院教育方面基金会支持了德国的日托中心在国际事务方面他为很多东欧的学生提供过奖学金也资助过一些非洲和欧洲的年轻导演
[00:29:29] 还支持过战争创伤修复等等事业总之呢是一个目标非常多
[00:29:55] RBIK的最早的股东就是当年这些执行小组的七位元老
[00:30:01] 它只持有象征意义的一点点博士的股权这个股权拿到手上主要的就是为了拿这个投票权这个投票权最早是100%的投票权靠着这些投票权其实RBIK就可以跟博士自己的监视会一起来负责监督博士管理层的日常工作了等于这个博士的管理层如果是元老的话不仅可以去监视会还可以去这个RBIK这个信托公司相当于母公司了对 博士母公司
[00:30:28] 不过插播一个疑问你刚才提到的一个数字上的差别最早的时候RBIK信托公司的投票权有100%但现在是93%怎么个变化这里其实就要说到第三部分就是博士家族目前的参与度目前家族还是持有5%左右的博士的股权以及7%的投票权还是有一定的参与的对这个有个变化其实在1964年这个方案里面家族没有分配到任何的投票权
[00:30:57] 就是我们前面说的这个小罗伯特他终身只能列席公司的会议他不能对公司的经营决策做任何的影响但是到了2002年呢博士的管理层与博士家族的关系又缓和了一些管理层就决定从信托公司就是前面说的那个RBIK手里面划了7%的投票权给家族交给了第三代当中的克里斯托夫博士然后希望他也能参与公司的管理等于他们也有一票了对
[00:31:24] 所以相当于这个博士张诚也不是1960年代定完了之后就一成不变的他还是有一个调整对有过一个尤其这个调整其实是比较重要的等于是家族和管理层还是有个磨合的是那根据博士家族规划呢他们手上不是还剩5%的股权吗其实最终也还是要放到博士基金会里面的他们最后只会保留象征意义的一点点股权
[00:31:46] 但是他们认为是7%的投票权既然你给了我我就必须保留下来我觉得这恰恰说明了博士家族最看重的还是我们对于这个公司有没有参与度和话语权这个也是遗嘱当中比如说讲到跟公司保持长久的联系这个字面意义它是最看重的这么看来的话不论是当年的执行小组就是RBIK还是家族的成员也是罗伯特最在意的就是那个公司本身公司本身还是很重要不是在意钱这件事情刚才算了一圈以后你有没有发现还缺了一点什么
[00:32:14] 还缺了什么很小一点点的股权这个是1%不到一点它没有任何的投票权这部分股权目前是掌握在博士公司自己手上这个其实也是家族和管理层一个新的磨合的体现股权这个层面上面基金会是占绝大多头的然后家族成员还有一些但是逐渐也会转到基金会还有一丢丢是这个公司自己会持有的
[00:32:39] 所以总结一下在1964年博士是拥有了一个三方分立的顶层结构这里面包括了三个主角一个是博士基金会第二个是工业信托公司RBIK还有一个就是博士家族三方的分工大概是基金会拿分红做公益RBIK有投票权管长期发展家族呢是用少量的股权和投票权与博士公司保持联系哇这么听起来确实是非常的独一无二一种比较特别的三权分立啊
[00:33:07] 我个人的感觉就是博士章程的这个方案之所以能够成为公司顶层架构的一个经典的案例有这么几个原因首先就是博士这家公司本身真的很大很复杂就你管理起来真的很需要高水平还有协调能力所以就不是说一定非得是家族成员或者是谁谁谁一定要是有能力的人来做其次就是不管是博士的高管层还是家族成员像我们刚才讲的就非常的重视创始人的遗愿这件事情是把它真的当真的
[00:33:34] 所以说才可以互相的妥协来磨合最后就是1964年这个博士章程确立了之后呢还是要经过很多次的微调才能够真正的实现他这个罗伯特博士符合他价值观的所谓的三方共治这样一个结构
[00:33:51] 我们前面花了很长的篇幅把博士目前很独特的组织架构的来龙去买讲完了博士章程本身它不是一个目的而是一个手段就是管理公司的手段它实际上有没有达到罗伯特博士对于公司的期望我们觉得至少在有一个层面上这个架构是奠定了博士这家公司的气质这个气质就是所谓的长期主义虽然这个词现在有点被用烂了但是我觉得用在博士的身上还是比较贴切的
[00:34:19] 具体而言就是这个架构使得博士的管理层可以在绝大多数的情况下面免受证券市场大股东等等的影响他们不会去追求短期利益的最大化而是会追求博士这家公司长远的一些发展目标同时这个组织架构在配合上博士长期的人才培养和提拔的传统使得最终真正管理博士这家公司的这些高管他们都是能够充分理解博士理解市场的一些领导者
[00:34:47] 而这些因素加在一起就使得博士敢于在一些新兴的领域提前布局坚持研发忍受亏损最终能够迎来一些收获这个是他长到现在这样一个规模的重要的一点那要么肖老师给大家用一个例子来说明一下吧还是举我们比较熟悉的一些汽车方面例子也是最有名的一个案例就是博士的ABS防BOSS系统虽然这个早就是所有车上的一个标配了就是一个强制性的标配大大的提升了汽车的安全性
[00:35:16] 但是我们还是稍微的给大家简单的解释一下ABS是什么科普小课场又开课了首先防BOSS系统所谓的BOSS是什么呢就是指的是如果你在高速情况下突然重踩刹车的这个踏板的话然后你就会发出一意义的一声尖叫重踩之后这个车是不会停的它会完全的锁死然后这个车轮不再转动这种情况下它不仅刹不住车而且会控制不住方向因为其实是你把那个轮胎固定住它就是一个平行的摩擦对对对这个摩擦的力就完全不对了
[00:35:43] 这种情况非常的危险是早年很多车祸的原因而且这是人的一个本能就是你突然一个停机情况就要重踩刹车而ABS防暴死的意思就是它可以用一些电子的方式把你重刹的动作变成了实际上很多次的快速的点刹这就使得这个车能够刹得住而且会减少打滑就是把你的一个本能的但是很不安全的动作转化成一个非常安全的能够快速刹住的一个动作总而言之就是开过车的朋友应该会明白这个就是一个
[00:36:11] 必须要有的底线性的技术就跟安全带和安全气囊是一样的东西对对对就是这个概念那这个技术呢是1978年的时候博士最早量产他还用上了当时非常先进的电子数控单元就要知道当时的车上绝大多数的控制还是机械控制就是电气化程度没有那么高对不是电气化是电子化集成电路这种东西是非常非常罕见的但是博士在这个上面是用上了那为此呢博士是投入了五年的时间
