Vol.272 2026年了，怎么还有人要做中国版Airbnb？
[00:09:57] 我家里比如说有正式的matress那种床垫我不能让人睡在床垫上当时的Airbnb说你需要放一张空气床垫在上面因为我们可能更像是一个社区并不像是一个交易的平台而且他们还要求房东一定要提供早餐如果不提供他们就去送卖片好像有一段时间是Airbnb是靠卖卖片好像是赚了一点钱对08 09年的时候然后之后其实我们可以看到Airbnb就是在
[00:10:24] 这个差别还是非常大的
[00:10:47] 还有一个就是他后来就是往一些高端化的方向走比如说做一些商人旅服然后有些本地体验甚至我最近两天打开Airbnb我发现上面可以订到酒店我觉得这个就是跟我之前想象的Airbnb这差别非常之大这个是因为他自己有增长压力吗还是就是说他自己找增长出路是这个样子的我觉得这个有他当时的历史背景因为Airbnb出现之前有另外两种这种所谓的民宿居住方式其实比Airbnb出现的更早一种叫沙发客
[00:11:14] 这个事情在90年代初期就有一点美国的泡沫破面的那个时候就已经出现了大家互助的旅行方式然后是不用给钱的免费的然后在Airbnb出现之前的大概五六年前就已经出现过一家公司叫做HomeAway然后这家公司做的有点类似于国内早年一个叫图家的网站现在被并进携程做民宿了他们做的事情是你是一个纽约人然后你在迈阿密买一套房
[00:11:42] 但你一年呢可能不会过去住几天这个时候你就需要委托给一个当地的中介由他来管理在你不住的时候把房间出租给别的来迈阿密旅行的人他就是度假屋是度假租赁其实就是在三亚也有很多这样当年的红树林的这样小区然后Airbnb出现的时候是经济最差的时候大家需要的是一份额外的收入但这个额外的收入本身
[00:12:08] 在美国当时的社会里面很快又通过后来经济增长的方式大家可能就慢慢慢慢涨上来了然后Airbnb一直做到11年的时候大概就十来万间左右的房源然后这个时候他想再往上涨就有些乏力他就去接入了一些类似像Homeaway那样的房源就整租的那种度假租赁但这样的房间的这种管理者他可能不太理解Airbnb社区的这种
[00:12:34] 氛围和规则他只是把他的房子挂上找一个地方去销售所以他们经常会做一些违规的事情比如说接了其他平台的订单就把Airbnb的订单给飞掉这个总在顺风车这里应有议有讨论飞掉所以Airbnb在13年的时候又重新开始在全世界去招募当地的员工然后由大家去做所谓的社区运营去招募真的房东出来
[00:13:01] 然后大概招到15年的时候有个100万左右的房间但这里面的房间这时候已经有一半左右都是整套出租的房子了然后2015年是Airbnb比较重要的一年它那一年做了一些功能上的更新比如说做了及时预定这个功能其实对民宿来说就是贴近标准化的那一步为什么说及时预定是贴近标准化的一步以前的民宿你是需要房东同意就是你先申请预定然后你付完钱房东同意你才能去住
[00:13:28] 因为毕竟他可能还住在这个家里面但即使预定就是你跟酒店一样只要看见日历上是有空档的你只要预定你今天就可以去入住所以从15年往后就有更多的越来越多的房东去变成了二房东也有了更多以前做二房东的房东来进入到这个市场里面那之后成了我们今天熟悉的爱比营也是同一年Airbnb提出的他们想做的不仅是民宿平台他们想做全球旅行业的
[00:13:57] 旅游业的一个代言人他们叫Global Hospitality Head提了这么一个词当时其实大头就是booking他们已经尝试过接入一些终端的那种精品酒店只不过这些事情在遇到疫情左右大家就受到了比较大的挫折然后到现在又重新开始做其实刚刚已经讲到homeaway这个其实跟现在阿拉雅做的事情是比较相似的但我们可以先把阿拉雅放一放我其实想提的是
[00:14:25] 这个领域可能还有一个相对来说比较小但是它又介于酒店和民宿当中的或者说跟公寓当中就是服务型公寓我不知道这个部分你有没有了解这个部分为什么一直做不到
[00:14:36] 其实美床民宿最早就是做类似这种商住的公寓比较多然后也是因为大概在16年之后我们经历了很大规模的类似拆迁或者棚改我们造了非常多的商住两用楼然后这些楼里面大部分的房间都是比如仪式一厅或者甚至是个loft这些房间其实就很容易被改造成民宿第一个是因为它当时在合规上因为它的消防什么是比较容易合规的
[00:15:03] 然后其次是这些房间比较容易被标准化它可能是精装修交付我们传统意义上所谓的那个服务室公寓一般是指酒店里面配套的那个对就是雅士阁那种对就雅士阁那个那个可能确实做不到那么大因为能够付得起雅士阁那个月租费用的人我觉得那个好像就是一个很经济上行期的代表就是这个公司有很多高管要飞来飞去的这种情况才会有是的
[00:15:26] 但是如果说做的不是像雅士哥这样的只是把公寓做了一个标准化的改造然后再出租这个其实反而是一个比较容易的事情是吗这也就是当时美团增长的比较重要的一个方圆那我们其实再回到阿那亚阿那亚和HomeAway有什么本质上的区别吗我觉得好像没有还是对于游客来说可能没有什么本质上的区别但是对于管理方来说阿那亚虽然有自己的预定平台就你要预定阿那亚的民宿
[00:15:54] 大概率你都是得通过安娜亚自己的那个APP才能预定到没有去过这么高的地方竟然这么的系统吗对有一个自己独立的APP你可以在上面预定安娜亚的酒店和民宿安娜亚更像是一个在迈阿密的大的中介就我自己管理了这么多套房子因为后末我也自己是不参与到实际的线下管理的但安娜亚除了做线上的预定之外也做线下的管理
[00:16:21] 但我觉得这里是不是主要差别在于整个迈阿密的房子不可能是一个业主建的确实阿南也难道不是最核心的问题是他先建了这么多房子先把这么多房子卖出去他就相当于全生命流程的管理我可以这样理解从建到卖给你到卖完之后我收回来运营给你分钱包括里面所有的配套全部都自己做这个是一开始就想好的
[00:16:47] 也很难这样说的因为一开始做阿拉雅这个事情你能看到很多的故事马总在回答的时候也都会说一开始也并不知道会变成什么样子然后可能连利息都换不上马总觉得房地产拽拨也可以因为确实我听说早期的阿拉雅的整个销售是非常好的其实光靠房地产的部分其实已经赚了不少了早期 看说多早期如果是刚拿阿拉雅这块当时的荒地的时候中间是非常困难的
[00:17:15] 好起来的那个标志性事件其实就是图书馆是那几个精神建筑起来之后还是要打几个地标出来对然后就是当时开始有人有客人比如说业主们的朋友想要来阿那亚玩但是那附近当时确实没有什么别的配套那只能住在大家自己的家里面就从那个时候开始有了民宿的雏形
[00:17:35] 那不管是像HomeAway或者说Ananya这样子的品牌的话它其实或者说Airbnb后续的一些调整它其实最后带来一个很明显的一个大的趋势就是这个产品价格带肯定会往上走那价格带提升这个东西对于比如说消费者来说会不会带来一种新的认知就是这个品牌跟我原来想象其实会差别很大它会转而去投向别的品牌吗我觉得如果消费者的可支配收入
[00:18:02] 是跟着这个房价一起在涨的话我觉得就还好比如说前些年的阿南亚大家就觉得也还行但你现在再看因为阿南亚的房源变得更多了然后旺季的时候还是仍然非常旺的但价格本身也不像前两年那么的夸张因为比如说二三年疫情刚解封的时候
[00:18:23] 那大家可能都憋了三年时间没有出去玩所以对于旅行上的花费是非常的手松的然后房价就会炒得非常高包括那几年的酒店大家应该也有感受但这两年我们能看到酒店集团的财报里面大家的所谓的收入这个利润都在逐渐逐渐的向下走都在乘一些压我提这个问题就是因为其实你在你的职业生涯里面其实很多时候在做一些价格带更低的
[00:18:49] 生意比如说不管是在咸鱼还是美团尤其在美团我知道你们其实是切了一些很神奇的就是非标准化的或者说民宿上的需求这个你可以跟大家讲一下你在美团究竟是做什么样的房子或者什么样的需求吧因为美团在我们做民宿之前其实酒旅已经发展了几年了然后美团的酒旅本身的优势的价格带也是在比较便宜的就一两百块钱这个价格带里面
[00:19:18] 它现在的这个价格带的销量就我们叫兼业量是能够超过携程的但当时选择做这个核心原因不还是因为携程其实已经把高端的东西做得很好了就是你只能做一些他不做的东西是这样吗然后加上美团本身的优势其实是在本地生活就所谓的本地需求你点的外卖其实跟你在同一个城市的所以美团一开始做酒店包括后来做民宿本地市场都是我们一个比较重要的市场这一点对
[00:19:45] 所以其实我们就找了很多这样的
[00:20:04] 有点边角料的诉求包括找到了大学生周末的需求也不仅是周末吧我觉得这个可能日常也有需求就所谓终点房需求这部分我们也不用讳言啊我觉得在这种小的点上有些日本的事件是很值得去看的说日本其实很早以前就有所谓的love hotel的事件然后包括它的江南旅馆就是把这个所谓的
[00:20:33] 对我觉得第一肯定是还是跟价格有关青旅是相对更便宜的然后但过去的青旅大家可能会觉得脏脏乱乱的你也不知道这个里面是什么人跟你一起住但现在的青旅比如说什么和平行旅这些大家都已经做得非常好甚至有自己的社区但我觉得这是因为青旅我读书的时候也住过我觉得读书的时候确实是旅行的时候才会住青旅就是确实是大家都是来玩的人住青旅那现在就是所有人都是在里面就是有各自的明确的诉求比如说我是找工作的
[00:21:02] 对求职其实是这种短途旅行非常重要的一个诉求而且这个变化还是比较明显的对而且经济越不太好的时候人口的流动其实是越频繁的对用西南我们的话来说叫找活路就大家反而要跑来跑去的到处找找工作那为什么找活路这个事情就是本地是没有办法承接它它已经找不到活路所以说才会往外移动是这样子吗
[00:21:28] 有一个数据有点意思就是疫情之后大家坐飞机的长途旅行下降了非常多但是坐火车和自驾在周围的旅行变得多了很多倍这个旅行是一个广义层面上的旅行就比如说你只是出去找个工作这个也算是吧也算在里面对那所以说比如说我们现在回过头来说就我们归结了整个Airbnb的这个发展过程然后包括说中国有一些其实是Airbnb可能看不上的一些需求那我们如果把它汇总起来
[00:21:57] 我们说消费者去在挑选住宿的选项的时候想找一个民宿的时候他的需求的核心究竟是什么你觉得是什么
[00:22:08] 第一点是民宿的如果要比它所谓的客单价就是一个床位的价格来说它其实是要便宜于酒店的因为很多的民宿里面比如说可以加床然后有两室一厅三室一厅但你在酒店里面可能就得租三个房间这是第一种大家不一样的需求第二种是住民宿的诉求里面有我们刚才提到的比如说求职考试面试旅居
[00:22:31] 大家住的时间可能因为酒店在中国平均预定大概就两三天三四天这个期间但民宿可能能到达七天然后七天时间我住在民宿里面除了价格便宜之外我可能会用到类似厨房用到类似洗衣机这样的设施设备这些在酒店里面有些酒店可能也提供洗衣机但你可能是跟两百个人共用这一个洗衣机
[00:22:53] 跟民宿也不太一样这其实是所谓的一个是价格带要更低一些另外一个是体验要比传统的酒店的配置要更丰富一些对只能说更丰富很难说更好你觉得如果是这两个合在一起的话哪个更重要
[00:23:07] 我觉得还是价格更重要还是价格对还是价格更重要大家选择民宿还是主要是因为民宿大家心里的认知对他来说是一个价格更便宜的一个事情是的因为民宿的你的管理半径肯定要比酒店的更宽一些你不用提供那么人到人的服务因此你会省下很多的钱而且你也不用就是做所谓的硬装各种大的改造那我们接下来大部分时间都可以用来聊你的这个新的一个业务我们自己内部把它叫一个怀秀服ARBNB
[00:23:36] 对但是我跟你聊了很多次关于这个事情我觉得一个很让我吃惊的地方就是你跟我讲这个事情的时候你总是先从宏观经济讲起其实我们已经前面已经讲了一部分宏观经济的东西了但是你其实一般来说都会跟我讲是从土地产生和棚改想起那我们可以带着大家把这个整个逻辑捋一遍就是为什么会有所谓的就是说最后能推到说我可以在中国做民族这一步就是宏观经济层面先是出现那些问题
[00:24:03] 其实如果我们十几年前就认识的话我们大概聊的是非常微观的那个时候我们会聊很多认识还是太晚了Airbnb为什么在中国做不好做不成变成一些运营的问题是吗对其实你面临很多问题但当时你不知道这些问题背后的原因比如说为什么当时14年15年的时候我们想在第一家创业公司尝试做中国人的民宿就这种自卧的类型但聊了很多的房东做不起来就大家没有那么强烈的意愿把自己的房间放上来
[00:24:31] 但如果大家说我有一套闲置的房子我可以放上来这个事情是你后来才会明白的是因为在12年到20年那段时间房价其实是在向上涨的然后且每年涨幅还不小就如果你的房子在涨价你大概率是不想每一天就是伺候一个人然后一个月挣个一千多块钱就这件事情不那么吸引你所以其实当时从11年12年开始国内有一些早期的平台在尝试学习Airbnb去做民宿这个事情
[00:25:00] 但是后来要不然就像编程向后木卫一样的土家拿的更多的是比如说一个开发商开发了一个小区我拿一栋楼出来做成我的斯维登公寓做成这样要不然就是做成了像美团那样我们做的就是商住两栋楼里面的公寓但是最学习Airbnb的小猪到后来不得已就只能自己下场去做所谓的代运营就自己去拿房子自己去运营当民宿这核心原因其实就是因为那个阶段的中国人
[00:25:29] 确实不差钱或者说大家对未来的预期并不差就觉得我除了房子涨价之外我的工资肯定也会涨所以这个事情在十几年前非常非常难被复现这同时也是Airbnb在中国失败的我理解的最根本的原因就是它在一个房地产上行阶段进入这个市场它来的那一刻我们刚好遇上下行的那么一段时间包括15年的股灾那是它来的时间然后后来
[00:25:54] 传言说他们内部当时觉得我们是不是也会像08年的美国一样老百姓的生活和收入会遇到比较大的影响那我觉得他们有可能高看了这个中国这个股市市场的这个容量其实并没有占很大对然后刚好那段时间其实房子跌了一波就是15年到16年有一点点的可能美国人历史书上是没有学过房地产下行的时候会有类似像棚改这样的金融工具出现货币化棚改对
[00:26:20] 然后瞬间又把房价拉上来我们可以简单讲讲就是所谓的那个膨盖货币化这个到底是个什么东西吧膨盖货币化其实就是俗语就叫拆迁对所以就是拆迁但是你是拿到最后是拿的是钱而不是房子因为有的是那个所谓现在上海也在做所谓的圆拆圆建就你把那个旧的楼拆完了以后但是你还是
[00:26:41] 最后比如说两年以后给你建完新的楼你还是住回去他不会给你货币化的补偿是的那所谓棚盖货币化其实就是我把你家拆了然后我给你按你多少平利然后每平利多少钱然后把这个钱给你你自己拿这个钱你再去买房是这个意思对吧那其实棚盖货币化最后的结果就是在市场上出现了很多就是手拿几百万去买房子的人
[00:27:03] 对出现类似像列德像大冲等等这样的陈东村的对然后最后结果就是这些钱流到了房地产市场对他们并没有流向说所谓的很多其他市场比如说资本市场或者说变成储蓄它还是以房地产的形式又转回来是这样吗几倍投入到了房地产市场里面这个是一个就是大家
[00:27:24] 大家都还是心里觉得你把我房子拆了我还是要有个地方住的这样一个心态吗不仅是有个地方住是因为大家意识到你拆我房子给我这么多钱那我再去买下一套房子它应该涨得更贵就本质上它其实是一种金融预期管理是吗对这不就叫当年的词叫涨价去库存吗有这么一个词对但我们这个讲的是所谓的需求的部分需求部分肯定是这样可以刺激出来那其实还有供给的部分就是同时你要有很多的地在建
[00:27:52] 是这样吗其实是相当于那段时间中国的住宅的地产的增长其实跟着棚盖货币化是一起的这个事情要接上之前的一个政策类似像四万亿这样的政策我们会看到国内很多的城市都出现了类似叫高新区这样的一个新的地区大家规划一整片土地然后从零开始平地上拔起一座新城然后造了非常多的高楼不管是类似像成都
[00:28:20] 然后像贵阳这样的城市都出现了巨大的一个高新区然后那边的房价还远远的高过于市中心但今天再过去看的时候就没法跟大家聊这个就不能跟大家聊房价这个事不过我还是想问就是为什么高新区一开始设定房价就可以高于市中心呢还是预期还是预期观在规划的过程中会告诉你我们可能会把很多的城市中心区的功能然后包括医疗教育等等等等都搬过去事实上后来虽然都搬过去了
[00:28:49] 内环内或者中环内那个生活你是很难完整地搬到外面去的它其实预期上是一个搬迁但实际上其实是一个小规模的复制你不能说预期上不要搬迁预期上应该叫这个城市在发展新进来的人会相信这一个说辞然后会觉得哪怕我买在五环外我也是这个城市的人我可以给你举个我们这一代人的例子我们这一代吗
[00:29:16] 这么有钱吗大概90年可能到00年这一代人就25岁到40岁的这一代人就所谓的青壮年这一代人大概三亿多人但是在城里面生活的人大概有两亿人左右就首先第一个点是进城进城了对有两亿人左右的生活在城镇里面然后这两亿人里面名下有房产的人有九千万九千万九千多万人然后这很多对不少比我们想象的多
[00:29:42] 我们可知大部分应该都是比如说家庭六个钱包一起买的房对 但这个没关系就是你一下有房了然后这9000多万人里面大概有6000万人左右每个月的收入是有30%到50%是要用来还房贷的
[00:29:56] 就是借贷人压力然后这里面的人大概有2000多万人每个月有超过50%的钱是用在还房贷上的超过50%借贷率这么高吗这是中国吗还有一些更就现在财经大学的数据还有更加性的数据是比如中国现在有房贷的人里面有10%出头12.5%左右吧的人是完全资不抵债的也就是他现在的房产卖出去是抵不上他剩余的贷款的就是这个漏斗
[00:30:22] 漏到最后听上去是蛮可怕但是在漏斗之外还是在勉励支撑是这样的但举这些人的例子倒过来其实就是说这些人买房25岁到40岁以及现在资不抵债也就是房价跌了可能超过30% 40%的人大概率买房就买在16年到21年这几年时间在最高点的时候买了房并且承受了最高的贷款利率
[00:30:47] 现在听起来确实是蛮可怜的一个事情只是他们你很少见到这些发生
[00:31:09] 那这样子其实就会导致就我们说的类似于像Airbnb在2010年诞生时候那种感觉已经有点起来了是吧那在这个时候就是会有所谓的我们波动一下这个需求比如说你能把你的一个次我拿出来出租有可能会给你带来一定的额外收入是会有这样的预期是这样吗对 是的如果你房价在涨或者你收入在涨你肯定不乐意
[00:31:33] 你幻想一个就我们自己来说你跟我说我能不能去你家住一晚给你200块钱换在几年前我可能会谁差这200块钱对吧好像我很穷似的好怪很怪现在我一看我房子可能跌了30%然后我的工作我的房东里面我见到过的真人的房东里面有50%以上这个家庭里面是失业状态或者至少有一个人处于失业状态
[00:31:58] 好心酸的结论但我们一般不叫失业大家可能叫自由职业带就业或者灵活用工依然在劳动力市场上就大概是处于这么一个状态这个比例听上去就是真的很高那其实你要撬动这部分需求其实会比原来最早想做这个事情的时候容易很多或者说比进中国的时候更容易实际上是先看到了他们出现
[00:32:24] 在小红书在咸鱼在各种这种社交媒体平台上有大量的这样的人开始在出租不管是长租短租自己家里的一个房间然后甚至有很多人在做各种灵活用工的技能你会看见有什么陪看病的然后包括比较典型的是顺风车像这种业务在前些年因为各种各样的一些违规的事情很长时间内是打不到顺风车的但现在顺风车也降低了准入门槛也允许各个平台重新去做了
[00:32:52] 本质上都是所谓的这3.2亿零或用工中间的一环就是利用已有的资产我获得一定比例的额外收入不管这个资产是什么比如说我的劳动力也好或者我的房子也好或者车子也好是这样吗对我住了200多个房间我开始的100多个房东我都会
[00:33:09] 拿个表来问他们开始做了有点正式我会问他们就是你房子你像人口普查一样去问他们确实有一点现在有很详细的一张表我会问他们你房子在哪一年买的买多少钱然后他们是不是讲了讲了开始骂然后我还会问他们现在多少钱然后打开了沉默了
[00:33:28] 然后还会问他们那个时候因为我不完全知道各地的房地产市场的具体情况你就每个月只看那个什么七十成指数你觉得还是太宏观了我还会问他们对未来五年你觉得你房子会不会涨就是一个预期观对就对未来的预期然后我还会问他们然后又开始骂你觉得未来三到五年你的收入会不会涨一骂不动的然后问了一百多个房东之后我就不再问这些问题了就发现大家答案是一样对我觉得没有异议对全部一模一样全部一模一样就相当于
[00:33:57] 能提出这些需求人其实是基于同样的背景得出了一个我必须要把这个资产以这样的方式盘活否则我就没有活路了我不觉得大家经过审慎的思考我觉得大家就是自己的现金流开始遇到了那个压力然后去琢磨这件事中间有一些房东大家不管是因为不熟悉还是因为面子他会跟你说我这个房子还好没有别人跌的没有别人跌的我有一个朋友系列是吗他说我这个就跌了多少一点还行
[00:34:23] 但实际上你只要去看当然现在看不到真实的售卖价了我去各地也会找当地的中介聊天然后你去问这个小区真实的成交价你也会觉得你有把汗其实我们如果至少看官方数据的话会觉得说这两年像至少一线城市有个房价已经开始止跌甚至有点回暖了那比如说我们讲一个最根本的道理是盈亏同源就如果说你出租房子是因为你这个房子跌价跌了很多你根本没有办法把它卖出手
[00:34:51] 那万一这个房子以后生回来你觉得像你做的这类比如说出租资格这个需求会减少吗我们分两类讲一类是Airbnb也是经历过从高峰到经济低谷再起来然后变成了今天一个能够加上酒店一共有1500万间左右的房间可以去做分销的平台
[00:35:10] 自卧这个阶段如果维持十年我都不敢想象这个可能已经已经不是个自卧已经不是个大问题了别的问题已经更严重所以理论上自卧这个时期它不应该维持一个特别漫长的时间它如果维持特别漫长我们就是日本了但我相信我们不会变成这个样子对然后从另一个方面来说是比如一线城市里面其实我们讲的就是上海因为其他几个城市还是就那样北京还是很惨的然后
[00:35:39] 自卧的核心主要的市场本身也不是一线城市这个从过去两三年的旅游你可能就算不研究旅游数据但你会听说过去几年大家比较常去的城市已经从我们天天聊北上广深甚至聊港澳台新马太变成了聊天水泉州潮汕你要反映一下这个地方在哪个省份的一个城市然后什么哈尔滨前两年就这些地方开始在变成了旅游的真正的目的地
[00:36:06] 包括今年过年的时候潮州变潮汕地区成为了携程最热门的旅行地区一晚上的亚朵跟悉尼的香格里拉是一个价格大概就这么个水平对大部分人大家的旅行从我们刚才说的一个数字就是大家的长途旅行开始在急剧地减少但短途旅行和旅行的频次在提高然后所以对次卧这样的市场来说最主要的城市反而是类似像杭州 成都 长沙 武汉这样的省会城市
[00:36:35] 其实我们没有办法说等比如说一线城市的房价回暖以后这个生意就会萎缩你要等比如说二三线城市甚至是更低线城市的房价都能起稳了以后你才能说我这个生意差不多结束对 需要等二三线因为你作为一个上海人你一年其实也会去好几次杭州去玩我作为一个比如说江西的人我可能一年也会去几次杭州玩或者去武汉找工作类似找工作这样子上海这样的目的地就变得我一年可能最多来一次
[00:37:04] 或者两年我才敢来一次或者你觉得就是说我去一次就去玩个大的结束了是啊就来一次一年来个迪士尼好像这一把我玩个大的一周然后结束嗯玩一周迪士尼绝对是富豪好吗是刚玩会迪士尼那我们就讲一讲你的这个业务最开始怎么我最开始听说你是因为我发现你开始写小红书哦是你作为一个直男写小红书的感受
[00:37:28] 这个是你的早期作为一个运营方法也好或者说你作为一个增长的方法也好你是一开始就想好要用小红书这么一个平台为什么不用闲语呢一开始用小红书的原因还是因为小红书发图文它对我的要求比较低因为我一开始到处去住的时候我没有想到它会做成一个平台你其实就是想看看记录一下这些房东和这些房客现在的状态
