Vol.28 两次上市都没成，虎扑遇到什么难题？
[00:07:47] 是一个回归到原本状态的一个概念怎么说呢就是你可以想象对于一个日活不足500万的一个社区平台来说1000元的员工其实是有点冗余的对吧如果你正常的公司要运营这个日活的规模的那个平台的话根本就不需要这么多人那虎扑为什么有这么多人呢其实就是因为过去两年就从2019年开始他有一个很明确的一个冲击上市的一个计划
[00:08:09] 他拿了两笔很大的钱然后为了上市你就要把你这个财务数据包括你公司的运营数据要做得好看那归根结底就是你要展现你的这个赚钱能力嘛所以虎扑其实是花了很多精力在两件事情上面一个就是要扩大用户的规模扩大流量第二个的话就是要挖掘一些新的收入来源那么这两个方向的话落实到最后经营上面都是要增加部门增加业务线所以人数就这么变多了那最后呢你这个尝试其实虎扑是失败了
[00:08:37] 那他最后就导致了一个裁员是这样一个逻辑我印象里面虎扑好像也不是第一次上市失败了我好像记得之前还有过一次对吧对的那个就是在2016年的时候而且那次其实还是虎扑离上市比较近的一次因为他那次已经递交了招股书这次连招股书也没有就直接终止辅导就结束了呢没错而且当时虎扑还传出他比如说有可能要借壳上市这样的一些说法
[00:09:02] 但16年那次也是失败了当时证监会给出的解释就是说虎扑的应收账款余额比较高还有周转率下降业绩波动比较大经营活动现金流净额还有它净利润之间差距比较大提出这样一些问题所以它没有过审其实也不难理解因为虎扑它是选择在A股上市的而不像很多一些互联网公司它选择在海外上市
[00:09:24] 那A股对于上市公司的盈利能力啊还有经营的表现其实是要求非常严格的对吧像虎扑这样的一个平台规模又比较小营收又比较单一确实容易出现一些不确定的因素对于在A股上市来说不是很合适的当时16年那个招股书上面显示啊就虎扑一年的营收也就两亿元左右然后60%的营收就是来自广告最后的利润
[00:09:46] 3000万主要也是由广告来提供的确实是一个比较小的规模没法在A股上市也不难理解其实到现在来说单纯的一个互联网的内容平台想要在A股上市的例子也还是比较少的对吧不过就是说具体选在哪里上市的话跟他从哪里融钱这个事情也有关系比如说他融的是美元或者人民币的话都会有影响
[00:10:06] 包括这两年的话其实也传出来过虎扑考虑接受一个美元的投资然后跑到美国去上市或者说他去香港上市这都有些说法就有点类似于知乎的做法知乎最后就是去了美国上市互联网公司选在哪里上市的话其实是个很微妙的事情对的像虎扑的话他早期的一些融资的话比较多的还是些人民币的一些融资这个有可能跟他上次上市的选择有一定的关系说回到这一波
[00:10:31] 就是在2019年的时候火波呢又开始一次计划上市的一个历程他在比较短的时间里面拿了两笔融资啊包括中金的一笔6亿多元的融资还有直接跳动给了他12亿多的一个pre IPO的一个融资可以说从这个融资的规模来说是火波这次上市有点势在必得的那种感觉
[00:10:51] 他在短时间内拿了比如说6亿加12亿这么大两笔钱以后他肯定要回到我们前面说的一个要扩大用户的规模还有一个就是说找新的营收方向那么他具体又是怎么做的呢我们先来说第一件事情就是扩大用户规模据我们了解当时虎扑内部其实还是定过一个比较高的一个日活用户的目标的大概是1000万左右相当于比他原来的日活的规模要翻了一倍还不止
[00:11:18] 但是时运不济2020年正好疫情对体育赛事的影响是非常大的大多数的比赛都停掉了包括虎扑最主要的一些流量的比赛比如说一些足球的联赛NBA之类的都暂停了很长时间虎扑最重要的一个流量基础就等于受到了一个冲击据我们了解当时他的日活确实是有过波动的不过他最终也起稳了因为那些赛事也恢复了只不过他想要往上再增长的这个目标其实没有实现
[00:11:45] 另一方面就除了体力域以外还有一些比如说刚刚讲到的男生的或者直男的这个社区的这个部分据我们了解现在虎扑的这个用户流量基本上是这么分布的就是刚刚讲到的步行街就是男生来聊各种话题的那个社区也就是所谓直男最核心的这个区域是流量最高的用户最多的
[00:12:03] 接下来呢是篮球这篮球和步行街这两块大概就占了百分之六七十的这样一个规模剩下来的呢是足球再后面是电竞接下来还有一些小的板块影视啊汽车等等这一个流量的这样一个规模的分布在2019年他准备再次上市之前就是这样的在他上市之后他想要扩大但是这个规模还是这样一个情况
[00:12:25] 这个板块没有特别大的变化包括它一度想要加强像影视啊汽车这些版面的一些流量和规模但是没有拉起直男的兴趣对就是从这个单独的这个板块来说有可能表现还不错但是你在量级上面和原来一些老牌的传统的一些走流量的一些页面还是有比较大的差距所以最后的结果就是我们刚才讲到的它这个总量还是维持在这个不到500的这样一个水平那么这就引出下一个问题了就是说
[00:12:53] 为什么虎扑这个平台它看上去抓了很多就是说流量应该很大的一些领域但是它这个平台规模始终就做不大呢这个是个好问题关于这个其实我有一些自己比较主观的一些判断也没有特别多的依据所以大家也听听看我觉得分两个部分来说第一个就是它的体育的核心属性我们直观的感觉好像应该喜欢体育的人非常多它这个社区应该非常大你看全民看奥运的时候人还是很多的
[00:13:20] 对但是我个人的感觉就是有可能这样一个规模或者潜力是被高估的我们一直前面两年都说中国的体育消费或者什么运动市场起来了但是我感觉对于中国的用户或者消费者来说这个体育比赛本身不是那么大的刚需
[00:13:36] 因为体育和运动其实是不同的概念举个最简单的一个类比就是你买跑步鞋的或者买一些瑜伽的装备健身的装备的人在这上面花钱的人肯定要比平时喜欢看体育比赛还愿意为此付费还愿意为此花时间的人要多得多这个我不知道可不可以理解举个例子来说就是腾讯体育每年转播NBA的比赛
[00:13:58] 根据他公布的数字2019年就是在这个疫情之前在腾讯体育上面付过费的人次大概是七八千万这个当中还包括有可能有些人只付费了一场比赛或者是某个位的一些比赛看了也觉得很烂就关掉了或者他有可能只关注那一场对吧那些明星的另一个数字是2019年PP体育也就是当时拥有英超版权的一个平台他上面付费过的人次也是七千多万两个七千多万这个听上去也
[00:14:27] 不算特别少了吧但是这个都是在独家版权而且是顶级版权加持的结果之下也就是说这两个比赛
[00:14:54] 他只能文字的直播或者提供一些比赛的信息这感觉回到了我的高中时代大家在课堂上拿着手机用省流博士看比分对的你还记得当时有个网站叫三鸡网吗但是一个体育迷你的核心需求永远是看比赛而且是看直播的比赛就因为你上火铺的人你要看完了球还有心思跟你在那边讨论这个人数肯定比你看比赛的人数还要再缩小一大堆对吧
[00:15:20] 你像虎扑之前专门还开了电竞的频道还去买了电竞比赛的一个官方的数据然后做成赛事信息希望来引流但这个引流的能力你肯定远远不如看电竞直播的人多所以说虎扑现在这样一个用户的规模
[00:15:38] 再加上虎扑也不是一家独大对吧比如在足球领域有类似的一个APP叫懂球地跟他竞争在篮球领域呢也有像直播吧这样的平台跟他竞争然后在电竞还有B站大家边看边骂是不是很爽对啊那在电竞领域有可能虎扑都不能算一个很大的竞争者了对吧所以在体育这个方面有可能虎扑能够承载的或者能够吸取的人在这么多年下来就是这么些人对吧
[00:16:02] 那另一个思路呢就是你要从体育这个门类里面扩展开来对吧虎扑其实已经有一些扩展就刚才讲到步行街但是你要再扩展开来然后涉及到更多的一些兴趣领域的话就是我们这两年说烂的一个就破圈这个概念其实是很难的因为你虎扑原有的这个用户过于鲜明对吧这个圈子的感觉氛围是非常的独特的标签感也非常的重
[00:16:25] 最简单的一个例子比如说男女比例这么写的书那你从客观上来讲我们客观啊你就不可能大规模的发展一些别的内容比如说小红书上流行的内容啊或者说豆瓣鹅祖上流行的内容你肯定不可能在虎扑上特别的流行对吧这个是很可以理解的社区原有的氛围本来就是虎扑这样的平台的一个生存的基本但是呢多少也给自己设了一个限制你像B站这样可以完全突破原有的这样一个属性
[00:16:49] 变成一个全面的平台的这样的一些公司其实还是非常少数的而且更何况比较的破圈也付出了很多代价对吧到现在还有很多的挑战所以总结一下就是说虎扑在目前的情况下想要来扩展这个APP本身的用户规模的话是很难的也就是说它的第一个扩大用户量的这个路就没有走通对吧对至少是你要短时间里面大规模的扩大这个难度是很大的
[00:17:12] 然后我们前面不是还说了第二种就是扩大赚钱能力的方法就是去找一些新的商业模式这个方面的话虎扑我印象中好像做的也还不错呀为什么现在又不行了呢这个就要说到我们采访下来感觉虎扑这个公司啊这个管理风格或者企业文化上的一个特点就是比较佛怎么说呢就是虎扑这几年其实是做过非常多的商业化的一些尝试的我们不一一列举就说两个最重要的
[00:17:39] 第一个就是电商第二个就是直播那这两个方向它最后的发展的过程都说明了虎扑一个比较服的这种感觉先说电商啊其实虎扑在2015年左右就孵化了一个后来成为独角兽的一个电商项目就是德物当时叫独对吧它是一个做球鞋鉴定和有交易的一个平台大家都知道前几年球鞋有多火对吧要说营收和商业前景呢一个德物这样一个平台其实虎扑就足以上市了我感觉啊
[00:18:05] 德务当时出来的时候我觉得还是蛮欣喜的因为中国已经有几年没有出现过像样的真正意义上做电商的平台创新了就是德务当时是做了一个非常好的一个突破没错但是德务已经早就从虎扑这个公司拆分出去了独立融资了成为一个比较独立的公司虽然虎扑的管理层包括创始人也是德务的股东对吧但是业务上这两家公司已经没有联系了就相当于他只有投资但是不管业务
[00:18:33] 对包括我们可以想象的一些引流啊这些的其实现在已经也很微弱了那虎扑这个公司呢它是有内部创业孵化的一个传统而且有明确的规则的就是公司你鼓励员工内部创业如果你做起来了呢就会给你一部分钱但是呢公司包括创始人也会拿你一部分股份你就出去自己做了它是强调说你一定要出去自己做是吧对它鼓励你出去最好跟我没有什么直接的业务关系
[00:19:00] 对或者就是本来有业务关系的也希望你能够独立出去不是寄生在虎扑身上面的包括那个德务也好还有现在另一个虎扑的一个电商业务实货都是类似的就是你一旦做起来了之后呢他们就从虎扑这个业务当中剥离开来了除了很少一部分的流量包括用户上的一些联系以外其实没有跟虎扑这APP形成一个非常紧密的协同效应
[00:19:21] 那这么说就很可以理解就是说有价值的业务把它拆分出去作为一个独立公司的话也不是说不可以但是如果一个公司习惯性的我看到一个有价值的东西就把它拆分独立了然后拆分出去的东西都变得更加能赚钱以后结果就是说我的母公司也就是虎扑这个核心的APP这个平台本身可以挖掘的商业价值就非常有限了
[00:19:42] 对啊你一个垂直的平台要想赚钱电商是一个最理所当然的东西你也确实电商上面成功了但是电商这个业务独立出来就跟你没什么关系了对吧那你本身这个商业化不就少掉一点块吗接下来说另一个刚才讲到的就是直播其实这个路径也很好理解对吧你虎扑的用户我们稍微想当然一点啊应该是挺喜欢看直播的至少会排斥直播对不论是娱乐的还是体育的也好还是电竞啊等等的
[00:20:09] 而且对于一个图文的社区来说你要增加视频内容增加直播的内容其实是非常必须的那虎扑也做了直播但是呢他没有做的非常大这里边当然有许许多多原因啊主观客观的但是有一个点我比较感兴趣就是有内部员工告诉我们虎扑他不太愿意做那些最容易赚钱的直播内容比如说一些主播唱歌啊要一些礼物啊之类的这些
[00:20:32] 因为他们的这个负责人觉得这个和主社区的一个调性不太符合内容也不太相关你得聊一些体育啊或者赛事回顾啊或者跟更相关的一些话题说实话那这些话题的话你这个送礼物的这个热情能产生这个流水就少了多了你能把一个赛事回顾聊成什么花样才能有人给你送礼物我觉得这个特别难对你就算是做赛事直播你有可能也没那么多礼物可以送对吧
[00:20:57] 听上去的话就是说虎扑虽然找到了两个可以做商业化的方向但是这两个方向的话实际上都没有帮助到主战来实现更好的盈利要么就是说他要为了维持我社区的调性然后就没有扩张一些新的盈利业务对吧嗯 岳老师总结的蛮清楚了那么就是说听下来的话虎扑这个公司就是还有什么机会吗
[00:21:20] 刚才讲下来感觉好像虎扑这个公司很危急对吧应该经营很困难了但这个又是比较好玩的地方就是我们了解下来现在虎扑内部的氛围似乎还是蛮稳定的而且公司的运营也蛮OK的不是我们想象的那种就是一个公司裁员了一大半上市们又失败了然后大家有可能人心惶惶对吧对公司不抱希望都开始气喘了好像不是那么种感觉
[00:21:41] 我举几个小的例子就是首先一个虎扑在终止上市之前还更换了CEO就是创始人陈航他已经退居幕后了原来的CTO殷学斌他是上任这个转换的过程本身就比较平稳没有对公司的运营产生特别大的影响或者什么大换血之类的裁员这件事情也是我们和一些离职的员工聊一聊有很多的离职员工本来就是在19年那一波扩张的过程当中新进来的
[00:22:06] 那么你这个业务又收缩之后呢自然而然又会离开所以他们自己也不觉得很意外说到这个裁员其实虎扑内部他们更愿意说自己是一个部门的重组啊就是在19年的增长那个时期其实虎扑是增加了许多新的部门比如说把原来统一的一个赛事部门我可能拆分对吧足球是个单独的部门篮球是个单独的部门电竞是个单独的部门直播是个单独的部门那每个单独的部门都会配独立的中后台你设计啊研发啊产品啊等等的
[00:22:34] 怪不得需要这么多人对但你这个的问题就是有很多事情其实是要不同的部门之间互相来联动来协作的那你分了部门之后反而会有一些沟通不畅的问题那现在它又重新整合起来了又变成一个比较大的社区赛事这样的一个大的一个划分相应的人员变少了但是沟通有可能变得更加畅快一些这个也就是说小的公司或者小规模的一个团体会有的一个是沟通流畅的好处了
[00:23:01] 这个其实也是应有之义对吧刚才我们还说到公司氛围那火铺这个地方呢多多少少也有一些比如说员工为爱发电这种感觉即使是已经17年了然后公司的规模也变得蛮大了但是火铺内部还是比较单纯的那种创业公司的氛围很多人也是因为爱好或者本来就是火铺的用户才加入的然后高层和员工的关系也比较平等
[00:23:22] 所以大家确实是现在比较平淡的一个心态
[00:23:49] 总之就是说虎扑现在回到了他几年前的一个样子变回到一个单纯的以体育为核心的图文社区对吧而且不到500万的日活规模主要靠广告来挣钱他可能裁了员以后又回到了说基本上能够维持盈亏平衡的一个状态没错总结的很到位了
[00:24:09] 最后呢其实我还想讨论一个问题啊就是也跟大家一起探讨刚才也多少带到这个话题一个锤子类的社区是不是都会像虎扑这样就是你又死不掉但是呢也长不大就是这样不温不火的一个状态嗯这个其实是过去几年经常被讨论的话题就是可能在每一个偏锤之类的社区都会被讨论一遍比如说小红书对吧好好住下厨房这些平台的话都会有类似的情况甚至里面提到有些平台的话经营状况可能还不如虎扑呢
[00:24:38] 这些平台都是比较类似的就是因为某一种属性或者某一个兴趣积累了不少用户这些用户经常在上面发一些比较有价值的内容你说他们有价值吗肯定有价值但是怎么能够转变成这个平台本身比较稳定的商业模式呢其实很多这些公司都没有找到很好答案另外一个比较值得注意的一个问题或者说这个困境就是像这样规模的一些平台他们和大厂之间的关系是怎么样的对吧
[00:25:04] 比如说小红书大家就经常觉得说小红书什么时候变成阿里的一部分但现在好像就又没有成功对吧对小红书跟阿里这个若即若离这个反复拉锯的这个过程也是其实挺说明问题的像这次虎扑终止上市之后也有很多人猜测是不是他
[00:25:19] 有可能就会被今日头条这样的一个大的公司给收购那其实我们了解在此之前虎扑也很多次传出过和一些大的平台的一些传闻比如说和腾讯体育新浪体育或者是别的一些有体育版权的平台合作甚至合并这个我们从逻辑上面来其实很好理解对吧这是一个上下游整合的过程
[00:25:40] 对你大的平台多少是可以给你这样的一个垂直的社区带来一些流量的垂直社区也可以给大的平台一些补充的一些价值但是这些合作其实在虎扑这边最终是没有实现的我们也听说其中多少有一些理由就是虎扑想要保持他自己一贯的那个比较独特的社区的氛围所以说就说死不掉也长不大的问题可能就是还是因为
[00:26:05] 比如说创始人或者说他的用户
[00:26:31] 这个垂直社区的一个局限也很多时候是因为这种独特的氛围如何保留这种氛围或者说要不要突破这个局限其实是没有一个标准答案的商业就是这样
[00:26:48] 下期见
