Vol.197 美国不降息，让日本人吃不起大米？
[00:02:50] 而2024年由于美国迟迟的没有降息导致这些美债的价格大跌由此巨亏了1.5万亿日元那这个农林中央金库的巨亏呢就导致日本农协没有钱了所以要提高大米的价格这就是整个一个逻辑链连起来就变成了美联储不降息日本人就吃不起大米这就是传说中的蝴蝶效应吗感觉是一个就是所谓蝴蝶效应非常典型一种叙事的逻辑啊甚至有一点阴谋论的味道
[00:03:17] 如果这个逻辑链条成立的话呢这其实是一个非常有意思的所谓货币政策对于现实生活产生影响的例子不过就是这个当中有太多的事实需要确认了比如说日本的这个农林中央金库到底是个什么组织啊它为什么会买那么多美债啊然后这个金库亏了到底跟日本大米之间有什么关系等等等等
[00:03:39] 所以这期节目呢我们就是对这个颇为耸动的一句话新闻的来龙去脉来做一个考证然后基于这个考证做了这样一个汇报那我们会分成两大部分来解答这个问题第一部分呢就是日本的农林中央金库它的这个巨亏到底怎么回事第二个部分呢就是日本的米价暴涨到底是怎么回事那解答完两个部分呢我们自然也就能搞清楚两者之间到底有没有关系有什么样的关系
[00:04:12] 那我们现在就先进入第一部分就是亏钱的部分亏钱所以另外一部分是涨价是吧对反正听上去都很惨你就先说说日本农林中央金库到底是个什么机构要回到这个问题先要解释一下日本农协是一个什么样的存在日本农协全称是日本农业协同组合我之所以用存在这个词就是因为它很特殊
[00:04:37] 比如说一个日本的农民他种了大米
[00:05:06] 农协就负责卖给他机器或者租给他一些器械然后卖给他种子肥料然后这个米种出来了之后农协来出钱收购再卖给批发商还帮忙要打广告甚至做包装做品牌等等的如果遇到了灾害农协会提供赈灾救援还有保险的赔付农民最后赚的钱还会存到农协里边如果他要扩大经营还可以找农协贷款除此以外这个农民从出生到死亡的大小事情吧
[00:05:33] 比如教育啊医疗啊婚丧农协都可以提供服务而这个大单位呢几乎囊括了全日本所有的农民整个日本农协目前是有超过1000万的会员其中超过400万是专门从事农业的个人或组织另外600万呢是兼职比如或者是和农业有业务往来的一些个人和组织所以说这个大不仅是
[00:05:56] 规模大还有大包大篮的意思对那这个农协它到底是不是所谓政府机构毕竟做了这么多事情天上之都像政府要做的事情法律上它不是政府组织它是一个民间的合作组织合作社这个概念目的是为了把这些小规模的个体的农民能够组织起来提升他们整体的竞争力和生产的效率然后目标就是为了增加农民的收入当然在现实当中日本农协是形成了一种事实上的垄断机构
[00:06:23] 但这边要说明它在这个反垄断法里面是获得豁免的一般不受它的这个反垄断法的限制当然有些情况下还会限制的
[00:06:30] 并且这样一个事实上的垄断机构其实对日本的政治经济都有非常深远的影响力这个我也有所耳闻不过我感觉你刚才介绍里面有一个非常特殊的功能就是金融一般的单位可不提供存贷款业务这个是不是就跟你说的农林中央金库有关系了没错这个是农协非常重要的一面就是它可以被视作一家银行而这家银行的顶层组织就是农林中央金库
[00:06:57] 下面还有一些比如说什么性农联啊或者基层的农协等等的等于是它的下辖的组织简而言之啊全日本的农协会员大多数人都会把自己的存款存到农协里边而这些存款呢最终一层层会汇入到农林中央金库中央金库这个银行它是不直接接受个体的存款的它是把下面的一些小的金融组织的一些存款吸纳到它这边来行业型的中央银行对那按照2023财年日本的2023财年就是截止到2024年的3月底
[00:07:26] 的这个数据我们刚刚讲过财年截止到这一天的时候它这个农林中央金库的资产规模大约我换算了一下是五万亿人民币是日本的第五大银行五万亿人民币我觉得这个资产规模不算小因为中国一些全国性大行也就是大概十万多亿的一个资产规模对像招行大概是十二三万然后公行宇宙大行肯定是更大了所以其实五万亿不算小的
[00:07:53] 当然这里要打个补丁就是它叫农林中央金库所以除了农以外渔协就是渔业协会和林协林业协会的存款也会进去的它为什么不叫农渔林中央金库反正从人口上面这个渔业和林业的存在者要比农民少得多基本上它就认为它是农协的一个组织所以感觉有点那种什么中国的农村信用社和农商银行的概念对有点这个意思但是感觉还是不太一样因为这个银行反过来还要做那么多农业相关的实业
[00:08:23] 他要搞器械啊种子啊什么销售啊这个农商银行可不做这些事情等于他是金融和实业要并举的对其实是蛮特殊一种模式在日本也不是很多件吧其实在日本也只有这一家银行会做实业的东西他最早时候做的实业还更多像房地产但是在泡沫破灭之后他们就不做房地产了但别的实业还是要做的这个其实也是农林中央银行的一个最大的特殊性也与他现在的这个美债的巨亏息息相关
[00:08:49] 怎么这个逻辑一下又跳开了你还是把中间部分补一补吧首先呢从银行的资产负债的角度来看呢农林中央金库就和日本的他的同行们啊有很多的不同之处这个呢是他投资美债的一个基础这个方面呢很多研报都做了一些分析其中呢我觉得招商银行的一个研究院的分析是比较清晰的我们会把他这个报告的链接放在社诺词里边供大家参考这里我们就简单科普一下啊
[00:09:15] 这个最大的特别之处是什么呢就是农林中央金库它的资产里边信贷很少投资很多这个呢就和日本的低利率时代有关系啊因为你想传统的银行的主要的业务或者它主要的盈利模式就是存贷款之间的这个利息差收进来这个钱它的利息是比较低的借出去的钱利息比较高那就一进一去赚钱但是呢日本的这个低利率政策大家都比较知道就是大约从21世纪开始吧
[00:09:42] 日本的商业银行的贷款利率就一直在2%以下到了2012年之后更是在1%以下所以存贷款的利差就非常非常的微补包括之前日本的房贷利率也基本上接近于0了对于中国人来说是一个很难想象的数字当然这两年有一些变化这是后话
[00:10:00] 那在这个当中呢问题就是农林中央金库的这个存贷利益差还要我们说低吧就因为它提供的这个综合的存款利率大约是0.5%听上去还是很低了对吗很低吧但这个数字是远高于其他的日本的商业银行的远吗其他的商业银行基本上就是零之前十几年的时候你到日本的这个商业银行去存这个存款你基本上就是没有什么利息的就等于别的银行你对于这些存款就是不付利息的
[00:10:27] 但是农林中央金库还要为这个付0.5%的利息对所以它吸收存款的这个成本就要比别人高很多所以为什么会这个样子呢反正我在银行的官方没有找到这个明确的说法但是我看到一些比较普遍的解释就是说农协它之所以能够做那么多的事情在整个社会有那么大影响力是因为它有庞大的资金来源就它要靠吸取农民的存款那它就相应的要提供比较好的一些条件
[00:10:53] 来吸引农民存款因为农民他也可以选择别的商业银行存款那久而久之就形成了一种惯性当然他这0.5肯定不是最高的时候他过去也可能更高他现在价价来始终给农民的存款的利率是更高一点的所以在过去十多年的大部分时间里边其实在实际情况下农林中央金库的存贷款的利率这个利差是倒挂的就等于一进一出这个银行还要亏钱财务算下来之后它的综合的贷款的利率是要低于它存款的这个
[00:11:22] 零年五度的这个利率的那所以说从一个商业角度来说他最好就是不要做贷款对所以他信贷的这个比例低就不难理解了而且他在日本做这个信贷基本上就是做一些政府的信贷就是那种不良率非常非常低的那些信贷的项目但是呢他又吸收了那么多的存款是吧这个存款对于银行来说就是负债啊为了把这个钱花出去变成资产的对吧要去盈利的所以呢他必须要找一些新的投资那他就开始瞄准了海外的资产
[00:11:49] 那我们看一下2023财年的这个数据啊
[00:12:18] 农林中央金库的证券投资占它整个资产的44%贷款呢只占18%就是证券投资这个比例是要远远的高于日本同行的然后在这个投资里边呢超过六成是海外债券并且呢是以美债为主欧债为辅需要说明的是这个比例在过去十多年里面是有一些上下的浮动但这个基本的格局是不变的相比之下呢美债的收益率就肯定要明显高于当时的比如国债或者日本那些别的现代的那些资产
[00:12:46] 那这一部分的收益呢就补上了农林中央金库在日本国内这个信贷差的缺陷使得他整个这个银行的盈利水平呢在他这个规模下面还是保证了一个频率水平还是不错的这怎么不算一种出海呢这个国内赚不到钱就要出海赚钱也算一种出海是的但是这个出海也是他风险的来源虽然我们说美国的国债也好或者是一些评级比较高的一些债券也好主流的债券也好他的风险肯定不算很高吧那种资产但是如果你
[00:13:15] 重注在上面或者你只买这一类的资产的话原本不算很大的风险也会被你某一些错误的操作再加上你过大的筹码加在一起放大这个风险农林中央金库呢就是因为这样的情况出现了巨亏
[00:13:27] 具体而言就是我们都知道2022年开始美联储来了一轮很猛的加息的周期来一直通胀在16个月里边它是加了525个基点就相当于在16个月里边加息加了5.25%很厉害的一个规模这么迅猛的加息一般而言就会让短期的国债的收益率大幅的提升教授中间又省略了一些步骤我来把这个部分稍微补充一下其实比较好理解
[00:13:54] 因为美联储它这个加息虽然不是直接加在存款的利率上面但这个肯定最后也会导致存款这部分利率会提升对这个存款利率高会导致什么呢就是很多人会考虑说我是不是可以把钱从别的地方提出来比如说我现在买了一些收益率比较低的债券那我是可以把这部债券卖掉然后存到银行里面去吃这个存款的利息因为这是最稳的对那为了跟这个提升以后的存款的利率去竞争呢那新的短期国债一般来说就会给一个
[00:14:22] 更高的收益率然后这个就是试图把消费者再拉回来投资者那边是金融投资者我们那边是金融消费者没错就是这样一个很简单的一个就是链条推导的一个逻辑那这个债券的收益率上涨呢一般而言还会带来另一个变化就是这个债券在交易市场上面的价格会降低这个又是属于一个基本的逻辑跟大家再解释一下打个比方比如说你花了100块钱买了一张面值是100元的一年期的债券
[00:14:51] 然后它的利息是5元收益率5%收益率是5%这个时候如果市场上的利率比如说国家规定了提升到了6%这个时候如果你想要出手自己手上的这张面值100的老的债券的话你就卖不出去100块钱了另外一个人如果说你还是按照100块来买这张债券的话其实只收到了5块钱的利息因为这个5块钱是规定在债券的规则上面的写在上面的对
[00:15:16] 那你市场上面如果我去存100块钱的话我能获得6%我能获得6块钱呢对吧那他就不合算了那这个时候如果你还是想要卖给他的时候怎么办呢他可以花83.33元来买为什么呢就是你根据这个债券的规定他还是要给他5块钱嘛那5除以83.33的话等于6%就是你是按照最后的收益率跟市场上的压平然后把原价做一个大车当然这个是一个比较机械的一个就是自然的一个情况实际的价格还会有些浮动但就这么个意思
[00:15:44] 那对于你最早花100块钱买了债券的这个你来说呢你是不是就亏了16块6毛6对啊但是因为我要出手嘛所以亏点是可以接受的对所以实际上就是加息使得这个新债券的价值升值了那新债券升值了之后老债券相应就贬值了就这么个概念那这个当中其实就有一个博弈或者说是一个套利的空间就是如果你认为接下来要加息的话那你就应该先卖掉手里边已有的老债券
[00:16:10] 因为他们将要贬值了对吧然后你就以后可以再买新的你可以有一个差距来赚它反过来如果你预测接下来要降息那么你就可以先借钱来买一些债券等着这个降息的消息来了之后呢这些老债券就要升值了因为反过来也是会升值的嘛我可以理解但我觉得如果你不太能理解中间的所有过程的话你可以把这个东西当做一个结论先背下来对对那这个呢其实就是农林中央银行他做的事情就是他从22年到23年开始呢
[00:16:38] 大幅增持了一年期以内的短期的美债然后他其实就是为了压住说美联储升息太快了他接下来要降息了那我先买点美债等他降息了之后呢这些美债的市场的交易价格就会提升等于他就是通过一个已经被验证过的市场的规律然后根据这个规律来做一个赌就我赌你会降息对这个事情还是很正常就是我预测嘛就是我赌一边嘛结果大家都知道就是美联储迟迟不降息对迟迟不降息
[00:17:04] 但另外一边呢就是它这个借贷的成本始终高企嘛因为你不降息的话你这个利率就会一直还是很高对呀然后美元对日元的汇率也是非常的高就是对日元来说你这个换了钱换成美元的这个成本也非常的高你用很高的成本换了这个美元之后买了这个你觉得会涨价的债券但它又不涨它最后没办法就会逼着自己要出售这些短期的美债来止损这个就是我们节目开头所说的所谓的在美债上的巨亏是这样吧对
[00:17:32] 那在2024年的7月呢日本农林中央金库就宣布它将在25年3月末也就是这个所谓的24年财年结束之前呢出售10万亿日元的美债和欧债那预计呢这个出售的动作会带来整个财年的亏损是超过了1.5万亿日元这个亏损为什么叫巨亏呢因为它2008年金融危机的时候这个银行才亏了0.5万亿日元然后过去10年它
[00:17:59] 整个这个银行的盈利呢才1.7万亿元新兴股出海十年一朝回到出海前差不多就这个意思所以简单说这就是农林中央金库这次巨亏的来龙去买简而言之呢就是这家银行基于农协这个非常强大的组织长期吸收日本农民的大量的存款然后提供相对可观的利息在他们那边可观的利息
[00:18:20] 但是在日本的低利率时代呢这个其实使它很难在日本国内实现盈利所以呢它就转而向海外去做一些投资虽然之前获益不少但是因为这两年美国的利率大幅波动然后它在这个期间呢没有控制住自己的风险最后导致了巨亏余老师总结的非常清晰了那上半部分的问题呢就是农林中央金库到底怎么亏的我们已经讲清楚了那接下来下半部分就是日本大米的涨价到底是怎么回事
[00:18:48] 先说结论日本这一轮的大米上涨可以归因为表面原因和深层原因两个部分表面原因是导致了日本的大米供需出现了一些小范围的波动而深层原因则使得这个小范围的或者小幅度的供需的波动产生了大幅度的价格波动我们还是先来回顾一下事实日本这一轮大米的上涨其实是分两段的我们稍微拆分一下第一段实际上是从去年8月份开始的
[00:19:16] 它从之前的大概2000多日元每5公斤一下子涨到了2600元左右然后之后呢就开始一直涨一直涨当时呢日本农林水产省的态度实际上是静观其变就是因为8月份嘛夏天本来就是大米供应比较紧缺的时候就是有点供不应求的那个阶段这也很好理解嘛就是大米一般是秋天来收获的那收来的米呢未来
[00:19:39] 一年里面会慢慢的这个消化那到了八月份的时候肯定就吃的差不多了到了九月份的时候新米又收上来了那么照道理来说价格自然就会下来了嘛所以政府就没有怎么动手结果呢这个价格在新米上市之后呢只是平缓了一阵到了二五年开年之后呢这个日本的米价又开始大涨都没跌只是平缓然后又开始涨上去了
[00:19:59] 这个时候呢日本政府才终于决定要出售21万吨的政府储备量到市场上面预计呢是3月底可以到达消费者端那我这里就产生第一个问题就是2024年这个夏天为什么米价会上涨呢因为感觉这个涨幅是比较明显比较超乎平时预料吧天气的原因吗这夏天不是年年都有吗那这个呢就是我们提到的表面原因就是为什么这次会涨它实际上是有一些就是临时的因素的
[00:20:27] 我们总结了三个点第一点就是2023年的夏天干旱了这就导致当年秋天大米是有一些减产的所以就相当于2024年到最后的几个月确实是没有多少了会比往年更少一些当然这个减产的幅度不高这是第一点第二就是2023年和2024年就是日本的外国访客积赃
[00:20:49] 导致大米的需求量上升怪我咯因为大家都知道就是日本的外食就是到餐厅里面吃饭的比例是很高的那餐厅里面的大米的用量实际上是很主要的一个客源或者一个需求的点第三点就是24年的夏天日本的能登半岛发生了地震然后当时还一度引发了接下来可能有很大的地震的这样一个担忧对当时很多讨论对对因为政府还有个警告那之后这个担忧实际上是基本上解除了但是大家还是很担心所以很多居民会
[00:21:17] 抢购或者增购一些大米作为一个自己的储备不安那所以说这三个因素叠加在一起尤其是后两个一个是比如说外国游客增加还有一个就是更大的地震这部分的担忧其实是可能会让米的价格在短期出现一个相对明显的上涨的对那新米上市也就是2025年这个开年这段时间为什么还在涨呢难道因为2024年秋天也欠收了吗
[00:21:41] 这个就是比较诡异的地方就是24年日本的大米产量相比于23年的秋天是增加了18万吨嗯就是相对来说回升了一点对达到了679万吨啊但是呢以农协为主的大型的收购商他们从农民或者就是生产方这边收购的这些大米的总量只有216万吨这个数字呢是比前一年要少了21万吨
[00:22:05] 所以就是少都是少到了哪里去呢对就是你的产量其实增加了但是主要的大型的收购商这边收到的米却少了这边要稍微解释一下就是我们刚刚讲的农协又要出现了作为一个主要的角色那农协我们刚刚讲了他是日本主要的一个农产品的收购商就是他是负责把农民这边的东西收回来之后卖到市场上去的那个人
[00:22:25] 这一条通路呢根据我们刚刚讲的216万和679万这两个数字来比下的话大概就占了整个日本大米的这个批发的三分之一那这个三分之一比例是长期稳定的一个状态吗对这个就要讲到我们前面说的日本的农协虽然它是一个民间的这个合作的组织但是它在长期的运转当中其实是和这些尤其是跟民生非常相关的一些农产品的交易已经形成了一种像半政府机构的一样态度了
[00:22:51] 反正就是一个长期合作的一个关系对对对就是它这个部分的这些大型收购商的这个通路实际上是一直都是怎么说有个惯性了很稳定的就是我每年我收到这边来然后我再卖给一些批发商批发商一层层再卖下去就它这个部分相当于是一个日本大米价格的一个压仓时基本上这个部分是非常明确的一块对它这个地方少了一点的话就有可能会影响到一些波动更小型的收购商呢他们就是除了这个216以外的那个另外三分之二呢
[00:23:17] 一般都是一些更小型的收购商来买下来的他们买了多少存了多少卖了多少这个呢就是日本的官方是没有明确的数据的他不掌握这个数据这个就是属于市场行为就是说农民我也可以卖给一些小型的他可以提更高的价格来买下来那农协有可能就觉得这个价格更高了我就没有买这有可能是当时的一些具体的情况
[00:23:36] 农林水产省就认为这个是2025年米价继续上涨的一个核心的原因等于他没有从他掌握的部分找到任何证据所以他开始指责一些他不掌握的东西或者他觉得自己掌握的一个就是最主流压仓时的通路收到的米的量比过去少了所以我对市场的价格稳定的能力减弱了一些反正有一种说法就是很多小型的收购商觉得之前米价已经涨得比较明显有可能之后还会涨
[00:24:00] 所以它就囤了一部分货就导致了农民种出来的有一部分大米没有流向农协这个是一个逻辑上相对比较顺的一个推测其实很好理解你在涨价的预期之下因为前面下半年已经涨了很多了非常自然的一个市场行为就是觉得接下来会继续涨那我应该要多囤一点等着它涨了之后再卖出去我能获得更大的利益吗其实在很多商品里面都会存在这种情况对吧有可能一些短期的比如蔬菜什么的这个幅度会更加明显
[00:24:25] 只不过在米的这件事情上面因为它是一个民生产品是一个主食对然后你的这个小幅的涨价或者是有一点涨就会非常的扎眼或者说这个影响力会非常的大当然了就是这个归因是没有明确的证据的你毕竟不掌握这个数据你就是指责它呢对对所以他们中的说法就是非常的微妙也很谨慎叫做流通环节出现了堵塞而非供给不足造成的涨价就是他们官方那个说法政府之所以投放储备粮呢也不是说因为供不应求了我来投放储备粮而是说
[00:24:54] 通过我来投放一些储备量然后这个价格是我这边定的一个比较稳定的价格来冲淡人们涨价的预期就是说我政府都要压下来了那你就应该认为它不能再往上涨了就是不可能这样价了对其实如果看具体数字的话我觉得所谓的堵塞也不是很严重因为农协不是你说的是比往年大概少收了21万吨嘛那它跟它自己比也就是少收了大概10%的量跟整体的市场消费的那个量来比的就是更小的一个比例了对
[00:25:22] 但实际上你的米在消费端的涨价是80%你这个朝着翻倍去了对就是稍微少收了一点点怎么涨价了那么多少收了三五斗怎么涨了这么多呢这个就是我们刚刚讲的就是生存原因的这个部分就是日本政府过去几十年一直在致力于降低日本的大米生产量降低吗对这个在我们国家的预警下真的非常难以一下子理解我觉得可以把一下子去掉
[00:25:49] 因为我们从小听的都是要保护耕地要粮食增产都是这样一个叙事但是国情确实不同日本的大米其实一直是一种自己自足的农产品农作物而且长期以来它理论上是供大于求的所谓的理论就是说如果它的这些大米的耕地种米的这些水田都用来种米的话好好种的话
[00:26:10] 他产出来的大米日本人是吃不完的消化不完的那如果一直供大于求的话就会出现米价的下跌那肯定的那么就会损害农民的利益嘛而且这个为什么他会就是供大于求呢就是因为他这个生产水平越来越高了嘛对吧然后产的米也越来越好了嘛就供大于求的情况会越来越明显所以从1970年代开始呢日本政府就开始实行了所谓的他这个日本叫减反政策其实就是大米减产政策简而言之政府会根据他们测算的大米的市场的需求量就接下来的需求量
[00:26:39] 来不断的要求农民减少大米的耕种就这块地你别种了别种米了同时我给你一些补贴就你不种你不是少收了吗我给你一些补贴通过这样的方式保证了农民的高收入就是说使得大米的价格持续维持在一个比较好的水平对农民来说比较高的一个水平然后也比较稳定那农民的收入一直也比较好等于是某种程度上的城市补贴农村但我们补贴农村是希望农村给我多种一点他们是少种一点对他们属于城市补贴农民吧我觉得应该是这样说
[00:27:09] 当然了就是如果你从实际上来看日本的大米需求量我们看数据的话确实是不断的在减少就一个基本的原因就是小麦在不断的侵蚀着大米在主食界的市场地位是日本年轻人越来越爱吃面包的意思吗真的差不多是这个意思有的时候在日本甚至会被拿来讨论比如看电视综艺的时候主持人就会问你早餐是米派还是胖派就是这个胖就是日本面包的发音
[00:27:36] 如果你说是米派的话就会被评论说你这人还蛮传统的这个场景非常独特早餐吃什么其实中式早餐里面米制品就蛮多的但你要说什么早餐直接吃米饭听上去就非常怪异只有我们上海人吃吃饭或者吃饭吃饭团但吃饭是不是有糯米的部分对反正他这个问法我觉得很怪但日本人早上就是吃一碗米饭的吗还弄点酱油打个蛋怪不得他们中午晚上都不吃饭
[00:28:03] 对他们那种就是比如说温泉酒店他们早餐的时候都会有一碗饭或者是那种套餐店反正让你一早就吃的比较饱对反正就是他们传统确实是米饭的消耗量是蛮大的但是现在就像你说的就是很多的人实际上是以小麦为主食的时候会越来越多那当然你可以说这个部分有比如说社会或者政府的一些引导可以追溯到1950年代的美军援助食品如果你真的想来分析的话这个当然是另一个话题但真的分析的话确实有袁老师说的这个原因但反正anyway事实就是如此
[00:28:32] 就是我们看这个数据的话日本的大米需求量从1990年代到2020年吧它是一条非常稳定的几乎和直线来拟合的一条下行的曲线
[00:28:42] 这两年的需求量我们粗略的看它是96年的三分之二左右吧就这条曲线真的是非常的拟合啊这个过程当中呢大米的价格呢它的趋势就是整体是平稳的但略有下降是这样一个情况这感觉跟日本长期的通缩政策是有关的对对对因为这个价格还是跟你的这个通胀水平有关的嘛因为整个物价水平就是这样保持着那你这个需求量下降的话慢慢慢慢下降也是比较稳定的当然啊这个所谓的减产政策呢到了2018年是废止了原来我们在讨论一个过时的政策
[00:29:09] 但是实际上大米的产量还是在继续减少的因为政府还是通过一个软性的补贴政策
[00:29:36] 的确如此你不是说水田马上就可以种水果很难的所以实际操作上面它实际上是我们前面一直讲大米有个细分的一个说法叫做主食用大米那就是人吃大米对那么他们政府的补贴其实是干什么的就是补贴你把原来你这个地方是种的是人吃的大米改为去种比如说工业加工的大米或者说是饲料大米
[00:30:00] 他就让你去种这些产物刺激大米对刺激的大米投入就会稍微少一点当然产出肯定会更加便宜那些大米肯定没有你吃的大米那么贵他在补贴你通过这样的方式我们看到的一个测算就是这种情况下面就会出现一个倒挂根据2023年的数据有一个测算的模型这么补贴的政策下来如果你是一个农民然后你种了全都是主食的大米你这个大米本身卖出去赚的钱肯定是很多的对如果加上补贴之后
[00:30:28] 你反而是比如说种一半的饲料的大米再种一半是人吃的大米你赚的钱更多因为你补贴给的钱非常多所以就如果你从一个农民的自然的经济选择来说它就会越来越少的耕地被用来种植主食的大米所以就是农民的选择其实是一个经济学的选择对当然大米的需求确实也在往下走的了这两条下行的曲线放在一起我们就会看到整个市场上面这个大米的市场相当于是个什么呢就是经过政府的长期的调控形成了一种微妙的供需平衡
[00:30:57] 就是你这个市场需求多少呢我就是比这个需求稍微再多生产一些但是呢一直跟着你这个需求往上降这样这个价格真的一直稳定多么理想的一个经济学模型那这种人工控制的平衡呢有个问题就是一旦出现了一些意外的因素就很容易产生巨大的波动就你还记得我们开头说过这次的米价上涨日本的媒体有个说法叫做令和米骚动吗为什么这么这样呢就是因为在前一个年平成
[00:31:23] 平成年间的1993年出现过一次平成米操作当时的原因呢是93年出现了一次那个是天气原因啊这真的是减产了就是日本出现了一次80年一遇的冷夏导致大米减产了25%左右那引发了一次米价的大涨就有很多人说那个就是厄尔尼诺现象那那一次呢日本政府是非常罕见的进口了200多万吨的大米来保障整个市场的供给之后呢就200多万吨其实是没有花掉这么多不小心进多了进多了进多了
[00:31:51] 它就顺势的就转而形成了一个日本的政府储备量制度所以我们前面讲的这个投放21万吨的这个储备量这个制度是1993年这个平成的米骚洞才出现的现在到了令和的米骚洞它又开始投放了但这个储备量是多少呢常年是维持在100万吨左右那这个100万吨跟我们前面讲到的整个需求量来比一比呢相当于全年用量的六分之一到七分之一左右
[00:32:15] 之前第42期就讲国家囤货那期节目其实是讲到过中国的这部分的储备量的中国储备量的话大概相当于用一半存一半的一个比例对看一下我们那个时候的稿子稻谷和小麦它的这个库存消费比就是你存的东西和你真的用的这个量相比大约是百分之八九十对就相当于就是存一半用一半这种概念
[00:32:38] 所以说就日本虽然说是有储备制度但它其实储备量是比较少的对它真的是保证一个非常精确的量我生产的这个量呢还要一直跟需求的量这个下降的幅度要贴着然后我储备的量呢也就是这么一两个月两三个月它就觉得这个市场是一直很稳定的所以我不需要为一个特别的大的一个波动的情况来准备非常多就像一个假如说一个浴缸它已经放满了水而且这个出水口已经塞得很牢了然后你这时候一下子伸了半只脚进去
[00:33:06] 然后这个水就哐的一下就会起来对就是你知道生下去这个动作只要是很猛的虽然你生下去只是半只脚但是你就会造成这个水面大幅的波动对啊然后这个溢出来的东西呢就是涨出来的价格那我们就回到最初的起点吧日本的这轮大米上涨到底跟农历中央金库的聚会有没有关系呢根据我们前面讲的这个表层原因和深层原因呢大家听到这边自己也会有个判断那我讲讲我这边的判断就是没有直接的关系
[00:33:34] 因为并不存在一个逻辑链叫做农协自己在海外亏了钱所以我炒高了米价之后我能自己赚钱没有一个合理性第一点就是我们刚刚讲的农协的收购和批发它这样一个链路或者是它这个交易的过程是都有惯例的基本不存在说我先去收很多很多大米然后我存着不批发给批发商自己作为一个最大的囤居机器的一个批发商不存在这种情况的
[00:33:58] 因为他基本上是一个办政府的这样一个行为了而且他如果要通过囤积来赚钱岂不是应该收更多实际上就是他收的更少对那实际上一个反应就是说他觉得别人收的那个价格已经超出了他这个基准线了所以他收的相对少了一些在某些地区所以这个逻辑是本身是不成立的对不成立的第二呢就是其实米家的上涨主要的获益方还是农民了我们看了一些数据就当中那些链路当中涨的那些价格的那个幅度是没有农民就是他最初卖出那个价格涨幅有大的
[00:34:26] 所以农民其实是还是获益了一些当下是获益的但是我们也看到很多农民就是有一些老资格的农民他是表示非常的担忧这样的快速增长因为快速上涨有可能导致大家真的只吃面包了就真的不吃大米的话对啊他后面的生路就断掉对我今年赚了一大波我后面还继续种了有的时候其实是大幅波动的这个价格这个波动本身比这个价格涨还是跌是要更加伤害这个市场的这个在诸周期里面其实已经获得验证了对就是你来回的摇摆的话其实很伤害这个市场的
[00:34:55] 那某种程度上其实你要说的话日本政府我们前面说的这个米的政策就是要一直减产这个政策也是为了平缓这种波动他就不希望供给和需求之间的这个差值太大但是他这个政策本身的缺陷就使得就突发了一些情况之后你是控制不了这种突发情况的这种差值的波动的所以就是不要人造一个完美的经济学模型是的最后还有个问题就是日本政府这个减产政策它其实本来是解决日本国内那个大米供大于求的那个问题
