Vol.117 成为吉卜力：守成篇
[00:04:59] 那在这两种高成本的压力之下呢杰布里就被迫走上了每部电影都必须成功的所谓高风险的模式也就是我们上期节目里面说到的林慕敏夫所主导的一系列大手笔的策划和宣传改革那相应的就带来了所谓的高票房和高的分账收入
[00:05:16] 但是林木敏夫自己也说了这些收入付完员工工资然后再比如说还一些这个母公司德杰书店在重组的时候的债务其实是所剩无几的其实如果我们从票房来看的话宫崎骏主导的这些吉普利的电影整个票房还是体现出一个比较明确的上升趋势的从最早期的风之谷天空之城和龙猫大概是票房10亿日元的规模到了魔女宅急便和红猪就已经到了40亿日元左右了
[00:05:45] 那幽灵公主呢是一下子到了200亿日元那个是90年代那到了2001年的千语千语群就直接突破了300亿日元当然你说的是比较好的时候了比较后期像哈尔的移动城堡啊崖上的波妞像启封了这几部票房其实就不太行了其实又掉回到一两百亿日元这个范围里面了掉回到一两百亿日元也是蛮烦的那毕竟有300亿这个猪欲在前嘛而且上期节目里面我们已经提过了就是电影的票房收入和这个制作
[00:06:14] 分账收入大概是票房的50%到60%
[00:06:30] 那好一点的话就是可以做到58%左右其实这个水平已经是比较高的了没错那么我们就可以大致的按照这个比例来对照一下那像启封的就是比较新的一部作品吧他当时的票房是120亿日元那按照58%这个分账比例来看吉布利实际拿到的收入也就是不到70亿日元而根据此前日本媒体的报道启封的这个作品在制作阶段涉及到了
[00:06:59] 400至500人的一个创作团队纯人工成本就有20亿日元按照林木敏夫自己的说法如果再加上其他的乱七八糟什么宣传策划的费用那整部作品实际上是亏钱的我甚至看到一个说法就是在起风了的创作阶段龚奇俊就曾经把大家叫到一起开会说这是一部非常昂贵的电影但我相信林木可以用炼金术把钱炼出来笑死了自己成本降不下来天天在里脱稿还指望人家变钱出来真是任性到
[00:07:29] 一定程度了另外还有个很显著的问题就是我们前面提到的这些所有的百亿票房大作都是宫崎骏的那高天勋的作品相比之下呢制作周期都更长票房也更低更不用说一些更年轻的导演比如像米林红昌或者宫崎无老他们的作品呢同样也要投入很多精力和资金做制作呀但是这个票房就显然没有足够的保证嗯这么看吉普利能活下来真的算是个奇迹
[00:07:58] 那么吉普利到底是怎么活下来的我们有没有一些具体的经营数据来解释这个问题呢 余老师略有一点点吧我查了吉普利从2005年到2021年每年公布的所谓资产负债表的简表以及几家跟吉普利有关的公司数据然后准备仔细看一下它作为一家公司的经营状况这个事情真的挺难的因为这个简表也太简了一点这个简道基本上只有几下
[00:08:27] 资产负债利润然后每项里面再稍微拆拆没了另外还要说明一下这个检表是吉布利从德坚书店独立之后才开始公布的那么在此之前其实是吉布利一个巅峰期的数据我们其实是看不到的当然啊如果我仔细看的话还是能有一些发现的袁老师也发现了一点地方不过还是要强调一下对于这么简略的一个信息披露来说其实我们有很多想法都是没有办法完全验证的更接近一种假说大家就先听听看
[00:08:56] 只能听听看那首先来看利润利润这个其实有个最明显的特点就是波动性那我们按照自然来看就是吉布利在2008年2013年17年和20年都有比较明显的这个利润穿升就比前年要涨很多少说的是翻以倍多的可以翻6到7倍这很恐怖啊这个穿升
[00:09:18] 那直觉上面反推呢这几年也许是应该有吉布利的大作上映然后这个票房的分账收入直接转化成了利润但是这个公司因为他也不披露收入数据所以我没法验证啊嗯这个只能就是看看他的这个相关性了对吧嗯对这只能稍微猜一下相关性那比如说像牙上的波妞对于2008年利润可能是有一个加成的以及起风了和会议机误语他对于2013年的利润应该是有显著影响的
[00:09:46] 因为像波妞和启芳了他们各自的票房都在100亿日元以上我们做这个推特还是相对来说有点底气的当然这个也比较符合我们的这个常理就是你这个电影制作公司当年上映了有这个大的票房之后它的收入就大涨
[00:10:01] 说起来其实吉卜利这种波动非常大的收入结构也并不特殊可以类比的另外一个模式就是游戏工作室尤其是那些做3A大做的那些工作室对我们这里讲的是正经做游戏的工作室课金手游不在其中我们这边没有说课金手游不正经的意思说回这些3A大做的工作室他们的特点就是收入的波动也很大
[00:10:24] 你像集合推出过一档很精彩的一个付费播客叫游戏帝国主讲人仲青呢他就提到翻看这些游戏公司的财务数据啊他经常就是连续四五年亏损然后有一年收入特别的高然后接下来又是四五年的亏损那其实就是这个收入特别高的一年呢就是他游戏发售的那一年然后四五年亏损的时候呢就是他在研发游戏的时候一点收入都没有
[00:10:47] 这就是所谓的三年不开张开张吃三年对吧对的虽然吉普利可以做到两年开张一次但本质上这种模式的风险其实都比较大第一就是你这个内容产品本身能否大卖就是有很多不确定性的你像漫威这种印钞机这种非常厉害的公司它也有失手的时候
[00:11:06] 更何况是从不出续集的吉普利事实上吉普利的确有好几次的票房铺接尤其是高天勋导演的作品铺接了好几次没错 但我个人非常喜欢那几部另外一方面就即便是大卖其实这些内容产品它也是有个你说产量也好或者说是收入的上限天花板在的
[00:11:27] 因为它本质上是一个一锤子买卖了它不是那种手游可以无限课金的商业模式那你的这个收入就受限于你用户的规模你像塞的游戏大作有可能就是有那么固定的几十上百万个玩家他有可能看这一画的这个作品好不好他就来买了
[00:11:44] 而吉卜力的上限大约就是日本的荧幕数和影院的座位数它不可能再超过这个数字了其实也比较好理解因为像3A游戏大作本身就是跟动画电影一样是非常复杂的文化产品如果我们把它从商业模式上跟一些印钞机一样的生意比这其实是我们不对那说回吉卜力的数据刚才我们有一个基本的推论就是大作带来大收入这个大致是可以验证的但是问题是吉卜力从2014年
[00:12:14] 2020年开始基本可以说就是没有大作那么为什么在这个疫情影响很大的2020和2021年它的利润还在显著提升呢
[00:12:23] 这里我有一个想法就是当时吉布利在版权管理和运营上的努力就是保证了这个公司在非作品年也有一些基本收入这个例外就比较有意思了要不展开讲讲这个其实是我在看吉布利早几年的数据时候特别困惑的一个点比如说《地海战记》它上映的是2006年上映的那一年其实公司的利润是显著下滑的因为它票房也不算很好
[00:12:48] 但是2005年就是这个电影上映之前的一年呢其实是吉布利非作品年里面相当赚钱的一年你也不知道它钱是哪里来的那后来就看到有日本的分析师说就是吉布利这个作品年之后的利润比较差可能是因为这个电影的周边产品和版权销售不是很好那非作品年如果是利润好的话很有可能是他把更早的这个作品版权又卖了一轮
[00:13:12] 那顺着这个思路呢我又看了一下吉布利这两年这个版权再利用的情况结果发现两个事情一个是2018年就是中国内地院线正式获得授权引进了龙猫
[00:13:23] 而且当时票幅还是很不错的换算成日元大概有30多亿那另一个就是2020年奈飞上线了吉布利工作室过往的21部作品可以想象这个也会带来一笔不小的版权收入那如果涉及到预付版权费或者说是根据收款量分账的话基本上就可以解释就是吉布利为什么在疫情年还有利润的传承了
[00:13:44] 据说这个奈飞和吉普里这个合作还是林姆敏夫促成的因为宫崎骏这几年还在制作新的电影嘛然后等于这个成本又提上去了林姆敏夫就劝他说和流媒体平台合作高点钱也能覆盖覆盖你这个制作成本嘛其实宫崎骏连智能手机都不用的完全搞不清楚奈飞是什么但也就答应了不管是什么合作能给公司赚钱都是好合作
[00:14:08] 那关于吉布利的利润暂时就讲到这里下面我们简单看一下资产和负债这两块其实资产部分也没什么特别好说主要是负债这个地方的变化比较大
[00:14:19] 吉布利的负债可以大致分成两块一块是流动负债一块是固定负债那对于吉布利来说流动负债当中比较重要就是员工工资那2014年他不是宣布把制作部门解散吗你就可以看到这个流动负债在之后的几年里面就有过明显的下降那这两年又涨回来了我估计就是都是帮恭喜君做最后一部长篇又拉了很多人肯定的
[00:14:42] 那固定负债里面影响比较大的是一些长期贷款吉布利在解散制作部门之后也是极力的在调整这一块从数据上来看最晚到2020年3月底吉布利工作室已经把所有的长期贷款都清掉了加上前面说的流动负债控制的比较好其实这两年公司实际累积下来的资金应该是很多的
[00:15:05] 所以媒体上传言的所谓这个林某敏夫自己说吉普利是入不敷出的其实没有夸张到这个程度就是你如果单纯从公司的财报上来看这个公司还是应该能活挺久的简单来说呢就是我们努力从吉普利这么多年的简要的财务数据中总结了一些规律一方面就是这个公司的业绩在作品的大年会有显著的提升但是持续的和长期的利润增长还是要看所谓百全的管理能力
[00:15:32] 另外一方面就是吉普利在解散制作团队以后呢花了好几年专心减自己的负债尤其是长期贷款其实已经慢慢的把公司调整到了一个比较健康的状态成本变低了利润变厚了债务消失了其实这些现象呢都指向一件事情就是吉普利可以说在2014年之后已经完成了从一个制作公司向IP运营公司的一个转型
[00:15:58] 前五我们提到吉布利早期作品有一些版权再利用这个是一个比较直接的赚钱方式在其他电影公司也是很常见的我觉得宫崎骏自己也应该非常清楚这一点吧因为他之前开过一个工作室公司叫阿玛丽这个阿玛丽就是这么赚钱的阿玛丽这个名字听起来略有一点中二据说他这个名字来源于宫崎骏的爱车是一辆1980年代的雪铁龙RCV
[00:16:24] 在吉布利正式运作之前呢宫崎骏在很多作品里比如说像《风之谷》《天空之城》《龙猫》《魔女斋鸡变红猪》这些作品的制作和宣发阶段其实都会用到阿玛丽工作室的名义来参与整个制作委员会的一些工作其实就是代表他个人来享受或者说是
[00:16:43] 掌有这些作品的他一部分的版权的这个利益的你像高天勋其实也有个类似的工作室公司叫田事务所嘛嗯没错那等到这些作品初期的热度过去但是他又开始在一代代的吉布利爱好者当中产生长期的收益的时候呢阿玛丽就可以代表宫崎骏本人坐享其成享受一些新的版权收入2016年2月底吉布利宣布将阿玛丽这个公司吸收合并进来然后在4月初正式完成了合并
[00:17:10] 当时阿玛丽发布的最后一份财报显示这家公司的流动资产超过了40亿日元而且每年有1.8亿元的收益
[00:17:20] 几乎没有负债其实是一家非常健康的公司然后被吉普利就这样收进去了这个更加体现了吉普利和宫崎骏完全绑定的这种关系对当然也可能带来一些财报上的变化我们其实可以讲一些别的东西因为除了电影本身的再放映再发行产生这种IP价值更广义上的IP其实大家可以理解的就是吉普利在动画电影当中创造了很多经典的形象比如说吉普利自己画到logo上的
[00:17:49] 这个龙猫可能很多人都没有看过吉普利的作品的时候都知道这个东西叫龙猫然后顺着才去看了吉普利的作品那运营这些源自于吉普利作品长期又可以独立发展的IP形象其实也是吉普利可以明确的挖掘收入的一个方向在这方面其实吉普利走的是比较经典的两条路一个就是地产化的一个方向就是三英之森的吉普利美术馆
[00:18:14] 还有就是它新建成的在爱知县的吉布利公园主题公园另外一条就是零售化的方向就是周边了我们先说地产化这块因为吉布利公园实在是太新了还没有什么可以参考数据我们就主要看年纪比较大的吉布利美术馆吉布利美术馆是建成于2001年是一个原本就是一个工作室的一个地基上面扩建起来的小型美术馆小到什么程度呢就是疫情之前每年大概也就是接待60万人
[00:18:43] 其实是非常小的折送的每天也就是2000人而且因为上期我们讲到过美术馆开业之前就打通了和罗森的合作关系所以在日本当地是可以直接在便利店的机器上面买美术馆的门票的这个也导致了吉卜利的美术馆是外国游客很喜欢但是又非常难买到的一个门票之一等于说它的收入上限是非常明确很有限的一个数字这个美术馆虽然是2001年就开始营业了但是我们
[00:19:13] 只能查到他最近两年的这个资产负债表简表简单看了一下就是从2020年10月初这个美术馆的报表就合并到吉布里工作室里面了我直觉上感觉的话其实这块收入是不是也不少啊我觉得你想多了就是根据日本媒体此前报道在疫情之前吉布里美术馆的年收入最高
[00:19:34] 可以到6.6亿日元听起来是不是不少6.6亿呢但是因为这个美术馆一张成年人门票就是1000日元你乘以前面说的60万的年居客流其实这就是6亿日元了当然了小朋友的门票收入是更低的周边收入可能高一些但是上限也就是这样的而且这个是最高一年的年收入最低还不知道多少
[00:19:55] 这个收入有上限很明确那么利润方面呢利润怎么说呢我单纯看利润的话这个美术馆可能还不如阿玛丽有价值因为从合并之前的最后一份财报看当年的美术馆是微微亏损的然后它资产规模也远远不如阿玛丽好在就是没什么负债
[00:20:14] 并进来也还好毕竟这个前期的投入那个其实吉普利自己没有花多少钱对而且是2020年初正好是一个不太好的年份就是整个美术馆受到的疫情影响客流量是远远不如平时的当年的年数好像只有1.5亿日元而且这个影响之后几年一直在持续为了维持这个美术馆除了动用了一些长期来没有动过的维修基金然后还拿了一些三一式的特别补助还组织过两次重抽但是因为财报合并了我们也很难知道
[00:20:43] 单独的美术馆这个部分到底困难到什么程度看来地产化的方向不是非常好做那么聊聊零售化的方向就是卖周边其实吉普里的周边我感觉相对还是比较少的比较明确的就是周边的商店就叫巷子共和国目前国内也是有门店的巷子共和国这个门店我自己去逛过好几次说实话因为有点贵下不去手
[00:21:07] 我也知道你要问什么就是这部分周边到底能不能多赚点钱查了一下巷子共和国其实背后不是吉布利自己的公司在做的它是一个专门做IP产品销售的公司叫Bennelick在做的Bennelick手上其实也不止吉布利这一套IP它手上还有米飞Jump哆啦A梦和哈利波特
[00:21:29] 所以很难看出来吉普利和班尼利克的合作到底赚了多少钱我觉得可能主要还是那种相对一次性的授权收入各几年签一次我觉得很有可能因为其实比较了解宫崎骏的话就知道吉普利不太会从周边上赚很多的钱或者说他不致力于在周边上面赚很多钱因为宫崎骏本人他很讨厌迪士尼虽然吉普利的作品在海外发行很多是要给迪士尼来做的
[00:21:55] 因为宫崎鑫觉得迪士尼正是驱逐了其他所有动画或者说将动画产业化的一个元凶宫崎鑫自己觉得产业化不是件好事情而迪士尼的主题乐园包括IP授权的模式这是他产业化的一个重要的组成部分吉卜黎在这个方面其实都是非常克制的他不想被周边反而回过来影响了作品的创作
[00:22:16] 其实我们回过头来看就是极不容易做IP这两条路一个是做主题乐园或者说公园也好或者说卖周边也好也能看出来这个思路
[00:22:26] 一方面就是他们确实没有投入太多资金在这个上面像美术馆和主题公园都是当地政府邀约了提供了地方以后吉布利才去做的前期没有投入太多另外一方面呢就像这个乐园呢也没有靠这个乐园赚钱的意思比如说最近开这个吉布利公园这个建造的时候连树也没怎么砍然后原有园区也没怎么盖然后都是利用一些旧的设备做重新开发
[00:22:50] 游玩的方式也以参观为主吧里面没有什么大型的景点和游乐设施也没有动漫角色在那里跳舞或者说话这样的话怎么能激发游客去氪金呢对吧氪不氪金先不说啊但是我觉得吉布利自己想的是很清楚的
[00:23:05] 简单来说如果让吉布利在创作和商业之间二选一他们会毫不犹豫地选择创作放弃商业那从这个角度来看呢公司目前所谓商业化的成功其实都不是说靠比较刻意的运营手段得来的而是创作层面长期的用心带来的一些长期的收益
[00:23:25] 好数字部分我们大致就讲到这里最后一部分轻松一下我们聊一聊吉普利进入中国市场的一些八卦其实吉普利在中国内地的这一波存在感是从2018年开始的因为当年是龙猫上映30周年然后吉普利的作品也是首次在中国内地的院线大规模的上映
[00:23:44] 而在此之前吉普利作品几乎没有正式的引进过中国甚至有一段时间可以说吉普利是很排斥进入中国市场的就是为什么会这样呢大家可能也听说过一些事情就第一次是因为1984年当时刚做完《风之谷》郭齐骏和高天勋就到了上海美术电影制片厂拜访当时还给上影厂赠送了《风之谷》的胶片
[00:24:07] 说到这次行程就要提到我们之前节目里面提到的吉布里的初代老板德坚康快因为这次行程就是德坚康快安排的他是当时中日文化交流当中的一个重要角色尤其是在电影方面他在德坚书店的时期还成立了一个专门的电影公司叫东光德坚
[00:24:25] 因为他们两个都非常喜欢梅影厂的动画电影嘛
[00:24:45] 然后在1981年的时候就是林慕敏夫当编辑的那个杂志就曾经刊登过一个他们俩的访谈就是聊中国的动画电影然后他们对于《哪吒闹海》等等作品是如数家中非常的推崇所以去美影厂拜访的也是对他们来说有种圣地寻礼的感觉在当时人家的圣地寻礼结果到了那里美影厂就
[00:25:08] 并没有展现出什么独特的魅力
[00:25:35] 那日本人确实不能理解这个独特的阶段这个中国人到底在想什么那之后高田勋多年以后接受中国媒体采访的时候就说他跟宫崎骏当时都失望的无以复加如果了解宫崎骏和高田勋的这个思想倾向和审美偏好的话就知道他们为什么这么失望啊这方面的话可以大家推荐看一本书叫青春燃烧里面是详细刻画了日本这一批动画艺术家的这个思想受当时时代的哪些影响的这个部分
[00:26:02] 这是吉普利根中国的第一个故事第二个故事呢其实是来自于2009年南方周末刊登的一篇文章这位作者是一位图书编辑他说自己曾经试图引入过宫崎骏自己的一本著作结果呢对方一口拒绝编辑就问是不是因为价格方面的问题啊然后对方就回答任何价格都打动不了宫崎宣神因为作品长期以来在中国被盗版所以他决定不予授权
[00:26:30] 这篇文章给我的印象非常非常深
[00:26:57] 从这个话也可以看得出吉卜利或者说宫崎骏本人其实对于盗版这件事情是深恶痛绝的当时不进入中国的这个想法其实也很坚决据我们了解在2018年之前国内的公司不止一次去沟通过引进吉卜利的作品但是都没有成功
[00:27:15] 我们还听过一个段子说是国内的有一个影展去沟通过吉普利的作品吉普利那边就会说海外发行去寻找迪士尼的谁谁谁顺便说一下就是我们上期节目提到的迪士尼前社长辛野康尔他在加入吉普利之前就是迪士尼在日本分公司的一个高管就是在1996年的时候就是他说服了吉普利
[00:27:37] 把旗下所有作品的录影带的制作发行交给迪士尼来代理然后他自己做着做着合作一下结果又加入了吉布利怎么又有一个吸收加入吉布利的人说回那个段子不是说中国影展去找吉布利吉布利说你去找迪士尼吗然后中国方真的去找了迪士尼结果迪士尼的对接人比较直爽
[00:27:58] 直接就说吉布里让我拒绝你这个我觉得不是直说可以说是缺心眼了怎么说呢可能美国人觉得这样效率比较高他没有办法理解日本人这种隐晦的婉拒了所以我还是要问一句就是为什么这几年吉布里作品又开始进入中国市场呢我觉得引入肯定是靠具体公司的这个努力的商谈具体的这个细节其实我们也没办法很详细的了解但我们这里可以谈两个背景
[00:28:24] 第一个就是2015年有一部作品在内地上映就是哆啦A梦的剧场版伴我同行当时是获得了5亿元的票房这个在当年可以排到内地总票房的第25位是一个非常不错的成绩真的很不错因为要知道当时的
[00:28:41] 中国的荧幕数只有现在的一半不到是很小的一个规模而在此之前其实日本的动画电影乃至日本电影已经在中国内地有很长一段时间的空窗期了2015年《朵拉亚梦》成功之后人们才开始意识到一些日本的国民纪的动漫的IP在中国的影响力原来这么的大这其实也给日本的电影界不小的触动因为大家知道日本的荧幕数和观影人数一直是在持平甚至下降的一个趋势的
[00:29:09] 那你要说哪个日本的IP在中国有最广大的群众基础无疑就是吉卜力宫崎骏就是一个即使你没看过他任何一个作品也叫出名字的艺术家对吧这个其实是票房的一个基础是的吉卜力作品还有另一个优势就是他虽然号称是给成人看的动画电影但他其实也是特别适合亲子的作品这个我们在国产动画电影那期节目里面也讲到过动画电影要卖座你就不能太低优
[00:29:38] 你一定要与家长愿意带着孩子一起来看而吉布利恰好是在这两代人当中都有影响力和吸引力的这个父母带着孩子去看天空之城表面上是陪小朋友去看实际上自己也想补一张电影票是吧没错就觉得是自己要给共青军捐钱的这个心思更多一点
[00:29:56] 那另外一个背景就纯粹属于我们个人的猜测就是宫崎骏在2014年的那次隐退多少也扫清了一些可以说是障碍有一个事情是我们做这次节目感受非常强烈的就是吉卜利虽然有高田勋这样的大元老也有林慕敏夫这样的当家人但一切的核心还是围绕宫崎骏甚至可以说这个工作室就是宫崎骏个人意志的一个延伸但如果他特别反对的决策的话是不可能推行下去的
[00:30:24] 那林木敏夫的一大不可替代性呢就是他能够在获得攻击军认可的情况下推动各种决策的一个执行嗯就是他认可还行但是他如果说no的话呢就是真的是no对的那从这个角度看的话吉普利真的挺像一些创业公司的当然也必须要承认中国这几年在影视作品的这个知识产权保护上面还是下了很多功夫的比90年代和21世纪初肯定已经好了很多了这其实也给这些老片的重印打下了一个基础
[00:30:51] 总之就是在这么一个变化的背景下然后又有很多机缘巧合到2018年这个口子终于打开了吉布利回归中国本身在商业上面到底算成功吗从票房看的话肯定是成功的
[00:31:05] 第一部就是2018年的龙猫它在当年的六一档是卖了1亿多的票房然后19年蜀记档的千语千询是卖了5亿的票房之后又上了悬崖上的波妞这部比较一般大概是2000多万但这次的天空之城又已经上亿了怎么说这个数字跟我们前面提过的一些国内最热的本土动画电影来比还是有点差距的对吧这个当然不能比但是对于吉卜利尤其是对于中国的引入方来说的话肯定是能够
[00:31:34] 这里边要说明一下吉普利这个电影的引入框架就是把海外电影引入中国一般就是两种模式一个就是分账大片一个就是批片分账大片的话之前主要就是好莱坞的一些大作所谓的分账就是我们前面提到过的就是海外的版权方它的盈利方式是直接从你这个票房的收入里边有一个比例的分成的
[00:31:55] 而批片就是所谓的批发一般来说就是一口价直接买下你这个作品在国内的一个发行权给你一个授权费然后在中国卖多少票房就跟你原来的制作方没有关系了所以一般来说批片有一点那些堵石的那种性质就是它的引进成本一般不是特别高一部几百万甚至便宜的几十万也有它引入国内的票房一般也不算太高赚不了太多但是万一这个票房爆了这个引进方就可以赚大钱
[00:32:25] 那赚大钱的典型案例就是印度的那个摔跤吧爸爸还有那个你的名字日本影片好像一般都是批评性质进来的对据我们了解的话其实因为一些日本作品这些年也有了接近风涨大片的这个票房潜力啊所以版权方在授权的时候也会争取更多的利益首先呢就是抬高一次性的这个授权费其次就会要求你从这个实际的收益里边啊再分一部分
[00:32:51] 给这个版权方也就是说既有保底又有提成了对当然啊这个批骗的这种分成跟这个分账不太一样啊因为他要扣除各种宣发的费用啊等等的分这个实际的利润而且这里面有比较多不可控的这个空间吧所以一般而言日本的版权方还是倾向于把这个一次性的授权费抬高来赚这个实实在在的钱那据一些未经证实的一些说法呢一些顶级的日本的IP它的价格可能已经是百万美元级别了
[00:33:18] 不过其实在中国能有这样影响力的日本电影非常非常的少首先它必须是动画片真人电影的话几乎很难上映啊
[00:33:27] 其次动画片里边经过验证的真正能够到一个很高票房水平的也就那几个IP一个是哆啦A梦一个是柯南一个是新海城还有一个就是吉卜利其实跟这个水平相对的这种热门批评的中国内地票房最好是能上亿甚至是数亿才能说比较稳定的回本和赚钱因为国内的发行方最后只能拿到这个票房收入的大概三成甚至更低然后再加上中间跑暴批和宣发的一些费用要cover这个
[00:33:56] 授权费其实对于票房的要求是不低的那这么来看的话其实吉卜丽引入国内的这几部像龙猫千语千询包括这次的天空之城的话肯定还是能够到赚钱的这个水平的另一方面说回来就是因为这些作品的影响力和这个声势都越来越大了所以它国内的这个引入方一般来说都是比较有
[00:34:19] 影响力或者说是和日本方面也比较深渊源的一些公司像2018年龙猫的引入方当中就有一家新创华熟悉二次元的朋友肯定都知道这是国内一家很大的动漫摆权的代理公司手握着奥特曼柯南高达几大IP的内地的代理权我看过这个公司的官网这个公司的官网基本上都是一些维权声明非常有意思这个公司的官网很有劲的
[00:34:43] 而另外一个IP就是哆啦A梦他在国内的一个代理方呢则是一家日本的大型公司就是欧力士的一个旗下机构而今年6月1号的这个上映的天空之城据说啊他的这个引入方也参与过另一个大热的动画作品的这个引入不过这个消息未经证实我们就不展开了但是你其实可以从他们的宣传推广的方式以及这个影院初期的这个排片率可以看得出来完全是能够当做一个热门影片来投入宣发的
[00:35:11] 只找这种熟门熟路明白事理的合作方这个好像也很符合日本公司的做事习惯没错那到这里我们吉卜利益节目的下半部分也到尾声了其实原本我们只想做一期但结果准备起来越来越延伸居然变成了两期而且两期各自都已经超时了
[00:35:30] 原本以为像吉普利这样的公司简单聊聊就行了没想到就是根本没有办法简单聊一聊是其实从公司的角度吉普利的确没有那么多可分析的第一他没有太多的财务数据供我们分析第二他在各个层面也不那么像个公司有太多反商人的决策
[00:35:48] 第三它真的挺小的这个业务会规模都不算复杂同意但是即便如此我们还是聊了这么久其实还是因为吉布利本身这个作品带给我们太多的商业以外的价值是的从第一期的评论区里面也可以看到大家对吉布利作品的喜爱反过来这其实也是我们对于吉布利的商业故事产生好奇的原因因为现实生活中我们看到了太多好作品没有办法变成好生意的案例
[00:36:12] 这个对于大众来说是无可奈何的很遗憾的事情但是吉布利是少有的把好作品做成好生意同时还保留了独一无二的作者特性的一家公司那这个对于所有的观众来说都是一件幸事而理解这种幸运如何产生是我们这两期节目试图做的工作商业就是这样
[00:36:38] 感谢收听这一期的商业
