Vol.271 阿迪达斯如何触底反弹？
[00:17:47] 很大但是可以看到公司整体的毛利率和自由现金流部分已经在回升了我觉得这个部分就是复古款的这个销售肯定是起了很大的用处中国市场呢2023年古尔登上任以后其实开始鼓励各个区域根据本地市场的特色独立开发产品这其实就是放权对就放权其实也很重要那当年可以看到阿里达斯大中华区的这个营收增速已经开始缓慢的回正了
[00:18:14] 而且很惊人就是它在2023年下半年的毛利率有接近70%哇非常高我不知道发生了什么但是很显然你如果能在一个区域市场做到这么高的毛利率那我觉得这部分的触底反弹其实已经注定了那关于这个部分呢其实我们之前在以世界杯为方法那期节目里面已经多少提到了一些感兴趣的朋友呢可以回听那个节目里面关于阿加斯的部分
[00:18:39] 那接下来呢就是2024年这是80奥运会之年这一年我觉得对于复苏中的阿迪达斯来说呢它的采报和运营数据的亮点不是很多但是能感觉到这个公司对于保持复苏的决心很强
[00:18:53] 这个怎么讲呢因为前面你提到过08年奥运的这个例子其实不一定是对他们来说长期来看不一定非常正面对吧首先是我们前面提到就是奥运年确实很容易变成库存大年嘛但是对于还在复苏的阿里达斯而言呢他其实没有博这个镜在眼前就是在欧洲大陆隔壁的这个机会他依然把库存控制在一个比如说两个半月左右就能卖完的一个很合理的一个水平没有报应报失没有报应报失也没有说因为我复苏我就就是赶快再加上库存对吧
[00:19:21] 与此同时他对于他的两大主营业务鞋类和服饰的销售侧重应该做了一些微调可以看到我算了一下下半年鞋类在总销售额当中占比是略略有所下降的这个或许可以联系到之前我们讲到的比如说球衣在日常的时尚的穿搭当中它的作用越来越大
[00:19:43] 这部分有可能会有点提升有可能有关系但我不知道可能是这样子反正消费衣服的门槛是会更低一点我觉得做这个思路是
[00:19:52] 比较合理的当然这个侧重的微调其实也带来了毛利率的回升可以看到2024年上半年阿里达斯毛利率已经回到了51%其实是个很好的一个水平了自由现金领的水位也在进一步改善这个都很利好公司去就是缓过气来以后它也可以去做一些新的一些研发的投入就关于研发我们知道耐克是比较乐于去用技术研发讲故事的公司不是说做技术研发是用技术研发讲故事
[00:20:19] 或者说耐克就是一个很擅长讲故事的公司
[00:20:22] 阿迪也做了很多大家知道的技术研发但在这个方面的策略稍微保守一点这边我们都是中立的评价不是褒贬的它相对来说比较保守一点阿迪达斯的研发费用其实每年的年报会有很简略的披露可以看到2024年这个部分的费用是达到了1.7亿欧元不是很高但是也是过去5年来的最高的水平但如果我们看整体趋势的话2022年这个公司的研发费用其实已经在上升了
[00:20:50] 我感觉这个其实就是证明了阿迪达斯也知道技术对于如今的运动产品来说是很重要的真正的卖点就不是一个纯讲故事的东西它是真正的卖点
[00:21:00] 市场费者会在意的东西所以即便在业绩下滑期他也会想办法做好储备那包括我们现在知道他这个就是最顶尖的竞速跑鞋的系列在2026年对吧终于是就是在这个成绩层面有个很大的开花结果让全世界都知道了我觉得像马拉松这几年已经成了所有运动品牌的一个兵家必争之一就但凡有个鞋你都会去争一下马拉松这个方向光是破二这个目标我觉得耐克和阿迪在这个方向上面已经钻研了
[00:21:27] 至少十年吧不止这两个品牌了很多当然为了达成这个PO2这种极致的目标那在产品方面呢肯定会有一些很顶尖的设计就是没有办法呈现在普通商品上的那种设计像F1赛车和普通的跑车一样的区别是吧是甚至是产品的定位也会有很大差异比如说像这次就是实际上参与PO2的这个系列首先它是超轻单只的重量不会超过100克就是太轻了然后是中底那这个中底就是我反正第一次看我觉得它
[00:21:56] 厚到就是视觉上面非常的醒目但是它在技术上又有很好的灵活性是一个非常很难做到的一个坚固最后就是它的定位它为了最好的比赛表现就牺牲了耐用度是所谓的一次性跑鞋对就这一些技术其实你对于普通的这个跑者甚至这些就是我们说的一些颜色跑者来说也未必是非常的适用的就是日常要买的这个产品但是它确实是一个非常好的技术力的广告
[00:22:21] 对这类技术不仅要研发投入其实也需要漫长的测试和改进的阶段那顶尖运动员日常去试穿这些鞋和比赛露出呢其实可以被视作是一种品牌营销也可以被视作是研发环境的一部分这个策略其实也很经典之前是耐克已经用了很长时间而且用的很好只不过就是我们现在看到阿迪达斯学会了以后他反而是在目前这个阶段小生一筹
[00:22:48] 如果从股价来看的话其实24年阿迪达斯已经在市场上完成了这轮价值修复的大部分工作就像你前面提到的它的股价在2025年年初已经反弹到了255欧元就是离它最高的300欧元左右已经差不多了但之后又跌下去了就没有形成一字强势的复苏没有反转只是一个反弹所以这个怎么看呢
[00:23:10] 我觉得从财务和运营数据上来看阿迪达斯虽然复苏了但是还是会有一些投资者时不时还要担心一下的问题比如说它的库存虽然在奥运会之年做的比较克制但是从2025年至今又慢慢有点抬头了比如说我们说的库存的可销售月数现在是2.6到2.8个月稍微有点抬头
[00:23:32] 那此外呢公司整体的这个营收增速和毛利率水平都略有回落那我觉得很正常因为你在谷底的时候这个基数会比较低嘛你在就是在后面你在追求同样的增速其实难度就很大这有点像就是上一轮的复苏手段都起到了效果但是这个效果本身没有太好的延续性比如说你这个德训鞋你前一轮作为时尚单品买过了你现在再买点别的也很正常
[00:23:57] 就是或者说大家的预期认为你这个东西不会有太长的延续期你需要有这些新东西给我看当然北美和大中华区业绩还是蛮好的就是我们可以看到非常好就是2026年的上半年这两个市场的营收增速都回到了两位数大中华区的这个利润修复也很亮眼我觉得就是就回到了事件冲击之前的那个相对比较正常还有增长潜力那个状态
[00:24:22] 只不过就是因为有当中这个过程对吧你把当中这几年这个触底反弹这个过程算进去的话其实现在会给大家非常耳目一新欣欣向荣的感觉吧就是你前面把它忘了你才会有这样的感觉不过在阿迪达斯尝试复苏这几年里面我觉得中国乃至全球运动用品市场这个竞争格局的变化
[00:24:41] 实在是太大了就原本很多在第二第三梯队的品牌展现出了很大的野心和很强拓展能力这个其实对于耐克和阿迪达斯的市场占有率也形成了很大的冲击我觉得这个可能还是我们为什么说阿迪达斯这轮复苏之后股价没有说回到那么高的位置就是可能这个是个主要原因原本市场工作的方法很简单
[00:25:03] 第一名和第二名都很稳定那我只要给它给出合理的定价就可以然后新兴的第三名就一直在变那我们给它一个弹性的一个估值区间但是现在呢很多品牌都在享受这个增长带来这个估值的弹性了那么阿迪达斯和耐克的故事也就没有那么有吸引力了我觉得听你刚刚这么讲起来的话其实会有一个不知道合不合适的类别就是我感觉大型运动品牌的基本面我们说的是它的业绩不是股价
[00:25:27] 因为我们今天这期节目其实不停的在讲这两个层面的事情现在讲的是业绩它的基本面其实跟我们之前讲的猪周期是有一定的类似之处的它的周期其实是有一些重大的事件来共同决定的比如说世界杯奥运会等等的然后它核心的一个要素有可能就是库存水平的高低还有对此的调节能力我觉得确实是这样只不过运动鞋服它跟猪肉这样的避险消费还是有一点差别的所以说品牌和营销能力依然可以用来
[00:25:55] 改善整个周期效应所以说运动品牌公司也都在强化这个能力基本面上来看是这样的只不过从股价上来说还是可以再补充一些信息就是耐克和阿迪达斯的股价的高点都出现在2021年我自己觉得这个并不是因为当时这两家公司的业务有多么的惊人的好
[00:26:17] 还是因为当时的全球市场尤其是资本市场
[00:26:44] 就是他的股价其实是先于他的基本面企稳的其实如果投资者看到这个公司正在推行正确的策略即使没有很明确的财报数据来定量给他结论就是说这个公司到底好就是在改善多少他的股价依然会反弹我觉得这个就是所谓市场的力量他能比想象中更快的修正自己的错误给出更合理的价值判断或者说的简单一点就是你自己怎么样和别人看你怎么样这个当中是有一个微妙的差距在的
[00:27:11] 十一大公司这个系列做了好几年了有些时候我们对于一些公司提名入选还是不是很严谨吧就有时候还是会以股价的波动做一个由头那这次的研究呢感觉也给我们自己提了个醒啊就是不能涨是看涨跌是看跌然后也根据股价的涨跌去下判断这样呢可能就错过了很多观察公司如何复苏的机会商业就是这样
