Vol.205 我们研究了奥乐齐中国所有的商品，它到底便宜吗？
[00:04:09] 那IOD之后在德国的发展非常好但是在1966年据说是这两兄弟在要不要卖香烟这件事情上产生了分歧就一个觉得应该卖一个觉得就是卖了以后可能会引来小偷所以他们就有些争执结果呢他们就决定说我们把公司割成南北两块各自独立发展哥哥卡尔是管德国北方的业务然后呢他会决定在店里面卖香烟
[00:04:34] 然后弟弟西奥就是管德国的南方他不卖香烟那德南德北之后就在经营上面完全分开了然后奥迪的德国北部公司和南部公司也有各自的总部和公司的logo但是这两块业务呢在核心理念上几乎是完全一致的所以他们都叫奥迪超市的名字都是一样的对但是在德国内部他是会有比较明确说你在那个logo上看得出来是一个是北一个是南对就是南方的标志比较fancy一点北方的标志比较古朴一点
[00:05:03] 关于这两个兄弟还有一桩议事就是这个里面的弟弟西奥阿尔布雷希特在1971年被绑架过支付了700万德国马克赎金财祸事这也是德国历史上非常有名的一桩有计划绑架案因为这两个兄弟日常行事就非常的低调然后绑匪也没有办法确定自己有没有抓对人据说还当场让西奥说你把你的身份证拿出来给我核对一下是哥哥还是弟弟弟弟弟弟弟弟呢不甘示弱还跟绑匪就赎金讨价还价
[00:05:31] 讨价环境结果是700万马克这样的而且他获释以后还向法院申请说我们这笔赎金应该作为公司的亏损然后这个部分是要免税是吧免税很厉害
[00:05:44] 而且整个绑架案之后呢阿尔伯雷希特兄弟以及这个南北奥迪公司都走向了非常严格的保密主义就他们几乎不对外披露任何的经营数据也不打广告也不接受媒体的专访甚至你找不到他们高管的任何的形象照因为对着照片就可以知道我绑的是谁吗好像并不是这个原因他们就是很保密那绝大多数关于这家公司的讨论都是基于一些公开信息的外部视角分析
[00:06:09] 但是这个完全不妨碍这个超市的业务蒸蒸日上根据大道之简这本书里引用的说法就是2001年奥迪在德国南北总共拥有3400家门店年收入达到了190亿欧元哇非常厉害它是一个超市对吧它这个数量都已经像便利店一样多了对而在德国之外呢奥迪还控制了大约3000家门店奥迪南北其实都参与了德国之外的市场拓展那奥迪德国北方公司我们以后就叫它德北公司它主要拓展是
[00:06:38] 西欧市场而德南公司呢主要是拓展了中欧东欧的部分国家以及像澳大利亚英国爱尔兰以及2019年进入的中国市场是德南负责开拓的有一个特例市场是美国奥地南北呢
[00:06:51] 都进入了这个市场南方公司呢是以开自营店的形式直接进入的而北方公司呢则是收购了一个经营理念类似的美国本土品牌就是TraderJones它是迂回进入的TraderJones就是我们之前在一期商业想要里面专门的聊过所谓的美国超市的贫校之王所以这么说的话它理论上是ILG德北的子公司
[00:07:12] 以上就是LD这家公司大致的发展脉络接下来我们快速的说一下书里面提到的LD的五大基因原则在后面的分析当中我们也会用一些实际的商品来帮忙阐释这些原则原则前两条可以放在一起说一个叫做商品种类有限还有一个叫做能反映基本消费需求
[00:07:31] 后一个比较好理解但是商品要减到多少种才能叫有限呢这个梳理的说法是1950年代还是阿尔布雷希特商店的时候呢他们就只卖250到280种商品到1980年代左右呢会扩张到600到650种那2001年的奥迪就是进一步扩张到1800种左右的商品做个简单的对比啊我们经常说山姆会员店的这个商品种类比较少但它也有4000多种
[00:07:59] 如果是一个美国中等体量的沃尔玛这种大型的超市它一般会卖2万种商品原则第三条叫商品要易于操作和处理这点因为时间原因我们今天在节目里面就不会特别展开了然后考虑之后专门做一期又挖了一个延伸坑原则第四条叫做可与领先品牌媲美的最佳品质前面说了奥迪是不打广告不做公关的
[00:08:25] 但是在包括德国的很多国家呢他们都会积极宣传说我们这个奥迪的自由品牌商品在各种什么权威的商品评选或者说检测当中拿到了很好的名次这个是他们几乎唯一会做的宣传了就是这个商超本身他不打广告但是他的自由产品他会打广告对他会很乐意宣传这一点而整个原则第五条才是目前奥迪最为外人熟知的一个特点就是尽可能低的销售价
[00:08:48] 在德国市场LD经常是很多细分领域的价格战的发动者而且它降价以后呢所有的竞争对手也往往会跟着它去做降价书里面有一个例子是1997年的LD做了黄油和食用油品类的降价降价了15%然后在短短的一周之内它的所有竞争对手都参与了跳价OK所以它其实是这些商超里面的很多怎么说呢主流产品的
[00:09:16] 价格杀手甚至可以说是价格的决定者而且它这种影响力不仅仅是覆盖像食品日化这样的快销品对有时候也会覆盖到一些像厨具家具之类的耐用品OK到这里我们非常简略的介绍了一下奥迪这家超市品牌的发展历史以及它的五大经营原则这些原则其实我们现在都不陌生了
[00:09:38] 因为这几年在中国市场所谓平价和低价的商超这种经营已经非常的深入人心了当中的很多原理其实都是来自于奥勒奇的概念基础就先打到这里接下来我们进入具体的商品分析
[00:09:53] 好来了来了啊袁老师开始汇报一下奥乐奇的商品调研自学小成果吗在这个之前呢可能还是要稍微补充一下奥乐奇进入中国的几个关键时间节点也方便大家理解后面一些具体的讨论奥乐奇是在2019年先在上海开店的他一开始的口号是国际品质社区价格那在这个定位之下呢他开始的开店速度也很谨慎在2023年之初的时候也只开了30多家店
[00:10:21] 但是到了2023年后半年它就开始往低价超值的方向转型它口号也变成了好品质够低价它把它的商品总数也就是SQ做少了而且开始在自由品牌技术上推超值系列这个也就变得更像是德国的那种奥勒齐了这也是我们今天讨论的重点另外再打一个补丁关于转向低价调整背后的运营考量我们这期其实不会涉及太多
[00:10:46] 因为这主要需要一些比较扎实深厚的采访来内部的采访来讨论对我们以后有机会再做这期呢我们主要基于所有人进入奥乐奇超市都能获得的公开信息来做数据挖掘OK这个补丁打完了那袁老师开始吧奥乐奇的商品小调研先说一下数据的这个收集是怎么来的吧这么多的商品1600多个
[00:11:09] 我是在今年的3月18日利用奥勒奇中国的微信小程序然后看了上海市中心最大的奥勒奇门店之一苏和湾店的所有的在售商品的数据当时记录下来主要是这个商品的名称叫什么它的规格是什么样以及它属于哪个自由品牌系列还有它的标准售价因为涉及到有些商品是当期的促销品它会同时标原价和促销价我记得是原价另外针对所有的
[00:11:36] 在受的超值系列商品
[00:11:57] 假就是是纯手工统计可能会有一些错漏还望大家谅解纯手工爆炒对吧并不是预制菜所以说大家就是体会了一边比较则性的细节就可以了感受结论就可以了细节不要太讲究好吧那么就从你刚才说的这个3月18日的这个整体清单开始说起吧刚才我稍微已经剧透了一点啊先说一说吧到底奥勒奇中国目前卖多少种的产品
[00:12:22] 当天我统计到的是1641种奥勒西中国之前给到第一财经杂志有一个官方说法是1800到2000种然后其中有1500种是常驻商品另外500种是印记和节日的轮替商品是我统计数字跟官方说法之间有一些差距呢我主要觉得是门店自己按需订货的一个结果就是有一些商品他可能觉得没有必要选进来另外呢就是小程序展示这个商品的
[00:12:48] 种类的总数呢和它实际的门店线下摆出来这个商品总数呢肯定也会有差距比如说这个葡萄酒在小程序上其实是可以找到60种左右的葡萄酒的但是在苏和湾这家线下门店里面它实际陈列可能只有30到40种我猜是因为这个不同门店的这个展示面积的这个限制包括我实际去看的话有发现不同的这个门店其实卖的东西差别还是蛮大的当中会有一些交错还有一些
[00:13:12] 延伸的还有你讲到这个比如像葡萄酒这个问题我觉得有可能是消费者的消费习惯因为像这个奥迪这个德北的官网显示他们的常规销售的葡萄酒要有100多种的还有更多但中国的话有可能白酒会稍微多一点是就是你实际去店里发现就是肯定会有一块地方是留给什么9块9老白看9块9老白看OK
[00:13:31] 而且针对这1641种商品我就是按照常规的认知然后把它们做了一个很粗糙很粗糙的品类划分划成了10个大类分别是即食品加工食品零食酒类蔬菜水果调味凉油家庭以及各户这个分类的话其实虽然说粗糙但是如果各位经常使用商超的APP的话应该还比较好理解对吧就是那些上面分的会更加细一点
[00:13:58] 我觉得当中稍微要给大家厘清一下的可能是你前面提到的即食品和加工食品还有零食之三种吃的到底是个怎么样的分别我的分别就是加工食品主要指的是除了蔬菜和凉油以外必须要经过烹调处理才能吃的一些东西举个例子就是冷鲜鸡块冷冻牛排玉脂菜咖啡豆这种都是属于对食材的部分
[00:14:20] 而如果是一种是拿起来就能直接吃的比如说什么果汁牛奶以及比如说短饱的那种三明治啊面包这些都算寄食品然后呢剩下一些相对来说保质期比较长的包装食品比如说坚果饼干巧克力这种就划到了零食范畴这就是很粗糙一个划分
[00:14:37] 话说回来就是为什么要做这么一个划分呢其实目的也就是想看一下就是奥勒奇中国的商品里面吃的东西大概能占多大比例嗯这么说的确是因为在商超的产品里面吃的占多少比例是一个怎么说呢对于这个商超形态的一个基本扫描的一个核心关键点怎么定义这个商超是什么形态商超对吧首先我们可以看一下狭义的生鲜也就是蔬菜加水果那在3月18日的统计当中总共是有193种这个占商品总数的13.2%
[00:15:06] 然后在我这个粗糙定义下的忌食品就是拿起来就能吃的商品呢其实是占到了商品总值接近30%而如果我们把忌食品零食酒类和水果这些统统拿起来就能吃的东西加在一起呢是有927种这个超过了商品总数的60%而家庭客户这类不能吃的东西合计只有不到100种所以一个基本的结论就是中国的奥勒奇他的商品基本上是围绕吃这样一个核心需求来展开的这个也跟
[00:15:35] 河马会比较类似吧因为河马是一个生鲜型的超市当然具体这个河马的生鲜里面因为会有像那个海产品啊这种生鲜水产品这些部分那这个奥勒奇里面基本上是很少的对但是你如果看河马NB的话他就把那部分也都砍掉了对做这个统计呢也是想跟欧洲的奥迪超市对比一下还是引用奥迪德北官网的介绍就是他们说他们全年供应的蔬菜和水果合计是120种
[00:16:01] 那比中国的少很多对中国相当于增加了50%以上的蔬果供应这个增加需求其实主要是绿叶菜和石令水果这也很明显因为目前奥勒奇主要在上海这个市场的需求得吃绿叶菜其实中国的消费者整体来说都会比别的一些市场要更需要新鲜的绿叶菜对如果跟什么德国人一样只能吃什么土豆洋葱胡萝卜是不是也太惨了一些另外在这个品类划分里面在非食品的部分还能看出一个很大的区别
[00:16:30] 因为在其他国家的奥迪超市里面一般会留两到三排矮的货柜去专门陈列当周促销的一些日用品比如说一些纺织品小家电原液甚至是电脑产品很多国外消费者其实很喜欢这个部分的逃货因为就是每周限量促销就可能你这周去了不买下周就没有了
[00:16:50] 所以他们觉得这个部分是很有意思的但是在中国市场显然这类需求主要是靠电商平台来满足的跨电满减就够了对不是靠奥勒奇满足的所以我们看到中国的奥勒奇基本上就把这块直接砍掉了对吧它在一些矮柜有可能放的是一些现在促销的或者是当季的一些吃的蔬菜水果比较多多放几个柜子绿叶才不好
[00:17:12] 之后我们再看一下这1641个奥勒奇商品当中自由品牌的比例其实是超过了86%剩下14%不到的商品主要是一些你在任何地方都能买到的大牌子比如说可口可乐乐视光明好欢乐然后线下门店也可以观察到一个现象就是有一些比较小的非自由品牌就是那种新消费的品牌它其实经常出现在零期促销区它其实是作为这样一个销售渠道来存在的
[00:17:39] 自由品牌这个点的话我相信其实对于如果有那种奥勒奇实际消费体验的听友来说应该是非常熟悉的就两三年前初逛奥勒奇的时候很多的品类还不是自由商品就是买了很多东西其实还是一些别的品牌了比如说我经常买一些家庭客户的像洗手液啊等等的现在的话就是基本上都被这种包装风格统一的自由品牌给取代了家庭客户那个角落就看着一片白的东西蓝的白的
[00:18:05] 那接下来我们继续来看一下自由品牌当中的细分情况澳大利亚中国有几个比较大的自由品牌线首先就是这个一片白的这个超值系列它在3月18日占到了商品总量的10.7%然后有一条线叫做Urban Eaters城市厨房就是那个澳家厨房那个吗还是带上一些就是那种什么三明治沙拉那些的对其实都算你仔细去看它有个很小的一个标
[00:18:29] 这个部分是占18.8%然后生鲜系列就比如说那个水产品也好蔬菜也好它会打一个标叫Marketplace包括鸡蛋也是它是占10.7%其实外还有零食线有一条很重的线叫做Audi Delight对然后还有饮料里面有一条线叫寻路对这些其实都是以上讲到这些都是中国市场基本上是独立开发的自由品牌线是中国市场独立开发的这边我稍微Q一个我自己的小问题就是我因为奥乐器买的最多的是牛奶它那个
[00:18:58] 品牌就叫优白嘛这个到底算不算是中国市场自己开发的自由的品牌还是怎么样优白的情况有点复杂就是它应该是LD在澳洲开发的一个自由品牌然后把它引到中国市场然后引到中国市场以后呢它大部分的产品是由本地供应商贴这个牌来做的然后但是呢有少部分是
[00:19:20] 进口的比如说优白的冷鲜奶它用的就是长三角的供应商但是呢它的常温奶就是由澳洲进口的此外还有一些优白的奶酪产品可能你不买但是我这次仔细看了一下它可能是来自丹麦可能是来自英国或者来自荷兰的我买的买过的但是一般般后来我不买了所以简单的来说就是优白这个它其实是本来就有的一个自由品牌它引入了中国但是在中国的之后呢它其实用了一些本地的供应商但是还是用这个牌
[00:19:48] 然后当中少部分的比如像常温奶这些它还是走纯进口的产品也是从海外来的这样的情况其实在几条比较重要的自由品牌上都存在
[00:19:57] 比如说它有条啤酒线这个牌子是K开头的实在是不会读德文它的一部分商品是从德国奥地利或者法国进口的那另外一部分就是在中国宝吉中国德州中国抚阳和中国烟台等地生产的另外关于奥乐奇自由品牌进口其实有一个调整的过程就是早先这个门店里面自由品牌当中的进口比例可能是更高的但是目前奥乐奇中国的1641种商品里面只涉及30个奥迪在海外开发的自由品牌
[00:20:27] 其中十个品牌在中国市场销售的商品数量少于三个的就是很小很小的比例就是它更相当于一种彰显品牌血统在货架上的点缀所以在这个自由品牌比例大幅增加的同时其实本土供应的这个自由品牌的比例也在大幅的增加就是一个奥勒齐进入中国之后的本土化的一个过程
[00:20:46] 简单总结一下这部分的整体的扫描和分析首先目前奥乐奇中国的商品数量是在1600个左右实际上比它的国际标准是要更加精简了一些其次这些商品当中拿起来就能吃的就是吃的部分是占60%狭义的蔬菜水果占了13%其中绿叶菜是增加了很多的一个部分然后不能吃的像家庭各户只占10%不到最后奥乐奇中国有86%的商品属于自由品牌
[00:21:14] 这个当中既有奥勒奇中国自己开发的也有从其他市场引入的自由品牌但引入的这个部分当中呢也有本地生产的还有一些纯进口的后者越来越少了
[00:21:27] 那讲完了奥乐奇中国整体的这个商品的情况接下来我们来进入当中的一个今天讨论的重点就是超值系列这个部分实际上是奥乐奇中国在过去一年里面最受市场和受众关注的一条线吧我自己感觉啊因为经常会出现一些超低价的爆款的那种就是标题什么三块九的安心库四块九的这个马苏里拉披萨七块九的
[00:21:53] 冷鲜的那个鲜奶还有什么19块9的云南蓝莓啊包括什么老白干等等我们提到过的就是除了老白干以上你说的所有东西我都买过老白干我也没买过反正最开始看到这个系列的时候说实话我是有点抗拒的因为这个包装设计实在是我觉得它很像一个什么用PPT随手做出来的东西就是一个白底几根线几行字结束了感觉握着眼子操作的一个东西我也能做这是这个包装设计啊
[00:22:21] 但是架不住便宜啊而且研究下来确实得到了一些很有意思的结论首先就是几乎每周都会有新的商品加入到这个超值系列里面那我们假设有那么一个人他非常喜欢奥拉西中国这个超值系列啊他决定一次性把这个系列每件买一样全部都买齐他超爱的他超爱啊
[00:22:42] 但是有这么一个超爱的人那么他在3月18日呢他会买到174件商品合计支出是2164块4毛4而到了4月4日呢他就会买到216件商品他的合计支出会上升到2711块6毛7这个很有意思啊就是在约老师帮这位朋友这位超爱的朋友统计的这半个月左右的时间里边吧其实这个奥勒奇的
[00:23:08] 超值系列的这个自由品牌已经上新了很多新的产品了那举几个例子这期间新增了一些什么商品呢有9块8一升装的小青柠汁饮料有2块9毛9到6块9不等的五种冷鲜面点有9块97包装的红烧牛肉面等等不过也不是说完全这个部分只进不出的有四个商品是下架的分别是
[00:23:31] 国产五子红体国产火龙果然后有一种口味的气泡鸡尾酒以及我现在还在用的一种润唇膏这个都找到了所以它这个更新其实比我们想象的要快很多或者是频率要高很多那接下来一个问题就是我觉得大家最关键就是这个超值系列到底便宜吗就是便宜多少这个事情肯定没有办法一句话解释我们就试着提供一些指标
[00:23:57] 首先是一个中位数价格的指标这里不取平均数的原因呢是因为有两款量饭庄的超值系列葡萄酒是99块这个就是比别的超值要多一些位数了贵比较多拉高这个平均数水平所以我们看中位数3月18日3月20日和4月4日都简单统计一下这个超值系列的价格中位数分别是9块4毛59块8和9块5所以大致可以把超值系列看成一个在9块9这条线附近的
[00:24:26] 一个产品组合对9块9似乎正在成为奥勒奇的一个价格招牌对在4月4日呢是有142种超值系列的商品价格是在9块9级以下的那其中正好9块9的商品是27种而且针对超值系列奥勒奇中国还经常做进一步的降价我们就拿3月18日和4月4日这两个时间点的价格变化来看一下就在这个期间呢有47种的超值系列商品降价了
[00:24:52] 这涉及到了蔬菜肉芹烘焙零食等多个细分品类其中有12个商品的降幅是在10%以上的哇都已经是超值系列了还要降10%显然是不指望在这个部分赚多少钱了而且可以看得出就是这个奥勒奇对于超值系列非常的重视上新的频率很高同时呢还会保证它这样一个吸引力就是你刚才讲了就是有上新的也有淘汰的那么有降价的是不是也有涨价的
[00:25:18] 确实有涨价的但是很少可能就几种商品比如说春笋 薄皮胶贝贝南瓜和冷鲜鸡翅中就这四种商品在我们看这个3月18日到4月4日之间的价格涨幅就是在一块钱及以上的贝贝南瓜我正好在你说的这个时间之前和你统计这个时间之后各买了一次确实涨价了
[00:25:39] 总共涨价的超值系列上面也只有六个我觉得还是受实力影响或者说短期供应的影响会比较大这个是可以接受的一个变动价格部分我就大致聊到这里针对超值系列其实还有另一个大问题就是为什么可以做到这么便宜这里奥拉奇中国官方给到过第一财经杂志给到过一些反馈这个理由很多就是简单概括一下首先就是什么大规模制采购可以压成本
[00:26:06] 这个大家都会用的还有呢就是针对竞争对手的通货产品以及就是原来的产品呢一直在做一些高频的比价和比货然后根据这个结果呢跟供应商做多轮谈判还有在采购量比较小的情况下呢他们会利用一些供应商的闲置产能产线然后来交叉生产还有呢就是从爆品来带动其他单品比如说原来在一个供应商手上只做一个产品现在可能做两三个
[00:26:30] 提升总拿货量以后呢再去谈价格就有优势还有呢比如说销售量提升以后呢物流成本也有改善的空间比如说你原来只能装半车的货现在装一车了这个平摊下来每件商品上的物流费用就少了嗯我知道很多的这个听友有可能你非常的想要知道就是这个如何把一个商品的价格打下来这个问题但是对于在商超里面这个真的非常的复杂而且就是有很多商商是一事一意的或者是有很多非常具体的东西不是说一招先的我感觉可以做一期节目啊
[00:26:59] 但今天我们因为这个节目就像刚才讲的还是从公开资料出发所以这个部分我们可以先放一放就是这个部分就是不太能从公开资料上面直接得到结论的对所以我们想换一个视角就是从产地的角度来看这个问题
[00:27:11] 而且我们在中国讨论这个问题其实有点先天优势的什么叫这个讨论产地的问题有先天优势是这样子的就是在欧洲的很多国家以及美国的话是没有明确的法律法规规定说你这个超市的自营品牌必须标注它原本的代工厂是谁的有可能你只需要要求标注经销商就可以了而IOD它是自营模式它自己就是绝大多数商品的最大经销商这个原则其实就是非常有利于它这个所谓的保密的这个要求
[00:27:40] 其实同样的情况还出现在TraderJones身上因为TraderJones有大量新奇特的自由品牌但是大家很难刺探到说这些商品到底是由谁代工的除非是出现了问题需要召回才会强制披露但是在中国市场一个所谓的自由品牌或者贴牌这种商品它的委托商
[00:27:58] 代工厂以及产地的信息都是直接印在这个产品上面的非常公开透明所以除了价格以外其实观测奥勒奇超值系列的一个重要的信息就是它的代工厂和产地这里简单分享几个结论首先还是那个他超爱的那个买所有超值系列产品一个的人对这个人呢他在4月4号他的
[00:28:19] 购物车的商品会涉及到全国23个省级行政区的工厂或者是分装商另外它还会涉及到5种进口商品分别是来自澳大利亚的燕麦片来自巴西的牛排来自比利时的速溶咖啡来自菲律宾的香蕉以及来自智利的葡萄酒那要不我们还是先把重点放在国内的23个省级行政区吧其中大头是两个一个是长三角这一大片还有一个是山东
[00:28:43] 那长三角这一大片显然呢它是门店的周边区域它的供应肯定是很重要的那山东呢是蔬菜大省主要供应一些蔬菜对吧那像上海呢涉及到52种商品的供应那核心就是我们前面说的新鲜的蔬菜以及冷鲜产品江苏和浙江各自供应37种和24种商品安徽供应16种山东供应18种从散装江苏的角度我们还可以继续拆分还可以细化到
[00:29:07] 南京 长州 湖州 淮安 南通 苏州 宿迁 泰州 无锡 盐城 扬州这一串城市不愧是三床的苏州 对不起此外还有一些我觉得非常有意思的特殊产地可以给大家报一下比如说张家口为什么会种菠菜苗 胡萝卜和娃娃菜河南焦作为什么会生产白桃汁和苹果汁吉林的辽远为什么会出产丸熟青梅酒这么一个东西然后遥远的贵州安顺会为什么会产猪肉酥
[00:29:35] 然后这个黄金鸡块又为何来自河北南方的某个回族自治县感觉岳老师又挖了一个城市就是这样的坑的就是我确实非常的困惑有没有人能给我解答一下这个东西好的今天这期节目不停的挖坑
[00:29:50] 前面的话都是一些产地层面的讨论和梳理接下来可以看一看委托生产方这个层面我觉得这个有可能大家更加关心一些这个方面我觉得确实值得一提就是很多的大品牌确实也是奥勒西中国的代工供应商比如说凉油部分可以看到义海嘉丽和路易达福乳品方面有新希望纸品有两家供应商一个叫中顺节肉一个是泰盛集团泰盛集团我原来不知道的后来查了一下他说他号称是有亚洲最大的竹浆产能
[00:30:18] 就拿这个部分来竹浆纸来造另外奥乐奇中国也会跟一些地方品牌合作比如说它的豆制品来自于汉康然后苏打水来自于盐中这个可能外地的朋友们都不太清楚这个都是上海本地的品牌但是反过来说不是说所有的奥乐奇的超值系列产品都是大牌代工比如说葵花子油然后我们家有一桶就是很早以前买的我看了一下它原来本来是一个相对比较小一点的就是江苏的本土企业去代工的后来才换成一海家里的
[00:30:46] 所以说购物的时候呢还是可以仔细甄别一下这个配方和配料的部分或者尝试一下就先看看合不合自己需求再做决定不要完全就是信大牌这个问题所以它其实从小的一些代工商换到了一些大的代工商也跟它的这个规模或者说是需求量的扩大有可能是有一定关系的
[00:31:03] 那前面呢我们针对的是奥乐奇中国的超值系列商品从价格和生产两个角度做了一些深入的探讨和梳理那是聚焦在这个超值系列本身的接下来我们来做一些对比就是把超值系列和另一个重要的竞争对手就是河马NB来对比一下在上海奥乐奇和河马NB这两个超市品牌的运营策略是高度一致的不管是门店的面积销售的商品总数还是定价上面就是这两个东西看上去像一个牌子
[00:31:33] 然后门店分布上其实也有很多短兵相接这种感觉门店方面呢此前请西营县城市研究所的同学帮我们跑了一些数据还有一些初步的结论奥勒齐目前的选址还是以上海市中心高人口密度的地区为主像徐惠长宁和静安是他门店最密集的三个区
[00:31:50] 那这些区域的消费者基本上是可以步行或者是靠自行车啊电动车这种短途的交通工具去奥勒西买东西的所以确实是所谓的社区超市这个概念那郊区方面呢它目前主要还是在浦东新区的近郊一些成熟社区里面去拓展但是从2024年开始你去开始拓展一些像远郊区的像金山这种大店的模式
[00:32:11] 而在竞争方面的奥勒齐的67家上海门店当中有39家附近开有河马而河马在上海的70家门店里面有54家也位于奥勒齐的辐射范围内我自己见过一个很极端的案例是西藏南路地铁站就是一个大型的十字路口大家可以想象它是斜对角一个角上是河马NB一边是奥勒齐住在这个附近的消费者应该很开心吧就是再贫的商品都可以天天比价比新鲜度对吧贴身若薄
[00:32:39] 但是在我实际在这两个店的观察来看就是河马NB的客群年龄层明显是偏大的奥勒西还是以中青年为主虽然说这个策略上面是很一致的但是消费者之间还是自然的形成了一些分野那要么接下来我们具体的来比一比这个超值系列和河马NB的产品对这个就
[00:32:56] 不比这么多种了我们稍微再缩小一点范围是这样的就是我从奥勒奇的这个超值系列里面挑选了20种相对基础的民生物资就是民生物资概念就是你每天都可能会吃或者会用或者会在家里囤的东西然后这20种商品还要满足另外两个条件就是第一它要在河马NBO同款第二呢你就是在奥勒奇里面能找到比它稍微贵一点但是几乎是同款的一个柜体
[00:33:22] 超值系列有一个山东红富士但是呢同时也会奥勒西兹也卖陕西红富士那就是一个贵体的概念然后或者说你从上海青升级到什么宁夏青菜展然后之后呢我们就把这个东西叫做贵体系列就是相当于三个系列的对比就是超值系列贵体系列和荷马NB那么你这个20种商品要不简单的先介绍一下又要报菜名了这20种商品分别是软香米鸡蛋挂面葵花籽油多用土小麦粉主食面包
[00:33:51] 冷冻肉包白菜猪肉水饺上海青红富士常温牛奶鸡大胸猪肉丝鸡蛋苏打饼干瓶装水橙汁啤酒卫生纸湿巾和洗洁精报完了报完了那而且我挑选了两个时间点呢看价格分别是3月20日和4月6日刚刚这个蔡明这个购物车怎么说呢既有生活气息但是又有一些清新寡欲
[00:34:18] 那接下来就分享一些结论啊首先看3月20日的总价就是还是一个超爱的人就是这20种商品各买一样的话那在奥勒奇超值系列的话它总共会花出去244块3那在贵体系列里面它总共会花348块6而河马NB呢要花271块5哦那这么看的话超值系列确实很超值啊
[00:34:40] 这里边我首先要问的一个问题就是我有点没想到河马NB会比超值系列要贵出20多块钱还蛮多的10%了这个不是说好的贴身竞争吗这里面有一个干扰因素就是规格有差异比如说河马NB它也有白菜猪肉水饺但是它是两公斤装的巨大一包阿勒奇超值是一公斤装的
