Vol.85 2022“金字招牌”特辑：哪些品牌统治力突变？
[00:02:59] 然后和竞争对手相比的话它超过了特斯拉成为了上半年这个全球销量最高的新能源车品牌当然这个销量里面应该是又有纯电动又有插电混动的吧所以说比亚迪跟特斯拉相比还是占了一些便宜的对的因为特斯拉只有纯电啊但比亚迪确实卖的非常好就你周末去它的4S店的话销售有可能都没空跟你去介绍车型因为有太多的客户等着签合同就你能体验到那种火爆的感觉
[00:03:26] 而且除了新车市场啊就是在股票市场上面比亚迪也因为他业绩大涨所以说市值也大增一度是达到过全球第三的这个市值仅次于特斯拉和丰田所以我们这一趴主要就是来聊聊比亚迪为什么卖的这么好吗差不多然后我们大概总结了三个原因首先第一个要聊的就是市场背景整个新能源市场的销售啊其实都起来了然后比亚迪是当中表现比较好的一个
[00:03:53] 根据今年上半年的数据中国每卖出五辆新车其中就有一辆是纯电动的或者是插电混动的就是要用那个充电桩充电的也就是说新能源车的市场渗透率已经超过20%了有一个很有名的理论叫创新扩散理论是说如果一个新的产品如果它的市场渗透率超过了10%那接下来就开始快速普及了那现在都20%了那其实离30% 50%就非常近了而且是一个很确定的趋势了
[00:04:22] 是的那这个20%这么大的规模背后呢有一个非常重要的点值得一说就是现在啊新能源车消费的主要的推动力不再是政策和补贴了而是消费者个体的这个选择我们看到一个8月和9月的数据啊就是三分之二的纯电动车的销量是来自那些没有限排政策的城市因为你知道限排政策的话一般都是会鼓励新能源车的马上上海
[00:04:47] 甚至我在身边看到过一些极端的案例就是在上海有朋友的新能源车上面是挂着蓝牌的也就是说他原来是一个开油车人然后直接置换了一辆电车把油车的牌装在电车上是的那这个其实就很说明问题了就是消费者是单纯的觉得这个电车比较好然后我想要买它而买不是因为一些政策的原因了那么在这种趋势的下面其实不单单是比亚迪很多的新能源车品牌都卖得非常好
[00:05:14] 这个就是我们所谓的市场趋势的第一点那第二点呢就是本土品牌在这个过程当中获得的红利有可能更大因为他们借着新能源这个浪潮啊提升了自己的品牌溢价或者说品牌的这个定位也就是说可以卖的比原来更贵对就直白来说就是这样这一点其实非常重要因为大家熟悉的话就知道本土的汽车品牌有一个说了十多年的目标叫做品牌向上就是尽量把这个车做的性能好一点配置高一些能够卖的贵一点
[00:05:43] 因为在汽车店里面如果你越贵的车它的利润率一般就越高但是过去就本土的车型是很少能够卖到20万元以上的消费者心里上面有个天花板就是觉得到了这个价格你就得买合资品牌的或者进口车了你买本土的品牌就不值得相当于电动车是把这个20万的天花板给打破了对的就我们现在来看的话电动车没有了发动机变速箱这两个最大的技术门槛然后消费者的这个心态它也更开放了
[00:06:09] 就不会完全的继承在燃油车时代他们固定的那种品牌的定位再加上好像蔚来理想这些新公司他们开始卖三四十万的车那么就会有越来越多的消费者认为我花一个高价买一个本土的电动车并不会显得自己非常蠢而比亚迪其实也受益于这个过程它现在一款明星的车型就是比亚迪汉它就是一个平均车价超过20万元的一个中大型轿车
[00:06:34] 然后每个月的销量能有两三万辆这其实是倒推五年的话是一个很难想象的事情嗯其实这个价位过去一般来说选择就是买什么凯美瑞啊雅阁或者帕萨特之类的比亚迪之前好像也没有这么贵的车吧对的本土品牌的电动车突破了这个天花板之后受到冲击最大的就是这些合资品牌因为不单是20万元以上的市场啊就是在15万元以下那些合资品牌也会在的市场里边他们都会受到冲击
[00:07:01] 就是整体消费者就觉得一些本土里边比较好的一些品牌他们不差了开出去也不丢人了就不一定非得买合资的了这算是个比较明确的性质变化这也是由整个电动车浪潮然后包括几家头部创业公司带过来没错那上面两点的话就是我们关于市场趋势这个部分的原因分析当然在这个趋势里边比亚迪能够最领先他自己肯定也是做了很多事情的所谓个人的奋斗的环节了对
[00:07:28] 个人奋斗当中我们提两点第一个其实是设计之前比亚迪在电驱动方面的技术的积累包括它本身的名声已经满到位了消费者也比较认可了但是为什么还是觉得这个牌子卖不了高价然后有可能有点low呢很大的一个原因就是设计过去比亚迪还有很多本土品牌在这个车的造型设计上面真的是我记得最早还是用手机打车刚兴起的时候
[00:07:56] 最常见的一种能叫到第一列车就是那个比亚迪琴那个尾灯非常的熟悉对的所以那个时候设计真的是很大的问题那比亚迪自己也是知道这一点所以他在2017年的时候有个很著名的动作就是聘请了原本奥迪的设计总监过来然后呢这个整个公司就逐渐地改善了设计尤其是这个车的外形我们其实在很古早的一期节目就是第十期里面提到过这一点
[00:08:21] 就是车的颜值这个事情对于中国消费者来说还是非常重要的对是很大的影响他们买车的决策的一点那么比亚迪除了聘大师以外还有一点很重要就是他给了大师以及整个设计团队足够的权责就是他们整个把设计拔高到了和技术同样的地位在他们的内部就叫做双轮驱动
[00:08:43] 你想想看如果只是请了一个所谓的设计大师但是在整车开发的流程当中你像供应链制造等等部门都还是能够对设计指手画脚然后领导也能指手画脚设计师没有足够的空间的话那其实也是出不来好的一个车的就是所谓酷炫的那种概念车谁都会做嘛关键就是落到量产车上面它是不是还是那么好看那就是这个点那设计这个最大的短板补上之后比亚迪整个品牌上升就有了很好的基础
[00:09:10] 第二个优势的基础就是供应链我们前面讲新能源的市场形势一片大好但是其实这个行业也面临很大的困难尤其是在供应链上面一方面是锂电池的一个主要的原料这碳酸锂的价格非常的暴涨另一方面就是芯片的供应不足就是缺芯的问题一直还在很多车一方面他们的单车毛利其实是缩水的因为电池的成本上升另外产能也不能完全的发挥出来因为芯片的车轴
[00:09:39] 在这个方面比亚迪有一个优势就是它自己生产电芯然后还生产像IGBT这样的一些电驱动系统当中的核心零部件虽然原料的成本上升这个它没办法完全的解决但是它至少可以保证就是相对稳定的供应有这个基础就好很多很多
[00:09:56] 因为保证产能这一点在一个快速增长的行业里面是非常非常关键的我们经常觉得供不应求是一个好的事情但有的时候也是一个很大的危机因为你无法在市场快速变动的时候占到一个很大的份额那一旦等这个市场稳固下来了你再要从别人手里去抢那个蛋糕就会难很多我又记得过去采访通用汽车中国的老大钱惠康他就跟我说
[00:10:20] 他职业生涯压力最大的时候是在2009年的时候他去领导上汽通用50的那个阶段那个时候中国的汽车市场是个大爆发他要想方设法的尽快的扩大产能来赶上这个市场的增速那这个事情呢反而是比市场萧条的时候让他更苦恼简单小结一下我们这次金字招牌大众类汽车榜单第一名就是比亚迪它的业绩呢就是跟实际上的市场销量很吻合
[00:10:47] 比亚迪能登上保守简单分析一下原因啊市场背景呢还是说电动车浪潮带动了整个本土品牌的定位升级比亚迪自己呢是发挥了过去几年在供应链和设计上的优势所以才能站上长头没错
[00:11:03] 那接下来我们就进入到第二个品类就是碳酸饮料如果这个时间退回到四年前的话碳酸饮料这个品类其实我们可以不讲因为它算是我们金字招牌这个榜单里面结构最稳定的一个品类永远是两大可乐品牌占到头名然后可口可乐呢又能比百事可乐再高出一截这个统治力非常强但是有了元气森林之后这个事情就不一样了对吧对
[00:11:27] 一个比较显著的变化是原本我们在这个品类里面给大家提供的选项就是品牌选项的话大概是三十几个这两年因为越来越多的新品牌出现了这个列表已经有五十几个了就带来一个问题就是很多时候这个选择也不是说越多越好反而是市场上选择越多你越头疼新的产品很难给大家留下更深的印象我也看了这两年调研的数据
[00:11:53] 消费者这个偏好度如果能有正的1%就是你喜欢程度超过你失望程度超过1%的话你就可以在这个内幕里面排到前十甚至像今年的话就是超过1%你可以进到前六但是偏好度如果在负的1%以下的一般也就只有一两个就是说大家明确讨厌你的也不是很多就一两个过去好几年都是娃哈哈格瓦斯垫底今年就变成了元气森林
[00:12:20] 那么其实在这个正负1%之间就是很多很多那种消费者既想不起来夸你也想不起来骂你的那种品牌所以加在当中本身反而是比较危险的一个信号对吧等于你这些公司花了大量的资金去做新品打广告铺冰柜结果没什么效果不过话说回来啊就今年元气森林啪一下子掉到最后一面的话还是我看到这个结果也蛮出乎意料的因为他从进这个榜单开始就一直是一个
[00:12:48] 排名很高的一个位置一直在和可口可乐来缠斗2020年的时候还在我们这个榜单上面把可口可乐的这个金字招牌给打掉了所以为什么今年跌得这么惨如果我们从就是我们调研数据就是消费者具体失望的原因来看的话大家主要是觉得元气森林的问题出在口味营销和性价比这三个方面那我们就从这三个点来开始讨论首先是口味
[00:13:12] 元气森林的两个特色就是代糖加果味嘛然后这两个都有一些比较难以解决的工业味的那个问题就是有点香精感而且水果味型呢它的复杂度没有可乐那么高因为可乐是一个比较复合的味型营销方面呢我们觉得可能是一个老生常谈问题就是元气森林最早假装自己是一个日本品牌这个大家后来意识到以后就非常生气最后是性价比
[00:13:38] 元气森林好像没有想过去做那种小规格的气泡水它如果做小规格的话其实是可以打那种伊拉冠可乐的这种三块钱的价格带嘛它一直是做那种500毫升的大瓶去压五块钱的价格带其实说像别的碳酸饮料啊茶饮啊果汁包括一些酸奶的品牌其实都挤在这个五块钱价格带上这个竞争真的异常激烈对就是在那个便利店的冰柜里面不时的真的能看到一些新的瓶装的产品
[00:14:07] 都是五块钱反正对另外的话今年还有一个事件我印象还蛮深的元气森林是声势浩大的做了一个自己的可乐味气泡水结果后来我在货架上都没看到过对这个事情肯定涉及到两大可乐品牌本身的那种渠道保护的动作就是肯定不让你去上架其实元气森林刚出来那两年可口可乐是一方面不让他去进货架另一方面也做了一个全新的代糖果味品牌
[00:14:35] 来阻击它这是一个叫小宇宙阿哈的品牌那现在元气森林相当于直接踏足到了这个核心战场就是他也做可乐味嘛那么两大可乐品牌拿出来的这个对抗方案肯定就更不留情面了另外就是可乐味刚刚也说了它是一个蛮有意思的复合卫星它本身就是所谓碳酸饮料当中经过反复磨炼就是稳定且有效到能够进入到消费者潜意识的一个卫星
[00:15:02] 这个怎么说呢就是你如果缺糖分然后又想要刺激的时候你的第一反应可能就是我想喝可乐然后第二步才会进入到具体的品牌品号比如说我想喝可口可乐还是喝百事可乐我想喝无糖还是有糖的即使是代糖这种方案因为口味上面可能没有传统的可乐配方那么好喝但是两个公司的产品其实也在市场上投放了很多年消费者都已经很熟悉了
[00:15:26] 我觉得元气森林做这个方向的基础判断是对的就是做可乐这个事情基础判断是对的但是挑战难度非常大而且你不解决渠道和性价比的问题的话外界就始终觉得你这个就是一个碰瓷式影响这个对品牌伤害是比较大的理解了就是说你在可乐们还没有搞过的战场就那种之前的气泡水什么的你还能打一打但是你现在要直接在可乐这件事情本尊上面跟他们斗了其实这个难度就一下子提升了很多
[00:15:55] 对难度非常大那刚才讲的话其实都是元气森林这个部分那除了这个以外的话碳酸饮料这个榜单里面还有哪些你觉得可以提一提的一些点吗有几个首先是无糖苏打水和天然气泡水这其实是个很小的方向过去我们在这个方向上面给的品牌选项就是巴黎水屈臣氏和圣培路今年其实也只是加了泰象和Wals这一共就五个品牌嘛
[00:16:22] 就只能占到整个列表的十分之一但这个小的方向其实认可度蛮高的这五个品牌当中有四个是排到了前十位然后其中泰像因为我们今年刚加进去然后它直接就排到第三名这可能就跟茶饮市场前两年那种偏好迁移有点类似就是大家开始从有糖茶转向无糖茶那么饮料也有可能是从有糖或者带糖的产品转向无糖的产品
[00:16:47] 现在就大家过去是说没有糖但是要有味道现在没有味道也可以了是吧对的然后无糖产品这个偏好度提升是一个方面还有一个就是前几年碳酸饮料这个方向上面就是中资品牌有些特点就是老字号和地方品牌翻新的案例非常多比如像北冰洋健力宝都是很典型的案例还有像地域性比较强的盐中啊郑广和这两个是上海品牌
[00:17:15] 冰封是西安品牌然后像八王子汉斯小木屋反正基本上所有8090后小时候喝过那些牌子都被翻出来重做了一遍我记得在2019年市场上开始讨论所谓新国货或者国货复兴的时候这些都是典型的案例就是这些老的汽水而且他们这些品牌引入了新的管理团队然后做一些所谓更适合年轻人的包装和营销方案之后确实有一波小规模的出圈
[00:17:43] 然后他们也开始在探一些像电商或者是过去不太走的一些传统渠道那么现在三四年过去他们效果怎么样就是看看效果数字确实有点意思首先就是北冰洋确实是各方面都做得不错的它在消费者心目中有了一个比较稳定的印象就是它的排位一直是还可以而且比较稳定的一个结果但我觉得这个产品的性价比确实还有很大的提升空间卖的太贵了
[00:18:08] 其次是有一些地域品牌的讨论度确实上来了
[00:18:36] 最后呢就是整个产品的口味上不能太突破比如说黑松沙士这个比较典型那个案例啊这已经是连着几年倒数比较快了黑松沙士其实我个人觉得就是有可能你不太习惯啊但是稍微习惯了之后还是怎么说别有一番风味不过你说到这些老的这个国产的汽水的话其实我一直好奇一件事情啊
[00:19:03] 就是你像北冰洋啊健力宝啊冰峰啊其实给我的感觉他们做的这个口味和传统的芬达或者美年达还是味道上面比较类似的都是橘子汽水对就是都是橘子汽水但是你看芬达美年达这几年在我们这个金字招牌的榜单上面一直是倒数的就是完全没有像可乐那种老牌的一直占领先地位那种感觉反而是国产品牌好很多就是为什么呢嗯就为什么我不太能解释啊我也很困惑
[00:19:32] 关于本土老品牌和外资汽水巨头这些恩恩怨怨其实有很多历史资料和节目可以参考这里我们就不展开了我想顺着这个话题简单提两个点首先成味这个点我可以稍微解释一下就是因为汽水里面有碳酸碳酸这个要压这个比较偏酸的口感的话其实是需要找一个比较自然的带甜的味型是比较匹配的那么橘子本身就是一个酸甜味型的东西
[00:19:57] 而且橘子本身去提取方向物质相对容易一点也比较符合早年那种技术水平所以说早年不管是国内还是国外其实做橘子去水是一个大的潮流趋势自然而然的会走向这个结果其次就是如果大家去看这些本土老品牌的发展历史他们早期其实都是依靠了比如说进口的那种罐装生产线和一个基础的配方然后在这个基础上再改了
[00:20:23] 如果没有这些技术基础来生产出相应的产品的话
[00:20:47] 如果你去看这些创新的饮料产品你会发现它基本上都有一个非常大的代工厂在这个瓶子标签上面写着这个其实都是一些非常成熟的技术包括说有些配方也是被反复验证过的实际上市场上的创新是没那么多的但是表面上还是可以创造出非常多新的品牌和新的产品不仅是碳酸饮料包括茶饮和乳制品方向上也很明显开始有这个趋势了这种繁荣我们认为还是有些问题的
[00:21:15] 因为它还是浪费了消费者的一部分注意力也浪费了有限的市场空间
[00:21:22] 接下来我们就进入第三个品类是运动服饰这个品类的结果也是变化巨大首先是榜单前五名的部分分别是迪卡侬、露露莱蒙、红星尔克、安踏和亚瑟士其次是榜尾的部分然后去年的话因为众所周知的事件耐克和阿迪达斯是垫底的这次耐克已经回升到第九名然后阿迪是继续的垫底
[00:21:47] 感觉听到这几个排名就能想到背后各种各样的影响因素都不太用分析了对就很自然很直接是吧所以运动服饰这一部分呢我们先概述一下就是今年影响整个市场的一些重要的背景然后呢我想稍微精讲一下这个第一名迪卡侬是怎么一步步登顶的首先第一部分啊我刚看了一下过去历届的这个运动服饰的排名很感慨就是和碳酸饮料有一点点类似过去很稳定这两年变化真大
[00:22:16] 过去这个榜单第一名要么耐克要么阿迪就是一年耐克一年阿迪两家轮替在这个基础之上会有一些细分的品类然后借着诸如像运动时尚或者说是跑步这样的风潮会冲到前三名直到2020年还都是这样的一个格局是很稳定的但是到了2020年的时候因为这个新疆人的事件耐克和阿迪就从我们这份榜单上面就掉下去了然后另外一方面就是你看到很多的本土品牌原来是挤在当中的现在就趁势上来
[00:22:44] 而且他们当中的很多往往会强调民族国货这些概念所以你要客到李宁最近的翻车吗这个事件的话因为出在我们评选之后所以我还是不想多展开但是有一个基本的概念我觉得还是比较明确的就是运动服饰这个品类或者说这个产品它本身并不是一个天然需要和国别非常挂钩的一个品类比如说我觉得大多数的消费者不一定知道阿迪是哪个国家的公司是吧我知道是德国公司
[00:23:13] 或者说美国公司也可以你老师回答正确的啊但是说回运动服饰品牌的话我觉得对于这个产品来说真正能够提供一个长久的竞争力的还是两点一个是产品一个就是讲故事的能力而这个故事呢往往还是要和运动或者是体育本身挂钩的才会比较有效那其实这个就是耐克还是比较擅长的一个事情没错那从耐克这次榜单的回声当中也可以看得出来这一点啊
[00:23:39] 相比于阿迪的话一方面它在实体的经营上面情况要好一些在中国库存啊销售的压力没有那么大另外一方面呢耐克还是维持着自己讲故事能力然后也一贯的非常重视品牌的传播所以还是会给消费者很多去喜欢它欣赏它的理由那最后在我们的榜单当中呈现出来的就是喜欢它的人的这个比例和不喜欢它这个比例呢基本上是对半开喜欢的稍微多一些而阿迪呢之前几年比较亮眼的时候其实都是靠一些明星的产品
[00:24:09] 当这些明星产品过去之后它就逐渐就有些乏力了在品牌建设上面相对是比较缺失的像它的全球的营销负责人就在最近承认过就是公司在效果营销上面是花了太多的预算就是带货这个事情上面花了太多的钱而在品牌上面投入有点少了很难想象一个德美混血品牌会在带货上面花钱感觉是中国品牌这个就是第一部分说完了这些我们比较熟悉的这些运动品牌之后我们就开始进入迪卡侬的部分
[00:24:37] 其实迪卡侬进第一怎么说呢从过去历史成绩上来说有点意外但是放在今年的话其实不意外因为运动服饰这个品类怎么说什么品牌流行还是和什么运动流行非常相关的你像前两年有一次是Lululemon登顶的时候就是瑜伽开始普及的时候而今年排名第一的迪卡侬呢其实也是和今年流行的一些新的运动尤其是城市里边游行的运动或者兴趣爱好是非常紧密相关的比如像骑行啊露营这种运动
[00:25:06] 然后这两个运动
[00:25:34] 迪卡侬在这个里面其实有点作弊因为它相当于一半是运动装备品牌一半是运动服饰品牌其实我们这个品类选的是运动服饰但是它因为装备它赢了对 稍微有一点占便宜占一点便宜说回来就是像今年比较流行的露营包括说大的户外概念本身其实就是迪卡侬在欧洲非常重要的一个品类我记得很清楚小时候看过一个迪卡侬的帐篷广告就是它其实是一个包
[00:26:01] 然后你把这个包甩出去他自己就能展开变成一个帐篷非常酷炫记忆游戏那个广告所以迪卡侬这个品牌影响力的上升首先和这些运动相关但是另外有一部分就是迪卡侬自己也在中国市场其实做了很多的改变使得他自己更有可能来抓住这些新的生活方式或者运动的趋势我们的同事任思远和张思玉在今年年初的时候正好还写过一篇文章来讲这个事情
[00:26:28] 他们里面提到最重要的一点就是迪卡侬他更新了自己的品牌形象然后拓宽了自己的消费群这个动作恰好的迎合了现在流行的这些活动更新品牌形象我还有点概念就他好像确实最近换了一个logo但是就是拓展消费群这个事情要么具体再展开讲讲品牌形象这个事情我也稍微先讲一讲就不知道大家逛没逛过迪卡侬就是在他一些店的招牌下面其实除了迪卡侬三个字以外还有一句话叫做专业运动超市
[00:26:57] 这是他的一个品牌的定位那这个定位呢其实和我们过去对于迪卡侬的印象也非常吻合对吧他就是面向运动的爱好者的里边应有尽有然后他主打高性价比因为他是个超市嘛就是都是一个超市的概念所以你走进去啊能看到就是那种传统的仓储店的那种装修的风格或者就是说没有什么装修的那种风格但是现在迪卡侬就像岳老师说的他开始注重自己的形象了
[00:27:21] 他的一些新装修的店铺啊变得很像一个fancy的商场然后有很多玻璃啊等等的很亮堂他也搞了新的logo然后与之相伴的呢就是我们前面讲到的就是他的这个目标消费者这个定位也开始打开了他不仅仅是服务运动爱好者了还增加两个关键人群叫做家庭用户和活力女性家庭用户和活力女性
[00:27:44] 这感觉就马上都能guess到了就而且跟像露营啊骑行这种新新起来的运动是关系很紧密的是啊就这两个人群其实是目前城市人群当中运动里面消费很主要的一个人群就是会在运动上面会真正花钱的你这个家庭亲子就不用说了这两年已经有很多自媒体把迪卡东形容为一个小朋友和家长们的乐园了是吧这其实也是迪卡东的有意为之比如说他会和一些专业的这个
[00:28:13] 运动的机构比如说我们在那个稿件里面写到一个滑雪的一个培训机构叫迪乐就迪卡能的迪俱乐部的乐然后呢迪卡能会让这个机构在这里免费的给小朋友们上课上了之后呢你感兴趣就去报名这个机构的滑雪课程那等于是把这个商场或者这个超市作为一个体育活动机构的活动的主办地然后也变成一个很好的引流场所
[00:28:36] 那么顺便可以卖一点迪卡侬的装备对就这种门店里面的体验式营销其实这两年我们已经看到非常多的案例了很成熟了而迪卡侬做的相对比较好的一点就是他在中国的各大门店有很大的自主的决策权就是你现在摆什么样的货品然后主打什么样的活动店长是可以灵活安排的
[00:28:56] 这个事情还是蛮重要的因为运动这个事情啊在中国不同的城市不同的季节甚至不同的社区他们流行的这个运动都会差别特别的大所以你一定要去适应本地的这个客群我们的同事任思远在采访迪卡农在北京长银店的时候他就提到说这个店他发觉他自己周边的这个社区是什么呢就既有保障房的小区然后也有高价的商品房的小区关键是附近有十几座的小学和幼儿园
[00:29:23] 所以店长有段时间就把儿童的蹦床呼拉圈摆在他中心的过道里边在下午4点的时候这边就开始人声鼎沸了那等于是把迪卡侬变成一个社区里的重要的公务空间但我能想象到这个空间应该蛮吵的是的那这种比较自由的决策权在叠加上正好有一些现在流行的运动项目和他自己的产品优势比较结合加在一起之后迪卡侬就能够比较快速地抓住当下的流行趋势最后的结果也能体现在我们这个榜单上面
[00:29:54] 夸完了迪卡诺最后讲一个我们今年新增的细分品类叫香薰香芬因为是新增的所以说没有办法拿往年的数据横着比了但是要说起来的话这个品类本身并不新尤其是在欧洲市场这其实是个传统的东西这次榜单的前五名分别是祖马龙迪普提克香奈儿梅森马吉拉和宝格丽全部都是欧洲品牌怎么回事
[00:30:20] 其实如果再广一点的话像一些空气清新剂或者是带香味的洗护用品也可以能扩进来但我们这次选的品牌还是比较专精一点的除了很多的香水以外还有就是做香薰蜡烛或者是无火香薰之类的关注到这个品类呢还是因为国内外这两年都受疫情影响比较大有很多需要调节心情和愉悦自我的需求以及可能说居家场景也比往年更多一些
[00:30:46] 过去我们会说年景不好的时候会有所谓口红效应嘛但是因为现在大家都戴口罩了甚至是居家了这个对于化妆品的需求呢也会相应有点下降那相熏相分反而能够补上一点这个大的背景呢不仅有利于这些传统的欧洲品牌对于国内创业公司也是很大的利好第一财经杂志其实在2021年的年中就专门写过一篇国内这种相熏相分创业公司的稿子
[00:31:12] 当时我们判断是其实电商平台和这些有钱的创业公司在共同做大这一轮消费趋势然后其中有很多利用进口电商或者说社交网络的中国式营销方案而且呢国内的这方面的代工产业其实非常成熟然后利润率很高有利于品牌继续增长但是难点也是有的一个是技术门槛比较高的调香环节另外一个就是所谓的品牌认知度的问题
[00:31:39] 这两个我就比较陌生了约老师要不展开讲一讲看好呀先说调香这个环节调香这个环节的核心其实是所谓一些香精公司这些公司是负责为品牌做香型的研发也做一些香精原料的生产其实卡住了整个链条上面非常重要的两个环节看了一下目前全球前十名的香精公司基本上能够把整个市场上的所有需求覆盖完然后第一名的公司叫奇华顿
[00:32:07] 它一家就可以吃掉四分之一的全球市场份额相当于这个行业集中度是非常高的这个香水和香氛那么多品牌然后结果上面的这个核心的香精公司供应商是这么集中的又是那种比较典型的小众的上游公司然后牢牢的掐住了这个行业的命脉是吧对的然后在香精公司和香水公司就是有些比较厉害的香水公司里面还会很重视另一个岗位叫做调香师调香师这个岗位的培养过程非常长
[00:32:36] 因为这个人不光要熟悉很多香精的特性然后这个香精和自然香精有什么差异点怎么把各种香精搭配组合在一起然后还要能够把这个配方做具象化的描述甚至拿它来直接讲故事那这个过程中不仅需要很多年的经验而且还需要很多丰富的想象力我不好意思我因为最近刚刚玩那个阿尔登法环所以对调香师这个职业有一种别样的情感
[00:33:03] 如果大家不玩阿尔登法环的话我可以推荐另一本比较正常的东西就是一本叫做调香师日记的书然后这个作者呢就是创造了爱马仕大帝的一位著名调香师叫阿莲娜阿莲娜在这个书里面写到她的她就是个日记嘛她写到自己的日常其实不光是试各种香精然后去找那种供应商
[00:33:24] 其实还包括他去研究什么蔬菜水果然后在欧洲各地旅游然后平时读读文学作品跟人聊聊天什么的这些其实对他创作都是有帮助的总之是一个很有意思的职业有点像音乐采风一样的感觉有一点说回来像祖马龙或者像那种顶级的品牌他可以跟大的这种相近公司做长期的合作甚至培养自己的调香师他们的上心节奏可能不会特别快但是出的产品也不太会出错
[00:33:53] 那么创业公司呢就是要以快打慢然后在短时间内做出差异化甚至说在大家心目中指下比较好的印象这就比较困难了而香薰香番的产品呢还有一个比较明确的问题就是消费者大多希望先试一试然后再做下一步的购买决策比如说现在淘宝上面其实有很典型的一个案例就是把大瓶的香水做分装售卖这个比较中国特色一个情况嘛这方面的话其实传统品牌的基础也比较好一些
[00:34:21] 等于是你去买香水或者香氛这个东西你必须要依靠线下的渠道你像过去百货商店的专柜或者免税店或者现在一些品牌独立店基本上还是这几个同名的外资品牌比较多一些他们在这个世界上做的经验确实比较长久一点这个其实也涉及到一些资本的助力比如说祖马龙
[00:34:45] 虽然它好像是一个比较明确的独立品牌但实际上很早就被卖给亚斯兰带了梅斯马吉拉前段时间在上海开了一个很大的店然后里面除了它标志性的衣服还卖了咖啡和香水但实际上它这条香水线很早就由欧莱雅集团做代理了这个就是进入到所谓大公司对于小众概念的营销像一些真正意义上的小众品牌只有说它的特点足够鲜明足够出圈才有可能拿到一些钱然后抓住新的市场机会
[00:35:14] 比如说最近在上海要开手电的LILABO还有那个ESOP都是这样的说到这些新品牌的话其实国内有蛮多像官夏文献这种国内的香薰香风类的创业公司他们开一些限价店的时候动作也蛮受到关注的当然也比较受到资本的关注是吧这个一个是我们前面提到的像香薰香风产品普遍都需要有一个线下空间来做试用或者一些讲解
[00:35:43] 然后因为这些新品牌它的箱型和产品都很多那就更需要这些线下空间了另一方面呢这些创业的公司普遍会在品牌和文化的部分特别强调就因为产品还不一定做得很好那就是多讲讲故事比如说官下会谈很多东方美学这个概念那么除了在产品本身的这个文案上面做足功夫那线下空间其实也可以更好的更游刃有余地把这些内容给展示出来
[00:36:10] 但是开好这种线下店的前提呢就是你还是要离自己的消费者足够近才行那目前中国的香薰香氛类的产品需求可能还是高度集中在一线城市尤其是以前可能经常往国外跑的那些地方那尽快打开影响力呢你这些新的品牌又要去挑那种一线城市的最核心商圈或者最好的商场比如说北京三旅团啊上海的武康路商圈啊或者说深圳的万象天地
[00:36:36] 等于是我们从线下开店这个点能够看得出一些
