Vol.169 奥运会哪来这么多新项目？
[00:05:32] 所以根本都不用选了想想1991年北京第一次去申办奥运会的时候当时是一共有八个城市在竞争的对那个时候还要什么第一轮投票第二轮投票现在都不用投票了可想而知对于观众和城市这两方的吸引力都在减弱的话这个其实会影响奥运会的一个根基的这里顺便说一下我们看一下巴赫在进入奥委会之前的履历他本来是从事基建运动的然后退役之后先后为阿迪达斯
[00:05:58] 西门子这些大公司服务过那进入奥委会之后呢他最主要的工作之一呢就是负责销售奥运会的全球版权可以说他一直站在奥运商业化的最前线所以说他在这方面嗅觉可能就是格外的强烈吧甚至可以说他的上任其实就是为了推动这些改革需求来的没错那么要从奥运会的比赛项目上来改善前面说的这两个情况呢最好的办法就是引入一些比较受年轻人欢迎的一些新项目
[00:06:24] 这里边还要补充另一个点就是巴赫的改革除了我们刚才说的这个大项小项本位的问题还有一个就是他把确定下一届奥运会有哪些项目的这个决议的这个时间差给缩短了比如说就是今年巴黎奥运会的项目原本是要在七年前就是2016年17年那个时候确定的那个时候其实巴黎主办与否都还没有确定对吧等于说如果说这个决议时间很长的话就相当于主办城市对他手上这一届奥运会的比赛项目是没有任何影响力的
[00:06:52] 当然这边指的是正式的比赛项目有些表演项目其实还是跟主办方相关的那么在改革之后它这个时间差就缩短到四年也就是说先确定了主办城市再过了几年之后再确定这一届奥运会不会有哪些具体的比赛项目那么就非常有可能出现一些在主办地当地更受欢迎的一些新项目了就比如说棒类球在东京奥运就是比赛项目然后到巴黎就显然它不会出现了但是在下一届洛杉矶我们就可以看到它
[00:07:20] 对因为在日本和美国正好是棒类球最最流行的两个市场嘛那巴赫呢这个十年前的改革可以说效果非常显著而且方向性也非常明确你看这几年进入过奥运会的这个新项目基本上都是同时符合他这两个改革方向的那东京奥运会最明显新加的项目当中棒类球空手道这个不谈了这是当地的一个传统项目嘛那像滑板冲浪攀岩既是很受年轻人欢迎的同时在日本又是群众基础非常好的
[00:07:47] 最后呢日本代表团队的这个当中非常的获利啊他在这五个项目里面一共是获得了六金四银
[00:07:54] 刚才我们讲了奥运会为什么要打开面向新项目的大门那么接下来的问题就是这个大门打开了那新项目要如何挤进这个大门呢为什么问这个问题啊因为我们看到新项目要进入奥运会其实这个暗战是非常激烈的因为新项目有很多奥运会就算这个上线好像放宽了一点之后对于这个新项目来说还是非常难挤进去的那你要进入奥运会的话这个当中需要一些运作的技巧甚至还需要一些牺牲一些运气
[00:08:20] 这里面我们就举一个案例来具体的展开说明一下就是霹雳舞Breaking这个霹雳舞是本届巴黎奥运会新的一个项目虽然它在下一届洛杉矶奥运会又被移出去了但是它仍然达成了一个很了不起的成果就是它是第一个成为奥运会正式比赛项目的舞蹈好像你这么说确实是之前真的没有舞蹈我只能把体操项目当舞蹈类似的东西来看或者还有什么水上芭蕾的花滑之类的
[00:08:47] 实际上甚至霹雳舞一开始根本就不在入奥就进入奥运会的计划之中它完全是一批黑什么叫不在计划之中是这样就是按照奥运会的章程一项运动你要加入奥运会必须是由一个世界性的单项运动的协会来申请的国际奥会会对每个项目有一个我确认的就是我认你这个协会是来代表整个运动的
[00:09:12] 那么被国际奥委会承认的这个舞蹈方面协会呢就叫世界舞蹈运动联合会它是下面是包含了各种各样类型的这种竞技舞蹈的那这个协会呢其实对奥运会的这个憧憬啊就是时间很长了他曾经就想把像国标舞或者说拉丁舞要引入奥运会但是没有成功那么到了2015年呢他们还是想要再努力一把当时他们就请了一位国际奥委会的前的资深官员叫布尔金
[00:09:36] 之后呢他还担任了这个协会的主席啊就希望他来就是跟国际奥运会建立一个联系看看还有没有机会让舞蹈进入奥运会之后这个布尔金还做了一件事情就是力主把这个协会的总部啊直接搬到了瑞士洛桑也就是国际奥运会的总部所在地就相当于一个贴身lobby我每天在你门里叨叨两句
[00:09:57] 这个其实也是很多运动想要入奥的第一步就是建立一个能在奥委会说上话的人脉关系是的那么当时呢协会最初想要送选的这个目标啊还是拉丁舞还有就是rock and roll就是应该叫摇滚舞吧我不知道因为呢他们觉得这个群众基础比较广泛而且赛事的这个结构也很广泛因为像这种竞技舞蹈其实这种拉丁舞国标舞啊什么就非常成熟了但是啊这个布尔金到了国际奥尔会跟他们这个他的老同事一聊
[00:10:25] 就发现计划不通这个情况有变因为对方回复说我们可以让舞蹈进入奥运会没问题的但不是这个舞蹈等于说奥运会已经明确了就是你们点的这几个我都不想要我想要别的对霹雳舞这种我们比较喜欢是的他没有明说霹雳舞但是就是其实就是几乎上暗示了就是我们想要一个像霹雳舞这样的年轻人喜欢的舞蹈但这个事情啊就是让协会很尴尬就照理来说人家说我们都愿意舞蹈进入奥运会了应该是一个比较正面的对吧
[00:10:52] 但是呢霹雳舞当时在这个舞蹈联合会里面实在是太边缘了就这么讲吧在他们这个高层这个委员会里面就没有人是搞霹雳舞的这个事情本来也很符合Breaking这个话风啊因为霹雳舞本来就是带有很强烈一种反主流反权威的气质的在正规的协会里面这一套肯定是没有什么立足之地的你就很难想象霹雳舞进入一个什么协会是吧但是呢现在协会只能被迫把霹雳舞推到奥委会的前面因为他们的想法是这样的就是
[00:11:20] 虽然我们不太情愿但是呢我们先让pd5入奥了之后呢别的舞蹈项目也有可能了呀对吧至少加了个大象进去是吧可以看出来这个协会为了入奥已经不择手段哪怕先推一个自己不喜欢的东西也要进去对你看他们专门聘了一个前奥委会的一个官员来做这个主席就很说明问题然后这个布尔金呢也是怎么说呢不辱使命非常认真他就制定了一个循序渐进的计划就是我不追求一步登天而是一步步来他首先
[00:11:45] 设计的目标就是先让霹雳舞进入2018年的世界青年奥运会然后呢再看看这个反应之后再徐徐图治看看是不是24年实际上他当时根本就没有想24年他想的是比如说28年或者32年有没有机会结果呢这个策略非常的成功就是2018年的霹雳舞首先真的进入了青年奥运会而且在这个青奥会上面是大受欢迎按照当时参加这个比赛的一个霹雳舞者叫Reverse他的说法就是
[00:12:12] 当时这个霹雳舞现场有几千个观众然后还有一些观众就陆陆是从旁边走过来一开始大家看我们这些这个所谓的霹雳舞运动员都是瞧不上的表情就是这个东西也是运动吗结果看着看着然后他们跳起来之后大家气氛就造了起来霹雳舞确实很带感就是现场气氛带动能力是很强的确实然后因为这次参赛的效果非常好这个协会就开始趁热打铁他们就向奥委会提出了一整套的奥运参赛的计划就是说
[00:12:39] 我们要这个霹雳舞要进入奥运会它到底是以怎么样的比赛形式对吧要弄一些怎么样的规则那这个计划呢就非常值得一说因为它是几乎可以说完全的投奥尔会所好它里边呢集中强调了三点第一点就是霹雳舞的参赛人数很少一共呢就是32个人第二点呢就是它是男女平等的就是32个人各16个第三点就是这个霹雳舞啊它对于举办的场地没有要求其实就有块空地就可以了
[00:13:05] 这个当中呢第二条是对应着这个奥委会倡导的这个性别平等的这个主张第一条和第三条呢就是在响应节俭办奥运的这个趋势因为奥运会不单单对于这个项目的上限是有要求的对于参赛选手的上限也是有要求的好像是说一共最多不能超过一万零五百人还是怎么样的那你一个项目只加了32个运动员其实就非常方便吧而且可能对于单个项目的预算可能也有点要求没错所以呢他这个第一条和第三条就是说我不给你增加很多负担你把我加进来其实非常的轻松
[00:13:34] 感觉这确实能体现出一个前奥委会官员的素质啊就是完全投其所好做一套方案没错这个方案呢显然是非常的得奥委会的这个人心啊就2019年的时候就确定巴黎奥运会到底有哪些项目的那个时候PD5就正式获批了他又进去了这个距离他2016年这个协会把总部搬到瑞士洛桑只有三年他这个速度真是黑马速度啊
[00:13:58] 不过这里有个问题就是你刚才讲的主要是一些协会如何向上空关的一些小技巧但是我们前面也不是也提到就是霹雳舞的画风本来就是反权威的虽然说进了青奥会那这些舞者和爱好者的话他们真的希望说霹雳舞能够进入到奥运会这么一个赛场里吗好问题这个其实就涉及到像我们刚刚讲的这些新运动或者是尤其是一些极限运动他们进入奥运会的一个最大的关卡
[00:14:22] 就是这一样一个新项目是否能够被改造或者驯化成奥运会能够接受的样子对于霹雳舞来说这个问题尤其的复杂首先很多的霹雳舞者根本就不觉得自己从事的是一个竞技运动因为他们觉得自己是跳舞是在表达自我他们觉得如果还有什么裁判给自己的舞蹈打分的话这个事情就变味了我们看到过华盛顿邮报有一篇报道他就说当协会和一些霹雳舞者在交流入奥的事情的时候有很多舞者直接就说
[00:14:49] 你这是在破坏艺术入侵我们的文化2017年甚至有过一个线上请愿就是要求整个舞蹈联合会把手拿开他们觉得这个舞蹈联合会根本没有资格来管理这个霹雳舞者对你凭什么要管我呢我根本就没有人应该可以管我的但是另外一方面呢必须要承认就是为什么霹雳舞这个事情会被讨论到入奥这个范畴里面是因为的确有很多舞者也是愿意把自己看作一个运动员的他们也是愿意进入奥运会的
[00:15:15] 首先啊这个霹雳舞如果你看过的话你也会知道当中有一个部分实际上是有很强的竞技性就大家会就是battle嘛就是这个东西是可以比高低的或者说大家是有一些评判的一些标准的而且呢就是有的舞者也像我刚刚讲的他就希望自己能够站在更大的舞台上面来展现自我的事实上在那个时候其实已经有非常多比较成熟的一些商业的霹雳舞的比赛了你像我们前面提到那个参加青奥会的那个Rivas他肯定就属于那种想要搞竞技然后在更大的舞台上展现自己的那种人嘛
[00:15:43] 就其实竞技派和艺术派这个基本上是广泛存在于这个奥运会新项目里面一种对立比如像冲浪滑板啊就大部分都可以把这个选手分为这两派嘛那前者像艺术派就是对于奥运会就不是很感冒那竞技派呢普遍都更积极一点没错另外一方面呢我们还要提到就是商业机构的这个态度他们肯定是相对比较积极的想要让这个运动入奥的尤其是一些原本就在办霹雳舞比赛的一些公司
[00:16:10] 比如说有一个人叫格雷厄姆他的公司呢就赞助了很多资金实际上是支持了霹雳舞进入2018年的青奥会的这个格雷厄姆呢他自己曾经是一名华尔街的金融人士然后自己开了一个投资公司然后他呢大学时候自己跳过这个breaking后来呢因为孩子也开始跳了所以他就重燃了对于舞蹈的热情然后就开始自己投钱来搞一些比赛在洛杉矶啊迈阿密等等地方
[00:16:33] 这些比赛其实也是已经为P65建立起了一个基本的比赛的规则这个其实都是它登堂入室的一个基础如果说P65这个方面还算比较成功我觉得有些项目可能就是没有办法像P65这样就是说削足势力比如说飞盘像普及程度的话飞盘我觉得现在在中国市场或者说在很多全球其他市场已经算一个群众基础很厉害的项目了但它就没有入澳没错
[00:17:00] 而且你要说的话其实飞盘你从一个直接的观感上面来看它更像一个比赛嘛它很有明确的有两方来对垒的不像这个PD5这个舞蹈你还是要打分嘛飞盘的话它是一个计分制的但是呢这个飞盘其实距离奥运会还是有一点差距的它在这一届巴黎奥运会的确定新项目的这个竞选过程当中吧它连最后的候选都没有进去就它在第一批就已经被筛掉了
[00:17:23] 这个当中呢有一方面有人脉的因素就是飞盘的协会就虽然它的规模已经很大了全球一百多个国家地区但是呢它就是没有贴身Lobby的这个人脉它的主要基地实际上是在美国的就是离国家友会还是有一定距离的还有一个更根本的问题就是飞盘的文化和奥运会的这个竞技这个项目呢实际是有一定冲突的最简单的一个例子就是飞盘比赛一般来说是不设裁判的
[00:17:48] 就是碰到一些争议的一些情况是双方队员来协调解决协商的但你想象一下在奥运会这样一个要争夺金牌银牌的地方你不是个裁判这个很难办了对吧我们商量一下你拿金牌我拿银牌这个肯定很奇怪这个怎么搞对吧所以呢就是飞盘其实是有这样一个浅层的原因所以他现在还离奥运会还是有一定距离的但是其实还是有很多人在推动看能不能让他这个规则相对的能够进入奥运会这个范畴里边
[00:18:15] 我们再举另外一个意思他是自己牺牲了或者说是对自己的项目做了一些自我的驯化改造然后挤进奥运会的他就是攀岩攀岩是东京奥运会的时候进入正式比赛项目的但是东京奥运会的攀岩比赛是当时是非常受攀岩爱好者的争议的因为他当时只设了男女各一块金牌就叫攀岩全能就全能项目
[00:18:39] 这一块金牌呢就是顾名思义它就要比三个项目分别是这个攀石然后第二个叫难度攀岩第三个叫速度攀岩但是在攀岩暗号这里边呢这其实是三个完全不同的这个类型等于说攀岩选手不会把自己完全往这个全能方向训练这不是铁人三项这个东西对这之前没有这回事情的尤其是当中的这个速度攀岩就是和难度攀岩这完全就是两回事情怎么说呢就你相当于一个人是练3000米长跑的一个人是练百米短跑的根本不是一回事情
[00:19:07] 如果你看过那个攀岩比赛也知道就是速度攀岩的话就是你已经有这个地图了然后你尽可能快点爬上去难度攀岩的话是你在边爬的时候边规划路线啊什么的完全是从观赏性上面定线的一个是找线的对就是观赏性上面也是完全两种的这个比赛感觉但是呢当时攀岩协会就答应了这个要求就是我们第一次进入奥运会就只搞这个全能这一个项目这牺牲力太大了对所以呢就是被吐槽就非常的多
[00:19:33] 现在来看的话就是小不忍则乱大磨就是攀岩当时的忍耐还是获得了效果因为在本届80奥运会上面速度攀岩或者叫竞速攀岩它就被单独设置成了一个小项就是多了两块金牌等于说先有第一步才有第二步简单小结一下虽然说奥运会对于年轻人喜爱这些新项目普遍在张开双手欢迎他们但是具体哪个项目进入呢还是要靠整个
[00:19:55] 项目的行业协会自身来运作的那行业协会呢最好是要具备一定的奥委会的人脉其次呢要把项目包装的比较符合奥运的趋势或者说一些标准第三呢就是还是要团结项目里面偏向竞技的一些参与者有的时候甚至为了入奥要做一些规则上牺牲这个才能让自己最后登上奥运会这个舞台
[00:20:18] 刚才我们讲了很多新项目如何进入奥运会的过程那这里面其实隐藏的一个前提就是大家应该会认为进入奥运会总归是一件好事情但是这个前提是不是需要稍微展开一下就是一个项目进入了奥运会到底有什么好处呢其实笼统答案也很明确就是奥运会是一个面向全球人民的一个曝光就是你对于一个运动来说没有比这个更有效的能够普及自己的一个方式了
[00:20:43] 不过我觉得这个话题还是稍微可以拆解一下就是我们看一看当一个新的项目进入奥运会之后它具体会有哪些改变或者它能够吸引哪些资源这里我们就举中国的例子一方面就是这部分我们的同事做了一些采访有一定的素材另外一方面就是像滑板冲浪攀岩霹雳舞这些新的项目在中国都属于是小众的所以说就是你很好观测就本来是一块白纸然后我们看看它进入奥运会之后多了哪些新的情况这个观测的这个结果会更加显现一点
[00:21:11] 这里面我们基本总结出了三个层面变化第一个是国家资源的介入第二是商业资源的投入第三就是全球赛事的引入那我们先从第一个点说起就国家资源的这部分这个层面呢其实很好理解吧就是你对于中国来说一个项目一旦入奥了就意味着你肯定要去参加然后你要组建新的国家队要去争取好成绩那基于目前中国体育这个主流的举国体制呢就是意味着这个体育的主管部门要有新的拨款要建立新的管理机构或者说你要确定
[00:21:40] 有哪个主管的机构来管理这个项目不过新项目呢在这件事情上面的有趣之处呢其实在于第二个层面也就是商业机构或者说公司啊在这个过程当中会有更强的存在感比如说滑板是东京奥运会的这个项目那在当时呢为了备战奥运会中国就在六个省份啊搞了六个国家集训队来选拔和训练滑板的运动员有的时候就是从零开始培训啊他们会从一些别的项目里面招一些跨项改项目的一些运动员
[00:22:08] 那在这个当中呢这六个集训队当中呢像南京和上海的集训队都是由当地的体育主管部门和一些商业的体育公司来共建的什么叫共建简单来说就是企业来提供一些场地请教练啊组建团队啊选拔运动员啊等等的那体育局干什么体育局就是允许你授权你来做这个事情当然有的时候他还是会来做一些拨款给你提供资金的
[00:22:31] 对于主管部门来说为什么要这么做就是他引入一些能够相对比较熟悉这个运动的一些企业这样能够最快速度的建立起一个集训队或者说是一个团队尤其在招募人才这个方向就是你看看滑板之中街上这个体育局现在你去帮我找一批这个滑板的运动员他怎么找我都不知道是哪条街上面是找滑板对吧但是呢这些企业呢他们相对来说对于比如说市面上已有的一些滑板俱乐部啊或者一些爱好者的这个社区啊他是比较了解的
[00:23:00] 所以他在这方面其实很快就能够出上力政府在这边的资源相对反而是比较少的甚至一开始就政府都没有说哪个部门能够明确管到这一块的他就没有办法下手当然我们也要说从企业的角度其实据我们了解就是这样的一些合作所谓的共建企业这边是不会赚很多钱的甚至在有的集训队里边企业还是要主要出钱大头的这个钱不少就有可能是上千万的级别但是为什么他们还要投资呢就是在这个过程当中他可以
[00:23:29] 有很大的这个权限或者说是资源的一个累积很重要一点就是比如说一些这个项目里面中国典型的运动员哪些运动员我能够推荐或者说是选拔进入国家队实际上是由我这边有很大的这个话语权的那这些运动员呢甚至就是你自己来培养的有可能在运营国家队的过程当中你是不赚钱的但是在之后项目后续发展起来之后当中如果出现了明星啊等等的他们就有了一个很明确的收益的渠道
[00:23:54] 这里面除了奥运会还有一个很重要的逻辑是全运会因为奥运会有了这些项目以后全运会实际上也会很快去跟进如果奥运会不搞的话全运会不一定会搞的如果说各省的运动部门相比奥运会它其实往往更注意全运会的成绩所以说他们也其实更倾向于引入企业力量来帮助自己在这个领域上面快速的起步像很多各个省市的一些
[00:24:19] 我们刚讲的滑板的一些这个全运会的队伍的话其实都是和企业共建的这个方面其实参与的会更加深一点不过值得注意的就是啊随着这些项目已经起步了因为我们刚讲的东京奥运会的时候滑板进去嘛那么其实在这个2020年之前这些项目都已经开始搞政府专业的这个团队了那么到了现在已经有好几年了过了几年之后呢这个举国体制很快就会占据主流企业相对来说会逐渐的淡出
[00:24:44] 比如说像滑板现在在各个地方包括国家层面都是有专业的队伍了甚至于已经有开始这种青少年的这种梯队了等等了就不再是早期那种甚至会出现从社会上招募一些这个滑手啊这种情况都不在了像国家执行队这样的机构呢也逐渐是由具体的这个主管部门来直接负责了不过还是要提啊就是随着这些项目建立起了一个专业的体系之后呢专业的这个力量还是有发挥在这个渠道的或者是有机会的就是一些与之配套的社会培养培训机构
[00:25:12] 尤其是对于一些青少年家长而言首先这些极限运动本身就是比较受小朋友喜欢的但是你要说过去我让你花很多钱让你去培训纯粹是一个爱好相对来说门槛就会比较高一点但现在不管怎么样至少他有一个专业的这样一个通路或者说是有这样一个正当性了其实会大大增加这样一些培训机构的需求的所以说我们现在也看到这方面的数量其实增加了很快等于说他把一个运动从业余之余变成了一个有专业
[00:25:40] 正规化可能性的一个通道没错以前2022年就教育部也把滑板正式的纳入了这个义务教育体育与健康课程标准我们还看到中国体育报在2022年有一个报道就是说中国的滑板爱好者人数已经超过1000万了包括我们肉眼可见的可以看到就是现在的商业地产越来越把滑板作为一个新的业态就有可能过去几年是滑冰现在滑板公园就是我最近看到一些新的这个商场在一些最好的位置一层楼很大一块地方都是一个滑板的一个设施
[00:26:09] 很有趣的新趋势前面我们讲的是第一和第二个层面还有第三个层面就是全球赛事引入我觉得这一点在极限运动上面体现也很明确比如说今年的巴黎奥运会的滑板资格赛其实是在上海的黄浦江畔举行的还有就是源于法国的一个极限运动赛事叫FACE它包含了小轮车滑板攀岩等等的它今年也跟上海徐汇区的西岸集团签了一个长约它等于说要在徐汇滨江做FACE的巡回赛没错
[00:26:36] 其实对于地方政府来说你用一些体育赛事来聚集人气形成区域的名片是一个很常见的一个做法一个逻辑但是如果没有奥运会的影响力或者说这些项目没有进入奥运会的话我想这些比赛肯定不是这些地方政府的一个首选简单小结一下一旦一个新项目进入奥运会它在中国就会迅速的引发政府部门的投入
[00:27:00] 从而撬动相关企业资源然后进而呢这个项目可以延伸到教育培训商业地产体育赛事等等各方面那最终呢会形成一个这个运动人口快速增加的一个良性局面
[00:27:11] OK 今天我们简单介绍了三个话题为什么奥运会要引入新项目新项目要怎么进入奥运会进入奥运会之后这些新项目会迎来怎样的机会其实要说新项目还有一类我们今天没有讨论到的但是非常重要的一类就是电竞电子竞技因为在这届奥运会开幕之前有一个很新的消息就是2025年沙特将要举办第一届电竞奥运会
[00:27:37] 其实电竞入奥这个话题本身就很有意思以后有机会还可以展开一下因为这个过程当中要自我调试要改造的不是这个电竞而是奥运会或者是奥委会自己其实电竞入奥很早的时候就开始讨论了但是最早的时候其实奥运会对此是有一些排斥或者说是不这么支持的一个态度的因为他觉得当时流行的一些这个电竞项目这个当中打打杀杀的成分太多了不太符合奥运的精神
[00:28:03] 我以为奥运的精神是让大家动静而不是坐在那里确实会有很多人这个是一个比较基础的一个就是反对声就觉得你在那边玩鼠标键盘不属于是一个运动现在你看到的情况就是电竞的商业价值实在是太大了这个崛起的速度实在是太快了就奥运会很难让自己置身事外不过呢
[00:28:21] 所谓符合奥运精神的电竞项目应该有哪些还有电竞应该如何与奥运会结合呢其实这个问题就是他们自己纠结也非常的多就之前一直没有找到一个明确的路径他们一直在试探比如说搞一些所谓的奥运什么电竞的什么积分赛资格赛等等这种项目那这次的电竞奥运会呢其实是一个很重要的往前的一步就是这个事情我肯定是要做了而且我明确了一个方向就是我不在已有的奥运会的框架下面我把它单列出来搞一个专门的赛事
[00:28:48] 当然之后呢我们肯定还会看到电竞奥运会要面临于各个电竞的项目然后他们这个项目背后的游戏发行商还有最重要的就是与现有的一些电竞赛事之间这个复杂的这个竞争或者说是合作的关系肯定还有很多变化所以我们之后呢再有机会再来展开那最后呢我们想回到这些改革起点就是现任奥委会主席巴赫巴赫在推动这项改革的时候呢说过这样一句话如果我们不自己推动这些变革别人就会把我们推向变革
[00:29:17] 奥运会就是这样
