Vol.115 蜜蜂经济学
[00:03:33] 所以能够找到这么一个切入点让大家了解一点新知识我们也特别愿意尝试还是那句话如果你在日常的学习工作和生活中想到了任何值得真正深入探讨的商业话题都可以通过各种各样的方式来告诉我们OK感觉今天的节目会蛮有意思的我们赶紧开始这里是商业就是这样
[00:04:07] 虽然我们以前节目里也解释过一些经济学的概念但是我们今天直接上来就讲一篇经济学的论文是不是对于听友来说要求太高了一点啊 月老师当然不会是纯讲论文了而且我其实
[00:04:20] 不只想讲《真行无常》这篇因为如果从经济学家对于蜜蜂这个物种的偏爱来说他这篇论文其实已经算是比较靠后的了实际上我们可以在这个部分简单介绍三篇论文怎么回事 游老师本来只有一只小蜜蜂现在变成三只小蜜蜂也就是三只而已而且三篇论文真的都没有很难这三个关于蜜蜂的故事分别是发表在1720年1952年和1973年它其实正好也对应到
[00:04:48] 整个经济学思想在近现代的一个演变过程那先说其中最老的就是1720年这个它是由荷兰的政治经济学家也是作家叫伯纳德·曼德维尔他创作了一本小书叫《蜜蜂的预言》好像还有个其他的名字就现在主要叫《蜜蜂的预言》它与其说是一个什么经济学著作不如说是一本讽刺散文诗何极当然它里面有一些就是
[00:05:15] 当时的一些经济学思想然后后来也是因为亚当斯密直接在国父论里面引用了这本书才更多被人注意到的那么所以这个蜜蜂的语言具体讽刺了些什么呢简单来说曼德威尔就是在这本书里面把人类社会直接比喻成了一个蜂巢人就是这个蜂巢里的蜜蜂他说每只蜜蜂都在近乎疯狂地追求自己的利益虚荣伪善欺诈享乐嫉妒好色这些坏的德行呢在每只蜜蜂身上都表露无遗
[00:05:42] 但是因为每只蜜蜂都忙着主力整个蜂巢就显得欣欣向荣有一天呢这些邪恶的蜜蜂又突然醒悟了他们希望天神说你让我们变得善良正直诚实起来吧天神说好我满足你们这个愿望这个蜂巢呢也因为这个事情就衰落下去了因为各种各样的克己自律的行为呢让整个市场变得萧条了
[00:06:03] 他是怎么从这些小蜜蜂当中看出那么多什么坏的那些品行呢感觉他描述的不是一个蜂巢啊而是一个丛良的黑社会组织曼德威尔这个蜜蜂的预言听起来确实是一个
[00:06:17] 就是跟实际没有什么关系的预言就是他自己想象的东西感觉蜜蜂也被躺枪但是在这个小说发表之后的一两百年里面大家就觉得说这个故事很好我们觉得你这个故事很有价值还把它总结成了一个所谓的曼德维尔悖论也就是说看起来应该被谴责的那些私欲和恶行其实反而能让整个社会繁荣发展而如果你出于公义心和道德感来归训整个社会的话最后往往结不出来所谓善的果实
[00:06:44] 简而言之从他们的这个思路来看的话一些个人的恶的德啊反而有可能造就更多的公共的利益嗯没错这里面其实也能看出来就是曼德威尔时期对于市场这个制度就是其实没有什么深入的研究有很多不切实际的幻想因为他可能单纯就是你不要来管我因为刚从中世纪走过来嘛对他这个18世纪的时候对就是那个阶段其实就是对于自由市场有一个强烈的渴望这些思想经过曼德威尔之后像休默啊亚当斯米还有
[00:07:13] 哈耶克这几代经济学家慢慢拓展呢其实也就形成了现代经济学的一个很重要的理论体系了OK所以这算是经济学里最早和密封相关的文章吧毕竟才18世纪而且整个这个学科你甚至都不能说它是个学科了处于一个萌样的状态是的那接下来就讲到了1952年的这篇这篇呢就是来自于诺贝尔经济学奖得主叫詹姆斯米德
[00:07:37] 米德是尝试在论文当中讨论一个经典的经济学概念叫正外部性我们上一期可持续的这个话题里面正好讲到了负外部性这次就提到了正外部性没错我们再给大家简单解释一下那外部性其实也叫溢出效应那我们今天讨论的正外部性简单来说就是我做的事情对你有利你获得了一些额外的金钱或者享受这些价值但是你没有为这个事情支付一些额外的成本举个例子就是我们之前不是录音的时候外面经常有撒水车吗
[00:08:07] 假设说这个洒水车放的音乐是什么天鹅湖啊或者什么极权上的涌探调啊然后我是站在路边然后免费听完而且还播的很好然后我还没有被水滋导那这个过程呢对我来说就有可能是有正外部性的我享受这个音乐嘛但是绝大部分时候呢这个洒水车都会影响我们的录音啊浪费一些时间而且我们也不能就是因为它浪费了我们时间我就把这个洒水车拿下来说你赔我钱
[00:08:31] 那在这个语境下呢这个洒水车对我们来说就是有腹外不幸感觉岳老师你对洒水车的音响系统要求蛮高的哎呀就给大家举个例子嘛那说回来就是米德为什么要写这篇文章呢因为不管是正外不幸还是腹外不幸其实都可以理解为是有一部分经济活动的结果是没法被定价没法被交易的那就意味着说市场这个所谓看不见的手不是特别完善那就有可能出现所谓的市场失灵
[00:08:59] 那这个时候呢你就需要引入看得见的手
[00:09:02] 通过一些补贴或者说政策调控的方式来消除这个外部性其实在米德那个时代就是政府干预市场是一部分经济学家比较推崇的方式米德写这篇论文的名字就叫所谓竞争状态下的外部性和非经济他就希望找到一个正外部性的例子来证明这个市场有可能会失灵所以想来想去他又举了一个密封的例子绕了半天绕到密封了那么就具体讲一讲这个密封到底跟市场失灵政府干预这些大的
[00:09:31] 它就是举了个例子大家想象一下有一片苹果园苹果园的旁边有一个蜂农在养蜂那么在大自然的规律之下会发生什么呢就是在苹果树开花的时候蜜蜂会去苹果园采蜜在这个过程中蜜蜂还能顺便帮苹果园授粉所以说蜂农在这个过程中获得了一些额外的
[00:09:54] 蜂蜜然后苹果园完成授粉可能会结束更多的苹果等于双方都给了对方提供了一些正的外部性是的但是这个里面有一个问题就是说对于养蜂人来说就是帮苹果树授粉这件事情不是他的工作目的他只是来采蜜的虽然说果园的苹果因此收成变高了但是养蜂人没有办法分享这部分收益反过来对于果园主来说苹果树为
[00:10:20] 蜜蜂提供了花蜜这个也不是他本来的意愿然后他也没有办法从那个蜂笼手上多收到钱在这种情况下其实双方的这个资产都没有达到所谓理论上的最大收益双方呢就有可能说没有意愿去增加投入也就是说养蜂人不会去就是说帮助你受粉受得更好去额外增加一些风向
[00:10:40] 苹果园也不会说帮你蜜蜂产的更多所以我多种一些苹果树那么双方总体来说收益就是没有办法达到社会理想当中的最高水平简单来说就是大家都是感觉自己被人卡油了所以就没有足够的动力去提升生产经营的水平就是你凭什么卡我油我就不给你卡油的机会了心态上有可能会变成这样所以就没法赚更多的钱等于是苹果和蜜蜂的潜力都没有被挖掘出来没有被冲
[00:11:10] 那包括米德在内就很多经济学家说那我们有一些政府干预的手段其实可以挖掘这种潜力的比如说你政府是不是能够同时补贴双方让这个养蜂人能够提升一点蜜蜂的数量然后果园主能够多种一点苹果树那这样子的话大家其实都能够尝到甜头然后把这个整个小的体系越做越大那就一个螺旋上升的一个收入的提升了
[00:11:32] 那米德这个观点呢就像我们刚才说的就是有一批经济学家还是非常认可的因为这是一个在他们看来非常迷人的所谓双边正外部性的例子而且大家想象一下这个画面一群蜜蜂在果园当中翩翩起舞这个非常有感染力好吧感觉很甜蜜是吧对对对所以说其实大家对于这个案例的细节比如说这个果农和蜂农到底是谁实际上占便宜以及政府到底该怎么补贴可能大家都不是特别关注大家只是说这个例子很好
[00:12:02] 我觉得很不错OK总之呢米德凭借这个非常有感染力的这样一个例子啊是的他这篇论文在发表后的十几年一直都挺受经济学界的追捧但这种情况呢在1972年的一个中午改变了当时张五常他在一个午饭的饭桌上听同事聊起了真正的密封经济学
[00:12:22] OK我们现在就正式的来聊一聊张五常的这篇论文他的论文名字其实叫蜜蜂的预言冒号一项经济学的调查也就是说他就是有一些实证的调研的这个研究的意味了是的他写这篇论文的原因呢就是前面提到的他跟同事吃午饭的时候这个同事就提起来说哎呀其实美国有些地方农场里面这个养蜂人和果园主之间呢其实是会签那个蜜蜂租赁合约的其实不是像米德说的那样必须要政府补贴才能把这个东西最大化
[00:12:52] 好家伙这个不就是可以写论文的东西吗然后所以他当年暑假就风风火火的跑去调查了他的论证目标就是说他要证明这个市场机制本身就可以有效的消除外部性那这里面不仅要调查出来有没有市场还要调查出来这个有没有价格以及这个价格的机制是怎么制定出来的
[00:13:12] 他等于要通过再次论证这个蜜蜂的这个案例彻底的推翻米德的这个结论他当时可能就是一腔热血吧但正好他处在一个很好的背景里面就是他们所在的那个州叫华盛顿州正好是美国最盛产苹果的一个州OK对然后呢这个州里面呢有他挑了九户养蜂人这九户养蜂人合计拥有一万小米蜂其实是很大的一个体量的然后呢从这些养蜂人手上拿到了很多真实的就是可以
[00:13:41] 租蜜蜂去授粉以及采蜜的一些果园的合约然后另外呢他也打电话问了很多蜂农去验证他预想当中一些可能会影响这个交易价格的因素比如说天气植物的品种然后传播花粉的一个需求比如说动来动去这个蜂箱的移动的费用包括一些杀虫剂的影响等等他就想看就是说这些就是很细小的因素到底是怎么样影响到合约里面的虽然写论文这个据说只用了三个月但是这个调查我看还是比较仔细的
[00:14:08] 那就说说看结论吧这个论文到底发现了什么样的一个真实的蜜蜂经济学对你看我们都跳过了一些论证的过程直接先讲结论结论分极点首先他先点出了米德这个论文当中的一个事实性的大漏洞就是蜜蜂其实可能不怎么喜欢苹果因为苹果花其实基本上不产蜜
[00:14:30] 但是就是说苹果花很依赖蜜蜂的授粉所以说是反而是苹果蹭蜜蜂蹭的多一点那相比之下呢其实产蜜比较多的是像薄荷啊木须啊或者三叶草这种很小的植物反而能产很多的蜜这个才是
[00:14:45] 蜜蜂喜欢的植物所以占便宜的还是苹果园的园主没错其次就是在华盛顿州内果农和蜂农当时这个合作已经非常熟练了不管是你去租一群蜜蜂来帮你果园授粉还是一个蜂农去租一个果园来帮自己产蜜都有很成熟的合约所以并不是大家都被砍油的那种心态没有完全是一个市场交易在这些合约里面根据不同的季节不同的农作物租用蜜蜂授粉的价格
[00:15:14] 都是不一样的然后产出的蜂蜜的价格也完全不一样的比如说苹果园在春天来租用蜜蜂来帮自己授粉的话一个蜂箱当时的租金是9到10美元如果是卷心菜需要这个授粉的话就是8美元然后比如说到了夏末初秋这个其实是一个比较高产的产蜜的季节就反过来是蜂农要
[00:15:36] 付钱给农场主让他们密封在这些产蜜的一个季节那比如说他借有一片火烧之后的野草地这也是产蜜的一个很高产的一个模式的一个背景那在这个情况下他的就是租这片野草地的租金就是一个蜂箱要付25到65美分
[00:15:54] OK这其实就是最基础的一些还有更多复杂的玩法比如说这个风箱的租金未必是要付就是真实的美金你也可以选择货币和蜂蜜的这个组合方式来付钱就是你可以直接把这个产品给到他
[00:16:08] 而且这个价格的波动呢有一套模式它跟整个蜜蜂的种类预期的产量季节这个前面提到蜂箱摆放位置啊以及是否使用杀虫剂确实都有很多的关系我看到这个论文里面还讲了一个例子就是这个授粉费就是我把这个蜜蜂租给你来授粉的这个收取的钱其实也有很多具体的技巧比如说我要摆多少个蜂箱在一块地里边然后它摆放的位置是怎么样的都要精打细算有的时候蜂农还会通过一些折扣啊鼓励你这个农场多租一些
[00:16:37] 放在我这边这个是价格歧视吗有一点这个论文里面还看到一个很有意思的约束机制就是说蜜蜂它的飞行范围其实是可以大概预估它大概好像是一到三英里之间的一个范围但是有可能会出现的就是这片农场的蜜蜂
[00:16:56] 跑到很近的
[00:17:26] 有人少布置蜂箱就会被当地人认为你是一个坏邻居大家都不待见你这个也太乡土中国了吧是的还有一点要说明就是在张国长调查期间美国其实正好有两个专门针对蜂农的政府支持计划一个是保底收购价就是收购蜂蜜的一个保底收购价但是因为这个收购价明显比当时的市场价要低所以没什么用
[00:17:50] 不太在意它另外一个就是说如果这个蜂农的蜜蜂因为这个农场里面杀虫剂不当的喷洒死掉了这个蜂农其实是可以向联邦法院寻求补偿的但是蜂农发现这个举证过程过于的麻烦所以也不是很在意这个好吧总结一下的话就是首先哪些作物更依赖
[00:18:09] 蜜蜂的授粉然后蜜蜂更依赖哪些作物来产蜜这个其实不论是庄园主还是蜂农他们都一清二楚没有什么人有机会能够占别人很大的便宜的其次他们基于这种一清二楚的条件之下已经形成了一套定价和支付的方式而且是非常充分的竞争所以我们看到价格其实很透明的理论上来说的话租一个蜂箱来授粉的定价会逐渐的趋近于你增加的果实产量带来的收入
[00:18:37] 同样的反过来就是你租一个果园来采蜜要付出的租金也会逐渐的趋近于你多生产出来的这些蜜蜂的价值这个听上去就非常的就是充分竞争下的一个市场平衡就是主打一个盈亏平衡而且从经济学的角度来看就是米德所说的蜜蜂带来的正外部性其实完全是可以被定价这个是被张无常论证非常清楚的等于是彻底的推翻了他原来假想的苹果园的面貌了对的
[00:19:04] 那到这里呢岳老师简单就把这三篇跟蜜蜂相关的论文介绍了一下本质上我感觉这其实是一个不同时代不同流派的经济学家
[00:19:13] 通过这个密封的案例来隔空交锋这个立场的或者是观点的这样一个过程啊他们讨论的问题其实是所谓市场主导和政府干预之间的这样一个关系但是在实际操作当中呢米德是空想了一个农业的例子来佐证自己的观点而张五长更多是用直接的实际调研来证伪了这个例子那么我有一个个人的问题啊就是米德这样一个方式显然是不太严谨的吧那这样的不严谨的论文为什么还会大受经济学界的
[00:19:43] 关于这点张五常自己有一个解释我觉得挺有意思
[00:19:47] 他说理论上的引经就是引别人的话就是引用的人不敢乱来因为你引错的话背影的人会反驳你就是你引错我了但是事实的引经是另一回事就是胡乱引用别人的话在经济学当中好像很常见
[00:20:04] 比较常见是一个什么情况呢就是一位作者举了一个假设的例子然后第二位作者呢就隐而拒之然后经过三四个人反复的引用呢他好像就变成了一个实例一般的作者就深信不疑其实张五长这个说法呢另外一位诺贝尔经济学奖得主叫乔治斯蒂格勒他其实也说过类似的话斯蒂格勒就说这个经济学家完全跟普通人是一样的也会犯错误而他们最常犯的错误或许就是日益容易相信其他经济学家
[00:20:36] 请问我花了比较长时间讲论文希望到这里就是还剩一些听众朋友
[00:20:41] 没有被我们搞迷糊或者被完全吓跑接下来可以暂时忘掉经济学了我们只关心蜜蜂了因为蜜蜂本身的生意还有很多闹没讲的是的其实也是张无常这个论文里面就已经开始提到的就是果农和蜂农之所以当时在美国已经开始紧密的合作一个重要的原因就是其实在1910年代美国就已经逐渐形成了现代化的果园种植模式是大规模有计划的
[00:21:08] 种果树这是一个非常主流的模式那在之前的话它其实都是一些小农场的一个模式就是种的树可能不是特别多那它除了这些主要的果树还可以有很多空地种一些花花草草那这些花花草草本身就是可以吸引蜜蜂的那在现代的种植园里面这种野花野草量就是大幅度减少蜜蜂其实是不太会自己过来尤其是它不喜欢这些果树的话那所以说你真的要授粉的话其实反而确实是需要租用蜜蜂来做的
[00:21:37] 原来如此此外当时的美国风龙就已经可以根据一些需求去用那种卡车大规模的转移风向从而保证说
[00:21:47] 一年之内可以做几轮授粉服务然后就把这个整个风群的利润榨干啊现在我们比较常见的一个美国国内的转场方案就是年初蜂农会把这个风群送到加利福尼亚那边有很多的杏仁树园子然后给这些杏仁树来提供授粉服务然后授粉完了以后呢把它这个风群运到西北部直接为这个苹果这些春天开花的这些果树来授粉然后呢就到年中年中把这些蜜蜂再移到中西
[00:22:16] 然后给向日葵啊和芥菜花授粉然后到秋天呢再把这个风旬送回加利福尼亚
[00:22:22] 等这个蜜蜂直接冬眠结束了之后蜂巢稍微维护一下你就可以继续给这个杏仁树授粉了好家伙连轴转啊这个蜜蜂感觉打工蜜蜂这一生被安排的明明白白啊月老师我有个问题啊就照这么说的话是不是美国蜂农它的这个主要就是赚这个授粉的费用没错其实我看到一个美国农业部的行业报告就显示就从收入结构来看蜜蜂授粉服务在这个蜂农总收入当中的占比已经从1988年的百分之
[00:22:51] 比较小的一个比例涨到了2016年的41%2016年这个比例呢其实是超过了这个卖蜂蜜的收入也就是它的收入结构里面第一大是授粉服务或者说授粉服务和卖蜂蜜产品基本上是等同的那这个里面为什么会产生这么重要的一个就是说反转的一个变化呢其实我们前面提到过就是因为有所谓信人数的这个授粉需求所以这个增量都来自于信人了是的可能大部分都来自于信人
[00:23:19] 这里要稍微补充一个背景大家可能知道中国也产杏仁
[00:23:49] 确实需要蜜蜂一类的虫子帮它爬来爬去把这个粉瘦了那么因此呢每到一月份每年一月份呢这个加州的这个杏仁树园子里就挤满了瘦粉的蜂群那这一带的杏仁树园子呢可以吸引当时美国养殖蜂群的60%以上就相当于美国六成的蜜蜂全都挤在那里哇这么多不过这个感觉就可以和我们消费市场这个体验联系在一起了因为这些年
[00:24:15] 包括像素食群体的增长以及全球对于植物蛋白的需求的提升杏仁产品一直还是很热销的很受欢迎的我们之前讲颠覆牛奶的一些牛奶里面也提到杏仁的一些饮品这个我觉得也可以理解了为什么杏仁的授粉服务的需求量大涨因为你终端产品的收入提升了你种植端的价钱也比较好说了然后你种植端的供应商这些蜜蜂也需求量可以提升了对吧
[00:24:43] 我看到一个数字说据说高峰期每个受粉的这个风群在杏仁树园里面的这个租赁价格可以达到170到200美元是其他经济作物的三倍以上就是一个风群就可以赚这么多钱比我们之前江武常说那个1971年那个什么7到9美元要多多了多多了另外呢就是也要提到另外一种跟杏仁长得比较像的坚果叫八旦木八旦木的学名叫扁桃仁它其实同样是需要
[00:25:12] 蜜蜂来帮忙授粉的就是它这个模式都差不多巴丹木在中国是算是有正常的经济作物培育的
[00:25:19] 它是在新疆的沙车县是沙车县的特产这一个县的八单木产量可以达到全国的95%几乎就是全部了但是在很长一段时间沙车县当地都没有把密封授粉商业化的事情做起来还是一个很粗放的或者很原始的一个授粉的处理方式直到2012年沙车县政府才开始明确鼓励当地营养同时发展养蜂业然后当地有一些政府的授粉的补贴发放给
[00:25:48] 这个情况才有点改善我觉得如果米德听到巴赛姆这个故事的话应该很高兴你看不搞政府补贴还是不行的吧我觉得他确实应该来中国走一走看一看
[00:26:00] 那关于中国的蜜蜂产业呢我也是看了一些资料以后发现呢其实讨论授粉致富在中国的蜂农里面还算是很超前的事情中国呢其实是所谓的产蜂大国那年蜂蜜产量可以达到50万吨这个50万吨是什么概念呢就是世界蜂蜜产量三分之一而且我们中国常见是蜂蜜的贸易顺差状态就是出口量是其实很大的但是跟很多农产品的情况类似就是高产其实很难带来高价那目前中国蜂农收入的大图呢基本上还是集中在
[00:26:29] 蜂蜜和蜂王浆这样的就是实用的蜂产品上面那么市场上面这个蜂蜜的均价其实一点都不高就是一斤二三十块的然后这个收入水平是什么水平呢是国际水平的零头这个只有国际水平的零头是不是稍微点过分低了就是很低很低那这个其实里面有很多方面的问题一个是出于成本考虑就是国内有一些商家会用果葡萄浆这个果葡萄浆其实是成本很低的一个就是工业化的产品去勾兑那种很便宜的假蜂蜜
[00:26:58] 这些假蜂蜜出口出去的其实就很容易造成对整个中国蜂蜜产品的一个信任危机第二个是我们目前国内的蜂蜜的标准里面其实没有严格的区分所谓的浓缩蜂蜜和成熟蜂蜜但是在有些国家它就是不允许直接使用浓缩蜂蜜的这其实也压低了中国蜂蜜的价格
[00:27:17] 什么叫浓缩蜂蜜和成熟蜂蜜对我也是这次才学到的这个其实涉及到蜂蜜的一个转化过程其实蜜蜂去采完蜜以后呢它形成的是所谓就水分比较高的叫非成熟蜜就是它在蜂巢里面一般要放五到十天才能慢慢转化成一个好的成熟蜂蜜但是因为这个国标比较模糊蜂蜜的收购价格又很低所以说蜂能就是干脆我直接在精良上做做文章我多卖一点就是这个非成熟的高水分的蜜给这个收购商
[00:27:47] 所以说一般来说选的是在蜜蜂出去采蜜当天回来以后就开始取蜜了就有点像卖菜的时候注水是吧或者是把这个水晾干稍稍有一点其实收购商也知道非成熟的蜂蜜品质太差了然后他就会做一些处理就是直接把这些
[00:28:04] 蜂蜜在高温退变水然后就做成了保质期更长也更适合现在商超渠道一些浓缩蜂蜜但是高温脱水过程中就显然会损失掉一些比较有价值像生物美还有一些营养成分大家都知道营养成分不行了以后你也卖不上价这个感觉就是有点我们前面讲到的螺旋下降的一个感觉了就是大家各自都在往标准往下降的这样一个过程相当于是标准本身其实与市场的需求是有一定脱节的
[00:28:31] 然后导致了现在这些产业里多少有点杀鸡取卵的这样的一些现象发生对吧然后这个价格也往下压了其实已经有一些业内人士意识到了就是说一方面我们要把蜂蜜的品质提上来就是不能再卖这么烂的蜂蜜了另外一方面也一定是要向授粉这种高附加值的农业服务方向
[00:28:49] 来去做一些探索来为丰农争取更高的利润空间那我看到2022年6月中国科学报采访过一位就是中国农业科学院密封研究所的所长叫彭文君彭文君给出了两组数字第一组就是他统计下来发现说中国蜂蜜的产值是每年500亿元而授粉价值如果做好的话每年是可以超过这个产值的100倍他给了一个非常乐观的估计
[00:29:14] 第二组数字是当前我国农产品生产当中使用很多农药化肥这个农药化肥就是能够实现这个5%的增产已经算比较难得了但是如果用密封做好授粉服务的话那这个产量可能提升不只是5%等于是一个双赢的一个产业的发展方向对于丰农来说的话它可以把这个自己的盈利空间能够打开也能逐步的带动这个国产的这个蜂蜜的质量和这个价格能够往上走
[00:29:42] 然后对农产品来说的话它也能够通过这个密封的授粉来带动未来这个产量的
[00:29:48] 是的感觉就是我国已经开始研究或者是开始认真考虑说受粉经济这一块了但是说怎么样真正说把它引导到蜂农的心里面去让他们自愿的去调整这个收入结构不要再单纯靠蜂蜜来过日子感觉还是需要点时间的
[00:30:07] 我们前面讲完了中美两个国家在所谓密封产业结构上的差别最后我们再来简单讨论全球养蜂业近年的两大繁星事还有繁星事有一点点首先就是又讲到加州的杏仁树受粉大潮当中有些隐患因为它
[00:30:25] 我们一开始说
[00:30:54] 杏仁树日常生长当中其实需要打很多很多的农药这个对于蜜蜂来说是特别危险的就导致它们在受粉的过程当中死亡率其实是会比其他的就是说昆虫种类是要更高一些的这个蜜蜂的工作环境也太残酷了吧我们看到有个说法就是说蜂能赚的这个钱其实就是在送自家的蜜蜂上战场但是如果说你
[00:31:18] 就把授粉变成一个所谓的商业化的服务的话这些风险因素其实都是可以所谓量化的计算然后你把它
[00:31:26] 折合一个概率或者折合一个损耗率你折合到成本里面去你大概还是可以算出来自己因为这个事情少赚了多少钱以及你还能够接受少赚多少钱的这些问题就是说你可以去补你如果死了这些蜜蜂你去补一些蜜蜂只要补的蜂群的价格足够合理的话你其实还是能保证赚不少钱的这是一个梦的感情的蜜蜂机器所以另外一个繁星是什么另外一个就是一个比较全球化的一个事件叫做蜂群衰竭失调也叫蜂群崩溃听上去好可怕
[00:31:55] 这事情从2006年开始呢在全球很多国家都出现过风军崩溃简单来说呢就是风农发现说我过完冬以后就有一部分公蜂集体失踪了这个周围活不见蜂死不见尸反正就找不到然后2022年有过一轮特别大的就是发生在韩国那韩国当时是有78亿只蜜蜂
[00:32:16] 集体失踪了然后当时好像国内有一些专家根据国内的那个蜂蜜产值折算一下说韩国蜂农当时的损失合计有4亿元人民币之多了我觉得蜂群崩溃这个词这个崩溃形容的是这些蜂农啊因为你都找不到他们在去哪里了是不是对就是人比较崩溃啊所以这个这么频繁出现的这个蜂群崩溃到底是什么原因呢
[00:32:39] 到目前为止没有一个特别明确的解释有很多种说法但是主流观点有两种第一种是说因为现在有一些基因改造的作物它的花粉对于目前的蜜蜂品种有比较大的影响另外一个原因就是全球不是近几年天气都比较走极端这极端天气其实是突破了蜂群原本适宜生存的温度区间
[00:33:02] 大量干旱又进一步导致这个蜜蜂的食物减少了最后这个公蜂呢就放弃了原有的蜂群决定离家出走好吧感觉就是这些公蜂他们受不了这个公司集体的这个罢工辞职了在于老师我看到有一个美国的全国蜂蜜报告他每年会披露这个就是全国的这个蜂群数的我看到他就是经过了几轮大的这个蜂群崩溃之后好像从统计上面来
[00:33:27] 看没有特别体现出这个风群的规模的减少还是一直维持在比较稳定的230万到260万群这个规模所以他们好像没受什么影响吧怎么回事其实有一个很简单的办法就是分箱你把就是还没有跑路的这个风群拆开来然后把它变成几个小群在每个风群上面再配一个新的风后就可以了然后这个市场上其实已经有非常成熟的解决方案就专门去买风后的销售渠道
[00:33:54] 除了去买一个丰厚的话你也可以去买一个蜜蜂套餐这个蜜蜂套餐里面呢不仅有一个丰厚还配了上万只公蜂就是一个非常完善的一套然后呢你把这一套往空的笼子里一塞其实就行了这个价钱而且都不算贵
[00:34:08] 总而言之就是现在这个采购蜜蜂的这个产业链比较成熟了所谓你这个问题花钱就能解决就是之前是什么加州那边这个杏仁园里边的蜜蜂什么感染了感染病你可以靠这个买这个蜂群补然后现在崩溃了之后你也可以靠买这个蜂群来补对它就是变成一个非常商品化一个商品的东西而不是一个完全农业的东西了OK
[00:34:31] 那么今天呢我们从三篇论文出发啊带大家简单的探讨了一下密封的经济学在这些话题当中呢好像很多问题就像刚才所说的都能够花钱就能解决啊比如说原来是无心插柳的这个密封的授粉现在就发展成为一门很不错的收费的服务再比如像这个前面讲到的风群崩溃这样的问题也可以用钱来缓解
[00:34:54] 在历史上农业始终是一个要和许多大自然的不确定性博弈的过程某种程度上来说能用钱解决事情越多的话也意味着农业就越能把握这种不确定性不管是政府的介入和引导还是农民之间自发的定价机制都在让农业变得越来越像一门生意而经济学家们可能只是恰好注意到了这个变化商业就是这样
[00:35:25] 感谢收听这一期的
