Vol.142 串台《晚点聊》：安利2023，挖坑2024
[00:19:06] 还有任宁他们我接下来就从北京在上海住了一个月然后我发现我去见的所有人没有夸张所有人都在聊怎么做小说没有一个意外岳老师好像的确没聊怎么做小说但见的什么比如说像蔡英熙的主播曹宁然后企鹅吃喝的志伟就全都在聊怎么做小说然后当时我意识到这个事我们在北京不怎么聊但是在上海如果大家都聊这个事情的话这个事情肯定我应该关心一下
[00:19:30] 他应该比我想的要更有意思正好那次在上海时间比较久就直接现场约了很多人就说在做小红书的人就找他们聊就看他们为什么做小红书做小红书什么感觉然后聊完之后发现小红书这个公司和里面那些用户在做的事情是一些非常有意思但是没怎么被人聊到的事就大家更多关心的是这个公司作为一个商业公司它什么时候上市有传言说它今年就要上市了咱们这节目24年发
[00:19:54] 其实前年我做这研究的时候当时已经有传言说他要上市了就说这公司怎么做商业化什么的他的进展的历史晚点也发过很多非常好的文章红号也写过一篇就是晚点聊的另外一个主播写写过一个关于小红书的发展的历史都是很好的文章对但这个里面我觉得有一个可能大家不怎么提的就是这些围绕小红书活着的人因为我身边都是这群人
[00:20:12] 他们为什么做小红书为什么不做抖音不做B站在小红书上花了什么精力所以我觉得这个事是个挺有意思的事应该是可以好好坐一坐聊一聊的所以当时想的就是说小红书是一个特别有关于图片现在有关视频的平台能不能做一个图文结合的报道文字和图一样多让他俩互相的解释就不单纯做以图配文也不做以文配图这种形式但是后来像于老师说的也是这样
[00:20:38] 我们当时那个文章稿件是15000字配了40张图首先15000字在今天就不合适发到微信上对40张图也更不合适因为你很多号会有要求你稿费是图和文章是分开给的都挺厚道的但是图你不能超过多少张因为它对一个稿费有限制然后所以最后这个文章因为它也不适合晚点发了因为它变成一个特别个人的文章了就是我怎么探索小红书的我为了当时研究小红书自己开了个美妆的账号这是刚才聊到的其实也是为了当时看看小红书
[00:21:07] 是怎么做的所以就弄了个美妆的账号最后因为跟T-Maxing的编辑Kuma关系比较好然后他帮我发出来了但他帮我改了非常多我给于老师看的版本还是他改之前的他改之后我觉得的确比我自己写的一万五千字好了很多而且删了很多我觉得非常啰嗦的话然后那个文章发出来之后我就在想说有没有可能再做一个音频版本把文章中不太好写的部分再呈现一遍所以我就用用
[00:21:32] 那个文章最后发的时候应该是8000字然后我就用那个15000字的底稿又改了一个音频的版本一半是我和那个一起跟我做这个文章的摄影师一宣的我俩的一个对的交流但其实也是有逐字稿然后另外其中有一部分是我和采访对象直接实际的录音比如说我采访众青的时候那个录音合成了一个节目
[00:21:51] 然后但那个节目出的时候其实我没想他那个播放量能有特别高因为实话实说那个还是一个给文字写的稿子就不同媒介之间是有区别的所以有些听众说那个感觉像念稿这个指责我是接受的因为他的确是有一个文字稿在底下但是那个文章到最后那个播放量还比我想的要高不少所以我觉得可能大家也是对小红书的确挺关心的然后在那个过程之中其实我还采访了小红书的博主然后有些博主非常健谈也非常好聊所以就跟他们录了音频节目
[00:22:17] 但是当时想的是就别连着发中间穿插点别的然后就一直拖拖拖拖到后面才发出来因为当时还有一个特别尴尬的点就是我在发第一个关于小红书的文章小红书的播客的时候只好赶上小红书做投放在播客里面
[00:22:32] 对是
[00:23:01] 别提了我那个文章发的时候就有个人给我截了个图说他恭喜小叔发了软文就投放到T还挺好的我当时感觉是我写了个什么东西怎么能被人当成软文朋友们这就是对于内容创作行业常见的误解这个是最痛苦的就是你吭哧吭哧写了一个你觉得还非常客观的然后非常真诚的一个东西然后人家说这个东西多少钱
[00:23:24] 但这点反而我就可以展开多说一句就是在今天在中国像曼琪刚才聊的报道商业其实是个挺难的事就是一个公司有各种各样的原因不愿意让你聊它假设我真的是晚点的全职记者可能我不能这么说但我介于我是一个边外人员我可以替记者们诉两句苦就是很多朋友会觉得说你为什么不报这个公司为什么不说他这一点不说那一点在中国我们今天不管是我做播客也好还是写文章也好写一个公司都是非常难的事情它有非常多你不能碰它不愿意让你讲的地方
[00:23:53] 你讲你但凡夸一点别人会觉得你是软弱你骂一点就是他的粉丝会觉得说你是受了别人的黑钱或者说你不客观什么的所以你想保持一个中间那条线就是我就把我的感受实实在在的说出来在今天是一个奢求所以小红书那样的文章出来之后大家的默认习惯就是既然这个文章骂的不狠那它应该就是一个软文很多人会有这种感觉对小骂大帮忙嘛小骂大帮忙是吧那你也不能指责读者什么因为的确在今天
[00:24:21] 你看到的很多文章就是奔着小妈大忙忙去的所以我也没有办法提前在文章前面加一个disclaimer就说我这个东西没有拿小红书的任何钱什么的你也没法这么弄但另外一点也是为了避免这种情况出现我刻意在那里面做了一个事就是我没有采访任何小红书的人就是我一个小红书的人都没聊因为一我不想给他们带来麻烦就万一我那个文章最后写出来之后对小红书的批判比较激烈那给他们带来麻烦也不好就觉得就没必要嘛
[00:24:45] 我觉得比较遗憾的是没有拉红后来做
[00:25:13] 就洪浩今年发了一篇他那个标题是叫一亿人的小红书时机摇摆和决心这个也是反响特别好的一篇文章他大概是回顾了整个小红书从一开始你会觉得他们不知道在搞什么对吧一个pdf就创业了可能中间有很多摇摆比如说也做过电商做过什么然后到这个社区的氛围慢慢形成到他现在成为可能一批中央部的互联网公司里面你能看到他少有的是头是上上的这样一个公司
[00:25:40] 其实整个互联网行业最近两年也比较多的挫折嘛里面也是涉及到很多评价的我觉得确实关键是你要有足够多的事实然后播客这边我觉得特别好的是跟我们平时的报道它确实有一个互文和补充比如说红号写小红书这边它还是一个非常经典的商业公司报道的操作它这个里面可能会踩到很多前高管然后曾经在那里工作的人它的投资人包括广告客户这样的人然后播客这边其实有很多事从
[00:26:07] 里面生态社区里最重要的一群人也就是博主的这个角度去还原这个公司不同的面向我觉得小红书这家公司也是我们后面还有问题也会聊到它就是今年会这么受关注包括你刚刚说的那个投放和你们没有被投放还是年终的事情年末又有一波对吧人家会讨论到这个问题后面我们还会再讲到
[00:26:31] 第二个问题就是有哪些过去一年里面想做但是没有做的节目这个我很想听汉勇有什么想做没有做因为我觉得他想做的东西非常多但他没有做的东西也非常多我准备听一下他会拿几条来辨识我想做的东西特别多我还真得捋一下因为之前有准备所以就说几个我最想做但是还没做的节目第一个是我真的是今年应该能做但我今年就是没做的一个节目是聊无人机的因为我之前创业了很多年跟无人机关系特别大
[00:26:59] 所以我觉得我能把这个无人机的历史聊的挺明白的我一直想找一个我的特别好的朋友一起聊但他因为人一直在外地做实验然后我也不总在北京待着所以就一直没搭上线一直没有一个完整的一整天我俩都在北京碰上把这节目好好录了因为至少有两天其实我要先跟他对一次然后再跟他录所以无人机这个是我挺遗憾的因为这个今年的确我是真想做但就是没碰到那个时间另外一个是关于互联网历史
[00:27:25] 我一直想聊一些互联网史前史的东西就是关于互联网怎么进中国那段其实挺有意思的就当年就是什么说亚信神通数码把互联网带到中国当时开玩笑说你要能拼internet那个词就能去这上班然后还有像网费是怎么逐渐降低的这里我想插入一个很恶毒的想法因为这两天其实对于朱令案的讨论又比较多但朱令案其实里面涉及到一些中国互联网早期的一些引入的过程我甚至有想过如果有谁把朱令案和这个东西结合在一起应该是个很爆的东西
[00:27:54] 可以说是中国发出的最早的一批email对你给我提了个醒谢谢岳老师但这个就是你要做的话你一定要花特别多功夫去做考证就是谁当年真正做了什么因为它不像是观点性的节目这种历史性的节目其实就得按做学术的标准去做就你要保证每个东西都有出处有来源的然后double check这个需要花非常多的时间所以我也不敢保证说我今年就24年有时间做但我是想做的
[00:28:19] 然后还有两个想做的一个是关于东北经济产业的节目因为最近半年聊东北节目特别多而我在网上大部分人知道我就是我在聊东北但我其实只聊过东北的历史和古建筑什么的但其实没有聊过东北的产业什么的这些事其实我是一直想找人聊的但我的原则就是聊东北的节目我只在东北录所以可能等我24年什么时候回到东北的时候我找一些嘉宾来聊一聊然后最后一个就是我们节目有一个常见的经常出没的嘉宾就是仲清
[00:28:47] 他其实特别会聊商业所以我就希望今年能不能抓他聊一聊更多关于商业
[00:29:12] 当然你如果抓他的时候你也可以催更一下他正常的节目能不能再给大家更新一下是的不在场是吧我问过他我说你当年为啥做这节目他说因为当时没人关注听的人少所以就做了我说那你现在不做是因为听的人多了吗他说是但不在场去年被删掉了很多节目我非常期待他搞一个不在场痛骂一下这些唱片公司是这个可以让他自己来说对然后他今天是想找他多聊一些商业的节目看能不能弄
[00:29:41] 因为我俩现在一个工作室我就经常看到怎么做节目了他做一个节目太努力了就是需要花非常多的时间研究这个节目在他那里就不能有任何拉胯的地方所以我觉得如果我没有一个季度的时间就说这一个季度我就只给你做这一系列节目我应该不会考虑启动这个事但我觉得非常期待非常期待24年做不出的话25年还是可以做一下对或者做一集也是做保持长期的期待外企有什么想做但是没有做的节目
[00:30:07] 其实跟刚才说的是上官的我是觉得整个玩电脑应该和就我们平时主号的报道有更多的联动吧就我觉得有几个重点的互联网领域我们今年跟的比较多的包括阿里拼多多其实是可以做更多节目的
[00:30:20] 我们最近有发一篇文章是讲低价极致低价于拼多多这篇我觉得也是翻上比较好因为其实拼多多这个公司大家会觉得它已经被报道的很多了然后最近它在这个美股的表现也特别好资本市场也特别关注但实际上能把这个公司的来龙去脉以及我觉得它最核心的竞争力就是低价这件事写得非常清楚的文章并没有那么多这篇文章的摘要我觉得它是很好的总结了对这个公司的一个洞察就是不计一切做成一件简单的事
[00:30:49] 构建一个机制让东西自然变便宜拼多多的这个事其实也和今年整个中国电商的大环境是有关系的因为整个中国的电商今年都在搞低价我觉得某种意义上他们都是在学拼多多嘛最开始是被他冲击不屑拼多多这个学习拼多多对吧成为拼多多还没有到这一步还没走到最后这一步然后我看那个京东他比如说也搞百亿补贴的时候
[00:31:14] 我就有一个非常有意思的发现就是我都不知道京东搞过白衣补贴他们之前就在做包括京东自营其实之前也是可以只退款不退货的但是我都不知道就说明它的效果并没有达到拼多多那种所谓心智对吧大家都喜欢说的心智对拼多多我觉得是真的占领了你的心智它确实是围绕低价这件事情把这个定位给执行到非常极致的状态
[00:31:38] 就说如果你做低价的话它看起来好像是一个想法而已好像是很容易被模仿的但实际上你要围绕它去做一系列经营的动作嘛包括它可能商家的筛选也没有那么仔细比如说我们那文章里就写到如果你要去卖这个阳城胡大夹蟹你在京东可能需要多少多少正然后你在阿里是需要多少多少正但是你在拼多多应该只需要一个正吧就什么食品什么什么经营的一个东西对那个图我印象还是蛮深刻的
[00:32:04] 对食品安全许可证那个非常的鲜明对然后他还有比如说很奇怪的营销方式砍一刀什么的然后便宜的物流就拼多多很长一段时间里他其实一直在用菜鸟的这个系统就他根本不在乎说阿里是不是关注到他他就是奔着他自己的目标用他认为效率最高的方式去实现自己的目标然后还有持续的补贴等等他是一系列的动作但可能这些东西如果阿里和京东要来学的话因为他之前已经有一个体系了
[00:32:32] 就他可能会你又想不学然后你又放弃不了之前的东西在这个中间就会很难受我觉得这个商业案例真的还挺有意思的其实今年可以和主号联动做的更多一些对拼多多我还是非常期待的而且甚至我觉得拼多多有可能可以像小红书一样做在播客里面有不同角度的实现因为他这个低价这件事情已经不单单是一个公司的商业行为其实跟小红书一样就是依靠这个拼多多生存的或者说是经常使用他的人
[00:33:01] 也会发生很多的变化看样可以再搞一篇像小红书一样的稿子那我可不敢不敢是吧对就是今年拼多多还有一个挺重要的事是有一群商家在拼多多上反叛你们对这事有印象吗就很多人跑去买一堆东西然后他们只退款不退货而且他们充的都是拼多多自己官方的商店或者说官方的人有关的商店对他们其实就是在表达自己的不满因为他们被拼多多压榨的太厉害了
[00:33:30] 我觉得这个事情到了2024年会有很多有可能新的
[00:33:56] 也可以看我不知道但我觉得晚点肯定是能报的就是那个他们在美国的那个各种各样的竞争和挑战因为我最近看了好多对最近我们有写一篇三国杀就题目然后那个TikTok还有信对那边挺好的那个应该找记者也来聊一聊对那也是一个很大的故事所以关键就是要算分对所以还是得算分算分就是这样
[00:34:23] 又提到一次所以就是晚点聊现在还是业余的一个额外的工作但是不算到这个工作的绩效里面的是吗首先汉阳没有工作绩效对吧对我没有我就是纯业余爱好对目前没有怎么去算这个那我觉得很需要因为这个内容本身是很有价值它相比于文章以外是有很多新的东西的不单单是一个文章的重复你们可以把这个作为一个整体比如说报道频道的稿子和播客作为一个project来算
[00:34:52] 然后你们再做切分什么也可以我们在帮管理设计薪酬体系吗对不起感谢感谢这已经充当了外部战略咨询公司的作用
[00:35:05] OK那我觉得这个问题就是什么题想做但还没有做之后我们可以把原来第四个题提上来就是有什么节目和选题是晚点聊过去一年做完了之后现在回过头来回看这件事情又发生很多变化的我觉得这个也是一个蛮有意思的角度对我可以提我们之前已经讨论过的一些节目一个是就刚才讲到OPPO终止造星这件事情当时可能你更多的看到是遗憾和可惜
[00:35:32] 不过在当时也有一个事情已经有苗头了就是在OPPO折库上海的办公室周围已经有很多猎头去蹲守在那里对吧这好像是个常规动作对你们那时候讲到这个细节我也非常的印象深刻对可能当天就有各种比如说什么大疆的人或者理想的人去那边招聘然后各种微信群也拉起来了这个确实在到年底来看可能会更加的明显那OPPO折库的这些人据我们了解有部分是去了理想
[00:36:00] 因为理想汽车自己现在也有一些自研芯片的计划还有去BRDBRD也是有自研芯片的计划然后Momenta那边它是一家在苏州的自动驾驶公司然后它主要是服务车企的比如说像上汽自己的这个智能驾驶的系统就是Momenta服务的它和BRD也有一些合作和BRD也有一个合资公司然后这个公司它算是一个大的独角兽吧它也成立了自己的芯片相关的团队然后也是吸收了一些折扣的人
[00:36:27] 其实折扣当时有一群人就是有一群这种技术leader出来之后他们是有想过自己创业的但今年的这个一级市场的创业环境不是很好芯片设计这个领域在21年的时候有很多很多投资但到现在的话其实相对已经比较低迷了最后这个创业的计划就据我了解它应该没有继续下去然后这些比较重要的人也是去到不同的公司一个比较好玩的地方就是你能看到现在这个是电动车的车企自研芯片它接盘了手机造型的计划
[00:36:56] 就背后我觉得也是一个商业热点
[00:37:25] 而雷军现在他的姿态
