Vol.141 2023失意大公司·全球篇
[00:03:22] 那为了减少库存三星也被迫开始削减供应了那除了这个旧芯片卖不出去的问题以外存储芯片市场本身重点也发生了一些变化大家知道因为AI时代的来临生成式的大模型很火那为了配合这个需求它就需要算力要求很高的AI服务器那么DRAM和NAND的存储芯片都陆续被淘汰了新的一种高带宽的存储芯片叫HBM它就成为了一个新的增长的主流
[00:03:50] 而在HBM这个新兴领域呢三星有一家老对头公司叫SK海力士它拥有超过50%市场份额而且呢还在跟英伟达合作开发一些高端的新产品这给三星带来压力是很大的其实三星自己也不是说没有开发HBM的能力啊它跟SK海力士目前在HBM上面的市场份额呢其实差距不大只差10%
[00:04:14] 只不过是在高端产品比如说AI GPU当中使用的那种HBM3芯片上面相对来说有点落后今年下半年三星的HBM3也开始大规模投产了相信这个市场很快就会回到两家共同竞争的一个状态了不过就算HBM的情况会变好但是三星还是要面对那个问题就是要为上一代的DRAM和NAND存储芯片寻找买家不然它库存的压力就难以处理了
[00:04:42] 你现在不消化的话只会越来越难消化其实这个方面它的对手SK海力士也是一样的它整个公司的存储芯片的业务也都是亏损的所以这是个行业的问题其实这里面有一个从时间上来看很有意思的转折因为我记得2021年的时候市场普遍的声音还是缺芯但是到了2023年这个芯片怎么一下就过剩了呢其实还是因为当时的新冠疫情严重扰乱整个芯片的供应链和生产活动
[00:05:10] 再加上大家都待在家里导致对于个人电脑智能手机游戏机乃至于家用电器的需求在短时间内都有明确的上升那这种情况呢其实一直持续到2022年的上半年然后又夹杂了一些地缘政治因素这个整个期间呢芯片都是偏短缺的但是制造业的调整呢虽然说需要时间但也不需要那么多时间所以到2022年的下半年这个芯片市场的供需整体都已经比较均衡了
[00:05:36] 当然要说明的是比如像汽车行业它其实对于芯片的需求依然是很大还是有些紧缺的那么我们这边说的相对比较过剩严重的两类存储芯片其实主要还是对应的是消费电子了尤其是智能手机的市场那么他们要回暖的话其实只能等智能手机本身这个市场回暖了这个周期其实意图是在的总之来说就是这块业务的复苏主要取决于消费电子产品的需求是否会真的回升
[00:06:03] 但是这个又跟宏观经济的复苏有关宏观经济的复苏目前来看还不是一个特别确定的事情另外还要提一个点就是三星其实还在做另一件事情和英特尔比较类似他们都想弯道超车在晶圆的代工的业务上面能够缩小和台积电之间的差距甚至再反超过去
[00:06:22] 那么从三星的动作来看在销售业绩很低迷的二季度它其实在半导体的投资依然有13.5万亿韩元同比增长是24%就是它在代工这上面还是花了很大的精力的三星目前的大型生产基地在韩国就有两处美国也有一处之所以采取这么积极的一个政策就是想要跟台积电去争抢客户
[00:06:46] 除了尖端技术和价格竞争力以外这也得考验它的长期的投资姿态其实从制程技术方面我觉得三星和台积电的差距已经不是那么大了如果说它的技术能够不断地改善不断地推进设备的投资今后还能获得一些长期的优质客户三星有望在晶圆代工这个方面实现一个很好的良性循环那能从台积电那里拿到多少客户我觉得这应该是它未来这块代工业务稳定增长关键之一
[00:07:15] 那关键之二呢还就是要看三星本身能不能回到良性的自我造学的一个一级增长态
[00:07:23] 那我们下面就进入第二家公司就是之前叫Twitter现在叫X的这家神奇的公司那马斯克在2022年收购Twitter然后在2023年把它改名成X这家公司呢可以说是在过去的一年里面负面新闻不断吧但我们抛开那些就是比较锐的新闻啊从公司的角度来看X的事业我们大致可以分为债务经营和品牌三个层面来讲那首先是债务上面这个大家有可能了解的比较少啊
[00:07:51] 就虽然X是一个私人的公司了现在而且他也不公布完整的资产负债表但已有的公开信息啊都显示他的负债情况不容乐观而这个问题呢其实从马斯克去年收购的时候就埋下来了大家知道2022年马斯克收购Twitter的时候价格是440亿美元那这个当中啊他自己负担的大约是250亿美元左右这个250亿里面再拆开的话里面有一小部分是他原来就持有的Twitter的股份
[00:08:18] 还有一大部分是他出售特斯拉股票换来的还有一点是他从SpaceX那边挪过来的那么除掉这250亿之后剩下还有80亿是一些联合投资者一起投的钱比如说有沙特的一些钱那么再剩下有130亿美元也是很大的一块它主要就是来自于7家银行的贷款那这些贷款的利息就成为了目前X公司它经营状况恶化的一个主要原因就很简单就是因为今年美国的国债的收益率大涨了
[00:08:46] 那X的这些贷款这银行贷款它的利率呢多少都和一个叫做担保隔夜融资利率这个东西相关它简称的叫SOFR可以简单的理解这个SOFR呢就是美国市场的一个贷款基准利率而这个数字呢目前是跟美国国债的回购市场浮动挂钩的所以结果就是如果你美国国债的收益率上升的话这个SOFR也会上升导致X它要还的贷款利息也会变多
[00:09:13] 所以结果就是去年马斯克收购推特的时候这个software只有0.28%那收购之后呢已经涨到了3.5%但在今年9月底的时候这个数字已经涨到了5.3%我们看了一下财富杂志做了个估算啊就是这样一个利率的涨幅就意味着X公司他今年的单单利息支出就要从原来的预估的8.6亿美元上涨到大约14.5亿美元了而且不光是利息支出是今年的利息支出对吧
[00:09:41] 其实高昂的债务负担在大型的并购里面并不是很少见而且今年利率的上升其实是整个市场的一个状况只要说马斯克找收购timing不是很好是的当然也可以理解大多数的创业者其实和马斯克一样过去几年长期都是在低利率的环境里边来扩张自己的生意版图的这也是他最初的那几个创业公司在早期遇到麻烦的时候都还能坚持下去的一个重要原因
[00:10:07] 就是他还能以比较低的成本来获得钱但是现在他就需要适应一个新的局面了但是另一方面以我们这个粗浅的对于公司并购中银行贷款这个情况的了解其实像X加公司贷款还是有很多可以调整和转还的空间的不管是银行再重新出售这些债券还是跟X公司之间签订一个新的比较合理的利率的贷款协议哪怕是债转股甚至是免除一部分债务感觉上都是可行的
[00:10:36] 但是这些操作都有一个大的前提就是X这家公司自己的经营状况要好我才能给你免一点这个钱对那这就涉及到X公司第二个失忆的点就是他自己的经营状况并不好大规模的裁员其实从结果上确实为他节流了很多但是另一边他的开源其实不太成功马斯克做了各种的付费计划但是他并没有给X带来很大规模的收入增长
[00:11:00] 相反社交媒体平台最主要的收入支柱就是广告在马斯克接手之后是迅速的下滑了我们根据彭博社最近的一个报道就是2023年X公司的广告收入最后大概会是25亿美元左右如果按照它广告收入占整体收入四分之三来算的话相当于这家公司2023年的营收大约是30亿美元出头但是2021年这家公司的营收是超过50亿美元的就在它收购之前其实多得多
[00:11:27] 当然马斯克对于新的X公司提出过很多自己的想法比如说他希望这不再是一个社交媒体平台而是一个综合的公司所以说增加金融业务也已经在日程上了然后他和马斯克自己的人工智能公司的结合据说也在推进之中
[00:11:44] 当然这些目前都还没有转化成实际的效益我们看到就算是马斯克寄予厚望直接付费订阅的收入也比收购之前要少总之我觉得这家公司在收入上面还远远没有恢复原期问题就是我觉得这里面有不小的过期是要他自己来背他自己此前的一些争议言论就使得许多大的广告主暂停了在X上的投放而马斯克本人对于这个行为的回应是什么呢就是咒骂那些广告主然后说他们是在敲诈
[00:12:11] 马斯克已经不是第一次在社交媒体上面大嘴巴了不过他以前大嘴巴说不定还能帮推特的股价提升一点但是他现在大嘴巴就会直接影响到他自己的公司对这个其实就是我们想进一步探讨的话题当初很多人对马斯克收购推特之后那些改革是抱有期待的因为此前的推特确实整个生态必并从生
[00:12:34] 而且公司的高管层也一直不稳定人们是期待马斯克能够改造出一个更加健康的一个社交媒体现在来看的话由单个人来掌控全球最大的一个社交媒体的平台还有管那些经营的细节其实是一个充满风险的事情这种风险不仅限于公司经营的层面还包括人们所关心的言论自由和公共舆论会不会被个人的意志所左右
[00:12:58] 这其中最具象征意义的一个事情呢也就是我们认为2023年X这家公司的第三个也是最大失忆之处就是它改名为X这件事情本身对那主持过IT公论一天世界这些播客的主播李如一他就有个习惯就是用自己的一些翻译来称呼海外的互联网产品比如说Instagram叫刹那图鉴而Twitter呢它原本的翻译叫周周会馆
[00:13:24] 周周就是响响的叫声和推特的原意是相符的也应和了社交媒体上面众人发声的特点我不知道现在推特改名称X之后李如一还会提出新的艺名吗我觉得李如一老师有可能会给他想个新的艺名但是应该没有周周会管那么好吧我觉得比较悲哀的就是推特这个名字其实用了有17年说长不长说短也不短如果说这个名称和推特的品牌价值很大
[00:13:51] 那么如此简单的扔掉它就是一个巨大的损失反过来说如果蓝色小鸟已经成为一个负面的形象变成了这家公司的包袱的话那我们该如何看待推特这个产品的价值呢那是不是意味着它在很多人眼里只是一个工具和功能而不是一个生态或者社区呢这其实是值得讨论的问题我不知道大家的答案是怎么样的但是在这家公司的所有人眼里答案肯定是前者
[00:14:18] OK那接下来呢我们就进入第三家公司就是雅诗兰黛以前我们说经济下行期可能会出现一种现象叫口红效应也就是说虽然大环境不是很好但是像化妆品这样相对廉价时尚单品呢因为它可以很好的满足大家的消费欲望嘛所以说业绩反而会涨
[00:14:36] 但是今年在中国市场化妆品消费其实出现了很明显的分化像博莱亚和维诺娜这样的国货它的市场份额在变大而像雅诗兰代资生堂这样传统的外资巨头呢则是被严重的挤压而且考虑到中国区其实对这两家公司的业绩贡献都不小嘛那连带着其实整个公司的业绩和股价都受到蛮大的影响的对所以说在选这个时候我有点纠结到底是说雅诗兰代还是说资生堂
[00:15:03] 当然考虑到资生堂最近一季的这个业绩大跳水呢并非是完全受到商业因素影响有一些场外因素所以我就暂时放过它但是亚斯兰代呢实在是找不出这样的借口因为最近的五个财季整个公司业绩都在下滑它年内的股价已经跌到了50%以上那如果分析原因的话可以发现亚斯兰代在渠道布局产品重点和品牌结构上面其实都出现了明显的结构性问题哎呦这么严重的吗那要不一个个来说啊
[00:15:32] 首先要老实说说看渠道的布局我个人一个感觉比较明显的是亚斯兰代是不是错过了直播电商这一轮的热潮我觉得可能还不轮不到直播电商亚斯兰代今年的铺接主要是铺在了一个非常传统利润率又很高的渠道上面就是免税店目前免税店代表的旅游零售渠道对于亚斯兰代集团的营收贡献率接近三成其中海南又是一个非常重要的单点
[00:16:00] 那为了在疫情结束之后尽快拉动收入呢也是来带其实在海南的免税渠道被了大量的货还降低了以小宗平为代表的一个明星单品价格我们还是去查了一下虽然平时没买就是这个50毫升的小宗平在零售端标的正价是接近700块但是在免税店的话是300多元是吧对反正就是这么一个价差水平啊那如果能以这么低的价格来吸引消费者然后拉动这个销售流水这其实是一个理想的正向循环嘛
[00:16:28] 问题就是呢这个海南的免税店里面很多其他品牌都卖得很不错比如说另外一个很大的单品就是XK2神仙水嘛那它在免税店今年是经历了涨价它其实涨价了以后呢都还是抢手货那这么多品牌都卖得很好唯独雅诗兰代这个动销是不太好的而卖不出去的商品呢又会积压起来然后接下来就是去库存的问题
[00:16:51] 其实说到免税渠道的低价的话我觉得其实还会带回另一个问题
[00:17:17] 就是消费者他会瞬间的失去购买正价或者是相对正价商品的一个积极性而且对价格的敏感度也会大大的提升那这个在今年的中国消费市场也是个热门的话题了那关于渠道和定价问题呢我们就暂时展开到这里接下来是前面提到所谓产品的重点问题这个其实也是这两年中国化妆品行业风向变化比较大的部分我们前面举例子不就用的是亚斯兰代最具代表性的一个产品小宗品吗
[00:17:44] 如果从历史上看呢小宗平是一个有很强技术创新的单品因为他不仅直接定义了精华这一个大的产品品类然后当时呢还是以二类酵母作为一个专利卖点可以说是一个最早的成分档产品但是我们又查了一下啊就是小宗平的年纪确实也蛮大了就是他是1982年问世的现在已经40多岁了那现在的消费者讨论成分档的单品的时候
[00:18:09] 像这个小宗平这样原本的先锋的话就有可能反而不那么被提及了嗯没错大家都当他是一个自然存在的东西根本没有考虑他那其实成分党在护肤品领域成为一个趋势呢也是这两年我们前面提到像博莱雅维罗娜其实都明显受益于这股浪潮欧莱雅呢其实也把像理肤泉修理可这些功能性的护肤品牌放到了一个专门组建新部门叫皮肤医学美容部来管理
[00:18:35] 那2022年欧莱雅的这个部门它的销售增长率可以到30%以上可以见就是它确实是一个很好的一个卖点那反过来看亚斯兰代呢就它在很长一段时间内对于成分党这个概念既没有营销动作也没有做一些品牌布局那后期呢是回过身来但是收购了几个小品牌呢现在还没能在整个集团里面站稳脚跟相当于是完全错过了这一轮原来也遥遥领先但现在落后就要挨打是吧
[00:19:04] 那说完产品的问题呢我们就来说说亚斯兰代最后一个结构性的问题就是品牌布局其实说到品牌布局呢我觉得亚斯兰代在这个方面的问题不仅仅是我们前面已经提到就是对成分党这个市场新风向的布局太慢了如果说分别比较一下亚斯兰代和欧莱雅这两个大的集团的品牌矩阵呢会发现他们走了其实截然不同的思路亚斯兰代的品牌矩阵呢整体都非常重视高端这一个点
[00:19:32] 比如说他会花很多的钱去吃下汤富的这其实是一个非常典型的亚斯兰大才会做的决策而欧莱雅的品牌其实是一个很稳定的金字塔结构就是它高中低端都做那位于基础位置的大众品牌也会更多那么可想而知在经济下行的阶段后面那种金字塔的结构相对而言抗风险能力会更强一点那表现大概率也会更加稳定一点吧没错
[00:19:57] 我觉得亚斯兰代可能一方面是受制于他这个家族企业的背景就不管是什么样职业经理人都无法忤逆亚斯兰代家族本身的一个想法那另一方面呢亚斯兰代有可能也是看到了像LVMH这样专门做奢侈品品牌矩阵的一个集团成功
[00:20:13] 不过呢说到底化妆品终究是一个过于廉价的所谓奢侈品一味压住高端其实是非常冒险的做法其实目前三大众设集团就是LVMH开云和利丰也都在稳定的拓展自己的化妆品业务线市场上也有消息说LVMH可能会趁虚而入把整个眼视蓝带给吃下来对于奢侈品来说下探到化妆品领域呢只是一个又轻松又受大众欢迎的选择
[00:20:40] 但是对于疲软的亚斯兰来说这个可能是另一次迎头统计了OK前面我们三家公司分别是互联网科技和消费品的接下来第四家公司呢相对比较冷门就是马士基马士基呢是全球的航运业巨头他掌握着全球约17%的集装销贸易也被认为是全球贸易的一个风效标公司如果说他今年比较失意呢那我们必须要特别声明一个前提啊
[00:21:10] 就是在全球疫情那几年里面它已经赚的太多了那今年恢复到了一个正常水平呢就其实是一种相对的失意是的我们看到金融时报援引了一个航运研究机构的说法就说全球的集装箱航运集团在前面两年的这个利润池啊可能相当于集装箱这个产品诞生至今六七十年来利润的总和这确实是蛮夸张的啊
[00:21:37] 真的很夸张行业虽然不是那么受关注的一个传统行业但是不管是规模还是重要性我觉得它是摆在那里的当然它的失意造成影响相对来说也会很大像马士基在11月披露了一份利润和收入大缩水的季报以后同时就宣布了一个至少1万人的裁员计划这会导致马士基的员工总是降到10万人以内10万人还是一个规模很大的公司
[00:22:02] 所以马士基这轮的困境是因为全球贸易重新流动起来然后这个价格恢复正常所以他这个钱就赚的少了吗确实是这样马士基目前在最核心的海运业务上面面临两个问题一个是运价跌了第二个就是运力过剩了就是运价第三季度通常是全球海运市场的一个行业旺季货运量和运费都会在这个阶段有点上涨但是今年的旺季没有形成
[00:22:29] 亚洲到欧洲北美和拉丁美洲的航线运价反而是大幅下跌了虽然说是大幅下跌其实还是要强调只是回归到了历史正常水平但是为了应对前两年这个空前繁荣的市场需求像马斯基这样的大型航运集团其实都会投入很多资本来组织运力
[00:22:47] 而且他们去买的这些船本来交付也需要两到三年所以说明年可能会出现一个很诡异的现象就是在航运公司经济状况不是很好的情况下还要去吃进更多的新船这个其实是航运业典型的一个周期诅咒既然没有办法开源就要再想办法节流裁员其实是节流里面最简单的一个做法了相应也可以降低整个公司的管理成本另外就是一些日常运营成本上的控制
[00:23:12] 今年第三季度马士基已经把固定燃油价格下平均每个集装箱的运营成本降低了11%如果没有这部分的眼控可能当季财报还会更难看一点我们看到马士基自己的分析是目前亚欧航线的运费掉得很厉害年终一度掉到了盈利点的下面如果还维持低效的运营的话
[00:23:34] 等于是干一天亏一天这样的状态了干一天亏一天确实运营效率上的差距会导致收入和利润的差距也会导致在突发状况的时候航运公司之间的溢价能力会有差异比如说今年巴拿马运河遭遇了持续的旱情红海又受到了巴以冲突的影响对于途经这些地方商船来说这个都会造成相应的保险费用上升以及可能的交付时间延迟
[00:23:59] 那个红海局势其实对全球航运影响还是非常大的就是它不明朗的那几天其实很快就会有很多商船决定去绕行好望角那就相当于运货时间直接增加一到两周但是我们这里说的是所谓商船的部分其实目前在海上运营效率更高更赚钱的是那些大型或者超大型的邮轮以及LNG投资机构Jeffrey的估算是目前邮船的整体利用率可以达到95%而马什基做的这个集装箱船只有不到80%
[00:24:28] 那么油船和LNG船在面临红海这样的局面的时候呢跟客户之间就会有更强的溢价权它可以通过调整运价来消化一些潜在损失这个其实是像马士基这样的集装箱船其实做不到的其实不管是运价的下行运力的过剩还是比如说全球通胀导致的一些成本的上升这个对于马士基人而言来说其实都是很明显的趋势他不会料不到的
[00:24:52] 只不过这个船大掉头确实很难啊这些都是很难在集装箱航运这个领域本身所解决的问题所以我们也可以看到马士基在疫情之前呢就开始布局一些航运业以外的物流市场比如说码头空运仓储货车海关等等等等那其中比较大的一单呢就是2021年马士基以36亿美元收购李嘉诚曾经参与过的一个业务叫利丰物流等于他是要从一个单纯的
[00:25:19] 海上的干线物流商变成一个覆盖物流所有环节的
[00:25:42] 不过从这次跌的比较厉害的三季度报来看这些所谓端到端涉及的物流服务还有码头服务当季的营售同比也是会下跌的可以说要把整个流程理顺在整个链路上面重新分配利润空间还能在运价低迷期间争取盈利马斯基还得调整一段时间
[00:26:03] OK那我们就进入到最后一家公司WeWorkWeWork算是大公司吗其实我觉得用失忆大公司来形容2023年的WeWork已经不太确切了首先它是一家冰死的公司其次它的规模也在迅速的缩小了先说一下最主要的新闻就是2023年11月6日晚共享办公平台WeWork它就向新泽西州的美国联邦破产法院申请了破产保护那在那个时间节点WeWork的总资产是150亿美元
[00:26:32] 他的债务总共是186亿美元而他手头的现金是1.69亿美元一个词来说他就是一个资不抵债的公司而且这个债务规模还是努力缩减过的因为大家知道维沃克他基本的商业模式就是长期的租下一个物业然后在短期短时分开的来租给他的客户他来赚当中的差价那么他的债务主要就是付给物业方就是这些办公楼的租金
[00:27:00] 那申请破产保护之前呢WeWork已经和物业方重签了400多份租约了那重签一般来说要么就是削减了这个租约的长度要么就是降低了这个单位时间的租金嗯其实这个意思就是说反正我已经没有钱了而且你一时半会也没有办法转租出去那要么就是我们双方都让一让吧对然后在申请了破产保护之后呢他预计啊就是还会有69份的租约直接被取消
[00:27:28] 那这些租约加在一起呢其实就占了WeWork全球大部分的租赁面积所以他接下来就开始要处理这些他之前欠下来的债了可以说WeWork这家公司的命运基本上已经确定了但是对于债权人来说呢也就是对于房东来说这个事情才刚刚开始一个大公司死掉可能是很快的但是它的善后呢往往会拖得更长那关于WeWork失败的原因呢其实在2019年它上市的时候已经有了很充分的报道
[00:27:52] 因为他当时试图在纳斯达克以470亿美元的估值上市但最后估值是一路下跌到180亿美元最后他放弃了上市当时约老师其实你还专门写过一篇研报来分析这个突然的估值垮塌那一句话总结就是维吾尔科的商业模式就是办公空间的二房东而和他类似的公司早就已经上市了但估值比他保守的多而维吾尔科在自己唯一的创新可能就是在财报里面创造新概念的能力是一个概念性的公司
[00:28:22] 当时根据维吾尔科招股书里面披露的数据呢其实很容易发现这家公司的办公空间的运营能力跟同行相比呢算不上很突出那即使仅计算租赁的负债和租金的收入呢也只能在部分季度勉勉强强大平就是收支平衡吧那一旦把这个高昂的营销啊行政和折旧摊销这些费用算上去呢它这个亏损呢随时会随着规模的扩大而扩大
[00:28:48] 而且他此前为了抢占市场呢他的给出的租约都是价格非常高啊而且长期的所以他单个工位的成本也不会随着他时间的推移和规模的扩大而贪薄的那么华尔街看低他也就完全可以理解那在此之后呢WeWork的创始人Adam Newman就拿钱离开了公司WeWork呢也是一度通过SPAC的这个模式上市了但是疫情的冲击呢又使得共享办公变得无比的艰难WeWork的经营状况呢始终也没有改善哎大家都知道这个疫情即使过去了
[00:29:16] 在北美职场至少远程办公的习惯没有马上的消失对吧当然VWorks的这种联合办公生意本身我觉得没有死掉相反根据纽约时报报道像IWG这样老牌的联合办公公司在2023年其实业绩是保持增长的只不过IWG和VWorks的区别是IWG会更多采用跟房东联合运营的模式这样的利润不能薄但是负债也更轻也更便于扩张规模
[00:29:45] 甚至一些行业专家还认为WeWork的倒掉会方便其他的联合办公公司扩大规模毕竟那些债权人也就是房东还是会想办法尽快把这些物业租出去同类型的公司接收起来显然是更方便的其实回看WeWork15年的兴衰史相比于它为什么倒掉我觉得更加值得回味的是这个泡泡为什么会被吹起来
[00:30:08] 因为从财务数据来看,WeWork从来都不是一个健康的公司并且也看不到赚钱的确切前景即便是它估值400亿美元的巅峰期也是如此
[00:30:17] 所以问题是为什么这么多的钱会前赴后继的投到里面去其实事后诸可量的来看这个宏观层面答案很明确在低利率时期呢钱就是会非常自然的流向这些风险很高但是也有可能有很高回报的项目里面反正放在银行里面也没有利息嘛你必须为他们找一些这个赚钱的出口这种打银行的下注心态呢很大程度上决定了那些投资机构和背后LP的行为
[00:30:44] 而WeWork上市失败的2019年它之前的2018年呢加息其实已经开始了所以它就走入这么一个周期里对那其实这种风险投资的冷热转换它的周期没有我们想象的拉那么长啊远了不说在2008年经济危机的时候其实硅谷已经经历过一波了当时红杉资本就有个很著名的PPT嘛它的标题就叫安息吧黄金时代那说的就是风头不再只相信故事了而更加关注数字关注利润
[00:31:12] 那这些说法其实我们这几年也非常熟悉对吧那WeWork的失败的话其实就是再一次黄金时代安息的一个标志了那除了这个宏观的答案之外呢我还想说一个小的微观观察吧就不算是一个解释啊就是我们以为非常聪明或者非常正确的一些投资人其实未必也能永远保持清醒的独立思考就我记得2017年的时候和一个在上海做核心区域接铺运营的一个二房东聊天
[00:31:39] 原本是在聊安福路的事情但他突然就问我他说你怎么看WeWork然后呢他也没有等我回答就接着说我以前是真搞不懂他有什么特别的不就是跟我一样的二房东吗但是你看那么多聪明的人投了那么多钱进去是不是他真的有点东西你说他是不是真的代表未来了结果过了几年发现他真的就是一个普通的说明做得更差的二房东啊
[00:32:01] 那在软银带动这轮WeWork估值狂潮里面这种对于may be的幻想呢恐怕存在于每一个投资者的脑海里面毕竟这个低利率时代给了他们冒险的圆动力但也不会有人真的去投一个自己毫不相信的故事那些最具魅惑性的故事呢往往有一个共性就是他们只会展示美好的收获而不告诉你收获背后的代价那WeWork可能就是一个典型的例子
[00:32:26] 那到这里呢,我们就把2023年诗意大公司全球篇的五家公司都介绍完了,再重复一下他们的名字,分别是三星,X,雅诗兰代,马士基和WeWork。当然大家心里肯定有一些自己觉得应该上榜,但是我们没有提到公司啊,比如说因为Google Play吃了一个反垄断官司,而且差点以为要失去今年ARGC大浪潮的这个Alphabet。
[00:32:52] 再比如说漫威电影反响不如预期的迪士尼再比如说全球业绩依然在恶化的阿迪达斯阿迪达斯怎么回事啊还有年初将全球这个创业公司财务状况搞得一团糟的破产的硅谷银行等等等等再仔细列列的话我感觉今年提名奖的名单都要比正式的名单要长了还是那句话选哪家公司并不是最重要的重要的是他们失忆的原因和影响
[00:33:17] 另外多说一句像马士基所处的这个航运也实际规模很大但是因为它长期不在普通消费者的关注领域里面就很容易被忽视我们把它选进来也是希望提醒大家除了那些对你有直接影响的公司也可以关注一些更古老更基础影响也更深远的一些行业那最后我们还想提一个今年商业社会的重要的事件就是芒格的趋势
[00:33:40] 在2023年年中芒格是与Acquired的主持人吉尔伯特还有大卫罗森塔尔一起录制了他可能是人生中唯一一期播客的节目好像确实是唯一一期那在节目里面这两位主持人呢跟他针对现代社会里面最大的那些公司呢有过一些讨论两位主持人先是问芒格说这些大公司应该是这个社会最大的赢家吗芒格说yes
[00:34:05] 但是追着他原因是什么呢王哥就简单说是人性和竞争不过他很快又补了一句啊但是当疯狂冒险的资本变得愚蠢的时候呢就会产生一个自然而然的结果在每年总结市益大公司的过程当中我们也是在讨论这一年中资本疯狂冒险并最终变得愚蠢的某些时刻这些时刻呢可能永远不会彻底的消失但会让我们更加理解聪明与谦逊的美德商业就是这样
[00:34:39] 感谢收听这一期的商业就是这样你可以在各大播客平台收听我们的节目如果喜欢我们
