Vol.263 郎的诱惑
[00:07:29] 顺便说一下这也是为什么寿司郎一开始出发点选在广州除了因为广州的消费者对于海产品的接受程度本来就比较高以外很大的原因就是因为这里的海产品的进口还有冷链的物流水平都非常的高很有道理第二个所谓供应链加强的层面就是技术层面因为日料的这些食材它除了这个食材本身以外你在养殖捕捞运输和烹饪过程当中还是有一些处理的有一些技术在的过去比如说
[00:07:56] 捕捞的时候日本的渔民对于捞上来的渔货它的处理会细腻很多比如说第一时间就抽取鱼的神经对吧让它昏死过去这样的话可以保持更好的新鲜的程度这方面呢过去中国的渔民会相对粗糙一点因为你也没有这个需求吧对吧你不会直接供应那些比较高端的店铺但现在需求量大了然后有售次量这样一个要求比较高的品牌了它就逐步的就提升了
[00:08:17] 这次我们也专门问了一下寿司郎这个问题就是中国的水产品的供应链现在对于寿司郎的保障情况到底怎么样然后这个供应链的提升对于你们在中国拓电速度加快影响的因素是大不大这个方面我想应该是有一些自我表扬的点我们只要想问比如说你到底跟哪些供应商有一些例子可以讲我们可以采访一些供应商他们是完全不讲具体的很谨慎对但是他举了一些例子就像你自己说的表达自己的供应商管理非常的严格
[00:08:46] 有一些自我表扬的但是我觉得有些细节还是挺生动的我可以引用过来他们就说目前寿司老比如说他会采购福建的红干鱼还有佛山的鳗鱼都是我喜欢吃的品类在这个过程当中他们就会给供应商提供比较细的养殖和处理的要求
[00:09:01] 比如说红干鱼它就要求它饵料就这个鱼饵必须要采用超低温面均的天然沙丁鱼就这个规定好了还有比如说鳗鱼它因为处理要有很多的步骤比如说它一定要严格按照空腹48小时两次换水的程序来做处理
[00:09:19] 还有就是为了除腥味就是要做什么鱼皮穿刺红外线烤皮脂层然后什么炭烤 蒸软 涂酱等等就是这些处理的工序其他的都很正常红外线烤皮脂层是什么技术有懂行的朋友可以跟我们在评论区里面介绍一下反而崔硕我看聊天记录里面他说红外线我也确实第一次看到我也不太懂所以看看听友如果了解的话可以告诉我们
[00:09:43] 剔除掉自吹自擂的部分下游企业来提升上游供应商的技术水平这个逻辑还是类似的它比较像我们之前聊洗茶和抹茶供应商的故事洗茶对于你抹茶提了更高要求那么供应商才会提升自己的公寓去做那个东西
[00:10:00] 那简单小结一下回转寿司在内地的话已经有了近30年的发展历史其实消费者已经很熟悉这个品类了但是始终没有像寿司昂这样中高端性价比类型的品牌而2023年之后呢国内的寿司食材供应链的规模和技术水平都在快速的提升这个也实现了广义上的国产替代这个就是寿司昂爆发的两个背景
[00:10:24] 那讲完了为什么是现在就再讲讲为什么是寿司郎吧这一波回转寿司的热潮里边虽然你像冰寿司像金匠寿司等等同样增长也很快但不论是从单店的营收开店的规模还有在招商层面的这个品牌的层级寿司郎都是第一就这个开店的数量有可能冰寿司因为比较早它还是很多的但是这一枪寿司郎的拖垫的力度肯定是更大的我们可以给大家一个数字概念就是寿司郎现在一个店到底是什么样的一个规模根据他的财报
[00:10:52] 它海外门店2025年的单店平均收入大概是3.5亿日元换算成人民币是1500万相当于月营收是125万就是每天的流水就是4万多
[00:11:03] 这个水平大概是什么就是一个比寿司郎店面要大很多的一个正餐的餐厅大概是这样一个水平而且要经营的比较好的听上去还是蛮不错的那到底是怎么做到的呢我们看到有很多的报道都会说寿司郎的一些特点表面上能看到的比如说产品的性价比所谓的同等价位没有它的品质好然后同等食材下没有它的价格低确实第二个就是所谓的产品更新能力就是它的产品的上新速度很快我们看它的SQ大概有个一两百个
[00:11:33] 据说每个月会有上新20多个是有这样一个水平吗确实是据说反正是每个月上新的时候主要看一看反正这是搜了一下B站上面都有专门的博主做寿司老每个月的新品评测就说明他有可能有些素材可以聊是吧确实第三个点大家也会讲的比如他营销活动很多比如很早期的时候就和你像排球少年等等动漫作品来联名持续的会推各种特价的活动我觉得这个有可能是他的一个特色就是那种比较贵的寿司但是用很低的价格来做引流
[00:12:01] 对然后看到本月特价的时候这个店就会爆火对我们也采访多了很多的一线的员工他都说特价的商品是引入效果最厉害的还有包括他有什么积分的系统等等的包括可以换优惠券之类的这套还是大家比较熟悉的就是所谓给你下次再来的理由
[00:12:18] 第四个呢也是大家会经常会提到就是他这个创新的用餐体验超大的屏幕来点单啊等等还有互动游戏这些互动游戏非常妨碍吃饭是吧这也是我现在还不太愿意吃的原因对吧我觉得这些理由都是对的但是呢归因是一方面实际是另一方面就是要解释为什么寿司啊做到这些而且产生了效果我觉得还是有一个更核心的点就是持续标准化能力嗯
[00:12:44] 最近就是我看勇哥的视频啊就有一句话印象很深你也入坑了被你带入坑了啊
[00:12:50] 他对一个直播的连线的商家就是说餐饮的管理大店靠制度小店靠感情这句话在他直播里面实际上他重点是后半句就因为他那些连线的就是小店的那个对没有大店连线的他就是告诫从大厂出来做餐饮创业的人不要学大公司搞那套多层级的规章的制度等等的要尽量的节约人力多靠人情对吧请大家吃吃饭然后联络一下感情来维系你的服务水平
[00:13:16] 但是反过来其实我们或许也可以得出一个结论就是对于大型的餐厅或者是那种直营连锁餐厅来说一个店有几十号人
[00:13:46] 我觉得某种程度上寿司郎有点像回转寿司界里面的麦当劳就是很贵的麦当劳而且他应该是骨子里非常的相信标准化这件事情就是什么事情都希望能够通过标准化的方式来解决我觉得这个是相比于价格前面讲到产品联名营销等等这些点来说这个才是寿司郎和同行最大的区别标准化这个东西讲起来就复杂了要么我们还是稍微举例展开一下可以不过我觉得在具体举例一些就是标准化这种经营的细节之前
[00:14:14] 有可能需要先垫一些寿司郎在日本的一些经营的特点因为这样也才能更好地理解寿司郎在中国的一些经营的形态当然我们不会从头讲寿司郎的发家史里面有很多旁支的一些细节我就挑三个重点来讲而且这些重点就是跟中国现在的经营是相关的
[00:14:33] 第一个就是寿司郎其实是一家从关西起家的然后逐步进入东京核心市场的一家品牌它1984年成立然后到了2001年的时候才在东京开第一家店此前都是一个以关西为主的一个地方的连锁
[00:14:48] 其实他在进入东京之前已经是全国比较有名的了在日本如果换别的企业的话有可能很早就进入东京了但是他还是比较晚的才进入这个核心的市场这个就是不是跟他在中国先选择在比如说华南或者西南市场去开店然后再进入像上海或者北京这样的大城市这个过程是比较类似的对很像吧就现在华南和西南我觉得他的餐饮上面是有点像关西那种感觉最后进入东京就跟最后进入北京上海是有点类似的
[00:15:16] 而且他开业的节奏也是比较谨慎的尤其相比于像冰寿司这样的一些同行来说一些重点的点位重点的店铺他很追求要一炮打响那个效果一炮打响就是指开业第一天大家都吃不上这个道理对包括他的高管接受采访的时候就会说比如像北京首店不是那个时候传得很热吗什么八小时排队对他说这个跟他们之前的测算基本是吻合的就达到这个效果他们不意外所以他会有这个预期在话分两头说吧这个就是
[00:15:44] 呃就是排队8小时还是有点太过分了没这个必要啊是是
[00:15:48] 第二个点就是寿司呢目前在日本的确是最大的回转寿司零售品但它不是最老牌的它不是那个什么创造了这个品类那种品牌它的那种标准化或者说是经营的那些know how都是建立在前人的积累之上的再加上自己的一些创新而形成的大家都知道回转寿司其实最早的时候它的灵感是来自于啤酒厂的那个罐装的生产线的大家都知道我不知道你想一想是不是这个场景很像类似吧对那个是在70年前发明的
[00:16:17] 然后那个发明人叫白石一鸣他创造了一个品牌就叫原路寿司就昭和原路的原路寿司
[00:16:24] 后来呢有一些比较重要的发明像一个叫林茂气功的企业啊他发明了这个握寿司机回想起来就开始用机器来握寿司了再后来你就像这个寿司上的一个很重要的竞品叫库拉寿司就发明了在盘底印二维码搞了这个数字化的管理系统等等等等的这些都是库拉寿司最早发明的包括在那个寿司上面盖一个就是那种透明的盖子
[00:16:48] 这个也是他发明的等于说回转寿司是整个餐饮行业里面技术含量和设备含量很高的一个品类了这也是为什么他们都是直营连锁的品牌大多数啊就是这些做的比较好的很重要的原因就是他们这个前期的设备和技术的投入啊研发等等的蛮多的所以你要贪薄这个部分的还是开直营比较好对就比较合适那这些前人的积累呢基本上都被寿司郎吸取进来然后在此基础之上呢他有一些自己的升级
[00:17:17] 最重要的一点就是在2012年的时候他在寿司盘里面插了这个RFID的那个芯片大家现在理解的就是那个标签嗯 标签芯片里面呢可以记录四个信息就是寿司的品类何时被放上传送带然后何时被顾客取走或者废弃掉还有就是被哪一桌取走这一些实时的信息其实跟过去一样就是你过去二维码也会有这样类似的效果但没有它那么精细但就是精细了这么一点点就使得它的管理系统的能力会更强尤其能够做到一点就是
[00:17:44] 提前预测顾客的接下来的点餐的需求就可以有针对性去备餐了这一点就使得寿司上的食材的损耗率从10%一下子降到4%单店的损耗率这个变化还是蛮大而且我觉得是一个很大的竞争优势因为餐饮最重要的精英指标这勇哥上来就会问你毛利多少反过来说食材占整个营收的比重就是不能太大不同类型的店这个数据差别其实会相对来说
[00:18:12] 波动大一点比如说我们知道主食类或者饮料的毛利率其实是很高的就一般来说可以做到60%甚至80%都有可能那寿司呢其实毛利率就相对来说偏低一点一般只有50%除了因为寿司的质量和食材的质量这个相关度更高还是有一个点就是水产品它本身就有比较高的损耗率对我那时候听过两个品类毛利比较低的一个就是寿司一个就是牛排因为他们就是只要就是吃这个食材嘛
[00:18:39] 相对来说那个废弃的部分也会更多一些是的那所以对于大型的寿司连锁来说你要提升你的运营的效率很大一点就是尽量减少损耗所以从10%降到4%对于寿司郎这样一个单店月收入动不动就超过百万人民币的这种店铺来说的话那就很多了而且从财报上我们也可以看得出来就是寿司郎近10年的食材占比是持续下降的就2017年是48.3%那就跟我们前面说的50的毛利率差不多
[00:19:06] 2025年已经是43%了这项很厉害也就是差不多在2012年前后的这个时候寿司郎开始成为日本最大的回转寿司的品牌就等于说它的食材的损耗降低带来的毛利率提升和它整个规模提升是一个同步的结果是的第三个我觉得寿司郎在日本的发展需要提的点就是它不是那种很坚持传统的品牌这一点其实在2023年之后体现的非常明显
[00:19:33] 当时寿司商在日本的日子是非常难过的因为当时日本出现了一系列恶意在寿司门店里面破坏食品安全的行为就是所谓的寿司恐怖主义那流传最广的一些视频里面就是有人就是故意比如说舔那个公用的酱油瓶的那个瓶口啊然后什么是用手去碰那个寿司啊甚至拖曳反正挺恶心的
[00:19:55] 虽然这个不是门店的错对吧但是它的确击碎了很多人对于回转寿司的安全感在那个之后呢很多连锁的品牌都做出了各自的调整而这种调整策略的不同呢就体现出企业细致或者是形式风格的不同了你像寿司商的这个对应方法就是彻底的改变传送带的这个模式开始推出大屏点餐那个模式大屏除了不是传送带上面转的以外还有一个就是让你隔开了嘛跟你的菜是隔开了这个改动在硬件和流程上其实都是非常大的
[00:20:23] 但寿司郎就在这上面没有很大的犹豫很快就是推出了这个新的典型现在这个大品典餐还是被认为很符合中国消费者喜好的但是它其实原本是为了解决食品安全危机而出现的一个东西是的而和寿司郎丰亭康尼的另一个品牌就是我们前面提到的库拉寿司它就是传送带传统接手派它此前其实我们前面讲过它研制出了那个透明的那个防菌的罩当时就是为了提升食品在传送带上的这个安全的
[00:20:50] 寿司恐怖主义出现之后它就加上了AI摄像头的方式反正它意思就是说我一定要搞传送带就这个东西它要坚持高管的原话就是无论如何我们必须让寿司继续赚下去那是我们存在的理由Kura之前在中国也尝试过开店但是开了两家以后就是亏损然后退出了
[00:21:10] 可能有的媒体去分析他这个失败的原因呢就是说Kura在中国的团队的本地化程度比较低啊很多细节上都要坚持完全的日本方案还有什么寿司的生食比例过高等等的我觉得像生食比例过高这个就属于错误的归因了对寿司老人在这些问题上面完全没有纠结的他不会去一例说我要坚持什么传统寿司老人在中国就是七成以上都是熟知的寿司或者熟知的食物吧
[00:21:36] 它的差异化会做得很精细可以看得出本土的团队在这个方面应该是话语权或者说是执行力比较强的你像它在西南地区因为西南地区有可能对于生食的适应程度还相对来说更低一点所以他们会专门做熟制产品的一个海报反正这一页上面都是一些熟的你一看就可以看得点的来引导顾客但这个东西就不太会出现在像上海的门店里面这些门店有可能它对于生食的只有程度本来就比较高了所以它会有些非常细的调整
[00:22:02] 我觉得你刚才讲这三点多少能勾勒出来这个公司的形式风格尤其是后面两点一个是体现出来寿司郎的学习和进化能力第二就是体现出他的变通能力这两点其实在他中国的经营里面也都能体现出来不过我发现你还是没有把这个最重要的标准化这个点聊出来这个呢我们就放在中国的案例里面具体来举举例子吧
[00:22:25] 关于标准化呢其实公开的媒体有很多的这个报道了这里呢我们主要引用崔硕的一些采访的素材里边比较独特的一些角度大家都讲的我们就不重复了他采访了实际上近十位在回转寿司品牌一线工作的这个员工然后他们站在员工的视角对于寿司商的褒贬实际上是不一一的肯定的呀但是不论是后厨还是前厂的服务人员他们都有一个统一的说法就是不约而同的
[00:22:51] 就是寿司郎是管理最严格最抠细节也最不讲人情的相比之下呢你像冰寿司啊包括金匠寿司啊等等其他的同行职场的环境会轻松随和不少这个就是所谓标准化的实际体现了我们就具体举三个例子来聊一聊一个是广为流传的这个洗手大家有可能看到这个报道会知道就是寿司郎有号称十步洗手法我觉得其实比这个十步更夸张的是执行这个洗手法的规则
[00:23:19] 首先就是所有的新员工都要培训洗手如果你还没有通过考核那么你洗手的时候旁边就要有老员工来监督你这我觉得已经挺夸张通过考试才有独立洗手权好其次就这个考核我觉得有个细节挺好的就是这个考核它不是在自己的门店它是要在你所在城市的总部的办公室来考的就是说它把洗手这个事情做一个很重要的标准不是说你门店自己下放权限可以做的一个事情对就提及管理了
[00:23:47] 不太容易走形变样或者互动过去还有一点就是这个洗手的场景要求非常严格你上厕所取货回岗位这些动作发生了之后你都要洗一次手道理上是对的但是这会导致你这个人真的一天在洗很多次手我一开始听到这个的时候也有点皱眉就是因为我有段时间手指一直发炎很难受的就一直发痒退皮看医生医生就说这是过度清洁所导致的建议我
[00:24:11] 别用消毒液然后少用洗手液别过度洗手那就没有办法做寿司了绝对通过不了这个新人考试的但另外分别站在消费者角度来说就是手干不干净这件事情对于寿司来说确实又特别重要所以可以理解它这个优先级的如果说第一个例子是这种严格的职场的代表我觉得第二个例子有可能跟大家这个直觉会不太一样寿司郎他对于员工损耗食材这件事情是比较大方的比如说你这个寿司做的不太好看他要求你重做
[00:24:39] 但你重做之后浪费这个食材它就不会进入你考核的就无所谓你多浪费这些东西还有就是呢这个它对于鱼的保鲜的要求也会更严格一些比如说有一个员工就提到他一开始以为寿司郎那个比如说经常说什么鱼很新鲜啊等等的是不是有些特殊的保存的方法和技术要求什么价值几十万的冰箱之类的对对对他说没有就是很笨的办法就是严格执行比如三文鱼24小时就报废金枪鱼12小时进一次货就这样的方式
[00:25:05] 那员工对于报废食材的责任是什么呢就只有拍照记录登记这个是要求的在那个之后不会因为你过多的浪费了食材去罚你的款但是在有的门店上会这么做的确实这个其实就是容易引发动作变形的一个规章其实我们不是提到寿司档这个食材损耗率比同行要低吗很多同行去管理食材损耗率它是通过管理这个终端的废弃来管理寿司档不是的
[00:25:31] 他认为省食材很重要但是他省食材是门店和这个公司来解决的问题不是员工考虑的问题那员工的要求就是比如说安全干净这是他的优先级这个就可以看出来就标准化是一个方面但实际上这个标准化导向怎么样的价值判断或者优先级的判断这个有可能也是更重要的事情接下来我们讲第三个例子就是员工的数量这个我觉得是体现出寿司郎在标准化之下变通这个层面
[00:25:57] 崔寿是采访过一个在日本和广州的寿司商都工作过的一个员工我也不知道他为什么跨这么远的地方都打一个地方他就提到中国的寿司商和日本最大的不同就是人没有那么少因为如果你去看一些对寿司商的报道的话他都会提到在日本寿司商的前面的员工是非常非常少的前厂的员工服务员很少的这个也不难理解首先大多数的日本的回转寿司
[00:26:21] 搞回转最大的目的本来就是为了减少人工减少人工来传菜而且呢就是日本的消费者对于自助的点餐自助的买单这一套流程非常熟悉不仅仅是寿司你像拉面啊甚至居酒屋啊烧鸟等等都是这样的寿司当在中国他的这个点餐取餐买单的流程都比较新鲜对于消费者来说每次坐下来他都会问你是第一次来寿司老
[00:26:43] 对这一看就是新增的一个流程还有就是他搞了很多营销服务对吧你要打卡积分还送礼这些的都得需要人来做所以在日本的店铺他的前厂的服务人员有可能两三个人一个店就可以了就高峰时期同时但在中国的话少则六七人多则十人这个还不算后出所以他这个人数的规模是大很多的
[00:27:04] 但另一方面呢我们又知道压缩人工的费用实际上是寿司郎非常重要的一个经营的手段那他怎么能实现呢在中国如果你人工这么多的话他主要的做法就是尽可能的提高兼职员工的比例所以在每一个新开寿司郎这个门口都会有一个什么巨大的招兼职员工的海报这个串起来了我感觉这个例子跟前面说的对于浪费实在很大方是比较类似的即使寿司郎这个标准化经营不是一个很教条的东西
[00:27:30] 标准化只是一个方法但是没有一条具体的执行标准是完全不可撼动可能除了这个十步洗手法是不可以撼动其他都是可以改的如果它不适应现在的环境它就是可以做改变但一旦改变它就会坚决地去做这个改变的执行为此还不惜做很多看似不尽情理的这种管理的动作它的整个形式逻辑还是高度理性的而这种理性确保了它在大规模连锁之下的稳定的品质
[00:28:01] 那聊完了为什么是现在和为什么是寿司当这两个问题以后呢我们就再来简单探讨一下这一波寿司的热潮会不会是一时的其实提出这个问题的背景就是中国的餐饮行业一直是不断的变化流行的风潮的一个品类的流行热度往往就维持不到五年五年已经算很长了所以我们经常看到餐饮品牌背后的投资者是同一波但是有可能前几年开顺德对吧过两年开云贵川这两年又开江西小炒就这样一直在变的
[00:28:30] 那么寿司会不会是这样的一个风潮呢就如果是的话你像这个寿司它是从2023年24年开始爆火起来的那有可能它也没有多少年好的光景了所以这个问题对他们来说挺重要他们不可能改换品类吗确实我觉得如果我们把主语定义为寿司这个细分品类或者说寿司商这个公司的话情况会不太一样就如果定义为回转寿司我觉得还是相对乐观的主要的原因就是我们开头提到的日料它不是一个风潮
[00:28:57] 它就是中国餐饮品类里面非常重要的一个外国菜系就跟川菜和粤菜永远不会过世一样如果你说到外国菜系里面日料永远是一个方向这个已经不是风潮是一个传统了再加上我们前面提到供应链的本土化这个基础已经很扎实了所以我倾向于问题不会很大但如果主语缩小到寿司商我觉得问题会稍微复杂一些首先寿司商本身的门店自己就是有优胜劣汰的
[00:29:25] 它不是那种非常长久的门店在中国据我们了解它的回本周期非常的快它不是那种家门品牌的那种回本周期快它是走那种前期高额的投入然后开店之后高额的营收快速回本这个路线的
[00:29:39] 而在中国其实就是售仓会出现有的门店开了两三年之后这个店营收下滑了它就会有一些调整的很快就会调整这个就是跟它的高投入相关的因为你高投入所以你的租金还有你的设备的折旧都是比较高的这个在它的财报里面能体现出来这两块的比例是明显高于一些别的餐厅的
[00:29:57] 那其实在这种情况下寿司商的风险就在于他要确保自己开一个新店就要成功或者尽量能成功那如果说出现了整个品牌的吸引力下降或者说新店效应减弱的情况那他这个增长就比较危险了是的那现在的问题就是有没有看得到这种危险的这种情况呢我觉得他内部的情况有可能还是比较稳定的挑战比较多的有可能在外部比如说像竞争对手你像金匠寿司这个现在在长三角这边
[00:30:25] 在很多地方已经对寿司郎形成了一些挑战它是可以说是一个代表不是说它现在已经很强了就它的这个做法是一个代表他们都在快速的学习寿司郎的一些成功的点比如说菜品的更新的频率要提升然后比如说密集的跟二次元搞联名对吧然后做更多调味很丰富的熟制寿司来适应中国人的这个口味等等的在有的区域这些竞争对手已经成为了这寿司郎的平体就像你一样就是会排不到廊就是排另外一个有这种的情况确实是
[00:30:53] 所以说你的意思就是说受伤的整体的体系能力可能是比较难学的但是一点一点一部分一部分的来学习赶超其实还是有可能的所以说他这个所谓的全面的领先优势的话未来还是会被削弱一部分的对他现在有点赢的毫不费力是吧但之后有可能这个优势没有那么明显
[00:31:12] 其实我们还可以换个角度来继续观察这个事情就是现在寿司郎的火爆我觉得有一个很重要的点就是他跟购物中心的互相促成或者互相抬喀的这样一个感觉因为寿司郎这个排队效应实际上是能够带来很多远距离专程而来的顾客的这个点对于一些大型的购物中心来说或者是想要走辐射面比较广的一些购物中心来说是很重要的
[00:31:36] 对于这些有这样追求的商场来说他就会给寿司商业提供更好的位置更好的条件等等的比如说店面一定要非常规整面积要到一定程度等等这个寿司商是有要求的但反过来我理解你意思就是比如说他如果不是一个那么大的购物中心或者他就是一个社区型的购物中心他可能就不需要追求一个寿司了是采访里面就采访了杭州大悦城因为他的用户的客群相对比较年轻一点他最后是选择了金匠寿司的
[00:32:02] 他也考虑过寿司廊但他一个就是考虑到品牌想要稀缺性不想要附近已经有寿司廊再去开一个店第二个就是说跟自己的客群更加接近对于商场来说也不是说只有这一个单独的标准答案他们已经会开始思考一些替代的方案了如果说评价寿司这个事情像我们的判断是一个稳定的传统而不是一时的风潮的话那它就不会只有一个品牌和一只独秀这样一个情况寿司廊是站在前任的肩膀上实现潮流的它在中国也会面临同样的挑战
[00:32:31] 商业就是这样
