Vol.159 平替当道，能让1688飞升吗？
[00:05:14] 而且产品质量对于使用效果影响也不大那种标品和一号品的消费典型例子就是黄峥当年在上市前后接受采访的时候说的厨房纸的故事还有比如说家里遥控器里面总要有的干电池还有你隔段时间最好就要换新一次毛巾或者说你要签个快递什么的时候要用签字笔等等这种商品因为是耗材而且它生命周期又相对比较短
[00:05:38] 所以我们在选购的时候其实本来就天然的会更注重性价比或者换句话说这些产品它这个品牌的属性没有那么的强虽然当然像电池里面也会有像金霸王南福这样的大品牌但是很多的消费者其实不会排斥他在随便用的时候就买一个不太熟悉的普通品牌甚至是杂牌所以说如果你仔细去观察那种大型商超渠道的自由品牌会发现像日化家青厨房用品以及像家用商品里面的小件
[00:06:06] 其实都是自由品牌渗透的重点甚至诞生过一些很诡异的爆款比如Costco和山姆那个保鲜膜就是因为它的规格实在太大了就一卷有很多米所以就可以用上好几年这著名的梗啊就所谓人生在世不过几卷保鲜膜对的一号标品的硬消费需求这个是一点另外有一点呢我是觉得有一部分的消费者其实已经意识到了就是市面上所谓有些的大牌商品呢其实是
[00:06:34] 把设计和生产都完全外包最后再贴个牌的那种货这种贴牌模式呢英文名字叫ODM第一就是design嘛就是说工厂自己有设计能力所以它叫ODM那另外一种是OEM这种也叫代工但是这种代工呢它设计能力其实掌握在品牌自己手里的工厂只是根据品牌的需求做生产和组装那它这个技术的附加值就会相对低一点那这两类代工其实在服饰啊零食啊这些领域里面都非常常见啊
[00:07:03] ODM比较著名的例子就像是服装的品牌像南极人啊横岳翔还有一些这个食品的品牌像三只松鼠百草味等等都是的具体到一些细分的品类呢比如说羽绒服国内这个平湖这个地方它的产业专门做ODM和ODM的这个羽绒服都是很有经验的那有经验的ODM工厂呢对于产品的整体把控显然会更好那它自己其实也有定制和开发新产品的能力
[00:07:28] 也有可能直接接收到各种C端的订单对它可以直接做一个衣服的版型是的最后一点就是在1688之前拼多多已经有很大的交易量向几乎所有的中国消费者证明了从工厂里直接送到你家的廉价货很大概率是比你想象当中品质要好一些的其中还有一部分是特别价格实惠的等于是1688站在了拼多多的肩膀上
[00:07:54] 虽然这样说有点奇怪但是阿里现在确实就是在跟着拼多多的这个低价的热潮所以它现在能够稍微形成一点热度可以说也是享受到了一定这个红利虽然这样说有点酸楚对于阿里巴巴来说有点心酸讲完了C端消费者涌入1688的一些基本的理由那我们再来看看他们在这里逃货的时候要面对一些挑战或者说陷阱吧
[00:08:18] 我觉得最大的挑战就是1688目前主吹这个卖点比如说原厂平替同款这些词因为这里的商品品质下降的这个不确定性其实很大的比如说衣服的同款同款就是意味着它就是用同一个版式但是除了版式以外那面料剪裁这些东西都很影响这个衣服实际的质感和观感再举个具体的例子比如说有一些讲究功能性的衣服的产品品牌方下生产订单的时候会自己去采购面料
[00:08:48] 尤其是一些比较特殊的面料然后把这个面料再提供给工厂的这就是所谓的客工面料那这种情况下呢品牌一般来说都会更严格的管理整个生产流程毕竟是自己买的东西嘛所以说它对于面料的使用率啊包括成品的蚕丝品率等等都会更严格的控制这种情况下如果工厂想要做真正的通款其实是不太可能的那它大概率只能去采购一些稍微差一些的面料那其实这个成品质量上呢大概率就会有差距这是变成一个语文的一个tricky了
[00:09:17] 就所谓的同款这个卖点我觉得大概率只是对那些没什么原材料壁垒的产品相对来说是有效的那原厂这个点呢其实同样是语文概念的问题那因为消费者自己呢其实很难识别这个工厂资质是什么样的是不是真的原厂那工厂这边呢也会有那种道徒啊或者说宣传造假的可能性这是属于虚假宣传的部分是的
[00:09:40] 其实如果是那种正规的大型代工厂他们跟品牌方很可能签过协议就是说不会再去开店做零售或者说你哪怕去做零售你也不能再用什么大牌平梯或者说某某的代工必定能让他用这些词消费者更大概率在这种1688平台上面可能会遇到的是什么呢是一种
[00:10:01] 清销伪货或者说串货那种代理商就假装是工厂来给你去接洽另外呢同工厂呢还会有种情况就是这是这个工厂它是不同的产线上出来的或者说这个工厂以前接过这个品牌订单那现在已经不再接这个订单了那它都可以叫原厂它只是有一个真的厂对就是原货但是也不知道现在行不行本来呢消费者是想找那种高质量的平替款才会把这些词作为搜索的关键词来用的嘛
[00:10:29] 但是反过来商家也可以利用自己和消费者之间的信息不对称玩这种文字游戏那实际上也是回避了对于产品质量的保证简单来说就是这些词可以作为一个1688上面的销售的卖点但是对于产品的质量是没有非常强有力的约束力的那普通消费者毕竟不是做供应链管理的对吧他很难通过网络上的公开信息就判断出自己找平T的过程当中到底要接受多大幅度的这个品质下降是的
[00:10:56] 那前面我们还强调过就是1688上面的大部分商家还是希望说我服务的是大宗的批发商而不是零售所以说他们在服务能力和服务意识上面呢还是没有办法和现在零售品牌水平对齐的对你不能把它当淘宝网店绝对不能当淘宝啊比如说在1688上面买东西你是否能享受到所有的零售渠道通用的那个七天无理由退货这种消费者保护其实在实践当中还是有一些争议的
[00:11:22] 另外就像是赠送运费写客服的响应度发货时效这些在淘宝天猫已经非常非常常见就大家以习以为常的服务其实在所谓的大宗批发的平台可能也没有那么全面对这个我觉得消费者还是要有个预期在在1688买东西商品的价格确实降下来了但降的部分里边其实是包括了服务体验人工成本这些原来在商品流通过程当中被算进去的隐形的成本
[00:11:49] 不过从2024年的3月开始168已经开始提出说有部分的商家已经开始支持零元下单也就是可以赊账购买以及全场一键包邮2到3天就可以收货或者说退货包运费这些举措了这其实就意味着它全面向淘宝和天猫这种购物体验看齐了但这个看齐也必然会造成平台或者是商家的有一部分额外的成本支出最后还有一个比较有挑战的地方就是因为
[00:12:16] 在1688淘货呢对于消费者的要求属实是比较高那加上消费降级也是个热门话题呢这个肯定会应用上一些营销号啊博主或者碳厂的直播等等那我们开头也提到了这里营销资源当中呢有一类是营销能力比较强的工厂自己去投放的有可能是平台方为了引导流量自己去铺的那也有一些呢是相对比较专业的运营机构或者个人做的
[00:12:41] 看我一个例子就是这个人是以前在1688工作过很多年然后现在自己出来创业专门做这对就是沟通或者营销业务的前阿里员工这个其实就和前面提到的原厂啊同款啊这个概念是比较类似的就是消费者面对这类相对真假难辨的营销素材本身是否有一个鉴别的能力是否会被这个夸张的宣传所吸引过度种草等等这个当中其实还是有蛮多争议的空间或者采雷的可能性的
[00:13:06] 再给大家简单总结一下就是原本不会来逛1688这个批发市场的C端消费者这几年呢其实遇到了很多事情他先是遇上了整个平台有一个一箭待发的业务创新然后呢又发现了自己生活当中其实有很多不需要特别重视品牌的消耗类标品的消费再经过了拼多多的市场教育以及对于真低价的追求那他们就这么流入了1688
[00:13:30] 但是平台和商家在承接这部分C端需求的过程当中目前还是有很多值得厘清和改进的部分比如说基于原单、同款、平T这些模糊关键词的营销以及他们自身的服务能力是否能向零售品牌看齐
[00:13:46] 前面我花了比较长的时间来讲1688不熟悉的新买家也就是C端的消费者他们为什么会进入这个平台以及可能遇到的一些陷阱我觉得后半部分比较像一个实战的tips那接下来呢我们来讲讲平台上的卖家也就是工厂们因为中国的电商经济整体比较发达所以我们有可能之前有过一个误解就是我们可能会觉得说中国的电商代工厂们已经比较熟悉互联网这一套了他们很愿意去网上寻找资源
[00:14:14] 但是在这次的报道里面我们记者师哥采访了一位在1688做过区域销售的阿里员工他的说法是即使在电商已经很发达的江浙地区还是有很多的工厂老板是对电商有天然的排斥的对他们来说可能在线下弄一个产线或者渠道一年花大几百万都算正常的但是让他们在1688上面花一万块做投放都跟要他们命一样就感觉是打水漂投到一个地方都不知道干什么去了是的
[00:14:41] 确实可能上一代的工厂主他们还是更信赖这些看得见摸得着的投入而且他们做工厂的时候全球和国内的贸易行情可能都还不错所以他们更加习惯于锁定一些长期合作的大客户然后再依靠传统的批发和经销渠道这样就能把生意做好了它不是很需要这种额外的然后又有一些零敲碎打的这种信上的曝光是的现在时代显然是变了一方面是整个生意都不太好做了他们需要为这种闲置的产能重新寻找需求
[00:15:10] 另外一方面尤其是日用消费品那工厂的客户其实也发生了比较大的变化如果说以前是大客户为主那么现在的客户体量总体肯定是变得更小了工厂需要兼顾的客户的种类也更多的比如说创业的品牌啊个体户带货主播小红书博主社区团阁团长这些小B端的商户是更多了还有就是我们前面提到的更分散的C端的消费者
[00:15:34] 另外这类小币商户了解供应链的方式也不一定完全是通过1688这一个平台现在市面上有一种服务叫做产业带游学这其实就是一种服务工厂的手段其实就是带大家去看厂子其实接下一些你的实际上可能要下单的需求互相拉生意的对 这个其实就是另一种方式帮助小商户更好的认识工厂和生产的流程然后也撮合双方的交易
[00:16:00] 我觉得这种商户规模的变化其实也跟一键待发包括直播待户之类业务模式的创新有关系就是有这个需求了或者说是有这个前端的市场了才有后端这样一些新的这种接触的方式那有了这种比较便利的开店工具也才会有更多的人愿意从小生意做起来试试看没准就做大了对吧那做大其实就是有进一步的问题
[00:16:21] 因为过往工厂的需求是比较确定的那有经验的工厂在组织生产采购和人力的时候呢都是比较游刃有余的这个节奏都把握的很好但是如果有一个博主他原本只是每次在你这里拿几十件货结果这个博主一下子突然火了开始问你一下大的订单了那工厂这个时候怎么去协调呢确实啊就是工业生产这个东西还是蛮讲究节奏的大家都知道柔性生产或者是灵活生产是个很大的挑战嘛就是大家工业的那种工厂他们相对比较喜欢稳定的一个节奏
[00:16:50] 也就是说这些小型的B端商户的问题不仅仅在于他们体量小还有分散难以组织等等的还在于他们在流量的模式下面本身的这个经营规模会有很大的不确定性你可以说规模变大了是个好事但是它反而还是会影响到工厂的生产确实是这样那1688上面工厂所面临的挑战其实不只是客户群体和群体规模的变化我再举几个例子
[00:17:14] 一个就是说大家目前营销和理解1688的方式实际上也很容易制约工厂自身的发展转型我们以前一直说工厂想要提升自己的产品的利润空间想从微笑曲线的底部继续往上走最好的方法就是做自己的品牌你这样才能把价格提上去
[00:17:32] 在一些关于1688报道里面我们也能看到说1688自己就有一些员工是派驻到工厂里面的他们会帮工厂搭建自己的运营和营销体系或者通过数据分析帮助工厂做好生意这个都是所谓工厂发展转型的一个传统的正确思路但是现在是什么情况就是1688和拼多多的发展变成了大家都在追求工厂货和工厂价
[00:17:56] 一方面整个产品的提价空间会变得很小甚至有可能就遭遇恶性价格战了另外一方面如果说工厂花时间精力做了自己的品牌但是在这个情况下又会被消费者反向很快的扒回到工厂这一层那这个品牌建设岂不就变得没有意义了就等于本来工厂还是把品牌作为一个自己产业链向上的一个
[00:18:19] 正确的一个逻辑或者说是追求的一个目标的但现在的这个平台其实已经不希望他们这么做了有可能是这样另外一个是我自己的判断不知道对不对这个逻辑大概是这样就是传统上面1688是撮合工厂和品牌或者说批发商的一个平台工厂其实销售的不完全是产品本身它其实销售的也包括了自己去设计生产各种类似产品甚至更复杂产品的一个能力
[00:18:46] 也就是所谓的与客户共同进步对其实工厂不太可能仅仅为了验证自己的能力就去投入成本买很多新设备没有这种自发的没有这种好事的它更大可能还是要找到一些信任自己的客户以及那种比较有挑战订单顺着实际的需求来做升级改造把这个能力展现出来就果链这种目前的情况下大家追求的反而是一些已经被充分验证过的爆款
[00:19:14] 这些爆款呢大概率是没有什么技术上的挑战的主要是成本上的挑战你能不能把它做得更便宜这种情况其实很难促进工厂去提升技术进而开发出一些新的更复杂的更高级的货品简而言之总结一下就是不管是供应链产业链的这个工厂自己去做品牌还是他自己去做技术的升级做更加有高附加值的一些产品这个其实都是过去几十年来中国这些工厂们他们产业升级的一个基础逻辑
[00:19:41] 但现在这个逻辑有点被低价这个逻辑给压制住了现在低价变成一个更正确或者更大众的逻辑了分析完1688上面工厂可能面临的挑战我们最后再说一下1688这个平台本身
[00:19:57] 据说1688的高管在2022年给自己制定OKR的时候针对一个发展目标叫做提升客户价值讨论了很久这个问题的核心其实是在于客户这两个字上面他们主要就是想厘清说现阶段1688最重要的客户到底是谁就是我们到底是要做好卖家的生意还是要做好买家的生意跟当初淘宝定那个谁是第一谁是第二谁是第三也很像有点像
[00:20:25] 其实卖家的生意就是传统的B端的服务就是把整个供给做大做强让1688变成整个中国所有电商的源头货盘
[00:20:34] 现在确实也还是有蛮多别的电商还是从1688那边来进货的对像有些拼多多店或者抖音店其实你如果仔细一看都还是1688一箭待发那买家生意呢其实要考虑就更多了我们前面也讲过了即包括各类新兴的小币商户的服务也包括广义的C端的消费者的服务其实1688最后选择的还是做服务买家这件事情
[00:20:59] 就是要提升买家从进入到1688平台到完成交易的整个过程的体验那买家这个范围里面就既包括传统的批发商也包括零散的消费者还有博主主播团长等等这些介于B端和C端之间的规模可大可小的客户其实对于一个平台来说要兼顾还是蛮困难的
[00:21:20] 那从短期的话题度还有利益的角度来看呢争取普通的消费者还是相对比较怎么说有效的所以我们可以看到1688还是在自己原本不太擅长的这个C端投放了很多的资源和流量
[00:21:31] 怎么说呢我觉得这方面1688虽然挺努力的但是有时候努力没有到点子上怎么讲举个例子就是2023年9月1688组织过一场媒体沟通会当时是介绍他们在C端的一个新服务叫做山姆平替频道这个名字已经很直接了就是说这个池子里面的货源都是经过我们平台挑选过的山姆的产品供应商然后他们把这种产品的规格包装稍微做一些调整以后这个商品就上架了
[00:22:00] 平T的产品价格最低是能做到山姆零售价的一折不过山姆平T真的是一个特别诱人的零售的说法各大零售商都在用现在1088也开始用了看来平台是认为这个口号对于至少大城市的中产家庭应该还是有点吸引力是吧这听起来不错所以说我仔细看了一下这个故事其实这个业务的负责人在介绍整个项目的出发点的时候当时是这么说的
[00:22:25] 他说我们团队花了一下午时间在山姆走了一圈最终发现有60%到70%左右的产品他们的供应商都能在1688上面找到甚至有的产品的价格就是山姆的十分之一小老师你觉得这句话有什么问题吗是不是又有什么陷阱了这个陷阱比较隐蔽我也是查了点资料才发现的现在我们都说山姆的自由品牌做得很好其实这句话忽略了两件事情
[00:22:53] 第一是比例就是山姆在它美国的门店里面自由品牌也只占到它整个店总品牌的30%到40%你是说SKU的数量是吧对SKU的数量那国内的这个比例长期是在30%左右那其实剩下的60%70%都还是传统的品牌入驻商超的模式其中也有很大比例都是贴牌和代工的产品我有点盖到你的意思了就是把这个30%去掉剩下的60%70%的山姆商品
[00:23:22] 确实可以在1688上面找到供应商是吧对啊就是原本就是这样所以也不算什么卖点另外一个点呢就是山姆的自由品牌当中呢消费者普遍最喜欢的我感觉啊应该是鲜食和那种高品质的进口商品尤其是零食啊或者保健品
[00:23:41] 坚实呢其实是一个1688几乎覆盖不到的品类对吧所以你在1688这个山姆平T频道里面呢你能看到主要还是家居产品和日用品就是属于山姆并不那么就是强势的一些品类它其实可能也并不在意的品类等于是它这个说法蹭了一下山姆的这个品牌流量但是又避开了山姆真正优势的这个方向
[00:24:04] 只能说这个C端的营销啊这个说的话是一回事但真的要学山姆呢又是另外一回事我感觉这个频道的这个负责人也可能也未必真的志在于此他反正先蹭上去啊山姆的自由品牌呢肯定还是有很多所谓的强势的地方一个是时间做的比较久呢他从沃尔玛的全球采购时代他这个又是就开始展现了另外一个呢就是他相当于是一种高品质的买手模式而且线下渠道又是展现商品质量的一个最好的方法
[00:24:33] 绝对类似的还有无印良品和迪卡侬无印良品也有很强的线下渠道它把品牌去掉了但是增加了相对统一的产品的设计风格它作为一个品牌的替代品产生了它反正又变成一个品牌了对迪卡侬卖点除了性价比我们之前节目里面也聊到过它其实有一个各类运动需求的全覆盖以及线下有很强的试用互动的感觉可以说这些品牌做自由的产品都是有很强的先发优势或者说自己的优势的
[00:25:00] 1688作为一个纯线上的渠道那它的C端又是刚开始起步确实在这个方面可能还不是很熟练除了说C端营销还不太熟练以外呢如果说1688之后又打定主意做C端生意那它其实可能面临的是更大问题就是竞争因为外部已经有做得很好的拼多多和抖音电商了它在内部还要跟淘宝天猫旗下的一个淘工厂竞争拼多多和抖音电商我听大家比较熟悉这个淘工厂游老师要不要解释一下是个什么
[00:25:28] 因为他顾名思义的话感觉他和1688做的事情难道不是同一件事吗所以他不是一个团队吗意外的不是啊就是淘工厂是淘宝旗下的属于阿里官方自营的一个天猫店什么什么对然后工厂作为供应商入住由阿里小二直接运营这个是官方的说法实际上呢就是意味着1688和淘工厂虽然它看上去的东西可能是一样的效果也是一样的
[00:25:54] 但是是两个不同的运营团队在争取可能是同一批工厂是这么一个现象另外1688官方在3月底也向第一财经杂志确认了它之后会在天猫和淘宝开三家店以这种形式来入淘那这三家店分别叫1688严选店企业自采天猫店以及工业行家选天猫店
[00:26:16] 这三家店后续会再整合为一种类似于天猫超市的频道再推出1688自己的贴牌产品我已经完全的混乱了我现在就是一团毛线余老师我这样就是大致说一下你看对不对就是说对在1688的这个角度上面来看我的兄弟品牌对吧用了我的这个工厂的资源在我的这个兄弟的平台上面开了一个店然后呢现在我也用我的资源在上面也开了一些店
[00:26:44] 我们互相在店上面有竞争的这个关系但是呢我们用的都是同一批工厂就是如果这里没有一个兄弟关系可能就好了很多好了很多对吧现在好乱好乱现在听起来很乱我觉得这就是问题所在因为阿里本身变成一个很复杂的集团嘛零售的业务和批发业务B端和C端是一种敬畏分明的关系哪怕有所谓的协同那中间的流程也势必非常的复杂有非常多的摩擦
[00:27:11] 这就导致了在消费降节这个非常明确的大趋势下阿里在追逐性价比的消费者这件事情上面动作依然是不快的就他已经明确的知道这件事情但是他依然跑得不快那1688想要深入到淘宝天猫这个更大流量池子我感觉也是会因为这个原因变得很困难这个就非常大公司病就是原本他的这个思路其实
[00:27:32] 概念上面很好理解就是1688它是有低价的优势的然后天猫淘宝又有流量的优势我把它两个结合在一起说不定就能够跟拼头多拼一拼但是实际上面就是内部想要整合把原来敬畏风鸣的这样两个业务合并在一起实际上是非常困难的其实消费者本来想在这个情况下买东西就是想要简单购物加几只性价币如果你再在渠道上搞这么复杂其实就完全失去了简单这个意义了店的名字我都搞不清楚什么是什么对吧
[00:28:00] 就不得不说在这个方面拼多多确实一直都是更加简单明了的一方啊他整个这个公司长期就是协同作战紧盯着低价这一个卖点然后也是明确的以C3的普通消费者的利益为优先的他们基本上是不在意店铺或者工厂的这个组织心态反正就是全部以货为核心就是能够把这个价格打下来包括他这种紧退款啊或者是这个类似一件待发这种业务创新都是这样的
[00:28:26] 竞争对手这么强我们确实有一点担心1688的未来了不过我们拿一个在阿里体系里面
[00:28:55] 这里呢我觉得我们先不论这种一味追求低价的风潮对于消费者和供应人来说长期是不是件好事但现在至少现在目前阿里巴巴已经主动或者被动的选择跟上拼多多的步伐了但他对阿里巴巴的重视也可以说是这个选择的这个动作之一吧但这个过程当中比较难做到的我感觉还是不要犹豫不要想着平衡而是要像拼多多一样凹一某一个方向的这种勇气
[00:29:21] 作为一个更典型的双边的电商平台阿里其实一直以来都在忙着做平衡淘宝和天猫既要收入又要调性还要人气那1688呢也是一样既要老的批发商业想要更新的更小的客户在市场整体迷茫的时候很多边缘性的机会呢很容易在这种犹豫和平衡当中错过犹豫有时候就会败北商业就是这样
