Vol.73 谁来决定奶茶里喝到的小料？
[00:07:15] 顶料就是相对于珍珠布丁这种沉在杯底的没吃完的然后它是盖在那个上面的浮在那个液体上面的对吧对的要把这个小料拖起来呢你就相当于要有一个更结实的顶部嘛比如说你要有奶油顶或者奶盖顶我印象中像茶颜月色的产品里面应该是没什么底料的它都是顶料就像碧根果碎啊开心果碎这样的东西咖啡品牌里面其实也有这么做的我去年年底采访过NoahNoah的果味咖啡呢也是
[00:07:43] 喷一个奶油顶然后在上面会加冻干果粒但这个效果呢其实就不如坚果虽好之前你不是说过吗就中国的很多咖啡产品都在奶茶化看来真的是学废了当然这个3.0阶段我觉得对于小料行业而言比较像是一个插曲因为真的用顶料的品牌呢不是特别多
[00:08:02] 其中更出圈的只有茶颜所以更多的品牌还是在那个时候在改造相对比较传统的小料比如说把珍珠的黑糖味加重或者说做一点像青稞这样比较小重的谷物小料整个行业真正进入到4.0阶段是在两个全新的产品出现之后哪两个产品呢
[00:08:20] 第一种叫寒天金球感觉是一个武侠小说里面的名词是一种功夫类产品它主要用到的是海藻胶然后如果说珍珠的特点是耐胶它的特点就是脆
[00:08:33] 而且这个脆的口感呢跟水果茶是比较大的因为都比较清爽嘛然后行业里面一个比较著名的事情是大概在2018年喜茶正式把寒天金球引入到它的小料序列里面还根据这个口感起了个名字叫脆波波从此它就成为喜茶在果茶系列里面最重要的小料之一了你想脆波波的话我就知道是什么感觉了对不是什么武侠小说里的东西啊OK另一种产品名字也很厉害叫爆爆猪感觉是一个精灵宝可梦里面会出现的名词
[00:09:03] 但是它的原料其实也是海藻胶只不过处理的方法上面稍微高级一点它是通过海藻酸钠和钙离子的反应在液体的表面形成一层可以包裹住的凝胶然后这个内部的话就可以是液体中的果汁或者是果粒然后你可以把这个液体做成各种各样你想要的口味等于是像一个园子一样可以把它包住了对吗对的不愧是食品工业实际上在抱抱猪里面用到这个方法叫金球化处理法然后在分子料理里面
[00:09:32] 非常常见但是用在分子料理里面听起来就很高级用在奶茶里面听起来就有点用力过猛一下子我们从奶茶扩到了分子料理这个跨度非常非常大但是这两款新产品本身的拓展性确实非常强所以这两年我们会看到这个小料里面还能再嫁接一点新的概念比如什么胶原蛋白小料
[00:09:53] 玻尿酸小料益生菌小料这个就是小料里面的小料等于是他在打健康的这个概念了是吧对的另外一种思路呢就是你可以拿这些技术做一些更拟真的小料比如说长得很像十六子的十六味金球OK这个就真的非常分子料理了早期的话其实市场上也会看到很多对于珍珠健康的一些
[00:10:14] 有的说这个珍珠是比较劣质的不消化还有是所谓的塑化剂的风波但是到4.0阶段的话这个大家就是从头开始改造这个事情我们就从头开始做一些对对对健康的东西对这健康的这个问题等于是被他们更加重视了对吧最近我正好在看一本书这个书的名字叫美味欺诈食品造假与打假的历史还蛮有意思里面就提到了一个类似抱抱猪的技术
[00:10:42] 美国人其实在1960年代就开始用这个技术了然后做出过一种耐高温还可以放到烤箱里面的人造樱桃这个创意本身就很厉害然后到1970年代的时候这个人造珍珠还卖到了欧美很多国家很多人都接受了这种假的樱桃只能说这个食品工业真的历史悠久而且极大的扩展了人类的想象力
[00:11:06] 没想到我们光聊这个小料的四个代际的革新就聊了这么长时间而且越聊越复杂了都扯到分子料理上面了感觉已经脱离了创意的层面进入了非常高深的技术战的层面了没错早期的小料像珍珠布丁这些其实是可以靠人工手做的但是一旦门店规模大起来就很难手做了当然手做本身也可以是个卖点
[00:11:29] 比如有一个很火的广西奶茶品牌叫阿妈手作它的卖点就是古早味和门店人工限制我们约老师还有前面提到的徐师医老师他们都非常喜欢喝这个阿妈手作在疫情封控的时候还非常努力的点到了几杯对的但是这个阿妈手作虽然很好喝但是看到那个员工真的在店里面一刻不停的在你打马鼠说实话真的比较废阿妈废阿妈OK比较辛苦比较辛苦而且呢就是
[00:11:58] 自从果茶变成整个奶茶行业的一个主流之后门店里面光是配果肉
[00:12:25] 所以等于我们要开始聊这个小料里边的工业的部分了对吗没错先说品质稳定这一点这个鲜活的黄董给我们举过两个例子第一个是珍珠早先供应商交给门店的珍珠其实都是半成品要在门店里面再
[00:12:41] 煮最后一步才可以用像预制菜一样但是煮好的珍珠呢其实只能放四个小时超过时间理论上要倒掉理论上是吧而且珍珠还不是刚煮完的时候最好吃是煮完之后的第二个小时最好吃然后如果你这个门店在业务很繁忙的时候是很难顾及到这些这个不超时已经很好了我是记得过他们讲过什么什么时候的珍珠最好吃这种
[00:13:04] 比较复杂的讲究为了提升消费者的体验这个就需要在技术上有点革新最近我正好看到有一家叫保利食品的公司在申请IPO
[00:13:14] 保利食品的主营业务是做调味品他也做一些饮品小料然后他的照顾处非常长里面提到了公司在小料领域的一些自主创新其中就包括了一些免煮的粉圆和芋圆以及即食的免煮果酱耐高温的金球耐高温的果冻好厉害啊就感觉是从这个预制菜直接到了即食的产品这个部分等于是他提供了一个全自动小料就不需要你们店在加工了就直接往饮料里面可以倒了对吗
[00:13:43] 解决品质问题的时候其实也就是在解决
[00:14:00] 这里我们参考了一个行业媒体叫Carmen他们做的2022年中国饮品行业产品报告这个报告很厉害它覆盖了市面上40个茶饮品牌的就是每年上新的一些情况这个报告里面就提到说18个头目茶饮品牌在2021年总共上了772个新品平均每天是2.11个然后2020年同样是这18个品牌上新的新品只有457个这个增长率是接近70%的
[00:14:29] 772个想想就很可怕相当于一个人如果我一天要喝两杯奶茶的话他可以保证一年不重药你真的能喝这么多吗理论上当然奶茶店所谓这些新品有时候也不用那么新有时候你换一个配料辅料比如说你把牛奶换成水牛奶然后你把奶盖去掉其实也可以叫新品这样的话听上去就稍微合理一些了另外一种比较所谓微创新的方法就是换小料还是他们这份报告里面就提到说
[00:14:57] 所有的新品里面有64%以上是添加小料的而且用到的各种小料总数超过了150种虽然不一定都是创新的小料但是肯定有一部分是带有新花头的
[00:15:09] 那我就比较好奇在这个当中到底是品牌方还是供应商来主导这个小料的研发然后它这个整个过程到底怎么来的这个有点复杂然后鲜活黄董当时举了一个例子就是我们前面提到那个长得比较像十六子的十六马蹄粉圆大家可以想象一下这个粉圆的心子是一粒红色的马蹄果肉
[00:15:29] 然后在外面包一圈胶体然后他说其实在四年前就有好几个品牌找到他们说能不能做一个马蹄丸子然后他们把这个创意否掉了因为当时的马蹄是一个季节性的小的产品不适合大规模生产他们是想等到马蹄这个核心产品就是这个星子的供应量稳定了而且能保证说拿到工厂里的每一颗马蹄
[00:15:51] 这个形状都是很一致的颗粒都是完整的他们才会继续考虑研发也就是说你这个上游的供应要稳定了才有可能大规模来那个推开对吧也就是说这个品牌方虽然可以先把这个随便想法都提出来但是供应商要确认这个创意是可行的然后双方才能匹配上对
[00:16:08] 当然品牌方自己也有一些可行性的概念他们自己要确定好这个新品的口感基调是什么比如说这个新品是奶茶那它就比较适合添加一些淀粉类的颗粒比如说珍珠芋头之类的如果是新品是果茶那就适合添加像脆波波或者果粒这些然后每一个饮品在不同的温度酸度糖度之下适合添加什么样的小料量然后组合搭配是什么样子其实这个也需要测试的
[00:16:34] 这是非常精准的一个产品研发了相当于是小料的研发是要和整个饮品的研发要配合在一起是当中的一个部分小料的研发其实也要考虑其他的维度
[00:16:45] 比如说还是回到这个16马蹄粉圆好吧对这个马蹄粉圆大家想象一下这个视觉上其实很有冲击力的里面心字是红的外面是透明的很好看特别像16的还有一个视觉的要求也有在里面对然后其次就是它口感要比较清爽给你一种比较健康的感觉原来口感清爽会给你健康的感觉吗大概吧反正他们就是把这些都归结为所谓产品的卖点但是把这个新奇特落地也需要技术比如说你是不是能做到这个外面的胶体
[00:17:14] 非常均匀的裹在这个马蹄的芯子上然后煮过之后呢可以保证多久的口感等等这个也需要调节的嘛嗯最后就是同一个品牌对于同一类小料根据不同的产品可能也会有一些差异的话要求举个例子啊同样是脆波波如果你把它用到羊汁甘露里面就要用小颗一点这个就更像西米的部分在柠檬茶里面就要用大颗一点因为这个柠檬茶这个本身
[00:17:39] 茶汤是有点浑浊的这个颗粒要大才能显出来不然的话就跟那个柠檬的那个粒本身就混在一起了对的对的这个就是一些行业的小窍门啊然后我还看到有其他公司说可以根据品牌的要求调整脆波波的脆度
[00:17:55] 就是你想要这个脆波波更软一点呢还是更脆一点这个其实都是可以做的虽然从技术环境来看的话你就把它如果一个个拆分看来每个都没有那么的特殊但你把它合在一起看的话其实是一个非常复杂的一个流程你要考虑到消费者到底想要什么样的口感品牌到底想要什么样的新品然后市场包括前端的一些供应链到底能够提供什么原料最后才能组成出一个新的这个奶茶或者是饮品的一个研发
[00:18:21] 前面也说了整个奶茶行业现在为了新品和市场真的是拼尽全力理论上你能想到的和想不到的东西他们可能都已经试过一圈了没有做出来的东西可能就是真的做不出来我们问了一下鲜活他们在2021年大概接到了2000件关于小料的客户提案比前面那个772还要再多好多对然后他们评估下来其中大概有800种是他们能做的然后最后做出来的只有400种
[00:18:49] 然后他们服务的客户呢大多数还是有直接竞争关系的所以在团队之间还要做防火墙不能在公司内部就泄密了感觉这个鲜活有点像这个服装还在深洲国际这种概念对吧然后它和这些饮品品牌的关系就像深洲国际和这些服饰品牌或者阿迪奈克这样的这种关系了对反正是没有上游的供应链企业就没有这么多鲜活的小料话题到这边的话就要问一个根本的问题了就为什么大家都这么钟情于小料或者说为什么大家都喜欢研发这么多小料
[00:19:20] 它对于饮品品牌来说到底是什么样的功能因为你看不是最近也会有那种消费者吐槽八宝粥饮品吗所谓的八宝粥饮品里面一杯的饮料大半杯都是小料对吧大家会吐槽这个东西有点过分了其实说到八宝粥的话这其实很少是品牌自己设计出来的产品大多数还是用户自己疯狂加料的结果这个其实也能说明小料的重要性了就是消费者习惯了为每一杯小料都付钱
[00:19:48] 这个就等于说小料品一己之力把品牌的客单价提高了这个八宝桌就是贵有贵的道理原来一杯的纯奶茶大概是六到八块钱嘛这个加完料以后可以得到十几二十块钱这个感觉说到一个重点上面了
[00:20:01] 这个就是提到所谓价格锚点的作用了理论上你顾客看一个菜单都是以这个门店最主推或者最便宜那个产品定价为基准然后对比着店家说这个菜合不合算这个菜是不是贵了一点小料呢是一个加价幅度不高又有明显效用的东西就是它能让你心甘情愿的在这个价格锚点之上多付钱的一个有效的手段
[00:20:22] 而且这个里面这个具体价格这个绝对值还挺微妙的因为小料一般都是一两块钱嘛就是看上去这个绝对值的数值不高但是如果放到整个饮料的这个涨价这个比例上面的话其实还是蛮显著的是吧对的所以这个价格锚点还有一些别的玩法我们再举一个例子比如说奶茶三兄弟还是一个经典产品啊假设说奶茶三兄弟早年一杯是十块钱
[00:20:47] 其中每种小料占1块钱也就是奶茶本身是7块钱小料每种是1块钱加起来是10块钱现在我把每种小料都涨到2块钱然后整杯奶茶售价其实就是提到了13块钱
[00:20:59] 如果你一直以来都很喜欢三兄弟这个搭配的话那你很可能还是会买这个涨价以后的奶茶因为从十块到十三块虽然这个提价有一点明显但是也不太离谱但其实也涨了30%了对如果你不深究的话其实你不太会把涨价这件事情单独挂在小料头上
[00:21:18] 这个实际上是一个100%的涨幅
[00:21:34] 这个定价真的是一个非常精妙的一个事情感觉都是一些赚钱的套路是吧有了这个方法呢我们还可以继续玩下去就还可以反着玩前段时间不是喜茶做了会员的服务升级吗其中有一项就是周二加料自由你每周二去下单的时候可以免费多加一份小料或者果肉
[00:21:54] 音频里面然后现在洗茶的小料选择很多啊大多数是一两块钱的但是如果你加双份的果肉或者你加芝士和雪糕这个就要四五块钱了品牌给你免了这笔小钱你的这个感受跟正价购买一个产品是完全不一样的
[00:22:09] 划算两个字立刻弹上了心头这个就是低于价格毛点一个感受学到了感觉以后周二点洗茶的时候这要加料加最贵的羊毛要狠狠的薅但是首先你还得先买会员是吧我觉得谁没喝过两杯洗茶呢这都是会员OK再给肖老师讲几种行业里面玩法一种是股民之前推过一个产品叫奶茶便当What's that就是你花69块钱可以拿到一大袋大概是8人份调好糖度的奶茶
[00:22:38] 还有装在盒子里面的八种小料然后两杯冰块然后八套纸杯和吸管还有一份DIY奶茶攻略这么厉害感觉点这个东西的人要么就是你家里面要开party要么就是你直接可以去奶茶店当个兼职了要充分的满足你做奶茶自己DIY的想法大部分人看到这个套装的第一个反应是
[00:23:00] 可以DIY我简单操作一下就能获得很满的成就感而且八杯只要69块钱相当于一杯加料的奶茶也就八块多块钱很合算但是我仔细看了一眼那个小料盒觉得这个买的还是不如卖的近因为它每种小料都给的不多其实也就是正常产品里面一杯到两杯加那个小料的规格如果说你恰好有一个特别喜欢某种料的朋友先去DIY了那你这个小量的
[00:23:27] 可选项反而变少了这个是在火锅自助台也经常会发生的情况说到这个自助的话市场上面也有那种比较新鲜的玩法就是之前海底捞在武汉南京一些城市里面推出的过的叫9块9自助奶茶这个9块9自助奶茶非常的厉害给大家形容一下这是一个茶底四旋翼
[00:23:46] 随便选然后六种底料随便加你加满杯都可以然后这个顶上呢你想加奶盖也可以加奶油也可以然后顶上还可以加抹茶粉黄豆粉奥利奥碎花生碎随便加然后只要9块9对吧感觉这个海底捞一下子把这个价格体系给打破了现在海底捞自助小料都要10块钱了呢
[00:24:06] 理论上这种自助又不限量的加法的确是确实可以创造出一些指挥原价的产品就像大家疯狂在小楼台搞牛肉粒一样但是这个毕竟是海底捞对吧它这个奶茶还是一个副产品所以它可以这么搞如果你是一个专门做饮品的品牌这么搞的话肯定是承受不了的对所以它其实很像一个海底捞自己创造出来的引流手段和话题点有点营销的概念对的后来海底捞也没有说全面的把这个做法铺开
[00:24:35] 上了一个叫奶茶铺的模式这个品种会变得更少然后也是人给你现做的不是自助的价格也升到了18块到20块但是它有个特点就是这个产品长得跟茶叶味色很像喝起来也很像这个时候这个毛点又变成茶颜了对吧喝起来差不多的话就不用去长沙了而且感觉最近好像这个火锅的品牌然后连带着做奶茶铺是一个蛮常见的一个做法了
[00:25:01] 总之我觉得小料算是整个奶茶行业里面充分利用锚点效应找到的一个比较好的价格调节工具它可以用比较少的钱和比较简单的手段就能出效果消费者其实也还是愿意挨这一刀的因为无论如何你拿到了一杯比纯奶茶更丰富的产品
[00:25:21] 最后我们简单展望一下小料行业未来还能有多大的发展空间其实有一些趋势我们在前面讨论的时候已经提到了比如广义层面的健康更多使用像海藻胶魔芋粉这种无糖产品小料又有饱腹感又没有营养没有营养可还行
[00:25:40] 还有一个前面也提到了就是小料当中加概念或者料中加料的一些复合小料像什么椒盐脆薄薄之类的当然如果有更多类似于像16马蹄丸子这样新奇的小料出现我觉得还是代表了技术的进步而不是一些概念层面的无用功还有就是
[00:25:57] 真正做过瘾端这些公司呢也希望小料这个产品不要完全局限在奶茶行业当中而是拓展出去比如说咖啡前面提到就是在奶油店加冻干果粒的咖啡我也喝到过星巴克家果汁爆爆猪的咖啡OK有点不好喝再比如说在酸奶里面加小料在冰淇淋里面加小料其他不是之前出过报名产品里面就有黑糖珍珠
[00:26:19] 这个的话感觉就是这些小料的供应商有点像拿着榔头然后看看哪里有没有钉子都可以敲一下对吧这个属于是大型的供应链上游的这种公司比较常见的一个拓展业务的一个想法就像一个做奶油的公司看哪个东西都可以加奶盖一样没错
[00:26:36] 还有一个可能趋势是小料的研发会像奶茶品牌追求那种小众水果一样开始去开发各种各样小众口味比如说去年冬天各家其实上了很多谷物和坚果类的小料比如像什么板栗山药南瓜松子银耳越来越养生了反正就是一个大养生的概念这些东西你单独吃都挺熟悉的但是放到奶茶里面反正我是没有尝试过另外也有些往奶茶里面加什么豆腐
[00:27:05] 酒尿 冰粉
[00:27:06] 甜配子还有石花糕之类的国风尝试感觉这个全国各地的小吃摊都要注意我感觉这个是反向的这个锤子它像个钉子一样就是什么都来锤我一下对吧什么都可以来跟奶茶碰一碰最后还有一个比较明显的方向就是品质升级了比如说一般人用普通的芋泥我就用利浦芋头好吧你用普通的南瓜我就用贝贝南瓜这个也涉及到一个消费者能不能吃出来的问题毕竟小料的用量不会太多
[00:27:36] 不做成八宝粥的话很难靠一口小料就产生那种小当家般的效果你要放金锅吗这么说下来的话感觉小料还是一个想象空间非常大的一个市场就我们一开始只是历史维度的挖现在挖的话感觉它其实非常的热闹但我们还是应该正视一个现实就是它在一杯奶茶里边再怎么重要它还不是一个真正的主角对吧供应商再怎么厉害
[00:28:03] 它在产业里面的品牌效果包括利润率也不太可能像终端的这些饮品的品牌那么的亮眼所以说能够推动奶茶行业不断的进步然后小料的这些供应商不断的拿出各种解决方案的归根结底还是消费者的一个需求以及一个非常充分的甚至说是充分有点过头的一个市场竞争接触小料这个话题我们想说的还是
[00:28:25] 有时候只要走上街头仔细感受就是一个很好的开始商业就是这样
[00:28:44] 感谢收听这一期的商业就是这样你可以在苹果播客小宇宙喜马拉雅网易云音乐QQ音乐荔枝等平台收听我们的节目微信公众号第一财经emagazine也会推送每期节目的内容如果喜欢我们欢迎你在苹果播客给我们五星好评并期待你在各个平台与我们交流尤其欢迎分享你感兴趣的话题下期见
