Vol.235 拼好饭，便宜了谁？
[00:12:01] 拼好饭一单只有一块多的配送费那这个送拼好饭对他来说难道不是一个就是没有什么意思的事情吗这个事情怎么说呢就是他的这个结论比较动态就是在初期拼好饭规模还不是很大的时候其实琴手的确是不太愿意送这个唱跑的单的因为平台给你单价就是一块多啊因为是初期嘛就是你一次不会有那么多单的那很多琴手就是在送别的一些普通单的时候还要拎着一些拼好饭
[00:12:27] 然后你说那么是说顺路的其实就像大家乘顺风车就知道了就是没有那么顺路对就顺风车90%顺路点看来怎么跟我差了这么远对就是这种感觉所以就是我们可以看到初期其实其实有很多的抱怨但本质上还是因为那个时候拼单的这个规模的效应就是没有那么强对吧但到了2024年后期我们就可以看到包括今年这个模式就铺开来了就你一次能送的这个唱跑这个单的数量就是上去了但在这种情况下
[00:12:53] 他和原来送普通的外卖的大致就是持平就也没有赚的更多也没有赚的更多是吗对这个我觉得系统真的会算的很精啊就是一开始订单不多的时候其实平台会给你一些补贴的因为不是太想送超跑单嘛我会给你一些激励就是那种你能完成多少单我能给你多少钱那种东西但现在偏好发财单多了之后其实就没什么激励了但是呢也不会因为你多了之后你就比原来一次送一次拿四到五块钱要更多你基本上就是跟原来差不多他给你算的非常清楚
[00:13:21] 甚至我觉得就是我们可以推测如果以后拼好饭越来越多的话你一次比如说可以拎五六个袋的话它不会使得你起手赚到的钱更多而会使这个单价往下压总体上是一个动态平衡不会让你赚太多也不会让你吃太多亏是这么回事因为毕竟拼好饭的这个核心的母体它就是低价嘛那唱跑的模式它不是为了让美团提升利润也不是为了让起手多赚它只是为了把这个课单价做下来然后扩大这个规模
[00:13:49] 这个其实就要涉及到下一个问题就是拼好饭对于美团的一个战略的意义了前面我们是从产品的层面来讲拼好饭这个模式是怎么成立的核心是两点第一就是供应端也就是商家美团是凭借长期的数据积累以及它强势平台这么一个地位直接去找商家去谈这些单品然后对于这些单品做了很强的一个降价第二就是物流端美团是推出了拼单式的唱跑模式显著降低了每份拼好饭
[00:14:19] 订单里面的配送费这个比例就是2024年的时候美团有个口号就是10元拼好饭0元配送费好饭的一个说法但是好精准就是精准的描述了什么是拼好饭对吧那接下来我们就可以聊一聊就是拼好饭对于美团的意义是什么我觉得这个问题是要从短期和长期两个层面来看的
[00:14:38] 我们先看长期好吧其实长期的话很简单就是扩大外卖这个生意的渗透率这个其实我觉得很不可思议就是在整个世界上来看中国的外卖的渗透率都已经算高了它还要进一步扩大是这个意思吗就我们看到现在美团的月活是5亿然后就是等于中国大概有一个接近一半的人点过外卖我们可以大致认为这么个概念是吧但是其实这个外卖它是非常集中在一小部分城市的一二线城市
[00:15:07] 我们看到一个数据说在2021年的时候其实一二线城市的在外卖市场的占比是大概四分之三非常非常高当然你回过头来想也很好理解就是外卖的本质就是你要花钱去买别人的劳动力给你省时间嘛那如果就简单粗暴来说就是你应该是你这个赚钱的这个量或者效率比外卖起手要高不然的话你简单的说就是我点外卖理论上我赚的钱应该要比外卖人要多一些不然我花这个比我赚的钱更多的钱来买时间吗
[00:15:36] 对吧就没有必要是吧就是这是一个基本的一个逻辑那外卖员大知道手的钱是多少呢是4000到6000元一个月这是一个水平那要实现这样一个收入以上的这个大多数人群的话那主要是这样基本上是一二线城市结论上是这样另外一个也很重要的一个数据就是外卖的平均的客单价其实不是很便宜的尤其是在没有品好饭的那个阶段是吗对就是如果太便宜的话那配送费就会显得很贵所以这两点结合起来的话过去外卖主要就是在一二线市
[00:16:04] 所以说对于美团来说它为了提升所谓的渗透率它已经不能再做一二线城市这个生意因为渗透已经够多了其实就是做所谓三线级以下城市的生意做这些城市生意其实主要的目的就是要把单价降下来才能吸引到大家去点外卖是这个意思吗就这个逻辑当然这部分的数据其实美团目前没有明确的披露而且拼好饭大规模的拓展开来也就是这一两年所以这个变化我觉得还有可能需要一些时间才能看得出来但我们
[00:16:33] 身边统计学一下至少能看到一个点就是且不论三四线城市就在一二线城市
[00:16:54] 即使是点外卖人群他也在开始追求低价那对于美团来说即使不是为了拓展新的客群就算是稳住这些已有的客群也要做拼好饭是的那这个就是拼好饭的长期的意义那接下来我们来说一下短期的意义其实这个短期只是说在今年特别的显现出来了但它实际上还是一个战略性的一个价值那我们说的就是2025年的外卖大战这个事情在座的各位都参与完了大家对这个事情都有责任亦有责任
[00:17:22] 那到了现在这个年末的节点呢我们可以做一个简单的总结就是京东和阿里巴巴先后跳出来来抢美团的外卖生意就这么回事好简单的东西钱现在是京东为主对吧它的声量比较大尤其是在舆论上面像什么刘强东送外卖啊给骑手交社保啊等等的引发了很多讨论但实际上在市场上呢京东的外卖从来没有真正的挑战到美团的一个行业的领先位置我们看到京东在四月份的时候宣布过自己单日的这个客单量是
[00:17:49] 破了1000万6月份又传出说破过2500万所以这个数字到底是什么水平算高呢还是算低呢首先啊这个数字肯定是就是集中补贴的时候爆发出来的一个这个单量吧而且它公布的肯定是个峰值当中而且有很多的水分就是你相比较于真正有价值的数据比如说交易额这个单量其实更多是一个宣传的手段因为你一单到底多少钱你不知道你还有补贴嘛不是对吧那更何况当时美团同期其实已经突破一亿单一天了
[00:18:18] 就还是它的四分之一对其实京东这个规模上还差比较多的真正产生比较大影响的还是阿里巴巴这个部分嘛大家就知道就淘宝闪购具体我们也不赘述了啊现在结果就是整合了饿了妈的这个淘宝闪购它的外卖的订单量已经是个美团一个量级了巅峰时期它也能够突破一亿什么1.21啊等等的
[00:18:37] 淘宝这么做的目的就为什么来抢这个生意当然也比较明确了就是他不是为了把美团打死他不是跟你有仇他只是希望通过外卖这样一个非常高频的这样一个交易就高频的这个动作能够增加淘宝这个APP的活跃度甚至是用户的规模这个我深有体会就是我本来是每天12点领淘金币的一个人现在我变成了每天看外卖的时候顺便领一下淘金币对不起淘金币那你完全的就是
[00:19:01] 就是按照蒋凡的预想来做了是的对不起但是呢就是因为美团他是靠外卖活的对吧他没什么电商的这个事情所以即便是补贴大战大家都说什么两败俱伤没有好处但是美团显然是更伤不起的但他又被迫要大幅的来补贴迎战最后的结果呢就是自己的业绩也是一度受到很大的影响的但是在这个比较惨烈的外卖大战的过程当中呢大家就发觉拼好饭好像没有受很大的影响反而他这个比例越来越高了
[00:19:28] 而且你想拼好饭它的平台的补贴力度实际上没有很大的你点开就看得到它也不可能再补十几块钱了对吗但是它的单量越来越高而且它在美团的整个外卖订单的池子里面的占比越来越高你还记得我们前面讲到过2025年的发展重要的数字最早好像是6%后面是1%对当天它冲到最大单量的1.5亿的时候拼好饭占了1%还有超过
[00:19:52] 那这个其实这个占比的这个提升我觉得是非常重要的更关键的是大家发现拼好发这个模式就淘宝上我没有跟上
[00:20:00] 它好像短期内没有办法复制一个拼好饭这样的一个模式因为说穿了前面我们讲到它这个产品是怎么来的它依靠的是美团一些长期养成的能力就比如说这些每个区域的团队对于所在市场的理解对于餐厅商家的把控还有调动骑手这么大一个团队的能力等等的也就是说经过整个外卖大战洗礼反而是美团发现了自己的护身盒应该是这个东西对我觉得这里面要稍微插播一下美团整个的商业模式就让大家理解一下为什么这东西这么重要
[00:20:29] 刚才我们说过美团不是有两个核心的生意吗一个叫做道家一个叫做道店当然它还有一些什么新业务啊等等我们这个就先不算了啊那前者是外卖后者是套餐的优惠圈等等的那从规模上来看呢道家要大很多它占六成以上那道店是比较少的但是利润率道店是高的很多它美团赚钱主要是靠道店
[00:20:49] 这是优惠券来赚的因为它本质是广告广告的毛利就是很高的成本很低对 而且也没有配送费之类的抽用比例也没有那么低对 大家现在都知道了其实外卖到家的部分是一个苦哈哈的生意在中国就是美团也没赚很多钱它比如说在一单里面它抽用就是一个5% 6%这样的一个比例但它流量大对 但它流量非常的大所以这是它美团流量的一个来源如果没有这些外卖的东西的话美团不会是一个五亿月活的一个APP
[00:21:17] 那他那些到店的那些什么优惠券什么的就没有人去看了就跟我点外卖的时候打开淘金币是同一个逻辑就是如果没有外卖的话你也不会去美团上面去领这些券对就是淘宝看中的也是这样的一个价值所以呢就是对于美团来说保住自己的外卖业务的这个基本盘这个量是非常重要的那我们也看到比如说像晚点的报道就是2024年的时候美团其实内部就已经把这个订单量
[00:21:40] 这个指标放在了GTV就是这个总交易额上面就是这个整个客单价有可能往下但是我这个总的量我要保证保证我整个这个评次那我觉得这个背后也是这样的考虑那拼好饭的这个价值体现出来了不过话说回来这两年美团就是一直在迎战巨头我觉得他也蛮辛苦的就前两年主要是抖音抖音就是猛做到店团购这一块然后后来抖音放弃了因为觉得不是很赚钱结果现在淘宝又来了而且供向他更要紧这个命脉
[00:22:09] 拼好饭就变成了它一个重要的防御攻势是的
[00:22:14] 刚才我们基本上是从美团的角度把拼好饭这个生意又探索了一遍它的原理可能并不难但是当下只有美团能做到或者说能做好而且它对于美团来说也很重要总的来看这似乎是一个就某个公司凭借已有的优势和业务的小部分的创新来变成了巩固自己市场地位的一个故事但这个只是故事的一面如果从另一面就是餐饮行业的角度来看的话我觉得拼好饭可能就是另外一个图景了
[00:22:43] 其实我们前面一直没有展开讲就是到底谁是拼好饭的商家到底谁在炒我的拼好饭是这样吗是这其实也是一个演变的过程这个就我觉得是比较有价值的就是刚起步的时候拼好饭的主要供应商其实是一些小餐厅夫妻老婆店那到了现在呢拼好饭的主要供应商是两类一个就是专做外卖的档口一个就是一些大型的连锁餐饮品牌
[00:23:06] 而对于不同的供应商来说
[00:23:34] 那到后面还会有些专门做外卖的档口的那种外卖美式城就是把美式城的椅子全部撤掉的一些对更加集中的然后外卖骑手机在外面等着的那种穿梭来穿梭去的那个有可能就不在一楼了有可能在什么两楼三楼啊什么地下都有可能的就是这样一个空间
[00:23:50] 那对于这些小的餐厅来说呢其实做拼好饭往往是一个被逼无奈的选择就像我们开头说的就首先最早是美团来找到他们的对吧让你们来做甚至有的时候他们是不太好拒绝的我们还听到过一些就是未经证实的一些说法就有的商家有可能是自己还不知道某个品就已经上了拼好饭了也会有的也会有的要推的比较急的时候就会这样当然了就在此之前其实有的是那种就算你有堂食的小餐厅或者像这美食城的对吧
[00:24:17] 它的外卖比例也已经比较高了所以它没法拒绝美团对它已经很依赖在美团这个主站上面的运营了因为我们都知道在美团的这些外卖上面你得运营对吧你要维护好你的好评差评对吧然后你要不停的推出一些新的品或者说是你这个价格要调套餐等等的你要运营的你既然非常依靠这个东西美团在跟你来谈拼好饭的时候他就会说我会把你这个拼好饭的这样一个销量也计算到你主店就主站里面你这个餐厅的销量里面去月销多少
[00:24:45] 那个数字里面对因为这个月销的话会在主张里面根据这个算法的推荐往上排的那么就是其实是通过拼好饭的流量也能带动你这个餐厅别的那些东西的流量那对这个商家来说他觉得这样是比较OK的但实际情况呢就是这种流量的激励还是会逐步下滑的就是一开始说是这样但后面慢慢就没有了对或者就是实际就是有的商家体验下来觉得有可能并不能核算而且由于拼好饭的量很大嘛就是他是要求你单做一个爆品的其实你很快就会变成你这个餐厅主要就只做这两个菜
[00:25:14] 这个其实是美团希望的对吗因为我就是希望你只做这一两个这样的话你也不用备很多的别的菜然后你整个这个效率也会比较高你也会很熟练成本才能压下来嘛不然的话你怎么压下成本来呢但是这个逻辑其实未必能给餐厅带来很多的收入他只是换了一种方式苟着因为你餐厅的决定你净利润的很多的那些固定的支出并没有改变
[00:25:36] 就是我们之前讲过的你只是改变了我的可变成本你没有改变我的固定成本对固定成本房租水电人工对就这三个大块并没有减少而且他们这商家对于拼好饭更大的一个抱怨在于什么呢就是加入了这个拼好饭之后实际上会失去很多对自己生意的掌控权比如说你前面说那个定价就不是说他完全来决定的是就甚至你后面比如说改这个拼好饭的价格不是说就是后面要调整吗前面讲到的这个不是你后台改的
[00:26:03] 是美团的商家来赶的或者你要调的话你要去申请第二呢就是其实你也没有完全非常自由的退出的这个权利就你退出也不是就直接我把这个页面关掉也要申请就是你这个流程上面不是你自己能操作的事情你也得申请我们看到有很多拼好饭的那些商家就是不做的话一方面就是他也不停的去argue就是跟美团说我不做了甚至呢他就想办法我要把这个拼好饭的价格抬得很高
[00:26:26] 这样的话就没有人来买我这个单了这样我就是变相的不做拼好饭因为他觉得自己对自己已有的那个堂食的生意也好或者别的餐品的生意也好压缩的这个空间是很大的等于说你如果加入了拼好饭这么一个像邪教组织一样的项目就你跟做餐厅就是完全两回事不是说真的邪教组织不是这个概念就是说拼好饭的供应商和做餐厅是两个事情就这样一个概念而且你基本上是一个二选一一个状态还有一个点就是产品层面的我们刚刚讲到
[00:26:54] 偏好翻酱酱吧就是他跟你议价要把这个酱格降下来就升酱啊对吧就不可能吧硬酱怎么降呢我们就会看到就很多时候就是会带来菜品质量的下降的这个下降其实未必是食品安全问题这个我觉得需要说明大家就觉得那外卖档口脏乱差对吧就是你如果实际去看的话就是说乱嘛是挺乱的然后就是你肯定看上去不整洁这样的但是他的这个就是基本的卫生没有到那种很差的程度而且一般来说实际上这些地方都是这个监管部门
[00:27:23] 食品安全监管部门重点关照的对象就因为知道你可能会乱所以我经常来看一看对所以就是我们说这个质量问题更多的时候像这个菜不好吃或者是减量就像什么疯狂没有没有这个就是瞎说的但是比如说大家可以看到很多就是他就会用一些边角料本来比如说一个以鸡肉为主的一个套餐他这个鸡有几块他给你少一块或者是说更多一些边边的一些部位等等的
[00:27:49] 就是这些方式不然你怎么让商家平白无故的把这个价格打下来这么多呢这其实就是拼好饭在最开始的时候这个产品口碑不好的一个点就是什么就是锅里的是正常外卖锅边的是拼好饭这样子是就是这个概念那这个对于消费者或者对美谈来说肯定是个痛点吧对呀那他解决方案是什么呢肯定不是说我来提升这些外卖档口的这个东西那这个成本就降不下来了呀是他的方式就是引入第二类商家就是大型的连锁餐饮实际上现在大型的连锁餐饮品牌已经是拼好饭的一个主力了
[00:28:17] 就在一线城市我们了解到是七成以上吧包括大家点开这个品好饭来看的话你也可以看到大多数都是有连锁那个标签的但对于连锁的餐饮品牌来说做品好饭完全是另外一回事很多时候是双赢的就他们是挺愿意来做品好饭这件事情的
[00:28:32] 我们就举最近比较火的一个例子吧就是肯德基的黄焖鸡米饭不是你说什么什么东西滑了过去肯德基黄焖鸡米饭对你还没有看到这个新闻是吧人家在财报发布的时候专门还提到这个事情好吧就是今年肯德基专供拼好饭的一个产品就是肯德基的黄焖鸡米饭单价14块9套餐17块9林老师想试试看吗首先我想吃
[00:28:55] 黄焖鸡米饭的话我可以找一个黄焖鸡米饭专门店好吗其次就是我很难想象就是我都已经点开了肯德基我还不点笋子原味鸡这个我的意志力已经强到了什么水平我才会选择黄焖鸡米饭呢但你想想看笋子原味鸡比如说在肯德基上面单点也是十块多十几块但是黄焖鸡米饭就是一个套餐直接给你解决了碳水饭还有点蔬菜我不相信肯德基能把黄焖鸡米饭做的好吃这个是我的暴论对
[00:29:21] 确实从商业上面来说这个甚至都是百胜中国的财报里面的一个亮点会提出来的但他为什么会这么积极的来进入平好饭店其实对他来说这个逻辑是非常make sense的就是第一个他可以把这个价格降到比较低就是这个14块9其实对肯德基来说还是比较便宜的对吧那他通过这个降价的话他就可以覆盖更多的消费者就比原来点我的外卖甚至来堂食的消费者更多的一些消费者这个其实跟美团上面是利益是一致的
[00:29:47] 第二个点就是它为什么能够做到降价呢因为它可以利用自己的产能比如说肯德基的鸡的产能他们非常讲究鸡的充分利用就是不做纯质原味鸡的部分就会变成黄门鸡米饭的部位对他们还会讲什么腿胸互动等等黄门鸡米饭可以使得它充分的利用它鸡的产能或者对鸡的处理的能力中方处理的能力这一点其实跟中式的快餐也是一样的我们看到有现在比较多的一些头部的中式快餐都加入了
[00:30:16] 拼好饭他们为什么愿意做呢就是因为我本来比如现在这个整个市场压力比较大我这个中央厨房的这个运转能力是没有完全的充分的利用的那我再做这些的话其实这个成本没有增加很多只是选材料成本所以我是可以把这个价格做得很低的所以简单来说就是对于这种连锁品牌来说呢做拼好饭这种专供产品其实是可以用很低的成本做下来的因为他们本来就有这个规模相应就是捎带手做一做就好了是的就算是他有可能非常的薄利就是赚不了多少钱的话
[00:30:44] 流量上来对而且它也无所谓对吧它是一个规模比较大的生意而且对于美团来说的话这个可以大幅的提升拼好饭的这个品项终于有一些干净又卫生的连锁品牌干净又卫生对但是对于小的品牌来说第一个我不可能像你这样就是完全不考虑这个盈利的就是推出几个专门的爆品第二个的话就是我和这些连锁商家来比的话我不管是这个口碑上面来说还是这个价格上面来说都不会有特别大的优势
[00:31:06] 那就会使得他们在拼好饭的流量逐渐就没有那么多只是被这种连锁品牌挤走了对另一方面他们主动也会退出像我们刚刚讲到的如果你觉得做起来最后的得益不是很多的话你也会主动去退出逐步逐步就会形成了如今的拼好饭是以连锁的品牌为主的这样一个业态当然现在还是会有一些小店专门去做拼好饭的就不是连锁的也会做的这个主要就是外卖的档口了就堂食
[00:31:30] 非常非常少了确实非常少了那对于这些外卖档口来说呢他们其实就是和美团这个大平台绑定的更深了有的时候甚至整个这个物业都是美团租下来的也会有的然后就是那些外卖档口去做他们实际上就是成为一个更纯粹的产品的供应商就据我们的同事就是现场的观察就这些档口的从业者其实就像我们前面说的他和比如说开夫妻老婆店的一些餐饮的小店的这个从业者不是一类人他们会更加
[00:31:56] 从业时间更加短一点更加年轻一点可能刚刚做了两三年等等的他们甚至就是还没有考虑说我一定在餐饮这个行业要发展下去因为对于想要在餐饮业发展下去的人来说做拼好饭就会自费武功你不可能只会做一个菜对吧对就甚至大家都这个岔开说一句就现在有很多那种靠大单品成名的一些连锁品牌都发觉大单品不是那么有用了就大家还是会发觉餐厅还是需要有我们家经常出现就去一个
[00:32:22] 这种大单品模式的连锁餐厅你就会发现点不出来菜对对其实有点这个过去简单潮流再回潮了但对于小餐厅来说更加是这样如果你只会做一个餐厅你以后怎么开自己的餐厅呢对吗说穿了其实拼好饭就是一个把整个这个逻辑变成一个供应链逻辑一个思路就是把外卖那条上的每一点都变成一个标准化单元化的一个思路就是把餐饮业变成了一个供应链模式是的
